-0.0059631+0.00020118i,-0.0035973-0.0012623i,-0.0026319-0.0003328i,-0.0017375+0.0013154i,-0.00085664+0.0020047i,0.0007981+0.0019312i,0.0010834+0.0021039i,7.1885e-05+0.0023121i,0.00026679+0.0013201i,0.0010938+0.00047682i,0.0014195+0.00010397i,0.00072033-0.00073694i,8.2976e-05-0.00093455i,4.4865e-05-0.00044456i,-0.00032979-0.00011179i,-0.00046505+0.00044725i,8.4159e-05+0.00095962i,-3.5105e-05+0.00029914i,0.00046121-0.000638i,0.0016125-0.00043405i,0.0013565-0.00028071i,0.0007343-0.0004744i,0.0003468-0.0003437i
0.00062458-0.00033219i,-0.00030595-0.00010799i,-0.00077737-0.00066863i,-0.0016903-0.0002165i,-0.0016604+0.00059792i,-0.0011786+0.00049543i,-0.0015363+0.00028905i,-0.0011242-0.00030272i,-0.00041441-0.00051889i,-0.00076059-0.00052225i,-0.00063797-0.000135i,-9.6789e-07+1.285e-05i,0.00064876+0.00025921i,0.00023705+0.00011098i,-0.00017316-0.00068639i,-0.00011484-0.00089913i,-0.00017701-0.00062962i,-0.00015266-0.00057016i,-0.00028321+0.00013075i,0.00037152+0.00056873i,0.0011139+2.1643e-05i,0.00077911-0.00032222i,-0.00023975-0.00074557i
0.0022629-2.5227e-05i,0.0010016-0.00077108i,0.00041915-0.0014858i,-8.8288e-05-0.0014934i,-0.00011893-0.0010032i,-0.00020407-0.00038149i,-0.00098841+0.00031185i,-0.00034961+0.00071024i,0.00097151+0.0001222i,0.0014067-0.00030953i,0.00036791+6.0265e-05i,-0.00029647+0.00026152i,-9.266e-05+0.00032023i,-1.9383e-05-0.00033862i,-0.0001437-0.00085082i,0.00034256-0.0004198i,0.00066221-0.00015685i,-0.00010092+2.5288e-05i,-0.0010378+0.00038521i,-0.0014321+0.00043183i,-0.00048126-0.0002103i,0.00032612-0.00075997i,0.00060347-0.0004963i
0.00072031+0.00023041i,0.00069848+0.00055079i,0.00024844+7.7678e-05i,-0.0013264+0.00019058i,-0.001672+0.00019277i,-0.00053456-0.00036237i,-0.00019242-0.0003682i,-7.384e-05-0.00086474i,0.00016818-0.00084755i,-0.00060179-0.00030734i,-0.00095776-0.00043807i,-0.0004869-0.0001169i,5.3456e-05+0.00052217i,0.00023322+0.00040385i,-0.00013089-0.00046178i,-0.00046052-0.0010882i,-0.00048893-0.0010732i,8.4196e-06-0.0012835i,0.00046122-0.0011534i,-3.0522e-05+0.00028779i,-0.0010749+0.0013562i,-0.0018637+0.00092198i,-0.0013184-9.9117e-05i
0.00089683-0.00010455i,0.00065424-0.00046181i,-0.00021924-0.00041395i,-0.0017091+0.00019615i,-0.0012685+0.00051127i,-0.00029586+0.00047569i,-0.00077512+0.00016568i,-0.00062992-0.00051112i,0.00024284-0.0012733i,0.00047706-0.00072862i,0.00022838-0.00010298i,0.00041105+0.00059685i,7.0223e-05+0.0012538i,0.00020098+0.00063647i,-0.00013342-0.00053685i,-0.00085121-0.00075462i,-0.00071814-0.00059474i,-0.00018504-0.00018764i,0.00028701-9.4878e-06i,0.00027509+0.00028486i,-0.00017211-2.7554e-05i,-0.00025709-0.00056119i,-0.0002053+0.00013945i
0.0021635-0.0013664i,0.00058716-0.002056i,-0.00086755-0.002929i,-0.0018347-0.0019843i,-0.001598-0.00077943i,-0.00035948-4.391e-06i,-0.00039316+0.00087456i,-0.00090326+0.00079212i,-0.00030376-0.00024764i,-4.8558e-05-0.00059134i,-0.00045131+9.2007e-05i,-0.00049188+0.00037423i,-0.00051448-4.3275e-05i,-0.00068341-0.0006399i,-0.0013631-0.00033332i,-0.0015252-0.00027522i,-0.0007167-0.0011844i,-0.00036104-0.00098892i,-0.0001926-0.00035505i,-0.00016316+0.00017832i,-0.00042795+0.00010687i,1.652e-05+0.00021142i,0.00062302+0.00022227i
-0.0006207+0.0021512i,-0.00021661+0.001455i,-1.8055e-05+0.00043955i,-0.0001338+0.00033564i,-0.00083611-0.00026217i,-0.00095626-0.00013713i,-0.00043314+0.00044196i,-0.00017975+9.6248e-05i,-0.000258+0.00020752i,-0.00013719+1.0209e-05i,0.0001719-0.00029401i,0.0005661-0.00043216i,-0.00029282-0.00025525i,-0.00062507-0.00017161i,-0.00035619-0.0005431i,-0.00080155-0.00048968i,-0.00083708+0.00038217i,-0.00015115+0.00045154i,-1.3438e-05-0.00054871i,-0.00075671-0.0004623i,-0.0012022+0.00027696i,-0.00070724+0.00063854i,-0.00052573+0.00051625i
0.0010556+0.00028601i,0.00107+0.00013826i,0.00055564-0.00022346i,-0.00061123-2.423e-07i,-0.0012691+9.409e-05i,-0.00073697+0.00015051i,-0.00059107+0.00057657i,-0.00053617+0.00053817i,0.0001153+0.00013983i,0.00049495-8.5716e-05i,0.00062549+5.7218e-05i,0.00084632+0.00029676i,0.00077615+0.00038649i,-0.00027626+7.5437e-06i,-0.00029355-0.00027995i,0.00036342-0.00060213i,0.00065964-0.00088262i,0.00066758-0.00057671i,-0.00040605+0.00014093i,-0.00070025+0.00088629i,0.00035948+0.00048284i,0.00094221-0.0004893i,0.00011616-0.00010492i
-0.00094943+0.00032877i,0.00024617+0.00076714i,0.00011489+0.0013678i,-0.00096274+0.00071736i,-0.00069452-0.00041224i,8.5806e-05+0.00045124i,-0.00010773+0.0015736i,-0.00080982+0.00069764i,-0.0010884-0.00017428i,-0.000534-6.2393e-05i,0.00052468-0.0001073i,0.00039167+3.525e-05i,-0.00044203+0.00028808i,-0.00050302-0.00024698i,-0.00032396+0.0001702i,-4.9355e-05+0.00053976i,0.00061427+5.6996e-05i,0.00085632-0.00042251i,-9.7769e-05-0.0001647i,-0.00063178+0.00022902i,5.2067e-05-2.4263e-05i,0.00032652+0.00020887i,0.00010348+0.00032624i
0.0025751-5.4528e-05i,0.0012327-0.0015187i,-7.9136e-05-0.0021399i,-0.0017767-0.001324i,-0.0025959-0.00040332i,-0.0017234-0.00017368i,-0.00046659+4.1464e-06i,0.00020317+0.00013121i,0.0001638+0.00039304i,-0.00037949+0.0006057i,-0.00039038+7.9066e-05i,-0.00037333-0.0001253i,-0.00057209-0.00021729i,-0.00029834+1.4635e-05i,8.7444e-06+0.0012337i,0.00072511+0.0015849i,0.00058945+0.00029768i,-0.0005708-0.00050938i,-0.00066183-0.00034153i,-0.00023806+0.00040868i,-0.00013038+0.0011049i,-0.00017951+0.0013457i,-0.00044462+0.00077124i
-0.00041788-0.0014877i,-0.00089707-0.0018865i,-0.0013546-0.00075835i,-0.0017466+0.0010387i,-0.0019486+0.0018551i,-0.001146+0.001176i,-3.6145e-05+0.00037494i,-0.00016189+0.00031776i,-0.00063754+0.00011907i,-8.829e-05+0.00049331i,0.00043258+0.00092608i,0.0006931+0.00078567i,0.00066065+0.0006396i,0.00036714+0.00075777i,1.3922e-05+0.00072498i,-0.00031392+0.00019793i,-0.00044082-6.7529e-05i,-0.00014332+0.0001077i,-0.00031173+0.00033575i,5.4354e-05+0.00065228i,0.00072104+0.00056823i,0.00023594+7.7816e-05i,-0.00025754-0.00040248i
3.539e-05-0.00017263i,-4.337e-05-0.00028782i,-0.00052839-0.00032527i,-0.0019244+0.00027241i,-0.0024442-7.5188e-05i,-0.0018365-8.3395e-05i,-0.0011473+0.00042679i,-0.001026+0.00068207i,-0.00052421+0.00052293i,0.00058238+8.2573e-05i,0.00088639+0.00018602i,0.00048309+0.00023684i,0.00054993+7.4694e-05i,0.00025448+6.8322e-05i,7.5913e-05-9.5356e-05i,0.00012311+0.00043614i,0.00011288+0.0011213i,-0.00058445+0.00063376i,-0.00079972+3.0063e-05i,-2.4528e-05-0.00048298i,-7.0611e-05-0.00042614i,-0.00037437+0.00037641i,-0.00039869+0.00046268i
-0.00097818+0.00083166i,-0.0010887+0.00058449i,-0.0011108+0.00054661i,-0.00043932+0.00010429i,0.00041152+0.00036599i,3.5418e-05+0.0010764i,-0.0012082+0.001383i,-0.00084296+0.0013545i,-0.00023178+0.00089426i,0.00025018+0.00035767i,0.001275+0.00028659i,0.001261-0.00013022i,0.00092849-6.6293e-05i,0.00049559+0.00061116i,-0.00034199-0.0002433i,-0.00037147-0.00085824i,0.00021552-0.00040128i,0.00041559-2.9587e-05i,0.00048236-9.2108e-05i,0.00016109+8.4979e-05i,-0.00023459+0.00015257i,0.00061676-0.00017458i,0.0011026-0.0010086i
-0.00025324+0.00092489i,0.00015708+0.00072531i,-0.00027906+0.00052972i,-0.0003808+0.0010034i,4.541e-05+0.00039819i,0.00038817-0.00027238i,0.00054332-1.1084e-05i,0.00060733+0.00024446i,0.00046846+0.0002431i,0.00024562+0.00018313i,0.00026675+0.00067137i,-0.00014299+0.00086227i,-0.00031251+0.0012247i,-0.00012014+0.0015686i,-0.00056048+0.0010352i,-0.00057227+0.00045474i,0.00061268-2.2325e-07i,0.00109-0.00022967i,-5.1934e-05+8.6565e-05i,-0.0005429+2.4964e-05i,-0.00086287-8.4835e-05i,-0.00042731+0.00046696i,0.00012444+0.00063916i
9.1732e-05-0.00045006i,-0.00074599-0.00033608i,-0.0018223+0.00013077i,-0.0020576+0.00034891i,-0.0010704-0.00028299i,-0.0006916+0.00040472i,-0.0012812+0.0014833i,-0.00086466+0.001105i,-0.00046461-8.1233e-06i,-0.0011535-0.00075934i,-0.001342-0.00072521i,-0.00031276-0.00029798i,0.00055349+7.6828e-05i,0.0004127-0.00032293i,-5.0214e-05-0.0002571i,-0.00044174-5.4332e-05i,-0.00056411+0.00016791i,-0.00082555+0.0004942i,-0.0012298+0.0003604i,-0.00058439+0.00050294i,0.00027373+0.00079022i,0.00043358+0.0003527i,0.00019593-0.00030431i
-0.0016317-0.0013788i,-0.0009598-0.0015745i,-0.00086623-0.0015056i,-0.00037405-0.00042594i,-0.0003573+0.0010404i,-0.00085629+0.0012638i,-0.0010845+0.00049555i,-0.00042656+0.00022335i,-0.00025923-0.00025695i,-9.1671e-05-0.00042969i,0.0005562-8.8799e-06i,0.0010403-2.4251e-06i,0.00079693-0.0002826i,0.00075247-0.00051426i,0.0012594-9.3658e-05i,0.0014818+0.00026698i,0.00080901-1.5727e-05i,0.00071283+0.00037366i,0.00047362+0.00082802i,-0.00048867+0.00025065i,-0.0010046+5.0177e-05i,-0.00087312-0.00026759i,-0.00082234-0.00028442i
0.00016526+0.00045394i,-5.2099e-05+0.00030124i,-0.00056618-9.5172e-05i,-0.0013382+0.00030634i,-0.0015262+0.0013198i,-0.0013433+0.0012708i,-0.00089423+0.00058077i,-0.00035391+0.00073867i,-0.0004272+0.0010039i,-0.0001666+0.00053916i,0.00017807+0.00013083i,0.00055236-0.00027181i,0.00023625-0.0001176i,-0.00074162+0.00016642i,-0.00085728-0.00017406i,-0.00034429+0.00018189i,-0.00024601+0.00066259i,-0.00018221+0.00042139i,-0.00023593+0.00042029i,-0.00053842+0.00046623i,-0.00017864+8.4354e-05i,0.00034096-0.00058051i,0.00050185-0.00090822i
0.0017315+3.7651e-06i,0.0007259-0.00084648i,-9.4091e-05-0.00078389i,-0.0010785-0.00063575i,-0.0015764-0.00017737i,-0.0018074-0.00042589i,-0.0015411-0.00044733i,-0.00036386+0.0003998i,0.00088204+0.00033559i,0.00031714+2.0822e-05i,-0.00085311+0.00028493i,-0.00088677+0.000763i,-0.00041031+0.0010154i,-0.00042951+0.00039867i,-0.00052329+0.00012531i,-0.00057243-0.00027421i,0.0004061+8.3165e-06i,0.0010251+0.00050814i,-2.8294e-05-0.00020297i,-0.00025963-0.00080643i,0.00018743-0.00068969i,0.00026223-0.00016675i,0.00033695-0.00013403i
-0.0014111-0.000459i,-0.00047069-0.00040344i,-0.00072888-0.00050993i,-0.00091474-0.00071348i,-0.00078274-0.00055844i,-0.00036063-0.00018725i,-7.5503e-05+4.4575e-05i,0.00027105-0.00041692i,0.00045416-6.4797e-05i,0.00037421-3.9183e-05i,-0.00047129-0.00050809i,-0.00065294-0.00016792i,-0.00020525-0.00023819i,-0.0003277-0.00063056i,-9.5624e-05-0.00032558i,0.00033355-0.00025804i,0.00010715-0.00037894i,-9.1114e-05-0.00010421i,7.4718e-05-9.3051e-05i,0.00064759-0.00019841i,0.0010057-0.00010207i,0.00015965+0.00045544i,-0.00058043+0.00033065i
0.00088398-0.001937i,0.00051158-0.0015242i,-0.00024387-0.00029085i,-0.00082912-0.00011565i,-0.00092023+0.00067771i,0.00011565+0.0012207i,8.6145e-06+0.00015686i,-1.0252e-05-0.00059514i,-7.0352e-05-0.00075027i,-0.00070241-0.0004293i,-0.0012126+0.00048646i,-0.00059892+0.0010558i,0.0004124+0.00077553i,0.00016002-0.00018236i,-0.00094387-0.00032225i,-0.0011762+0.00033186i,-0.00041093+0.00044327i,-0.00013655+0.00047429i,-0.00032026+0.0003165i,-0.00029239-0.00017683i,-6.7351e-05-0.00010269i,-0.00042312-0.00019074i,-0.00053302-0.00033698i
-0.00042421-0.00024341i,0.00035431-0.00098888i,-0.00015221-0.00052859i,-0.00075077+0.00066253i,-0.00078917+0.0015183i,-0.00037593+0.0012024i,0.00034363+0.00074123i,0.00026309+0.00071014i,0.00039948+0.00051363i,0.00066614+0.00015317i,0.00018246+0.00011828i,-0.00062723+0.00051442i,-0.0004787+0.001165i,-0.00044595+0.0013676i,-0.00054777+0.00053671i,0.00020743+5.0139e-05i,0.00034974-3.9931e-05i,-0.0003586-0.00030146i,-0.00058852+3.9604e-05i,-0.00016012+0.00038243i,-4.6772e-05+0.00048935i,-9.0974e-05-0.00013055i,-0.00030247-0.00019989i
0.001067+0.00062932i,0.00053852+0.00016949i,0.00074937-0.00060552i,-0.00055364-0.0010477i,-0.00088439-0.0012509i,0.00025215-0.00021969i,-4.1248e-05+0.00066305i,-0.0010463+0.00051273i,-0.00025293-0.00030619i,0.00058942-9.6884e-05i,0.00011142+0.00057438i,-0.00023949+0.00069859i,-0.00048156+0.00071133i,0.00010276+0.00031751i,0.00082648-0.0004464i,0.0013408-0.00016381i,0.0013663+0.00021327i,0.0011939-0.00020245i,0.00091951-1.5887e-05i,0.00031769-0.00013909i,0.00060875-0.00037626i,0.00036789+0.0001215i,-0.00021733+0.00030946i
-0.0011865+0.00085799i,0.00020371+0.001112i,0.0015202+0.0011811i,0.001646+0.0010897i,0.0010251+0.0006275i,7.3465e-05+0.0010006i,-0.00096751+0.0013412i,-0.0018578+0.0017539i,-0.0012374+0.0019349i,-0.00034245+0.0011922i,-0.00055992+0.00035713i,-0.00057557+0.00045518i,-0.00072931-2.1392e-05i,-0.00048182-0.00050188i,-0.00060046-0.00031449i,-0.0004565-0.00021694i,-0.00048019-0.00026061i,-0.00073702-0.00037779i,-0.00020181-0.00044341i,0.00020904+0.00034737i,0.00051357+0.0010183i,0.00086434+0.00039255i,0.00077858-0.0003542i
0.00029766-0.00084681i,-0.00059845-0.001194i,-0.0010391-0.0010377i,-0.00096625-0.00024405i,0.00017785+0.0003298i,0.00093446+0.00079297i,9.0031e-05+0.0009327i,-0.00055302+0.00019488i,-0.00011276-0.00097715i,0.00056478-0.00076268i,0.00064328+0.00010394i,0.00018106-0.00017269i,0.00023408-0.00044166i,0.00047414+1.3912e-06i,0.00034457+2.3776e-05i,0.00017177+0.00010914i,0.0004272-1.3535e-05i,0.00025481+9.5989e-05i,-7.0496e-06+4.4377e-05i,0.00034494-0.00040856i,0.00048027-6.8464e-05i,0.00090437-0.00021506i,0.00085718-0.00045767i
0.001576+0.00038565i,0.00025295-4.7562e-05i,-2.5832e-05-6.1034e-05i,-0.0004711-0.00075261i,-0.0014382-0.0013257i,-0.0010916-0.0012757i,-0.00031296-0.000396i,-0.00013446+0.00058941i,9.9485e-05+0.00026368i,-0.00015405-0.00053051i,-0.00095808-0.00067197i,-0.001342-0.00037809i,-0.0012817+9.4742e-05i,-0.00074115+0.0010481i,-0.00058169+0.000807i,-0.00081828-0.00025594i,-0.00097508-0.00040088i,-0.00083832-0.00089464i,-0.00075113-0.00088367i,-0.00070721-0.00018115i,-0.00050229+0.00028398i,-0.00071456+0.00073604i,-0.0010098+0.00037773i
0.0013218+0.0017951i,7.4316e-06+0.0015626i,-0.00072196-0.00025417i,-0.00053056-0.000786i,-0.00040592-0.00030547i,-0.00092082+0.00032098i,-0.00080019+0.00087838i,-0.00030559+0.00068705i,0.00031557-3.8862e-06i,0.00042283+0.00014352i,0.00031031-0.00023981i,0.0010144-0.00094066i,0.0013951-0.00016488i,5.791e-05+0.00019779i,-0.0011282-0.00051453i,-0.00077574-0.0003679i,-0.00059001-0.00045382i,-0.00084611-0.00027017i,-0.0010795-0.00017764i,-0.0011013-9.6972e-05i,-0.00096277-0.00029227i,-0.00026638-0.00083014i,0.00047256-0.00064431i
-0.00074095-0.0016438i,-0.00082628-0.0012148i,-0.0013019-0.001737i,-0.0013435-0.0011791i,-0.0010884+0.00085033i,-0.00039561+0.0011826i,-2.67e-05-0.00027466i,-0.00037144-0.00094004i,-0.00082992-0.00054763i,-0.0012004+0.00062215i,-0.00076827+0.00096284i,0.00037027+1.8769e-05i,0.00061482+3.3929e-06i,-0.00012787+4.4895e-05i,-0.00038206-0.00029657i,-0.00099745-0.00037391i,-0.0014268-0.00020246i,-0.00067556-0.00023201i,-3.3039e-05-0.00037759i,-0.00032285-0.00091741i,0.00034433-0.00075827i,0.00063876+0.00030525i,7.6698e-05+0.00082646i
-0.0012511-0.0011873i,-0.0013433-0.00089075i,-0.0014689-0.00044933i,-0.001604+0.00014365i,-0.00070363+0.00050714i,0.00025735+0.00099858i,-0.00024747+0.00072756i,-0.00029014-0.00052781i,0.00012266-0.0011279i,-0.00030783-0.0003353i,-0.00058199-0.00020504i,-8.1516e-05+7.7401e-05i,0.00070422-0.00014029i,0.0004541-0.00030997i,-0.00047697-4.2246e-05i,0.00013624+0.00052117i,0.00061365+0.00087639i,-0.00013735+0.00064733i,-0.00068238+0.00092319i,-0.00057285+0.00089232i,5.9046e-05+0.00035811i,-0.00032518+7.3055e-05i,-0.0011909+0.0002424i
0.0011712-0.0023258i,0.00062722-0.0010272i,-0.00018423-0.0002476i,-0.00071959+0.00014825i,-0.0011164+0.00092183i,-0.00082942+0.00055222i,-0.00061324-0.00018264i,-0.00019255-0.00043418i,0.00011335-0.00094555i,-0.00037227-0.00095764i,-0.00063778-5.5518e-05i,-0.00027259+0.00024402i,-0.00011443+0.00029477i,-0.00038303+0.00027574i,-0.00034099-0.00021424i,-0.00018917-2.8839e-05i,-0.00081893+0.00051333i,-0.00051731+0.00038235i,0.00020095-0.00026765i,-9.6804e-06-0.00045283i,0.00046863-0.00029734i,0.0007838-9.0246e-05i,-0.00016524+8.9631e-06i
-0.0011793+0.00072409i,-0.001021+0.00092309i,-0.0010839+0.0011112i,-0.00057525+0.00078415i,0.00029737+0.00039836i,0.0006312+0.00025006i,0.00019071-7.4165e-05i,-0.00019828-0.00034349i,-0.00037237-0.00035104i,0.0002552-8.5587e-05i,0.00068942-0.00048469i,0.00066888-0.00064255i,0.00050218-7.4447e-05i,0.00031397-4.4458e-05i,0.00074072+0.00021695i,0.00096744+0.00058712i,0.00034153+0.00036318i,-0.00024429-0.00033239i,-0.0003646-0.0004317i,-0.00013257-0.00014773i,-0.00012324-0.00021627i,-0.00046219-0.0001819i,-0.00023888-0.00064763i
0.0015886+0.00082573i,0.00034687+0.00055679i,-0.00040585+0.00019435i,-0.00085317-0.00054322i,-0.00091147-0.00059728i,-0.00027564-0.00014334i,-0.00059623+0.00046321i,-0.0010456+8.4431e-05i,0.00013691-0.00061504i,0.00072202-0.00065774i,0.00015681-0.00012436i,-0.0002733+0.00072184i,-0.00015767+0.00049038i,0.00062641+0.0002572i,0.00075861+0.00047325i,0.00012224+0.00066973i,6.7671e-05+0.00020711i,0.00072739-0.00035441i,0.00077982-0.00012263i,-9.0788e-05-0.00021539i,-0.00041405-0.00058174i,-0.00047909-0.00050159i,-0.00057858-0.00059403i
0.00080298-0.00047056i,0.00045685-0.0008775i,0.00074451-0.001576i,0.0011065-0.0020525i,0.00050656-0.0015297i,0.00018385-0.00046912i,0.00022309-0.00037333i,-0.00055343+3.5861e-05i,-0.00039388+0.00030123i,0.00027629+0.00044073i,0.00033196+0.00061694i,5.4002e-05+0.00020713i,0.0013039-0.00027241i,0.0014134-0.0007371i,3.9686e-06-0.00055098i,-5.8797e-05+0.00018274i,0.00052601+5.0258e-05i,0.00056433-0.00029578i,-0.00068877+0.00044809i,-0.0014616+0.00046955i,-0.00063849+0.00048242i,-0.00017092+0.00044535i,-0.00015409+0.00011346i
-0.0008363+0.001448i,-7.3991e-06+0.0014087i,-5.6913e-05+0.00088087i,-7.363e-05-8.2159e-05i,-0.00014737-0.00067639i,-0.00067381-0.0014129i,-0.0010812-0.00011541i,-0.00059189+0.00097889i,-0.00034136+0.00031336i,1.2597e-05-6.5882e-05i,0.00044717-0.00055797i,0.00099534-0.00046362i,0.0010991-0.00018135i,0.00031656-0.0011538i,0.00062061-0.00071406i,0.00090116+0.00036157i,0.00020242+6.786e-05i,-0.00023366-0.00073756i,-0.00032502-0.0011913i,-0.00014312-0.00077694i,-0.00012704+1.4039e-05i,-0.00068448+0.00086528i,-0.00065468+0.00052926i
0.0009126+0.00016429i,0.001042+0.00035346i,0.00032691+0.00057782i,-0.0011899+0.00073742i,-0.001697+0.00081525i,-0.00095873+0.00094776i,-0.0007568+0.00047501i,-9.2234e-05+9.8455e-05i,-9.3327e-05+2.3846e-05i,-0.00038409-0.00068165i,-5.589e-05-0.0010371i,0.00010155-0.00044183i,-0.00017817+6.4121e-05i,0.0003577-8.0274e-05i,0.00096902-0.0002624i,0.00072373-8.7363e-05i,8.9932e-05-0.00053297i,0.00041324-0.0010513i,0.00058404-0.00040469i,0.00023219+0.00028851i,6.5862e-05-0.00015532i,-3.3027e-05-0.00049817i,-0.00051778+4.5854e-05i
-0.00027139-0.00021539i,-0.00065757-0.00080402i,-0.0011476-0.0010435i,-0.0011405-0.00076721i,-0.00099528-0.00061337i,-0.00068123-0.00032564i,-0.00068751+0.00011023i,-0.0010144-0.00024877i,-0.00074987-0.00058331i,-0.00013033-0.00090848i,0.00043699-0.00093283i,0.00057599-0.00055802i,0.00031471-0.00025882i,0.00011297-0.00011458i,-0.00014874+0.00025825i,6.5285e-05+0.00050013i,0.00055407-4.5036e-05i,0.00067512-1.1135e-05i,0.00024748+0.00058011i,-0.000424+4.571e-05i,-0.00014693-0.00054958i,2.5569e-05+0.00026818i,-0.00019628+0.00090345i
-0.0010868+0.00034953i,-0.00096836-7.8373e-05i,-0.0012639-0.00019692i,-0.0013516+0.00076002i,-0.0012141+0.001225i,-0.00077228+0.00039319i,-0.00030964+0.00025162i,0.00034221+0.00058579i,0.00042075+0.00053726i,0.00025217+8.9202e-05i,0.00037685-0.0001995i,3.4888e-05-0.00031772i,-0.00042069-0.00016421i,-0.0002227+0.00025695i,0.00042438+0.00016789i,0.00056151-0.00026299i,0.00047227-8.8031e-05i,9.0656e-05+0.00039628i,-0.00050733+0.00053902i,-0.00033385-4.666e-05i,0.00022956-0.00060588i,0.00018884-0.00034091i,0.00038366-0.00015191i
0.0015002-6.5415e-05i,0.0015328+3.5435e-06i,0.00061426-0.0004027i,-0.0011949-0.00058787i,-0.0013805-0.00031905i,-0.00041089+0.00067538i,-0.0006959+0.0014996i,-0.00077335+0.00079693i,0.0001273+0.00049781i,0.00028564+0.00052533i,2.3385e-05+0.00076046i,-0.00026721+0.00069332i,-7.6668e-05+0.00074243i,0.00012441+0.00086813i,5.9011e-05+0.00040602i,0.0002245-0.00040043i,7.1504e-05-0.00079095i,-0.00045628-0.00072832i,-5.1143e-05-0.00041002i,-0.00024101-0.00036137i,-0.00028793-0.00078117i,0.00067457-0.000868i,0.00058028-0.00044834i
