0.00014063+0.00077158i,-0.00044779+0.00045539i,-0.0013138-0.00055008i,-0.0013006+0.00077886i,-0.00086128+0.0027123i,-0.0009315+0.0018498i,-0.00094098+4.2194e-05i,5.807e-05+0.00047843i,0.0013055+0.0014552i,0.0011842+0.0010826i,0.0011849+2.2766e-05i,0.00097243-0.00085758i,-0.00030161-0.00078184i,0.00016063-0.00055284i,0.0013162-0.00036592i,0.00078269-0.00039424i,-0.00030174-0.00031817i,-0.001208+0.0005311i,-0.0010061+0.0007026i,-6.9412e-05+7.6793e-05i,0.00029399-0.00039527i,7.9957e-05-0.00066741i,-0.00019812-0.00034088i
0.0018832-0.00044614i,0.0015553+0.0010142i,0.00023279+0.0029181i,-0.00062814+0.0032579i,0.00039386+0.0013949i,0.00075749-0.00018468i,2.9607e-05-0.00034133i,-0.00034748-0.00035501i,0.0005338-0.001019i,0.00097083-0.00053982i,0.000763+0.00036246i,0.00026812+0.00061268i,-2.705e-05+0.00029738i,0.00062962+0.00029911i,0.00046088-8.3718e-05i,-0.00041689+9.1295e-06i,-0.00028573+0.0004026i,-8.8133e-05+0.00016299i,-0.00048705+0.00038703i,-0.00036975+0.00033321i,0.00028272+6.1345e-05i,0.00038608+0.00058591i,6.6469e-05+0.00051247i
-0.001554-0.0012731i,-0.00088785+0.00027892i,-0.00088961+0.0013172i,-0.00046574+0.0012016i,0.00089584+0.00046226i,0.00083925+0.00019083i,0.00049819+0.00062508i,0.00034116+0.00069358i,-0.00033367+0.00038905i,-0.00024579+3.5908e-05i,0.00014308-6.613e-05i,0.00052096+2.3897e-05i,0.00057028+0.00047606i,0.00019184+0.00067228i,4.4929e-05+0.00034471i,-0.00032398-0.00040612i,-0.00060293-0.00089613i,-0.00073566+5.8198e-07i,-0.00039368+0.00017675i,-0.00033557-0.00075912i,-0.00052226-0.00085245i,-0.00046152-6.4278e-05i,-0.00024245-0.00015829i
0.0010107-0.00048132i,0.00064535-0.00028948i,-0.00026492+0.00039233i,-0.00039756+0.00061336i,0.00034644+0.00019899i,-7.3309e-06-0.00018471i,-0.00037307-3.7387e-06i,-0.00032651-0.0002359i,0.0002673-0.00019284i,0.0009924+0.00030975i,0.00044418+0.00058759i,-8.4268e-05+0.00041802i,-0.00053275-7.081e-05i,-0.00023762-0.00021241i,0.00027739-0.00023321i,0.00032832-0.0002728i,0.00044114-0.00014508i,0.00060039+0.0003075i,0.00081689+5.2224e-05i,0.00036095-0.00095818i,-0.00024331-0.00078425i,-0.00042949-0.00068287i,-0.00022899-0.00019916i
-0.0021949+0.0012515i,-0.00089794+0.0013235i,-6.9386e-05+0.0020082i,0.00027803+0.0024136i,0.00095828+0.0015857i,0.0008826+0.00058369i,0.00078561+0.00030352i,0.00027793+0.00035552i,0.00025284+0.00063313i,0.0014318+0.00039387i,0.0016569-0.00028866i,0.00037276-0.00053204i,1.3609e-05+0.00014618i,-0.00031346+0.0006676i,3.8316e-05+0.00056376i,0.00021214+0.00026018i,-0.00062771-0.00018055i,-0.0002593+3.4712e-05i,-0.00044212+0.00034606i,-0.00094153+0.00055003i,0.00021306+0.00038546i,0.00085338-0.00035019i,0.00034661-0.00056864i
0.00041789+0.00073463i,0.00045419+0.0011608i,1.1562e-06+0.002116i,3.0454e-06+0.0019434i,0.0010902+0.0014398i,0.0019987+0.00070344i,0.001004+0.00082533i,-0.00022015+0.00056249i,-0.00040171-0.00013232i,-0.00046735-0.00025095i,-0.00033188-0.00053392i,0.00034579-0.00081393i,0.00027859-0.0010099i,-4.7572e-05-0.00097378i,-0.0003954-0.0008286i,-0.00024388-0.00078591i,0.00032759-0.00053735i,-0.00032883-0.00048733i,-0.00073381-0.00058469i,-0.00041131-0.00012475i,-0.00023068+0.00044092i,-4.9206e-05+0.00065557i,0.00050499+0.00035472i
-0.00019919+0.0006381i,-0.0012502+0.0010108i,-0.0016423+0.0022833i,-0.00037519+0.0029468i,0.00046698+0.0017329i,0.00073955+0.0013554i,0.00018999+0.0014608i,5.8735e-05+0.0010955i,0.00023301+0.00069136i,8.2655e-05-0.0007303i,-0.00027713-0.0017365i,0.00040362-0.0013601i,0.0013405+0.00016597i,0.0010805+0.00086886i,0.00048122+0.00059545i,0.00022551+0.00032624i,0.00010096+0.00072425i,-0.00046612+0.00044278i,-7.1252e-05-0.00061083i,0.00042565-0.00045175i,0.00020728-8.0222e-05i,0.00023063-0.00023487i,-0.00015619-8.0207e-05i
-0.0011972-0.00084383i,-0.0022313-0.00044134i,-0.0026147+0.00088564i,-0.0018451+0.0018931i,-0.0012275+0.00093001i,-0.0012179+0.00016674i,-0.00038243-9.2094e-05i,0.00081102-0.00056794i,0.00089052-0.00065357i,0.00065353-0.00044247i,0.00053681+5.5754e-05i,0.00042672+0.00033235i,-0.00012698-0.00010525i,-0.00011454-0.00032341i,0.0005283-0.00029912i,-0.0002293-0.00047482i,-0.00044999-0.00051027i,-3.8175e-05-0.00042165i,0.00057144+4.866e-05i,0.00074869+0.00010329i,0.00052147-0.00041385i,0.00011032-0.0006116i,0.00026223+3.3273e-05i
0.00050389-0.0024656i,-0.0007761-0.0014209i,-0.0013183-0.00013263i,-0.0010071+0.00070295i,-0.00068776+0.00062978i,0.00021926+0.00085378i,0.00094813+0.00042093i,0.00051295+0.00012018i,0.00033018-9.3137e-05i,6.3398e-05-0.00053843i,0.00034466+0.00014638i,0.00062061+0.0010643i,-0.00017617+0.00054759i,-0.00040439-9.5723e-05i,0.0002837-6.1734e-05i,0.00022159-7.7406e-05i,-0.00045373-5.5515e-05i,-0.00030041-0.00025687i,0.0004561-0.00084185i,0.00049506-0.00048813i,4.6804e-05-0.00019845i,0.00050861-0.00019515i,0.00075691-3.3772e-06i
0.0001172+0.00097377i,-0.001696+0.0006915i,-0.0019501+0.00089419i,-0.00052645+0.0015875i,0.00020089+0.0010311i,-9.6055e-05-0.00055082i,-0.0011172-0.0008153i,-0.0010477-0.00034871i,-9.9166e-05+6.9279e-06i,0.00059422-0.0004623i,0.00049894-0.00084976i,-0.00046432-0.00069211i,-0.0004113-0.0010821i,0.00016293-0.00068954i,-0.00023838+0.0003179i,-0.00040605+0.00036767i,-0.00017468+0.00022886i,0.00052863+0.00047174i,0.00028146+0.00041523i,-0.00030817+0.00050821i,-4.1766e-05+0.00085502i,0.00056846+0.00050971i,0.00010735+0.00021414i
0.0019161-0.0019425i,0.0012956-0.0010587i,0.00038912+0.00047464i,0.00015764+0.00058629i,0.00033862-0.00042451i,0.00065566-0.00057999i,-0.00026603+0.00012022i,-0.00055084+0.00068627i,-0.00022586+0.00028262i,-0.00025246-0.00057114i,0.00058578-0.0005292i,0.00099399-0.00062497i,0.00026359-0.0005245i,-9.388e-05-0.00024303i,-0.00052107-0.00051337i,-0.00073188-0.00059053i,-8.616e-05-0.00044783i,0.00013533+1.4639e-05i,-0.00037646+0.00057294i,-6.7131e-05+0.00031475i,0.0005988+0.00023313i,-0.00034809+0.0004148i,-0.00082602-0.00014629i
