-0.0016656+0.0013501i,-9.0862e-05+0.0010856i,-0.00066262+0.0013291i,-0.00043905+0.0014584i,-0.00049302+0.0018332i,-0.00040263+0.0017943i,0.00018349+0.0018383i,9.07e-05+0.0023411i,0.00018801+0.0015804i,0.0010506+0.00023858i,0.0012973-0.0003437i,0.00036614-0.0002306i,-0.00066292+1.4627e-05i,-0.00088967-0.00026i,-0.00087948-0.00031021i,-0.0010216-0.00020755i,-0.00023437-0.00061325i,0.00027945-0.00026881i,0.00037271+0.00064277i,0.00046939+0.00092184i,9.2736e-05+0.00049524i,-9.4678e-05-0.00026354i,0.00014969-0.00027967i
-4.1956e-05-0.00046997i,0.00054481-0.0006952i,0.00065788-0.0015452i,-0.00033031-0.00082433i,-0.0004432-0.00020945i,0.00021088-0.00068425i,-0.0001649-0.00096206i,-0.0005252-0.00030548i,-0.00059834+0.00011412i,-0.0004874+0.00027714i,-0.00025726+0.00012956i,-0.00012206-0.00036958i,-0.00011839-0.0007854i,-6.7804e-05-0.00054463i,9.261e-05-0.00015404i,0.00079718-0.00030512i,0.0008607+0.00013669i,0.00016811+1.9728e-05i,0.0003189+0.00010879i,0.00059383-7.4715e-05i,0.0006576-0.00049039i,0.00011718-0.00025143i,-0.0003043-0.00020797i
0.0011887+0.00057689i,0.0010963+0.00035133i,0.0013749-0.00041844i,0.0015146-0.0011808i,0.00085539-0.00083013i,-0.00022915-6.2293e-05i,-0.00051972+0.00059204i,0.00033571+0.0007574i,0.00089676+0.00018619i,0.00042141-0.00026296i,0.00020032-0.00074524i,0.00048321-0.0007103i,0.00043882-0.00018632i,0.00016361+0.00031914i,0.00022364+0.00052351i,0.00055566+0.00028592i,0.00028189-0.00015143i,0.00021589+0.00014574i,0.00018191+0.00058768i,0.00067691+0.00055117i,0.0010009+0.0003026i,-9.073e-05+0.00043483i,-0.00086514+0.00067366i
-0.00088785-0.00023416i,-0.0013035-0.00094043i,-0.0021051-0.00094559i,-0.0017794-0.00016858i,-0.00058329+0.00016473i,-0.00053624+0.0006209i,-0.00044941+0.00092841i,-0.00015312+0.00096834i,8.6094e-05+0.00037111i,-0.00029642+0.00020951i,-0.00011459+0.00023676i,0.00096728+8.4414e-05i,0.00073923+0.00020698i,0.00078318+5.2614e-05i,0.0010333+0.00036946i,0.00038521+0.00037414i,-6.4196e-05+0.00011427i,-0.00032189+0.00064011i,8.8036e-05+0.0010339i,0.00058606+0.00060559i,0.00047919+0.00012387i,-1.2713e-05+0.00016407i,-0.0003706-0.00027469i
0.00085542-0.00023601i,0.0010053-0.0001194i,0.00058761-0.00062328i,0.0004143-0.00058452i,0.00058351+0.00017181i,0.00038019-1.0961e-05i,0.00024225-6.3479e-05i,2.275e-05+0.00012845i,-0.00021467+0.00058657i,0.00014921+0.00049306i,0.00041824-0.00030909i,-0.00036582+2.0895e-05i,-0.0011038+0.00012046i,-0.0011763-0.00045818i,-0.0010764-0.00074466i,-0.00082711-0.0002647i,-0.00035554+0.00019599i,-0.00032731+6.8665e-05i,0.00065044+0.00012432i,0.0015827-3.1956e-05i,0.00036867-0.00031244i,-0.00056962-0.00023091i,-0.0008347+9.2572e-05i
0.0008666+0.00051118i,0.0015206-0.00011328i,0.0013195-0.0007621i,0.0011464-0.0011496i,0.00085636-0.00080086i,0.00011393-0.00049435i,-0.00062256+0.00035204i,-0.00078779+0.0011383i,-0.00061577+0.0016847i,-0.00052394+0.0013379i,-0.00081197+0.00076556i,-0.00010618+0.00034963i,0.00041082-0.00018018i,0.00073914+7.3924e-05i,0.00096291+0.00053748i,0.00067386+0.0010633i,0.00033649+0.00050964i,0.00026285-0.00058205i,3.262e-05-0.00082125i,-0.00042632-0.00029634i,-0.00027297-0.00067116i,-1.3732e-05-0.0006423i,-0.00015351+0.0003336i
0.0015634+0.00060277i,0.0021059+0.00084193i,0.0012059-0.00072776i,0.0012235-0.00090548i,0.0013354+0.00032827i,0.0011837-7.2252e-05i,0.00095467-0.00029074i,0.00022442+0.00046271i,0.0001456+0.00038568i,0.00025918-0.00038593i,0.00011912-0.00031066i,0.00012038-0.00014564i,-0.00046329+0.00054502i,-0.0011693+0.00076984i,-0.0006504-0.00013066i,-0.00012388-0.00067552i,3.7404e-05-0.00072488i,0.00064382-0.00012128i,0.00075705+0.0011032i,-0.00031728+0.0011531i,-0.00062345+0.00013898i,-0.0001379-0.00049452i,2.5774e-05-0.00025412i
0.00061729+0.00082878i,0.0003916+0.0014737i,-0.00067263+0.0011908i,-0.0011382+0.00079708i,-0.0013293+0.00093984i,-0.0010525+0.00059329i,-0.0008307+0.00060386i,-0.0010693+0.0011808i,-0.00034829+0.0011594i,0.00053108+0.00081883i,0.0011932+0.00070236i,0.00073231+0.00073425i,-0.00020794+0.00074669i,-0.0006943+0.00019528i,-0.00015-0.00028914i,0.00042709-0.0009153i,-1.5043e-05-0.0007789i,-0.0003029-0.00021048i,0.00067957-0.00055514i,0.0016215-0.00028513i,0.0014276+0.00011855i,0.00019918+7.5033e-05i,-0.00046405+0.00033794i
0.0008135-0.0004955i,0.0012196-0.0013985i,0.00276-0.0015298i,0.0026675-0.0010738i,0.0015303-0.0013693i,0.00044544-0.0015062i,-6.0809e-05-0.00025077i,0.00027495+4.215e-06i,0.00021297-0.00045377i,-0.00025513-0.00019714i,-0.00039609-0.00019938i,-0.00037065-0.00018379i,-0.0003598+0.00044322i,-0.00039325+1.1761e-05i,1.0976e-05-0.00050499i,0.00067236+0.00072787i,0.00057703+0.0010463i,-0.00012835+0.00022045i,-0.00034859-0.00046097i,0.00055394+0.00023024i,0.00057618+0.00060566i,0.00012548+1.244e-05i,0.00063839-0.00026967i
0.00072408+0.0003441i,0.00050573+0.00068321i,0.0012704-0.00057954i,0.0011582-0.0012735i,0.00042643-0.00082088i,7.6288e-06-0.00025616i,0.00010361+0.00023495i,8.1757e-06+0.00064986i,0.00043231-0.00022069i,0.00078131-0.00064117i,0.00057228+0.00028874i,0.00012251+0.00072283i,-0.00012105+0.00030103i,0.00043295-0.00011984i,0.001054+5.9519e-05i,0.00056032-7.3776e-05i,5.3938e-05-0.0001216i,0.00021498+0.00061855i,0.00022572+0.0011007i,0.00029214+0.00033965i,0.00056057-0.00054118i,0.00043062-0.00075071i,-0.00010942-0.00090862i
-9.5772e-05-0.0010345i,-0.0012648-0.000392i,-0.0022265+0.00028788i,-0.002004+0.00025797i,-0.00079978+0.00024242i,7.0601e-05+0.00053846i,-0.00060126+0.00083583i,-0.0013283+0.00057128i,-0.0010333-3.3637e-05i,-0.00068407-0.00078745i,1.5956e-05-0.0013149i,0.00019284-0.00062418i,-0.00057761-0.00033857i,-0.00074947-0.00038517i,0.00067667-0.00013772i,0.001671-0.00010688i,0.0012016+0.00028522i,0.00057997+0.0005305i,0.00090059+0.00047265i,0.0010911-0.00026993i,0.00076152-0.00056183i,0.00068171+0.000291i,-4.1615e-05+0.00053525i
