0.0011123-0.00079483i,0.00083912-0.0019356i,-2.1499e-05-0.0033936i,-0.0002778-0.0034572i,-0.00087343-0.0022236i,-0.0011394+0.00011565i,-0.00027617+0.001173i,0.00077678+0.0011887i,0.0013299+0.00064661i,0.0015393-0.00072285i,0.00063154-0.00080106i,-0.00048482-0.00072971i,-0.00018235-0.00049044i,-9.114e-05-4.7738e-05i,-0.0010282+0.00017547i,-0.0015539+0.00037477i,-0.00075576+1.6037e-05i,2.218e-05+0.00038602i,-0.0001615+0.00096401i,-0.00024899+0.0006166i,-0.00026907-0.00029484i,-0.0010289-0.00091236i,-0.00094164-0.0003435i
-0.0010945-0.00036044i,-0.0010203+0.00030226i,-0.00033371+0.0010251i,0.0011235+0.00048975i,0.0017322-0.0004673i,0.001789-0.00082947i,0.0018646-0.00082i,0.0010917-0.0011223i,0.00010294-0.001406i,-0.00032672-0.00053753i,-0.00034371+0.00024936i,-0.0003681-0.00073648i,-0.00041362-0.00086463i,-0.00024277-0.0004648i,-5.692e-05-0.00079745i,-0.00053243-0.00029621i,-0.00074332-0.0002587i,4.8318e-05-0.00033724i,0.00066688-4.7472e-05i,0.00081622+0.00059152i,0.00078205+0.00054725i,-3.0239e-05-0.00016122i,-0.0009284-6.73e-05i
0.00094897+0.00041102i,9.2905e-05+0.00011654i,0.00014901-0.00083311i,-0.00023366-0.00062836i,-0.00017613-7.2089e-05i,0.0004401-0.00025764i,0.00090997-0.00066243i,0.00045823-0.00078835i,0.00015104-0.0005711i,0.00039795-0.000109i,0.00042889-5.3521e-05i,0.0003198-0.00019009i,-0.00042251-5.8531e-05i,-0.00044212-0.00027268i,-0.00010185-0.00079479i,-5.6618e-05-0.00051961i,-0.0001577-7.5508e-05i,-0.0008527+0.00055504i,-0.00075828+0.00063523i,1.1633e-05+0.00038625i,-0.00038986+0.00032398i,-0.00075583+0.00031993i,-0.00041816-4.9444e-05i
0.00043902-0.00045702i,0.00081848+3.1156e-05i,-0.00018721-0.00019875i,-2.1198e-06+0.00079052i,0.00093559+0.0008621i,0.0017458+5.1102e-05i,0.0014271-0.00051787i,0.00085129-0.00012372i,0.00068167+0.00011296i,0.00053401-0.00041759i,0.00053186-0.000351i,0.00052567-0.00028541i,-0.00016013-0.00042281i,-0.00046384-0.000589i,-8.9457e-05-0.00029248i,-3.9605e-05+0.00013861i,-0.00049263+8.2394e-05i,-0.00080335+0.00043918i,-0.00034735+0.00028117i,7.7043e-05-5.6295e-05i,0.0004157+3.1081e-05i,0.0002322+0.00038661i,-0.00011557+0.00066975i
-6.503e-05-7.0552e-05i,-0.00087865-0.00064915i,-0.00059514-0.0025465i,-0.00012844-0.0021411i,-0.00058573-0.00081023i,-0.00042255+4.2596e-05i,0.00036588+0.00035877i,0.00093482-0.00039121i,0.00085491-0.00073627i,0.00043882-0.00076952i,0.00042841+6.5882e-05i,0.00084199+0.00072777i,0.00076772-0.00024596i,0.0010053-0.00090395i,0.0011358-0.00086259i,0.00065467-0.00092837i,0.00018117-0.00048494i,-0.0002223-0.00024294i,-0.00062398-0.000676i,-0.00016484-0.0011722i,0.00043533-0.00079683i,-0.00012505+0.00027136i,-0.00041189+0.00012029i
0.00071625+0.001326i,0.00093925+3.1155e-05i,0.00080858-0.00044362i,0.00062209-0.00019644i,-2.4945e-05-0.00088226i,0.00067588-0.0008842i,0.0010499-0.00081369i,0.00010607-0.0011668i,-9.3085e-05-0.00089901i,0.0008325-7.7063e-05i,0.0010323+0.00039744i,0.00073511-0.00021968i,0.00061462+0.00018574i,0.00017536+0.00063119i,-0.0004936+0.00036501i,-0.00089972+0.00033304i,-0.00074917+0.00031474i,-0.00067605-0.0001162i,-0.00083151-0.0001247i,-0.00023858+0.00066586i,0.00029704+0.00078668i,0.00061446+0.00038345i,7.5914e-05-0.00014412i
0.0020437-0.00073506i,0.0025387+0.00013761i,0.0026666+0.00063431i,0.001247+0.00052582i,0.0005395+0.0007031i,0.00072866+0.0008423i,0.00075201+0.00015277i,0.00049133-0.00077444i,0.00028582-0.0010226i,-6.4908e-05-0.00041301i,0.00028004+0.00038635i,-0.00041152+0.00055545i,-0.00095954-0.00029411i,-0.00024404-0.00041829i,-0.00015945-5.7592e-05i,-0.00026823+0.00035332i,2.3537e-06-0.0001186i,0.00016747-0.0002924i,0.00054674-0.00022179i,0.00092283+0.00059908i,0.0003428+0.0011201i,0.00027312+0.00018996i,0.00017689-0.00030996i
-0.00086414+0.00085544i,-0.00063897+0.00049356i,0.00018414-0.00020385i,0.0017208-0.00083079i,0.0023417-0.00040942i,0.0017617+0.00010972i,0.0016594-5.0537e-05i,0.0010844-0.00014939i,-3.9834e-05+6.7464e-05i,0.00016632-0.00066922i,0.00078688-0.00045525i,6.1612e-05+7.5155e-05i,-0.0012104+9.3435e-05i,-0.0017149-0.00065263i,-0.0013937-0.00089997i,-0.0011664-0.0001589i,-0.00099278+0.0003233i,-0.00061216+0.00073233i,0.00048432+0.00064142i,0.00057962-7.3077e-06i,-0.0002332-0.00059612i,0.00031378-0.00016079i,0.00068408+0.00063633i
-0.0002978-0.002362i,0.00031162-0.0020354i,-0.00037863-0.0017124i,-0.00095895-0.0001706i,0.00027074+0.0016196i,0.0014697+0.00098731i,0.0015179-0.00058719i,0.001029-0.00050151i,0.00056571-2.3429e-05i,0.00056671-0.00013191i,0.00039308-0.00056976i,-0.00028663-0.00073712i,-0.00066566-0.0009007i,-0.00064592-0.0010084i,-0.00029991-0.000714i,0.00011412-0.00047705i,0.00028644-0.00052837i,0.00012785-0.00025517i,0.00023081+0.00013311i,0.00042353+0.00050889i,0.00053326+0.0009521i,0.00028908+0.00057656i,0.00029984+0.00010635i
-0.0010939+0.0012296i,-0.00012957+0.0024787i,0.00042946+0.0037346i,0.0016076+0.0023492i,0.0022003+0.00044665i,0.002243-0.00049234i,0.001707-0.00026823i,0.00024262+7.5912e-05i,-0.00026281+1.2774e-05i,0.00092752-0.00048862i,0.0025137-0.00070517i,0.0018969-0.00082023i,0.00011687-0.00083188i,-0.0010498-0.00073661i,-0.00076173-0.00093911i,-0.0010888-0.00065893i,-0.00098001-6.3043e-06i,-0.00027735+0.00059442i,-0.00036006+0.00056691i,-0.00036532+0.00026301i,-0.00074835+6.267e-05i,-0.00036435+0.00026675i,0.0010735+0.0005345i
-0.0015639-5.8035e-05i,-0.00061588-0.00026572i,-0.00013568-0.00052405i,-0.0005082+0.00039833i,-0.00017901+0.00083815i,0.00097585+0.00052094i,0.00098881-6.4508e-05i,0.00048879-0.0005508i,0.00062915-0.00059206i,0.0003942-0.00080925i,-0.00014005-0.0011212i,0.00014569-0.00097665i,0.00088251-0.00079495i,0.001226-0.00079106i,0.0010477-0.0004417i,0.00018143+5.965e-05i,6.5913e-05+0.0002544i,-0.00014461+0.0001525i,-0.00026936-0.00046781i,-0.000357-0.00093197i,-0.00055514-0.00090209i,-0.00072888-5.2712e-05i,-0.0010535+0.00062345i
