-0.0016792+0.0007926i,-0.0012047-0.00086569i,-0.0010798-0.00041442i,-0.00056443+0.0010469i,3.8229e-05+0.0016572i,3.0453e-05+0.00099918i,-2.2498e-05+0.00091133i,0.00013145+0.0012333i,0.00045658+0.00064335i,0.00069057-0.00027955i,0.0011584-0.00035216i,0.00078447+4.1782e-05i,6.8202e-05+6.4279e-05i,-0.00036971-0.00021672i,-0.00017882+0.00020825i,0.0002004+0.00042924i,1.7406e-05-0.00061173i,-0.00051444-0.00061861i,-0.00030869+0.00027817i,-0.00010166+0.00056728i,-0.00027709+0.0001958i,-0.00084941-0.00093973i,-0.0011278-0.00099937i
-0.000807+0.0020107i,0.00073169+0.0017367i,0.002077+0.0022646i,0.0029363+0.0018702i,0.0036043+0.00049748i,0.003251-0.00032122i,0.0014902-0.00041247i,0.00025713+0.00022297i,-0.00033789+0.00059508i,-2.1751e-05+0.00030968i,0.00091105+0.00038418i,0.0007444-0.00080773i,0.00031318-0.0012114i,0.00030389-0.00016432i,0.00075719+0.00024421i,0.00071199-0.00061261i,0.0003818-0.00039552i,4.03e-05+0.00010453i,-4.2674e-05+0.0004062i,-5.3404e-05+0.00078701i,-0.00038811-0.00014539i,-0.00022471-0.00081055i,0.00017504-0.00037773i
-0.00032271+0.0032155i,0.00065446+0.0025513i,0.0023778+0.0030543i,0.0035842+0.0024566i,0.0034597+0.00024529i,0.002305-0.001279i,0.001043-0.0012226i,0.00033652-0.00036119i,0.00030759+0.0001203i,0.00045213+0.00037574i,0.00036083+0.00054548i,0.00031138+0.00072911i,0.00050425+0.00014771i,0.00032153-0.00064554i,-0.00043325-0.00012756i,-0.00079941-5.0658e-05i,-0.00077571-0.00086508i,-0.00056322-0.00074088i,-0.00011335+0.00044723i,-0.00031868+0.001264i,-0.00068951+0.00076715i,-1.1475e-05+0.0003519i,0.00087417+0.00052406i
0.00041204+5.1289e-05i,0.00023817+0.00032931i,0.00035825+0.0016554i,0.00012979+0.0019615i,-0.00017468+0.0015583i,0.00023547-0.00021702i,0.0010432-0.00079463i,0.00049882-0.00047559i,-0.00013075-0.00058692i,0.00058202+0.00011553i,0.0013235-0.00011943i,0.00094748-0.00097988i,-0.00010484-0.0007997i,-0.00068605-0.00060783i,-0.00049643-0.00043581i,0.00036106-0.00017128i,-3.7256e-05-0.00082031i,-0.00060541-0.00084956i,-0.00016859-0.00026379i,-0.00058169-8.4187e-05i,-0.0010025+0.00043463i,-0.00071117+0.0012408i,0.000247+0.00055499i
0.00036905+0.0012912i,0.00062953+0.0017701i,0.0015683+0.0013512i,0.0022422+0.0011364i,0.0021526+0.00037456i,0.0012777-0.00070895i,0.00045352-0.001244i,0.00041152-0.0016299i,0.00019596-0.00090894i,-0.00032374+0.00039244i,-4.7155e-05+8.3802e-05i,0.00080641-0.00051583i,0.00013044-0.00097802i,-0.00026221-0.001283i,0.00070977-0.00083897i,0.00083797-0.00049451i,-0.00048899+0.00010459i,-0.00051749+0.00015976i,3.8199e-05-0.00016447i,-0.0002366-0.00027613i,-0.00027161-0.00057631i,-7.419e-05-0.00048845i,-0.00031135+3.4779e-05i
-0.0021684+0.00068692i,-0.0017118+0.00096349i,0.00042795+0.0021305i,0.0021587+0.002411i,0.0020424+0.0013838i,0.001328-0.0002184i,-0.00017768-0.0017331i,-0.00097459-0.0012574i,-0.00043131+0.00015165i,-3.2537e-05+0.00045974i,-0.00012719+0.00037507i,-0.00026717+0.00012056i,1.6115e-05-0.00024075i,0.00066914-0.00010181i,0.0008596+0.00044842i,0.00065122+0.00021491i,0.00013819+0.00040409i,1.0554e-06+0.00067766i,0.00043219-0.00027027i,9.6786e-05-0.00084293i,-9.63e-05-0.00077249i,0.00040275-0.00037046i,0.00030897-0.00047749i
0.0011136-0.00058644i,0.0004607+6.1058e-05i,0.0008952+3.5216e-05i,0.0013245-0.00044411i,0.00031473-0.0010853i,5.5408e-05-0.00074975i,0.0012872-3.9773e-05i,0.0010731-0.00012662i,0.00042967-0.00040842i,0.00043291+0.00033865i,0.00018375+0.0010664i,8.0555e-05+0.00051452i,0.00011925-0.00032308i,0.00039358-0.00037642i,0.00032384+3.3128e-05i,-0.00043337-0.00019273i,-0.0010244+1.0891e-05i,-0.0010875+0.00065667i,-0.00060897+0.00065417i,5.5429e-05+0.00022205i,0.00045047-9.6971e-05i,0.00074137+3.3268e-05i,0.00052539+0.00013818i
-0.00083668+0.00020038i,-0.00033296+0.00042194i,0.00024859+0.0013092i,0.00069427+0.00081134i,0.0012913-7.3927e-05i,0.0014553-0.0012932i,0.00085948-0.001322i,0.00049328-0.00079011i,0.0006771+0.00015763i,0.00064419+0.00058521i,-1.6685e-05+9.3653e-05i,-9.5202e-05+6.135e-05i,-0.00027113+8.229e-05i,-0.00070247-0.00028989i,-0.0001+0.00012895i,4.1082e-05+0.00058828i,-0.00050518+0.00026279i,-0.00064379-8.6362e-05i,-0.00072112+0.00016046i,-0.00031009+0.00060386i,0.00010832+0.00023654i,-7.0663e-05-0.00014666i,-0.00021674-0.00023806i
0.0022176+0.00019853i,0.0014093+0.00036679i,0.00079225-0.00018235i,0.00048629-0.00040248i,0.0010155-0.0004262i,0.0010089-0.00038462i,6.0213e-05-0.00012949i,-0.00017315-0.0004429i,-0.00032118-0.00068628i,-0.0007702-0.00052889i,-0.0008499-0.00056905i,-0.00031605-0.00084909i,0.00046709-0.00092211i,0.00032023-0.0006268i,-0.00068948-0.0003335i,-0.00066643+3.3596e-06i,-0.00024184-0.00019068i,-0.00052927-0.00049894i,-0.0004034-0.0008249i,-0.0002936-0.00096777i,-0.00023058+0.00046111i,-0.00060344+0.0011845i,-0.00060597+0.00030654i
0.00040349+0.00025836i,0.00139+0.00065643i,0.0017192+0.0017516i,0.0015728+0.0022845i,0.002567+0.0009525i,0.0027211-0.00075946i,0.00071859-0.0015565i,0.00019737-0.001188i,0.00076667+0.00087161i,0.00015573+0.0013746i,-0.00094734+0.00088028i,-0.00070137+0.00034745i,0.00015852-0.00044793i,0.00058451-0.00052612i,8.6384e-05-0.00060679i,-0.00073519-0.00013404i,-0.00082206+0.00056894i,-2.3127e-05+0.00023827i,0.00074329-0.00016926i,0.00064482-0.00036482i,0.00038526-0.00092049i,-7.4264e-05-0.00079i,0.00020018-0.00034165i
0.00060101-0.0013141i,-8.1853e-05-0.00028176i,-0.00019553+0.00089491i,-0.00061461+0.0013792i,-0.00071217+0.00058967i,-0.00072304-0.00023329i,-0.00063289-0.00072539i,-0.00097659-0.0017294i,-0.0015101-0.0011216i,-0.00073856-0.00011283i,-1.0481e-05-0.00035304i,-0.00021593-0.0003526i,-0.00017161+0.00051808i,0.00023519-4.7354e-05i,-7.7322e-05-0.0010556i,-2.8131e-05-0.00061374i,0.00039408+0.00082326i,0.00080101+0.00062154i,0.0010817+0.00054589i,-0.00033657+0.00077273i,-0.00080588+0.00033211i,-0.00017355+0.00024562i,-0.00052788+0.00012999i
