0.00054033-0.00020398i,0.00022933-0.00011183i,0.00049328-0.00021469i,0.00042912-0.00088061i,0.00077193-0.0011064i,0.00062487-2.9222e-05i,-0.00049025+0.00065496i,-0.00047762+0.0013895i,0.00057682+0.0015928i,0.001499+0.0012153i,0.0019667+0.00035845i,0.0010505-6.053e-05i,-0.00038912-7.0544e-05i,-0.00096293+0.00010918i,-0.00061654+0.00033952i,-0.00040964+0.00030627i,-0.00045764-0.00012993i,-4.0211e-05-0.00075454i,0.00027109-9.3707e-05i,-0.00017652+0.00029379i,-0.0006629-0.00036749i,-0.00041576-0.00073557i,-3.6847e-05-8.0529e-05i
0.0010131-6.2598e-05i,0.0012273-0.00052603i,0.0011002+0.00066376i,0.00097665+0.00059723i,0.0012728-0.00030306i,0.0005508+0.00013625i,0.00063688-0.00023415i,0.00072193-0.00030075i,-0.00049176+0.00018481i,-0.00074833-0.00061714i,-0.00027555-0.00064677i,-0.0010669-0.00015019i,-0.0011471+0.00067016i,-0.00059141+0.0013843i,-0.00023794+0.00060846i,-0.00027548-0.00036894i,-0.0008556-0.0009553i,-0.00044541-0.00063043i,0.0004079-0.0005219i,0.00084957-0.0007771i,0.00091517-0.00038958i,0.00024208+7.6494e-05i,4.7696e-05+0.0002024i
-0.00051785-0.00060036i,-0.00074049-0.0013588i,7.5951e-05-0.00082095i,0.0012495-0.00015108i,0.0017649-0.00056825i,0.0021695-0.0010686i,0.0017162-0.0010413i,0.00026982-0.00060967i,-0.00053764-0.00061886i,-0.00034198-0.00044194i,0.00015924+0.00087812i,0.00099866+0.0010183i,0.00066562+0.00074109i,-0.00061216+0.00089784i,-0.00022673+0.00071685i,-0.00017885+0.0001254i,-0.00053013+0.00019659i,-0.000105+0.00051613i,0.00024343+0.00075256i,0.0003702+0.00016921i,8.7449e-05-0.00067105i,-0.00016959-0.00043067i,-7.0627e-05-0.00085626i
-0.00022253-0.0010996i,0.0014103-0.0011818i,0.00224-0.0015542i,0.0016415-0.0018532i,0.0014028-0.0023327i,0.0017566-0.0016695i,0.0012799-0.0013682i,-3.0035e-05-0.0009662i,-8.4705e-05+4.0016e-05i,0.0003995+0.00059007i,0.00023652+0.00089117i,4.8508e-05+0.00058579i,0.00043029+0.00014396i,9.3482e-05+0.00041078i,-0.00089721+0.00035122i,-0.00073082-8.0892e-05i,-0.00060299+0.00034694i,-0.0011911+0.00042108i,-0.00058111-0.00030022i,-2.373e-05-0.00056247i,2.8972e-05-0.00032764i,0.00061216-4.5576e-05i,0.00080254-8.532e-05i
0.0013793-0.00064915i,0.00097888-0.00049501i,0.0009837-0.00050439i,0.00096638-0.00053913i,0.00034683-0.0009225i,0.0014113-0.0010522i,0.0022562-0.0011263i,0.0010545-0.00078678i,-0.0005618-0.00038365i,-0.00052607-0.00071062i,0.00012499+9.2709e-05i,-0.0003262+0.0010382i,-0.00047604+0.0011006i,-0.00062017+0.00084198i,-0.00011161+0.00048859i,0.00064006-0.00050333i,0.00041529-0.00091996i,-4.7309e-05-0.00080179i,0.00011039-0.00025963i,0.00045811+0.00087153i,-0.00024494+0.00031352i,-0.00098026-0.00058264i,-0.0004562-0.00059409i
-0.00031877+0.0014306i,-0.00039307+0.0013322i,0.00022576+0.0011052i,0.0011563-9.7751e-05i,0.0017704-0.0010016i,0.0017059-0.00082727i,0.00088985-0.00054174i,-0.00054443-0.00044307i,-0.0010649+0.00016724i,-0.00076699+0.0009803i,-0.00036732+0.0007424i,-3.0897e-05+7.3452e-05i,-0.00067448-8.9396e-05i,-0.0017309+0.00051504i,-0.001407+0.00041374i,-0.00034956+0.00061363i,-0.00046252+0.0010286i,-0.00055614+0.00034688i,-0.00027309-1.0241e-05i,1.915e-05+0.00041949i,-7.1771e-05+0.00056853i,-0.00038675-0.00040159i,-0.00042854-0.00038833i
0.0013988+0.00072668i,0.0020067+0.00048751i,0.0022668-0.00058502i,0.0025758-0.00043457i,0.0026486-0.0004856i,0.0024581-0.00076654i,0.0018901-0.00094623i,0.0010699-0.00060647i,-0.00053371+0.00065758i,-0.0010782+0.0012873i,-0.00012722+0.00079412i,0.0002364-0.00010099i,-0.00024016+5.7142e-05i,-0.00030537+0.00044898i,4.9418e-06+0.00045922i,-5.9046e-05+0.00041538i,-0.00026955-0.0001809i,-0.00049166-0.00019941i,-0.0006495+0.00015893i,-0.0014165-8.8826e-05i,-0.0020068-0.00070367i,-0.0010135-0.00078385i,-0.00017317+7.0034e-05i
0.0015252-0.0012003i,0.00032152-0.0013761i,-0.00049595-0.0018216i,-0.00088687-0.002143i,-0.00098454-0.0021883i,0.00025639-0.0020323i,0.00036596-0.0011723i,-6.7393e-05+0.00012783i,0.00012698+0.0010081i,-0.0001951+0.00046685i,-0.00056723+9.2535e-05i,-0.00060523+0.00027389i,-0.00022213-2.4791e-05i,0.00013736+2.957e-05i,-0.00016659+0.00032768i,6.1053e-05-0.00011222i,0.00051396+0.00024191i,0.0002935+0.0010405i,-5.0092e-05+0.0012638i,-0.00013379+0.00075173i,-0.00021008+0.0002759i,0.00013173+0.00070247i,0.00073123+0.00072911i
0.00049684-0.00027689i,0.0012252-0.0012621i,0.0014178-0.0018864i,0.00063317-0.0016168i,0.0015531-0.00067584i,0.0020639-0.00020965i,0.00074423-0.00065986i,-0.00050065-6.8664e-05i,-0.00053428+0.00079771i,-0.00017689+0.00052183i,-0.00038802+0.0003843i,-0.00034826+0.00039714i,-0.0004887+0.00033024i,-0.00055583+0.00034934i,2.1936e-05+7.4968e-05i,5.5341e-05+0.00021244i,-4.2959e-05+0.00033627i,-8.9891e-06-0.00037636i,0.00086591-0.00049267i,0.0013775+0.00016476i,0.00074406+0.00018217i,0.00010795-7.3184e-05i,0.00017677-0.00021011i
0.00012486+0.00083611i,0.00098443+0.00076818i,0.0018284+0.00068364i,0.0021414+0.0010977i,0.0023691+0.00012606i,0.0023682-0.00061242i,0.0020916-0.00084938i,0.00066087-0.0010553i,-0.00060984-0.00019986i,-0.00030581+0.00042395i,-0.00030794+0.00023861i,-0.00064566+0.00031222i,-0.00036836+0.00077678i,0.0005127+0.001084i,0.00089477+0.0011213i,-8.4694e-05+0.00018444i,-0.00077541+6.9787e-05i,-0.0008665+2.4043e-05i,-0.00071608-0.00025458i,0.00011628+0.00042145i,-0.00034681+0.00129i,-0.00035845+0.00099437i,0.00085203-0.00013728i
-4.5944e-05+0.0020329i,0.00076322+0.0010163i,0.0011902+0.0010469i,0.002087+0.00077066i,0.0034702-0.00022293i,0.0035758-0.00099471i,0.0022111-0.00049481i,0.00017614+0.0011894i,-0.00065295+0.0014101i,-6.5003e-07+0.0015065i,1.966e-05+0.001489i,-0.00012805+0.0007295i,-0.00026504-0.00028345i,-0.00058588-0.00021756i,-0.00081035+0.00018191i,-0.00068849-0.00056463i,-1.403e-05-0.00065644i,0.0002939+0.00043764i,0.00032973+0.0008669i,0.0009182+0.00054874i,0.00066914+0.00026265i,0.00011287+0.00017311i,0.00057475-0.00057337i
0.0012713-0.0020813i,0.00036185-0.0019805i,-0.00015908-0.0031588i,-7.1814e-05-0.0031282i,0.00048542-0.0016121i,0.00068329-5.4223e-05i,0.00011225-9.5113e-05i,-0.00064086-0.0006538i,-0.00036032-0.00042453i,-0.0002285+0.00040391i,-0.00066306+0.00064565i,-0.00031755+0.00057069i,0.00020098+0.00088634i,0.0010883+0.0005375i,0.0012587-0.00040071i,0.00074828-0.00050871i,0.00014767-0.00040554i,-3.8274e-05-0.00017684i,-0.00012794-0.00013059i,-0.00070442-0.00070233i,-0.00092745-0.00047736i,-0.00058549+0.00045118i,-0.00015475+0.00079302i
-0.0011338+0.0002957i,-0.0019898+0.0011702i,-0.0015632+0.0020248i,-0.0001997+0.0013515i,0.001538-0.00012918i,0.0025235-0.00078086i,0.0014504-0.00054293i,-0.00051918-0.00053113i,-0.00069953-0.00028771i,0.00028234+0.00033304i,0.00068967-8.052e-05i,0.00030603-0.00057671i,0.00014406-0.00048371i,0.00082001-0.00022i,0.001161+0.00072491i,0.00063806+0.0011598i,0.0001381+0.00023779i,-0.00037913-0.00022714i,-2.9674e-05+0.00072005i,0.00030628+0.0010455i,8.5024e-05+0.00058144i,0.00011984-0.00030659i,8.3141e-05-0.0012156i
0.00014451+0.00038416i,-0.00068499-0.00063416i,-0.00073098-0.0007803i,0.00032189+9.5946e-05i,0.0019084-8.4882e-05i,0.002631-0.00092264i,0.001766-0.00071357i,-4.9386e-06-0.00018526i,-0.00065812+0.00024063i,-0.00012031+8.8202e-05i,0.0003469+0.00015401i,0.00030154+0.00040799i,0.00021046+0.00014814i,-0.00011125-0.00037446i,0.00011178+8.9659e-06i,0.00053547-7.0188e-05i,0.00023166-0.0002729i,-0.0002512+0.00049615i,-0.00041256+0.00063572i,-0.00070085+0.00056258i,-0.00079468+0.0003836i,-0.00018503+0.00026221i,1.6112e-05-2.6776e-05i
0.00040858+0.00023278i,0.00068833+0.0010718i,0.0018408+7.4415e-05i,0.0026767-0.0010063i,0.0032883-0.0013465i,0.0028144-0.0020569i,0.0015119-0.0010607i,0.00063604+0.00037943i,0.00050931+0.00057748i,0.00060247+0.000263i,0.00045092-3.632e-05i,0.00023379-0.00042803i,-0.00023828-0.00037208i,-0.00059948-7.8898e-05i,-0.00073986-8.905e-05i,-0.00043128+0.00017998i,-0.00025086+0.00045181i,-0.00016177+0.00012779i,-0.00017808+0.00035463i,-1.9568e-05+0.00076615i,0.00016861+0.00069033i,0.00030079+0.00032759i,0.00060373+0.00011719i
0.0011498-5.7645e-05i,-0.00054722-0.00098149i,7.2249e-05-0.00056707i,0.0015016+0.00047779i,0.0012468+9.4694e-05i,0.00073226-0.0003598i,0.0011203-0.00054663i,0.00054799-0.00088291i,-0.0003036+9.6255e-05i,0.000704+0.0014102i,0.0011181+0.00057014i,-0.00037461-0.00081133i,-0.00060466-0.00044854i,-0.00018274+9.7866e-05i,-0.00084131-0.00016439i,-0.00087123-0.00022203i,-0.00031497-0.00015894i,0.00051683+0.00023257i,0.0004048-0.00043951i,-0.00040262-0.0014671i,0.00026773-0.00056836i,0.00068594+0.00050089i,0.00044073+0.00041512i
0.0017402+4.1689e-05i,0.0012816-0.00055343i,0.00070959-0.00085328i,0.0015845-0.00095479i,0.0023759-0.0013845i,0.0020849-0.0017008i,0.0017728-0.002213i,0.0011801-0.0017511i,0.00070115-0.00063301i,0.00033954+0.00031893i,-0.00077312+0.00049658i,-0.00048797-9.5729e-05i,0.00018878-0.0002108i,-6.8313e-06-0.0005491i,-0.0002421-0.00091383i,-0.00061841-4.9945e-06i,-0.00064121+0.00094028i,-0.00062266+0.00065704i,-8.161e-05+0.00050275i,0.00012318+0.00036652i,0.00040671+0.00015978i,0.00028783+0.00017773i,-9.3827e-05+0.00032003i
0.00078341-0.0019616i,0.0003461-0.0018774i,0.00094216-0.0023888i,0.0015596-0.0020428i,0.0011513-0.00061676i,0.00086781+0.00054695i,0.00084041+0.00019219i,0.0007541-5.2576e-05i,0.0005007-0.00036006i,-8.0179e-05-0.00039285i,-0.00038243+0.0010577i,-0.00041669+0.0017402i,-0.00037472+0.0016001i,-0.00040159+0.0014568i,-0.000141+0.0010951i,-0.00010924+0.00068294i,0.00036485+0.00014487i,0.0004544-0.00069994i,3.6694e-05-0.00093516i,-0.00018594-0.00051395i,-0.00024024-0.00020089i,0.00030661+0.00030428i,0.00060019+0.00071314i
-5.564e-05-9.4266e-05i,-0.000536+4.3723e-05i,-0.00013992+0.00024816i,0.00053929+0.00022077i,0.00099914-0.00068629i,0.0014981-0.0015291i,0.0012408-0.0018274i,0.00042454-0.0020847i,-0.00052447-0.0015251i,-0.00060041-0.00041352i,0.00026993-0.00026773i,0.00025464-0.00094201i,-0.00061368-0.00021982i,-0.0010302+0.00025901i,-0.00034748-7.9651e-05i,-0.00012132-0.00020746i,-8.8439e-05-0.00061346i,0.00033891-0.00050451i,-4.3393e-05+0.00016037i,-0.00060124+7.4424e-05i,-3.4761e-05-7.7273e-05i,0.00082173-0.00072043i,0.00049269-0.0010346i
-4.9161e-05+0.00067401i,-4.8883e-05-0.00032703i,-0.00016437-0.00055432i,0.00076038-0.00029823i,0.0019786+0.00079667i,0.002274+0.0012028i,0.0015171-9.9616e-05i,-0.0001605-0.0011492i,-0.00061926-0.00055474i,0.00055884+6.925e-05i,0.0011066-3.5079e-06i,0.00060262-0.0011014i,-0.00023401-0.0013649i,-0.00011867-0.00095799i,0.0004025-0.0010754i,0.00079104-0.00079069i,8.7742e-05+6.5952e-05i,-3.3489e-05+0.00052208i,0.00036138+6.1719e-05i,0.00012635-0.00057872i,-0.00058258-9.2967e-05i,-0.00041833+0.00076614i,0.00024848+0.00038257i
0.00038236+0.0008142i,0.0011908-0.00026443i,0.0021125-0.00034972i,0.0025617-0.0004461i,0.0031694-0.00061014i,0.0029682-0.0003759i,0.0013047-0.00028544i,0.00030804-0.00051444i,0.00073652+5.5077e-05i,0.0010871+0.00010044i,2.1763e-05-0.00026703i,-0.00081778-0.00018509i,-0.00069197-0.00019137i,-0.0002858+7.3844e-05i,-0.00016335+9.9419e-05i,-0.00050169+0.00013907i,-0.00018407+0.0007194i,0.00022102+1.382e-05i,0.00035459-0.0012458i,0.00047891-0.0018765i,0.0001521-0.0015748i,-6.5533e-05-0.00066634i,-8.5157e-05-0.00013098i
7.4647e-05+0.00035293i,0.00053528-0.0013523i,0.0014033-0.0016441i,0.0020256-0.00084079i,0.0014742-0.00087194i,0.0014311-0.00082581i,0.0014318-0.00087788i,0.00030117-0.00043975i,-0.00037323+5.753e-05i,-0.00026034+0.00040893i,-0.00050395+0.00062113i,-0.00023466+0.00055852i,0.0001274+0.0010231i,-0.00064329+0.00064261i,-0.00079846+0.00011486i,-0.00092031-0.00046086i,-0.001096-0.00061923i,-0.00049946-0.00029682i,0.00038757-0.00049058i,0.0013703-0.00088581i,0.0014437-0.0005068i,0.00084777-7.2663e-05i,0.00081981-0.00031134i
0.00015468+0.00064219i,-0.00019073+0.0011428i,-0.00095804+0.00092226i,-0.00063532+0.00023922i,0.00065611+0.00023763i,0.0019903+0.00053403i,0.0023947+5.2558e-05i,0.00098202+0.0003858i,-0.00041263+0.00047942i,-0.00034152-0.00026626i,0.00016387-0.00027776i,0.00037279-7.256e-05i,0.00041844-0.00072674i,-0.00056386-0.00071587i,-0.00079719-0.00064152i,0.0004133-0.00096217i,0.0010132-0.00096997i,-0.00010071-0.00056225i,-0.0002938-0.00091508i,-0.00012253-0.0011084i,-0.00034321-0.00043316i,7.9653e-05+0.00015085i,0.00034094-0.00025297i
0.00098406+0.00085076i,0.0013226-5.6766e-05i,0.002331-7.4646e-05i,0.0033991-5.9705e-05i,0.0032257-0.0008861i,0.0023249-0.0016103i,0.0019369-0.0015439i,0.0010888-0.00051538i,0.00029241+0.00097213i,-0.00014156+0.0011961i,-8.7153e-05-9.7102e-05i,-0.00021525-0.0011602i,-0.00023612-0.0010115i,0.00011961-0.0001943i,-0.00022907-0.00062461i,-0.00072049-0.00024694i,-0.00045886+0.00039984i,-0.00043795+0.00025908i,-0.00023864-0.00032432i,-9.7641e-05-0.00049084i,-1.3812e-05+0.00026334i,0.00014961+0.00067979i,0.00059254+0.00062868i
-0.00018943+0.0012097i,0.00077424+0.0013003i,0.0016394+0.0018635i,0.0025861+0.0014475i,0.003597+0.00031676i,0.0037628-0.00034282i,0.0026106-0.00021785i,0.00082501+0.00028757i,1.3553e-05+0.0011382i,0.00011044+0.00079691i,-4.2804e-05-0.00025692i,-0.00066158-0.00025045i,-0.00060594+0.00033143i,-0.00042345+0.00056193i,-0.00032739+0.00095796i,0.00012674+0.00055573i,0.00060891+0.00024921i,6.2173e-05+0.00033886i,-0.00065012-7.9169e-05i,-0.00026629-0.00032912i,0.00024399-0.00068396i,0.0011167-0.00083182i,0.00059232-0.0006509i
-0.00014334+0.0010472i,-0.00047112+0.0013778i,-0.00011552-4.4717e-05i,0.00073363-0.00062563i,0.0012982-0.0006232i,0.0016213-0.00046517i,0.0012048-0.00082879i,0.00034955-0.00061736i,-0.00033804+0.00038728i,-4.729e-05+0.00036945i,0.00053885-0.00012356i,0.00046164+0.00017315i,0.00016806+0.00045697i,-0.0001436+0.00038872i,-0.0006521-6.3099e-05i,-0.00010228-8.7155e-05i,0.00076612+6.7653e-05i,0.0010467+0.00026135i,0.00065067+0.00082922i,0.00048763+0.00027047i,0.00054798-5.4981e-05i,0.00021988-0.00016369i,0.00059365-0.00053763i
0.00018337-0.00032752i,-0.00060494-0.00067504i,-0.0010119-0.00067095i,0.00065305-0.00040412i,0.0025084+3.4431e-05i,0.0025447+0.00043264i,0.0009762-0.00036687i,-5.0821e-05-0.001257i,-0.00043903-0.00039151i,-0.00062938+0.00042236i,-0.00043879-9.1296e-05i,-0.00021822-0.00050183i,-0.00020786-0.00040683i,0.00029517-0.00055563i,2.4952e-07-0.00043788i,-0.00043808-0.00010236i,-0.00020518+0.00024194i,-0.00035215-0.00010526i,0.00010981-0.00028122i,0.001502-0.00043388i,0.00058576-0.00065054i,-0.00041751-0.00060811i,0.00066103-0.00077488i
9.523e-05+0.00022377i,0.00035038+0.00049724i,0.00024063+0.00085941i,0.000593+0.001439i,0.0019656+0.00065811i,0.0019026-4.6832e-05i,0.00063454-0.00015661i,-0.00051339-0.00041958i,-0.00059907+0.00017864i,0.00020962+0.00079425i,0.00016919+0.00040618i,-0.00034684+9.0989e-05i,-0.00061103+0.00010905i,-0.00073067+0.00016195i,-0.00055439+0.00030754i,-0.00015306-6.7439e-05i,-0.00012201-0.00013496i,-0.00091637+5.0854e-05i,-0.0014614-9.774e-05i,-0.00077299+0.00061509i,0.00015092+0.0010795i,-0.00018259+0.00069298i,-0.00030533+0.00034037i
0.0022064+0.0025052i,0.0027895+0.0010284i,0.002742-0.00027296i,0.0027009+1.9215e-05i,0.003425+0.00056602i,0.0031937-0.00056352i,0.0026959-0.0012898i,0.001231-0.00076383i,-0.00034298+0.00015351i,-0.0001146+0.0011455i,-0.00023648+0.0010304i,-0.00052134-6.4642e-05i,-0.00073777-9.3017e-05i,-0.0012079+0.00012513i,-0.00065716-0.0003827i,-0.00019383-0.00075903i,-0.00063864-0.00076481i,-0.001425-0.00068999i,-0.0016183+0.00050333i,-0.00088229+0.00034683i,-0.00029377-0.00044779i,-0.00035366-0.00022398i,2.4318e-05-0.00013267i
9.4265e-05-0.00031506i,-0.00020983-0.0017602i,0.00044942-0.0017019i,0.0011487-0.00087341i,0.0022037-0.0011194i,0.002702-0.001525i,0.0018779-0.0014762i,0.00028625-0.0014303i,-0.00066871-0.00058245i,-0.0010341+0.00018976i,-4.8215e-06+0.00017678i,0.00059004+0.00075241i,-0.00026138+0.00037852i,-0.00059335-0.00036849i,-0.00038311-0.00094292i,-0.00044052-0.00081288i,-0.00077404-0.00037269i,-0.00023077+0.00034859i,-6.5403e-05+0.00047905i,-0.00057706-0.00062718i,-0.0002498-0.00052062i,-4.2348e-05+0.00028553i,0.00024792+1.6837e-05i
