-0.0023658+0.00048132i,0.00036972-0.00010743i,0.0010114-0.00062195i,-0.00017441-0.00036568i,-0.0012687+0.00023553i,-0.00069643+0.0011003i,-9.4939e-06+0.0022823i,0.00028935+0.0026721i,0.0013259+0.0017777i,0.0019011+0.0011508i,0.0017014+0.00086905i,0.00089442-0.00058658i,0.00013082-0.0018904i,0.00084206-0.0016402i,0.00095426-0.00089452i,-6.4692e-05-0.00025191i,-0.00032968-0.00017296i,0.00073115+0.0002753i,0.0010894+0.00042294i,0.00050147-0.00048631i,0.00084214-0.00037557i,0.00050157+9.1757e-06i,-0.00017808+0.00036551i
0.00016927+0.0026508i,0.0019634+0.0020176i,0.0036207+0.0018082i,0.0028594+0.00048373i,0.0018569-0.0011584i,0.0013409-0.00079043i,-4.5008e-06+0.0013013i,-0.0004949+0.0017736i,0.0001132+0.00143i,0.00020627+0.0010375i,0.00019164+0.00024474i,-2.1366e-05+0.00022224i,6.058e-06-0.00012132i,-0.00049916-0.00073068i,-0.0012552-0.00079377i,-0.00077127-0.00068087i,-6.3906e-06+0.00065438i,0.00028915+0.0018377i,-0.00047504+0.0011391i,-0.00041144-1.1961e-05i,0.00026174-0.00013278i,8.9696e-05-0.00021842i,-0.00010974-0.00022175i
0.0016776-0.00084359i,-0.00048457-0.00087586i,-0.0020259-0.0010547i,-0.0017527-0.0020339i,-0.0012617-0.0019523i,-0.00078991-0.00019001i,1.6135e-05+0.00086921i,-9.4816e-05+0.00083257i,-0.00032431+0.00091012i,-0.00013471+0.00071982i,-0.00026375-9.871e-05i,-2.1699e-06-0.00066208i,-0.00025785-0.00047642i,-0.00079271+0.00035033i,-0.00090877+0.000654i,-0.00080402+0.0005464i,-0.00017557+0.00059157i,0.00054284+0.00030225i,0.00041767+0.00019259i,-0.00050303-0.00010706i,-0.00092499-2.857e-05i,-0.0011546+0.00031389i,-0.00067585+0.0001619i
0.0022557+0.0013426i,0.0026909-0.00034655i,0.0027539-0.0021688i,0.0017036-0.0038656i,0.00053514-0.004118i,9.131e-05-0.002606i,-0.0011737-0.00068621i,-0.00060485-7.7486e-05i,0.00087155+0.00055065i,0.0012183+0.001417i,0.00035351+0.00035297i,-0.00085957-0.00013856i,-0.0013942+0.0010884i,-0.0012972+0.0013592i,-0.00066449+0.00054978i,-6.5575e-05-5.3633e-05i,0.00011518-0.00014316i,-0.00016136-0.00063011i,-7.096e-05-0.0007647i,0.00019977+2.2138e-05i,0.00016339-0.00011992i,0.00045075-0.00065222i,0.00042254-0.00030427i
-0.0012443-0.003279i,-0.0010308-0.0025646i,-0.0015269-0.0016168i,-0.00091435-0.0010832i,-0.0007257+0.00025539i,-0.00086233+0.0012263i,-0.00032594+0.0012207i,-9.2886e-05+0.0011208i,-0.00065205+0.0010482i,-9.4324e-05+0.0013858i,0.00037035+0.0015841i,-0.00012643+0.0010197i,5.9696e-05-5.9817e-05i,0.00067639-0.0003165i,0.00079725+0.00043591i,0.00041189+0.00027943i,-0.00018108+0.00043238i,-0.00019989+0.0010065i,0.00032082+0.00096157i,0.00027175+0.00032155i,-3.154e-06-2.3393e-05i,-0.00059538+0.00039512i,-0.00068669+0.00041027i
-0.00011023+0.00020997i,0.00092681-0.00034735i,0.0012435-0.0019101i,0.0010968-0.0027079i,0.00052901-0.0013113i,-0.00037354+9.0361e-05i,0.00025306+7.3285e-05i,0.00090304-0.0003113i,0.00051199-6.7559e-05i,0.0005918+0.00040865i,0.0007952+0.0009153i,0.001116+0.00095052i,0.0015308+0.00050208i,0.00056099-0.00018317i,-0.00075693-0.00033861i,-0.00037597+8.7648e-05i,0.00071513+0.00064309i,0.00071385+0.00064238i,0.0003877+0.00045125i,0.00081347+0.00023197i,0.00071588+4.1524e-06i,0.00019158+0.00038768i,0.00011781+0.0005042i
-0.0010343+8.1294e-05i,-0.00052548-0.0002757i,-0.00021034+0.00025191i,0.0001229-0.00047912i,0.00090833-0.00094264i,0.00098064-0.00012029i,0.00038782+0.0006545i,0.00020676+0.00069284i,0.00018707+0.00016297i,0.00024167-0.0001996i,0.00065892-0.00032529i,0.0013381+0.00035436i,0.0013308+0.00091422i,0.0010631+0.00041197i,0.00061536-0.00024672i,4.9222e-05-0.000196i,4.5784e-05+0.00047894i,-6.3853e-05+0.00083902i,-0.00045589+0.00011294i,-0.00031305-0.00031425i,5.727e-05+0.00047017i,0.00070133+0.00076062i,0.00069815+0.00030072i
-0.0004995-0.001706i,-0.0010952-0.0016108i,-0.0018458-0.0017817i,-0.0023017-0.0029242i,-0.0025217-0.0031171i,-0.0016436-0.0017178i,-0.00031877-0.00030633i,0.00028694+0.00027178i,0.00038489+1.161e-05i,4.6343e-05+7.1178e-06i,-0.00021617-0.00077516i,-0.00060053-0.0010964i,-0.00064052-0.0010003i,-3.5555e-05-0.00032379i,2.3381e-06+0.0005211i,-0.00029089+0.00047635i,-0.00059761+0.000197i,-0.00051663+3.2312e-05i,0.00053959-9.14e-05i,0.0010469-0.0002559i,0.0006191-0.00019209i,0.00068411+6.5073e-05i,0.00081436-0.00044691i
-0.0025096-2.7725e-05i,-0.0026859+0.0013723i,-0.0024589+0.0010726i,-0.0013678+0.00097634i,-0.00042249+0.00086906i,-1.0119e-05+0.00045236i,0.00044298+0.00069307i,0.00018947+0.00091574i,-0.00054061+0.00081748i,-0.0010769+0.00019431i,-0.00095507-0.00054274i,-0.00096758-0.00042686i,-0.0014077-0.00061799i,-0.0011542-0.00069941i,-0.0006561-0.00092433i,-0.00071965-0.00044087i,-0.00042552+0.00011011i,0.00046317-0.00014935i,0.00028075+0.00021382i,-0.00041809+0.00077156i,0.0003505+0.00051269i,0.0010323-0.0003685i,0.00055288-0.0010945i
-0.00035968-0.00094446i,0.00017885-0.0020839i,0.00093823-0.0019755i,0.0017648-0.0015155i,0.0013379-0.0019029i,0.00043715-0.0015287i,0.00018085-0.00069114i,-0.00023022+0.00042256i,-0.00060658+0.0012926i,-0.0001526+0.0017112i,-0.00038784+0.00083139i,-0.00073223+0.00011685i,-0.00060385+0.00050657i,-0.00052448+0.00042947i,2.9626e-05+0.00016793i,0.00013493+0.00016424i,-0.00020816+0.00012325i,-0.00039144-0.00045491i,-0.00041087-0.00024749i,-0.00065458+0.00085517i,-0.00095114+0.0010128i,-0.0010497+1.6305e-05i,-0.00095034-0.00054891i
-0.0013181-0.0019178i,-0.0017885-0.0020176i,-0.002222-0.0017006i,-0.0024863-0.0020058i,-0.0018553-0.0023093i,-0.0007-0.0011374i,0.00018849+0.00033791i,0.00045633+0.0007454i,-6.9359e-05+0.00078168i,0.00027955+0.00054907i,0.0011457+0.0006401i,0.00080779+0.0008497i,-0.00016762+0.00016859i,-0.00091575+0.00020191i,-0.00063596+0.0008816i,-0.00018509+0.00060971i,-0.00032644+0.00068896i,-0.0010495+6.5634e-05i,-0.00098886-0.00049952i,0.00042098-3.8543e-06i,0.00058396+0.00060445i,-0.00013342+0.0011604i,-0.00042995+0.0010157i
