-0.0016653+0.00036581i,-0.0011446-6.3939e-05i,-0.0025222+0.00054694i,-0.0028317+0.00047766i,-0.0028594+0.0010966i,-0.0028705+0.0018523i,-0.0018232+0.0018353i,-0.00063539+0.0015676i,0.00015787+0.0011793i,0.001036+0.00069766i,0.0008079+0.00065608i,0.00095278+0.00053856i,0.0015773+0.0001547i,0.00082392-0.0006256i,0.00051603-0.00013538i,0.00017545+0.0004609i,-0.00079771+7.033e-05i,-0.00093606-0.0001847i,-0.0011213-4.0824e-06i,-0.001259+0.00011391i,-0.00026789-0.00026425i,0.00012521-0.00029306i,-5.0836e-05+1.5212e-05i
-0.0015173+0.00017018i,-0.0014399+0.00015321i,-0.0014395-0.00060202i,-0.00067251-0.00043496i,8.2925e-06+0.0012099i,-0.00018266+0.001747i,-0.00029975+0.0010139i,-0.00038174+0.00047089i,-0.00043963+0.00068664i,-0.00038144+0.0016098i,-0.00031554+0.0022237i,6.7121e-05+0.0021546i,0.00089163+0.0011063i,0.00030667+2.4457e-05i,-0.0011698-0.00063558i,-0.0010288-0.0010689i,1.2525e-05-0.00089792i,7.9632e-05-0.00048884i,-0.00091397+0.00041275i,-0.0013022+0.00047831i,-0.001011+7.5542e-05i,-0.0007335+0.00033767i,0.00012479+0.00049443i
0.00039041+0.00017852i,0.00019037-0.00018187i,-0.00034168+9.3675e-05i,-0.0010552+0.00040121i,-0.0015296+0.00069265i,-0.0016664+0.0008371i,-0.00067361+0.0011045i,-2.0803e-05+0.00089588i,-0.00044997+0.00075046i,-0.00015928+0.0011499i,0.00023914+0.0013665i,-0.0001098+0.00035545i,0.00019901-0.000547i,-0.00085851-0.0010041i,-0.0015702-0.00061421i,-0.00019524-0.00013965i,0.00036059-0.00039494i,-0.00020635-0.00028013i,-0.00067142-0.00017712i,-0.00083096-0.00054865i,-0.0001347-0.00079911i,0.00022116-0.00061319i,0.00030069-0.00055508i
0.00014541+1.185e-05i,0.00028287+0.00092334i,0.00070765+0.0012518i,0.00083038+0.0013287i,-7.7812e-05+0.0016924i,-0.00019317+0.0017209i,4.3701e-05+0.00082955i,-0.00022859-1.1952e-05i,-0.00028223+7.1069e-05i,-0.00042971+0.0004876i,-0.00010811+0.00099264i,0.00017009+0.0016229i,-0.00024893+0.0011424i,-0.00069569-9.4109e-05i,-0.00069148-0.00045402i,-0.00035555-0.00030653i,-0.00010073-0.0008348i,-0.00044105-0.00097495i,-0.0011498-0.00053471i,-0.00045772-0.00042312i,0.00014967-0.00025786i,-0.00017319-9.7022e-05i,0.00017347+0.00010103i
0.0021836+0.0001279i,0.0031665-0.0010297i,0.002435-0.0034432i,0.00070783-0.0031539i,-0.001196-0.0013303i,-0.0022572+5.101e-05i,-0.001225+0.00033705i,0.00013288+0.00084199i,0.00056028+0.0017856i,0.00089111+0.0018022i,0.0007275+0.00067875i,-0.00013697-0.00044814i,-0.00073939-0.00042826i,-0.0004754+2.7487e-05i,5.2013e-05+0.00039832i,-0.00032557+0.00013529i,-0.00065365-0.00014137i,-0.00054341-0.00031848i,-0.00068781-0.00044373i,-0.00081951-0.0001791i,-0.00067166-0.00023012i,-0.00013389+0.00014751i,6.3155e-05-5.7996e-05i
0.00035665+0.0005534i,-0.00015627+0.0015184i,-0.00017478+0.0015515i,-0.00029231+0.0011169i,-0.00084346+0.0013377i,-0.0011261+0.002006i,-0.00050337+0.0016721i,0.0003406+0.00074081i,0.00035216+0.00047126i,-0.00012447+0.0006796i,-0.00020988+0.0011637i,-2.2953e-05+0.00076527i,0.00013524-0.00029514i,0.0002612-0.00084249i,8.7799e-06-0.00077693i,-0.00069651-0.00012301i,-0.0010141+0.00014044i,-0.0006201-0.00058728i,-0.00090178-0.0008838i,-0.00099489-0.00067286i,-0.00048094+2.0428e-05i,-0.000637+0.00062473i,-0.00085978+8.7232e-05i
0.0018913-0.0015084i,0.0016126-0.0015815i,0.0006332-0.002016i,-0.00099933-0.0019242i,-0.0022358-0.0011524i,-0.0013726-0.00023381i,-0.00035529+0.00059224i,-0.00049564+0.00059365i,0.00020619+1.2648e-05i,0.00014618+0.00021775i,-0.00045143+0.00074523i,-0.00081002+0.00017233i,-0.0006856-0.00071737i,-0.00057872-4.7935e-05i,-0.00048258+0.00073788i,0.00022141+0.00059833i,0.00067754+0.00031306i,0.0004608+0.00010217i,0.00012951+0.00058521i,-0.00016026+0.0011287i,-0.00045561+1.8424e-05i,-3.9286e-05-0.0009617i,3.2748e-05-0.00044276i
-0.0019474+0.0010415i,-0.0011668+0.00066826i,-0.00047426+0.0005533i,-0.00066857+0.0011517i,-0.00045609+0.0017049i,0.0004071+0.00088096i,0.00094564-0.00053167i,0.0008328-0.0006801i,0.00043563+0.00034443i,0.00027978+0.00060469i,0.000276+0.00032775i,2.0576e-05+0.00072697i,-0.00036911+0.00072068i,-0.00066361+0.00026193i,-0.00077734-0.00028044i,-0.00070445-0.00023095i,-0.00082056-0.00022418i,-0.00082938-0.00016153i,-0.00039733-0.00037412i,0.00095181-0.0010156i,0.0016141-0.00022818i,0.00058792+0.00071228i,-0.00019367+0.00033307i
0.0017233-0.00066147i,0.0025675-0.0014641i,0.0032579-0.0014542i,0.0020723-0.0011138i,-0.00044044-0.00083911i,-0.00051015+4.5813e-05i,-0.00014243+0.00024237i,-0.00044803+9.1091e-05i,0.00016643+0.00052458i,0.00024139+0.00060483i,-6.835e-05+0.00028689i,0.00016546+0.00016104i,0.0002984+0.00076143i,0.00020533+0.00074109i,-0.00051986+1.7596e-05i,-0.00056286-0.0001402i,2.9647e-05+0.00012459i,-0.00026916+0.00030521i,-0.00099868+0.00029444i,-0.0012261-9.491e-05i,-0.0005528-0.00052236i,-6.5223e-05-0.00034861i,-0.00050923-0.00024899i
-0.0021546+0.00063034i,-0.00272+0.00097737i,-0.0032572+0.00074717i,-0.0026707+0.00038555i,-0.00091703+0.000533i,-0.00021439+0.00082408i,-0.00083202+0.001115i,-0.00090651+0.00070732i,-0.00056979+0.00073671i,-0.00097374+0.0016086i,-0.0013738+0.0024054i,-0.00093371+0.0020391i,0.00019777+0.00035626i,0.00034378-0.00076608i,0.00019722-0.0008396i,0.00038111+0.00011828i,-0.00039688+0.00062548i,-0.0010833-8.7746e-05i,-0.00071353-0.0006477i,-0.00011643-0.00049784i,-6.9566e-05+0.00037902i,-0.000368+0.00072988i,-0.00043063+0.00046542i
0.0014473-0.0012845i,0.0014977-0.0016581i,0.00114-0.0013535i,0.00023385+3.7679e-05i,-0.0010421+0.00025579i,-0.00094709-0.00026344i,-0.00052102+0.00020613i,-0.0008239+0.00067057i,-0.00093113+0.00097375i,-0.00075494+0.0010702i,-0.00051144+0.00066687i,0.00022181+0.00084118i,0.00071969+0.00049954i,0.00012796+0.00042222i,0.00030668+0.00058539i,0.00050091+0.00043149i,-2.8691e-05+0.00019684i,-0.00076208+1.2401e-05i,-0.0013344+0.00016284i,-0.0010472+0.00044065i,-0.00043208-0.00052182i,0.00026066-0.00099466i,3.9302e-05+0.00027505i
