-0.0021282-0.0013467i,-0.00085447-0.0028101i,-0.0024617-0.0023389i,-0.0032843-0.0010801i,-0.00082706+0.00083418i,0.0016249+0.0027532i,0.0016253+0.002283i,0.00037294+0.0009666i,-0.00020152-4.8045e-05i,0.0004938-0.00053515i,0.00066257-0.00046028i,8.9372e-05-0.0010299i,0.00064312-0.0008852i,0.0010303-0.00065595i,0.0010008-0.00058917i,0.00071221-0.00069309i,0.00026503+1.4415e-05i,0.00023524+0.00062236i,3.1462e-05-0.00030628i,-0.00053369-0.0015861i,-0.00013699-0.0013208i,0.00035911-0.00067788i,0.00043782-0.00013198i
0.00028267+0.0012693i,0.0012375-0.00023388i,0.0013986-0.0018374i,0.00052278-0.0026684i,6.9996e-05-0.002253i,-0.00095288-0.00086593i,-0.00079611+0.00017554i,-6.9362e-05+0.0006822i,2.5107e-05+0.00088904i,0.0001242+0.00030362i,-2.2225e-05+6.9341e-05i,-0.00039509+0.00049203i,-0.00029382+0.00087791i,-1.2867e-05+0.0010886i,-0.0010724+0.00079134i,-0.0014282+0.00052194i,-0.00065148+0.00038422i,-0.00078752+0.00053454i,-0.00086386+0.0010993i,-0.00012569+0.0012055i,0.00027477+0.0013397i,0.00029225+0.0014848i,0.0002784+0.00078035i
-0.0002812-0.0013935i,0.00026667-0.00204i,-5.2573e-05-0.0011837i,-0.00044721-0.00027647i,-0.00018337+0.00013904i,0.00051421-0.00035771i,0.0015029-0.00088173i,0.0017264-0.00027097i,0.0010529+0.00026018i,0.00046219+3.4889e-05i,0.0003544-0.00073509i,-0.00041439-0.0012153i,-0.00057028-0.00059445i,-1.2384e-05-0.00060437i,0.00037524-0.0012772i,0.00083553-0.00068334i,4.7704e-05+0.00026072i,-0.0011305+0.00072734i,-0.00050477+0.00070393i,-0.00039301-0.0003089i,-0.00045984-0.00091804i,-0.00033515-0.00046211i,-0.00071541-3.7962e-05i
0.0011181+0.0037708i,0.0015544+0.003009i,0.0013063+0.0013059i,0.0013487-0.00020663i,0.0018239-0.00072318i,0.0018312-0.00019983i,0.0012464+0.00053684i,0.00040067+0.0010997i,-3.4162e-05+0.0011545i,0.00013554+0.001226i,2.2056e-05+0.0012095i,-0.00073645+0.00054783i,-0.0010484-9.9342e-05i,-0.00098971-0.00060153i,-0.00068937-0.0010146i,-0.00070995-0.0010774i,-0.0008179-0.0012259i,-0.00032398-0.00045355i,2.5528e-05+0.00055098i,-8.9927e-05+0.00075273i,5.1019e-05+0.001098i,0.00014426+0.0009402i,0.00056469+1.2229e-05i
0.00049514+0.002761i,0.00060564+0.0019148i,-0.00025035+0.00055858i,-0.00062636+9.4572e-05i,-0.00032138-0.00019019i,3.1624e-05+0.00071309i,0.00038011+0.0012676i,0.00059067+0.00032059i,-1.2686e-05-5.7626e-05i,-0.00075262+5.1277e-05i,-0.000396-0.00012572i,-0.00046454-8.3133e-05i,-0.00065422+0.00051039i,-0.00023773+0.00025983i,-0.00054184-7.5375e-05i,-0.00084777+0.00083958i,-8.0978e-05+0.00074803i,-0.00019624+0.00035049i,-0.00074686+0.0005467i,-0.00081157-7.6663e-05i,-0.0006176-0.00021741i,-0.00024253+0.00034557i,9.0446e-06+0.0005323i
0.0008235+0.001588i,0.00030299+0.0019786i,0.00052735+0.00036281i,0.00077408-0.00035615i,-0.00012435-4.3529e-05i,4.5092e-05+0.00057054i,0.0012396+0.0010961i,0.0012231+0.00066035i,6.9682e-05+0.00023607i,-0.00021286+0.0003517i,-0.00025651+0.0004832i,-0.0002754+0.00042384i,-0.0001449-8.5834e-05i,0.00040972-0.00041293i,0.0011789-0.0003494i,0.0012819-0.00020368i,0.0013856+0.00039513i,0.0012402+0.00060631i,0.00011372+0.00044092i,-0.00024524-0.00014765i,-6.5282e-05+9.0425e-06i,-0.00011284+0.0006465i,-0.00014648+0.0012853i
-0.000533+0.00017055i,-0.0020418-0.00083385i,-0.0020235-0.0011227i,-0.0032625-0.00074148i,-0.0025726-0.0004484i,-0.00017786+0.00047952i,0.0011199+0.0010222i,0.0011228+0.00080658i,0.0001167+0.00031384i,-0.00045987-0.0002188i,-0.00040843+0.00026733i,-0.00054026+0.00090388i,-0.00052518+0.0010645i,-0.00057699+0.0008989i,-0.00051397+0.00070887i,-0.00090398+9.2076e-05i,-0.0012129-0.00068085i,6.1263e-05-0.00033006i,0.0008165+0.00069203i,0.00052827+0.00058787i,0.00036146-0.00049332i,0.0006402-0.00087262i,0.00093013-0.00025822i
-0.0012454+0.00037716i,-0.0013691-0.00094454i,-0.0020668-0.00012982i,-0.0012358+0.00051504i,0.00042236+0.00022671i,0.0013155-0.00015699i,0.0012122+7.8455e-05i,3.9973e-05+0.00050418i,-0.00067678+0.00073063i,-0.00047614+0.00045111i,-0.00012883+0.00013065i,0.00082061-0.0002992i,0.0013508-0.00039779i,0.00076055-0.00032087i,0.00051786-0.00046953i,0.00076125-0.00074622i,0.00014427-0.00045681i,-0.00028711-0.00049001i,0.00029658-0.00053423i,0.00051887-0.00078308i,-0.00020585-0.00030008i,-0.00022107+0.00096992i,-0.00017519+0.00070791i
-0.0001955-0.0012455i,-6.9776e-05-0.0010312i,-0.00082836-0.0012083i,-0.0015205-0.0014726i,-0.0012775-0.00035954i,5.6633e-05-0.00035292i,0.00050449-0.00021026i,0.0002439+0.00072148i,6.4676e-05+0.00041347i,-0.00019816+0.00019853i,-0.00049711+0.0004885i,-0.00050549+0.00051135i,-0.00041187+0.0013175i,-0.00050835+0.0012366i,-0.00018809+0.00027233i,0.00056826-0.00016461i,0.00031743-0.00099502i,-0.0001796-0.00069141i,0.00021049+0.0004455i,7.4173e-05+0.0001851i,-0.00024439+0.00045787i,-0.00024307+0.00037702i,-0.00042693-9.5808e-05i
-0.00015836-5.9526e-05i,-0.00086474-0.00096584i,-0.0016687-0.0010208i,-0.0022498+0.00047649i,-0.0012776+0.00064647i,4.4648e-05+0.00095437i,0.00070534+0.0015811i,0.00073521+0.00091482i,-0.00035108+0.00043438i,-0.0011924+0.00017146i,-0.0012001+0.00040098i,-0.0009223+0.00063099i,-0.00066134+0.00079773i,1.2015e-06+0.0006463i,0.0011686+0.00030095i,0.001121-0.00029227i,-7.0998e-05-0.00051667i,-0.0010091-0.00053555i,-0.0012982-0.00053716i,-0.00046713-4.535e-05i,8.8068e-05-2.2337e-05i,-0.00081786-0.00053021i,-0.00067593-0.00048276i
0.00090064+0.00054177i,0.00013999+0.00015291i,0.00078185-0.00035094i,4.1622e-05-0.0012863i,-0.00073493-0.00037739i,-0.00016495+0.00061094i,0.00048805+0.0011064i,0.00032341+0.0011334i,9.3205e-06+0.00027466i,0.00011447-0.00022624i,0.0003817-0.00040449i,0.00045099-0.00019449i,0.00036971+0.00066847i,-0.00011682+0.00074289i,-0.00033525-1.9636e-05i,-0.00049841+0.0002447i,0.00015591+0.00069805i,0.0007022+0.00023131i,0.00023484-1.8773e-05i,0.00014527+0.00013215i,0.00021754-2.6239e-05i,0.00030072-0.00068707i,0.00039574-0.00068483i
0.0019097+0.0026106i,0.0020627+0.0016529i,0.0025693-0.00048245i,0.0015203-0.0012017i,-0.00016033-0.00052225i,-0.00044992+0.00042707i,-8.523e-05+0.0010047i,-7.6013e-05+0.0012555i,0.00069566+0.00096662i,0.0010386+0.00012719i,0.00042198-0.0006642i,0.000187-0.00054904i,-0.00051091-0.00075493i,-0.0012331-0.00048453i,-0.0017459+0.00043966i,-0.00093555+0.00026366i,0.00019848-1.6991e-05i,0.0001442+0.00044733i,-0.00079783+0.00085395i,-0.00073389+0.00077782i,0.00034634+0.00041933i,0.00049152+0.00071866i,0.00031092+0.00024556i
0.00096806+0.00058624i,0.00038831+0.00026083i,-0.00051261-0.00087891i,-0.0012861-0.0016582i,-0.0013473-0.0011953i,-0.000532+0.00018146i,-7.444e-06+0.00094183i,0.00036419+0.0001919i,0.00038454-5.8504e-05i,0.00022105+0.00041462i,0.00031326+0.00066658i,-0.00035771+0.00056208i,-0.00070313+0.00029863i,-0.00033503+0.00010952i,-0.0001333-0.00032862i,-1.5884e-05-0.00092334i,0.00033829-0.00057094i,0.00028578+0.00035719i,-0.00041022+0.0007357i,-0.00037628+0.00021039i,-0.0003821-0.00055472i,-0.00018548-0.00065107i,0.00018187-0.00050497i
0.0005956-0.0003933i,0.00035764-0.00020096i,0.00014484-0.0011038i,-0.00041531-0.0011591i,-0.00066973-4.4083e-05i,-0.00061641+0.0015827i,-0.00017571+0.0013665i,-0.00010192+0.00063702i,-7.8607e-05+0.0010584i,0.00023609+0.0012891i,-0.00015613+0.0012054i,-0.00098889+0.00048492i,-0.00090896-0.00047132i,0.00028202-1.2739e-05i,0.00063705+7.2228e-05i,-0.00040113-0.00076519i,-0.0008915-0.00084355i,-0.00088653-0.00093631i,-0.0011856-0.00040926i,-0.0010879+0.0010623i,-0.00098259+0.0013405i,-0.0011843+0.0003729i,-0.00093862-0.00042171i
-0.00030328+0.00048852i,0.00016855+0.00055114i,0.00042842-0.00025007i,0.00020475-0.000829i,5.5894e-05-0.00038084i,0.00098082+1.1176e-05i,0.0013859-0.00022809i,0.00080087+3.5139e-05i,0.00023602-0.00023913i,0.00025951-0.00069071i,-0.00012785-0.00054016i,-0.00040506-0.0007351i,-0.00047242-0.0013393i,-0.00062175-0.0011428i,-0.00041559-9.3324e-05i,0.00020329+0.00033849i,0.00036063+7.7421e-05i,1.8071e-05+0.00029351i,0.00062361+0.0010995i,0.00038783+0.0010624i,-0.00072452+0.00067884i,-0.00095181+0.00045335i,-0.00046101+0.0002287i
-0.0012289+0.0031956i,-0.00038787+0.0043236i,-0.0006018+0.0039279i,-0.00080822+0.0018309i,-0.00069406+0.00074101i,-0.00028573+0.00049247i,-0.00033592+5.538e-05i,-0.00037073+0.00011041i,-0.00032093+0.00028977i,0.00071609+0.00035866i,0.0013724-0.00019441i,0.00037101-0.00088984i,-4.0964e-06-0.0013052i,-3.6073e-05-0.0012528i,-9.3842e-05-0.0012573i,-0.00027962-0.0010653i,-0.00049805-0.00095024i,-0.0005098-0.00051287i,-0.00055075+0.00025488i,-0.00047049+0.00052676i,-0.00020109+0.00031436i,0.00016069+0.00022332i,0.00017386-0.00037779i
-0.0020926+0.00039703i,-0.0016921+0.00028888i,-0.0013708+0.00055174i,-0.00078931+0.00061758i,0.00059607+0.00086827i,0.00088962+0.000635i,-0.00013794+0.00016625i,-0.00048854+0.00042134i,-0.00047369+0.00040087i,-0.00060065+0.00035665i,-0.0003974-5.8278e-05i,0.00073508-0.00062235i,0.00088193-0.00063884i,0.00030198-0.00022004i,0.00054162+9.3235e-05i,-0.00029958+0.00089986i,-0.0011442+0.0010826i,-0.0007175-8.1833e-05i,-0.00015497-0.00067752i,6.3704e-05+0.00015663i,0.00030276+0.00082946i,0.00014003+0.00085739i,3.9164e-05+0.00025735i
0.00010484+0.0016815i,-0.00059627+0.0017099i,-3.0059e-05+0.00070381i,0.0010612-0.00064204i,0.0021268-0.00062732i,0.0013454-0.00025975i,0.00046037+3.1371e-05i,0.00057454+0.00045531i,0.00014043+0.00062777i,0.00012938+0.00054374i,0.00063667+0.00073931i,0.00086747+8.7213e-05i,0.00035385-0.00065234i,0.00029585-0.00059279i,0.00064961-0.000388i,0.00036783-0.00060526i,0.00011835-0.00034954i,-0.00022204-4.1756e-06i,-0.00040058+8.337e-05i,-0.00022853+9.0065e-05i,0.00039905+5.8477e-05i,0.00033238-0.0003599i,-0.00020223-0.00042122i
9.9535e-05+0.00045346i,0.00013369+7.5991e-05i,-0.00049418-0.00044636i,-0.0013094-0.00046827i,-0.0015351+9.8717e-05i,-0.00035173+0.0014568i,0.00043005+0.001322i,0.0003233+0.0010243i,-1.5945e-05+0.0012215i,-0.00029847+0.0012477i,-0.00035977+0.00050898i,-0.00057237-0.00015007i,-0.00055039+3.0798e-05i,0.00010456-7.3638e-05i,0.00024991+0.00071124i,-0.00062193+0.0011539i,-0.0011154+0.00028606i,-0.00069407-0.00018225i,-0.00099892+2.3996e-05i,-0.00068346+0.00030884i,7.0677e-05+0.00043824i,5.7496e-05+0.00023866i,-0.00031975-0.00040758i
-0.00043478-0.0015489i,0.00019724-0.0013757i,-3.6798e-05-0.001201i,0.00024287-0.0004263i,0.0005012+0.00055007i,0.00044728+0.00038468i,0.0012431-5.6197e-05i,0.0017135+0.00032284i,0.0010709+2.948e-05i,0.00018491+0.00029211i,-0.00027625+0.00021173i,-0.00057122-0.00066615i,-0.00067938-0.00024988i,-5.8085e-06+0.00036898i,0.00029385+0.00022637i,-0.00047176-0.00013771i,-0.0008623+2.4536e-05i,-0.00049852+0.00048046i,0.00011449+3.6501e-05i,0.00018299-0.00063366i,-0.00051008-0.0014099i,-0.00066251-0.0016258i,-0.00027989-0.00057096i
0.0018785+0.00061741i,0.0025172+0.00050708i,0.0018767-0.00066229i,0.00039674-0.0016155i,-0.00036928-0.0011442i,0.00099508+0.00075227i,0.0019094+0.0013699i,0.0012534+0.00053354i,0.00031923+0.00037766i,-0.00080548+0.00010455i,-0.001544-0.00053839i,-0.0010356-8.2493e-05i,-0.00026496+0.00046459i,-0.00027248+0.00041006i,7.1177e-05+0.00035548i,0.0002571+0.00065559i,-0.00032285+0.0013307i,-0.00054993+0.0011001i,-0.0006996+0.00037319i,-0.00049443+0.00024926i,0.00019396+0.0001081i,-0.00011863-0.00037699i,-0.00058864-0.00051928i
