-0.0013493-0.00037496i,-0.0012879-0.00084549i,-0.0025044-0.00033884i,-0.0018284-0.00020589i,-0.00082961+0.00060695i,-0.0014281+0.0014282i,-0.0014903+0.0015245i,-0.00015116+0.0018987i,0.0011554+0.0019676i,0.0014121+0.0013944i,0.001291+0.00076517i,0.00083699+5.4971e-05i,1.4307e-05-0.00024059i,-2.0677e-05+0.00012881i,0.0001966-5.9746e-05i,-0.00016851+0.00017889i,-0.00070795+0.00093129i,-0.0006981+0.00067459i,-0.00058825+0.00021021i,-0.00042445+0.00014676i,6.283e-05+0.00042157i,0.00018892+0.00014522i,4.7326e-05-0.00023313i
-0.0022095+0.0018635i,-0.00099958+0.0008652i,0.00081416+0.0018696i,0.0015805+0.0022869i,0.0017158+0.0013785i,0.00062739-0.00070313i,-0.0011351-0.001366i,-0.0015802-0.000621i,-0.00060909-0.00044835i,0.00017319-0.00033344i,0.00016427-0.00061279i,2.5814e-05-0.0013015i,-0.0002969-0.00059705i,0.00057685+0.00048201i,0.00050115+0.00031932i,0.00012814+4.9076e-05i,0.00030335-0.0006041i,-0.00037884-0.0014233i,-0.00091429-0.00090527i,-0.00065014+7.8027e-05i,-0.00011888+0.00042127i,0.00022739-0.00017972i,0.00049598-0.00030486i
0.001687+0.0023454i,0.00047027+0.00090646i,0.00036725-2.2434e-05i,0.0010098-0.00086904i,0.00094326-0.0018011i,-0.00057271-0.0024402i,-0.0011239-0.0012938i,-0.00042575+0.00060981i,0.00048315+0.00051857i,0.0013342-9.2492e-05i,0.0010906-0.00085657i,0.00059723-0.0015694i,0.00018799-0.0013293i,0.00027189-0.00033271i,0.00017741+3.2022e-05i,-0.0001161-0.0005503i,0.00012116-0.00034653i,-8.6436e-05+0.00035221i,-0.00017022+7.8324e-05i,-0.00062882-0.00014219i,-0.000639+0.0001036i,-0.00017845-4.5164e-05i,-0.000461-5.898e-05i
-0.00087992-0.0018318i,-0.00061326-0.001294i,-0.0013143-0.00031536i,-0.00078963+0.00072367i,-0.0003679+0.00090384i,-0.00040809-0.000153i,-0.0010343-0.00017752i,-0.0017605+0.00039391i,-0.0015248+7.0839e-05i,-0.00020634+5.4275e-05i,0.00049572+0.00034657i,3.395e-05-1.7252e-05i,0.00034089+3.6689e-05i,0.0005-5.3768e-05i,0.00042192-0.00030868i,0.00058358+0.00022454i,0.00035002+0.00037603i,-0.0002329+0.00046796i,-0.00051725+0.00073141i,-0.0004647+0.00038307i,-0.00064313+8.8741e-06i,-0.00087455+0.00032825i,-0.00090892+0.00024844i
0.0022126-0.00037287i,0.0018275-0.00057888i,0.0017035-0.0013879i,0.00067333-0.0013103i,-0.00020806-0.00049246i,-0.00050188-0.00012334i,-0.0007495-6.1409e-05i,-0.00050982+0.00078342i,0.00017263+0.00086537i,0.0006694-0.00012562i,0.00046174-0.0010398i,-0.0007556-0.0010586i,-0.001241-0.00052948i,-0.0005552-0.00062602i,-0.00062422-0.0004869i,-0.00054825-0.00029992i,-5.3482e-05-0.00032247i,-0.00010815+0.00012685i,-4.6901e-05+0.0002748i,0.00054497+0.00051974i,0.00051059+0.00068108i,0.00048972+0.00089022i,0.00016379+0.00036543i
1.2272e-05-0.00035302i,-0.0016777-0.00016557i,-0.0013629-0.00041722i,-0.00025206-9.2685e-05i,-0.00068613-0.00018615i,-0.0011672-0.0013304i,-0.0014665-0.001227i,-0.0013495+0.0001096i,-0.00061821+0.00035629i,-0.00015915-0.00051967i,1.2159e-05-0.00083941i,0.00031637-0.00018251i,0.00017075+0.00075772i,-0.00084369+0.0005605i,-0.0001853-0.00042307i,0.00097952-9.6966e-05i,0.0010035+0.00054195i,0.00030404+0.00051095i,-0.00029519+0.00053579i,-0.00016547-0.00025876i,-0.00029744-0.0003583i,-0.00056742+0.00013594i,-0.00035638+0.00061031i
0.003538-0.0018972i,0.0025777-0.001337i,0.0015775-0.001989i,-1.4875e-05-0.0028977i,-0.0010353-0.0032625i,-0.0011866-0.0020363i,-0.0012448-0.00043661i,-0.0011385+0.00040193i,-0.00035431-0.00010998i,0.00022852-0.00099139i,-0.00042582-0.0013266i,-0.0011581-0.0003226i,-0.0010593+0.00094145i,-0.00043534+0.0013285i,-0.0004391+0.0005636i,-0.0011854+0.00019697i,-0.0014182+0.00038305i,-0.00068222+0.00028271i,0.00035576+0.00030575i,0.00075677+0.00051866i,0.00014994+0.00069317i,-0.00017698+0.00020326i,0.00010846-0.00016379i
0.0010638+7.8489e-05i,0.0010167+0.00024405i,0.0003153+0.00074433i,-0.0010348+0.0014364i,-0.0012159+0.0010894i,-0.00054826+0.00011935i,-0.00053766-0.00031996i,-0.00062323-0.0003268i,-0.00033366-0.00032214i,0.00023688-0.00014011i,-5.0487e-05+0.00020119i,2.4189e-05+0.00013581i,0.00058681-2.59e-05i,0.00034416-0.00051559i,7.4286e-05-0.00049471i,0.00028998-0.00038523i,-0.00017935-0.00030583i,-0.00019455+0.00013062i,0.00018811+0.00059975i,0.00056788+0.0010481i,0.00071378+0.00073913i,0.00022364+6.8042e-05i,-0.00034498-2.5679e-05i
-0.000894-6.9031e-05i,-0.00083826+0.00026766i,0.00015609+0.00010799i,9.5813e-05+0.00081746i,-0.00083823+0.00051349i,-0.0013948-0.00037214i,-0.0015291+0.0003663i,-0.0012584+0.00053477i,6.9386e-05-0.00027613i,0.00064732-0.0001991i,0.0001602-0.00015079i,-1.936e-05-0.00043521i,0.00020329-0.00024658i,0.00042445+0.00059969i,0.00028345+0.0008426i,-6.0415e-05+4.5134e-05i,-0.00012918-0.00050233i,-0.00049454-0.00074784i,-0.00021473-0.00088393i,-0.00025184-0.00032643i,-0.0004873-0.0004307i,0.00020634-0.00068514i,0.00088285-0.00060079i
0.00036241-0.00027995i,-0.00016062-3.4586e-06i,-0.00051813+0.00031896i,-0.0005632+0.00037521i,-0.00062424+0.00051303i,-0.00089913+0.00041803i,-0.0010128-0.00066525i,-0.0001373-0.00098173i,0.00064405-0.00015901i,0.00020282-8.442e-05i,-8.0066e-05-0.00077181i,0.00027796-0.00054679i,0.00063836-7.4553e-05i,0.00068728-0.00053866i,0.00079263-0.00052912i,0.00043103+0.0001333i,-0.00032144+0.00077769i,-0.00018386+0.00039005i,-0.00078479-0.00083221i,-0.0011698-0.00070944i,-0.00030992-0.00015231i,0.00015063-0.00042276i,-0.00044495-0.00077872i
0.00032954+0.0012145i,0.0020382+0.00024891i,0.0017237+0.00042288i,0.0012083+0.0006155i,0.0016315-0.00042663i,0.0012965-0.0013849i,-0.00021693-0.0015196i,-0.00095387-0.0006688i,-0.00022249+0.00046578i,0.00032512+0.00064683i,0.00084273-0.00065694i,0.00051145-0.0017395i,-0.00057955-0.0012147i,-0.00034165-0.00027107i,0.00029652+8.4856e-05i,0.00020449+7.4063e-05i,-0.00016786+0.00013285i,0.00010791+0.00048879i,0.00022676+0.00029048i,-0.0007446-3.6474e-05i,-0.00075483+0.00030423i,-0.00023766+1.8524e-06i,0.00022828-0.0010904i
