-0.00058055+0.00070936i,-0.00053697-0.0011452i,-0.0013007-0.0025335i,-0.0024106-0.0015462i,-0.003086+7.7178e-05i,-0.0025101+0.00099661i,-0.0014674+0.00084715i,-0.00020293+0.001061i,0.00055985+0.0010175i,0.00044153+0.00018289i,0.0002597-0.0005351i,0.00031027-0.00076892i,-0.00057422-0.00042396i,-0.00084505+9.2019e-05i,-0.00067135+0.00058934i,-0.00084932+0.00066819i,-0.00078201+0.00098655i,-0.0006662+0.0014206i,-6.8481e-05+0.00016433i,0.00016894-0.00067827i,0.0004694-0.00060731i,0.00035005-0.00089028i,-0.00066566-0.00055533i
0.0019549+0.0018682i,0.00091162+0.00017705i,0.001217-0.00050677i,0.00093464+0.00015835i,-0.00011055-7.3736e-05i,-0.00017255-0.00054556i,5.6819e-05+7.6637e-05i,0.00039965+0.00068856i,0.00053447+0.0007071i,0.0010215-0.00020498i,0.0010024-0.0011776i,-0.00030818-0.0011562i,-0.0014016-0.00073017i,-0.0014483-0.00036174i,-0.0010218-0.00046709i,-0.00045198-0.00067584i,0.0007692-3.6886e-05i,0.00099748+0.0015511i,-0.00011043+0.0023141i,-0.00065781+0.0013056i,-0.00036409+0.00024879i,-0.00025564-8.7002e-05i,-0.00031294-0.00059983i
-0.00098788-0.0020828i,-0.0013267-0.0019571i,-0.00080911-0.00074242i,0.00021318-0.00022014i,0.00026327-0.00058587i,-0.000116-3.5901e-05i,0.00037675+0.00092808i,0.00027536+0.00041566i,-0.00031345-0.00017256i,-0.00044066-6.7837e-05i,-0.00020267-0.00020394i,-0.0003005-0.00064278i,-0.00031053-0.0002748i,-0.00045173+0.00024808i,-0.00018148+0.00075873i,0.0004912+0.0011727i,0.00044447+0.0007545i,0.00057658+0.00061769i,0.0009023+0.001412i,0.00055336+0.0014274i,5.2484e-05+0.00072304i,0.00018939+0.00053393i,6.6625e-05+0.00061795i
-0.00081805-0.00046326i,-0.0013627-0.00034128i,-0.0014952+0.00014926i,-0.00074076+0.00043986i,0.00053677+0.00043558i,0.00056521+0.0001805i,0.00028291-0.00013412i,0.00042124-0.00022215i,-6.2834e-05-3.0061e-05i,-7.3988e-05+0.0002948i,5.9155e-05+7.4483e-06i,0.00025963-0.00035666i,0.00044521-0.00040838i,0.00036204+2.7084e-05i,0.00016203+0.00040432i,-8.697e-05-1.1423e-05i,-0.00023083-0.00026895i,0.00013439+0.00032812i,0.00053581+0.00058897i,0.00074236+0.00015065i,-0.00013607+3.4647e-05i,-0.00078265+0.00050263i,-0.0003172+0.00072671i
-0.00084291-0.00040719i,-0.0011679-0.001168i,-0.00023481-0.00083989i,-0.00057937+0.00010256i,-0.00099693+0.00062201i,-0.00063253+0.0009401i,-0.00016881+0.0003734i,-6.0121e-05-5.5644e-05i,-0.00065516-0.00022246i,-0.00036887-0.0003997i,-0.0002244-0.00017923i,-0.00085523+0.0001682i,-0.0010634+0.00060239i,-0.00024409+0.00042899i,0.00017281+0.0002207i,-0.00037849-0.00016143i,-0.00070116+4.5193e-06i,-0.00038329+0.00092104i,0.00023888+0.00067708i,0.00041103-7.4066e-05i,-0.00041706-0.00055928i,-0.0012293-0.0010167i,-0.00086256-0.00028772i
-0.00020366+0.00041147i,-0.00058914+0.0010136i,-0.00026526+0.0011378i,0.0015408+0.0010141i,0.0025908+0.00089954i,0.0013613+0.0010187i,-0.00022127+0.00054656i,-0.00067185+2.6612e-05i,-0.00036884+0.00028596i,-0.00025891+8.4289e-05i,9.8265e-05-0.00054873i,0.00036686-0.00067714i,0.00036194-0.0010806i,-0.00041355-0.0012133i,-0.0014866-0.00059794i,-0.0012913-0.00070676i,0.00010027-0.00064648i,0.00089446-0.00039943i,0.00050055-0.00016717i,0.00012905+0.00073112i,-0.00031779+0.00073072i,-0.00048927-4.7589e-05i,-0.00019973-0.00025747i
-0.0025964+0.00038445i,-0.0014706+0.0015947i,-0.0018529+0.0017294i,-0.0016068+0.0012825i,-0.00074609+0.0013332i,0.0008115+0.00091584i,0.0013429+0.0010239i,8.3706e-05+0.00099316i,-4.9802e-05+0.00081951i,-0.00043449+0.00023854i,0.00019235+4.0726e-06i,0.00074392-4.5156e-05i,0.00069247-0.0003594i,0.0011338-0.0014013i,0.00099132-0.0016985i,-3.6936e-05-0.00015791i,-0.00010741+0.00084049i,0.00016453+0.00014382i,-0.0001334-5.5912e-05i,-0.00019091-0.00037483i,-0.00044156-0.00033806i,-0.00037555+0.00075306i,0.0003334+0.00096569i
-0.0010238-0.0033989i,-0.0025833-0.0023359i,-0.002701-0.0014849i,-0.00087238-0.0011137i,0.00017923+0.00039018i,0.00057429+0.0013713i,0.0011256+0.00017117i,0.0011949-0.0010643i,0.0010019-0.00078999i,0.00099192-0.0004819i,0.00068722-0.00015799i,-0.00023104+0.00010897i,-0.0010401+2.0527e-05i,-0.0014024+0.00033449i,-0.0010085+0.00056187i,-4.3178e-06+0.00056526i,0.00054638+0.00028036i,0.00039631+0.00034058i,0.00025254+0.00064743i,0.00015019+0.00040972i,0.00010917+9.8854e-05i,-0.00054002+7.9306e-05i,-0.0010757+0.00014768i
0.00030423+0.00014374i,-4.9085e-06+0.00023051i,3.7286e-05+2.9503e-05i,-0.00049815-0.00026715i,-0.0008117+8.491e-05i,-0.00095188+0.00080937i,-0.00064274+0.00046036i,0.0001751+0.00041362i,0.00065271-0.0004651i,0.0010935-0.0010631i,0.00087309-0.00065932i,-7.3678e-05+0.000598i,-0.0002836+0.001288i,-0.00056776+0.000386i,-0.00096501-0.00014121i,-0.00029542-0.00014543i,0.00047288+1.0878e-05i,0.00019369-0.00011276i,-0.00017529+3.2366e-06i,9.0089e-05+9.2629e-05i,1.9755e-05-0.00021579i,-0.000342-0.00055856i,-0.00082196+0.00028748i
0.0010166-0.0018433i,-0.00055303-0.001865i,-0.00054618-0.0012013i,-9.7473e-07-0.00067214i,-0.00040528-0.00062085i,-0.00070289+0.00020154i,-0.00051108+0.00098936i,5.698e-05+0.0010624i,0.00043408+0.00073154i,-0.00035506+0.00011397i,-0.00098117+6.2153e-05i,-0.00097404-2.97e-05i,-0.00092158-0.0003671i,-0.00091745+0.00017393i,-0.00069678+0.00071034i,-0.00036891+0.0001496i,-0.00010234-0.0003597i,0.00025771-2.1985e-05i,0.0006971+5.5118e-05i,0.00084798-0.00033783i,0.00059154-0.00097143i,0.00038869-0.00075302i,0.000556-8.1238e-05i
-0.00076185+0.0016489i,0.00019744+0.0020447i,-0.00015925+0.0017707i,-0.00044644+0.00079778i,-0.00036763+0.00032676i,-1.2829e-06+0.0003629i,0.00083213+0.00017724i,0.00084092+0.0002088i,-8.4633e-06+0.00044847i,-0.00014826+0.00034595i,0.00048745+3.7614e-05i,0.00090034+0.00053334i,0.0011362+0.00046718i,0.00081939+0.00015823i,0.00041243+0.00013609i,4.3038e-05+0.00030187i,9.7904e-05+0.0001903i,0.00012411-0.00082949i,-0.00016094-0.00050469i,-0.00037049-3.6826e-05i,-0.00016363-0.00080923i,-2.223e-05-0.00089235i,-0.00036967-6.0827e-05i
0.0004065-0.00037369i,-0.00058976-0.0018771i,-6.4035e-05-0.0014073i,-0.00015364-0.00062952i,-0.0013952-0.0007329i,-0.0011933-0.00035317i,-3.8144e-05-0.00034897i,0.0011887-0.00045189i,0.0018845-0.00046643i,0.0013854-0.00046163i,0.00069403+0.00022757i,0.00071993+0.00091664i,0.00038774+0.00052984i,-0.00088854-9.5147e-05i,-0.0012788+0.00013716i,-0.00095907-0.00029258i,-0.00078356-0.00045811i,-0.0010175+0.00030749i,-0.00045014+0.00032781i,0.00028796+2.5774e-05i,0.00019513-0.00067168i,0.00027699-0.0012899i,7.4888e-05-0.0013336i
0.00061699-0.0017158i,0.00037316-0.0016919i,-0.00037704-0.0012425i,-0.00053015-4.0291e-05i,-1.7751e-05+0.00031822i,0.00059592+0.00024185i,0.0005108+0.00053735i,0.00036478-3.871e-05i,0.00034494-0.00067311i,-0.00048747-0.00060984i,-0.00028578-0.00037558i,0.00030579+8.4289e-05i,5.7966e-05+1.5589e-05i,0.0004644-0.00070725i,0.00074978-0.0004846i,0.0011443+0.00016362i,0.00097842+0.00049075i,-0.00032019+0.0002578i,-0.00086837+0.00045622i,-0.00062956+0.00026931i,-0.00047284-6.7182e-05i,-0.00049826-0.00015507i,-9.4212e-05+6.9962e-05i
-0.0004839+0.00071268i,-0.0007656+0.0026548i,-0.0002663+0.0025197i,0.00096179+0.0012102i,0.00066218+0.00022269i,-7.0761e-05-0.00019312i,-0.00076349+0.00025488i,-0.00076379-0.00018316i,0.00019186-0.00056005i,0.00043254-0.00038257i,0.00037925-0.00086658i,0.00042565-0.0012707i,0.00077021-0.0010614i,0.00070636-0.00068177i,-0.00038442-0.00087416i,-0.00046775-0.0010657i,0.0005529-0.00044173i,0.00056211+0.00067323i,-0.00048014+0.0010328i,-0.00097192+0.00058208i,-0.0006794+0.00017963i,-0.00016909+0.0001565i,-0.00090696-2.2382e-05i
-0.00073916-0.00055441i,-0.0016789-0.00067691i,-0.0013169+0.0010247i,-0.00018168+0.0019868i,3.1223e-05+0.0011054i,-9.0097e-05+0.000431i,0.00050672+6.844e-05i,0.00086058-0.0008356i,0.00071636-0.0011299i,5.7328e-05-0.00071184i,0.00023014-0.00024963i,0.00082954-5.9395e-05i,0.00047123-0.00025138i,-2.0947e-05+0.00033244i,0.00012067+0.00035944i,-0.00011453-0.00023702i,-0.00055969-0.00024934i,-0.00046469+0.00032364i,-0.00062109+0.00037553i,-0.00047952-0.00014966i,1.341e-05+0.00043116i,0.00046568+0.0008834i,0.00064126+0.00019948i
0.0012761+0.0003233i,0.00086443-0.00038794i,0.00011096-0.0015084i,-0.00087575-0.00097618i,-0.00081713-0.00025594i,4.2308e-05+0.00019328i,0.00029703+0.00033764i,0.00016794+0.00029792i,-0.00065175-0.00047689i,-0.00077237-0.00055771i,-5.4864e-05+0.00075891i,-0.00042204+0.0013223i,-0.0004209+0.001057i,-0.0001854+0.00083184i,-0.00019092+0.0010486i,-5.9388e-05+0.00077372i,-9.946e-05-0.00017012i,0.00019766-0.00050933i,0.00013963+2.6522e-05i,-0.00055103+0.00016549i,-0.00073097-0.00031791i,-0.001065-0.00015658i,-0.0010272+0.00042i
-0.00010643-0.0011035i,-0.00089671-0.0020195i,-6.3263e-05-0.0007372i,0.00025206+0.00053359i,-0.00028895+0.0011557i,-0.00076734+0.0018426i,-0.00016144+0.0015862i,0.00014574+0.0010565i,2.4854e-05+0.00066456i,0.00012016+0.00053448i,-0.00029672+0.00051641i,-0.00056402+0.00041357i,-0.00045081-0.00056436i,-0.00033324-0.00021924i,-0.0012713+0.00079396i,-0.0021172+0.00027716i,-0.0012426-0.00044668i,-0.00024254+0.00018507i,0.00031648+0.00087434i,0.00068382+0.0011758i,0.00038793+0.0013285i,0.00027359+0.0015836i,0.00061217+0.0014093i
-0.00054573-0.0003297i,-0.00017098-0.00062294i,-5.8634e-05+7.6203e-05i,0.00036742+0.00060971i,0.00046802-0.00067825i,0.0005163-0.0008935i,0.00075536-0.0004066i,0.00010125+0.00020639i,-0.00027756+0.00068984i,-1.9878e-05+0.00043668i,-8.8467e-05+0.00036031i,-0.00037236+0.00045917i,-0.00069086+0.00042275i,-0.00084324+9.1361e-05i,-0.00061132-0.00015166i,-0.00023585+0.00036328i,7.9893e-05+0.00057928i,-0.00023339+0.00032125i,-0.0001351+0.00036896i,-0.00043082+0.0005792i,-0.0003906+0.00054399i,0.00031018-0.00030281i,0.00027529-0.00084353i
-0.0013554+0.0013611i,-0.001374+0.00097259i,-0.0014368+0.0012448i,-0.001506+0.00073851i,-0.0011886-0.00032325i,-0.00097676-0.00089503i,-2.5252e-05-0.00046844i,2.2881e-05+7.3459e-05i,-0.00052996-0.00011184i,0.00022132+1.9107e-05i,9.4802e-05-0.00010191i,-0.00046532+8.1489e-05i,0.00033428+0.00042844i,0.00058719-0.00025932i,0.00046465-0.00072263i,0.0010816-0.00030201i,0.00074215-0.00042819i,3.0982e-05-0.00047467i,-1.0906e-05+0.00018104i,-0.00036803+0.00044004i,-0.00062532-0.00059466i,-0.00013141-0.0011336i,-0.0002146-0.00014675i
-0.0012538-9.1777e-05i,1.1795e-05-0.0016254i,0.0014086-0.0012594i,0.0012998-0.00021438i,0.0002804-6.1035e-05i,5.8793e-05+1.9584e-05i,0.00029696+0.00037298i,0.00046292-0.00027098i,0.00070071-0.00081368i,-0.00046488-0.00039884i,-0.0013914-0.00035982i,-0.001007-0.00095479i,-0.0007047-0.00056596i,-0.001165-0.00013598i,-0.00080435+0.00013596i,-0.0001331+0.00063183i,3.889e-05+0.00038882i,-0.00032877+2.5454e-05i,-0.00042228-0.0002898i,0.00054797+7.6273e-05i,0.00046742+0.00018866i,-0.00027998-0.00027687i,-0.00044288-0.00046566i
-0.00019743+0.0010388i,-0.00030472+0.0017795i,0.00067882+0.0018891i,0.001358+0.0011951i,0.00048256+0.00013872i,-0.00010859-0.00064918i,0.00027713-0.0005341i,0.0001796+0.00025201i,0.00022681+0.00096328i,0.00073499+0.0012534i,0.00073866+0.00022998i,0.00029552-0.0008042i,-0.00069241-0.00030658i,-0.00077998+7.0044e-05i,5.3839e-06+0.00018995i,0.00041637+0.00077484i,0.00041302+0.00068304i,-0.00015686+0.00053171i,-0.0010269+0.00060511i,-0.00090007+0.00072165i,0.0003275+0.00077239i,0.00092885+0.00017592i,0.0010683-0.00029489i
