-0.0046856+0.0019898i,-0.0049944+0.0019981i,-0.0031861+0.0044641i,-0.0018504+0.004617i,-0.00031873+0.0027274i,0.0017167+0.0013619i,0.0015006+0.0015235i,0.0011972+0.001533i,0.0013934+0.0011902i,0.0010328+0.00073765i,0.0010916+0.00020267i,0.0014281-0.00056565i,0.00064167-0.00064437i,-0.00022171-0.00041275i,-0.0005997-1.206e-05i,-0.00050913+0.00022684i,-0.00077149+0.0013365i,-0.0008423+0.0020554i,0.000307+0.0009448i,0.00042097+0.00056636i,4.4799e-05-5.8921e-05i,-0.00027022-0.00050268i,-0.00070151-0.00026044i
-0.00093238-0.00023548i,-6.9041e-05-0.00024063i,0.0012432-0.00088638i,0.0013164-0.00095442i,-0.00028333-0.00031855i,-0.00091432+0.0010042i,-0.00018263+0.0016397i,0.00017988+0.001065i,0.0002401+0.00030556i,-0.00011539-4.4955e-05i,-0.00082394-4.0281e-05i,-0.00063929+0.00085996i,-0.00063408+0.0014793i,-0.00083791+0.0010488i,-0.00023599+0.0010273i,-9.1776e-05+0.00058176i,0.0002224-0.00034681i,0.00039115-0.00030282i,0.00041823+0.00035793i,2.4783e-05+0.00015177i,-0.00031609-0.0007622i,0.00050271-0.00037435i,0.00019786+0.00046361i
-0.00080617+0.001924i,0.0005475+0.0028909i,0.00090535+0.003591i,0.0010561+0.0031139i,0.0012609+0.0018287i,0.0010046+4.2484e-05i,0.00099654-0.00023561i,0.00086259+0.00025002i,0.00066229+0.00084846i,0.0005528+0.00066917i,0.00070956+4.7551e-05i,0.0005791-0.00014241i,9.9325e-05-0.00035552i,-0.00058452-0.00016228i,-0.00088259-0.00036028i,-0.00025282-0.00012692i,0.00036301+7.4398e-05i,0.0003167-0.0008916i,0.00030288-0.00091743i,0.00022785+0.00010419i,0.00017505+0.00024509i,0.00051065+0.00039593i,0.00068484+0.00056405i
-0.00074971-8.9795e-05i,-0.0012204+0.00030283i,-0.0019623-0.00053393i,-0.0012958-0.00096964i,-0.00021028-0.00076592i,-0.00016856-0.00027075i,-0.00033812-0.00035296i,4.968e-05-0.0003114i,0.00054852+0.00027706i,0.00047661+0.00090875i,-0.00046357+0.0012588i,-0.00062866+0.00059907i,-3.4269e-05+4.3613e-05i,0.00048131-1.0758e-05i,0.00067042+0.00020776i,0.00068326-0.00025417i,0.00052121-0.0005265i,-6.8463e-06-0.00060087i,0.00025147-0.00062708i,0.00071761-0.00017918i,0.00033972+0.00065649i,-0.00020576+0.0013915i,-0.00041555+0.00081956i
0.0010513+3.1585e-05i,0.0010549-0.00065673i,0.0009814+0.00054877i,0.00058924+0.0014625i,0.00040122+0.0018899i,0.0003065+0.0018718i,-0.00020196+0.00013897i,-0.0003512-0.00075675i,-0.00015773-0.00018924i,0.00029602-2.9244e-05i,0.000581-0.00062919i,0.0002053-0.00092284i,0.00043341-0.00018661i,0.00015471+0.00053314i,-0.00067071+0.00026978i,-0.00077458-0.00010545i,-0.00027576+0.00015328i,3.356e-05-6.8945e-05i,0.00026098-4.3608e-05i,0.00037097+0.00017225i,7.2698e-05+0.00030605i,2.9083e-05+0.00054587i,0.00050297+0.00036146i
-0.0022865+0.00057885i,-0.00093891+0.00085443i,-0.00041653+0.0019481i,0.00029376+0.0019151i,0.0011807+0.00091742i,0.00084822+0.00057254i,0.00037068+0.00075108i,-3.4141e-05+0.00022867i,-0.00052309-0.00020842i,0.00038183+0.0007383i,0.0010568+0.0010288i,0.00044946+5.4602e-05i,-7.2346e-05-0.00035925i,0.00071772-0.00013431i,0.00036453+0.00018793i,-0.00060797+0.00054885i,-0.000143+0.00094713i,0.00026621+0.00070833i,0.00064661+0.00039231i,0.00081818+0.00014692i,9.1697e-05-0.00044227i,-0.00074714-0.0010885i,-0.00077233-0.00073422i
0.0017355+0.00188i,0.0027804+0.0015787i,0.0028356+0.00076792i,0.0018436-0.0014684i,0.00059342-0.0013743i,-0.00053214-0.00073752i,-0.0011616-0.0010292i,-0.00074871-0.00072953i,0.00024903-8.7642e-05i,0.00063604-0.00010178i,0.00038349-0.00049748i,0.00015183-0.00018134i,-2.3027e-06-0.00040716i,-0.00047896-0.00011231i,-0.00058592+0.00092799i,0.0009155+0.00028305i,0.0015207+9.7793e-05i,0.00098913-4.9872e-05i,0.0010416-0.00016833i,0.0013228+0.0004848i,0.00095637+3.7856e-05i,0.00048428-0.00036422i,0.00037932+0.00034409i
0.00041894+0.00073477i,0.00014864+0.0012035i,-0.00044061+0.001262i,-0.00042769+0.001259i,-8.7421e-05+0.00088003i,-0.00014268+0.0007739i,0.0001281+0.00075341i,0.00042043+0.00084897i,0.00030237+0.00021237i,-2.6762e-06-0.00049225i,0.00069666-0.00011308i,0.00068747+8.6759e-05i,-0.00036726+0.0010795i,-0.00035372+0.0014701i,-0.00011124+0.00012377i,-0.00028304-0.00033691i,-0.00049296+0.00052814i,-0.00038958+0.00063166i,-0.00052642+2.0783e-05i,-0.00062173-0.0001027i,-0.00049708+0.00019352i,-0.00074861+0.00047679i,-0.00068783+0.00072791i
-0.0017199-0.00055808i,-0.0012584+0.00025646i,-0.00090109+0.0011226i,-0.00063143+0.0003118i,0.0005951-0.00041466i,0.0018297-2.0912e-05i,0.0011096+9.3649e-05i,0.00073851-0.0011096i,0.0013205-0.0011586i,0.0014676+5.2765e-05i,0.00056305+0.00059533i,-0.00023329+0.0004542i,-9.5901e-05-0.00020692i,-0.00026574-0.0010855i,-0.0002052-0.00066013i,-0.00024135-0.000249i,-0.00052463-0.0006436i,-7.2726e-05-0.00025786i,-0.00013159+4.2355e-05i,-0.00034153-0.00052117i,-0.00089997-0.00072035i,-0.0010175-1.4327e-05i,-0.00037602+0.00025889i
-0.00077642+0.0036803i,-0.00046454+0.0042204i,0.0015151+0.0039731i,0.0031509+0.0026128i,0.0027424+0.00070565i,0.00098803-0.00081713i,-0.00028233-0.0003615i,-0.00087272+0.00043407i,-0.00053647+0.00058214i,0.00046661+0.0001914i,0.00071861-0.00064571i,0.00042378-0.00084899i,0.00041227-0.00073702i,0.00047966-0.0011796i,-9.1017e-05-0.0016539i,-0.00016258-0.0004118i,0.00025494+0.00011118i,0.00059183-0.00062363i,-4.8587e-05-0.00043072i,-0.00027821-4.9116e-05i,2.2373e-05+0.00032759i,-0.00041643+0.00031468i,-0.00062154-0.00020292i
-0.0012527-0.00095411i,-0.001524-0.0014508i,-0.001852-0.0010092i,-0.0015092+0.00021934i,-0.00091653+0.00077929i,0.00016953+0.00045716i,0.00083045+0.00027432i,3.049e-05+0.00031248i,-0.00054796+0.00032915i,-2.3418e-05+0.00068162i,6.0554e-05+0.00043366i,-0.00021707-0.0001654i,0.0001674-0.00040674i,9.6768e-05-0.00084855i,7.5387e-06-0.0011352i,0.00016944-0.00056441i,2.8251e-05+0.00022725i,0.0002897+0.00097601i,-0.00031564+0.0011466i,-0.00063342+4.5113e-05i,0.00012195-0.00029977i,0.00044075-0.00074111i,0.00041944-0.00077191i
