-0.0016589+0.00077077i,-0.0012044+0.00035745i,-0.00067937+0.0011381i,0.00013536+0.00058002i,0.00048491+0.0011534i,0.00051934+0.0016293i,0.0012105+0.0007429i,0.0015898+0.0010336i,0.0016975+0.0010961i,0.0015548+0.00017683i,0.00096349-0.00064512i,-0.00034249-0.0006797i,-0.00064322-0.00079033i,-7.0142e-05-0.00081973i,6.7137e-06-0.00078747i,-0.00071942-0.00078056i,-0.00031296-0.00030583i,0.00017333+0.00054631i,-7.3162e-05+0.00063091i,-0.00017776-0.00016831i,-9.2404e-05-0.00040931i,-0.00012557-0.00067963i,-0.00050579-0.00063481i
-0.00069861-0.0007987i,-0.0010018+5.0725e-05i,-0.00076105-0.00042144i,-0.0006206-0.00074688i,-0.00083931-0.0017052i,-0.00095355-0.0011662i,-0.00030604-0.00020311i,0.00057182-0.00066501i,0.00050312-0.0014493i,0.00052276-0.00099933i,0.00049017+0.00075775i,0.00037618+0.0010741i,0.00099091+0.00086286i,0.00098708+0.0007174i,0.00012625+0.001104i,-0.00017604+0.0012537i,-0.00016585+0.00048996i,-0.00013179-8.0745e-05i,-0.00038525+0.00022365i,-0.00075559-2.5697e-05i,-0.00057261-0.00089355i,-0.00052308-0.0015746i,-0.00056249-0.0010012i
-0.0013061+0.00033032i,-0.00063798+0.0010156i,0.00058954+0.0012854i,0.0013338+0.0016781i,0.0014469+0.0013758i,0.00082051+0.0007829i,0.00014595+0.00054623i,0.00075376-0.00047105i,0.0016586-0.00086046i,0.0013912-0.00058372i,0.00050714-0.00068988i,-0.00026352-0.0010287i,-0.00028154-0.0012049i,-2.5665e-05-0.0016205i,0.00078143-0.0012986i,0.00075477+1.8787e-05i,-0.00035141+0.00042153i,-0.0007018-0.00029653i,-6.7173e-05-0.00051996i,0.00029143-0.00032836i,0.00047633-0.00087473i,0.00015362-0.00097969i,-0.00010355+4.9128e-05i
0.0012958+0.00013836i,0.0010734-0.00023081i,0.00076079-0.00021709i,0.00097168-0.00033277i,0.00059808-0.00036445i,-0.00016733-4.0412e-05i,0.00010359+0.00013546i,0.0008469+0.00059155i,0.00059605+0.00075113i,-0.00042199-0.00037939i,-0.0006901-0.0014997i,-0.00035523-0.00086451i,-0.00047796+0.00071489i,-0.00095052+0.001191i,-0.00031786+0.00065097i,0.00017423+0.00089878i,-0.00011613+0.0005417i,-8.5733e-05-0.00016705i,-0.00013469+0.00015418i,0.00052403+0.00074259i,0.00059793+0.00056952i,-0.00017929-0.0003572i,-0.00086427-0.0002948i
0.0012649+0.0004557i,0.00052668+0.001774i,0.00046171+0.0015838i,0.00089272+0.00086675i,0.0013876+0.00043253i,0.001373+0.00046667i,0.00097994+4.6928e-05i,0.00075683-0.00057286i,0.00024702-0.0006667i,-2.4746e-05-0.00067166i,0.00023735-0.00020934i,0.00022597+0.00053988i,-3.3101e-05+0.00077778i,6.1378e-05+0.00065463i,-5.6496e-06+0.00080021i,0.00016432+0.0010958i,7.058e-06+0.00090616i,-0.00040289+0.00059828i,-0.00010174+0.00043481i,-0.00014711-0.0002278i,-0.00039884-0.00068463i,-0.00083418-0.00022708i,-0.00040776+0.00047325i
0.0012957+0.00026056i,0.00081394+0.00047012i,0.00034625+7.7421e-05i,0.00024616-0.00036129i,0.00064631+0.00052975i,0.00052216+0.0012831i,0.00034743+0.0010653i,0.00078045+0.000772i,0.00039879+0.0002516i,-0.00043805-0.0001923i,-0.00061327+0.0001102i,-0.0003931+0.0001183i,0.00017127+0.00046706i,0.00041423+0.00093962i,0.00068915+0.00057482i,0.00099124+0.00039977i,0.00068018+1.9101e-05i,0.0011993+9.9752e-05i,0.0010402+0.00052285i,-1.1802e-05-0.00024104i,-2.3402e-05-0.00094777i,0.00054141-0.00080866i,0.00074018-0.00079706i
-0.00071349-0.00016913i,-0.0010496+0.00051229i,-0.0008681+0.001541i,0.0010844+0.0010288i,0.0011869-0.00014686i,0.00012074+6.6391e-05i,0.00049961+0.00059602i,0.00042992+0.0001936i,0.00064631-0.00027585i,0.00073295-7.8638e-05i,0.00010191+0.00023544i,-0.00017578-0.00015645i,-6.6923e-05-0.00083377i,0.00023663-0.00049033i,0.00041168-1.9265e-06i,1.5513e-05+0.00040616i,-0.00027661+0.00090073i,-0.0002633+0.00043995i,0.00018849+2.0469e-05i,0.00063573+0.00051664i,-1.7963e-05+0.0011737i,0.00023943+0.0010095i,0.00090809+0.00095366i
-1.318e-05+0.0013939i,0.0011653+0.0012605i,0.0022662+0.0015288i,0.002259+0.00089385i,0.0016168+6.6173e-05i,0.00054698+3.459e-05i,9.6781e-05-0.00031353i,0.00066016-7.2302e-05i,0.00084442-0.00017955i,6.9792e-05-0.00061318i,-0.00040237-0.00041461i,-0.00026406-0.00072096i,-0.00022994-0.0007387i,-0.00016978-4.2174e-05i,-1.6992e-05+0.00015866i,0.00010798-0.00013783i,0.00056684-0.00024954i,0.00055315-0.00010719i,-2.349e-05+4.5032e-05i,-0.00020717+0.00048734i,-0.00015303+0.00023973i,-0.00031709-0.00031324i,-0.00053165-0.00012i
0.00066401-3.0075e-05i,0.0015662-8.1126e-05i,0.0012938+0.00022197i,0.001+0.0004228i,0.00052289+0.0011065i,-0.00057063+0.0012179i,-0.00029927+0.00060513i,0.00088053+0.00010727i,0.00053468+1.0389e-05i,-0.00054426+0.00021031i,-0.00021086+4.8414e-05i,0.00036952-9.0275e-05i,-0.0001359-0.00025855i,-0.00029032+0.00056824i,-0.00034527+0.0015529i,-0.0006387+0.0011302i,-0.00020109+0.00057923i,0.00024141+0.00058771i,-0.00020951+4.1922e-06i,-0.0011661-0.00064721i,-0.0014824-0.00071395i,-0.0016626-0.0005885i,-0.00095836-0.00068854i
0.00062897-0.0011617i,0.00032327+0.00019265i,-0.00044332+0.0013499i,0.00013647+0.00082658i,0.0017486+0.00065759i,0.0026465+0.00059399i,0.0014337+0.00045736i,1.469e-05+1.5376e-05i,0.00037362-0.00077164i,0.00101-0.00038596i,0.00056357-0.00012341i,0.00059211+0.00020702i,0.0015397+0.0014106i,0.0011582+0.001302i,-0.00013834+0.00033827i,-7.4504e-05-0.00042599i,0.00058442-0.00052523i,0.00047657+0.00019169i,0.00041515+4.891e-05i,-0.00014812+4.5508e-05i,-0.00024829+0.00045988i,-0.00033388+0.00037079i,-0.00018052+0.00030659i
-0.00059272+0.0012637i,-0.00014438+0.0007829i,0.00039437+0.00053311i,0.0012877+0.00061507i,0.0013329+0.00020031i,0.00060516+0.00029977i,0.00028655+0.00058848i,0.00073117+0.00014397i,0.00086496-0.00020608i,0.00087034-0.0006619i,0.00086732-0.00036412i,0.00070227+0.00063742i,0.00030817+0.00048371i,-7.3785e-05-0.00081665i,-0.00049055-0.0016252i,-0.0007474-0.0017931i,-0.00017615-0.001678i,0.0002368-0.00098465i,-0.00050516-0.00053707i,-0.00085128-0.00045386i,-0.00041029-0.00013701i,0.00023115+0.00014133i,0.00039024-4.699e-05i
-0.0014371-0.0011253i,-0.0008744+0.00028631i,-0.00075305+0.0020541i,0.00068415+0.0023195i,0.0026156+0.0018125i,0.0029866+0.00081812i,0.0019637+0.00062079i,0.00059236+0.00076586i,-0.00022815-3.2585e-05i,-3.335e-05+0.00018092i,0.00074342+0.00087537i,0.00086678+0.00038302i,0.00028017-0.00058948i,0.0008132-0.0004533i,0.0015513-0.00016282i,0.00048698-0.00062264i,-0.00034418-0.00039843i,-0.00019989-0.00012993i,0.00063331-4.865e-05i,0.00088674+0.00012191i,0.00033206+0.00053364i,-3.827e-05+0.0010001i,-0.00011614+0.00068625i
0.00039607+3.1017e-05i,-0.0004555+0.00071051i,-0.0005611+0.0016321i,0.0009803+0.0006964i,0.00093099-0.0004439i,-0.00046519-0.00039162i,6.9411e-05-2.9094e-05i,0.0007748+0.00033013i,0.00052424+0.00077084i,-0.00032627+0.00049006i,-0.00079553-7.9599e-06i,-0.00058581-0.00054961i,-0.00059322-0.00089276i,-0.00045492-0.00028945i,0.00044833+0.0001721i,0.00061437+0.00041958i,0.00033021+0.00036505i,0.00015955-0.00026099i,-0.00025324+4.9995e-05i,-0.00019646+0.0010131i,7.1956e-05+0.00082469i,0.00072187+0.00027826i,0.00072067+0.00020736i
0.0010797+0.00091498i,0.0019088+0.00013779i,0.0014952+0.00020313i,0.0015953+0.00043565i,0.0024239+0.00044123i,0.0021654+0.00019651i,0.0012259-0.00050936i,0.00021698-0.00064363i,8.253e-05-0.00040901i,0.00035212+0.00042037i,-5.6425e-05+0.00042172i,-0.00047085-0.00055808i,-0.00079059-0.00087746i,-0.00070114-0.00080777i,0.00031064-0.0011564i,0.00042145-0.0012093i,-0.00020571-0.00073185i,0.00018711+0.00025908i,0.00042189+0.00079719i,-0.00011182+0.00062364i,0.0002277+0.00053978i,0.00050332+0.0005293i,5.8624e-05-0.00020975i
-0.00049366-0.00096299i,-0.0012424-0.0011009i,9.585e-05-0.001183i,0.001096-0.00080364i,0.00070577-0.00026099i,0.00053158+0.00094031i,0.00091495+0.0015282i,0.0010807+0.0009741i,0.0008544-0.00021784i,0.00077885-0.0010217i,0.00042244-0.0010112i,7.1515e-05-0.0007569i,-0.00019679+0.00027372i,-0.00056904+0.0011442i,-0.00027633+0.000574i,0.00063858-0.00013116i,0.00072489-0.00019616i,0.00047061+0.00019262i,0.00054455+0.00025724i,0.00063013+0.00033883i,0.00018747-8.1717e-05i,-0.00029914-0.00052197i,0.00013964-0.00032738i
