-0.001314-0.00024794i,-0.00098128-0.0016207i,-0.0014251-0.0024388i,-0.001933-0.00098608i,-0.0026953+0.00015283i,-0.0021568+0.00051124i,-0.00030307+0.0014951i,0.0008886+0.0023106i,0.0010811+0.0021246i,0.00023636+0.00099912i,-8.7312e-05-0.00073349i,-0.0002981-0.0010657i,-0.00019872-0.00053504i,0.00041382-0.0003546i,0.00013869-2.0478e-05i,-0.00051594+0.00054372i,-0.00060914-9.5276e-05i,6.7697e-05-0.00060727i,0.00032103+8.9026e-05i,-0.00039388-4.4586e-05i,-0.00089425-0.00014464i,-0.00059148-0.00014648i,0.00013603-0.00039727i
0.0012616+0.0015521i,0.0020003+0.0008578i,0.0022923-0.00033544i,0.001483-0.0014399i,0.00054754-0.0020251i,-0.00012658-0.0016692i,-0.0003442-0.0005186i,0.00016209+0.00073556i,0.00021739+0.0014116i,-0.00036086+0.00090631i,-0.00063411+0.00052404i,-0.00086572+0.00036564i,-0.0013601-0.00024676i,-0.0014674-0.00022915i,-0.0012857+0.00042659i,-0.0013796+0.00083783i,-0.0013304+0.00084516i,-0.00015467+0.00070095i,0.00047807+0.00060206i,0.00098064+0.00044785i,0.00086048+0.00040051i,0.00042484+0.00023606i,0.00067529+0.00049577i
0.00032148+0.0010354i,0.00075722+0.00066292i,0.00074793-0.00077551i,0.00060907-0.0018549i,5.5141e-05-0.0019516i,-1.9622e-05-0.0013232i,6.4447e-05-7.3724e-05i,-0.00081387+0.00029074i,-0.0012611+0.00012156i,-0.00092336+0.00047068i,-0.00065732+0.00054406i,-0.00074221-0.00017775i,-0.00047616-0.00048256i,5.6631e-06+5.7294e-05i,-0.00034749+0.00042189i,-0.00033914+0.00053736i,8.9465e-05+0.00011142i,-0.00016778-0.00029868i,0.00032494-0.00016032i,0.00065564-0.00032328i,5.1273e-05-0.00011872i,-0.00040372+8.3753e-05i,-0.00018058+0.00024038i
-0.00018343+0.0018745i,0.0010683+0.0022852i,0.0028663+0.0021515i,0.0027044+0.0014031i,0.0018311+0.0010454i,0.0014785+0.00088767i,0.00061399+0.00068615i,1.0038e-05+0.00030668i,0.00057407+0.00066701i,0.00056435+0.0010777i,9.8128e-05+0.00079932i,-0.00035099+0.00061296i,-0.00014252-0.00020029i,0.00025308-0.00057876i,-0.0003736-0.00071677i,-0.00045348-0.0003939i,0.00053397+0.00075332i,0.00093925+0.00050727i,0.00037111-0.00041238i,-8.9391e-05-0.00037655i,-0.00045752-0.0001342i,-0.00035836-0.00080841i,-0.00016076+2.1588e-05i
3.2242e-05+0.00065615i,-0.00074854+0.0014494i,-0.00094704+0.0012482i,-0.0011358+0.0012183i,-0.0012261+0.00064529i,-0.00059298-0.00017801i,-0.00027983+3.6431e-06i,0.00020022+0.00031988i,0.00055405+0.00013683i,0.00069899+0.00018898i,0.00049671+0.00068122i,0.00029605+0.0003328i,0.00027241-0.00028198i,0.00056949-0.00063625i,0.00061204-0.00081353i,0.00084702-3.318e-05i,0.00078154+0.0005759i,5.1527e-05+0.0008131i,-0.00032781+0.00056881i,0.00020144-0.00016914i,0.00048784-0.00086571i,0.00032776-0.00053406i,0.00021854-1.6198e-05i
-0.0011489-0.002001i,-0.0016076-0.00148i,-0.0016084-0.0008813i,-0.0018094-0.0012376i,-0.0011768-0.001112i,3.3797e-05-0.00087842i,6.1207e-05-0.00063843i,-0.00041131-0.0002801i,-0.00030082-4.549e-05i,-0.00023991+0.00036447i,5.1922e-05+0.00022095i,0.00069406-0.00018446i,0.0004558+0.00034693i,0.00017334+0.0011142i,0.00035718+0.0009191i,0.0001498+5.1168e-05i,-0.00018672-0.0003001i,-0.00040478+3.9886e-06i,0.00069696-3.4546e-05i,0.0015403+0.00027378i,0.00048838+0.00055555i,-7.1241e-05+0.00070579i,0.00036369+0.00094772i
-0.0001667+0.0021366i,0.00088101+0.0014528i,0.0020626+0.0010068i,0.0029634+5.0897e-05i,0.00203-0.00068111i,0.00079046-0.0009253i,0.00054448-0.00098908i,0.00019763-0.00091635i,0.00029745+0.00018345i,0.0006475+0.0013369i,0.00069795+0.00099665i,0.00020374+0.00052723i,0.00015288-0.00012636i,0.00026481-0.00018991i,-0.00032334+0.00025199i,-0.00033971+0.00060785i,0.00042537+0.00092295i,0.00072093+0.0005729i,0.00076116-1.3727e-07i,0.00029917+0.00011817i,-0.00082561+0.00033072i,-0.0010099+0.00061997i,-0.00073969+0.00087573i
6.1097e-05+0.00083704i,0.00061909+0.00061777i,-0.0007454-0.00073482i,-0.0012986-0.00088083i,-0.00064438-0.00085217i,-0.00090151-0.0014716i,-0.0011145-0.0013911i,-0.00011334-9.6186e-05i,0.00040946+0.00086565i,0.00016498+0.00092656i,0.00034809+0.0010041i,0.00034499+0.0012775i,0.00037854+0.00060082i,0.0006605-0.00016015i,0.00044336+0.00023582i,-0.00010972-0.00019605i,7.5933e-05-0.00074685i,0.00072466-0.00044241i,0.00037704-0.00077755i,-0.00029108-0.0012359i,-0.00064569-0.0012479i,-0.0011995-0.0010921i,-0.00086713+0.00010151i
-0.0010208-9.713e-05i,-0.00094796+0.00026314i,-0.00021836+0.0002224i,3.8373e-05+0.00025643i,-0.0012016-0.00073929i,-0.0015022-0.0011854i,-0.0003871-0.00016344i,0.00051451+0.00023302i,0.00039896-0.00010467i,-8.9785e-05+9.9545e-05i,-7.4795e-05+0.00015921i,-7.7668e-05-7.9051e-05i,-0.00050862-0.00034932i,-0.00067061-0.00048531i,-0.00087268-0.00034758i,-0.00078562-2.9746e-05i,-0.00031728+3.2835e-05i,0.00017239+0.00026927i,0.00018046-0.00044388i,-0.00034223-0.001489i,-0.00050979-0.0014849i,-0.00059213-0.0014716i,-0.00044965-0.00061028i
0.00080388+0.00090367i,0.0012938+0.00012985i,0.00089722-0.00011028i,0.00042502-0.0009162i,0.00016682-0.00080972i,2.3294e-08-0.0005391i,-0.00093277-0.00034655i,-0.0010132+8.9385e-05i,-0.00054821+0.00055671i,-0.00046488+0.00086467i,0.00030108+0.00034018i,0.00080457-0.0003463i,-0.00016091+3.3089e-06i,-0.00096894+0.00035855i,-0.0010108-2.7163e-05i,-0.00046987-0.0001964i,-9.9271e-07-1.7386e-05i,6.5633e-05+0.00060497i,-0.00010096-3.874e-06i,-0.00047014+0.00020375i,-0.00082096+0.00079968i,-0.00014649+0.00016022i,0.00063203-0.0002439i
0.0018814+0.00042759i,0.0008778+0.00047551i,0.0013969-0.00077328i,0.00071927-0.0014403i,-0.0013046-0.0013543i,-0.0014556-0.0011539i,-0.00026992-3.5178e-05i,-7.5036e-05+0.0011304i,-2.023e-05+0.0015101i,-0.00058357+0.0014607i,-0.00076963+0.0014611i,8.3033e-08+0.0012357i,0.00013835+0.00099346i,-0.00012477+0.00071322i,0.00012978+0.00028421i,0.00076095-0.00042424i,0.00086739-0.00032563i,0.00062299-2.5396e-05i,0.00021228-0.00011073i,-0.00010218+7.398e-06i,-0.00068449-0.00054915i,-0.00073458-0.00088734i,0.00022241-6.4617e-05i
