0.0022586+0.00063179i,0.0028156-0.00080118i,0.0015656-0.0017763i,0.0012174-0.00068578i,0.0003628+0.00051098i,-0.0013648+0.00024389i,-0.0015466-0.00014175i,-0.00040298+0.00019335i,0.0010151-6.9812e-06i,0.0012572-0.00071684i,0.0008676-0.0012162i,0.00014252-0.0011497i,-0.00079746-0.00029318i,-0.00046681+7.0848e-05i,-0.00021039+0.00055369i,-0.00041668+0.00084423i,-0.00051675-0.0003569i,0.0001767-0.0010833i,0.0010181-0.00017007i,0.00025987+0.00094328i,0.00010207+0.0011356i,0.00032903+0.00077719i,0.00017469+0.00061449i
-0.00014086-0.00070773i,-0.00057542-3.5414e-05i,-0.00065774+0.00076327i,7.1743e-05+0.0014686i,0.00034872+0.0010514i,-4.3913e-05-0.00038966i,-6.6662e-05-0.0015431i,0.00016905-0.0013585i,0.00029409-0.00045009i,0.0006293-0.00053427i,0.00053333-0.00049947i,-0.00018818+0.00028938i,-0.00019226+0.00082176i,0.00069112+0.00040712i,0.0010786-3.7099e-05i,0.00011851+0.00020155i,-0.00026394+0.00098183i,-5.0147e-05+0.0011843i,0.00013064+0.0003008i,0.00025646+0.0005243i,-0.00065633+0.00053042i,-0.00076656+1.3858e-05i,-0.00026999-0.00055239i
-0.0011872+0.0016154i,-0.00037778+0.0010939i,0.00045198+0.001853i,0.00090937+0.0018202i,0.00094356+0.0010305i,0.0010182+0.00010833i,0.00022043-0.00048821i,-0.00052579-0.0014019i,-0.00023393-0.00075965i,0.00015227+0.00024126i,0.00050106-1.8734e-05i,2.3021e-05-0.00040132i,-0.001078-0.00085948i,-0.00098593-0.0010029i,-0.00075517-0.00057762i,-0.00070977-5.9937e-05i,0.00030781+0.00027864i,0.00042814+0.00046917i,0.00011658+0.00035783i,0.0002043+0.0003392i,-0.00041374+0.0006353i,-0.000945+0.00063508i,-0.00043915+0.00030791i
0.0010118-0.00091306i,0.00082036-0.0015697i,0.0007598-0.001989i,0.00054465-0.001715i,0.0010919-0.0016933i,0.00089239-0.00097052i,0.00013564-0.00081677i,-0.0004166-0.00042785i,0.00026788-0.00019491i,0.0013114-0.00011593i,0.0011882-0.0004185i,-4.4436e-05-0.00052366i,-0.00091929-0.0001425i,-0.00081887-5.9503e-05i,-0.00059885-0.00014194i,0.00014837-0.00020664i,0.00045879+0.00022098i,-0.00012849+0.00065767i,-0.00092404+7.4413e-05i,-0.0007878-0.00023854i,-0.00056256-1.4898e-05i,-0.0004994+9.7939e-05i,-0.00045746-2.6769e-05i
0.00021632+0.00053324i,0.00052747+0.00048434i,0.0001565+0.00089209i,0.00098275+0.0013312i,0.0020911+0.0010519i,0.0013048-0.00075129i,0.00016039-0.001383i,-0.00015914-0.00078785i,0.00042433+0.00021926i,0.00095346+0.00026233i,0.0012565-0.00036899i,0.00019194-0.00043537i,-0.00023586-0.00026949i,0.00038402-0.00050991i,0.00020552-0.0008173i,-5.2279e-05-0.00059671i,-0.00059259-3.5128e-05i,-0.00095795+0.00049772i,-0.0003626+0.00088008i,7.1477e-06+0.00021301i,-0.00034494-0.00081034i,-0.00083368-0.00054774i,-0.0010934+0.00042805i
0.0022672-0.00025042i,0.0019599+0.00097237i,0.0014239+0.0017741i,0.0010698+0.0017052i,0.00057947+0.0012143i,0.00019417-0.00043748i,6.8119e-05-0.0019243i,0.00035788-0.0014849i,0.0010494-9.7512e-05i,0.0011757+0.00034699i,0.00044693-0.0004365i,0.00031843-0.001328i,0.00036506-0.00089878i,-0.00010697+0.00042994i,0.00025729+0.00089554i,0.00026331+0.001089i,-0.00036509+0.00082672i,-0.00093985+0.00025208i,-0.0014791+0.00011832i,-0.00083559-0.00040761i,-2.1197e-05-0.00045529i,9.7095e-05+0.00021282i,3.8031e-05+6.4217e-05i
-0.0010057-0.00011766i,-0.0010973+0.00091859i,-0.0008192+0.00055941i,-0.00091202+0.00089627i,-0.00074004+0.0010818i,-0.00029487+0.00017391i,3.8251e-05-0.00012315i,0.00029714+0.00045788i,0.00011702+0.0012234i,0.00013363+0.00074007i,0.00032024+0.00025999i,0.00053852+0.0002971i,0.00051271-0.00014426i,0.00042114-0.00032961i,-0.00018179-7.0495e-05i,-0.00022568+0.00053961i,-0.00018603+0.00052207i,-0.00077792-0.00032738i,-0.00070118-0.00041088i,-0.00022765-0.00011009i,-0.00045908-4.788e-05i,-0.00066386-0.00020957i,-0.00058808+0.00014548i
2.1307e-05-0.00019658i,-0.0010411+0.00034662i,-0.00079576+0.0008899i,0.00045493+0.00068409i,0.0012717-0.00013542i,0.0010835-0.00037862i,0.00085056-0.0001842i,4.9369e-05-0.00050332i,-9.4318e-05-0.00034529i,0.00104-0.00019869i,0.0014493-6.3247e-05i,0.00085825+0.00033404i,0.00012294-0.00038213i,0.00020995-0.0013511i,0.00020683-0.0008662i,-0.00032657-0.00012085i,-0.00056668-0.00060434i,-3.4121e-05-0.00077421i,-3.245e-05+0.0003617i,-0.00043952+0.00033543i,-0.00063065-0.00082913i,-7.7684e-05-0.0013962i,-0.00016882-0.00032756i
-0.0003577+0.00034478i,0.0004666+0.0011168i,0.00076048+0.0018113i,0.00059055+0.0016785i,0.00047699+0.001069i,0.0010047+0.00010212i,0.00068346-0.0014125i,0.00031713-0.0018508i,9.9871e-05-0.00080955i,-0.00014545-0.00036348i,0.00069978-0.00054151i,0.00091684-0.00031503i,8.4068e-05-0.00059338i,-0.00024554-7.8683e-05i,-0.00080052+0.00042843i,-0.0010424-0.00021123i,-0.00087812-8.3781e-05i,-0.0010243+5.5557e-05i,-0.00080653-0.00022008i,-5.3927e-05+1.043e-05i,0.00019198-0.00035218i,-0.00019711-0.00035132i,-0.00028945-1.5467e-05i
0.00073978+0.0022424i,0.00068524+0.0012036i,0.00084335+0.00091084i,0.0021177+0.00094611i,0.0024048+0.00086829i,0.00095234-0.00052069i,-0.00062928-0.001583i,-0.00072004-0.001611i,0.00069068-0.00071246i,0.0015947-0.00055571i,0.0013323-0.00041988i,0.00054123+6.1246e-05i,0.00039246-0.00055245i,0.00011934-0.00050571i,-0.00025937+0.00040237i,-0.00064355+0.00057991i,-0.00052562-0.0002107i,0.00023173+0.00013041i,0.00030976+0.00023417i,0.00022965-0.00060251i,1.8044e-05-0.00092509i,-0.0001672-0.0008452i,-2.846e-05-0.00080176i
-0.00032897-0.0014991i,0.00022069-0.00068403i,0.00061287-0.00029215i,0.00082605+0.00015126i,0.00056729+0.00021082i,0.00052674+9.6024e-05i,0.00060528-0.0002236i,0.00037228+0.00011732i,0.00036899+0.00052578i,0.00035507+0.00022178i,-7.8868e-05+0.00067455i,-0.00058921+0.0010812i,-0.00019207+0.00061648i,-2.6629e-05+0.00045049i,-0.00014878-6.6726e-05i,0.00021553-5.5501e-05i,-0.00013649+0.00073801i,-0.00035252+0.00078144i,0.00049693+0.00090196i,0.00054104+0.00079616i,-0.00011908+0.00049946i,-0.0003668+0.00031086i,-0.00056795+0.00015831i
