-0.004515+0.0020545i,-0.0033938+0.0013601i,-0.0025264+0.0011065i,-0.00078062+0.00091235i,0.00057142+0.0014787i,0.00067613+0.0020631i,3.8602e-05+0.0020043i,0.00042448+0.0015697i,0.00089078+0.00071635i,0.00064103-4.3868e-05i,0.00041311-0.00022053i,0.0002479-0.0003933i,6.8801e-05+0.00047036i,0.00022687+0.0010992i,0.00077021+0.00050294i,0.00088786+0.00073011i,0.00016401+0.0006637i,-0.00062653-0.00022376i,-0.00045041+0.00010016i,-0.0001276+0.001121i,-0.00014196+0.00070534i,-0.00027798+0.00033182i,-0.00094981+0.00079621i
0.0038184-0.0023032i,0.0029109-0.0018241i,0.0012422-0.00050419i,0.0015076-0.0007773i,0.0010196-0.0021515i,0.00046061-0.0020733i,0.0008578-0.0008714i,0.00085926-0.00075036i,0.00070888-0.0013497i,0.00067562-0.0010129i,-0.00030458-0.00033265i,-0.00085717-0.00036305i,-0.00052181-0.00026108i,-0.00020076+1.8765e-05i,0.00021757+0.00031206i,0.00016973+0.00017723i,-0.00044771-0.00018123i,-0.0010904-0.00046477i,-0.001387+3.3758e-05i,-0.0010667+0.00017068i,9.4525e-05-0.00031629i,0.00066697-0.00036442i,-3.0859e-05+0.00030016i
0.00068994+0.0026851i,-0.00012749+0.002202i,-0.00060117+0.0016542i,0.00087164+0.0002842i,0.0019834-0.00011123i,0.0010425+0.00022672i,0.00026003+0.0002298i,-3.7717e-05+0.00047113i,-3.2342e-05+0.00056385i,-0.00046638+8.0125e-05i,-0.00052178-7.3529e-05i,-0.00023288+0.00054571i,-0.00030523+0.00085679i,-0.00039967+0.00082312i,-0.00065779+0.0001531i,-0.00033582-0.00080157i,0.00024336-0.00085099i,0.00053699-0.00065781i,0.00076369-0.00086601i,0.00071001-0.0012454i,0.00034906-0.00089623i,-0.00048758-0.00060992i,-0.0011358-0.00042338i
-0.0024234-0.00094271i,-0.0030655+0.00048259i,-0.0025177+0.00085018i,-0.00084316+0.00050494i,-0.00042486+0.00056075i,6.7731e-05+0.00065217i,0.00068269+0.00047306i,0.0008419+0.0006176i,0.00032013+0.00090296i,-0.00024742+0.00019721i,-0.00052148-0.00039099i,-0.00061882-0.00015051i,-0.00012476-0.00013517i,-0.00035652-0.00015754i,-0.00029577-0.00010185i,0.00055839+0.00015113i,0.00035148+0.00076211i,0.00033704+0.00060677i,0.0006583+0.00034866i,0.00081043+0.0002027i,0.00038459-3.551e-05i,-0.00019094-0.00014679i,-0.00048951+0.0002265i
1.2766e-06-0.0021073i,-8.9577e-05-0.0012525i,-0.00010452-0.00042503i,-7.2033e-05+0.00084314i,0.00014669+0.001338i,6.6604e-05+0.00026668i,0.00033898-0.00020838i,0.00045393+8.1636e-05i,-5.7184e-05+0.00063406i,-0.00071327+0.000939i,-0.00022187+0.00077767i,0.00012372-4.3581e-05i,-0.00012958-0.0004683i,-3.6201e-05-0.00054075i,-0.0002358+0.0003628i,-0.00040914+0.00082794i,-0.00030537+0.00036201i,0.00017303+7.5713e-06i,0.00011109+7.1081e-05i,-0.00010687+0.00013883i,-4.5632e-05-0.00060524i,-8.6561e-05-0.0012838i,-0.00018868-0.00068078i
-0.0025639+0.002807i,-0.0020955+0.0036823i,-0.0020071+0.0040536i,-0.0015677+0.002515i,-0.00034113+0.0012241i,0.00096626+0.00034751i,0.00088525-0.00010729i,0.00018955+0.0002865i,-0.00037067+0.0005147i,-0.00049014+0.00037262i,0.00016544+0.00020129i,-0.00013343+3.9357e-05i,-0.00095818+0.00035317i,-0.00025942+0.0010969i,0.00024762+0.00086909i,-0.00019958+0.00069729i,-0.00061078+0.00068849i,-0.00038915+0.00029575i,-0.0004672+0.00029038i,-0.0001273+0.00033702i,-0.00017621+0.00046216i,-0.00060512+0.00022218i,-0.00015036-0.00036349i
0.0012032+0.0029561i,0.00069502+0.0016712i,0.00059499+0.001158i,0.00041733+0.00083114i,0.0012296+6.937e-05i,0.0015594-0.00043817i,0.00064284-0.00027001i,-0.00014547-2.3069e-05i,4.8565e-05+8.7553e-05i,0.00038713+0.00014907i,0.00044497-0.0003348i,0.00033986-0.00070631i,0.0001332-0.00023509i,-7.1675e-05-0.00031857i,0.0001277+1.8496e-05i,0.00036103-2.4415e-05i,0.00041895-0.00048836i,-0.00027648-0.00028421i,-0.00067518-0.00031132i,9.9896e-05-8.2942e-05i,0.00043606+0.00022373i,0.0001008-0.00019909i,-0.00018716-8.1015e-06i
0.00033252+0.0028369i,-0.00054523+0.0020053i,-0.00016305+0.002297i,0.0010192+0.0022144i,0.0019031+0.0015512i,0.0014128+0.0009792i,0.00035488+0.00059649i,-0.0007125+0.00010585i,-0.0013009-0.00028386i,-0.0011425-0.00068096i,-0.00049299-0.00035852i,-0.0001306+0.0006482i,-0.00024635+0.00083524i,-0.00020754+0.00011079i,-2.0119e-05+0.00049052i,-0.0002385+0.0012647i,-0.00032924+0.00081353i,0.00046209+0.00075318i,0.0010264+0.00037239i,0.00051407-0.00055969i,0.00029772-0.00016833i,0.00044053+0.00016317i,0.00011928-0.00019851i
-0.00072127+0.00094632i,-0.0018008+0.00085018i,-0.0017667+0.0011812i,-0.00060772+0.0015506i,-2.0801e-06+0.00066434i,0.00038447-8.6254e-05i,-3.3188e-05-4.6594e-05i,-0.00054861-0.00099226i,0.00010791-0.00092353i,0.00034046+0.00029787i,0.00023834+0.00041125i,0.00027097-2.3495e-05i,-9.2412e-05-0.00022461i,-4.7271e-06-0.00089773i,0.0002924-0.0013561i,0.00027504-0.00029197i,-1.5928e-05+0.00095481i,-0.00089244+0.00052071i,-0.0010655+8.5286e-05i,-0.00025397+1.2325e-05i,0.00069661-0.00057994i,0.00028547-0.00085943i,-0.00033355+1.3886e-05i
3.8935e-05+0.0049977i,0.00031319+0.0044918i,0.00079388+0.0031123i,0.001395+0.00082025i,0.0023912+3.4476e-05i,0.0021781-0.00029395i,0.00091247-0.000784i,-4.2487e-05-0.00038455i,-6.2676e-05+0.00031177i,0.00039997+0.00095753i,0.00055536+0.00016295i,0.0007252-0.00031585i,0.00016653+0.00025888i,-7.6035e-05+0.00051635i,0.0001422+0.00085348i,-4.5657e-05+0.0012201i,2.9321e-05+0.00093696i,0.00040528+0.00060464i,0.00034196+0.00067533i,-9.1419e-05+0.00022951i,0.00042571-0.00029199i,0.00153-0.00088552i,0.0014314-0.00040835i
0.00049995-0.0014849i,5.478e-07-0.0010302i,-0.00013676+0.0010865i,0.00039735+0.0014815i,0.0008375+0.00051761i,0.0012918+0.00023638i,0.00064374+0.0013229i,-0.00041481+0.0011406i,-0.00071562+0.00016562i,-0.00029942-0.00042013i,0.00041479-0.00092725i,0.00024352-0.0012464i,0.00025278-0.00065495i,0.0001489+4.9689e-05i,-1.0473e-05-0.00019768i,-0.00013459-0.00011633i,-0.0005887+0.00020956i,-0.00036998-0.00068317i,0.00046133-0.00084235i,0.00060602-0.00010704i,0.00075486-0.00015634i,0.00066627-0.00045803i,0.00094401-0.00049837i
0.0018305+0.0026784i,0.00032534+0.0026659i,0.0010919+0.0016906i,0.0014145+0.00096921i,0.0014407+0.00021631i,0.0010262+0.00028165i,0.00045443+1.8289e-05i,-1.5617e-05-0.000626i,-0.00060975-0.00027017i,-0.00035906-0.00047578i,0.00036269-0.0006348i,0.00018585-0.00042983i,-0.00050219-0.00051832i,-0.0006536+1.172e-05i,-8.8333e-05+0.00037944i,0.00029493+0.0004482i,0.00019474-8.0352e-05i,2.4097e-05-0.00037123i,1.5252e-05-0.00048485i,0.00050833-0.0010426i,7.6442e-05-0.00085511i,-3.3485e-06-1.2874e-05i,0.00039256+0.00047269i
-0.0019375-0.00011479i,-0.0012071+0.00030018i,0.00049119+0.0012597i,0.00052302+0.0010558i,0.00096538+5.8395e-05i,0.0011849-0.00048886i,0.00057009-0.00016902i,-3.1618e-05+0.00051196i,-0.0011921+0.00041588i,-0.0010681-0.00014653i,-0.00025448-0.00047487i,-0.00034868-0.00067072i,-0.00013926-0.001199i,0.00028808-0.00096171i,-0.00010709-0.00040927i,-8.1783e-05-4.1795e-05i,0.00010745+0.00019181i,5.6533e-05-0.00023463i,-0.00047986-0.00078768i,-0.00034692-0.00056221i,-2.1442e-06-0.00027439i,4.5789e-05-0.00019256i,-0.00027415-9.1571e-05i
0.0032172-0.00088865i,0.0015801+5.546e-05i,0.00014217+0.00017649i,-0.0010592-0.00031037i,-0.0011266-3.327e-05i,-0.00055698+0.0004347i,-2.7868e-05-6.2953e-05i,-0.00010481-0.00066209i,-0.00041086-0.00078862i,-0.00032969-0.0013148i,0.00027245-0.00088659i,0.00054261+1.891e-05i,-0.00018434-3.9549e-05i,-0.00031543+0.00052948i,-0.0002888+0.00097755i,-0.0004492+0.00068334i,-0.00021498-1.7588e-05i,0.00033631-0.00059501i,0.00061196-0.00039782i,0.00070253-0.00033693i,0.00067517-0.00017838i,0.00031303-0.00075343i,-0.00029433-0.00084555i
0.0010147+3.1306e-05i,-2.9732e-05+0.0012722i,-0.00012007+0.00052652i,0.0015232-0.00037507i,0.0021469-0.00025567i,0.0015531-0.00040899i,0.001368-0.00035423i,0.00075742+0.00023587i,0.00011655+8.4303e-05i,-0.00025056-0.00018878i,-0.00053459+0.00024403i,-6.4925e-05+0.00032491i,0.00048621+0.00016119i,-3.5629e-05+0.00079214i,-0.00045594+0.0013708i,-0.0010788+0.0012841i,-0.0011602+0.00022937i,0.0002509-0.0011353i,0.00077848-0.0012188i,0.00040725-0.00088481i,-0.00018986+7.3832e-05i,-0.00044371+0.00049549i,-0.0003772+0.00050701i
