-0.003863+0.0015827i,-0.0019902+0.0024449i,-0.0018136+0.0039949i,-0.0011839+0.0032872i,-0.00041252+0.0014877i,0.00023884+0.00051495i,0.00033625+0.00047901i,0.00089409+0.00095584i,0.0015172+0.0010625i,0.0017053+0.00051916i,0.0012697-0.00011605i,0.00045771-0.00092629i,0.00040908-0.00070439i,4.6978e-05-2.7539e-06i,-0.00054271+0.00010113i,-5.0743e-05+0.0002729i,-0.00032407-7.2657e-05i,-0.00049521-0.00023774i,-0.00040394+0.00014348i,-0.00022341+0.0008353i,0.00024366+0.0011622i,0.00054396+0.00064989i,-0.00011659+0.00017719i
0.00033528+0.00023538i,0.00011978+0.00030602i,-8.4811e-05+0.00022208i,-7.7228e-05+0.0004951i,0.00058202+0.00020538i,0.00098052-0.0012915i,0.00082133-0.0012766i,0.00055047+0.00016404i,0.00056386+0.00083217i,0.00031076+0.00031138i,-0.00022789+0.00028661i,-0.00040059+0.0006995i,-0.00018759+0.00059233i,-0.00038843-2.247e-05i,-0.00042001+5.8466e-05i,0.00017362+0.000759i,-8.2168e-05+0.00045585i,-4.6729e-05-0.00032105i,0.00054023-0.00019834i,0.00067325-0.00010663i,0.00044394-0.00040375i,-0.00063241-0.00028587i,-0.0005363+0.00065912i
0.001234+0.0016063i,0.00092208+0.00075158i,3.188e-05-9.6163e-06i,-0.00079557-0.00078431i,-0.0001059-0.0010859i,0.00033754-0.00093265i,0.00053891-0.00062319i,0.00031216-0.00031522i,0.00022055+0.00065876i,0.00050298+0.0019851i,0.0003994+0.0013437i,-0.0003988+2.9817e-05i,-0.00070868-6.0488e-05i,-8.3661e-05+0.00046916i,0.0006168-2.2983e-05i,0.00039404-0.00051132i,-2.5119e-05-8.71e-05i,-0.00025832-7.8092e-05i,-0.00070221-6.8458e-05i,-0.0013215+7.2541e-05i,-0.0010991+0.00018977i,-0.00022751+0.00040656i,0.00058363-0.00018432i
-0.0013169-0.0012216i,-0.0011227-0.0014265i,-0.0014651-0.00055274i,-0.0015234+0.00048169i,-0.0010236+0.00038607i,-0.00018077-0.00022643i,-0.00044494-0.00054893i,-0.00087746-0.00040852i,-0.00077505+0.0003295i,-0.00063004+0.0011965i,-0.00019428+0.0010685i,0.00014791+0.00042991i,0.00019109+1.1173e-05i,0.00037827-0.00057586i,0.00028905-0.00047423i,0.0001084-7.8497e-05i,-0.00020304-0.0001792i,0.00018704+0.00049977i,0.00015344+0.00065554i,-5.1065e-05-0.00027424i,-0.0003154-8.2429e-05i,-0.00094862+0.00028212i,-3.8906e-05-0.00033446i
0.0023741+0.00068083i,0.002317+0.00016565i,0.0015023-0.0016171i,0.00026429-0.0025236i,-0.0015021-0.0016182i,-0.0017986-0.0014034i,-0.00050551-0.00079417i,0.00030632-0.00018517i,4.0948e-05+1.8301e-05i,-0.00025934+0.00018556i,-2.3763e-05+0.00012495i,0.00075518-0.00026207i,0.000303-0.00028795i,-0.00096025+0.00049976i,-3.0727e-05+0.00093755i,0.0006134+0.0003881i,5.3962e-05+0.00041555i,-0.0004879+0.00063531i,-0.00049371-0.00013239i,-0.00051282-0.00085442i,-0.00030874-0.00053625i,0.00017079-1.6802e-05i,0.000618-0.00014394i
0.0003664+0.00044667i,0.00017038+0.0011428i,7.1282e-05-6.2134e-05i,-0.00038057-0.00092092i,-6.8463e-05-0.00065519i,0.00096677-0.00068017i,0.00042075-0.0011453i,-1.8983e-05-0.00017922i,0.0004226+0.0011902i,0.00072208+0.00094871i,2.2085e-05+0.0001586i,-0.00085016-0.00016831i,-0.00092987-0.00046879i,-0.00060479-4.6111e-05i,-0.00023787+0.00023596i,0.00024134+5.6832e-05i,-0.00050861+6.7843e-05i,-0.00041149-0.00011533i,-0.00016777+0.00040853i,-0.00050038+0.00083046i,0.00015294+0.0011328i,-0.00021747+0.0012537i,-0.00062363+0.00101i
-0.00059272+6.8923e-05i,-0.00047588-1.171e-05i,-0.00037183-0.0012964i,-0.00041398-0.001783i,-0.0011096-0.0010556i,-0.0014596-9.2117e-05i,-0.00045499+0.00039382i,-0.00041543-0.00010034i,-0.00015912+0.00023084i,0.001119+0.0009201i,0.0013089+0.00046381i,0.0002212-6.5326e-05i,-0.00046878-0.00012271i,0.0002406+0.00025132i,5.076e-05+0.00039966i,-0.00065317+0.00093453i,8.479e-05+0.0011266i,0.00070493+0.0005034i,0.0001712+0.00031286i,-0.00041383+0.00035572i,-0.00049616+0.00065411i,0.00031906+0.00091197i,0.0006927+0.00055561i
0.0034924+0.0012893i,0.0025374-0.00043792i,0.0017374-0.0027141i,0.0010922-0.0040234i,-8.0401e-05-0.0035852i,-0.00033036-0.0023538i,0.00021896-0.0012841i,0.0007316-0.00036854i,0.0013175+3.583e-06i,0.0012222-0.00030414i,0.00043161-0.0004245i,-0.00054942+0.00028826i,-0.00079416+0.00046889i,-0.00072304+0.00018774i,-0.00064354+0.00058012i,-0.00066877+8.4985e-05i,-0.00010048-0.00015368i,0.00026274+0.000478i,-0.00029802-4.9229e-05i,-0.00066444-0.00034679i,-0.00010513+7.0595e-05i,0.00029533-9.3808e-06i,-0.00027158-0.0004833i
-0.00069393-0.00092209i,-0.0012091-0.00047347i,-0.00084445+0.00017271i,-0.00081323+4.8564e-05i,-0.00095768-0.00024072i,-0.00085905-3.4862e-05i,-0.00070327-0.00095594i,-0.0010594-0.001861i,-0.0009371-0.00072944i,0.00063281+0.00038785i,0.0013+0.00029021i,0.00077117+1.3243e-06i,0.00054531+1.9793e-05i,0.00014775-0.00011656i,-0.00019829-0.00015077i,0.00012573-0.00018182i,-0.0001334-0.00064388i,-0.00061606-0.00084313i,0.00018701-0.00063411i,0.00096769-0.00018655i,0.0005184+0.00049264i,-0.00012242+0.00043248i,-1.4206e-05+0.00081485i
0.00096548+0.0014033i,0.00067951+0.00090086i,0.0006589+0.00082169i,0.0003191+0.00045191i,0.00012732-0.00052582i,0.00057733-0.00099606i,0.00091249-0.00046031i,8.2297e-05-0.00079136i,-0.00016779-0.0007865i,0.00017814+0.00032353i,0.00062243+0.00072079i,0.00042852-9.7163e-05i,7.9277e-05-0.00077242i,-0.00041043-0.00029022i,-0.00098342+0.00065062i,-0.00028405+4.8381e-05i,0.00023221-0.00048779i,-2.0531e-05-8.7451e-05i,0.00030211+0.00019496i,-3.1487e-05-0.00012407i,-0.00084394-0.00037134i,-0.00038481-0.00052621i,0.00031674-2.7961e-05i
-0.00031297+0.00046411i,-0.00025007+0.00058088i,9.678e-05+5.3449e-05i,-0.00083988-0.00067034i,-0.0016192-0.00074771i,-0.00096918-0.00022902i,-0.00048062+0.00038466i,-0.00063989+0.00068576i,-0.00052258+0.00066364i,0.00038737+0.0008483i,0.00029978+0.00098507i,-0.00026828+0.00028856i,-0.00013072-8.1536e-05i,0.00069862+0.0003547i,0.00094205-2.7395e-05i,0.00081585-0.00045089i,0.0010019+0.00042714i,0.00066645+0.0006155i,7.765e-05+0.00029827i,-0.00010034-0.00022678i,0.00029755-3.9063e-05i,-1.9265e-05+0.00058746i,-0.00055947+0.00047221i
