-0.0016858-0.0015898i,-0.0008725-0.0014153i,-0.00076592-0.0014235i,-0.00047998-0.0016679i,-0.00081926-0.00161i,-0.0013279-0.0012021i,-0.0014618-0.00045239i,-0.0010326+0.00032624i,-0.00027907+7.6246e-05i,0.00057473+0.00039312i,0.00083025+0.00030399i,0.00078816-0.0005576i,0.00066987-0.0011213i,0.00071819-0.0015667i,0.0004996-0.0011573i,-0.00041889-0.0012406i,-0.00064506-0.0012812i,-0.00098308-0.0008607i,-0.00080556-0.00068604i,0.00012174-0.00085041i,0.0013525-0.0003265i,0.0014091+0.00050376i,0.00063959+0.00096422i
0.00092817+6.3005e-06i,0.0010747+2.7081e-05i,0.0010822-0.00032779i,0.00061343-0.00033245i,2.7244e-05-0.00063088i,-0.00026951-0.00051831i,-0.00082436-0.00063815i,-0.0005699-0.0014761i,-6.0747e-05-0.00098955i,0.00031681-0.0001404i,0.0010615-0.00041274i,0.00143-2.8757e-05i,0.001367+0.00047621i,0.0008845+0.00051932i,0.00044421+0.00045637i,0.00081569+3.9344e-05i,0.00029303+0.00010992i,-0.00025289+9.8008e-05i,0.00020635+2.9244e-05i,0.00020373-2.4044e-05i,3.7966e-05-2.1281e-05i,-0.0001532+0.00041981i,0.00015632+0.000972i
0.001311+6.1864e-05i,0.0011448-0.00094794i,0.0016207-0.0021006i,0.00089715-0.0023262i,-0.00070147-0.00253i,-0.00038718-0.002288i,0.00024053-0.001078i,-0.00019401-0.00030706i,0.00012147+0.00022011i,-4.7496e-05+0.00058839i,-0.0003188+0.00017708i,-8.5527e-05-9.7693e-06i,-0.00085343-0.00015776i,-0.00081655+0.00010068i,-5.2056e-05+0.00041149i,-0.00042658-0.00040073i,-0.00093194-0.0010241i,-0.00058857-0.00079911i,-0.00036328-0.00074438i,-0.00081896+7.061e-05i,-0.00068282+0.0008i,4.6406e-05-0.00022768i,5.2803e-05-0.00075917i
0.0013721+0.00061517i,0.0021148+0.00016963i,0.0028813-0.00080224i,0.0021243-0.0012614i,0.0013142-0.0022062i,0.0007186-0.0030033i,3.4114e-05-0.0018905i,0.00041881-0.00060121i,0.00085164-0.00018596i,0.0006934-0.00028551i,0.00073103+7.4601e-05i,0.00070369+0.00091583i,0.00081149+0.0010104i,0.00021378+0.00076304i,-0.00033149+0.00083375i,-0.0002214+0.00056287i,-0.00019657+0.00033281i,-0.00052892+0.00044141i,-0.00071673+0.00034696i,-0.00069019-0.00026041i,-0.00080723-0.00068946i,-0.00014261-0.00031337i,0.00037935+3.9845e-05i
0.00070774+1.8312e-05i,0.00043158-0.00048313i,0.00012387-0.0013145i,-8.075e-06-0.0018285i,0.00013302-0.0019549i,0.00033536-0.001829i,0.0001227-0.001834i,-0.00067623-0.0015395i,-0.00051744-0.00090632i,0.0002623+0.00036238i,0.00082763+0.00085736i,0.0009331+1.555e-05i,0.0007049-0.00038216i,0.00059438-0.00077463i,0.00052512-0.00080338i,0.00018568-0.00075666i,-0.0002964-0.00072687i,-0.00065324-0.0001699i,-0.0005566+0.00044717i,-0.00090842+5.5813e-05i,-0.00076798-0.0003215i,0.00021494+0.00010065i,0.0010667+0.00040388i
0.00042297-0.00011215i,0.00050784-0.00037857i,0.0010624-0.00036648i,0.00055515+0.00020811i,-0.00048679-0.0003222i,-0.00077482-0.0012682i,-0.00032428-0.0013154i,-9.2701e-05-0.00070375i,-4.3147e-06-0.00070381i,0.00019545-0.00041559i,1.5668e-05-0.00014559i,-0.00050266-0.00045403i,-0.00073612-0.00041886i,-0.00042489+0.00011509i,0.00013059+0.00063536i,-0.00053434+9.2985e-05i,-0.0013198-0.00056235i,-0.00094898-0.00036915i,-0.00066276+0.00050801i,-3.4006e-06+0.001292i,0.00062573+0.00090561i,0.00012704+0.00054421i,-0.00034794+0.00039709i
-0.00057859+0.00090548i,2.4811e-05+0.00075773i,0.00072233+0.00089896i,-0.00021012+3.2187e-05i,-0.00057287-0.0013794i,0.00040715-0.002222i,0.00080459-0.0019586i,0.00091842-0.00090159i,0.00070307+0.00041913i,0.0006091+0.0010702i,0.00077016+0.0010268i,0.00084783-0.00027226i,0.00095084-0.0006405i,0.00072471-5.7314e-05i,0.0002356-0.00061307i,2.655e-05-0.00074396i,-0.0004847-0.00026469i,-0.0007373+0.00013721i,-0.00037197+0.00015124i,-0.00053992-0.0003055i,-0.00010482-0.00083242i,0.00071534-0.00094376i,0.00069787-0.00040019i
-0.0010163+6.172e-05i,-0.00038585+0.00068277i,0.00035419+0.00022739i,0.00045057-0.00018126i,-0.00013988-0.00014174i,-0.00034215-0.00029101i,3.1698e-05-0.00078317i,-4.6326e-05-0.00029949i,0.00028658+0.00020267i,0.00072858+0.0007816i,0.0011338+0.0012479i,0.0013727+0.00086268i,0.00094913+0.00020927i,0.00061561-0.00024016i,0.00018632-0.00049538i,0.00043189-0.00039206i,0.00073737-0.00014597i,0.00021757-0.00025924i,0.00019457-0.00066572i,0.00052164-0.0010095i,0.0003479-7.2878e-05i,-0.00022352+0.00046119i,-0.00012845-0.00046833i
1.6282e-05-0.00022166i,-0.00027175+0.00086241i,-0.00017626+0.0008986i,-0.00012692+0.00046975i,0.00030489+0.00028321i,0.00080314-0.00061226i,0.00054721-0.0014642i,0.0010235-0.0017562i,0.001149-0.00076826i,0.00063354-0.00024232i,0.0012263+3.5067e-05i,0.0013286+4.416e-05i,0.00087013-0.00061454i,0.00070987-0.0011171i,0.00084413-0.001071i,0.00080855+6.3739e-05i,0.00022376+0.0002581i,0.00033474-0.00063567i,0.00058802-0.00051195i,0.00035127+0.00032244i,-4.2142e-05+0.00064441i,-0.00053609+0.00057899i,-0.00085563+0.0010245i
0.00067256+0.00014789i,0.00105-8.8439e-05i,0.0017583-9.766e-05i,0.0014035+3.8768e-05i,7.5946e-05-0.0013069i,-3.956e-05-0.0024888i,0.00052783-0.0023161i,0.0009073-0.001827i,0.0012105-0.00051505i,0.0011954+0.00022696i,0.0010715+0.00053941i,0.00038271+0.00092773i,-0.00056289+0.00073249i,-0.00058525-6.6934e-05i,4.6227e-06-0.00011205i,-0.00023654-7.2358e-05i,-0.00082375-0.00026434i,-0.00041126+1.6527e-07i,0.00030175-0.00029206i,0.00054729-0.0002649i,0.0004803+0.00027022i,0.00028554+0.00036245i,-9.4776e-05+4.7574e-05i
0.0012551+0.0021272i,0.0017164+0.00075177i,0.0017198-2.6463e-05i,0.0024659+0.00014198i,0.0026721-4.4387e-05i,0.0014212-0.0013043i,0.00040936-0.0018316i,-0.00024642-0.0013198i,0.00018702-0.0006529i,0.00086525+0.0007266i,0.0010026+0.00092007i,0.00075962-0.00042925i,0.00013338-0.00010819i,-0.00017812+0.00016807i,-7.1557e-05-0.00044393i,-0.00022885-0.00071058i,-0.0005657-0.0010116i,-0.00021873-0.0014708i,0.00019819-0.00086817i,-9.996e-05+0.00018774i,-0.00081132+0.00048705i,-0.00095025-0.00066314i,-0.00045911-0.0015372i
0.0013358+0.0008363i,0.0011022+0.0005404i,0.001095-0.00034809i,0.0012326-0.00089992i,0.00085646-0.0019609i,0.00032792-0.0029456i,2.2076e-05-0.0023492i,-0.00014357-0.0013647i,2.8995e-06-0.0002009i,3.1068e-05+0.00063825i,-0.00026958+0.00047017i,-0.00056332+0.00038739i,-0.00030506+0.0006705i,0.00028211+0.00083038i,0.00046201+0.00049869i,-0.00045783-0.00023415i,-0.00068457-0.0003736i,-0.00022182-6.2141e-05i,-0.00029966-0.00051875i,-6.9393e-06-0.00022659i,-1.8457e-05+3.9289e-05i,-8.2373e-06-4.333e-05i,-0.00024465+0.00034032i
0.00017247+2.0157e-06i,0.0010134+0.00039356i,0.00041303+6.9805e-05i,0.00064026-0.00010339i,0.00038187-0.00018333i,-0.00056134-0.0011064i,-0.00057193-0.0013969i,-0.00067748-0.00099551i,-0.00031199-0.0010479i,0.00058188-0.00073284i,0.001044+0.00070162i,0.00071292+0.00099487i,0.00061178-3.8175e-05i,-0.0001449-0.00045247i,-0.00037059-0.00062828i,-0.00028147-0.00061789i,-0.00017874+7.273e-06i,0.00016077+0.00026118i,4.7162e-05+6.4954e-05i,-0.00032235+0.00044059i,5.9024e-05+3.8834e-05i,0.00023526-0.0003943i,-0.00042892-0.00017069i
-0.00067936-0.00019592i,-0.00024004+0.00012777i,3.4836e-05+0.00048737i,-7.0599e-05-0.00063693i,0.00015103-0.0020819i,0.00098015-0.0012933i,0.0017834-0.00076703i,0.0015171-0.00085163i,0.00058645-0.00019396i,0.00037682-0.00038559i,0.0011171+2.2106e-05i,0.00052395+0.00076923i,-0.0011782+0.00025123i,-0.00066665-0.00022947i,0.00010972+0.00049177i,8.6564e-05+0.00054715i,-0.00014867-0.00019393i,-0.00015713+0.00020323i,-8.9376e-05+0.00045389i,-0.00063558+5.5417e-05i,-0.00025021-0.00034101i,0.00022329-0.00022937i,0.00011536-0.0002543i
0.00031269+0.00033619i,0.0008441+6.6548e-05i,0.0012229-0.00024641i,0.0011536-0.00027773i,0.0013919-0.00080032i,0.0012448-0.00090122i,7.1078e-05-0.00084413i,0.00037359-0.00055211i,0.00053577+0.00028527i,3.9538e-05+0.00045952i,-0.00051959-0.00012428i,-0.00075859+0.00011594i,0.00051373+0.00064201i,0.00098607+0.00037164i,-7.9977e-05-7.2178e-05i,-0.00042796+0.00018227i,-0.00044325+0.00079803i,-0.00071896+0.00093324i,-0.00071176+0.00074688i,-0.00023383+0.00013132i,0.00095537-0.00021478i,0.0012909+0.00034102i,0.00090635+0.0012153i
0.00039261+0.00027212i,0.0016201-0.00082846i,0.0012807-0.00066488i,0.00071399-0.001135i,0.00071074-0.0020767i,0.00054815-0.0015823i,-0.00017766-0.00083336i,-0.0003203-0.00036901i,0.0004522-9.8816e-05i,0.00073837-0.00033325i,0.0010769-0.00081257i,0.0010255-0.00045503i,0.0005533-0.00017172i,0.00041371-0.00071123i,0.00032313-0.00084552i,0.00022315-0.00067444i,-0.00013897-0.00087769i,-0.00066136+0.00033079i,-0.00029071+0.0012207i,-7.2292e-06+0.00013269i,1.6071e-05-0.0012087i,-8.2546e-05-0.0011979i,0.00011391-0.00044035i
