-0.0048945+0.0020003i,-0.0027583+0.0018778i,-0.0014268+0.0039481i,0.00011148+0.0043337i,0.0011706+0.0031273i,0.0021052+0.00087887i,0.0018245+0.00080131i,0.0012546+0.0018564i,0.0012635+0.0016962i,0.0011356+0.00068689i,0.00052124-0.00047937i,0.00043545-0.0012727i,0.000791-0.00114i,0.00021724-0.0012491i,0.0002872-0.00080125i,0.00054767+3.0158e-05i,0.000808+0.00092357i,0.0008621+0.00095886i,0.00038581+0.00099775i,0.00019424+0.00057827i,0.00038805-0.00060265i,0.00017156-0.00087048i,-4.5411e-05+2.5385e-05i
-0.00013434+0.0014547i,0.00063927+0.001978i,0.0030523+0.0014304i,0.0023501-0.000244i,0.00043872-0.0022297i,-0.00055418-0.0027558i,0.00035661-0.0014449i,0.0010228-0.00091787i,0.00028643-0.0012863i,0.00017503-0.0015089i,-0.00016801-0.0019657i,-0.001049-0.0023424i,-0.00070041-0.0015848i,-0.00034543-0.00040939i,-0.00017842+0.0005261i,-0.00023778+0.0012965i,-0.00043402+0.0010628i,-0.00058111+0.00052791i,-0.00091758-7.5463e-05i,-0.00079793-0.00070676i,-0.00020021-0.00050222i,0.00023082-0.00049771i,0.00072168-0.00025217i
0.0013733+0.00047311i,0.0013897-0.00023866i,0.00071833-0.0016934i,0.0008525-0.0021888i,0.00071713-0.0018047i,0.00059491-0.00072768i,0.0011339-1.929e-05i,0.00049402-0.00057796i,1.987e-05-0.0013153i,0.00055308-0.00096549i,0.00073694-0.00026811i,6.1616e-05-0.00011459i,-0.0003512-0.00049415i,-0.00057074-0.00070197i,-0.00096195-0.00065551i,-0.0014151-0.00014077i,-0.001248-0.0004079i,-0.0007672-0.00014437i,-0.00018706+0.00072809i,0.00048457+0.0010271i,0.00016211+0.00068671i,-0.00043091+0.00038862i,-0.00044235+0.00043761i
-0.0028356+0.0029998i,-0.0012271+0.0036676i,-0.00071374+0.0035603i,0.0011506+0.0019045i,0.0033866+0.00092757i,0.0029729-8.0825e-05i,0.0013453-0.00037683i,0.00026628+0.00050488i,0.00038555+0.0013638i,0.00082885+0.0011127i,0.00058659-0.0003316i,0.00061981-0.0013917i,0.00036539-0.0011662i,-0.00028941-0.00027737i,-1.7317e-05+0.00038115i,0.00018341+2.2076e-05i,0.00060436-0.00024405i,0.0011382-0.00015761i,0.00059367-0.0001373i,-0.0001338-0.00013699i,-7.0222e-05-0.00012275i,0.00012744-0.00048005i,0.00071116-2.8118e-05i
0.00085284+0.0010861i,0.0010644+0.00083432i,0.0014699+7.1325e-05i,0.0021275-0.00084543i,0.0015159-0.00090841i,0.0012845-0.0013065i,0.0013297-0.00087586i,0.00099883-0.00069341i,0.00080524-0.00081894i,0.00056648-0.00027076i,-0.00029838-0.00028476i,-0.00049148-0.0002372i,-0.00036555-1.9631e-05i,-0.00021209+4.4202e-05i,0.00010624+4.2135e-05i,-0.00014286-0.00073886i,5.2755e-05-0.00050804i,0.00078079-0.00018305i,0.0011964-0.00030831i,0.00099765+1.9963e-05i,0.00091844+3.3144e-05i,0.0007096+0.00036645i,0.00016183+0.00018443i
-0.00034324+0.0010418i,0.00044741+0.00054523i,0.00088169+0.00081048i,0.0008621+0.001035i,0.00031194+0.00051518i,0.00046463-1.1421e-05i,0.00065592-0.00037382i,0.0003886-0.0012425i,8.0682e-05-0.0010414i,0.00024897-0.00018112i,0.00025349+7.9118e-06i,-4.2661e-05+0.00014814i,0.00023213+0.00020159i,0.00018094-7.084e-05i,-0.00060147-0.00097295i,-0.00083663-0.0007639i,-0.00023815+0.00044316i,0.00032846+0.00093232i,0.00027639+0.00085094i,0.00067577+0.00044452i,0.00060666-0.00028568i,-0.0003486-0.00087465i,2.6151e-05-0.00086766i
-0.0001491+0.0013132i,-0.0005255+0.001885i,0.00029369+0.0012084i,0.00073514-0.00052117i,0.00070195-0.00066561i,0.0004649-0.00011474i,0.00038303+0.00081997i,0.0003412+0.0011069i,0.00042186+0.00057612i,0.00035672+8.1052e-05i,-0.00025246-0.00032321i,-0.00111-0.00010251i,-0.0010208-2.6813e-05i,-0.00071536-0.00068587i,-0.00049944-0.00042206i,7.4281e-05+0.00013679i,0.00053416-7.4122e-05i,0.00051062+0.0003219i,0.0001282+0.00077812i,0.00012654+0.00082827i,-0.00038628+8.9553e-05i,4.1204e-05-0.00037608i,0.00065901-0.00011312i
-0.0013617-0.00031946i,-0.0021516+0.00034343i,-0.0018438+0.00060104i,-0.0012208-0.00024378i,-0.00042734-0.001509i,0.00053239-0.0012581i,0.0014996-0.00092801i,0.0017508-0.0010239i,0.00065264-0.000773i,0.00010094-0.00057799i,-0.0002473-0.00062092i,0.00013459-0.00072038i,-0.00014525-0.00026917i,-0.00071266-0.00037985i,-0.00037027-0.00046839i,-0.00068793-8.2777e-06i,-0.00050385-7.7371e-05i,6.949e-05-0.00011569i,-4.1992e-05-0.00029166i,-0.00032822-3.5741e-05i,-0.00099541+9.9621e-05i,-0.00074445+0.00018138i,-0.00058108+0.0010215i
0.0017027-0.00063688i,0.0015112-0.0015044i,-1.6847e-05-0.0015464i,-0.00081453-0.00050667i,-0.00049222+4.8906e-05i,-6.8844e-07-0.00067494i,0.00046861-0.0013187i,0.00086925-0.0015113i,0.00064582-0.0010262i,0.00017124-0.00014722i,-4.9728e-05-0.00021849i,-0.00060689-0.00028137i,-0.00066147+4.4458e-05i,0.00039973-0.00076216i,0.0012236-0.00099739i,0.0014034-0.00080945i,0.00058354-0.00062403i,6.1697e-05-1.7269e-05i,0.00054058+0.00042752i,0.00075336-2.4365e-05i,8.1489e-05-0.00076133i,-0.00044828-0.00054249i,-0.00036556+0.00094206i
-0.0013571-0.00095583i,-0.0010321-0.00037673i,-0.0011454+0.00043507i,-0.00078584+0.0011838i,0.00039537+0.00059572i,0.00134+0.00043416i,0.001014+9.1494e-05i,0.00067034-0.00091169i,0.0008772-0.00022705i,0.00090847+0.00053407i,0.00040119+0.00015824i,-9.9973e-05-0.00035915i,-0.0002137-0.001254i,0.00065779-0.0019407i,0.00062487-0.0022191i,-0.00036223-0.0012184i,-0.00062694-0.0003889i,-3.9414e-05-0.00035903i,0.00015326+7.8079e-05i,-0.00012604+0.00042807i,0.00013746-0.00023252i,0.0006045-0.00050913i,0.00064564-0.00014128i
0.00093724+9.1164e-05i,0.00024457-0.00059197i,-0.00080365-0.0019564i,-0.00060799-0.0025198i,-0.00041113-0.0014447i,-0.001022-0.00038989i,-0.00032749-0.00041484i,0.00053086-0.00052584i,0.00033341-0.00021327i,6.2064e-05-0.0006101i,-0.00047929-0.00059558i,-0.0011608-0.00027991i,-0.00026488-0.00028888i,0.00062961-0.00012755i,-7.137e-05-0.00013564i,-0.00080857-0.00064288i,-0.0010396-0.00064592i,9.2794e-05-0.00025023i,0.00093793-0.00032824i,0.00048253-0.00027193i,0.00069438+0.00039164i,0.0010289+0.00014828i,0.00074443-0.00080275i
0.0022116-0.00017452i,0.0026604-0.0014996i,0.0020478-0.0023625i,0.00061624-0.0021581i,-0.0012726-0.0014037i,-0.0014263-0.0011134i,-4.4298e-06-0.00080545i,0.00043028-0.00025797i,0.0001377-0.00042618i,0.00012061-0.00069429i,-1.1515e-05-0.0006334i,0.00030207-0.000922i,0.00012657-0.00038725i,-0.00052358+0.00028882i,-0.00076799-5.968e-05i,-0.0008182-0.00021371i,-0.00015988-9.4144e-05i,0.00066955-0.00026017i,0.00080369+0.00013275i,0.00023842+0.0004825i,-4.1346e-05+0.0009233i,-1.6756e-05+0.0001251i,-0.0005461-0.00086963i
