-0.00011311-0.00024558i,9.6089e-05-0.0019717i,-0.00031703-0.0015593i,0.00049044-0.00096177i,0.0012021-0.00047504i,0.0017493+0.00032158i,0.0017865+0.0013776i,0.0021623+0.0019646i,0.0028648+0.0015273i,0.002562+0.00055692i,0.0019811-0.00035963i,0.00090083-0.00081316i,0.00017561+1.5665e-05i,0.00015938+0.00038448i,0.00010308+0.00063494i,-0.00032404+0.00089461i,-0.00088162+0.00065603i,0.00010857-8.0584e-06i,0.0012731-0.00095482i,0.0016185-0.0013615i,0.0013421-0.00059045i,0.00047643+0.00013347i,-0.00018576+0.00034009i
0.0010041+0.00066816i,0.001591+0.00088364i,0.0024901+0.0013711i,0.0023572+0.00057427i,0.0010626-0.00089182i,-0.00010418-0.00053481i,0.00037582+0.00083344i,0.0012956+0.001614i,0.0017924+0.00090584i,0.001725-0.00054581i,0.00090911-0.00076285i,0.00023172-4.1186e-05i,-3.3794e-05-5.9146e-05i,-7.2044e-05-0.00011425i,0.00011052+0.0004162i,0.00041822+0.0011025i,0.00071977+0.0012749i,0.00047299+0.00024704i,0.00026658-0.00028455i,-0.00019186-5.7463e-05i,-0.00049224-0.00037236i,-0.00057843-0.00022422i,-0.00096723+0.00017407i
-0.00024033+0.00066714i,-0.00091456+0.001156i,-0.0011173+0.0011924i,0.00035946+0.00083041i,0.0012438+0.00054273i,0.00054324+0.0013065i,0.001228+0.0015999i,0.0020312+0.0011176i,0.0019424+8.8304e-05i,0.0011136-6.9478e-05i,7.3119e-05+0.00029666i,-0.00025935+0.0007229i,-9.6508e-05+0.00046644i,0.00017167+0.00029024i,-0.00062465+0.00046888i,-0.00062134+0.00012574i,-0.00039454+5.7614e-05i,-0.00063733+1.4322e-05i,-0.00027163+6.6678e-05i,-0.00030469+7.0235e-05i,-0.0005386-0.00014792i,0.00014363-0.00016252i,0.00038499+0.00063314i
-0.0009781+0.00019704i,-0.00058037-0.0013577i,0.00023604-0.0016777i,0.00021219-0.0024697i,0.0011543-0.0023008i,0.0018117-0.0010794i,0.00088058-0.00031237i,0.0006461+0.00023273i,0.00067799+0.00043619i,1.584e-05+0.00034152i,-0.00055356+0.00043778i,-6.6731e-05+8.081e-05i,0.00049277-0.00042574i,-0.00044484-0.00033484i,-0.0011963+0.00041952i,-0.00062861+0.00042801i,5.5251e-06+0.00037076i,-0.00025969+0.00046286i,-0.00034385+0.00045167i,-5.8637e-05+0.00070677i,-0.00048677+0.00053464i,-0.0007885+0.00022741i,0.00036009+0.00058939i
-0.00055333-6.2984e-05i,-0.00014203+0.0012404i,0.00019388+0.0019835i,0.0017725+0.0013808i,0.0025091+0.00036527i,0.0015029-0.00046218i,0.000752-0.00026124i,0.0012155+0.00037405i,0.0016315+0.00039828i,0.0015719-0.00017984i,0.0014154-0.00031103i,0.0012102+6.9573e-05i,-0.00011587+0.0004439i,-0.0010503+0.00027569i,-0.00056733-0.00014514i,-0.00044089-0.00012928i,-0.00036686+0.00023913i,-0.00011597+0.00050503i,0.00019717+0.00041184i,0.0010618-0.00019614i,0.0012222-0.00047673i,0.00051595+0.00022677i,0.0004472+0.00021185i
-0.0013337-0.00097004i,-0.00096749-0.0014699i,0.0009257-0.00015738i,0.0022094+0.00073621i,0.0016334+0.00042766i,0.00084958+8.8074e-05i,0.0016274+0.00040984i,0.0028179+0.00066709i,0.0025769-0.00035929i,0.00092226-0.0014963i,-0.0002124-0.0014195i,-0.00010442-0.0006482i,-0.00051056+0.00032983i,-0.00059871+0.00057442i,-0.00023993+0.00065376i,0.00042833+0.00077649i,0.00034431+0.00031565i,-0.00040538-0.00016008i,-0.00015684-0.00027963i,0.00044118-5.0953e-05i,0.00053173+9.922e-05i,0.00073031+7.8817e-05i,0.00011875+0.00032068i
-0.00012165-0.00077147i,0.0012338+2.7549e-05i,0.0015599-0.00050064i,0.0018871-0.00097906i,0.0020535-0.00028212i,0.0027937+0.00054612i,0.0031708+0.00053406i,0.0031446+0.00036711i,0.0021479+0.00010616i,0.0010726-0.00026097i,0.00024508-0.00017677i,-4.055e-05+0.00012015i,0.00028645+0.00012501i,0.00022444-0.00055083i,-0.00043353-0.00026166i,-0.0010251+0.00059506i,-0.0012146+0.00083693i,-0.00073379+0.00059413i,-0.00025995+2.3463e-05i,-0.00013797+0.00029288i,0.00012996+0.00083279i,4.0545e-05+0.00070478i,-0.00020038+0.00034812i
0.0013472-0.0009125i,0.00038216-0.00015075i,7.4696e-05-0.0010112i,0.00014258-0.0025528i,0.00045191-0.0024747i,0.00016635-0.0012866i,0.00091168+3.4483e-05i,0.0029114+0.00016268i,0.0036825-4.8421e-05i,0.0018217+0.00024347i,-0.00012956+0.00068874i,-0.00014077+0.00070132i,0.00061878+0.00031867i,0.0007093-8.2457e-05i,-0.0001459-0.00061281i,-0.0004035-0.00011523i,4.4685e-05+0.00032341i,0.00074998+0.00043326i,0.00035076+0.00075756i,-0.00020354+0.00055332i,-0.00037239+0.00026043i,-1.7612e-06-9.6128e-05i,0.00016038-4.2936e-05i
0.00040441-0.00078805i,5.0565e-05+7.2033e-05i,0.0003643+0.0012169i,0.00055229+0.001202i,0.00061636+0.00056343i,0.00056541+0.00056577i,0.0014439+0.0009099i,0.0020243+0.00098244i,0.0019843+0.00080539i,0.0017034+3.03e-05i,-2.1216e-05-0.00029376i,-0.00060766-0.00037835i,0.00011827+0.00018978i,0.00071038+0.00049454i,0.00032277+3.5604e-05i,-0.00063954-0.00018009i,-0.00071581+0.0002704i,-0.00042+0.00039886i,-0.00016146-0.00015388i,-0.00017796-0.00055222i,0.00039087-0.00012717i,0.00030324-6.0374e-05i,-4.9737e-05-0.00054862i
0.00029627-0.00026908i,0.00047708-0.0013442i,0.0022163-0.0011095i,0.0035618-0.0015871i,0.0037446-0.0025324i,0.0027046-0.0016021i,0.001951-6.8191e-05i,0.002052+0.0012985i,0.0024183+0.0013154i,0.0017497+0.00037073i,0.0010076+9.2651e-05i,0.00064031+0.00038207i,0.00044187+0.00030516i,0.00011331-6.8454e-05i,-0.00030572+0.0001214i,-0.00048954+0.00016824i,-0.00042772-0.00026696i,-0.00043935-5.1769e-05i,-0.00067565-0.00044241i,-0.00028324-0.001168i,0.00021841-0.00048073i,0.00046973+0.00010895i,0.0002354-0.00012296i
0.00049499+0.00023858i,0.00040679+0.0010526i,0.00054037+0.00071408i,0.0004659+0.00035734i,-0.00036167+0.00025415i,-0.0006542-0.00045479i,0.0011529-1.5648e-05i,0.0025554+0.00079733i,0.0022552+0.00090535i,0.001515+0.00032132i,0.00042624-3.5483e-06i,-0.000524+5.2207e-06i,-0.00072958+0.00030533i,-0.00043127+0.00065743i,-0.00030792+0.00034496i,-0.00021185+0.00012026i,-0.00010516+0.00052299i,-7.0196e-05+0.00054158i,0.00039621+0.00062674i,0.00070743+0.00085812i,0.00021279-3.5648e-05i,-0.00036918-0.0010247i,-8.1599e-05-0.00093073i
-0.0020187-0.0005889i,-0.0013915-0.00082985i,-0.00046039-6.5538e-05i,0.00080722+0.0008733i,0.0016519+0.00090001i,0.0018386-0.00042443i,0.0011469-0.00022522i,0.0012083+0.00072506i,0.001821+0.0010421i,0.0015046+0.00096782i,0.00049361+0.0011973i,-4.2243e-05+0.0011802i,0.00021689+0.00050658i,0.00036979-0.00018262i,-0.00032264-0.00054377i,-0.00053483-0.00035993i,0.00035099-0.00057002i,0.0012818-0.00054134i,0.0015047-0.00023437i,0.00086642-0.00021625i,0.00048099+1.3256e-05i,0.00045412+0.0001695i,0.00038061+0.00033018i
0.00082283-3.473e-05i,0.0013192-0.00058264i,0.0011563-0.0015564i,0.0015239-0.0019235i,0.0021765-0.0013798i,0.0017189+2.164e-06i,0.0013662+0.0014395i,0.0024476+0.0017357i,0.0028408+0.00050674i,0.0013492+0.00022891i,-8.3104e-05+0.0012176i,-0.00028744+0.0014164i,0.00038936+0.0010658i,0.00078721+0.00039617i,-0.00027205-0.000561i,-0.0012452-0.001015i,-0.00094632-0.001074i,0.00035286-0.00071499i,0.0010835-0.00055942i,0.00061789-0.00056894i,0.00027379-0.00046833i,0.00012573-0.00010098i,1.7566e-05+0.00056416i
0.0012426-0.0002134i,0.00035762+0.00073715i,0.00068647+0.00019305i,0.00086826-0.00028518i,0.00065824+0.00021765i,0.00062022+0.0010168i,0.001206+0.00078751i,0.0023154-0.00031962i,0.0022037-0.00085673i,0.0011588-0.00016981i,0.00047369+0.00025437i,-9.9037e-05+6.4453e-05i,-0.00017163+0.00034623i,0.00014128+0.0001231i,-0.00060715+0.0001555i,-0.001277+0.00026705i,-0.00041332+0.000625i,0.00021822+8.8776e-05i,0.00014118-0.00074229i,3.9951e-05-0.00068367i,1.2329e-05-8.1937e-05i,-4.7023e-06+0.00035461i,-0.00024623+1.9133e-07i
-9.2527e-05+0.00071864i,-0.00020825+0.001222i,-0.00031279+0.00015185i,-3.4424e-05-0.0012178i,0.0006138-0.0014291i,0.00093337-0.0011273i,0.00088917+0.00054226i,0.0017098+0.0012511i,0.0018385-0.00026716i,0.00070062-0.00085362i,0.00026934-6.8119e-05i,0.00060131+0.000378i,0.00048629+0.00047965i,-0.00016515+0.00012435i,-0.00041969+7.1019e-05i,-0.00034301+0.0004133i,-0.00063416+1.1324e-06i,-0.00074423+0.00028651i,-0.00021649+0.00076135i,0.00047872+0.00032053i,0.00084592+0.00018845i,0.00049181+0.00019009i,3.9163e-05-0.00013561i
-0.00056447-0.00089695i,-0.00029092-0.00080989i,0.0002842+7.2025e-05i,0.00051349-5.91e-05i,0.00095738+3.3259e-05i,7.8843e-05+0.00035796i,-0.00055473+0.00084058i,0.00058357+0.00086071i,0.0014814-4.617e-05i,0.0012311-0.00051563i,0.0011674-0.00018523i,0.00089093-0.00025326i,-0.00020207-0.00025943i,-0.00076928-0.00016031i,-0.00055402+9.9843e-05i,-0.00024952+0.00045711i,-0.00065745+0.00043031i,-0.00073213-0.0001165i,-6.6725e-05-0.00038222i,-0.00030777-0.00038575i,-0.00044092-0.00048464i,-7.7826e-06-0.00023022i,0.00030033+0.00016629i
0.0016555+0.00074937i,0.0012427-0.00020757i,0.0021984-0.00088269i,0.0026795-0.0014363i,0.0028156-0.00074968i,0.0020724+0.00066621i,0.0017337+0.001141i,0.0024619+0.001244i,0.002509+0.0004223i,0.0018458-2.3766e-05i,0.00088802-7.6182e-05i,0.0001563-0.00060688i,-0.00041707-0.00014409i,-0.00013708+0.00011847i,-0.00032773+0.00042387i,-0.00064036+0.00088898i,-0.00015262+0.00097601i,0.00038743+0.00048129i,0.00018657-5.1642e-05i,0.00016294-0.00013563i,0.00047584+0.00040536i,0.00035217+0.00067286i,9.344e-05+3.7378e-05i
-0.0012456+0.00083857i,-0.0008506+0.00045593i,-2.83e-05+0.0012334i,0.00066247+0.00064885i,0.0011242+7.2715e-05i,0.00062561-0.00041875i,0.00043156-0.00019349i,0.0007617+0.00037489i,0.000241+7.0393e-05i,-0.0001496-3.0513e-05i,-0.00044346+0.000652i,-0.00018489+0.00036936i,5.1858e-05-0.00020912i,0.00034501-0.00028352i,0.00034483-3.3537e-05i,-0.00024932+0.00019193i,-0.0006048+0.00047266i,-0.00071925+0.00046139i,-0.00032096+0.00047477i,0.00020128+0.00033713i,0.00031059+0.00023541i,-7.1613e-05+0.00023113i,-0.00010407-0.0005369i
-3.3913e-05-0.00094955i,0.00053793-0.00085316i,0.00093932-0.0010378i,0.0010114-0.0003836i,0.0011153+0.0007617i,0.0014179+0.0016214i,0.001367+0.0017987i,0.001223+0.00064574i,0.0010176-0.00044106i,0.00084967-0.00016845i,0.00027779+0.00030534i,0.00022367+0.00062312i,0.00067166+0.00043098i,5.8859e-05-0.00064336i,-0.00032596-0.00073488i,-2.7595e-05+1.4197e-05i,-0.00038403+0.00070427i,-0.00034088+0.00067187i,0.00064143-4.5901e-05i,0.00087133-0.00016713i,0.0001519-5.239e-05i,-0.00028978+5.9571e-05i,-0.00013246+0.00053891i
-0.00019845+0.00015445i,-0.0004577-1.1789e-05i,-0.00016629+4.8157e-06i,0.0014642+0.00024247i,0.001899+0.00018456i,0.0011521+0.00021895i,0.0012212+0.0011274i,0.0022823+0.0012942i,0.0028101+0.00089083i,0.0022101+0.00027076i,0.0010649-0.00023315i,0.00041579-0.00017471i,0.00010902-0.00050076i,-0.00038602-0.00064196i,-0.00028397-7.0564e-05i,4.6568e-05+0.00017056i,-3.1036e-05+0.00050744i,-0.00017166+0.0006791i,0.00015003-7.877e-05i,0.00020624-9.8722e-05i,0.00031726+0.00014652i,0.00014581-0.00055711i,-0.00048105-0.00054686i
-0.00033036-2.8985e-05i,0.00069568-0.00099199i,0.0020694-0.00082016i,0.0024668-0.00044244i,0.0020311-0.00031241i,0.0022621+0.00030223i,0.0025851+0.0013384i,0.0023116+0.0017474i,0.0018087+0.0012913i,0.0010975+0.00014119i,0.00065588-0.000114i,8.1301e-05+9.6315e-06i,-0.00056606-0.00028725i,-0.00046902-0.00062885i,-0.00049432-0.00070132i,-0.00028548-0.00021597i,0.00057543+0.00017891i,0.0010499+0.00035862i,0.0004391+0.00044431i,-0.00028723+0.00044467i,-0.00061117-0.00017762i,-0.00044049-0.0010735i,0.00031449-0.0013119i
0.00092387+0.00068402i,7.9873e-05+0.001257i,0.00034107+0.0011792i,0.00037848+0.00058348i,0.0011343-0.00036823i,0.0012636-0.0001396i,0.00117+0.00018472i,0.0021692+0.00071901i,0.0022438+0.00089542i,0.0014944-1.5924e-05i,0.00071469+9.2608e-05i,9.7477e-05+0.00073369i,-0.00016056+0.00020804i,-0.00038853-0.00039325i,-0.00042088-0.00028842i,-0.00044161+0.00081531i,-0.00069738+0.0014079i,1.791e-05+0.00035822i,0.00069514-0.00074276i,0.00048785-0.00051531i,-8.4696e-05+0.00018642i,-0.00072403+0.00026014i,-0.00077996-3.6734e-05i
0.0018966+0.00023398i,0.0015927+0.00033428i,0.0013209-0.00061951i,0.00099944-0.0015135i,0.00034917-0.0014481i,-0.00043371-0.00026748i,-2.939e-05+0.00082279i,0.00098752+0.0012046i,0.0017325+0.0006046i,0.00089667-0.0003096i,-0.00043754-0.00099506i,-0.00051327-0.00042012i,1.586e-05+0.0001316i,-0.0001241+0.00017413i,-0.00066424+0.00082989i,-0.0011589+0.0012302i,-0.0012924+0.00039602i,-0.0010954-0.00033359i,-0.00073872-0.00012996i,-0.0002705+0.00029i,0.00013782-7.5219e-05i,0.00037193-6.1269e-05i,0.0005687+0.00034358i
0.0026977-4.2485e-06i,0.0023047+0.0005782i,0.0022165-0.00040492i,0.0016907-0.0016863i,0.0016145-0.0012822i,0.0016599+0.00072218i,0.001966+0.0018206i,0.0025487+0.0013939i,0.0028327+0.00038088i,0.0014128-0.00015552i,3.9873e-05+8.6368e-05i,-1.0041e-05+0.0001698i,-0.00053943+0.00019911i,1.3141e-05+0.00041291i,0.00057871+0.00040487i,-0.00015589-0.00022641i,-0.000299-0.00045476i,0.00018018-0.00057344i,0.00014688-0.00057266i,-0.00021905-0.00028536i,-0.00074146+0.00012531i,-0.00068808+0.00037739i,-0.00058633+0.00020103i
-0.00080756-0.00010757i,-0.00042064+0.00050592i,-0.00012546+0.00053214i,0.0010648+0.00035641i,0.0012204+0.00060942i,0.00059543+0.00094628i,0.00031528+0.0018438i,0.00095975+0.0024618i,0.0016011+0.0019216i,0.0012842+0.0009885i,0.00092079+0.00054353i,0.00027231-6.2028e-05i,6.2342e-05-0.00095577i,-0.00012029-0.00084904i,-0.0003015-4.4388e-05i,7.6571e-05+0.00016772i,1.8014e-05-0.00026033i,-0.00023682+0.00056328i,-0.00021335+0.0010414i,-0.00021152+0.00058499i,-1.392e-05-0.00019041i,0.00042214-0.00064787i,7.7184e-05-0.00055345i
-0.00075032+7.2146e-05i,-0.00051056+0.0012257i,0.0012312+0.00057443i,0.002568-0.00098608i,0.0029364-0.0015511i,0.0023146-0.001256i,0.0017735-0.00040555i,0.0022116+0.00079276i,0.0019965+0.0015131i,0.0015633+0.00078222i,0.00043427+0.00018295i,-0.00061107+0.00039289i,-0.00042536-0.00021311i,-0.00036168-0.00018379i,-0.00053478+0.00069459i,-0.00035556+0.00097977i,-0.00026421+0.00027448i,-0.00012017-0.00039994i,4.4194e-05-0.00069217i,-0.00015581-0.0004448i,-0.00083408+0.00016016i,-0.00094416+0.00010588i,-0.00027456-0.00019037i
-0.00028579+0.0014224i,0.00020109+0.00080473i,0.00066051+0.00035045i,0.00044673-0.0006433i,0.00010962-0.0016955i,-0.00043364-0.00087146i,-0.00047249+0.00042211i,-0.00011592+0.0012296i,0.00041399+0.0018572i,0.00046727+0.0014708i,-0.00010823+0.00017493i,-0.00039671-0.00021772i,-0.00022808-0.00029285i,-0.00083234-9.5801e-05i,-0.0011738+0.00076416i,-0.00027004+0.0014882i,0.00065126+0.0011434i,0.00071887-0.00026096i,-4.0902e-05-0.0012727i,-0.00026991-0.00072178i,-0.00013422-0.00027486i,-2.408e-05-9.5759e-05i,0.00017318-0.00056597i
0.0019332-0.0007924i,0.0017568-0.00054279i,0.0010448-0.00099875i,0.00056503-0.0013858i,0.00084744-0.0012226i,0.001432-0.00050027i,0.0024154+0.0011129i,0.002141+0.001928i,0.0012885+0.00063347i,0.00034932-0.00063139i,-0.00031132+0.00030827i,-0.00018046+0.0014529i,1.4002e-06+0.00064897i,0.00054423+0.00016404i,0.0010184+0.00023105i,0.00026559+0.00025867i,-0.0004481+0.00028725i,-0.00014208-1.3786e-05i,0.00059266-0.00043494i,0.0011378-0.00057659i,0.00092747-0.00066068i,-0.00027879-0.00045385i,-0.0014872-0.00076182i
-0.00040908+0.00080212i,7.7298e-05+0.0016459i,-8.5284e-05+0.00080006i,0.00023657+0.00054483i,0.00080109+4.9874e-05i,0.0010191-0.00043687i,0.0019952+3.841e-05i,0.0022242+0.00033962i,0.0018691+2.0216e-05i,0.0013654-0.00067618i,0.00061523-0.00034486i,0.00019223+0.00070846i,-9.8192e-05+0.001054i,-0.00038099+0.0011009i,-0.00072243+0.00087514i,-0.00090787+0.00052555i,-0.00010221+0.0003111i,0.00070435-0.00027865i,0.00078078-0.00044005i,0.00020983-0.00033709i,-0.00013886+0.00024553i,-0.00026232+0.00032317i,-0.00046505-1.9701e-05i
-0.00033114+0.00026947i,-0.00015437-0.00063158i,0.00028346-0.0012282i,0.001387-0.0014148i,0.0020358-0.0009896i,0.0021256-0.00014801i,0.0015464+0.00057468i,0.0011067+0.00065754i,0.00063824+0.00054628i,0.00019655+0.0001571i,0.0003322+0.00026018i,3.8286e-05+0.0005326i,-0.00019647+0.00010963i,-0.00015463+9.8993e-05i,-0.0001086+0.00059709i,-5.337e-05+2.2898e-05i,0.00019211-0.00079022i,4.3332e-05-0.00024492i,-4.0492e-05+0.00038194i,0.00032649+0.00013665i,-2.3171e-05+0.0001607i,-0.00068493+0.00027497i,-0.00014483+0.00022393i
0.0012337-0.00044321i,0.00035596+0.0010445i,0.001205+0.0014504i,0.0021048+0.00055201i,0.0011139-0.00064158i,0.00082096-0.00042201i,0.0014517+0.00039832i,0.0024217+0.00057198i,0.0025418+0.00032822i,0.0015639-0.00022253i,0.00051082-0.00010129i,6.5512e-05-0.00034238i,3.543e-06-0.00094309i,-0.00047148-0.001262i,-0.00081375-0.0012037i,-0.00060846-0.0010084i,-0.00020977-0.000979i,-0.00022402-0.00042293i,-0.00028996+8.7065e-05i,-6.8288e-05+9.769e-05i,-5.0319e-05-0.00027854i,0.00067571-0.00046801i,0.00039487+5.9621e-06i
-0.00067326+5.4876e-06i,-0.00023642-0.0011485i,0.0013077-0.001852i,0.002777-0.0021909i,0.0020754-0.0011898i,0.0010617-0.00046935i,0.0012242+0.00033573i,0.0017002+0.00063198i,0.001588+0.00037935i,0.0010309+0.00063701i,0.0004486+0.00063305i,-6.4065e-05+0.00017831i,-0.00076536+6.2147e-05i,-0.0011416+0.00021072i,-0.0011164+0.00034396i,-0.0013294+4.6527e-05i,-0.00098714+0.00021863i,7.8916e-05+0.00091333i,2.4676e-05+0.00091386i,-0.00086527-5.2469e-05i,-0.00021159-0.00034296i,0.0008525+0.00043316i,0.00075702+0.00029066i
-0.0011632+0.00071947i,-0.0014562+0.0008614i,-0.00055064+0.0017099i,0.00091855+0.001226i,0.0016223-0.00034463i,0.0012754-0.00040068i,0.0004917-0.00016376i,0.0010952-0.00013166i,0.002045-5.943e-05i,0.0018823-0.00071422i,0.0014265-0.0010495i,0.0011611-0.00050111i,0.0010353+0.00046596i,0.00049847+0.00087709i,-0.00046773+0.00037691i,-0.00026158-0.00029886i,0.0003344-0.00074551i,0.00026497-0.0010674i,-0.000236-0.00071454i,-0.0005281-0.00045349i,-0.00025874-0.00063502i,0.00029849-0.00025557i,0.00052755-0.00012906i
-0.0010125-0.00049996i,-0.00091953-4.857e-05i,0.00096555+0.00060557i,0.0030478+0.0011442i,0.0048024+0.0010779i,0.0039174+0.00075692i,0.0022858+0.0012892i,0.0018428+0.0021081i,0.0014388+0.0013635i,0.0011984+0.00012668i,0.0011832-0.00033828i,0.00064581-0.0001589i,-0.00024305+0.00035751i,-0.0005119+0.00027204i,0.00011616-7.6381e-05i,0.00031671+3.8921e-05i,-3.047e-05-0.00027094i,-0.00032594-0.00026697i,-0.0001544+0.00020225i,0.0008026-0.00045654i,0.00045275-0.00063079i,-0.00033644-2.0585e-05i,-0.00087474+7.1413e-05i
0.00036307+4.5352e-05i,0.0011699+0.00060213i,0.0013009-0.000842i,0.0015107-0.0028153i,0.00083131-0.0034418i,0.0004269-0.0029162i,0.00071183-0.00071342i,0.0012842+0.00098585i,0.0020068+0.001133i,0.0018122+0.00019746i,0.00053411+0.00028498i,-0.00059702+0.0011208i,-0.00082567+0.0010886i,-0.00064773+0.00082241i,-0.00093161+0.00013061i,-0.00080802+9.0594e-05i,-0.00061862+0.00040217i,-0.00087184+0.00034708i,-0.00073205-0.0003496i,-0.00059646-2.1426e-05i,-0.00028413+0.00050151i,-8.2729e-05+0.00030192i,-0.00016606-0.00019085i
0.0013164-0.0010909i,0.00079279-0.00026429i,-0.00052606+0.00036515i,-0.00076928+0.0004087i,-0.00058906+0.00019393i,0.00040398+0.00094693i,0.0019002+0.0014511i,0.0019888+0.001182i,0.0010174+0.00081549i,-2.5681e-05-0.00016409i,-0.00012611-2.2877e-05i,-7.7087e-06+0.00029529i,-2.8912e-05+5.6941e-05i,2.1493e-06+0.00055715i,0.00053324+0.00022007i,0.00088412-0.00082301i,0.0005363-0.00086467i,0.000287-0.00031552i,0.00034684+0.00029024i,0.00065945+0.00047899i,0.00057167+0.00033476i,0.00027062+0.00044141i,1.4295e-05+0.0004406i
0.00088862+0.00081088i,0.0016488-0.00017812i,0.0022704-0.00052515i,0.0032582-0.00030868i,0.0024547-0.00013892i,0.00080374-0.00044043i,-2.8978e-05-0.00069227i,0.00060818+5.8168e-05i,0.0012735+0.00064533i,0.0015649+0.00058773i,0.0012728+0.00037568i,4.002e-05-0.00064146i,-0.0002576-0.0010683i,-0.00018186-0.00011005i,-0.00020581+0.00033106i,-0.00020826+0.00016928i,1.8367e-05+0.00042522i,0.00063926+0.00026088i,0.00070126-0.0001937i,0.00021506-0.00049763i,-6.7096e-05-0.00021885i,-0.00014169+0.00010596i,8.2424e-05+0.00037394i
0.00043003-6.0765e-06i,0.00029104+0.00030109i,0.0004827+0.00017935i,0.0010469-0.0013512i,0.001801-0.0012724i,0.0015407+0.00023232i,0.0010117+0.0015889i,0.0016656+0.0016651i,0.0024491+0.00078719i,0.0026162+0.00072336i,0.0013313+0.00042195i,3.3654e-05-0.00012653i,-0.00026889+0.00017074i,-0.00094276+0.00056653i,-0.00092266+0.00013502i,-0.00038693-0.00050604i,0.00039079-0.00046844i,0.00073167+0.00015994i,-0.00048281+0.00067924i,-0.0015015+0.00048633i,-0.00058859+0.00020072i,0.00032747+0.0004902i,0.00045321+0.00018162i
0.00078937+0.00099222i,0.0001435-0.00035584i,0.0010628-0.0011582i,0.0017091-0.001312i,0.0013742-0.0018698i,0.0010119-0.0015929i,0.001033-2.3889e-05i,0.001937+0.00090423i,0.0031129+0.00057349i,0.003153+0.00029563i,0.0013391+0.00070887i,0.00015473+0.0014031i,0.00030326+0.0012144i,-0.00011756+0.00054977i,-4.7806e-05+0.00010068i,0.00088192-0.00013861i,0.00057512-8.0228e-05i,5.5171e-05+0.00031799i,-1.2463e-07+0.00036957i,0.00013107-0.00027372i,0.00085064-0.00053362i,0.0011735-0.00024356i,0.00088136-0.00057009i
0.00068595+0.00014989i,0.0015286+2.4862e-05i,0.0026543+0.00059251i,0.0032751+0.00018208i,0.0021724-0.00068231i,0.0013391-0.00072279i,0.0013377+1.3424e-05i,0.0011884+0.00041766i,0.0018896+0.00023136i,0.0020019+0.00048907i,0.00053395+0.00042743i,-3.6662e-05-0.0008412i,0.0003785-0.0011145i,0.00034286+0.00021168i,0.00031471+0.00094487i,-0.00030283+0.0007186i,-0.0011504+0.00037825i,-0.0010411-0.000736i,-0.00019176-0.00099582i,0.00012645-0.00022323i,0.00022753+7.1271e-05i,0.00042699-7.0131e-05i,0.00025229+8.9596e-05i
-0.00074398+0.00051607i,-0.00093101+0.0019139i,0.0010173+0.0011544i,0.0032653-5.0311e-06i,0.0032917-0.00012032i,0.0023998+0.00037806i,0.0015626+0.0016076i,0.0019673+0.0018102i,0.0023256+0.0012468i,0.0021736+0.00039428i,0.0016966+0.00042827i,0.00024531+0.0003114i,-0.00053548-9.3239e-05i,-0.00071186+0.00023807i,-0.00049577+0.00047208i,-0.00056492+0.00063443i,-0.0006409+0.00036841i,-0.00063425+5.4942e-06i,-0.00027349-0.0006291i,-3.9692e-05-0.00047238i,0.00022907+0.00021163i,0.00067925+6.7239e-05i,8.6297e-05-0.00029509i
0.0003018-0.00079553i,-0.00069971-0.001575i,-0.001795-0.0017272i,-0.00050829-0.0021341i,0.00090118-0.0020147i,0.00047053-0.0006147i,0.0010237+0.0009239i,0.0026898+0.0011314i,0.0026291+0.00016774i,0.0013107-0.00090111i,4.2956e-05-0.00079132i,-0.00057092-0.000547i,-0.00076576-0.00015139i,-0.00066771-0.00026927i,-0.00018318-0.0010573i,-9.2984e-06-0.0011726i,3.0906e-05-0.00057043i,0.00028402+0.00040903i,-0.00047296+0.00085506i,-0.00066025+4.2852e-05i,0.00022158-0.0011923i,0.00070863-0.00085429i,0.00051604+0.0005272i
