-0.0022583+0.00041115i,-0.0023767-0.00061959i,-0.0034377-0.00035255i,-0.0035523+0.00052432i,-0.0018879+0.0022384i,-0.00069413+0.0032375i,-0.00023367+0.002616i,0.00034565+0.0019349i,0.00022049+0.001558i,0.00019396+0.0014545i,0.00025567+0.00080282i,0.00028148+0.00030546i,7.2804e-05+0.0005722i,-0.00015038+5.88e-05i,0.00038182-0.00030734i,0.00048222-0.00076207i,0.00019926-0.0013755i,0.00028765-0.00086034i,0.0011096+3.4866e-05i,0.0013355+4.3828e-05i,0.00072064-0.00036533i,0.00057124-0.00050042i,0.0002338+0.00016666i
-0.0007767+0.0022901i,-0.00067706+0.0020933i,0.00063014+0.0026373i,0.000418+0.0017654i,0.00015193+6.9049e-05i,0.00070465-0.0014787i,0.0012758-0.0017242i,0.0014377+1.568e-05i,0.0013488+0.0013774i,0.0012604+0.00094717i,0.00050432+0.00042195i,-0.00044047+0.00081234i,-0.00044251+0.0012036i,-5.0912e-05+0.0010337i,0.00044496+4.5066e-05i,0.00098874-0.00047717i,0.00095727+2.3103e-05i,0.00068937+0.00030751i,-4.8305e-06+0.00020421i,-0.00090746-0.00037963i,-0.00064319-0.00058231i,-4.1457e-05-6.3276e-05i,0.00018507+0.00033548i
0.00017588-0.00058895i,-0.00058381-0.00063889i,-0.00095505-0.00033307i,-0.001088-0.00029222i,-0.00026721-0.00053132i,0.0006574-0.00066898i,0.00056823-0.0008408i,-2.7835e-05-0.00036764i,-0.0010659+0.00048819i,-0.0013403+0.00056933i,-0.00080847+0.00042541i,-0.00036973-0.00013873i,0.00034992-5.7636e-05i,0.00076217+0.00079974i,0.00037254+0.00054954i,-0.00023628+0.00048487i,0.00014179+0.001154i,0.00034762+0.0009529i,9.1107e-05+0.00039899i,0.00044602-0.00011597i,0.00080214-0.00041436i,0.00072475-0.0004296i,0.00045411-0.00054768i
-0.00073528-6.9241e-05i,-0.00033328-0.00082636i,0.00015933-0.00054519i,-0.00094111-0.00056115i,-0.00089642-0.00066593i,6.2531e-05+0.00038658i,0.0008254+0.00091645i,0.00027004+0.000872i,-0.00054924-2.0269e-05i,-0.00060995-0.00083162i,-0.00063648-0.00075873i,-5.2323e-05-0.00029148i,0.0005211+0.00029764i,0.00048705+0.00044076i,0.00073349-0.00014878i,0.00085456-0.00054125i,0.00062883+8.0198e-05i,0.00044993-0.0004024i,3.5355e-05-0.0010073i,-0.0010546-0.00059619i,-0.0013822+2.5052e-05i,-0.00069529+0.00041354i,-0.00062608-6.1742e-05i
0.0012055-0.0011066i,0.00091375-0.0025271i,0.0011387-0.0031495i,0.00024713-0.0021223i,-0.00087074-0.00093193i,-0.00018644-0.00030392i,0.00080779-0.00010968i,0.0015832-0.00015831i,0.00091498+0.00023681i,8.5065e-06+0.00011052i,5.2736e-05-0.0002795i,0.00038268+0.00017055i,0.00022838+0.00088635i,0.0002966+0.0011889i,0.00053996+0.00094801i,0.00043475+0.00044911i,0.00065348+0.00031227i,0.00063603+0.00038169i,0.00034572+0.00021811i,-0.00023423+0.0002381i,-0.00039635+0.00038412i,-0.00026422+0.00076981i,-6.8763e-05+0.00067636i
-0.0013758-0.00027672i,-0.0010045-0.00079035i,-0.0011106+0.00092543i,-0.00074407+0.0020816i,0.00018316+0.001728i,0.00043499+0.00070546i,-2.9302e-05-0.00010014i,0.00020797+0.00013275i,-0.00017798+0.00012712i,-0.0003061-6.6594e-05i,0.00031044+1.8952e-05i,0.00088325+0.00042451i,0.0014096+0.0010605i,0.00088496+0.0012414i,0.00079014+0.00096467i,0.0008964+0.00054963i,0.00060095+7.1582e-05i,0.00074189-4.7308e-05i,0.0002639-0.00018871i,-0.00083675+0.00015965i,-0.00078087+0.00075538i,-0.00052742+0.00098908i,-0.0003829+0.0011529i
-0.001668-0.0020799i,-0.0021998-0.0017436i,-0.0029797-0.0005419i,-0.0023905+0.00063705i,-0.0012408+0.0015052i,-0.00018436+0.0011749i,0.00069844+0.00080387i,0.00034352+0.00044069i,-0.0005018+0.00042861i,-0.00049273+0.00066571i,-3.0366e-05+0.00069393i,4.2458e-05+0.00084742i,0.00029806+0.00063767i,0.0001005+0.00097308i,0.0001478+0.0010837i,0.0014858+0.00011403i,0.0019908-0.00031009i,0.0011719+0.00032865i,0.00032478+0.00014774i,0.00032041-0.0003801i,0.00087533-0.00035497i,0.00080913+0.00042306i,0.00015417+0.0012925i
-0.0012518+0.00020636i,-0.0012614+8.2763e-05i,-0.0014772-8.066e-05i,-0.0020708+0.00041709i,-0.0018587+0.0012176i,-0.00082201+0.0011043i,-0.00032817+0.00041633i,-0.00029794+0.00060489i,-0.00037593+0.0013503i,-6.6262e-05+0.0014075i,0.00034547+0.0010691i,7.5058e-05+0.00060524i,8.9581e-05+0.00095823i,0.00043082+0.0012165i,0.00027171+0.00062963i,0.00047587+0.00067406i,0.00083956+0.00063784i,0.00091571-0.00012826i,0.0002531-0.0010338i,-9.4859e-05-0.00088018i,0.00029077+0.00025646i,0.00014268+0.00049404i,0.00026664+0.00038882i
-0.00055907-0.00078224i,-0.0005423-0.0014573i,-0.00081342-0.00074354i,-0.00066259-0.00041946i,-0.0002874-0.00024339i,0.00039698+0.00049364i,0.00049744+0.00036179i,0.00078097+9.1503e-05i,0.00057088+0.00072625i,0.00015801+0.00060319i,0.00068465+0.00012923i,0.0011446+0.00054348i,0.00074972+0.0012042i,-9.109e-06+0.0015222i,-7.5627e-05+0.00077197i,0.00017676-0.00062453i,0.00036663-0.00079588i,0.00096122+0.0002401i,0.0007277+0.00093733i,3.7579e-05+0.00033175i,-0.00028451-9.3093e-05i,-0.00077143+0.00057886i,-0.00060002+0.00052768i
-0.00031883+0.0012929i,6.3765e-06+0.0017549i,0.00033684+0.0020514i,4.9036e-05+0.0020452i,-9.954e-05+0.0016645i,-0.00023603+0.0009308i,0.00012718+0.00065775i,0.00065138+0.00088902i,0.00027891+0.0010342i,-0.00028329+0.00044896i,-7.856e-05-0.00016726i,0.00024204-0.00070931i,0.00032442-0.0011226i,0.00016358+0.00057925i,0.0003461+0.0012925i,0.00061892+0.00020547i,0.0007537-0.00040235i,0.00085709-0.00014662i,0.00076838+0.00032136i,0.00041616+0.00071236i,-0.00022796+0.00031273i,-0.00087235+5.3689e-05i,-0.0006499+0.00020498i
-5.4958e-05-0.0037796i,-0.0012774-0.0032182i,-0.0030694-0.0027404i,-0.0032339-0.00089648i,-0.0017156+0.00073917i,-0.00089579+0.00082921i,-0.00020851+0.0005215i,0.00034147+2.7231e-05i,-8.898e-05-0.00011683i,-0.00023499+0.00038865i,-0.00051501+0.00086778i,-0.00042916+0.0011825i,-0.00019546+0.0019157i,-0.00016963+0.0017636i,0.00047061+0.0011738i,0.0015114+0.00096605i,0.0017905+0.00059986i,0.0012956+0.00047791i,0.0007918+0.0005189i,0.00081171+0.00013929i,0.0010652-0.00072643i,0.0010815-0.00062034i,0.00073233-0.00017021i
