-0.0006175+0.0015214i,-0.00047425+0.0018746i,-0.00085476+0.0020259i,-0.0015342+0.0017718i,-0.0032+0.0011882i,-0.0038297+0.0019022i,-0.0025355+0.002584i,-0.00068132+0.0027315i,0.00048286+0.002172i,0.00098705+0.0011411i,0.001184+0.00062298i,0.0010354+0.00034463i,0.00092808-0.00012599i,0.00097491-0.00018208i,0.00031927-3.8602e-05i,-0.00034944-0.00046998i,-3.3005e-05-0.00069903i,0.00011355-4.9267e-05i,0.00034959+0.00042347i,3.4566e-07+0.00015639i,-0.00023546+0.00010808i,-0.00015163-0.00022687i,-0.00036471-0.00089567i
0.00027381-0.0021993i,-8.4947e-06-0.002321i,-0.0015177-0.0026293i,-0.003362-0.0022744i,-0.0038416-0.00066792i,-0.0026801+0.00072155i,-0.0011058+0.0013393i,0.00058993+0.0014812i,0.0012672-0.0002156i,0.00080227-0.00083921i,0.00052091+0.00016082i,8.6831e-05-0.00014721i,-4.7198e-05-0.00089966i,0.00024202-0.00023605i,0.0001934+0.00029645i,5.258e-05+0.00030617i,-6.477e-05+0.00053307i,-0.00038127-0.0001706i,-0.00062681-0.00078267i,-0.00012355+1.0938e-05i,-0.00010367+0.00037462i,-0.00047535-0.00028874i,0.00022304-0.00071609i
-0.00030573+0.0004616i,0.00027289+0.00033866i,0.001021+6.599e-05i,-0.00011012+0.00084487i,-0.001163+0.0012861i,-0.0014963+0.00056743i,-0.0011009+0.0004961i,0.00014016+0.00099363i,0.0012236+0.00076555i,0.0014147+5.3453e-07i,0.0014893-0.00011084i,0.0010389+0.00035196i,0.001127+0.00037986i,0.0010609+0.00051133i,0.00057564+0.00049943i,0.00019631+0.00034427i,-0.00053175+0.00042591i,0.00011675+0.00019245i,0.00083427-0.00013454i,0.00045924-0.00052353i,0.00052505-0.00056848i,0.00069258+2.5491e-05i,-0.00050612+0.00096389i
-1.139e-05+0.0011269i,7.2274e-05+0.0021106i,-6.0093e-05+0.0019168i,-0.00073133+0.0015143i,-0.00081182+0.0011469i,-0.00094516+0.0011113i,-0.00075914+0.0015315i,0.00039543+0.0011127i,0.0012981+0.00021639i,0.0018469-0.00037543i,0.00151+8.03e-05i,0.00029915+0.0005381i,4.6188e-05+0.00083032i,0.00031455+0.0011126i,-0.00037072+0.0005275i,-0.00072898-0.00097827i,-0.00014925-0.00041768i,0.00057811+0.00030326i,0.00096265+0.00047879i,0.00084518+0.00052732i,0.00033613-7.8179e-05i,-3.6106e-05+0.00024631i,0.00021681+0.00044658i
-0.00075335-2.6699e-05i,-0.00047856-2.7677e-05i,-0.0019908-0.00045197i,-0.0035024+7.3195e-05i,-0.0041999+0.0016674i,-0.0035052+0.0028392i,-0.0016199+0.0027819i,-0.00022754+0.0014013i,0.00074586+0.00018526i,0.0010984+0.00016825i,0.00055716+0.00036525i,0.00062157-0.000136i,0.00055925-0.00053862i,0.00042259+0.00022081i,0.00021448+0.00044255i,0.00026898+0.0002638i,0.00030108+0.00059125i,-0.00025112+0.00029615i,-0.00041532+0.00015105i,-0.00076733-0.00055515i,-0.00054682-0.001068i,-0.00022614-1.8554e-05i,-0.00039375-3.1919e-05i
0.0036321+0.00088134i,0.0033127+0.0006089i,0.0027376+0.00040369i,0.0012631-0.00010319i,-0.00022382-0.0007433i,-0.00088959+2.0502e-05i,-0.0007566+0.0011414i,0.0001767+0.0018576i,0.0014272+0.0016128i,0.0018027+0.00083957i,0.0010413+0.0004226i,-0.00058807-0.00016105i,-0.0016578-0.0004182i,-0.0011259-0.00012569i,-0.0011061-0.00028014i,-0.0012693-0.00048413i,-0.00044196-0.00010391i,0.00060186-0.00018618i,0.00040486+4.7096e-06i,-1.3849e-05+0.00022608i,0.00045064+0.00012798i,0.0010039-0.00014971i,0.00076875-0.0006104i
-0.0006545+0.0015351i,0.0003454+0.0019691i,0.00091198+0.0011293i,-0.00011021+0.00029415i,-0.0015568+0.00099029i,-0.0018483+0.001591i,-0.0011473+0.0010791i,-7.3943e-05+4.9623e-05i,0.00048984+0.00060372i,0.00022557+0.0011453i,0.00029896+0.00068789i,0.00056987+0.0004457i,0.00015987+0.00023657i,-0.00025745-0.00045682i,0.00027459-0.00071024i,-1.8155e-05-0.00018187i,-9.5532e-05-0.00016279i,0.00066616-0.00071146i,0.00055505-0.00074542i,-0.00039664+5.5889e-05i,-8.1621e-05+0.00013325i,0.00080967-0.00058656i,0.00028855-0.0010776i
-0.00049127-0.0016521i,-0.00050872-0.00096665i,-0.00087373-0.00059414i,-0.0011766+3.134e-05i,-0.0018601+0.00088351i,-0.0017682+0.00063106i,-0.00087591+0.00091818i,-0.00045798+0.0010845i,0.0003661+0.00064554i,0.0011972+0.00010475i,0.00097949-0.00018138i,0.00061473+0.00071559i,2.4423e-05+0.0015416i,-0.00057965+0.0017194i,-5.2248e-05+0.00048552i,-0.00021617-0.00068243i,-0.00062026-0.00028545i,-0.00039912+0.0003422i,-0.00019184+0.00058329i,-8.6083e-05+0.00038779i,-3.1887e-05+5.8831e-05i,0.0002884+0.00041309i,0.0004831+0.0006959i
0.00025316+0.0011333i,0.0010184+0.0017342i,0.0015845+0.0019177i,0.00036004+0.001174i,-0.00063248+0.001252i,-0.0010181+0.0016434i,-0.00061819+0.0011598i,0.0010834+0.00094928i,0.001191+0.0011648i,0.00063433+0.00055815i,0.001104+0.00014054i,0.0010514+0.00051831i,0.00057932+0.00047176i,0.00079773+0.00011039i,0.0005033-0.00024075i,-0.00018484-0.00039902i,-0.0003861-0.00018373i,-0.00044219+0.00024777i,-0.00046046+0.0007641i,-0.00014099+0.00092893i,0.00042103+0.00080533i,0.00035155-0.00023041i,0.00050439-0.00050074i
-0.001015+0.002983i,-0.0011702+0.0037802i,-0.00018637+0.0037549i,0.00013646+0.0028563i,-0.0010828+0.0018465i,-0.0019951+0.0014928i,-0.0018176+0.00044379i,-0.00061734-0.00026718i,0.0002794+0.00012194i,0.00061634+0.00047586i,0.0011778+0.00054392i,0.001666+0.00048271i,0.0015783+0.00071765i,0.00098263+0.0011754i,0.00067052+0.00094244i,0.00098394-4.8769e-06i,0.0014054-0.00052893i,0.0011683-0.00091168i,0.00059773-0.00065628i,0.00010569-0.00048426i,-0.00014935-0.00034528i,0.00027035+2.735e-05i,0.00041453+0.00052843i
-0.00041661-0.0009189i,-0.00041342-0.00037018i,-0.00053682-0.00072547i,-0.0012879+2.0604e-05i,-0.0019983+0.0016i,-0.0020563+0.0025853i,-0.00176+0.0025316i,-4.7085e-05+0.0018604i,0.0012217+0.00092257i,0.00072694-8.1454e-05i,0.00017486-0.00061411i,-0.00027426-8.8026e-05i,-0.0006733+0.00075843i,-0.00045101+0.00086711i,-1.2675e-05+0.0010125i,-0.00011885+0.0012898i,0.00011738+0.0011935i,0.0012083+0.00059845i,0.0004857+0.00021065i,-0.00053299+7.9744e-05i,-0.00045588-4.3058e-05i,-0.00031489-0.00016094i,0.00017266-0.00028809i
