-0.00097623+0.00010842i,0.0004634-0.0011907i,0.00017743-0.0017488i,-0.0012563-0.001166i,-0.002016+0.00024901i,-0.0020633+0.0014919i,-0.0013777+0.001622i,-8.9612e-05+0.0011354i,0.00084137+0.0005444i,0.0013493-0.00025014i,0.0010204-0.00056667i,-0.00010621-0.00014212i,-0.00057606-6.6352e-05i,-0.00068854+7.1803e-06i,-0.00063495+0.00051206i,-0.00075777+0.00012086i,-0.00043742-0.00012644i,-3.6581e-05+0.00051538i,2.1607e-05+0.00053236i,-0.00051086-0.00016057i,-0.00083814-0.00045699i,-0.00014204-0.00054771i,0.00053372-0.00040053i
0.0011109-0.0016079i,-0.00027447-0.0027575i,-0.001595-0.0023148i,-0.0023794-0.00027182i,-0.001644+0.0012517i,-0.00019417+0.0014095i,0.00044915+0.00033039i,0.00042129-0.00025546i,0.00016034-0.00026372i,0.00027641-6.9525e-05i,-0.00010161+0.00033759i,-0.00059276+0.00042141i,-0.00046254+0.00074518i,-0.00045157+0.00045583i,-0.00039207-4.6486e-05i,-0.0001995+2.3558e-05i,0.00024444-0.0003476i,0.00085136-0.00053183i,0.00054933-0.0003148i,-0.00026264-0.00058965i,-0.0002602-0.00046i,-9.6104e-05-0.00029688i,-0.00026653-0.00025483i
0.00061545-0.0002842i,0.00076935-0.0011866i,0.00045484-0.0019984i,-0.00098643-0.0013178i,-0.001772+0.00013872i,-0.0013813+0.0014587i,-7.8589e-06+0.001523i,0.0012657+0.00024914i,0.00062251-0.00054689i,-0.00038852-0.00052639i,-0.0003645-4.7909e-05i,-0.00044004+0.00034487i,-0.00043732-5.9604e-05i,0.00033252-0.0008746i,0.00063802-0.0005977i,3.5199e-05+0.00032098i,-0.00016621+0.00055505i,0.00042983+3.1966e-05i,0.0006983-0.00023176i,0.00059589-7.3309e-05i,0.00028126+0.00021452i,-9.8226e-05+0.00034714i,0.00012437-5.5583e-05i
-0.0010858-0.0014358i,-0.0029993-0.0013893i,-0.0036597-0.0011778i,-0.0018808-0.00062744i,-0.00040886+0.00040806i,0.00055776+0.00132i,0.00076043+0.00057399i,0.00057089-0.00037625i,0.00043973-5.8586e-05i,-0.00013685+0.00033263i,-0.00031741-0.00014978i,0.0001722-0.00054379i,0.00019269-0.00023765i,5.7928e-05+0.00016195i,-0.00037089+0.0006793i,-0.0006669+0.00021699i,-0.0008779-0.00069276i,-0.00060115-0.0013889i,6.7227e-05-0.0010037i,-0.0001924-0.00026996i,-0.00051452+0.00029328i,-0.00019646+0.00062172i,-4.1549e-05+0.00036483i
0.0019906-0.0016885i,0.0020854-0.0026198i,0.00072935-0.0030555i,-0.00059735-0.0023006i,-0.00097574-0.0013889i,-0.00032546-0.0012124i,0.00011223-0.0004152i,-0.00041605+9.0372e-05i,-0.0004943-1.869e-05i,-0.00040742-7.7282e-05i,-0.0005854-0.00055036i,-0.00058042-0.0001225i,-4.5296e-05+0.00043161i,-0.00042634+0.00059062i,-0.0010575+0.00012157i,-0.0010939-0.00074378i,-0.00081415-0.00017297i,-0.00079203+0.00017058i,-0.00072383+0.00021636i,-0.00040673+0.0011797i,0.00038055+0.0010549i,0.00090373+0.00030489i,0.00071539-0.00022295i
0.0016613+0.0010813i,0.0020119+0.00010848i,0.0025101-0.00075092i,0.0018845-0.0003236i,0.00075791+0.00037171i,0.00027508+0.00069262i,0.00076137+0.00027008i,0.00088803+0.00023597i,9.7667e-05-0.00013323i,-0.00025682-0.0005901i,-8.2266e-05-0.00040239i,-0.00018408-0.0001592i,0.00014626-0.00041553i,-0.0001736+0.00036512i,-0.0016907+0.00088184i,-0.0016597+0.00068434i,-0.00077053+0.00053524i,-0.00010091-0.00011962i,9.1519e-05-0.00050115i,0.00014226-0.00037196i,-2.9576e-05-0.0002349i,-0.00033611+4.2179e-05i,-0.00037895+0.00046104i
-0.0029612+0.00044625i,-0.0025657-0.00023174i,-0.0019037+0.00077521i,-0.00070865+0.001375i,0.00020686+0.0011298i,0.00068953-0.00025429i,-0.00019277-0.0012051i,-0.0012708-0.00034308i,-0.0012756+0.00048558i,-0.00050771+0.00040345i,0.00044445+0.0007377i,0.00024517+0.00030963i,-0.00049043-0.00017751i,0.00051737-0.00035286i,0.0020654-0.00062603i,0.0013741+0.00034438i,4.7565e-05+0.00021589i,-0.00071546-0.00081361i,-0.00060284-0.00083694i,-0.00060597-0.00050627i,-0.0006434-0.00013917i,0.00021697+0.00054123i,0.0001159+0.00074424i
0.0013191-0.0011032i,0.0017021-0.001053i,0.0011497-0.0014257i,0.00051721-0.0011424i,-6.1184e-05-0.00062089i,-0.00051778-0.00026949i,-0.0010691-0.00045905i,-0.0014109-0.0004555i,-0.00015532-0.00021381i,0.00030999+0.0001466i,-0.00027676+0.00047363i,-0.00061196+0.00014035i,-0.00062129-5.2278e-05i,0.00028898+0.00025465i,0.00021334-3.4999e-05i,-0.00022616-0.0002153i,-0.00024209-0.00045157i,-0.00065756-0.00021028i,-0.00058581-0.00033757i,-0.00021419-0.00066295i,2.2581e-05-0.00080311i,-0.00034276-0.00064864i,-0.00053695-0.0005909i
4.2177e-05+0.00058557i,-0.000436+0.0010169i,-0.00038517+0.0014091i,-6.0872e-05+0.0015211i,0.00029089+0.0013067i,0.00090382+0.00040535i,0.0010464-0.00021423i,0.0012859-0.00018804i,0.0010226+0.00022319i,-0.00011438+2.1918e-06i,-0.00085562-0.00055247i,-0.00047195-0.00041216i,-0.0001776-8.7803e-05i,-0.00063885+0.00013843i,-0.00055607+4.2281e-05i,-0.00050722+9.2263e-05i,-0.00050971-6.4312e-05i,8.3481e-05-0.00034402i,0.0006113+0.0002434i,0.00061174+0.00062543i,-0.00026427+0.00053654i,-0.00097814+0.00020383i,-0.00060168-0.00046898i
-0.00044289-0.00043248i,-0.0017894-0.00080917i,-0.0016886-0.001829i,-0.00056443-0.001479i,0.00015606-0.00090998i,9.0136e-05+3.1536e-05i,-4.4536e-05+0.00068599i,0.00024803-8.3094e-05i,0.00012304-0.00034163i,-1.1e-05+0.00011013i,0.00048357-0.00013538i,0.00069818-0.00046234i,-0.00037951+0.00018191i,-0.00092777-0.00018764i,-0.00060726-0.00071603i,-0.00027065-0.00021226i,-0.00013722-0.00083764i,-0.0004301-0.001257i,-0.0005611-0.00027164i,-0.00025973-0.00019329i,0.00031542-0.00026369i,0.0007901-0.00045751i,0.00043657-0.00064542i
0.00016867-0.00088689i,0.0015995-0.001379i,0.0013983-0.0014979i,9.0987e-05-0.00048237i,-0.00030268+0.00044468i,0.00025514+6.9547e-05i,0.00030734+0.00038133i,-0.0008321-0.00013893i,-0.0013173-0.0010858i,-0.00063085-0.00023792i,0.00042954+0.00057384i,0.00077355+0.0009495i,0.00029531+0.00082122i,0.00016697+0.00019413i,0.00079168-8.554e-05i,0.00086641-0.00025956i,0.00018847-0.00035603i,-0.00034981+0.00022443i,-0.00075375+0.00043761i,-0.00091114-0.00029784i,-0.0010531-4.4945e-05i,-0.00040891+0.00044431i,-1.4583e-05+0.00047042i
