-0.0028233-0.00038215i,-0.0019677-0.0010202i,-0.0029241-2.048e-05i,-0.0019558+0.00051945i,3.5949e-05+0.00087681i,0.00062437+0.0015316i,0.00075245+0.001375i,0.0005152+0.00099491i,5.6488e-05-8.8893e-05i,0.00022933-0.00035267i,0.00041573+4.8538e-06i,0.00051738+0.00031758i,0.0011095+0.00037592i,0.0010598-0.00028015i,0.00050909-0.0006696i,0.0001933-0.00083283i,9.9438e-05-0.00030608i,0.00020003+0.00046671i,7.5569e-05+0.00035762i,1.9014e-05+6.2338e-05i,-0.00043888+3.831e-05i,-0.00054287+0.00010784i,-3.2459e-05+0.00063419i
0.00073537-6.7775e-05i,0.00076479-0.00035833i,0.00032395-0.00087021i,1.2948e-05-0.0007337i,0.00041857-0.00036266i,0.00069043+0.00036469i,3.6785e-05+0.00068283i,-0.00053948-0.00044225i,-0.00048193-0.0011564i,-0.00059505-0.00018257i,-0.00099342+0.00074218i,-0.0010285+0.00058309i,-0.0004246+6.5768e-05i,0.00036833-0.00051923i,0.00038483-0.00013928i,0.00025666+4.6335e-05i,0.00080798-0.00035869i,0.00092669-0.00050179i,-0.00014117-0.00033072i,-0.0003107+0.00020869i,5.6762e-05+0.00054913i,-4.2848e-05-0.0002946i,-0.00020497-0.00042901i
-0.0010067+0.00087024i,-0.00087667-0.00092321i,-0.00091813-0.00078103i,-0.00056147+0.00029477i,-0.0004818-0.00063609i,-0.00067046-5.2377e-05i,-0.00055264+0.0011056i,0.0001387+0.0002309i,0.00020568-0.00039317i,-3.6543e-05-3.4447e-05i,-0.00012727+0.00032237i,-0.00016384+0.00081116i,-0.00018325+0.00051791i,-0.00031277-0.00034054i,1.9205e-05+0.000123i,0.00014544+0.00050627i,-0.00011969+0.00018841i,-0.00042156+0.00021076i,9.7997e-06+0.00024687i,0.00036996-0.00022729i,0.00020578-0.00060257i,0.00013852-0.00051547i,0.00047676-0.00076131i
-0.00095573-0.00055184i,-0.00071379-0.00082112i,0.0009066-0.00095915i,0.0011557-0.0012538i,0.00059916-0.00011475i,0.00074901+0.0007034i,4.5555e-05+0.00069216i,-0.0014793+0.00034411i,-0.0016168-0.00025219i,-0.00026645+1.296e-05i,0.00041693+0.00020946i,-0.00073049+0.00012767i,-0.00072724+0.00014497i,-0.00029069+0.00086095i,-0.00028674+0.0010981i,-0.00015049+0.00032014i,-0.00036106-0.00012722i,0.00038058-0.00014285i,0.0011002-0.00027745i,0.00056997-0.00090073i,-0.00010546-0.00080505i,-0.00011189-0.00053018i,0.00067916-0.00048528i
-0.0021173-0.0003019i,-0.0022378+8.1087e-05i,-0.0018363+0.001646i,-9.3359e-05+0.0013658i,0.0012305+0.00085744i,0.00090692+0.00021705i,2.2348e-05-0.00058592i,-0.00013863-0.00054306i,0.00020932+0.00014353i,0.00014554+0.00018035i,0.00018214-0.00012392i,0.00040647-7.6123e-05i,0.00019817-0.00042568i,-0.00061856-0.00065858i,-7.4338e-05-0.00053871i,0.00035635-0.00078904i,0.00054551-0.00034248i,0.00010788+0.00041235i,-0.00090038+0.00023148i,-0.00057959+9.8145e-05i,-0.00020041+0.0005784i,0.0002993+0.00046325i,0.00093692-0.0005527i
0.0020057-0.00055493i,0.0013742-0.000232i,0.0025079-0.0023072i,0.0023738-0.0039087i,0.00026823-0.003715i,-0.001646-0.0016114i,-0.0019899+3.3495e-05i,-0.0012532-5.0649e-05i,-0.0006793-0.0010268i,-0.00090748-0.0014735i,-0.0012067-0.00044569i,-0.0012701-0.00031577i,-0.00069017-0.00041406i,-0.00047591-0.0001742i,-0.0012166-0.00045825i,-0.0016372-0.00061857i,-0.00093378+4.1224e-06i,0.00030944+0.00048592i,0.0010182-0.00022756i,0.0004176-0.0010528i,-0.0006904-0.00066795i,-0.0011531-0.0004882i,-0.00074106-0.00069678i
0.0013099-0.0008541i,0.0015803-0.001105i,0.0022598-0.00063074i,0.0013879-0.00069317i,0.00013939-0.00078541i,0.00020775-0.00066696i,6.9881e-05+0.00027598i,-9.0668e-05+0.001004i,-0.00014789+0.00056447i,0.00048914-0.00040483i,0.0010607-0.00075226i,0.00063642-0.00046974i,-3.6667e-07-0.00069823i,-0.00012207-0.0006462i,2.2967e-05-0.00026544i,0.00025638-0.00018932i,0.00042867-6.2328e-06i,0.00046876+0.00015902i,0.00028181+0.00058024i,0.00029744+2.7591e-05i,-4.2028e-05-0.00073996i,-7.6067e-05-0.00013956i,9.341e-05+0.00031461i
-0.00047179-0.0015668i,-0.00043127-0.0014654i,-0.0017927-0.0015453i,-0.0016545-0.0016266i,-0.00064922-0.0015009i,0.00041587-0.00053841i,0.00088946-0.00066788i,-7.2817e-05-0.00050071i,-0.0010898-0.00029024i,-0.0014534-2.2241e-05i,-0.0010888+0.00069501i,-0.00037903+0.00082065i,-0.00056088+0.00075108i,-0.00087811+0.00015105i,-0.00051492-0.00043669i,-6.949e-05-9.345e-05i,-0.00048255-0.00019337i,-0.00064193-0.00058249i,0.00013371-0.00040293i,0.00047977-0.00034721i,0.0001561-0.00047302i,0.00036993-0.00020831i,0.00070678+0.00036147i
0.0021596-0.00022695i,0.002145-0.0006495i,0.002936-0.0016731i,0.0019033-0.0015473i,2.6565e-05-0.00092121i,-0.00030772+0.00027637i,-0.00061011+0.0010356i,-0.0011562+0.00078714i,-0.00065791-0.00016213i,-0.00038753-0.0012248i,-0.0009981-0.0015409i,-0.0007661-0.0011875i,5.8546e-05-0.0016439i,0.00020177-0.0015878i,-0.0005398-0.00066527i,-0.00060961-0.0001389i,0.00011278+0.00061926i,0.0004338+0.00054694i,0.00055737+0.00020463i,0.00097377-0.00020075i,0.00021162-0.00066554i,-0.00099682-0.0006548i,-0.00082043-0.00044905i
0.0025042+0.00083559i,0.0017417+0.00047151i,0.0024103+0.00063279i,0.0017965-0.00032694i,-0.00011983-0.0013645i,-0.00092811-0.0009672i,-6.7101e-05-0.0002658i,0.00030378+0.00016353i,0.00045097-0.00063475i,0.00034084-0.0015813i,-0.00074973-0.0013267i,-0.0015874-0.00065192i,-0.0014602-0.00037932i,-0.0010711-0.00029492i,-0.00092867+0.00047583i,-0.00052327+0.0013645i,7.7131e-05+0.0011119i,0.00012588+0.0003924i,-0.00053104+0.00011778i,-0.0002211+0.00057672i,4.2781e-06+0.00065825i,0.00021693+0.00037658i,0.0007263+7.4052e-05i
-0.00059988+0.0014037i,0.00023906+0.00079154i,0.0011677+0.00085453i,0.0006693+0.00028503i,0.00032781-0.00092264i,0.0005605-0.0013839i,0.00091555-0.0013084i,0.00052505-0.00059071i,8.5568e-05-0.00098649i,-7.3495e-05-0.0015652i,-0.00034447-0.00050399i,-0.00037367+0.00020598i,-0.00072193+0.0001267i,-0.00099438+0.00031042i,-0.0012766+0.00018952i,-0.00094412-0.00011715i,9.532e-06+0.00047412i,-0.00032224+0.00082994i,-0.00033778+0.00048256i,0.00053225-9.0203e-05i,7.7997e-05-0.000194i,-0.00036359-3.6156e-05i,0.00049805-0.00042699i
