-0.001999+0.00099645i,-0.00049474-0.00075586i,-0.00051182-0.0017579i,-0.00065311-0.0013787i,-0.00095441+0.00019511i,-0.0010394+0.0021882i,0.0001511+0.0025503i,0.0016075+0.0012238i,0.0019941+0.00030994i,0.002066+0.00016115i,0.0011387-0.00042109i,-9.3879e-05-0.00072108i,-0.00077803-0.0002252i,-0.0010779-0.00045873i,-0.00052473-0.00037991i,0.00013461-0.00010108i,-2e-05-0.00016542i,3.5491e-05-0.00034943i,-5.5995e-05-5.5916e-05i,1.8656e-05+0.00058354i,0.00056817+0.0004337i,0.00036678+0.00027782i,-0.00022119-0.00034702i
0.00034199+0.0015897i,0.0018314+0.0021009i,0.0020189+0.0018874i,0.0018665+0.00069633i,0.0018718-0.0011352i,0.0017107-0.0012491i,0.0010205+0.00022688i,0.00044323+0.0003042i,0.00050567+5.3113e-05i,0.00052696+0.00015577i,0.00079795-0.0004529i,0.00065476-0.00077863i,0.00022789-0.00022776i,0.00047128-9.4542e-05i,0.00018008-0.00045036i,-0.00072747-0.00064194i,-0.00077654-0.00088128i,0.0001968-0.00048614i,0.00054964+0.00016976i,8.6986e-05-0.00026456i,0.00011558-0.00046892i,0.00010387-8.9534e-06i,-5.8107e-05-6.8241e-06i
-0.00076464-0.00044773i,-0.0009563-0.00013762i,0.00030341-0.0016147i,0.00069731-0.0028393i,0.00030102-0.0012587i,0.00071088+0.0013305i,0.0012669+0.0017568i,0.00092577+0.00097007i,0.00074682+0.001025i,0.00027453+0.00083307i,7.6573e-05+0.00061402i,1.4417e-05-0.00022467i,4.8945e-05-0.0008536i,0.00068064-0.00073099i,0.00062972+6.1321e-05i,-0.00035443+4.5885e-05i,-0.00053083-0.00035816i,-0.00051481+9.8959e-05i,-0.00058628+0.0004076i,-1.717e-05+0.00054799i,0.00054122+0.00062872i,0.00095113+0.00056489i,0.00066706+0.00026355i
-0.00012574-0.00021624i,0.00014474-0.00029231i,-0.00034901+1.8437e-05i,-3.8782e-05-0.00011752i,-0.00014348-0.00088609i,-0.00039854-0.00040281i,0.00071077-0.0002017i,0.0013527-0.00015088i,0.00074253+0.00038314i,3.2822e-05+0.00075196i,-0.00017362+0.0005976i,-0.00041833+0.00034119i,-0.00067592+0.00029128i,-0.00096476+0.0001433i,-0.001754-0.00028922i,-0.0016843-0.0003317i,-0.00067542-1.1647e-05i,0.0001281+0.00038881i,0.00071346+9.583e-05i,0.00099877-9.4961e-05i,0.00045998-0.0003353i,-0.00016659-0.00060726i,-0.00061746+0.00044034i
-0.0015649+0.00090716i,-0.0002926+0.00023485i,0.0005997+0.00047438i,0.0010604-0.00010098i,0.0012877-0.00036815i,0.0010866+0.00057888i,0.00073007+0.00058519i,0.00049088+0.00051823i,0.00053949+0.0011688i,0.00084228+0.0008197i,0.0009365-1.6498e-05i,0.00084052-0.00059432i,4.3168e-05-0.00087515i,0.00026311-0.00046481i,0.0012911-0.00024268i,0.0010697-9.0432e-05i,-6.2167e-05+0.00032127i,-0.00081112+0.00012381i,-0.00068388-0.00018935i,-0.00041882+0.00019803i,-0.00065482+0.00055772i,-0.00067749-0.00019403i,-8.3971e-05-0.00063284i
0.00075081-0.00021992i,0.001493-0.0007243i,0.0019807-0.0014651i,0.000673-0.0023278i,-0.00031956-0.0024075i,-3.1615e-05-0.00066813i,0.00050451+0.00043899i,0.0012948+0.00029438i,0.0016444+0.00081583i,0.0009409+0.0011864i,3.9937e-05+0.00034697i,0.00027434-0.00044814i,1.9521e-05+2.9526e-05i,-0.00071396-7.7355e-05i,-0.00022801-0.0004573i,0.00018277-0.00068244i,0.00027179-0.00048098i,-4.1083e-05-0.00015128i,-0.00068002-0.00018141i,-0.0010323+0.00016349i,-0.00067193-0.00020676i,3.3941e-05-7.1985e-05i,-0.00027627+0.00071011i
0.0017561-0.0003469i,8.3088e-05-0.0011198i,-0.00024066-0.0022538i,-2.4208e-05-0.0029673i,-0.00074471-0.0021085i,-0.00095729-0.00048944i,0.00024573+0.00048626i,0.0012487+0.00019215i,0.00067736-0.0001758i,-6.6168e-05-0.00011614i,-0.00061509-0.00023562i,-0.00032987-0.00058588i,0.00030861+4.0686e-05i,-0.00022896+0.00033201i,-0.00082534+6.4895e-06i,5.2789e-05+0.00012661i,0.00039889-0.00011741i,-0.00022771-7.7113e-05i,-0.00039407-5.4731e-05i,0.00013318+9.5827e-05i,-0.0006063+3.7746e-05i,-0.00068226-0.00039508i,0.00022227+0.00019133i
0.00094783-0.0010307i,0.00096907-0.0026774i,0.00063523-0.0040799i,4.7694e-05-0.0034677i,-0.00062756-0.0023307i,-0.00067123-0.00054293i,-0.00065861+5.6356e-05i,-0.0010121-0.00016891i,-0.00020124+9.649e-05i,0.00016107+0.00081806i,-0.00038937+0.0010597i,-0.0002975+0.00037628i,0.00022105+0.00039097i,-1.3665e-05+0.00036483i,-0.00041664-0.00020949i,-0.00030989-0.00012354i,0.00028546+2.4904e-05i,0.00079667-0.00027387i,0.00037521-3.5635e-05i,4.2176e-05+0.0014642i,-0.00031185+0.0014279i,-0.00047897+1.7378e-05i,-0.00024677+7.9134e-05i
-0.00026035-2.6204e-05i,-0.00084422+0.00040637i,0.0002877-2.609e-05i,0.0015759-0.00056777i,0.0014573+5.3861e-05i,0.0010447+0.00053814i,0.0005279+0.0011023i,0.00078589+0.0011577i,0.0015754+0.00073762i,0.0010998+9.3635e-05i,-2.3725e-05-0.00033663i,-2.3923e-05-0.00066878i,0.00063823-0.0010054i,0.00068087-0.00090769i,-1.6091e-05-0.00015154i,-0.00049381-8.3665e-05i,-7.4915e-05-0.00020692i,0.00026451+0.00013756i,0.00015855+0.00028056i,-2.0376e-05+4.0813e-05i,-0.00043027+0.00049908i,-0.0006068+0.00072203i,-0.00036347+0.00041234i
0.0013749-0.00038907i,0.00012631-9.7792e-06i,0.00074538-0.00039813i,0.00091016-0.0019978i,0.001222-0.0030221i,0.0021571-0.0016439i,0.0019448-0.00050507i,0.0015479-0.00060448i,0.0010674-0.00054513i,0.0007023-0.00028063i,0.00092485-0.00012709i,9.3918e-05-0.00065858i,-0.00025878-0.00083807i,0.00067281-0.00052097i,0.00061954-0.00032319i,0.00022318-0.00053103i,0.00036026-0.00031046i,0.00074609+0.00031179i,0.00085953+0.00096155i,0.00063352+0.00055155i,-0.00011131+0.00019476i,-0.00044616+0.00028665i,-0.00021521+2.7197e-05i
0.00018058-0.0010312i,-4.2783e-05-0.0017581i,0.00097196-0.0028093i,0.00084521-0.003563i,-0.0010548-0.0032606i,-0.0013127-0.0017271i,-8.6438e-05-0.00044817i,0.000136+0.00019424i,0.00041421+0.00027186i,0.00031071+0.00027149i,0.00014566-0.0001392i,0.00044397-0.000281i,0.00086834-3.8999e-05i,0.0016858+0.00030534i,0.0012429+0.00075503i,0.00052719+0.00025675i,0.00012077-0.00022216i,-0.00036715-0.000477i,-0.00033016-0.0002106i,-0.00013003+0.00031392i,-0.000645+0.0013432i,-0.0012823+0.00085307i,-0.00069016-0.00027748i
