0.001245+0.00067153i,0.0012904-0.0011018i,0.001263-0.0021942i,0.00011189-0.0023152i,-0.00056803-0.0014632i,-0.00084995-0.00017692i,-0.0010945+0.00068369i,-0.00050641+0.0015315i,-9.5383e-05+0.0010435i,0.00060648-0.00035142i,0.00046283-0.00074733i,-0.00074805-0.00055937i,-0.00095626-0.00043896i,-0.0006264-0.00067305i,-0.00083645+0.00012271i,-0.0009189+0.0010851i,-0.00049768+0.00049595i,-0.00065853+3.1062e-05i,-0.00046286-0.00038311i,8.3389e-05-0.00062539i,0.00099559+8.5303e-05i,0.0017367+2.6768e-05i,0.0012308-5.291e-05i
-0.0015252-0.0018827i,-0.00063227-0.00075581i,-0.0010038+0.00040282i,-0.0018787+0.00060823i,-0.00095613+0.00050773i,-0.00019329+0.00050554i,-0.00033305+0.00034058i,0.00017926-0.00039843i,-1.3421e-05-0.00092884i,-0.0003377-0.00017468i,-0.00010337+0.00050137i,0.00076749+0.00035134i,0.0010815-0.00041552i,0.00054694-0.00076416i,0.00092002+4.9014e-05i,0.00075336-0.00043874i,0.00014744-0.0012497i,-0.00011877-0.0004384i,-9.1215e-06+9.5955e-05i,0.00097449-0.00041981i,0.00068195-0.00030964i,-0.00024976+0.00040336i,-1.0199e-05+0.00021879i
3.6262e-05-0.00041602i,-0.00026578-0.00071343i,-0.00087142-0.0014609i,-0.00042189-0.0012907i,-2.9846e-05-0.00076066i,-0.00021457-1.459e-05i,-0.00034814+0.00044414i,-0.00082145+0.00044338i,-0.00083985+0.00016607i,-0.00037805-0.00075905i,0.00051841-0.0011022i,0.0012239-0.00091864i,0.00037129-0.00054794i,8.7119e-05+0.00017739i,0.00094682+0.00040051i,0.00040246+0.00028565i,9.303e-05+9.6906e-05i,0.00015173+0.00036581i,-0.00047518-0.00013976i,-0.00035775-0.00021115i,-0.00019349+0.00057107i,-0.00014648+0.00059518i,-4.105e-05+0.0010121i
-0.0009331+0.00014797i,-0.00033431+9.4682e-06i,0.00098314+0.0009341i,0.00096058+0.0014354i,0.00096501+0.00091104i,0.001356+0.0003409i,0.0010353-0.00023854i,0.00021735+1.077e-05i,-0.00072205+0.00092025i,-0.00092656+0.0012418i,-4.1682e-05+0.00088626i,0.00067337+0.0004801i,0.00026146-0.00010989i,-0.00037744+8.2569e-05i,-0.00076393+0.00054293i,-0.00058738+0.00047579i,-0.00051218+0.00058013i,-0.00042239+0.00019953i,1.2839e-05-0.00015709i,0.00041262-6.0775e-05i,0.00051858-0.00042414i,9.5958e-05-0.00041809i,-0.00040673+5.1642e-05i
0.00098272-0.0004563i,-0.00043931+0.00022092i,-0.0014718+0.00053644i,-0.0010228-0.00033732i,-0.00026689-0.00050632i,-5.5953e-05-0.0006908i,-0.00039694-0.00071702i,-0.00046643-0.00041045i,-0.00039273+0.00066556i,0.00017464+0.0013811i,0.00029628+0.0010698i,0.00034101+0.00097422i,0.00057449+0.00030144i,-3.9554e-05-0.00023949i,-0.00020492+0.00010276i,0.00036557+0.00020048i,0.00056875+0.00023535i,0.00050182+0.00021567i,-7.6053e-05+0.00013464i,-0.00080946-0.00015444i,-0.00079183-8.1562e-05i,-0.00059551+0.00011778i,-7.1552e-05-8.6733e-05i
-0.00040022+0.00060586i,0.00039922+0.00040365i,-0.00013428+0.00017651i,-0.00095803+3.7566e-05i,-4.8974e-05+0.00054628i,0.0010669+0.00086695i,0.00053047-9.1651e-05i,0.00029588-0.00073644i,0.00045399-0.00025998i,-5.8268e-05+0.00093625i,-0.00074347+0.0009967i,-0.0007986-0.00079615i,-0.00015082-0.0016989i,0.00046041-0.0014919i,0.00066638-0.0004626i,0.00075381+0.00050292i,0.0010907+0.00041072i,0.0010931-6.2687e-05i,0.00055009+0.00016999i,-1.9613e-05+0.00039782i,-6.4641e-05+0.00029978i,8.4366e-05-0.00019166i,-2.0028e-06-0.0007389i
-0.00037844-0.0018508i,0.00034412-0.0018305i,0.0012012-0.0013517i,0.0015234-0.0017143i,0.0012231-0.0018251i,0.0009042-0.0023969i,0.00046068-0.0019179i,-0.00023015-0.00083604i,-0.00016544-0.00054963i,0.00046934-0.00048987i,0.00064449+0.00055992i,1.8038e-05+0.001441i,-0.00054189+0.0011409i,-0.00077315+0.0004965i,-0.0010504+7.8981e-08i,-0.00079564-0.00011378i,-2.3383e-05-0.00019786i,0.00059432-0.00057879i,0.00056881+0.00021923i,-8.5133e-05+0.00079042i,-0.0003072+8.2187e-05i,-0.00024806+7.7747e-05i,-0.00038441+0.00017433i
-0.0015993-0.00039435i,-0.00084272-0.00054334i,-0.0014413+0.00019388i,-0.0023783+0.00081432i,-0.0028552+0.00058271i,-0.0021298+0.00022869i,-0.00067863-4.8137e-05i,-0.00089633-3.3098e-05i,-0.001427-0.00020549i,-0.00082946+1.1524e-05i,-0.00020729-0.00031315i,0.0002258-0.0010432i,0.00028413-0.00084769i,0.00017672+0.00014824i,-0.00064113+0.00068829i,-0.00036033-8.0528e-05i,-4.6083e-05-0.00042118i,-0.00023256+0.00038253i,0.00025673+0.00082023i,0.00013687+5.1762e-05i,0.00029296+0.00029819i,0.00020086+0.00040938i,-0.00050003+8.5312e-05i
0.0015136+0.00099701i,0.00059607+0.00075652i,0.00015727+0.00040408i,-0.00045237-0.00066166i,-0.00035132-0.0019288i,0.00054252-0.0022995i,0.00075242-0.0013555i,0.00058659-0.00033876i,0.00044366+0.0010577i,0.00014665+0.0011347i,-0.00037589-0.00021378i,-0.00045935-0.0002311i,-0.00049203+0.00049346i,-0.00018877+0.0014563i,0.00060464+0.001137i,0.00031933-0.00023342i,0.00019165-0.00026782i,-0.00044092+0.00039507i,-0.0016693+0.0006158i,-0.00085508+0.00028109i,-4.5294e-05-0.00018778i,-0.00013935-0.0003824i,-0.00043268-1.9059e-05i
0.0009412-0.00096568i,0.0013945-3.8173e-05i,0.0016528-0.00062875i,0.0017651-0.0012725i,0.0014169-0.0010756i,0.00039229-0.0011416i,-0.0005417-0.00092727i,-0.00023932+0.00018168i,-2.0351e-05+0.0006058i,0.00049271-0.00055531i,0.00074574-0.00092541i,-7.4859e-05+8.4428e-05i,0.00034656+0.0014659i,3.8598e-05+0.0014347i,-0.00062562-9.2326e-05i,-0.00048356-0.00072649i,-0.0003752-0.0006378i,2.491e-05-0.00079191i,0.00041885-0.00042745i,0.00048335+0.00031045i,-0.00021007-6.5189e-05i,-5.4721e-05-0.00029169i,-0.00020046-0.00038333i
0.0001019-0.00049323i,-0.0004982-0.00078865i,-0.0018213-0.0017308i,-0.0015454-0.0018242i,-0.0011867-0.0010874i,-0.00041497-0.00032527i,0.00027611+0.00024967i,0.00027335+0.00053081i,-3.0308e-05+0.00063572i,-0.0001084+0.00054045i,0.000261+0.00052373i,-0.0001033+0.00067308i,-0.00035263+0.00011519i,3.3504e-05-0.00034155i,0.00025611-0.0008114i,0.00063781-0.001262i,0.000377-0.00022971i,-3.8741e-06+6.468e-05i,-0.00017426-0.0002085i,-0.0002545-0.0004512i,-6.3447e-05-0.00030821i,-5.9242e-05-0.00017682i,0.00036509-5.9689e-05i
