-0.0020299+0.00058223i,-0.0017275+0.0010562i,-0.0022847+0.0017687i,-0.0024113+0.0020423i,-0.0014882+0.0026808i,0.00081742+0.0021974i,0.0019499+0.0010259i,0.0014062+0.00067893i,0.00087405+0.00066693i,0.0013771+0.00015682i,0.0011606-0.00060255i,0.00057934-0.0011324i,-0.00019485-0.0010018i,-0.00086201-0.00074528i,-0.00099224+0.0001153i,-0.0012832+0.00047787i,-0.0017683-5.0304e-05i,-0.0011009-0.00029216i,2.0292e-05-0.00029383i,0.00029979+3.0264e-05i,0.00069397+6.7339e-05i,0.00070603-0.00031099i,-0.00041148-0.00030714i
0.00045451+0.00038146i,0.00047171-0.00046587i,0.00011067+0.00029904i,0.00031665+0.00045739i,0.00076046-0.00030195i,0.00067897-0.00076641i,0.00028516-0.00047311i,1.8282e-06+0.0005201i,-4.0563e-05+0.00077441i,-0.00027659+0.00075154i,-0.00059906+0.00029752i,-0.00079649-0.00016082i,-0.00040629-0.00029497i,-3.4267e-05+0.00036871i,0.00038831+0.0014351i,0.0011062+0.0016811i,0.00034748+0.0006514i,-0.00062104-0.00021071i,-0.00038813+0.0002789i,-0.00035987+0.00032569i,-0.00033156-0.00011184i,8.022e-05+0.0004086i,-0.00046028+0.00063075i
-0.0013384-0.0020907i,-0.0019401-0.002367i,-0.0017988-0.0017413i,-0.0010552-0.0005646i,-0.00037203-0.00018058i,-8.571e-05+2.6299e-05i,0.00021348+0.00027791i,6.6761e-05+0.0006221i,9.4302e-05+0.00025704i,0.00074139+0.00053227i,0.00038112+0.00052712i,-0.00029762-0.00010171i,-0.00038691-0.00015104i,-0.00027524+0.00014403i,-0.00022502+0.00081184i,0.00036482+0.0010025i,0.00063905+0.0012703i,0.00033129+0.00058033i,0.00085088+2.4772e-05i,0.0013066-1.7945e-05i,0.00057836+7.5922e-05i,0.00012597-0.00015741i,0.00041465-0.00065177i
-0.001052-0.0014449i,-0.0018791-0.00083555i,-0.0019339-0.00012669i,-0.0015313+0.00074136i,-0.00043375+0.00025137i,0.0012977-0.00051112i,0.0011533-0.00069378i,0.00037486-0.0005876i,-0.00017327-0.00034678i,-0.00051766+0.00032668i,-0.00024316+0.00095942i,-7.4328e-05+0.0012259i,-0.00063835+0.0012177i,-0.00058606+0.0010175i,-0.00029433+0.00069202i,0.00012813+0.00066179i,0.00062459+0.00076931i,0.00059285+0.00057231i,0.00050228+0.00049815i,6.3084e-05+0.00010693i,-0.00060531-0.00056922i,-0.00034263-0.00113i,0.00016906-0.00057559i
-0.0019626+0.00085418i,-0.00071204+8.8477e-05i,-0.00041849+0.00010115i,0.00040683+0.00066827i,0.00069902+0.00086874i,0.0001334+0.00036055i,-0.00030179+0.00029949i,-0.00011034-0.0001176i,0.00068076-0.00051114i,0.00063835-0.00022728i,0.00018963-0.00045977i,5.5431e-05-0.00058804i,-0.00050067-0.00061093i,-0.00052438-0.00040877i,-0.00014726-0.00013249i,-0.00016537+0.00035625i,-0.00041436+0.00044094i,-0.00082888+0.00054001i,-0.00095803+0.0010253i,-0.00056196+0.00056163i,6.0529e-05+0.00046959i,-1.9904e-05+0.00084858i,0.00047362+0.00034204i
-0.001474+0.0014125i,-0.00079704+0.0021766i,-0.0004815+0.0026848i,0.00011024+0.0027266i,0.0014443+0.0021618i,0.0018848+0.00010121i,0.0011592-0.00091801i,0.00029196-0.00078171i,0.0002973-0.00083727i,0.00035982-0.00057547i,-7.9751e-06-0.00036293i,-6.6169e-05-0.00026402i,-0.00017072-0.00062267i,-9.2678e-05-0.00085647i,0.00063272-0.00057454i,0.00087326+5.998e-05i,0.0001984+0.0001359i,6.1109e-05+0.00022073i,-0.00046104+0.00064891i,-0.00025069+0.00041001i,0.00019399+0.0006986i,-0.00039899+0.0010718i,-0.00015957+0.00098356i
-0.00013258-0.00025922i,7.8462e-05-0.00029782i,0.00088647+0.0002086i,0.0016994+0.00021838i,0.00084635+0.00039777i,0.00011981+0.00029698i,0.0001413-0.00054877i,-0.0001257-0.00049033i,-0.00044701+0.0001968i,-0.00054985+0.0002659i,1.0863e-05+0.00045134i,0.00030994+0.00044307i,0.00030065+0.00039754i,0.00048941+0.00060786i,0.00068851+0.00096975i,0.00031485+0.0012097i,-0.00069904+0.00041545i,-0.00077953-0.00027365i,-0.000392+0.00020547i,-0.00035028+0.00042058i,-0.00018026+0.00037733i,-0.00033379+0.00034544i,-0.00055557+0.00027368i
0.0019789+0.00020531i,0.00080952-0.0004124i,-8.2519e-05-0.00070745i,3.8046e-05-0.00018291i,0.00074283+0.00014432i,0.00064571-2.3178e-05i,-5.2461e-05+0.00027226i,6.5412e-05+0.00076092i,0.00018436+0.00042903i,-0.00016733+0.00054548i,0.00031325+0.00066315i,0.00016149+0.00093332i,-0.00043164+0.0012011i,0.00023232+0.00033061i,0.0011354-0.00064027i,0.00076295-0.0002785i,-0.00035454+0.00056815i,-0.00036849-8.9692e-06i,-0.00026675-0.00051891i,-0.00057445-0.00063494i,-0.00096658-0.00012607i,-0.00099875+0.00075393i,-0.00056001+0.00051503i
-7.3518e-09+0.00014987i,4.5931e-05-0.00097527i,-0.00018653-0.0025395i,-0.00039085-0.0018318i,-0.00088529-0.0012162i,-0.0012195-0.0018077i,-0.0010639-0.00075284i,-0.0010334+2.6907e-05i,-0.00099002-0.00053614i,-0.00033162-0.00067662i,-3.9143e-05-7.0258e-05i,-0.00041442+0.0001811i,-0.00060807+0.0006145i,-0.00039814+0.00056759i,-8.9542e-06-2.3209e-05i,0.00016355-0.00015144i,4.8109e-05+0.00035214i,-0.0003078+0.00025803i,-5.7081e-05+0.00045804i,0.00033624+0.00073898i,0.00079402+0.00028284i,0.00083811+0.00036514i,0.00066898+0.00076284i
-0.0017039-0.00095348i,-0.0021923+0.00081883i,-0.0024123+0.0022563i,-0.0016726+0.0019922i,-0.001053+0.001636i,-0.00025931+0.00069456i,8.1109e-05-0.00015467i,-0.0002466+0.00011775i,-0.00018121+0.00057731i,-0.00020401+0.0010273i,-0.00021194+0.0013485i,-0.00018417+0.00032297i,-3.6616e-05-0.00043265i,0.00018769-6.0636e-05i,7.2699e-06+0.00038043i,-0.00051835+0.00087601i,-0.00065763+0.00036829i,-0.00085932-0.00020296i,-0.00054759+0.00014691i,0.00050046+0.0010123i,0.00077079+0.0013327i,0.00058041+4.8351e-05i,0.00039267-0.00056528i
0.00070528-0.0014552i,0.00056527-0.0014761i,0.0003625-0.0016704i,0.00062656-0.0016205i,0.00027792-0.00061244i,1.217e-05-5.3076e-05i,3.489e-05-0.00080994i,-4.571e-05-0.0016101i,-0.00013058-0.0007841i,-0.00042492+6.2055e-05i,2.4563e-06+0.00042792i,0.00030635+0.00057331i,4.3167e-06+0.00070997i,0.00035841+0.0011543i,0.00016256+0.00058666i,0.00029161-0.00055049i,0.00061088-0.00026374i,7.3814e-05+0.00016661i,-0.00032009-0.00022105i,-0.00088591-0.00038025i,-0.0013927+3.9389e-05i,-0.0011206-0.00040752i,-0.00031989-0.00068664i
