6.8443e-05-0.001173i,-0.00057295-0.0013426i,-0.00065225-0.0016615i,-0.0020042-0.001377i,-0.0047148-0.0010147i,-0.005844+0.00047569i,-0.0045328+0.0019005i,-0.001875+0.0027113i,-0.00025697+0.0031044i,0.0001739+0.0025175i,0.00033822+0.00071474i,0.00043557-1.7367e-05i,0.00023014-0.00012674i,-0.0004758-0.00022555i,-0.00056683+0.00031113i,-0.00057305+0.00048021i,-0.0012166+2.6993e-06i,-0.00094618-0.00076579i,-7.9812e-05-0.00070536i,-0.00020558-0.00028042i,-0.00015163-0.0003492i,0.00080178+0.00026728i,0.00078146+0.0010912i
-0.00012386+0.0008201i,-0.00019992+0.00094366i,0.00073474+0.00061626i,0.00077408+0.00047813i,-0.00036407+0.0006189i,-0.0012391+0.0007988i,-0.0012988+0.0011976i,-0.0003472+0.0016809i,5.2072e-05+0.0020584i,0.00025962+0.0014551i,0.00016142+0.0005405i,-0.00016539+0.00027421i,-0.00023586+0.00033271i,-0.00028984+0.00040863i,3.7393e-05+0.00016018i,0.00013842-0.00094406i,-0.00021314-0.001017i,-0.0010591-0.00029604i,-0.0012024-6.4956e-05i,-0.00094695-2.3265e-05i,-0.00069008+0.00019036i,4.0563e-05+0.00074432i,-7.8258e-05+0.0004871i
-0.0013545-0.00088393i,-0.0003042-0.00081122i,8.9003e-06-0.00048538i,-0.00031194-6.4097e-05i,-0.0013424+5.1146e-05i,-0.0026277+0.00043379i,-0.0019567+0.0012889i,-0.00057045+0.0021974i,-0.00028625+0.0022742i,-0.000435+0.0011659i,-0.00038566+0.0001554i,-7.6922e-05-0.00049818i,0.0001917-1.4811e-05i,-0.00050697+0.00026772i,-0.00056774-0.0004124i,-0.00027399-9.4054e-05i,-0.00083347-0.00014069i,-0.00068894-0.0004431i,-0.00017321-0.00022507i,-0.0008227+0.00047555i,-0.0008583+0.0009734i,3.4173e-06+0.00081343i,0.00062441+0.00034224i
-0.00050957+0.0020887i,-0.00025+0.00046398i,0.00063456+9.7406e-05i,0.00082097-3.5498e-05i,-0.00015394-0.00012657i,-0.00063076-0.00025514i,-0.00052417+0.00090822i,-0.00064573+0.0018619i,-0.0009694+0.0021314i,0.00024545+0.0014528i,0.0012233+0.00014631i,-8.2467e-05+0.00011247i,-0.00092384+7.4427e-05i,-0.00070848+3.2182e-05i,-0.00068536-0.00034834i,-0.00076037-9.6666e-06i,-0.0005316+0.00016438i,-0.00043994-0.0003211i,-0.00031438-0.00059739i,-1.3953e-06-0.00019292i,0.00025936+0.00079036i,0.00070179+0.0010228i,0.00019914+0.0012138i
0.00096387-0.0011573i,-0.0002823-0.00033677i,-0.00068482-0.0004231i,-0.0020262+0.00011158i,-0.0039556+0.0009036i,-0.003376+0.0012337i,-0.001994+0.0016901i,-0.0009521+0.0013996i,-0.00033067+0.0009725i,-0.0003785+0.00086573i,-0.001177+0.00029758i,-0.0014772-0.00038439i,-0.00016557+0.00028128i,0.00045291-4.164e-05i,6.0898e-05-0.0007875i,4.8293e-05-0.0011591i,0.00038549-0.00065602i,0.00019767+0.00060672i,0.00014063+0.0003223i,0.00060183-0.00081999i,0.00012557-0.00051168i,-0.0006329+0.00025808i,-0.00032726+7.1534e-05i
-0.0013849-5.6673e-06i,-0.0014719+0.00027817i,-0.00021038+0.0005715i,0.00027794+0.00032592i,-0.00066976+0.00077358i,-0.0014091+0.0013564i,-0.001701+0.0012i,-0.0015925+0.0010103i,-0.000732+0.00094092i,0.00010479+0.0015091i,9.5075e-05+0.0019615i,-0.00062075+0.0012377i,-0.0005454+0.00054536i,-7.5789e-05+0.00024066i,-0.00013113+0.00032565i,-0.00037991+0.00050181i,-0.00019726+0.00082292i,-0.00023677+0.0010711i,-0.00099232+0.00020467i,-0.00075735-0.00075466i,1.2702e-06-2.8287e-05i,0.00029552+0.0001788i,0.0002466-0.00046011i
0.00022706+0.0012481i,0.0010636+0.00022315i,0.0011732-4.5867e-05i,0.0011506-0.00047672i,-0.00030729-0.00032406i,-0.0019276+0.00068049i,-0.0016969+0.0022704i,-0.0010162+0.0029368i,-0.00020963+0.0019575i,0.00052654+0.0016691i,0.0003655+0.0010686i,-2.9718e-06+0.00011751i,0.00038435-7.7648e-05i,0.00063585+0.00044078i,0.00013574+0.0006616i,-0.00058038+0.00025179i,-0.00070827-0.0001745i,-0.00068874-7.8626e-05i,-0.0007442-0.00015771i,-0.00024979-0.00062737i,8.796e-05-0.00097663i,0.00025491-0.00060019i,-0.0002209-0.00019315i
-0.0009225-0.00039058i,-0.0012328+0.00032408i,-0.001252+0.00082426i,-0.001658+0.00098325i,-0.0030735+0.00071909i,-0.0029896+0.0015834i,-0.0018865+0.0021779i,-0.0013861+0.0016232i,-0.0015882+0.0011784i,-0.0012779+0.0013469i,-0.00018909+0.0011887i,0.00046324+0.00080157i,-0.00038693+0.00022246i,-0.00095656-0.00056685i,-0.00098442-0.00036319i,-0.00072389-0.00021397i,-0.00019988-5.3358e-05i,7.3689e-05+9.1342e-05i,-1.264e-05-0.00033883i,-0.00043809-0.0005107i,0.00038373-0.00037342i,0.00098871+0.00060324i,0.00045801+0.00084155i
-0.00033374-0.0011926i,-0.00024013-0.0020026i,-0.0011559-0.0013177i,-0.0025347-0.00065491i,-0.0031552+7.6098e-05i,-0.0024338+0.0009258i,-0.0012523+0.001411i,-0.00017294+0.0019569i,-0.00043992+0.0020969i,-0.00093613+0.0015607i,-0.00039485+0.00034871i,-0.00031731+0.00033087i,-0.0002115+0.0009344i,-0.00050895-0.00014725i,-0.00056451-0.0014823i,-0.00037216-0.0015912i,-0.00048684-0.00081902i,-0.00017237-0.0006053i,-0.00017265-0.0011228i,-0.00027383-0.0010966i,0.00038219-0.00018635i,0.0014857+0.00028373i,0.0012773+0.00050671i
-0.0013097-0.00035986i,-0.001728+0.0010339i,-0.0002224+0.00091438i,-0.00059433+0.00046198i,-0.0024673+0.000496i,-0.0029597+0.0015981i,-0.002112+0.0022019i,-0.00048356+0.0025537i,0.00071712+0.002282i,3.8946e-05+0.0009868i,-0.00090872-0.0002317i,-9.6513e-05-4.8975e-05i,0.00068357+0.00094106i,0.00072062+0.00099749i,0.00045716+0.00086244i,0.0005228+0.00070106i,0.00013979+0.00016304i,-0.00034876-0.00027665i,-0.00011283-0.00013395i,0.00036792+0.00049873i,0.00049584-0.0001149i,-1.2567e-05-0.00064835i,-0.00028184-0.00065007i
0.00071815+0.0022162i,0.0017084+0.00077634i,0.0016879-0.00031783i,0.00047576-0.00089705i,-0.0012757-0.00018076i,-0.0019609+0.0013603i,-0.0017589+0.0023373i,-0.0012057+0.002344i,-0.00056806+0.001519i,-0.00028468+0.001179i,0.00071835+0.00033301i,0.00013698-8.0773e-06i,-0.00078104+0.00045834i,-0.00084456-0.00022183i,-0.00055936-0.00099277i,-0.0003416-0.0012471i,-0.00087626-0.00099132i,-0.0012799-0.00061704i,-0.00095197-0.00019735i,-0.0002018-8.0824e-06i,0.00029439-0.0003749i,0.00027609-0.00058372i,0.0002652-0.00010169i
0.00039085+1.1135e-05i,0.00053553+0.00049623i,-2.09e-05-7.4511e-05i,-0.0005533-0.00050485i,-0.001788+0.00031031i,-0.0025423+0.00044644i,-0.0017403+0.00053797i,-0.0011243+0.0010128i,-0.00053043+0.00097914i,0.00017785+0.00048099i,0.00051924-0.00011505i,0.00046935-0.00014751i,2.2773e-05+0.00024178i,0.00042123+0.00032764i,0.00067389+0.00024251i,0.00031539+0.00033685i,-0.0005801-0.00028419i,-0.0011196-0.00066128i,-0.00067981-0.00022146i,-0.00032067+0.00032735i,-0.00046519+0.00077015i,-0.00082394+0.001031i,-0.00047163+0.00067003i
-0.00025722+0.00057256i,0.00029105+0.00071992i,0.0010642+0.00067146i,0.0015337+0.00056035i,-0.00011854-2.3815e-05i,-0.0023278-8.8214e-05i,-0.0019083+0.0016341i,-0.00062001+0.0023892i,-6.8541e-05+0.0016212i,0.00087895+0.00074992i,0.00093814+0.00029269i,2.2982e-05+0.00064918i,-0.0006736+0.00060945i,-0.00020606-0.00050171i,6.5343e-05-0.00075474i,-0.00018417+5.2369e-06i,0.000156+0.00050613i,-0.00024559-0.00017933i,-0.00061676-0.0001304i,0.00075915+5.0791e-05i,0.0011364-0.00099803i,6.9599e-05-0.0010384i,-0.0005288-4.6434e-05i
-0.00012395-0.00084509i,6.948e-05-0.0014568i,-0.0011741-0.0015241i,-0.0029551-0.001279i,-0.0035489-0.0018111i,-0.0031362-0.0011499i,-0.0019467+0.00048306i,-0.00029034+0.0015766i,0.00035402+0.0015802i,0.00055845+0.0014994i,0.00013626+0.0013236i,-0.00087648+0.00038994i,-0.00039865-0.00058049i,0.00011029-0.00068102i,0.00010877+8.0129e-06i,0.0004356+0.00020387i,0.00017238-0.00038746i,-0.00068025-0.00023234i,-0.0013087-0.00057322i,-0.0010994-0.0011033i,-0.0001853-0.00081776i,0.00038904-0.00069186i,0.00075147-0.00062668i
0.00075916+0.00056435i,0.00097235-0.00025836i,0.0009726-0.0015148i,0.00062945-0.001924i,-0.000123-0.00093968i,-0.00060288+0.00085362i,-0.00028858+0.0019666i,-0.00060893+0.0017713i,-0.0011921+0.00092666i,-0.0014745+0.00070694i,-0.00076506+0.00085059i,0.00033887+0.00046728i,0.00058534-0.00031156i,0.00015043-0.00076512i,1.5333e-05-0.00081496i,5.4708e-05-0.00084419i,-0.00061329-0.00094465i,-0.00039636-0.0006823i,-0.00014071-0.00025648i,-0.00048651+0.00023122i,-0.00062636+0.00047746i,-0.00074125+0.00049894i,-0.00037193+0.00069973i
0.00079662-0.00077345i,0.00078628-5.4719e-05i,0.00018109+0.00043323i,-0.00075157+0.00059512i,-0.0022769+0.00057182i,-0.0035143+0.0015133i,-0.0028931+0.002551i,-0.00063277+0.0022254i,0.00059575+0.00085971i,0.00057014+2.2997e-05i,0.00058744+0.0001271i,0.00016404+1.0111e-06i,0.00028352-0.00037058i,0.00064639-0.00022454i,8.5214e-05-0.00026582i,-0.00022176-0.0012202i,0.00011162-0.0019578i,0.00024869-0.0011873i,-0.00010811+0.0001641i,-0.00053962+0.00088435i,-0.00060773+0.00023194i,-0.00013802-0.00069833i,4.3664e-05-0.0010628i
-0.00022993+0.0002116i,0.00033304+2.3476e-06i,8.4266e-05-0.00058541i,-0.00099986-0.00032435i,-0.0026904+0.00053204i,-0.0035609+0.00061864i,-0.0020909+0.0013455i,-0.00014235+0.0017462i,0.00025308+0.00078884i,0.00054421-0.00036709i,0.00035685-0.00010374i,-0.00072896+0.00073978i,-0.00080216+0.0008065i,0.00030143+0.00046492i,0.00019446-0.00049507i,-0.00073809-0.00046851i,-0.001001+0.00034302i,-0.00091145-0.00036985i,-0.00055701-0.0011038i,0.00019312-0.0007667i,0.00079657+4.2273e-05i,0.00040297+4.319e-05i,0.00012268-0.00039638i
-0.00061684-0.00078954i,-0.00039038-0.00032816i,-0.00084827-0.0005564i,-0.0005682-0.00067916i,-0.0016345+0.00011284i,-0.0026032+0.00075181i,-0.001042+0.0018077i,0.00022861+0.0024417i,-0.00041567+0.0016593i,-0.00058034+0.00088873i,0.00026277+0.00052758i,0.00022547-3.9535e-05i,-6.3833e-05-0.00028296i,0.00023706-0.00049421i,0.00023348-0.00065063i,9.0698e-05-0.0012411i,1.0465e-07-0.0013658i,6.7451e-06-0.0007594i,-7.4358e-05-0.00098664i,0.00045566-0.00056698i,0.0003561+0.0003649i,-0.00047902+0.00028328i,-0.00054858-0.00010733i
-0.0023433+0.0011003i,-0.0025088+0.00045883i,-0.0019751+0.0005702i,-0.0019827+0.0012302i,-0.0026542+0.0013047i,-0.0028797+0.00053643i,-0.0018752+0.00038933i,-0.0010537+0.00036486i,-0.00058395+0.00035716i,-0.00022619+0.00037011i,-0.00025052-0.00012294i,-0.00050435-0.00061521i,-0.00045287-0.00047287i,-0.00018141-0.0003276i,-7.8637e-05-0.00019908i,-0.00010006+6.973e-05i,-0.00067288+0.00032409i,-0.00081056+0.00040996i,-0.00020443+0.00062598i,-0.00043235-1.5043e-06i,-0.00062004-0.00073058i,-3.4272e-05-0.00053243i,-0.00024786+0.00020375i
-0.0017698-0.00079936i,-0.0020976-0.00072347i,-0.0015197+0.00018631i,-0.0012885+0.00068094i,-0.0018145+0.00031471i,-0.0021327+0.00093648i,-0.0017059+0.0022746i,-0.0013915+0.0029746i,-0.0016999+0.0022685i,-0.0013945+0.0014081i,-0.00047482+0.00085317i,2.1967e-05+0.00012225i,-0.00022323-0.0001332i,-0.00064254-7.7795e-07i,-0.00055788-0.00022849i,-0.00083194-0.00049797i,-0.00091664-0.00062595i,-0.00088584-0.0010662i,-0.00075564-0.0010707i,-0.00014547-0.00013619i,0.0006538-2.2374e-05i,9.5679e-05+7.7743e-05i,-0.00093691+0.00061447i
0.0008503+0.0015766i,0.00096368+0.0020891i,0.0012246+0.0016912i,0.0015698+0.0010923i,0.00012046+0.00092169i,-0.0022161+0.00066935i,-0.003144+0.001575i,-0.0017397+0.0020824i,-2.3353e-05+0.0017389i,0.00028143+0.0021257i,-0.00025884+0.0016599i,-0.00058011+0.0010493i,-0.00071798+0.00086779i,0.00013387-2.0086e-05i,0.0003649-0.0010689i,-0.00021909-0.00068397i,3.2682e-05+0.00042898i,3.5368e-05+0.00060692i,0.00038356+0.00029659i,0.00065036-0.00048353i,-4.6949e-05-0.0012272i,-0.00026097-0.00088169i,-0.00035059-0.00024734i
7.9577e-05+0.00082978i,0.00052254-8.6038e-05i,0.00014332-0.0010303i,-0.0016122-0.0016829i,-0.002795-0.0012298i,-0.0029553-8.2817e-05i,-0.0022015+0.00067717i,-0.001015+0.0010997i,-0.0009874+0.0013465i,-0.00076079+3.4901e-05i,0.00023461-0.00084111i,0.00023829-0.00063189i,-0.00056976-0.00054181i,-2.4472e-05+3.1648e-05i,0.00020104+0.00029934i,4.2162e-05-0.00057756i,0.00022031-0.0012135i,2.5806e-06-0.00062819i,-0.00010881-0.0004449i,-0.00017851-0.00087671i,0.00011018-0.00098729i,0.0002255-0.00019862i,0.00017852+0.00010658i
0.00048466-0.00068265i,0.00047414-0.0014427i,0.00027878-0.0016868i,-0.00070217-0.000991i,-0.0021115-0.0005733i,-0.002402+0.0010346i,-0.0016388+0.002009i,-0.0012508+0.0018882i,-0.0012729+0.0017525i,-0.0010435+0.0014534i,-0.00081093+0.00058875i,-1.1881e-05+0.00031782i,0.00062381+0.00045582i,0.00063367+0.00013081i,-4.0243e-05-1.5651e-05i,2.0337e-05+0.00024573i,0.00023256+0.0001694i,0.00016365-0.0003381i,-1.7092e-05-0.00072749i,-0.00062529-0.00089132i,-0.00066016-0.00041597i,-8.5203e-05+0.00024896i,-0.00025251+0.00024938i
-0.0002323+0.00043792i,0.0008605+0.00077043i,0.00064788+0.0014821i,-0.00048801+0.0019595i,-0.0023609+0.0010864i,-0.0031872-7.4159e-05i,-0.0021069+0.00011441i,-0.00018562+0.0011974i,0.00036455+0.0017623i,0.00047274+0.001539i,0.00071546+0.0016691i,0.00028091+0.0013866i,-0.00068835+3.6192e-05i,-0.0010919-0.0006946i,-0.00028472-0.00038751i,0.00018485-4.2697e-05i,-7.4949e-05+0.00077762i,-0.00013032+0.00053218i,-1.9576e-05-6.2039e-05i,0.00017142+0.00053481i,0.0002367+0.00067225i,0.00047559+0.00084463i,0.00018055+0.001256i
0.00014609+0.0021321i,-0.0003412+0.0017394i,-0.0009752+0.00092561i,-0.0003915+0.00046401i,-0.00038038+0.00011464i,-0.0016663+0.0003574i,-0.0025639+0.0017886i,-0.0017431+0.0023872i,-0.00080182+0.0016649i,-0.00016903+0.0010536i,0.00015597+0.00093885i,-0.00014167+0.00056297i,-0.0010956+0.00056224i,-0.0013777+0.00094876i,-0.00084792+0.00096798i,3.4463e-05+0.00052481i,0.00049584-0.00010549i,-0.00019281-5.099e-05i,-0.00085611-0.00032422i,-0.00039505-0.0008167i,0.00049137-0.00045305i,-4.3451e-05-4.0012e-05i,-0.00035713-0.00057145i
0.0010467+0.000693i,0.00056352+0.00029636i,0.0011853-0.00029961i,-3.0365e-05-0.00074254i,-0.0025442-0.00075585i,-0.0038412+0.00014853i,-0.0026303+0.0018163i,-0.00064286+0.002553i,-6.76e-05+0.0020353i,-8.2236e-05+0.0012887i,1.2694e-05+0.00027104i,-0.00065374-0.00050416i,-0.0013682-0.00038302i,-0.0013287+0.0001053i,-0.00080962-3.0232e-06i,-0.00055347-0.00076243i,-0.00052245-0.0014945i,-0.00088063-0.0017256i,-0.0014116-0.0011451i,-0.0011002-0.00040257i,-0.00084129-7.5535e-06i,-0.00032033-2.276e-05i,0.00031648+0.00038858i
