6.6541e-05+3.996e-05i,-0.00037521-0.0012116i,-0.0016988-0.0017802i,-0.0019756-0.00084996i,-0.0014551-0.00026861i,-0.0010365+0.00054858i,-0.00081289+0.0011288i,0.00013385+0.0014234i,0.00068635+0.0014276i,0.00061934+0.00042911i,0.00039548-0.000401i,0.00034837-0.00056324i,-0.0003941-0.00044166i,-0.0011407-0.0007477i,-0.00076608-0.00049747i,-0.00024042-0.0001818i,7.5875e-05+8.0982e-05i,-3.077e-05+0.00038847i,0.00038084+0.00020741i,0.00067362-0.00011411i,0.00015315-0.000799i,0.00035037-0.00072345i,0.00049893-0.00046775i
-0.0015141+0.00057563i,-0.00095467+0.00011827i,-0.00094114+0.0013005i,0.00011704+0.0017739i,0.0010835+0.00046763i,0.0010505-0.00066214i,0.00012688+0.00018256i,5.2375e-05+0.00063612i,0.00032572+0.0005369i,2.5495e-05+0.00077056i,1.6268e-05+0.0004666i,0.00034498+8.3354e-05i,-0.00019802-0.00022872i,-0.0010757+0.000218i,-0.00083915+0.000875i,-0.00029054+0.00051488i,-1.6743e-05-0.00075451i,0.00054636-0.0010868i,-4.9686e-05-0.0004066i,-0.0011551-0.00045003i,1.531e-05-0.0011227i,0.001156-0.0010053i,0.00074226+0.00013442i
-0.00063877+0.0019462i,0.00016522+0.0014832i,0.0008186+0.0022134i,-4.3335e-05+0.0023523i,-0.00022075+0.0013808i,3.7246e-05+0.00016451i,9.4779e-06-1.3547e-05i,0.00034341+0.00038074i,0.00050767+0.00076918i,0.00069948+0.00010482i,0.0012639-0.00021933i,0.000986+0.00058509i,0.00021792+0.00065496i,-0.00036989+0.00044397i,1.5372e-05-0.00042443i,0.00034935-0.00054505i,-6.4531e-05+0.00012975i,-0.000168+0.00011923i,0.00017584+3.9175e-05i,-5.5016e-05-0.00036634i,-0.00033341-0.00046255i,0.00019941-0.0002306i,0.00050457-0.00027627i
0.0019583+0.0012304i,0.0028973+0.0006032i,0.0029027+0.00037142i,0.0011477+0.00012819i,0.00023826-0.00064441i,0.00025425-0.0015725i,-0.00025222-0.0012956i,-0.00050615-0.00016828i,-0.00022642+0.0003512i,-0.0002328-0.00049784i,-2.3257e-05-0.00073135i,-0.00019067-0.00035191i,-0.00053696-7.4995e-06i,-0.00034176-0.00061793i,0.00037572-0.0012167i,0.00064836-0.00056576i,0.00089669+0.00040146i,0.0014486+0.00031617i,0.0012229-0.00072352i,0.00071429-0.00045161i,0.00027261+0.00031457i,-0.00074344+0.00015024i,-0.00032231-0.00017759i
-0.00079785+0.00021362i,-0.00097553+4.2333e-05i,-0.0007997-0.00016154i,0.00020046-0.0001224i,0.00034469+0.00013418i,-0.0011421-0.00061359i,-0.0017413-0.00087774i,-0.00028623-0.00060918i,0.0014875-0.0004612i,0.0016283-9.7091e-05i,0.00077352+2.7508e-06i,0.0005462+0.0002191i,0.00046122+0.00017529i,-8.805e-05+0.00036058i,-0.00019951+0.00072942i,8.8421e-05+0.00033627i,-0.00027295-0.00038673i,-0.00030416-0.00053821i,0.0001789-0.00039813i,0.00055848-0.00035029i,0.00036001+2.9057e-05i,7.2229e-05-8.4356e-05i,-2.1841e-05-3.0256e-05i
-0.00031009+0.0012971i,-0.00030167+0.00094174i,-0.0012901+0.0011395i,-0.00035734+0.0015313i,0.00052413+0.0011742i,0.00045451+0.00015i,0.00017558-4.0434e-05i,-3.2111e-05+0.00029838i,0.000413+0.0005049i,0.00093371+0.00013122i,0.00011889-0.00045597i,-0.00090253-0.0008133i,-0.0010848-0.00051345i,-0.00083166+0.00016087i,-0.00016482+0.00063656i,0.00027822+0.00027849i,0.00022947+5.5578e-05i,0.00018566-3.8137e-05i,0.00042036-0.00071225i,0.0005602-0.00078076i,0.00084506-5.8921e-05i,0.00085147-5.7838e-05i,0.00040835-7.7103e-05i
0.00019462+0.00083623i,-0.00076465+0.00057159i,-8.7577e-05+0.00043503i,0.00071862+0.00029472i,0.00082489-1.5666e-05i,-7.4195e-05+0.00018928i,-0.0010419+0.00073031i,-0.00086658+0.0004315i,0.00035056-0.0002185i,0.00072797-0.00042258i,-0.00038205+0.00017889i,-0.00037278+0.00042962i,0.00025741+6.9351e-05i,0.00011627-0.00084447i,0.0006191-0.0010357i,0.00023447-0.00062872i,-0.00067315-0.00063443i,-0.00025422-0.00017029i,0.00017881+0.00019733i,-0.0002853+6.7212e-05i,-0.0006474-0.00031876i,-0.00041851-0.00048784i,-0.000178-4.7737e-05i
0.001393-0.00077864i,-0.00018931-0.00059946i,-0.00061565-0.0010611i,-0.00055133-0.001343i,-0.00057695-0.00090654i,-0.00075232-0.00051194i,-0.0012082-0.00012251i,-0.0014462+5.4451e-05i,-0.00092106-9.4895e-05i,-0.00033641-2.6824e-05i,2.1698e-05-1.6778e-05i,0.00061877-0.00045498i,0.00059198-0.00061674i,0.00031911-5.5739e-05i,0.00076062-0.00011476i,0.00054609-0.00034966i,2.2688e-05-7.4838e-05i,-0.00010183-0.00080209i,2.1229e-05-0.0013641i,-0.00055044+0.00026744i,-0.00081591+0.00095278i,-0.00029213+0.0002174i,0.00017937+1.222e-05i
0.00068187-0.00055778i,6.4209e-05-0.0003834i,0.00011887+0.00020956i,-7.7784e-05-6.5805e-05i,-0.00088978-0.00011992i,-0.00055326+0.00069198i,0.00027443+0.0010726i,0.00061814+0.0010821i,0.00051417+0.00035964i,-0.00021256-0.00022932i,-0.00078362-0.00027795i,-0.00020244+1.0527e-05i,0.00049288+0.00078972i,4.2082e-05+0.00083682i,-0.00048315+0.00092173i,-0.00048961+0.0010188i,-0.00013605+0.00092829i,5.7966e-05+0.00023759i,0.00030442-0.00045821i,6.6583e-05-0.00030445i,1.4356e-05+7.4428e-05i,-3.5616e-05-3.8345e-05i,-0.00055996-0.00094665i
0.0004066-0.00042033i,-0.00023189-0.0010458i,-0.00091099-0.0015847i,-0.00095522-0.00079663i,-0.00015911+0.00025751i,0.00043871+1.3488e-05i,0.00055326-0.00052528i,0.00052913-0.00028323i,0.00015912-0.00030657i,-0.00023735-0.00048868i,-0.00073871-0.00068389i,-0.0010233-0.00031698i,-0.00081016+3.9979e-05i,0.00016121-0.00045963i,0.0010425-0.0003058i,0.00098058+0.00019713i,-1.7908e-05-0.00037072i,-0.00039547-0.0010401i,-0.0005223-0.00055833i,-0.00022626-0.00020799i,7.6651e-05+9.4274e-05i,-0.00047649-5.478e-05i,-0.00078207+1.1475e-05i
-0.00091603-0.00053825i,-0.0001433-0.00029678i,0.00022477+0.00016221i,-0.00031202+0.00023688i,-0.00049503+0.00082526i,0.00012941-0.00018587i,0.00034299-0.00055122i,0.00018183-2.7019e-05i,0.0006074+0.00035907i,0.001214+5.807e-05i,0.00082351-0.00076385i,-0.00021722-0.00073664i,-0.0012827-0.00036708i,-0.0014655+0.00019437i,-0.00072576+0.00033791i,0.00018023-0.00035428i,0.00022651-5.663e-05i,-5.3491e-05+0.00067781i,-0.00034222+0.00065386i,-0.00082746+0.00025578i,-0.00042498-0.00016577i,0.00052978-0.00020325i,0.00040846+0.00012779i
-0.0005589-0.00029422i,-0.0017862+0.0010948i,-0.0024131+0.0012676i,-0.0016934+0.0012048i,-0.0015485+0.0014023i,-0.0010194+0.0016468i,4.2418e-05+0.0007503i,-1.1049e-05-0.00029305i,8.1699e-05-0.00047961i,0.00084804-0.00044995i,0.00037465-0.00059701i,0.00030436-0.00020724i,0.0010803-0.00040587i,0.00043778-0.00046673i,-0.00068547+4.6085e-05i,-0.0011509-0.00017689i,-0.00046811-0.00040761i,0.00063914-0.00028423i,0.00070537-4.3088e-06i,0.00046654-0.00038494i,0.00069138-3.0538e-05i,0.00092299+0.00065621i,0.0006523+0.00071587i
0.0010043-7.0088e-05i,0.00057233-0.0006848i,0.00068545+9.0099e-05i,0.00094225+0.00052982i,0.00088234-0.00054437i,0.00031495-0.0015538i,6.2533e-05-0.0014903i,-0.00011487-0.00050134i,0.00039797-0.00043164i,0.0013169-0.00072588i,0.00083262-0.00045286i,0.00010293+0.0002229i,0.00029235+0.00075133i,-0.00031983+0.00037315i,-0.00085593-0.00046858i,-0.00051042-0.00016665i,-0.00022762+0.00050958i,-0.00020506+0.00028675i,-0.00040685-0.00039132i,-0.00053435-0.00060803i,-0.00088844-1.6746e-05i,-0.00042266+0.00079495i,0.0002109+0.00088711i
0.00025546-0.00029799i,-0.00031194-0.0011003i,0.00047374-0.0022047i,0.00081519-0.0014466i,0.00079469+0.00030063i,0.00082894+0.00063207i,0.00074659+0.00032739i,0.00096509+0.00067684i,0.0010976+0.0013468i,0.00044911+0.00057929i,-0.00017401-0.00049141i,-0.00066299-0.00032432i,-0.00044803-4.8803e-05i,0.00043154+0.00017497i,0.00016902+0.00057843i,-0.00081437+0.00043998i,-0.00089159-0.00025594i,-0.00031786-0.00037424i,-4.2525e-05-9.3119e-05i,-7.4108e-05-0.00062123i,-0.00016084-0.00041147i,-2.0777e-05+7.0069e-05i,0.00017389+0.00028396i
-9.4991e-05+0.0010913i,-0.00037682+0.00023243i,-0.00038172-0.00081723i,-0.00053141-0.00072669i,-4.1802e-05-0.00018364i,0.00057985-0.00081952i,0.0010043-0.0012614i,0.0012848-0.0014711i,0.00065483-0.0014363i,0.00041611-0.0011489i,0.00031266-0.00012248i,0.00026204+0.00074547i,0.00090018+0.00076136i,0.00039248+0.00056711i,-0.00026892-0.00029448i,-4.0647e-05-0.00035547i,0.000414-0.00018258i,0.00071957-0.00035616i,0.00060386-0.00023132i,0.00016177-0.00032321i,-0.00015649+0.00012154i,-2.811e-05+0.00022138i,0.00019803+0.00043187i
0.00083462-0.0008741i,-0.00021741-0.00091042i,-0.00064448-0.00041939i,-0.00016315-0.00043158i,-0.00051192-0.00039265i,-0.0012184+2.1545e-05i,-0.0012772+0.0001375i,-0.0012063-0.00010094i,-0.00098744-0.00023114i,-0.00037409-0.0004568i,-0.00038618-0.00071385i,-0.00044501-0.00088058i,7.7893e-05-0.00065875i,-0.00010623+0.00019102i,-0.00052418+0.00048773i,-0.00013395+0.00070584i,0.00026252+0.00071115i,0.00022164+0.00026695i,0.00053853+0.00017978i,0.00040161+0.00037627i,-0.00013227-0.0005501i,-0.00023741-0.00092446i,0.00029499-0.00031487i
-0.00038384+0.0002141i,-0.00034072+0.00042273i,-0.00064426+0.00026528i,-0.00073144+0.00023831i,-0.00080767-0.00034331i,-0.00041195-0.00069983i,-0.00015321-4.8624e-05i,6.2944e-05+9.7109e-05i,-8.073e-05-0.00048854i,-0.00017765-0.0012531i,4.6266e-05-0.0012872i,0.00069252-0.00058695i,4.1035e-05-0.00067347i,-0.0011065-0.0004251i,-0.00066662-0.0001863i,0.00044333-0.0011306i,0.0010716-0.0010175i,0.0012627-0.00079905i,0.0011338-0.00050804i,-0.00021878+0.00074622i,-0.00096401+0.00079258i,-0.00097177+0.00013328i,-0.00088596-0.00033533i
-0.00023138+0.0013263i,-0.00084818+0.0008171i,-0.0015164-5.8379e-05i,-0.0015636-0.00023761i,-0.00023146+0.00048264i,0.00066984+7.271e-05i,-5.8291e-05-0.0011091i,-0.00054563-0.00079119i,-9.7683e-05-0.00021459i,0.00019984-0.00028891i,0.000395-0.00026346i,0.0004909+0.00014443i,-1.4502e-05+0.0003473i,-0.00045114+1.9877e-07i,-0.00035407-0.00025533i,-0.00055605+3.3879e-06i,-0.0007454+0.00026649i,-0.00033226+0.0005328i,5.2631e-05+0.00032353i,0.00056987+0.00010217i,0.00038558+0.0002525i,0.00053419+0.00093382i,-8.2537e-05+0.0012743i
-0.00079572-0.0016745i,-0.0010593-0.00092423i,-0.0013604-0.00041642i,-0.0012694+0.000171i,-0.00056913+0.00066971i,-0.00014812+0.00060194i,6.9387e-05-0.00038767i,-0.00054495-0.0010631i,-0.00045847-0.001354i,0.00069825-0.0013676i,0.0012874-0.00085493i,0.0010068+0.00013787i,0.00020514+0.00064409i,-9.5255e-05-4.0257e-05i,0.00010936-0.00021332i,-0.00015242+0.00049482i,-0.00019341+0.00091027i,0.00043011+0.00086932i,0.00042037+0.00057405i,0.00013914-5.3067e-05i,0.00035704-7.8207e-05i,0.00055424+0.00080812i,0.00091623+0.00023006i
-0.00017396+0.0025283i,-0.00048912+0.0026199i,-0.00042771+0.0024614i,0.00093134+0.001406i,0.0019717+6.0654e-05i,0.0013798-0.00043345i,-0.00015987-0.00092601i,-0.00098545-0.00078743i,-0.00069877+0.0005293i,0.00032306+0.00016909i,0.0016842-0.00078841i,0.001367-0.00031524i,1.3306e-05-0.00027918i,-0.00052457-0.00040688i,-0.0010313-0.00030261i,-0.0012297-0.0002361i,-0.00072606+0.00044641i,9.1459e-05+0.00029773i,-0.00020327-0.00030294i,-0.00079826-3.2798e-05i,-0.00073011+0.00068075i,-0.00063578+0.00091002i,-0.0010573+0.0011396i
-0.00065093-0.0015016i,-0.0013751-0.0011984i,-0.0020428-0.00057404i,-0.0019766+0.00022395i,-0.00098386+0.0010186i,-0.00011879+0.00060619i,-9.3245e-05-0.00050759i,-4.6957e-05-0.00081148i,0.0002143-0.00069044i,8.5171e-05-0.00074503i,0.00033426-0.00040644i,0.00068462-0.00020934i,0.00049821+2.1604e-05i,-0.00029202-2.4845e-05i,-0.00048872-0.00035167i,-0.00017358-0.00075239i,-0.0001028-0.00060497i,-0.00028735-0.00055576i,-9.822e-05-0.00030723i,0.00019527-0.00024997i,0.00034428-0.00032731i,1.168e-06+1.471e-05i,-0.0012744+0.00039308i
-0.00089274+0.0010152i,-0.00035897+0.001408i,-0.00024527+0.0018454i,0.00024088+0.0021235i,0.0015269+0.0021524i,0.0017682+0.00034818i,0.00099374-0.0016024i,-0.00010519-0.0010976i,-0.00014156-0.00035659i,0.00077716-0.00049834i,0.0009359+0.00045929i,-6.4569e-05+0.00051819i,-0.0009678-0.00038429i,-0.0008668-0.00069076i,-0.0004199-0.00027024i,-0.00071538+9.7234e-06i,-0.0011963-0.00033563i,-0.00089839-0.00011294i,0.00012941-0.00020539i,0.000865-0.00049211i,0.001025-0.00053131i,0.0004566-0.00025641i,-1.8061e-05+0.00042565i
-0.0018798+8.7128e-05i,-0.002684+0.00064883i,-0.0047461+0.0011948i,-0.0035481+0.0010736i,-4.2428e-05+0.0010607i,0.001128+0.00073943i,0.00016845+0.00030737i,-0.00013403+0.00072217i,-4.9545e-05+0.00070854i,-3.7204e-05+0.00053078i,-0.00011953+0.00062316i,-0.00021799+0.00063745i,8.5131e-05+8.2442e-05i,-0.00012579-0.00075453i,-0.00066052-0.0010915i,-0.00071678-0.00055939i,-0.00064851-0.00020753i,-0.00027696+0.00044424i,0.00022748+0.0010463i,0.00071628-0.00032488i,0.001239-0.0010051i,0.00086492-0.00071995i,-0.0001104+0.00048996i
-0.0009481+0.0005368i,-0.0005776+0.0015589i,-0.00031915+0.0015638i,-0.00049112+0.00066653i,-0.00097747-0.00027386i,-0.0013336-0.00029247i,-0.0010559-0.00046697i,-0.00044798-0.00030141i,-0.00016274-4.8614e-06i,2.5743e-05-0.0005894i,0.00033718-0.00051305i,-9.9985e-05+5.7351e-05i,-0.00055701+0.00032593i,-0.00010336+0.00011747i,6.67e-05+0.0001707i,-0.00028003-0.00013041i,8.889e-06-0.00036797i,0.0002109-0.00015477i,-0.00028624+0.00025443i,-0.00047232-0.00015362i,-9.3368e-05-0.00062763i,2.958e-05-0.00027425i,6.0001e-05+0.00022555i
-0.001213-0.0015858i,-0.0014211-0.0011646i,-0.002346-0.0012436i,-0.0021005+0.00014991i,-0.0012321+0.0012539i,-0.00035687+0.00058732i,0.00020258+0.00026554i,8.7954e-06-1.2035e-05i,-0.0001092-0.00064652i,0.00040395-0.00041635i,-0.00038119-0.00044406i,-0.00089255-0.00068694i,-0.00043303-0.00091307i,0.00018447-0.00064723i,0.00051501-0.00021149i,0.00023973+0.00016016i,2.3907e-05+0.00089903i,-8.5668e-05+0.00097819i,-0.00031327+0.00035573i,-3.6709e-05+0.00032638i,9.943e-05+0.0002048i,5.3282e-05-0.00039874i,-0.0004427-0.00041697i
-8.4946e-05-0.00026083i,0.00064925-0.0002521i,0.0007848+0.00069595i,-0.00015849+0.0015853i,-0.0010824+0.0011182i,-0.00087658+0.00026619i,0.00036089-0.00026094i,0.00090928-0.00059178i,0.00077863-0.00065685i,0.0010297-0.00030796i,0.00099933-0.00059907i,0.00076656-0.00062238i,-5.3449e-05-0.00020884i,-0.0012446-8.3177e-05i,-0.00064683+4.8336e-05i,0.00049945+4.4216e-05i,0.00010796+0.00036475i,-0.00018367+0.00093598i,-0.00053154+0.0011302i,-0.00055109+0.0009905i,-0.00040733-0.00025636i,-0.00014996-0.0014215i,0.00027334-0.0005916i
