-0.00084717+0.00097599i,-0.00080571+0.00031736i,-0.00044188-0.00058499i,-0.00071495-0.00080002i,-0.00019635-0.00076308i,0.0002852-0.00044683i,7.5141e-05+0.0003771i,0.00058513+0.0012034i,0.00081459+0.00073355i,0.00040955+0.00037592i,0.00026453+0.00067229i,0.00015828+0.00077245i,-0.0003636+0.0012341i,-0.0005917+0.0010556i,-0.00040592+0.00038339i,5.8232e-05-0.00010775i,0.00077633-0.0010542i,0.00086909-0.0013793i,0.00082559-0.0010183i,0.00092991-0.00064098i,0.00063893+8.0885e-05i,-0.00030808+0.00063591i,-0.00043999-0.00028708i
-0.00087483+0.0013757i,0.00010942+0.0017746i,0.00041082+0.0015486i,0.00099182+0.0012019i,0.00071682+0.00090939i,0.00035208+0.00018956i,-0.00012748+0.00017893i,-0.00028221-0.00029977i,-3.1189e-05-0.0021514i,0.0005027-0.0015421i,0.00066675+4.4209e-05i,0.0002339+0.00015788i,-4.8235e-05+0.00030996i,-0.00010681-0.00019181i,-5.7894e-05-0.00049767i,-0.00028382-0.00025568i,-0.0007119-0.0011788i,-0.00013864-0.0017863i,0.00049465-0.0014635i,0.00023447-0.00074214i,-0.00079743-0.00019003i,-0.0010719+0.00023522i,-0.00067091+0.00019228i
-0.00035931+0.000323i,-0.00031152-0.00022911i,-0.00027491-0.0022218i,-0.00014301-0.0024366i,0.00018268-0.0012224i,0.00067315-0.00082273i,0.00061092-0.00018753i,0.00049863-0.00043403i,0.00037373-0.0008812i,-0.00014688-0.0010015i,-0.00029546-0.0010396i,-0.00014684-0.00097657i,-2.4472e-05-0.00053089i,0.00020838-0.00043806i,-9.8116e-05-0.0002377i,-0.00065391+0.00017701i,-0.00036709-0.00033001i,0.0008369-0.0012564i,0.00035147-0.0013097i,-0.00057892-0.00059717i,-0.00032463+0.00017765i,-0.00054009+0.00065383i,-0.00089377+0.00071544i
0.0041014-0.00091924i,0.0034404-0.0029154i,0.0037099-0.0050401i,0.0021386-0.0050754i,-0.00040915-0.00459i,-0.0010296-0.0038441i,-0.00089847-0.0017676i,-0.00029826-0.00056589i,0.00063039-0.00028704i,0.00010607-0.0010899i,-9.0983e-05-0.0018048i,9.1346e-05-0.00070301i,-0.00063876+0.00060739i,-0.00025546+0.0010237i,0.00090138+0.00091099i,0.0010421+0.00030917i,0.00037667-0.00060724i,2.2074e-05-0.0012022i,-0.00052526-0.0011678i,-0.00076154-0.0012624i,-0.00058015-0.0011447i,-0.00082107-0.0012008i,-0.00099432-0.00052298i
0.00090963-0.00094876i,5.4154e-05+3.5132e-05i,-0.00036639+0.0011719i,-0.00031658+0.00096497i,-5.2143e-05+0.00024768i,0.00017124+9.4666e-05i,0.00010631+0.00065728i,9.5057e-05+0.0010675i,0.0002986+0.00086023i,0.00010549+0.0006323i,-0.00048367+0.00022571i,-0.00062461+0.00024897i,-0.00022967+0.00010269i,0.00029147-0.00034141i,0.00056753+0.00023414i,0.00080724+0.00051442i,0.00085024-0.00016573i,-2.8396e-05-0.00010472i,-0.00096774+0.00038239i,-0.001123-8.032e-05i,-0.00049645-0.00063685i,-0.00035323-0.00042071i,-0.00023369-0.00085677i
0.0012537+0.0011384i,0.00088843+0.0014614i,0.00063755+0.00080854i,0.0016821-0.0013272i,0.0025341-0.0025074i,0.0013515-0.0013574i,0.00034127-0.00017594i,0.001218-2.355e-05i,0.0010671+6.1245e-05i,0.00041844+0.00043816i,0.00047615+0.00023166i,0.00020405-0.0004396i,-0.00043358-0.00069618i,-0.0010394-0.00035167i,-0.00073856+2.4138e-05i,0.00014247+0.00013332i,0.00098496+0.00033912i,0.00040512-7.153e-05i,-0.0001039-0.00054996i,-0.00023381+4.2873e-05i,-7.5324e-05-0.00024153i,0.00043461-0.00045282i,0.00067055+8.4639e-05i
-0.0019211-0.0010645i,-0.0020478+4.1162e-05i,-0.0022939-0.00042946i,-0.0022471-0.0012186i,-0.0012524-0.00027566i,-0.00013066+0.0012852i,5.7465e-05+0.0014722i,-0.00070717+0.0010464i,-0.00088124+0.00032443i,-0.00018379+0.00059692i,0.00050082+0.00067406i,0.00091447+8.6084e-05i,0.0011856-0.00068802i,0.00040463-0.00096441i,-0.00036823-0.00060283i,-0.00025546-0.0005095i,-0.00023851-0.00022117i,-0.00014149-0.00014519i,-0.0001543-0.0012861i,-0.00034429-0.0015725i,-0.000387-0.00070286i,-0.00033232-6.8598e-05i,1.3355e-05+0.00029896i
-0.00087077+0.00016191i,-0.00016523+0.00053473i,0.00040542-0.00090212i,0.00088639-0.00085402i,0.00057083-0.00016424i,-0.00043242+3.2173e-05i,-0.00060912+0.00078142i,0.0008954+0.0004535i,0.0017928-7.9965e-05i,0.00061289+0.00034102i,-0.00055534+0.00053868i,-0.0011299-0.00015335i,-0.00084826-0.00024789i,0.00012002-0.00017313i,0.00065372-0.00082401i,0.00053319-0.0015179i,0.00020077-0.0015676i,0.00039206-0.00079815i,0.0008156+0.00032929i,0.00038999+0.00055268i,0.00012497-0.00016149i,0.00022913-0.00030868i,0.00038218+9.6866e-05i
-0.00098355+0.0013785i,-0.00024668+0.0024759i,0.0019499+0.0031646i,0.0026082+0.0024396i,0.0017499-0.00030047i,0.0011705-0.0013174i,0.00010034-0.00047215i,-0.00042616+0.00017677i,-0.00039409+0.00034983i,-0.00029446-8.3287e-05i,-0.00024769-0.00062611i,-0.0001997-0.00068124i,0.00050926+0.00029611i,0.00086867+0.0010559i,0.00045421+0.00082506i,0.00024109+0.00021316i,-9.4299e-05-0.00075266i,-0.00017617-0.0017421i,0.00057502-0.0014087i,0.00074658-0.00041228i,-0.00019468-0.00038761i,-0.00040162-0.0012424i,8.5171e-05-0.00071014i
0.0010274-0.00045453i,0.00015351-0.00083254i,-0.00041928-0.001369i,-0.00077576-0.0015836i,-0.00083856-0.0010932i,-0.00077289-0.0003166i,-0.00089713-2.9589e-05i,0.00020003-0.00071261i,0.001161-0.00090281i,0.00075052-0.00064849i,3.143e-05-0.00054115i,-0.00068204-0.00023415i,-0.00066197+0.0004966i,-8.9804e-05+0.0008697i,-0.00020184+0.00020606i,0.00015933-0.00076146i,0.00094999-0.001511i,0.00069015-0.0014898i,-0.00016275-0.001089i,-0.00040323-0.00067155i,0.00014212+0.00041434i,6.3151e-05+0.00075142i,-0.00023924-2.5938e-05i
-0.0011794+0.0020049i,0.00098244+0.0033244i,0.0028862+0.0035546i,0.003473+0.0027178i,0.0036643+0.0015902i,0.002968+0.00048801i,0.0012591+1.4947e-05i,0.0003486+0.00085981i,0.00020559+0.0015569i,0.00021541+0.0010115i,-0.00029007-0.00013636i,-0.00032345-0.00070522i,-0.00044606-0.0007592i,9.6695e-05-0.00060314i,0.0010251-0.00077038i,0.0011321-0.0006587i,0.0010737-0.00078932i,0.00017636-0.001046i,-0.00054016-0.0012515i,-0.00022769-0.0014595i,-0.00049589-0.0016492i,-0.00054324-0.0014637i,-0.00044267-0.00040846i
0.00098102+0.0012021i,0.00083005+0.00089267i,0.0014286-0.00033912i,0.0010266-0.0013849i,4.5508e-05-0.0018208i,6.9655e-05-0.0011874i,0.00016814+0.00026108i,0.00020223+0.0010902i,0.00023703+0.0011618i,0.00074447+0.00061056i,0.0012378-7.9054e-05i,0.00080184-0.00017315i,-0.00036962+0.0004729i,-0.00094238+0.00087447i,-0.00022893+0.0006265i,0.0010673+0.00052074i,0.0011394-0.00031627i,0.00015294-0.0017491i,-0.00056856-0.0011496i,-0.00012904-0.00043092i,0.00026761-0.00076605i,-8.9671e-05-0.00067863i,-0.00030112-0.00034084i
-0.0014607+0.00064358i,-0.00072156-6.8433e-05i,-0.0010845+0.00067308i,-0.00090453+0.0018084i,-0.00026284+0.0018362i,0.00053849+9.322e-05i,0.0010424-0.00061096i,0.001111+0.00019904i,0.00081559+0.00097561i,0.00020485+0.0013294i,-0.0003458+0.00080895i,-0.0006253+5.8367e-05i,-0.00098574-0.00010301i,-0.0012025+0.00028388i,-0.00037596-0.00039911i,5.2755e-05-0.0012326i,-0.00015021-0.00080929i,4.8024e-05-0.00074365i,0.0008939-0.00055836i,0.00082972-0.00037596i,0.00037861-0.00084845i,0.00020389-0.00066089i,-0.00043275-0.0004313i
0.0018547+0.0015435i,0.0021278+0.00094243i,0.001225+0.00073822i,0.00060209-0.00056213i,0.00045905-0.0017313i,-0.00074934-0.00096007i,-0.0011096+0.00063384i,0.00038463+0.00097122i,0.00076808+0.0011679i,0.00029233+0.001446i,-2.1869e-05+0.00040746i,-0.00022848-0.00021735i,-0.00020104+0.00075597i,-7.3124e-06+0.00043761i,-0.00031077+0.00022787i,2.8045e-06+0.00038823i,0.00013007-0.0006213i,-0.00017745-0.0015124i,-0.00024513-0.0019745i,0.00025452-0.0018902i,0.00025162-0.0004259i,8.0299e-05+0.00046745i,0.0002949+0.0011606i
-0.00065789-0.00057915i,-0.0011931-0.0012042i,-0.00078747-0.0012686i,0.00095301-0.0009637i,0.0016741-0.00039162i,0.00051958-0.00053516i,-0.00036139-0.00077882i,-0.00026824-0.00089477i,0.00051507-0.00067415i,0.00041657-3.5266e-05i,-0.00054081+0.00014712i,-2.685e-05+0.00038437i,0.00026612-0.00030661i,-0.00053608-0.00061042i,-0.00018552-0.00028962i,0.00021086-9.4e-05i,0.00066271-0.0003753i,0.00090651-0.00098292i,0.0003029-0.001183i,0.00013109-0.0010648i,-0.00012211+1.9794e-05i,-0.00066214+0.0011534i,-0.00028422+0.0012551i
0.00062245-0.00090848i,-0.00020896-0.00025321i,-0.0002832-0.00060262i,-0.0011175-0.0020254i,-0.0019921-0.0017143i,-0.0009364-0.00074281i,0.00042213+4.2937e-05i,0.00062612-0.00036621i,0.0004894-0.0014117i,0.00018348-0.0019905i,-6.5582e-05-0.00118i,0.00035121-0.00040819i,0.00045448-0.00017049i,0.00028939+0.00010853i,0.0004821+0.00019604i,0.00052422-0.00050929i,0.00021486-0.0011758i,0.00046623-0.0011092i,0.00017441-0.0012791i,-0.00033133-0.00062965i,1.8883e-05+0.00021947i,0.00013409-0.00014422i,-0.00049489+2.4015e-05i
-0.00017956+0.0013722i,0.00044882+0.0013369i,0.0011057+0.00087515i,0.0014376-0.00011834i,0.0012136-0.0011338i,5.5211e-05-0.0014498i,-0.00024535-0.00052642i,0.00066413-0.00020708i,0.00090338-0.00035387i,0.00052194+0.00019247i,0.00073143+0.00019413i,0.00021119+0.0002676i,-0.00017396-0.00063715i,0.00081629-0.0013262i,0.0014173-0.00061859i,0.0013311-0.00069919i,0.0011952-0.00056377i,0.0012195-0.00015315i,0.00066798-0.00022743i,0.00026525-0.00031665i,-0.00010246-0.00062709i,-0.00042702-0.00024257i,-0.00010671+0.00060169i
-0.0003496+0.0017604i,-0.00029409+0.00074985i,-0.00017755-8.1164e-05i,0.00067947+0.00023978i,0.00088592-0.00047726i,0.00074372-0.00019804i,0.00062687+0.0010236i,0.0010058+0.00098725i,0.00063037+0.00074115i,-0.00016466+0.00062688i,-0.00080661+0.00041131i,-0.00070884+0.00028393i,-0.00012191+0.00097838i,-0.00031933+0.0011261i,-0.00056709-0.00027257i,-0.00027063-0.0010121i,0.0003693-0.00024933i,0.00042886+0.00023085i,-7.671e-05-0.00018064i,-0.00063843-0.00062955i,-0.0009544-0.00092512i,-0.00020761-0.00040452i,0.00015386+0.0006001i
0.0007835+0.00047738i,0.0005969-0.00021511i,0.00057924-0.0011117i,8.7912e-05-0.0019909i,-0.00052825-0.0020043i,-0.0012193-0.00098543i,-0.00063418+0.00066671i,0.00045731+0.0017558i,0.00075434+0.0013947i,-0.00050374+0.00012406i,-0.0012396-0.00015675i,-0.0016315+0.0010794i,-0.0016384+0.0016518i,-0.00046661+0.00054966i,0.00038088+0.00022668i,0.00062119+0.00051623i,0.00069551-0.00057405i,0.00083302-0.00090833i,-5.67e-05-0.00021628i,-0.00025567+3.5971e-05i,-2.7744e-05-0.00040951i,-0.00043351-0.00042382i,-9.8654e-05+0.00042526i
0.0018163-0.0014066i,0.0016364-0.0025285i,0.0014906-0.0020426i,0.00046679-0.001381i,-0.00038229-0.0013599i,-0.0010361-0.00090152i,-0.00056172+0.00036526i,0.0012172+0.00059665i,0.0016715-0.00041224i,0.00068359-0.00055264i,0.00041393+0.00032262i,-0.00030536+0.00059429i,-0.0011498-6.4278e-05i,-0.00046154-0.0004241i,0.00027518-0.00044642i,0.00016538-0.00025985i,-9.7621e-07-0.0010261i,0.00032017-0.0013599i,-0.00010054-0.00063042i,-0.00045108+5.4175e-05i,-0.00028142+0.00062229i,-2.1518e-05+0.00023861i,-0.0003859-2.9037e-05i
0.0012313+0.0015069i,0.0024388-1.7617e-05i,0.0029485-0.00033423i,0.0019087-0.0006705i,0.00073946-0.0011696i,0.00011288-0.0011421i,-1.0483e-05-0.00050028i,0.00013426+0.00012875i,0.00069583+0.00037021i,0.0010211-0.00041681i,-5.7244e-05-0.00043444i,-0.00057962+0.00041497i,-0.0003205+0.00080554i,-0.00066543+0.00085733i,-0.00084482+0.0011587i,0.00021765+0.0013528i,0.0010844+0.00072877i,0.00028914-0.00021014i,-2.3725e-05-0.0010392i,6.8118e-05-0.0010263i,-0.00030579-0.00047028i,-0.00014832-0.00017552i,0.00016398-0.00086914i
-0.0004375+0.0010111i,3.8618e-05+0.00090069i,0.0010807+0.00093362i,0.0017113+0.00050848i,0.0016415-0.00095946i,0.00048694-0.0017741i,-6.0764e-05-0.00072819i,0.00032659-0.00012211i,9.4721e-05-5.477e-05i,-0.00026351-7.6835e-05i,-0.00018429-0.00043604i,0.0001912-0.00087895i,0.00043136-0.00086689i,0.00049861-0.00020541i,0.0009515-4.4939e-05i,0.0012833-0.00060402i,0.00093709-0.0012991i,0.00057609-0.0010565i,0.00083738-0.00060053i,0.00031137-0.00051935i,-0.00083539-0.0004499i,-0.00057623-0.00041539i,0.00035866-0.00045096i
-0.0017847-0.0014981i,-0.0021136-0.0016159i,-0.0013305-0.0018658i,-0.00025061-0.0012049i,-0.00032147-0.0008102i,-0.00041076-0.00010762i,-0.00045991+0.00041067i,-9.2363e-05-0.00036263i,-0.00017224-0.00079776i,-0.00055258-0.00059138i,0.00031748-0.00025843i,0.00078966-0.00042995i,0.0010085-0.00039793i,0.00093218-0.00068152i,0.0003676-0.0010573i,0.00078279-0.00093917i,0.0011998-0.00058326i,0.0010271-0.00074115i,0.0012563-0.0013586i,0.00057949-0.0012472i,-0.00066298-0.00079629i,-0.00055853-0.00060029i,-0.00015788-0.00074137i
0.00022393-0.00027059i,0.0013517-0.00093192i,0.0018308-0.0021392i,0.0016455-0.0020125i,0.0010577-0.00075893i,0.00059417+0.00013585i,0.00082317+0.00072808i,0.00055358+0.00015832i,6.6317e-05-0.00053629i,6.4031e-05+0.00025385i,7.1467e-05+0.00035418i,-2.8918e-05-0.00021673i,4.9022e-05-0.00060485i,4.7647e-05-0.00091238i,0.00017589-0.00080834i,0.00012384-0.00065933i,0.00012466-0.00042958i,0.00011623-0.00074754i,0.00010628-0.0014508i,-0.00012969-0.0012671i,-0.00055783-0.00028677i,-0.00048264+0.00034828i,-0.00037542+0.00092996i
-0.00041127-0.00076598i,-0.0010109+0.00018053i,-0.0017365+0.00042158i,-0.00096225-6.5584e-05i,-0.0004576-0.00017021i,-0.00015326+0.00097821i,0.00056147+0.0020359i,0.0013673+0.0016995i,0.00040458+0.0008481i,-0.00058134+0.00023191i,-0.00021985+0.00048418i,0.00011753+0.0012214i,-0.00015836+0.0010137i,-0.00044446-1.1275e-05i,-0.00027552-0.00083057i,4.7472e-05-0.0010246i,0.00043232-0.0009146i,-0.00020121-0.0014057i,-0.00073958-0.0019445i,-0.00013245-0.0014529i,-0.00027152-0.00029914i,-0.00081717+0.00055822i,-0.00097647+0.00033334i
0.0024131-0.0012183i,0.0011061-0.0021065i,0.00020819-0.0026892i,-2.5212e-05-0.002417i,-0.00010955-0.0017214i,-0.00060454-0.00036097i,-0.0011754+0.0010076i,-0.00024284+0.0012259i,0.00083817+0.00072295i,0.00069154-0.00044204i,0.00019315-0.00038473i,-0.00080244-0.00014114i,-0.0013288-0.00010216i,-0.0010016+0.00037635i,-0.0010047+0.00028365i,-0.00067804+3.1934e-05i,0.00018092-0.00055782i,0.00087366-0.00044408i,0.0015562+2.8783e-05i,0.001104+0.00024827i,8.3052e-05+7.7926e-07i,0.00045995-0.00087739i,0.00061297-0.0010583i
0.001575-0.00032555i,0.0027359-0.00058519i,0.0034277-0.0012013i,0.0019842-0.0010799i,0.00017928-0.0015393i,-0.00053728-0.00052046i,-0.00069973+0.00099388i,-0.00019339+0.0012647i,0.00025775+0.0011668i,0.00042424+0.0011002i,-0.00018525+0.00059671i,-0.00054731+0.00021044i,0.00012646+6.1219e-05i,0.0010637+0.00087225i,0.001973+0.0011463i,0.0015721+0.00069131i,0.00081906+0.00044759i,0.00096965-0.00013121i,0.00081147-0.00062531i,0.0007633-0.00053889i,0.0008046+5.8743e-05i,0.00085012-0.00014296i,0.00049679-0.0004071i
4.5132e-05+0.0021242i,0.00035+0.0023717i,0.0010088+0.0016164i,0.0011872+0.0008316i,0.001036-9.9421e-05i,0.00035662-0.00057819i,-3.8716e-05+0.0005062i,-0.00026949+0.0016679i,0.00017336+0.0017445i,8.359e-05+0.00034224i,6.3245e-05-0.00072636i,-0.0004599-0.0001018i,-0.00079582+0.00083459i,-1.2222e-05+0.00090209i,0.00069428+0.00063309i,0.0004903-0.00025287i,0.00088096-0.0013175i,0.0017002-0.0011325i,0.0016542-0.00030588i,0.0012255+0.0002205i,0.00014971+0.00039077i,-0.0001782+0.000427i,0.00015253+0.0001918i
0.0004817+0.00023926i,4.0252e-05+0.00046264i,0.00079339+0.0001301i,0.0016146-0.00072261i,0.0016733-0.0011041i,0.00098758-0.00092221i,0.00026024+2.7126e-05i,0.00015957+0.00026901i,0.00018308-0.00090897i,0.00040727-0.0011113i,0.0010653-0.00041078i,0.0010475+7.6446e-05i,0.00041073+0.00067003i,0.00029906+0.00069313i,0.00058288+2.4627e-05i,0.00029701-0.00097687i,-8.4289e-05-0.0013899i,-0.00024419-0.0014749i,0.00011977-0.0014342i,0.00024494-0.0014935i,0.00021124-0.0015858i,-0.00016545-0.00024947i,-0.0005317+0.00057397i
0.00059192+0.00047192i,0.0016528-0.00013176i,0.0030707-0.00098522i,0.0026756-0.0027455i,0.0011057-0.0033167i,-0.00042045-0.002799i,-0.00079014-0.002195i,0.00016269-0.0012307i,0.0011099-0.0005354i,0.001189-0.00074936i,0.00079849-0.0012864i,-7.8772e-05-0.0014472i,-0.00085942-0.0011951i,-0.0013066-0.0010382i,-0.00090022-0.0011424i,-0.00060395-0.0012174i,-0.00053616-0.0010691i,-6.3294e-05-0.0010247i,0.00034457-0.0014924i,-0.0002598-0.0017013i,-0.0007916-0.0015662i,-0.0010376-0.00082537i,-0.0012657-0.00024204i
-0.0012828+0.00014112i,-0.0011987+0.0016766i,-0.0011287+0.0016209i,-0.00042026+0.001337i,0.0010955+0.0014089i,0.0014497+0.0020164i,0.0006585+0.0016021i,0.00047995+0.00043918i,0.00074815+0.00018967i,9.3517e-05+0.00049489i,-0.00065328+0.00053722i,-0.00051389-0.0002661i,-0.00013375-0.0012406i,-0.00014378-0.0008504i,-0.0012974-0.00018574i,-0.0014602-0.00041433i,3.9052e-05-0.00092355i,0.00090833-0.0010496i,0.00085227-0.00094116i,0.00035267-0.0011054i,-0.00032465-0.00095485i,-0.0004496-0.00040968i,-0.00098884-3.6082e-06i
-0.0011806-0.00041119i,-0.001162-4.5943e-05i,-0.00011713+0.00049037i,2.7564e-06+0.0009024i,9.919e-05+0.0020643i,0.00049088+0.0019177i,2.5047e-05+0.0014764i,-0.00041124+0.0012251i,-0.0004945+0.0012964i,-0.00053212+0.0016411i,-0.00079454+0.00079757i,-0.000938-0.00037361i,-0.0012285-0.00089897i,-0.0013518-0.00024885i,-0.00088688+6.1898e-05i,-0.00015203+0.00026404i,-6.3449e-05+0.00028309i,-0.00017515-0.00011684i,0.00039443-0.00029442i,0.0011475-0.00071185i,0.0013219-0.00025237i,0.00071098+0.00019618i,3.2141e-05+0.00021089i
