-0.00068778+0.00036722i,-0.00065564+0.00063596i,-0.0012813-7.4086e-05i,-0.0015594-0.00065991i,-0.0017341-0.00068802i,-0.0015033+0.0010716i,-0.0010138+0.0025077i,-0.00027499+0.0019745i,0.00048095+0.00079343i,0.00020333+0.00032571i,-0.0002202+0.00071278i,0.00020978+0.00072855i,0.00074232-0.00028197i,-0.00026756-0.0011889i,-0.00043233-0.0015683i,0.00030733-0.001385i,-1.3696e-05-0.00088609i,-8.1699e-05-0.00034509i,0.00085052+7.408e-05i,0.0007496-0.00027242i,6.4226e-05+0.00030827i,-2.839e-05+0.00058469i,9.88e-05+0.00049162i
0.00071756+0.00068032i,0.0017483+0.00056714i,0.0015809+0.0013101i,0.00038812+0.0011288i,-0.00013345+0.00023468i,0.0010784-0.0004634i,0.0013141-0.00022679i,0.00099785+0.00097055i,5.1606e-05+0.00068428i,-0.00068241-0.00082334i,-0.00019054-0.0011963i,-0.00038922-0.0011536i,-0.00077163-0.00081163i,-0.0011199+0.00033736i,-0.00030836+0.0010331i,0.00033172+0.0011296i,-2.3879e-05+0.00024668i,-0.00018452-0.00062742i,-0.0001697-0.000482i,-0.0001316-1.5986e-05i,-0.00020375+1.7627e-05i,-0.00064363+1.9626e-05i,-0.00080757+9.9631e-05i
0.00158-0.00087168i,0.0016114-0.00055332i,0.0015284-6.44e-05i,0.0013602+0.00063889i,0.0013192+0.00091971i,0.00038895+0.0016943i,-0.00023074+0.0016673i,-0.00040615+0.0015696i,-0.00031516+0.0013253i,-0.0003477+0.00052544i,0.00043178+0.0001822i,0.0009001+0.00018743i,0.00013808+0.00051889i,-0.00036546+0.00055903i,-4.1881e-05-0.0004717i,0.00034812-0.00073039i,0.0006975+0.00049482i,0.00084376+0.0011793i,0.00076885+0.00075074i,8.5347e-07+0.00022653i,-0.00060452-7.3599e-05i,-0.00087577-6.7557e-05i,-0.00098663-0.00013644i
-0.00026934-0.0005671i,-0.00071302-0.00055083i,-0.00070423-0.00069291i,-0.00022618+0.0001936i,-0.00036164+0.0014447i,-0.00053243+0.0012327i,9.3058e-05+0.00018943i,0.00029697+0.0003761i,0.00035328+0.00044556i,-0.00028993+0.0001474i,-0.0007139+0.00043965i,-0.00034757+0.00023305i,-0.00047593+9.3639e-05i,-0.0006877+0.00037086i,-0.00072683+0.00010512i,-0.00031336-0.00038222i,6.4211e-05-0.00010035i,0.00018406+0.00032229i,0.00029257+0.00061707i,0.00036761+0.00072638i,0.00027129+0.00051796i,0.00053671+0.00016917i,0.00050753-0.00014758i
0.0002518+0.0025213i,0.00044473+0.001582i,0.0002426+0.0011333i,0.0011836+0.00074168i,0.0017421-7.2433e-05i,0.00070812+0.00035941i,-0.00021674+0.0011309i,-0.00028222+0.0012645i,0.00042283+0.0010645i,0.00047742+0.00070845i,-0.00058474+0.00018848i,-0.0010314+0.00021471i,-0.00054891+0.000314i,-0.00056017+0.0001814i,-0.00067682+0.00026404i,-0.00090182-8.2117e-06i,-0.0013821-0.00045326i,-0.0001779-0.00054447i,0.00089117-0.00065786i,0.00012329-0.0012584i,-0.00035194-0.00064832i,-0.00012722+1.8653e-05i,0.00062546+3.5684e-05i
-0.00083011+0.00078928i,-0.00075757+0.00089016i,0.00011414+0.0016517i,0.0011933+0.001734i,0.0011419+0.0011678i,0.00055858+0.00052919i,0.00030329+0.00046009i,-0.00022127+0.00065782i,-0.0004233+0.0011246i,0.00039347+0.00061563i,0.0003812-0.00066794i,-0.00040973-0.0010232i,0.00046741-0.0007976i,0.00084548-0.0001618i,-8.7836e-05+0.00081152i,-5.9712e-05+0.0008387i,0.00062525-0.00018898i,0.00059286-0.00038781i,0.00061453+0.00027382i,0.00090472+0.00022179i,-0.00015746+7.7705e-05i,-0.00079648+0.00026722i,-0.00054421+0.00042617i
0.00045861+0.00019347i,0.0015952+0.00072279i,0.0013009+4.1076e-05i,0.00043894-7.3427e-05i,0.00052703+0.00057012i,0.00042472+0.00040189i,6.7519e-07+0.00064454i,0.00012539+0.001145i,0.00068446+0.00076515i,0.0010842-0.00010226i,1.0124e-05-5.0621e-05i,-0.00051348+0.00010646i,-0.00018867-0.0001854i,-0.00027973+5.2434e-05i,-0.00040446+0.00021768i,-0.00010238-0.00021906i,0.00016966-0.00078514i,-0.00022273-0.00084368i,-0.00018712-0.00048352i,9.1094e-05+0.00044506i,6.3146e-05+0.00094787i,0.0002139+4.7012e-05i,0.00042757-0.00063407i
-0.0013683-0.00026282i,0.00010413+0.0011768i,0.00036561+0.0025675i,-0.00048689+0.0031713i,-0.00040255+0.0032563i,0.0011557+0.0027442i,0.0018645+0.0012865i,0.0012027+0.00015624i,0.00057097-0.00011326i,0.00014188+0.00022357i,-0.00025962+6.2695e-05i,-0.00058784-0.00025659i,-0.00061709-0.00040443i,-0.0006071-0.00025534i,-0.00078868-0.00015917i,-0.00046481-0.00051483i,0.00029771-0.00056628i,0.00056353-0.00010893i,0.00037635-0.00010968i,0.00063892+0.00010458i,0.00062677+0.0010402i,-0.00012275+0.0010494i,-2.4893e-05+0.00028278i
-8.0211e-06+0.00014089i,-0.00044617+0.00012018i,-0.00092964-0.00054116i,-0.0012038-0.00054817i,-0.0012049+0.00025455i,-0.0015739+0.00042395i,-0.0013582+0.001067i,-0.00021551+0.0015839i,0.00071438+0.001077i,-3.7345e-05+0.00043165i,-0.00081844-0.00019158i,-0.00026738+0.00011333i,-0.00043282+0.00044433i,-0.00074791-7.5047e-07i,-0.00030355-0.00011708i,0.00057281+0.0002881i,0.00093123+0.00059601i,6.5488e-05+0.00012161i,-0.00061261-0.00010536i,-0.00049292-0.00037251i,0.00053302+0.00048915i,0.0011117+0.0011406i,0.00082464+0.00042533i
-0.00071397-0.00081959i,0.00040366-0.000268i,-0.00021035+2.5323e-05i,-0.00089059+0.0010162i,-0.00046738+0.0020866i,-0.00020281+0.0025274i,1.8088e-05+0.0017598i,0.00019888+0.0013507i,-0.00056746+0.0010637i,-0.00071652+0.00025491i,-0.00059173-9.7528e-05i,-0.0003715+0.00057499i,0.00011131+0.00044184i,0.00054012-0.00045262i,0.00050385-0.00045894i,0.00013945-0.00044437i,0.00019891+0.00043076i,0.00024895+0.00094105i,0.00031769+0.00036418i,0.00024631+0.00035562i,0.00033911-0.00017013i,1.1882e-05-0.00057685i,-0.00018588-6.0661e-05i
-0.00033753-0.0010125i,-0.00026117-0.00071709i,-0.0015866+0.00065689i,-0.0027682+0.0010291i,-0.001951+0.00069537i,-0.0003266+0.0016061i,0.0008594+0.0024384i,0.00073412+0.0013381i,-7.0264e-05+0.00061104i,-0.00077177+0.00056545i,-0.00078446-3.938e-05i,-0.00058128-0.00038503i,0.00044514+0.00021359i,0.00054006+0.00034047i,0.00026594+4.0925e-05i,2.5633e-05-0.00050758i,-0.00021635-0.00041154i,0.00016173-5.9503e-06i,-0.00027502-0.00017184i,-0.0010605+0.00029823i,-0.0011598+0.00043642i,-0.00079254+0.00046659i,-0.0003301+0.00031688i
