-0.0023193+0.0011328i,-0.0014502-1.4128e-05i,-0.0013349-0.00062885i,-0.0017503-0.0010339i,-0.0019906-9.4185e-05i,-0.0017492+0.00077523i,-0.0009242+0.00098115i,-0.00044636+0.0009588i,0.0004632+0.0011443i,0.0014501+0.0014062i,0.0016813+0.00041884i,0.00071435-0.00024942i,-0.00035478-9.2177e-05i,0.00038593+0.00041124i,0.0011869+0.00053204i,0.00086161+0.00020286i,0.00049167-0.00014408i,0.00047227-0.00026743i,0.00023745+0.00036678i,0.0002522+0.0004888i,0.00064137+0.00011889i,0.00021333+0.00019394i,-0.00034085+0.00013262i
0.0016331-0.0016617i,0.0016865-0.0017611i,0.0010285-0.0023128i,0.00073089-0.0026759i,0.00026545-0.0025047i,7.3052e-05-0.0010589i,0.00060621-0.00016526i,-0.0001229+7.8431e-05i,-0.00088527+8.9147e-05i,-0.00073152-0.00026756i,-0.00062211-0.00014209i,-0.0011468+0.0002285i,-0.0012408+0.00086458i,-0.00041725+0.0010243i,0.00029848+0.00025837i,0.0010261+0.00073613i,0.00051956+0.0010709i,-0.00024505+0.00054803i,-0.00014012+8.8507e-05i,0.00024003+1.4388e-06i,0.00036859+0.00051259i,0.00011377+0.00058327i,-0.00039637+0.00029995i
0.00041367-0.0020021i,0.00050721-0.0018412i,-0.0010972-0.0027805i,-0.004115-0.0026682i,-0.004121-0.00086215i,-0.0015798+0.00076357i,0.00075551+0.0012541i,0.00098002+0.0010985i,0.0002483+0.00067607i,-0.00020228+0.0012252i,-0.00072213+0.0016325i,-0.0011323+0.0015865i,-0.00094557+0.0015316i,-0.00041321+0.0010258i,-0.00019822+0.00013057i,0.00033895-0.0001975i,0.00045641-0.00036359i,0.00022646-0.00029817i,0.00044064-0.00044683i,0.0002022-0.0011832i,-0.00027023-0.00067271i,-0.00036872+0.00027044i,-0.00080281+0.00067574i
-0.0030766-0.0018392i,-0.0024705-0.001263i,-0.002329-0.00028177i,-0.001941+0.00039788i,-0.0008648+0.00072538i,0.00069886+0.0010269i,0.0016541+0.00030548i,0.0016261-0.00053539i,9.6433e-05+0.00067401i,-0.00082895+0.0014794i,-0.00094519+0.0017292i,-0.00054022+0.0017121i,0.00026508+0.0012023i,0.0018455+0.00068559i,0.0017901+0.00046598i,0.00036157+7.8455e-05i,0.00025624-0.00049315i,1.944e-05-0.00054398i,-0.00011857+0.00025445i,-0.00042487+0.00056102i,-0.00089817+0.00028261i,-0.00072238+0.00053258i,-0.00058775+0.00072678i
0.0030452+0.0002674i,0.002362-0.0001687i,0.0037602-0.0016081i,0.0025913-0.0022404i,-0.00021411-0.0014637i,-0.00091855+9.4982e-05i,-0.00043312+0.00084482i,-0.0002052+0.00090512i,0.00036923+0.00033318i,0.00099656-0.00062153i,0.00074615-0.0012232i,-0.00075904-0.00095189i,-0.00096117+0.00012917i,-4.564e-05+0.0014165i,4.8324e-05+0.0012819i,0.00066267+0.00045276i,0.0017309+3.3894e-05i,0.0013258+8.9212e-05i,0.00097509-0.000128i,0.0017165-0.00017225i,0.0010577+4.8567e-06i,0.0002793-3.6148e-05i,0.00016516+0.00013084i
-0.0011461-0.0020668i,-0.00066801-0.0010422i,-0.0014844-0.00019172i,-0.0010122-0.0003118i,0.00024969-0.00070563i,0.00082864-0.0002069i,0.0011327+0.00047709i,0.00041652+0.0001972i,-0.00077219+0.00015788i,-0.00076288+0.0011436i,-0.00029637+0.0018733i,0.00032499+0.00081578i,0.00054191-0.00012266i,0.00013471+0.0004429i,-2.8342e-05+0.0012344i,-8.3117e-05+0.00098592i,0.00017391+0.00015061i,0.00070931+0.00024507i,0.00018363+0.00071367i,-0.00063374+0.00065047i,-0.00086717+0.00087462i,-0.00029501+0.0014015i,0.00052862+0.0014523i
-8.4917e-05+0.0001264i,-0.00013605-0.0001147i,-0.00082504+0.0001217i,-0.00071141-2.2245e-05i,-0.00068937+0.00016483i,0.0001771+0.00065675i,0.00074785+0.00092695i,0.00023687+0.00060217i,-0.00020427+0.0007318i,-0.00042876+0.0011547i,0.00011666+0.00088581i,0.00046154-0.00037948i,0.0003964-0.00082529i,0.00054531-0.00023157i,0.00051876-0.00054116i,0.00052249-0.00045809i,0.00055593-0.00025209i,0.00021196-4.9307e-05i,1.0812e-05+0.00037606i,-0.00029397+0.00043716i,-0.00078025+0.0006617i,-0.0010184+0.00054i,-0.00036701+0.00056339i
-0.0012633+0.00090572i,-0.0016249+0.00042994i,-0.00149+0.00095726i,-0.00043796+0.0010984i,0.00037337+0.00065518i,0.0011027-0.00020456i,0.00083597-7.055e-05i,0.000467+0.00016908i,0.00066124-5.4322e-05i,-0.0001677+0.0002765i,-0.00045673+0.00055793i,-0.00023983-7.0778e-05i,0.00092053-0.00056047i,0.0019543-0.00029233i,0.00059076-9.032e-05i,-0.00013761-7.8021e-06i,0.00074755-0.00013746i,0.0019249-0.00026267i,0.0016881-0.00075636i,0.00023088-0.00034629i,-0.00051286+0.00094866i,-0.00032311+0.00048252i,-9.3844e-05-0.0010573i
0.0007985-4.5183e-05i,0.0002377+0.00077229i,0.00020135-0.0006129i,-3.9501e-05-0.0017699i,-0.0005266-0.0016603i,-0.00090054-0.00073358i,-0.00059162-0.00025674i,-0.00011399-0.00027079i,-0.00020857-0.00057097i,-0.00064235+0.00014578i,-0.00085619+0.00040942i,-0.00059328+0.00018567i,-0.0012707+0.00013245i,-0.0016531-0.00051539i,-0.0013462-0.00082487i,-0.0011181-0.00040619i,-0.0010168+0.00052957i,-0.0014762+0.00059377i,-0.00099618-0.00036053i,-0.0004669-0.00042044i,-0.00051511-0.00037609i,-9.6109e-05-0.00010089i,0.00030305+8.6324e-05i
-0.00097643-0.0011281i,-0.00012726-0.0015224i,-0.0011515-0.00092271i,-0.0018592-0.00052311i,-0.0017595+0.00015797i,-0.0012029+0.00095208i,-0.00040019+0.00080433i,0.00036598+0.00045952i,0.00049462+0.00041704i,0.00045443+0.0010222i,0.00092878+0.00091006i,0.00085404+0.00052287i,0.00017251+0.00090714i,-7.6234e-05+0.00061003i,9.7611e-05+1.1392e-05i,9.6054e-05+0.00029388i,-0.00013835-0.00030065i,1.6317e-05-0.00046625i,-3.0394e-05+0.00048608i,-0.00030062+0.00049255i,0.00016474+0.00071736i,0.00049332+0.0013974i,0.00039223+0.00097712i
-0.0006674-0.00035486i,-3.4594e-07-9.9487e-05i,-0.0010957+6.513e-05i,-0.001259+0.00016995i,-0.00060904+0.0009544i,0.00052995+0.001059i,0.0017547+0.00036827i,0.0014283+0.00058601i,0.00059569+0.00099622i,0.00071544+0.00048711i,0.00046021+0.00055825i,-0.00023673+0.001082i,-4.5725e-05+0.00020795i,0.00019237-0.00029364i,-4.7461e-05-0.0005888i,0.00036207-0.00046849i,0.00080978+0.00023432i,0.00064536+6.4893e-06i,0.00018498-0.0009798i,-0.00055837-0.00070922i,-0.00088658-0.00022669i,-0.0010486-0.00020139i,-0.00070281-0.00017864i
-0.0023146+0.0026448i,-0.0013684+0.0026872i,-0.0010862+0.0030274i,-0.00052117+0.0017984i,0.0004667+0.0012457i,0.0003604+0.0010134i,-1.2987e-05-9.6795e-05i,-0.00042799+0.0002253i,-0.00061906+0.0011832i,-0.00019171+0.0013596i,0.00076065+0.00019834i,0.00093555-0.0012551i,0.00033199-0.0015705i,6.6639e-05-0.00087427i,0.00023948-0.00071351i,-0.00012473-0.00049183i,-0.00074134-3.9726e-05i,-0.0010302+0.00034576i,-0.00088105+0.00052895i,-0.00047113+0.00019155i,0.00015902-0.00011724i,0.00045763+0.0001064i,-0.00019802+0.00032395i
-0.00060191-0.0034512i,-0.00043172-0.0027742i,-0.00053539-0.0016212i,-0.0015795-0.00089593i,-0.0019292+0.00024137i,-0.00088216+0.00079102i,0.0001063+0.00073294i,0.00034982+0.00091122i,-7.2021e-05+0.00068889i,-0.00071235+0.00072238i,-0.00029768+0.00040975i,0.0002766+0.00032504i,2.0622e-05+0.00026666i,0.00060306+0.00062942i,0.0004746+0.0012897i,0.00040013+0.0012029i,0.0006936+0.0013308i,0.000268+0.00066494i,0.00023243-2.9656e-05i,4.1591e-05-4.1968e-05i,-0.00076347-7.7435e-05i,-0.00099062+0.00017399i,-0.00028443+0.00040601i
0.00019472-0.00039348i,-0.00031221+0.00049587i,-0.0005669+0.00040994i,-8.6327e-05-0.00022574i,0.00067057-0.00028812i,0.00080572-0.00038742i,0.00068845-0.00038409i,0.00027093-9.1045e-05i,7.0947e-05+0.00068515i,-7.9381e-05+0.0011329i,-0.00028919+0.00042627i,-0.00030334+0.00033752i,9.3005e-05+0.00090582i,0.00036801+0.00059287i,-0.00037686-7.2897e-05i,-0.00034846-9.9288e-05i,-0.00029112+0.0003788i,-0.00020304-0.0001151i,0.00022092-0.00072262i,-0.00040668-0.00093483i,7.293e-05-0.00030376i,0.00072177+0.0008152i,0.00064223+0.00055488i
-0.00069353-0.00023937i,-0.0011858-0.0005532i,-0.0023397-0.00048715i,-0.0017384+0.00029822i,-0.0014277+0.0010789i,-0.00053908+0.00093881i,0.00078092+0.00036255i,0.00083405-0.00023676i,-1.7995e-05-4.0925e-05i,-0.0010306+0.00045069i,-0.00079418+0.00072751i,-5.2931e-05+0.00091741i,0.0009165+0.00071901i,0.00075001+0.00062936i,0.00015858+0.00058693i,-0.00045316-0.00028814i,-0.0009128-0.0013719i,-0.00056105-0.0011225i,-8.9303e-05+0.00022418i,-4.3193e-05+0.0010575i,-0.00025733+0.00085546i,-0.00025961+0.00062268i,-9.0127e-05+0.00078163i
0.00014544+0.00052143i,0.0004759+0.00038207i,-0.0004496+0.00038707i,-0.00077608-6.9917e-05i,7.6815e-05-0.00028855i,0.00012329-0.00041874i,-0.00081395-0.00018439i,-0.0011835+0.00087048i,-0.0019184+0.0013923i,-0.0020309+0.0010642i,-0.0013282+0.00089378i,-0.0013441+5.5725e-05i,-0.0012068-0.00010345i,-0.00056221+0.0003029i,9.7048e-05+5.1614e-05i,0.00029725+0.00030393i,0.00048122+0.00034152i,0.0003713-0.00046036i,-0.00032556-0.0004563i,-0.00068791+0.00026118i,-0.0004264+0.00016835i,-3.8325e-05-8.6871e-05i,0.00018124-3.7298e-05i
-0.0012237-0.002735i,-0.00065928-0.002152i,-0.0021491-0.0033511i,-0.0035157-0.0028468i,-0.0035557-0.00011323i,-0.0013763+0.0012139i,0.00073706+0.0013495i,0.00093953+0.0013982i,7.4322e-05+0.0012735i,-0.00031471+0.0011236i,0.00031935+0.00076827i,0.0011554+0.00068796i,0.00080876+0.0013825i,0.00023752+0.0010956i,0.0001489+0.0010822i,-0.00034375+0.00077683i,-0.00040376-0.00043507i,-4.8957e-05-0.0007812i,8.6524e-05-9.4052e-05i,-7.2267e-05+0.00066743i,-0.00025439+0.00078016i,-4.0787e-05+0.00059828i,0.00016015+0.00063765i
-0.00020477-1.2498e-06i,-0.0011647-0.00087976i,-0.0019659-0.00094364i,-0.0015953+0.00010697i,-0.0014103+0.00081922i,-0.0009089+0.00072525i,0.00014816+0.00034595i,0.00036914+0.00017924i,0.00011849+0.00022757i,0.00031707+0.00081689i,0.00083414+0.0015845i,0.00096491+0.0016339i,0.00098821+0.00097596i,0.0013672-0.00029362i,0.00074389-0.00045668i,0.00011975+0.00016188i,-0.00014269+0.0002146i,-0.00041524+0.00048031i,-0.00038032-0.00031372i,-0.00014868-0.0011472i,0.00047044-0.00067215i,0.0012795+9.3468e-05i,0.0017429+0.00052637i
-0.0012608+0.00020764i,-0.0016397-0.00017297i,-0.0028391-0.0011302i,-0.0016891-0.00046388i,-0.00018691+0.00057328i,-2.93e-05+0.00085532i,-0.00072609+0.0007738i,-0.00097406+0.00056047i,0.000239+0.0003302i,0.00093218-0.00010076i,0.0012996-0.00015642i,0.0014915+0.00034681i,0.00079219+0.00036826i,0.00035357+0.00055493i,0.00026246+0.00046876i,0.00040287+0.00047488i,0.00075592+0.00055942i,0.0014923+0.00026414i,0.0010852-0.00037724i,0.00032863-0.00026946i,0.00053454+0.00034993i,0.00037497-6.143e-05i,0.00044503-0.0012422i
0.00062418+0.00014133i,0.00027846+0.00036055i,-0.00022288+0.0004104i,-0.00063631+0.00072772i,-0.00052332+0.00078964i,-7.4865e-05-0.0002431i,-5.5278e-05-0.00053814i,-0.00065707-0.00015074i,-0.00073825+7.642e-05i,-0.00042906+0.0010279i,-0.00065173+0.00059715i,-0.00029776-0.00028093i,-0.00030899-8.8011e-05i,-0.0014072+0.00066486i,-0.0016836+0.00083287i,-0.00047792+0.00044909i,-2.2978e-05+0.00062664i,-0.00050052+0.00062891i,-0.00027894+0.00012395i,0.00011273+0.00017276i,-7.2642e-05+0.00063482i,-0.0002779+0.00011697i,-0.00019393-0.00060896i
0.00035426-0.0011047i,-4.2769e-05-0.0019334i,-0.0011033-0.0032307i,-0.0016316-0.0031047i,-0.0018507-0.0012099i,-0.0018039+0.000965i,-0.0014375+0.0010523i,-5.8944e-05+0.00051944i,0.000635+0.00068776i,0.00021867+0.0010342i,0.00062221+0.00023265i,0.0015263-0.00014072i,0.001019+0.00057396i,-4.8464e-06+0.00075753i,-0.00056039+0.00113i,-0.00066793+0.0010617i,-0.00011178-0.00024776i,0.00053287-6.4308e-05i,0.0005984+0.00011292i,0.00070439-0.00060311i,0.00051882-0.00020786i,-0.00028441+0.00037918i,-0.00016007+0.00037846i
-0.0013765-0.0033367i,-0.0012001-0.0028353i,-0.0019326-0.0040482i,-0.0028889-0.0027304i,-0.0031692-0.00055893i,-0.0010328+0.00020198i,0.00069232+0.00060381i,0.00063073+0.00040838i,0.00056385-0.00042564i,-0.00040258-0.00018798i,-0.001456+5.1121e-05i,-0.00074102+0.00057614i,8.1542e-05+0.00076715i,0.00082585+0.00039188i,0.0010309+0.0005097i,0.00098655+0.00077797i,0.00059073+0.00063549i,0.00048661-0.00028988i,0.00062773-0.0008711i,5.7318e-05-5.5525e-05i,-0.00030028+0.00031258i,-0.00028597-4.8249e-05i,0.00019919-0.00023932i
0.00033851+0.00021735i,0.0011442+0.0003968i,0.00079192+0.0001732i,0.00031244-0.00034884i,-0.00016918-0.0012732i,-0.00066976-0.0017776i,-0.0011693-0.0011406i,-0.0011811-0.00014523i,-0.00054283+0.00097521i,9.0658e-05+0.0011161i,0.0001388+0.00034484i,-0.00034445+0.000114i,-7.286e-05+0.00073333i,0.00030217+0.0010282i,0.00020233+0.00025745i,-0.00029995-0.00048242i,-0.00028859-0.00035296i,0.0012719+0.00039182i,0.0011687+5.0797e-05i,-0.0006829-0.00066201i,-0.0014809-0.00053526i,-0.00024663+0.00012499i,0.00017844+2.3739e-05i
-0.00088017+3.1154e-05i,-0.00070108+0.00095699i,-0.0012996+0.00024437i,-0.0017141-8.6113e-05i,-0.0013538+0.00054511i,-0.00051552+0.00098239i,0.00028265+0.00077295i,0.0005936+0.00029178i,-3.9548e-05+0.0002184i,-0.00013048+0.00042258i,0.00022192+0.00032086i,0.00088712+0.00023505i,0.00076088+0.0002014i,-6.7824e-05+0.00042807i,-0.0007177+0.00050997i,-0.00066526+0.00085403i,-0.00054739+0.00094298i,-0.00061552+0.00027155i,-0.00033947+0.00024315i,-0.00051623+0.00019436i,-0.00093731-0.00010606i,-0.001081-7.775e-05i,-0.00043682+0.00034411i
0.0015807-0.00087278i,0.001629-0.0014446i,0.0021568-0.003171i,0.0010905-0.0038652i,-0.00092522-0.0026711i,-0.0014252-0.0013273i,-0.00043352-6.5938e-05i,0.00051584+0.0012319i,0.00054856+0.0014633i,0.00051373+0.0007783i,0.00066115+0.00048712i,0.00079016+0.0011104i,-3.769e-05+0.0015118i,-0.00026152+0.0005897i,0.00050902-0.00011623i,0.00069554+0.00060238i,0.0014019+0.0010387i,0.001852+0.00020733i,0.00097365-0.00055368i,0.00018062-0.00084396i,7.2089e-05-0.0004748i,0.00023022+0.00046956i,0.00032105+0.0012029i
0.0008217+0.0010266i,0.0007423+0.00019429i,0.00092083+0.00043532i,0.0007318+0.00032079i,0.00067347+0.0001764i,0.00012997+0.00083514i,-0.00049195+0.0011019i,-0.00034045+4.2952e-05i,-0.00010108-0.00040306i,0.00033479+0.00013613i,0.00084929+0.00081451i,0.00033015+0.00024349i,-0.00018421-0.00030906i,-0.00046141-0.00029316i,-0.00028443-0.00061185i,0.00023541-0.00044848i,0.00017043-0.00085918i,0.0001283-0.0012602i,8.6946e-05-0.0010041i,-0.00048163-0.00097598i,-0.00065852-0.00077319i,0.00038769-0.00096883i,0.00052079-0.00054532i
0.00217-0.0016494i,0.0020049-0.0011917i,0.0014507-0.0018768i,0.00065789-0.0019118i,-0.00023325-0.00044204i,-0.00064287-0.0001755i,-0.00039451-0.00051045i,9.0486e-05+3.0289e-05i,8.2066e-05+0.00065705i,-0.00074551+0.00066042i,-0.0012324+0.00023133i,-0.00048283+0.00039236i,6.302e-05+0.00064453i,-0.00039238+0.00072739i,-6.8665e-05+0.00020203i,0.0001262-2.6177e-05i,0.00031427+0.00037843i,0.00065743+0.00077095i,0.00082129-1.3923e-05i,0.00071188-0.00098406i,6.0057e-05-0.00047866i,-0.00034435-0.0001133i,-0.00013596+0.00021132i
0.0013128-3.0754e-05i,0.0012752+0.0002412i,0.0010771+0.00016275i,0.00018875-0.00041937i,-4.1454e-06-0.00097422i,-0.00022067-0.00080953i,-0.00035506-0.00035556i,0.00041521-0.0003183i,0.00061827+0.00012694i,-8.2507e-05+0.00044183i,-0.00053456+0.00033769i,-0.00078949+0.00035993i,-0.00078034+0.00051109i,-3.454e-05-0.00028861i,0.00011666-0.00024727i,0.0001887+0.00050905i,0.00046834+0.00060288i,0.00040324+0.00037312i,-5.9934e-05-0.00012907i,-0.0003724-0.00027431i,-0.00063488+0.0004215i,-0.00057333+0.00022026i,-0.00026731+3.4281e-05i
-0.0009221+0.0002911i,-0.00011639-0.0010147i,0.0001306-1.9885e-05i,-0.0017504+0.00073585i,-0.0024387+6.3538e-05i,-0.0010743-1.075e-06i,-5.2469e-05+0.00034924i,0.00043452+0.00032838i,0.00040856+0.00043195i,0.00017686+0.00080199i,0.0001519+0.00045825i,-0.00029472-0.00074553i,-5.7959e-05-0.0011691i,3.9685e-05-0.00074383i,0.00076512-0.00052089i,0.00054827+0.00023644i,-0.00031895+0.00094782i,-0.00024045+0.0008517i,-0.00050675-1.7123e-05i,-0.0010284-0.00049877i,-0.0010726+5.0713e-05i,-0.00093436+0.00068054i,-0.00042524+0.00029962i
3.8462e-05-5.7435e-05i,0.00036383+0.00046476i,0.00010781+0.0013183i,0.00012912+0.0015149i,0.00018885+0.00097377i,-0.00061096+0.00093182i,-0.00078518+0.00063083i,-0.00065364+0.00088347i,-0.00072098+0.0016602i,6.763e-06+0.0016559i,0.00034794+0.00065491i,0.00023411+0.00039957i,0.00050422+0.00023519i,0.00032751-0.00011784i,-0.0004844+0.0002333i,-0.00072877+0.00011057i,-6.3593e-05+5.9914e-06i,0.00026271+0.00028106i,-0.00037628+0.0004578i,-0.00047235-6.7816e-05i,0.00027953-0.00076765i,0.00024599-3.0511e-06i,-9.1334e-05+0.00059038i
0.00162+0.0005452i,0.00038911+0.0010892i,0.00019657+0.00053987i,-0.00034885-0.00060057i,-0.00080249-0.00077254i,-5.7278e-05-0.00022009i,0.00043915-0.00070233i,-0.00024856-0.00071917i,-0.00090319+0.0001272i,-0.00027352+0.00026026i,0.0001761-0.00015795i,-0.00075488-0.00033598i,-0.0013855+5.0189e-05i,-0.00053368+0.00060084i,0.00016376+0.00092531i,0.00019252+0.0012741i,3.9359e-05+0.0012715i,-3.1066e-05+0.00035039i,-6.9863e-05-0.00056159i,-0.00099934-0.0006377i,-0.00097547-0.00011767i,-3.2312e-05+0.00032703i,-0.00014581+0.00054285i
0.001595+0.00030187i,0.0020454+0.00083861i,0.0015471+0.00090614i,0.00050245-0.00037294i,0.0010082-0.0012139i,0.00055436-0.00099208i,0.00013826-0.00075716i,0.00031682-0.00028337i,0.00057614+0.00065094i,0.0017111+0.00061907i,0.0018064+0.00023371i,0.00078698+0.00072354i,0.00015542+0.0012522i,8.0077e-05+0.0014745i,0.00032369+0.00038853i,0.00039758-0.00044501i,0.00044345-0.00032115i,0.00040201+0.00040427i,0.00017539+0.00054i,-0.00042245-1.6117e-05i,-0.00077197-0.0004529i,-0.00051474-0.00061739i,-0.00018387-0.00041219i
-0.0014337-0.00067444i,-0.0018098-0.0010948i,-0.0023083-0.00016951i,-0.002287+0.0005615i,-0.0017052+0.00083217i,-0.00083402+0.00033112i,0.00038998+3.7589e-05i,0.00029384+0.0001408i,7.5064e-05+0.00038977i,0.00090936+0.00075879i,0.0014611+0.00090476i,0.0010515+0.00073451i,0.00069806+0.00040889i,0.00034319-5.02e-05i,0.00028247+0.00017682i,-0.00025499+0.00020913i,-0.00084751-0.00040349i,-0.00044121-0.00031745i,-0.00031001-0.00031175i,-0.00011546-0.00036603i,0.00018928+0.00022574i,0.00049197+0.00041195i,0.00057261-1.1328e-05i
-0.00075321+3.3761e-05i,-0.00062493+0.00076247i,0.00029314+0.00054837i,0.0011334+9.6633e-05i,0.00098271+0.0008323i,0.00025941+0.0015143i,0.00016281+0.00089866i,0.00044094+0.00054462i,0.00042662+0.0014083i,0.0010589+0.0013436i,0.0011947+9.6859e-05i,2.5662e-06-0.00037944i,-0.00032029+0.00018759i,0.00017128+0.00029929i,-0.00043902+0.00017102i,-0.00068009-0.00042598i,5.0835e-05-0.00064148i,0.0001692-0.00033007i,0.00014133-0.000354i,8.8483e-05-0.00015374i,0.00027815-0.00068627i,0.00035433-0.00097329i,4.2106e-05-0.00010244i
8.3211e-05+0.0022218i,-3.9804e-05+0.00214i,-0.00033517+0.0020929i,-0.00044728+0.00073054i,-3.2668e-05-0.00059355i,0.00095136-0.00085003i,0.00094231-0.0011584i,0.00019756-0.00031586i,-0.0004478+0.00098534i,-0.00075972+0.0013638i,-0.000385+0.0013609i,0.00024899+6.4422e-05i,-0.00017792-0.001074i,-0.00075518-0.00097454i,-1.7947e-06-0.00071804i,0.00022419-0.00074954i,8.1333e-05-0.00092886i,0.00016564-0.00091648i,8.5473e-05-0.00075716i,4.1648e-05-0.00034509i,0.00050625-0.00018712i,0.00089693+0.00056405i,0.00058758+0.00095305i
-0.0014773-0.0014943i,-0.00132-0.0012336i,-0.0016723-0.00058089i,-0.0017853-0.00015834i,-0.0010403+0.00048512i,-0.00035268+0.00056077i,-0.00078948+0.00023986i,-0.00077874+0.0010136i,-0.00069075+0.001129i,-0.00066164+0.00058027i,8.1359e-05+0.00099144i,0.0013623+0.0015267i,0.001815+0.0014138i,0.00099978+0.00075203i,0.00070647-0.00033468i,0.00026409-0.00064456i,-0.00038642+0.00035632i,0.00065885+0.00092115i,0.0011278+0.00041935i,0.0002438+0.0002999i,-0.00014852+0.00021993i,3.3558e-05+0.00027659i,0.00062446+0.00061512i
-0.003004-0.0013511i,-0.0025247-0.0010009i,-0.0028057+0.00083979i,-0.0029237+0.0016506i,-0.002069+0.0021663i,-0.00081718+0.0017401i,-0.0010301+0.00064399i,-0.0016656+0.00033758i,-0.0011127+0.0011297i,-0.000358+0.0020684i,0.0004049+0.0019107i,0.00075444+0.00066293i,0.00051277-0.00025923i,0.00074503-0.00042353i,0.00080794-0.00051052i,-0.0002242-0.00033286i,-3.3245e-05-0.00010213i,0.00066514-0.00016179i,0.0002701-0.0002523i,-7.7176e-05+0.00018253i,7.475e-05+0.0006778i,-0.0001885+8.6491e-05i,-0.00031472-0.00021946i
-0.0011604-0.0019135i,-0.0010178-0.0015142i,-0.001729-0.0012231i,-0.0023414-0.0001745i,-0.0019714+0.00037519i,-0.00055921+0.00057255i,0.00054813+0.00065284i,1.0877e-05+0.00092863i,-0.00037581+0.0015298i,0.00019436+0.0011293i,0.0010094+0.00035388i,0.0015555+0.00024692i,0.001285-9.5394e-05i,0.00071286-0.00039225i,0.0013258-0.00022162i,0.0024206+8.6593e-05i,0.0018549-0.00013472i,0.00082831-8.9089e-06i,0.00077082+0.0003416i,0.00023459+0.00030053i,-0.00083971+0.00084385i,-0.00088985+0.00069982i,-0.00032241+3.8264e-05i
0.00047356+0.00058941i,0.0014655+0.00070621i,0.00097355+4.8911e-05i,-0.00020411-0.00051787i,-0.00062468-0.00063614i,-8.8051e-05-0.00082243i,0.00085819-0.00055378i,7.7924e-05+0.00012146i,-2.2194e-05+0.00024865i,0.00061504+4.846e-05i,0.0004705+5.8323e-05i,0.00017762-0.00015016i,0.00049469+0.0006145i,0.00073941+0.0015055i,-6.5152e-05+0.00095141i,-0.00095983+0.00078425i,-0.00040316+0.00041932i,-2.1209e-05+0.00012317i,-0.00041444+0.0006851i,-0.00086752+0.00051969i,-0.0013588+0.00020433i,-0.0012092-5.3102e-05i,-0.00053859-0.00044915i
0.0001498-0.0018866i,-0.00094204-0.0022418i,-0.002565-0.0042874i,-0.0042261-0.0036811i,-0.0040063-0.002057i,-0.0024926-0.0005924i,-0.00085149-0.00038719i,0.00014082-0.00036451i,0.00045617+0.00021494i,0.00066967-0.00012241i,0.00058951-0.00043929i,0.00015197+9.0587e-05i,-4.9798e-05+9.5122e-05i,0.00048711+0.00064441i,0.0007211+0.0010398i,0.0009419+0.00086154i,0.00071065+0.00059147i,-0.00011191+0.00017017i,-0.00060458-0.00020085i,-0.0015724-0.00024367i,-0.0014817-0.00019002i,-0.00084624+0.00041137i,-0.00064235+0.00051395i
-0.0026936-0.0027441i,-0.0026114-0.0028451i,-0.0017207-0.0012847i,-0.0015249+0.0009603i,-0.0019013+0.0014124i,-0.0012553+0.0011315i,-0.0003185+0.00078861i,0.00018446+0.00014813i,0.00033951+0.00074641i,0.00052452+0.0018873i,0.00026738+0.0021375i,0.00015021+0.0015099i,0.00011309+0.00099542i,9.3329e-05+0.0011129i,0.00039692+0.00084767i,0.00048286-0.00010646i,-0.00052691-6.6984e-05i,-0.00056087-0.00011981i,-3.7865e-05-0.00045657i,-0.00064321-9.9884e-05i,-0.0011209+0.00057991i,-0.00033363+0.00098614i,0.00021759+0.0011455i
-0.00052064-0.0013875i,-0.00064262-0.0013417i,-0.0017927-0.0011784i,-0.002194-0.0013852i,-0.00071627-0.001356i,0.00018483-8.8302e-05i,-0.00038417+0.00077895i,-0.0016086+0.0010975i,-0.0017181+0.00081081i,-0.00094613+0.0007527i,-0.00041846+0.0011864i,-0.00021063+0.0013932i,0.0001408+0.0012077i,0.00026273+0.0011195i,-7.6834e-05+0.00062974i,0.00056009+0.00057092i,0.00071961+0.00063553i,-0.00049294-0.0002876i,-0.0010541-0.00068208i,-0.001191-0.00012605i,-0.00074425+0.00022902i,8.076e-05+0.00030261i,8.7114e-05+0.00050411i
0.0014665+0.0018751i,0.0013202+0.0010657i,0.0021768+0.00077716i,0.0021083+0.00032636i,0.0011923-0.00026828i,0.0010177-0.00020484i,0.00088605+0.00060833i,0.00030309+0.0010767i,-4.9441e-05+0.0014645i,0.00047586+0.0014074i,0.0007175+0.00077495i,0.00025806+0.00097261i,-0.00024705+0.0011286i,-0.00025399+0.0003358i,-0.00051836-0.00071554i,-0.00021023-0.0006383i,0.00016116-0.00022163i,0.00014209-0.00023201i,0.0003681-0.00049036i,0.00063305-0.00082103i,5.3473e-05-0.00051929i,-0.00053119+0.00020807i,-0.00061334+0.00057581i
