-0.0031375-0.00068439i,-0.002394-0.00064482i,-0.0024283-0.00088351i,-0.0023189-0.00095438i,-0.0014923+7.5299e-05i,-0.0011366+0.0014852i,-0.0011184+0.0028791i,-0.00029709+0.0035793i,0.0003817+0.0027232i,0.00056941+0.0012849i,0.00019783+0.00027712i,-0.00083807+0.000815i,-0.0013756+0.0010988i,3.2021e-05+0.00068466i,0.00053495+0.0001197i,0.00042612-0.00029905i,0.00031643-0.00014001i,-8.3016e-05+3.8417e-05i,-8.8494e-05+0.00050328i,-4.3868e-05+0.00071766i,0.00019547+0.00049407i,-0.00021554+0.0002774i,-0.00057805-0.00071877i
-0.002434-0.001128i,-0.0024119+0.00026235i,-0.0030493+0.00044463i,-0.0021125+0.00066195i,0.00059517+0.0011499i,0.0013927+0.00030644i,0.00017045-0.00020941i,-0.0011634+0.00034119i,-0.001715+2.3352e-05i,-0.0013441+3.2296e-05i,-0.0008711+0.00062212i,-0.00040412+0.00045949i,0.00018485+0.00050772i,-7.5007e-05+0.0001894i,-0.00035222-0.00063519i,-0.00046612-0.001026i,-0.0010045-0.00075339i,-0.00021128-6.3505e-05i,0.00052052+4.8881e-05i,0.0002034-0.00012595i,-0.00046654+0.00015372i,-0.00050559+0.00021989i,-9.7205e-05-4.2551e-05i
0.00063757-0.00014463i,0.00045901-0.00061465i,0.0012695-0.00092806i,0.0019834-0.00053608i,0.0015912-0.00090924i,0.00066504-0.0013746i,-0.00037182-0.0010763i,-0.00038684-0.00017449i,-0.00013501+0.0005504i,-0.00025032+0.00093009i,-0.0002034+0.0012492i,-0.00020022+0.00021994i,0.00026004-0.00060532i,0.0003565-0.00083433i,-0.0001266-0.00045375i,-0.0010518+0.00043055i,-0.0009939+0.00053177i,-0.00088778+0.00041949i,-0.0015199+0.00044481i,-0.00098131-0.00026829i,-0.00017751-0.00053167i,-0.00025757+0.00026006i,-0.00055385+5.9928e-06i
-0.00069203-0.00059336i,0.00024518+0.0007898i,0.00027127+0.00096383i,-0.00026288-0.00058772i,-0.0015484-0.0012646i,-0.0014453-0.00098013i,-0.00054013-0.00042258i,-0.00053598+0.00067742i,-0.00094692+0.00051233i,-0.00088231-0.00044258i,-0.0012408+8.9142e-05i,-0.0012911+0.00025674i,-0.00062403+0.00012015i,-0.0004942+0.00022687i,-0.00035367+0.00045784i,-0.00033824+0.00013054i,-0.0007537-0.00056733i,-0.0015365-0.00030692i,-0.0015577+0.00033938i,-0.0013084+0.00070803i,-0.0004667+0.00039368i,0.00025301+0.00014389i,-0.00025275-0.00036378i
-0.00019001+0.0018667i,8.0519e-05+0.0021496i,0.00043752+0.0015441i,0.0010738+0.00025857i,0.0013421-0.00052223i,0.0013244-0.0009596i,0.0007419-0.00020924i,-0.00053013+0.00060585i,-0.00099004+0.00118i,-0.00054927+0.0011264i,-0.00035179+0.001101i,-0.00034634+0.0013404i,0.00039131+0.00041753i,0.0008051-0.0002782i,0.00065609-0.00035886i,0.0002687-0.00080028i,-0.00016782-0.00099481i,-0.00039674-0.00047785i,-0.00028404+5.348e-05i,-0.00016528-1.1714e-06i,-0.00035598-0.00043647i,-0.00028487-0.00051958i,0.0003479-0.00037505i
7.398e-05-0.00041958i,0.00073276+0.0008364i,0.00083265+0.0013559i,0.0018557+0.00072616i,0.0020086-0.00082387i,0.00072408-0.0014342i,-0.00034302-0.00085031i,-0.0010355-0.00053606i,-0.0012132+5.9352e-05i,-0.0011936+0.00034522i,-0.00047855-0.00033421i,7.8984e-05-0.00060469i,-0.00035375-2.3158e-05i,-0.0008517-0.0002143i,-0.0008872+0.00019729i,-0.00042358+0.0012891i,7.6226e-05+0.0013592i,0.00014363+0.00046265i,0.00018783+0.00012018i,7.1341e-05-0.00020708i,-0.00023863-0.00050581i,-0.00049219-6.4917e-05i,-0.0002843+0.00083481i
-0.00056364-0.0005216i,-0.0001453-0.0010899i,0.00030947-0.0013101i,0.00054591-0.0007939i,0.0003676-0.00042354i,3.7466e-06-0.00059715i,-0.00019457-0.00032929i,-0.00084658+0.00086332i,-0.0011952+0.00071061i,-0.00052312-0.00026105i,0.00027381-0.00027719i,0.00019365+0.00046753i,0.00013199+0.00069045i,0.00075597-7.692e-06i,0.00069106-8.2326e-06i,-0.00028484+0.00038502i,-0.000982+0.00023639i,-0.0013002+0.0002098i,-0.0016034+0.00012763i,-0.001044-0.00038613i,-0.00070072-0.00041328i,-0.00026496-0.00032972i,0.00043622-0.00044541i
0.00037011+0.00024844i,1.8688e-05+0.00079725i,-0.00020202+0.00073809i,-0.00099322-0.00030874i,-0.00084727-0.0013011i,-0.00046814-0.00087953i,-0.00066283+0.00051761i,-0.0010724+0.0010333i,-0.00088257+0.00027128i,-0.0005051-0.00031125i,-0.00058888-0.00039427i,-0.00018581+0.00010395i,0.00021445+0.00060505i,0.00057694-5.8284e-05i,0.00024062-0.00039869i,-0.00048306+0.00064145i,-0.0012171+0.0007467i,-0.0013336+0.00063615i,-0.00086792+0.00053034i,-0.00032579-0.00028843i,1.966e-05-0.00047092i,-0.00025784+9.5119e-05i,-0.00013551+0.00041693i
-0.00017313-0.00016752i,-0.00079831-0.00043777i,-0.00040095-0.001224i,-0.00010254-0.0021931i,4.1738e-05-0.0015113i,5.3813e-05-0.00072357i,-0.00050357-0.00043334i,-0.0012105+7.382e-05i,-0.0019899+0.00038595i,-0.0017822+0.00094436i,-0.0007504+0.0011615i,-0.00016885+0.00077166i,0.00031637+0.00026272i,0.00091146-0.00083253i,0.00035963-0.0015106i,-0.00028158-0.00064344i,-0.00016729+0.00023154i,-0.00027902+1.5379e-05i,-0.00015622+0.00030452i,-0.00010905+0.00039391i,-0.00024003+0.00019572i,-0.00072328+0.00014493i,-0.00097536+6.4272e-05i
-0.00036167+0.0012412i,0.0007524+0.0010913i,0.0018647+0.00062995i,0.0016418-0.00033996i,0.0016477-0.0012645i,0.0014602-0.0016558i,0.00046987-0.00097599i,-0.0006121+6.8489e-05i,-0.0010159+0.00065878i,-0.001081+0.0010343i,-0.00044595+0.00062461i,-0.00012866+0.00022087i,-0.00073782+0.00066909i,-0.0011392+0.00052238i,-0.00035507-0.0002422i,0.00020839-0.00023972i,-0.00057842-0.00012563i,-0.0015176+0.00043721i,-0.0011846+0.0008277i,-0.00013137-3.8292e-05i,0.00014202-0.00020647i,-0.0002057+0.00011598i,0.00052341+0.00011742i
0.00068038+0.0001989i,-6.4776e-05-0.00090345i,-0.00018928-0.0015903i,9.7969e-05-0.0021198i,-0.00041139-0.0027521i,-0.00058235-0.0024815i,-0.00094484-0.00059557i,-0.0017729+0.0010272i,-0.0012659+0.0011421i,-0.00055889+0.0004083i,-0.00084808-0.00036717i,-0.0005857-0.0001881i,0.00015842+1.5377e-05i,0.00051881-5.2466e-05i,6.2593e-05+0.00035174i,-0.0004974-4.8122e-05i,7.2108e-06-9.1974e-05i,0.00025684-0.00028723i,0.00039428-0.00055394i,0.00044136-3.1157e-05i,-0.00070258+0.00014919i,-0.0012215+0.00040454i,-0.00057849+0.00073026i
0.00066658-0.00010857i,0.0013163+0.00016266i,0.0020548-0.00053377i,0.0019738-0.0013292i,0.0014331-0.001372i,0.00056407-0.0010372i,-0.00035098-0.0001396i,-0.00075247+0.0007048i,-0.00091351+0.00044075i,-0.00049953-1.7743e-06i,0.00028089-0.00020548i,0.00022405-0.00033988i,-0.00069031-2.3548e-05i,-0.0012874-0.0003979i,-0.0014337-0.00023386i,-0.0010496+0.00052112i,-0.0004577+0.00014257i,0.00027664-0.00013021i,0.00049812-0.00025487i,0.00023321+2.1667e-06i,0.00017711+0.00015631i,-0.0006103-1.8493e-05i,-0.00043323+0.00030169i
