-0.0014143+0.0014839i,-0.0015728+0.00031942i,-0.0035227-0.00042989i,-0.0041706+5.1685e-07i,-0.0028495+0.0020787i,-0.00099134+0.0026862i,-0.00030935+0.0011167i,0.00034714+0.00064226i,0.0015138+0.00075953i,0.0020829-0.00028273i,0.00062205-0.00057276i,-0.00052978-0.00019614i,0.00031234-0.00033654i,0.00078737-0.00077779i,0.00042295-0.001034i,-0.00068335-0.00046986i,-0.00090781-4.9719e-05i,-0.00020082-0.00017245i,0.00015985-0.00042908i,0.00054666-0.00040751i,0.00097046-0.00048212i,0.00065297-0.00066245i,-0.00037297-0.00070487i
3.3908e-05+0.0013728i,-7.1714e-06+0.0013517i,0.00020382+0.00040321i,-0.00034662+0.00079053i,-0.00050121+0.0012322i,0.0003619+0.00080196i,0.00086821+0.00018364i,0.00061225-0.00040822i,0.00083999-1.4128e-05i,0.00035906+0.00031968i,-2.0339e-05-0.00026045i,-2.709e-05-0.00025101i,0.00011187+7.6376e-05i,0.00041501+0.00047078i,-1.8198e-05+0.00058052i,-0.00065672+0.00027885i,-0.0004361+0.00032688i,6.5908e-05+0.00042434i,6.5985e-06+0.00013749i,-8.6921e-05+0.00012123i,0.00034375+0.00032636i,0.00058102+0.00025196i,0.0005091-0.00053241i
0.0013503-0.00097156i,0.00099128-0.0025574i,0.00088674-0.0031791i,0.00023404-0.0032073i,-0.00060203-0.0028745i,-0.0010223-0.001129i,2.6136e-05+8.9869e-05i,0.0010209-0.00062936i,0.00035082-0.00093282i,-0.00084427-0.00075706i,-0.0014489-0.0014485i,-0.00041465-0.0013573i,0.00057659+6.3372e-05i,0.00048001+0.00010029i,-0.00028643-0.00049868i,-0.0010251-0.0002607i,-0.00060665-0.000145i,0.0003537+0.00013393i,0.00084415+0.00089089i,0.00075638+0.00087002i,0.00041722+0.00042025i,0.00052474+0.00014035i,0.0010061-5.2805e-05i
-0.0014731-0.0026343i,-0.0023735-0.0014567i,-0.0027751-0.0020821i,-0.0025497-0.0019355i,-0.0021622-0.00052936i,-0.00092358+9.4816e-05i,-3.6596e-05+0.0001351i,-0.00030753-0.00055847i,-0.00079876-0.00071096i,-0.00046245-5.6103e-05i,1.0205e-05+0.00012051i,0.00052839+0.0005246i,0.00075378+0.00099747i,3.3101e-05+0.00082912i,-0.00065277+0.00053854i,-0.0010353-3.3475e-06i,-0.0012728-0.00057162i,-0.00085779-0.00081583i,0.00025707-0.00081035i,0.00068006-0.00048539i,-0.00020051-0.0006242i,-0.00016839-0.00078933i,-2.4163e-05-0.00094546i
-0.00032403+0.00060531i,-0.0014215-6.9742e-05i,-0.0032327-0.00052942i,-0.0029775-0.00083305i,-0.0020595-0.00046985i,-0.0010701+8.4739e-05i,-6.8618e-05+0.00057692i,0.00050448+0.00051919i,0.00052217+0.00039844i,0.00022635-8.7381e-06i,-9.3008e-05-0.00036284i,4.6809e-05-0.00017797i,0.00075688-8.8645e-05i,0.00065039-0.00037744i,-0.00014503+0.000171i,-0.0004461+0.00099291i,-0.00065569+0.00074801i,-0.00029522+0.00045165i,0.00035318+0.00029304i,1.7767e-05+0.00018593i,-0.00010664+0.00035546i,-0.00013921+0.00020744i,-0.00037589-0.0004008i
-0.0020325+0.001202i,-0.0023921+0.0014386i,-0.0020145+0.0013419i,-0.0022657+0.0016179i,-0.0012446+0.0021492i,-0.00025893+0.0015679i,-0.00023649+0.00042312i,0.00038737+0.00080262i,0.0011625+0.0011524i,0.0012002+0.00094341i,0.00063851+0.00070463i,-0.00041561+0.00030244i,-0.00033101+0.00061697i,0.00019579+0.00036981i,-0.00036057-0.00021759i,-0.00046069-0.00097825i,7.7848e-05-0.00087151i,0.00045854+0.0004254i,0.00030314+0.00053396i,-0.00020425+0.00043415i,-0.00034694+0.00045133i,-0.00025609-0.00012193i,0.00019893-0.00086414i
0.0035105-0.001066i,0.0034572-0.0016791i,0.0014013-0.0015697i,0.00055362-0.0017629i,0.00024091-0.0017232i,-0.00044025-0.00094574i,-3.3582e-05-0.0006231i,0.001297-0.0011973i,0.0018266-0.0010653i,0.0010326-0.00067728i,0.0006107+1.9559e-06i,0.0004333-0.0001076i,-2.217e-06-0.00038412i,0.0003398-0.00035801i,0.00086289-0.00014992i,-7.5884e-05+0.000201i,-0.0015621+0.00043676i,-0.0010872+8.4586e-05i,4.3227e-05-0.00045241i,0.0006785-0.00036763i,0.0011252-0.00012278i,0.0011054-0.00028988i,0.0004368-0.00039358i
-0.00031985+0.00042052i,-0.00026652-0.00076532i,-0.00065203-0.0021371i,-0.0015204-0.0029543i,-0.0011954-0.002401i,-0.00076995-0.001233i,3.4252e-05-0.0001016i,0.0008448+0.00022272i,0.00023904-0.00052481i,-0.00024031-0.00021134i,-0.00032931+0.00029119i,-0.00029635+5.7719e-05i,-0.00035014-6.6169e-05i,-0.00067523-0.00047868i,-0.00014739-0.00087423i,0.00023312-0.00042036i,0.00037873-3.6515e-05i,0.00036496+0.0001226i,-3.2287e-05-0.00019907i,-9.9118e-05-0.00044956i,1.3358e-05-0.00014322i,-0.00017067-8.7051e-05i,-1.5778e-05-0.00026227i
-3.9275e-05-0.00094939i,-0.0011956-0.0015115i,-0.0021168-0.001298i,-0.0033575-0.0011215i,-0.0024576-0.0010665i,-0.0012722+0.00020943i,-0.0011168+0.00075481i,-0.00078555-0.00027833i,-0.00055945-0.00030235i,-0.00054562-0.00047198i,-0.00084258-0.00034009i,-0.0008859-0.00021914i,-0.00031225-0.0005659i,-0.00013795-0.00096203i,-0.00069587-0.0010653i,-0.00080761-0.00065117i,-0.000566-0.00032508i,1.7504e-05-5.46e-08i,0.00081535-7.5391e-05i,0.00026686-0.00015989i,-0.00028424-8.9017e-05i,-0.00065656+3.907e-05i,-0.00068072+0.00029656i
0.00070912+0.0024119i,0.00059223+0.0015787i,-0.0012011+2.2105e-05i,-0.0021262-0.00072036i,-0.0014519+1.2071e-05i,-0.001056+0.00018827i,-0.00038631-0.00019403i,0.00065947-0.00052771i,0.00075056-0.00039251i,0.000538-0.0001686i,0.00027379+5.809e-05i,-0.00030176+0.00030212i,-0.00050728+0.00023045i,-0.00061459+0.00039119i,-0.00089889+0.00037627i,-0.00092905+3.6316e-05i,0.00025584-0.00047813i,0.00096444-0.00055251i,0.00058605-0.00012418i,0.00041057+2.6859e-05i,2.1254e-05+0.00033197i,0.00028301+0.00068216i,0.00061363+0.00055138i
0.0017591+0.00062749i,0.0006912+0.00074383i,0.00082806+0.00012526i,-0.00038638+0.00024519i,-0.001063+0.00050943i,0.00043441+0.00089754i,0.0012523+0.0016205i,0.00074653+0.0013174i,0.00068095+0.00076731i,0.00011351+0.00064021i,-0.00072697-0.00018195i,-0.00093214-0.00037424i,-0.00077209+0.00021837i,-0.00042077+0.00022084i,-0.00083238-0.00011493i,-0.00044296-0.00042983i,0.00052096-0.0007764i,0.0012725-0.00074365i,0.00098812-0.00026655i,0.00080967-0.00052265i,0.0010975-0.0013822i,0.0013102-0.00097482i,0.00083576-4.9197e-05i
