-0.0023213-0.0001816i,-0.0019121-0.0023235i,-0.0012736-0.001195i,-0.00031484+0.00087287i,-0.00012766+0.0019605i,0.00046586+0.0012471i,0.00069286+0.00046808i,0.0013146+0.0014126i,0.0021022+0.0021529i,0.0015076+0.0015165i,0.00092436-2.3536e-05i,0.00069527-0.0006827i,-0.00066595-0.00084919i,-0.00077795-0.0011913i,-0.00047336-0.0011256i,-0.00029058-0.00017289i,-2.6062e-06+0.00043621i,-7.5663e-05-0.00019285i,0.00020357-0.0008652i,0.00017127-0.00079029i,0.00018289-0.00030165i,0.00097821-0.00027051i,0.00047933-7.4386e-05i
0.00039955+0.0011629i,0.00054432+0.0018943i,0.0018853+0.0024454i,0.0033988+0.0014032i,0.0035775+1.968e-05i,0.001055-0.00044569i,-0.00074037+0.00051377i,-0.00022774+0.0018165i,0.00080185+0.0019615i,0.0016615+0.0008378i,0.0015338-0.00016275i,0.00079884-0.00077088i,-3.3111e-05-0.00080815i,-0.00091282-0.00074708i,-0.001025-0.00075676i,-0.00047865-0.00060032i,0.00019841-0.00054431i,0.00039063-0.00079656i,7.1751e-05-0.0002679i,-0.00017137+0.00070826i,-0.00056212+0.00023151i,-0.00060147-0.00082546i,5.4502e-05-0.00093573i
0.00033375-0.0015325i,-0.00070084-0.00066818i,-0.0015863-0.0012078i,-0.00057797-0.0015108i,0.00017976-0.0009836i,0.0001728-0.00053698i,0.0010836+0.00085428i,0.0018575+0.0019616i,0.0016394+0.0014015i,0.001002+0.00047316i,0.00047305-0.00017829i,-0.00044346-0.00040095i,-0.00056926-0.00081246i,6.4311e-05-0.0014941i,0.00065924-0.0010021i,7.491e-05-0.00021297i,-0.0010388-0.0006422i,-0.00032163-0.000782i,0.00029073-9.343e-05i,-0.00035621+0.00023189i,-4.6763e-05+0.00021711i,0.00029758-1.6289e-05i,-0.00023696-0.00046313i
0.00095519+0.00056308i,0.0010098+0.00023754i,0.0016784-0.0006419i,0.001801-0.00062644i,0.0010465-0.0011035i,-9.2865e-05-0.0018009i,-0.00056928-9.1401e-05i,0.00089561+0.0017128i,0.0015283+0.0014811i,0.0013759+0.00053693i,0.0012262-8.4274e-05i,0.00077335-0.00017495i,9.6491e-05-0.00028769i,-0.00088696-0.00039585i,-0.00051559-0.00060141i,0.00021512-0.00041756i,3.513e-05+0.00034824i,7.5614e-05+0.00029737i,0.00017406-0.00085133i,0.00089174-0.0014538i,0.0011271-0.00088582i,-0.0001849-0.00026407i,-0.00048648-4.5318e-05i
0.00059591-0.00027146i,0.0012439-0.00012713i,0.0021776+0.00063934i,0.0022049+0.00019621i,0.0011431-0.0012542i,0.00018561-0.00085619i,-4.867e-05+0.00040726i,0.0005151+0.0010914i,0.00072502+0.0014228i,0.00033987+0.00085255i,0.00047889+2.8449e-06i,0.00050823+6.5568e-06i,-1.7847e-05-0.00038724i,0.00051175-0.00077714i,0.00028427-0.00017817i,-0.00049056-8.7319e-05i,-0.00039215-0.00027318i,0.00012561-0.00028445i,0.00065088-7.295e-05i,0.00061282+9.7814e-05i,0.00020661-6.1772e-05i,-0.00024555-0.00013236i,3.2714e-05+6.5782e-05i
-0.00050166+8.1793e-05i,-0.0018753+0.00084951i,-0.0017973+0.001959i,-0.00064252+0.0016842i,0.00040585+0.00048228i,0.00013212-0.00049343i,2.8962e-05-1.5759e-05i,0.0013024+0.0014424i,0.0017806+0.0018794i,0.0009904+0.00069629i,0.00057685-0.0004132i,0.00019194-0.00055418i,0.0003728-0.00020447i,2.4074e-05-0.00032696i,-0.00020337-0.00051711i,0.00024145-0.00064918i,0.000445-0.00034158i,0.00029372+0.00027531i,0.00069756+0.00013156i,0.0014898-0.00035468i,0.0010921-0.00060351i,0.00054473-0.00045401i,1.2707e-05-0.00015774i
0.0005237-0.00015889i,0.00026147-0.0008109i,0.00062605-0.00028942i,0.0021944-0.00056681i,0.0018406-0.0013364i,0.00074435-0.0012464i,0.00040608+0.00014739i,0.00096416+0.0011571i,0.0010455+0.00093581i,0.0011737+0.00041303i,0.00098382+0.00030319i,0.00028047+0.00025674i,-0.00042134-0.0001416i,-0.00014155-0.00043097i,0.00027314+0.00013077i,-0.00012879+0.00039876i,-0.00056485+0.0003638i,-0.00090207+5.0143e-05i,-0.00032655-0.00031278i,-8.6407e-05-0.0002467i,-9.682e-05-0.00023249i,0.00012004-7.8692e-07i,-0.00017613+2.0648e-05i
0.0006134-0.00020435i,0.00053741+0.00069759i,0.00083171+0.00082023i,0.0010928+0.00047546i,0.0010748-0.0010288i,0.00076872-0.0010934i,0.00010071+0.0007771i,-0.00031943+0.0015559i,0.00061452+0.0012622i,0.0013824+0.00032088i,0.00079096-0.00053099i,0.00068996-0.00081994i,0.00019015-0.00065103i,2.5993e-05-0.00068113i,0.00015916-0.0007524i,-0.00010514-0.00066345i,-0.00043153-0.00032618i,-0.00087126-0.00043065i,-0.00060353-0.00056183i,-0.00022701-0.00045703i,-0.00020009-0.00074557i,0.0005331-0.0012114i,0.0011955-0.0010962i
-0.0011823+0.0004491i,-0.00093542+0.00065774i,-0.00071175+0.00086428i,0.00046995+0.00018668i,0.0014991-0.0011913i,0.0010462-0.0018491i,-0.00037353-0.00079725i,0.0002161+0.0010144i,0.0015429+0.0017353i,0.0019088+0.0013915i,0.0015644+0.00039331i,0.0011725+0.00014044i,0.00046368-0.00021372i,-0.00024619-0.00073998i,-2.8533e-05-0.00032971i,0.001004+9.4495e-06i,0.0013902-0.00052473i,0.00045413-0.00023157i,-0.00024997-4.784e-05i,0.0002196-6.1359e-05i,0.00030738-0.00033034i,-0.00035076-0.00055732i,-0.00097283-0.00033819i
-0.00014914+0.00061938i,0.00082793+0.00078052i,0.0026464+0.00016671i,0.003731+9.8914e-05i,0.0034026+9.7438e-05i,0.0019121+0.00027129i,0.00040117+0.00068924i,0.00051282+0.0010088i,0.0018611+0.0011828i,0.0016609+0.00046384i,0.00087786-0.00056838i,0.00083697-0.00016166i,0.001023-0.00028733i,0.00061502-0.00068868i,6.307e-06-0.00062246i,-0.00036281-0.00071623i,-0.0005422-7.7136e-05i,-0.00045591-0.00017998i,-0.00011682-0.00046473i,0.00028623-0.00014781i,0.00066891-4.4737e-05i,5.1037e-05-0.00012414i,-0.00064946+1.5136e-05i
-0.00011197+5.3321e-05i,-0.0011606+0.00050259i,-0.00073142+0.00089526i,0.00038904+0.00043668i,0.00044146-0.0011526i,-0.00018941-0.0012649i,-0.00014696+2.3014e-05i,0.00039481+0.0010866i,0.0013188+0.001415i,0.0020356+0.0010636i,0.0013845+0.00053329i,0.00060863-3.0708e-05i,0.00035027-0.00017271i,0.0003374-0.00019751i,0.00045952-0.00055092i,0.00050348-0.0007337i,0.00025474-0.0013582i,-0.00016243-0.0015088i,0.00065783-0.000347i,0.00080132+0.00056145i,0.00017114+0.00069356i,0.0005777+0.0006457i,0.00034978-4.3009e-05i
0.00022421-0.0011376i,0.00093495-0.0017073i,0.0012427-0.0020978i,0.0011721-0.0014107i,0.0010179-0.001203i,0.00058888-0.00027107i,1.5249e-05+0.0006311i,0.00031543+0.00064568i,0.0015827+0.00040339i,0.0018175+0.00011812i,0.00066986-0.00075479i,-1.1629e-05-0.001533i,-0.00029149-0.00084887i,-0.00015923+0.00031442i,-8.9734e-05+0.00027433i,-0.00052545+9.0233e-06i,-0.00068626+3.621e-05i,-0.00058979+1.0958e-05i,-7.2349e-06-0.00020011i,-0.00018843-0.00035432i,-0.00026313-0.00042008i,0.00019017+0.00013352i,-5.0268e-05-0.00013191i
5.0587e-05+0.0020834i,0.00046305+0.0022041i,0.0020321+0.0018823i,0.0031257+0.0011135i,0.002543-0.0009033i,0.001578-0.0021046i,0.000375-0.00034205i,-0.00052792+0.0010121i,0.00038798+0.00088918i,0.00093926+0.00068962i,8.9094e-05+0.00048608i,0.00035248-0.00061351i,0.0012024-0.0010509i,0.0011068-0.0007114i,0.00021594-7.0893e-06i,-2.5541e-05+0.0002431i,0.00088174-0.00023865i,0.00065167-0.00055862i,4.6704e-05+1.4515e-05i,0.00047332+0.00086055i,0.00037545+0.00068771i,-0.00018734-8.7241e-06i,-0.000461-0.00056067i
-0.0003716+0.0012896i,-0.001048+0.00074233i,0.00059208+0.0010232i,0.0031278+0.0013256i,0.0039227+0.00073117i,0.0016677+0.00022592i,-0.00024485+0.00099809i,0.00034492+0.0024248i,0.0015408+0.0026774i,0.0018666+0.001634i,0.0017235+0.00070161i,0.0011104+0.00053421i,0.0014502+0.00014486i,0.0015517-0.00028808i,0.00042472+9.7166e-05i,-0.00028435+0.00014865i,0.00035978+0.0004082i,0.00073307+0.00059572i,0.00011348+0.00020902i,-8.568e-05+7.9905e-06i,0.0005793+0.0003207i,0.00079689+0.00053698i,0.00026457+0.00039727i
-0.00062369-1.773e-07i,-0.00053298-0.001163i,0.00055626-0.0001521i,0.00023134-0.00020065i,-0.0010134-0.0011261i,-0.00088613-0.0011775i,-0.00016856-0.00020613i,0.00071526+0.00085908i,0.0021309+0.0011198i,0.0020894-7.2459e-06i,0.00047687-0.00078105i,-0.00019706-0.00021406i,-0.00010438+6.6086e-05i,-0.00017532-0.00026953i,-2.4175e-05-0.00030294i,-7.0225e-05+4.7797e-05i,-0.00021923+0.00013681i,-0.00062075+0.00025762i,-0.00050825+0.00029835i,-0.00020433-0.00010215i,-0.00036408-0.00063822i,-0.00059082-0.00079003i,-0.00046016-5.472e-05i
