-0.00096847+0.00039198i,0.00042337-0.00062614i,0.00065498-4.9004e-05i,0.00050988+0.00077971i,0.00028425+0.00037719i,-0.00025528+0.00030054i,-0.0015187+0.00083606i,-0.0010566+0.0014909i,0.00010775+0.0011982i,0.00012121+0.00035032i,0.00075476-0.00012591i,0.00051486+0.00035359i,-0.00035009+0.00081751i,-0.00013246+0.00013997i,0.00032623-0.00089891i,0.00037073-0.00055638i,0.0003017+0.00074051i,0.00031672+0.00068486i,0.00041351+0.00027616i,0.00047521+0.0004286i,-6.1926e-05+0.00084964i,-0.0010029+0.00069923i,-0.001126-0.00062765i
-0.00060056+0.00047609i,-0.001481+0.0005171i,-0.00039462+0.00079328i,0.0011977+0.00030205i,0.00084349-0.0010155i,-0.00036817-0.0017i,-0.0015849-0.0008966i,-0.0025792+0.00033212i,-0.0014474+0.0011282i,0.00018403+0.00076954i,0.00058559+0.00024488i,0.00072321+9.0901e-05i,0.00086258+0.0001026i,0.00029027+0.00037705i,-0.00022545+0.00084794i,-0.00040052+0.00084023i,-0.00060551+4.9592e-05i,-0.0001802-0.0004764i,-0.00041945-0.00047477i,-0.0008862+0.00022909i,-0.00061925+0.0012647i,-0.00058953+0.00076679i,3.0154e-05-9.701e-05i
0.0010409+0.0006072i,0.0012479+0.0013155i,0.00088208+0.0019202i,0.00049862+0.0021293i,0.00050619+0.00085657i,0.00058234-5.5998e-05i,-0.00017157+0.00039804i,-0.00099093+0.00087561i,-0.00086846+0.00048082i,-0.00051315-0.00018242i,-0.00027488-0.00082361i,5.25e-05-0.00083262i,-0.00060719+0.00027596i,-0.0010243+0.00097815i,2.788e-05+0.00035611i,0.00015065-0.00070615i,-0.00026663-0.00087684i,-0.0011116-0.000357i,-0.001107-0.00068179i,0.00031734-0.00040228i,0.00067941+0.00022447i,0.00020275+0.00050304i,0.00024705+0.00031002i
-0.00031927+0.0006212i,0.00018201+0.00091959i,0.00059946+0.0013562i,0.0011411+0.0020396i,0.0016813+0.0011745i,0.0015341+8.5858e-05i,0.00088519+0.00014088i,-0.00028813+0.00070728i,-0.0001445+0.0011399i,0.00058577+0.0013475i,0.00030804+0.0011358i,0.00077045+0.00060614i,0.00091586+0.0007049i,0.00040121+0.0011688i,-0.00011416+0.0011415i,1.468e-05+0.00041867i,0.00027541+0.0002061i,0.00046441-0.00014525i,0.0007658+0.00013105i,0.00061637+0.0009723i,2.3109e-05+0.0012202i,0.00017615+0.00080078i,-0.00012663-0.00016807i
-0.00030223-0.00040371i,-0.00048131-0.00059021i,0.00066197+0.00014474i,0.0019612+0.0006669i,0.0022116+0.0010945i,0.00079083+0.00022188i,-0.00064376-0.00076003i,-0.00033837-0.00072753i,0.00025992-0.00040943i,0.00097184+0.00013732i,0.00030449+0.00024268i,-0.0010275+0.00049332i,-0.0011037+0.00082015i,-0.0004534+0.00039977i,-0.00032501+6.0456e-05i,-0.00029665-0.00027194i,0.00057322-0.00065767i,0.0010674-0.00046509i,0.00090278-0.00010618i,0.00090449+0.00056913i,0.0013035+0.0013708i,0.00095476+0.0012861i,0.00082279-7.8189e-05i
0.00011477-0.00058365i,0.00070489-2.0734e-05i,0.00097927+0.00038238i,0.00039694+0.00067067i,0.00013733+0.0011679i,-0.00059702+0.0010091i,-0.0009207+0.00026011i,-0.00080829-0.0002661i,-0.00058865+4.962e-05i,0.000133+0.00029412i,9.1518e-05+0.00020902i,-0.00026062+0.00055014i,-0.00022504+0.00049362i,-0.00030517+0.0003321i,0.00060779+0.00042706i,0.0011247-3.6086e-05i,0.00058285-0.00035945i,0.0001252+8.6964e-05i,0.00064639+0.00035264i,0.00034106+0.00034319i,-0.00040316+0.00022907i,-0.00048358+0.00054901i,-0.00025949+0.0012588i
0.0010025+0.0016304i,0.0017914+0.0018257i,0.0027545+0.00061612i,0.0027382+0.00062415i,0.0015022+9.3305e-05i,0.00055874-0.0010442i,-0.00070793-0.00051747i,-0.0017856+0.00089461i,-0.0010201+0.001544i,0.00044299+0.0005497i,0.00033215-7.2687e-05i,0.00018616-7.0367e-05i,0.00027432-0.00013726i,0.0004668-0.00034039i,0.0013309+0.00067736i,0.00086725+0.00053201i,2.997e-05-0.00025019i,0.00010954+0.00031503i,0.00054649+0.00048108i,0.00047955+0.00027093i,0.00024644+0.00038836i,5.9981e-05+0.0002822i,0.00040182-1.593e-05i
-0.00079583-0.00075666i,-0.0015198-0.00010904i,-0.00068489+0.0010602i,0.0008089+0.0016494i,0.0011023+0.001068i,-0.00028224+9.0497e-05i,-0.0015702-0.00059351i,-0.00094043-0.00089052i,-0.00012568-0.00012914i,-0.00012007+0.00072053i,0.00049203+0.00044764i,0.0006414-3.8646e-05i,6.5344e-05-0.00046673i,-0.00065894-0.00088935i,-0.0008834-0.00079082i,-0.00054918-0.00027152i,-0.00038073-0.00014687i,-0.00012938-0.0014326i,0.00044329-0.0012291i,0.00066224-0.00014977i,0.00057048+0.00032793i,0.00053353+0.00068868i,0.00014824+0.0010083i
0.00010077-0.0021977i,0.0012735-0.001996i,0.00011792-0.00068296i,-7.9314e-05+0.00061894i,0.00032643+0.00049489i,-0.00061941+4.781e-05i,-0.00036066+9.6863e-05i,0.00048152+0.00087258i,-0.0002576+0.0015191i,-0.001076+0.0015237i,-0.00071298+0.00079824i,-0.00038876+7.5103e-05i,0.00018347-0.00034534i,0.00089387-0.00046682i,0.00040676-8.7695e-05i,0.00055657-6.7879e-05i,0.00098809-0.00015708i,0.00037518+0.00029508i,-7.2377e-05+0.00043543i,-0.00029841+0.00035818i,-9.0485e-05-0.00025855i,0.00063699-0.00027954i,0.00052798-0.00048083i
-7.826e-05-0.00020431i,0.0004675+0.0013466i,0.00057457+0.0024179i,0.0002718+0.0031439i,-0.00026188+0.0024553i,-1.2892e-05+0.00066275i,-0.00029137-0.00018947i,-0.00032823-0.00030325i,0.00040376-0.00012375i,0.00044675-0.00018595i,0.00010785-0.00036031i,-0.00022697+0.00064841i,-0.00066345+0.001796i,-0.00076278+0.0012576i,-0.00080404+0.00026094i,-7.1885e-05-0.00029987i,0.00044931-0.00029427i,0.00046355+0.00022421i,0.00053374+0.00082409i,-0.00013848+0.00030105i,-0.00052273+0.00030803i,-0.00067099+0.00079933i,-0.00036622+0.00074663i
-0.0005589-0.00062679i,-0.0011816-0.00060717i,-0.00071279-0.00024874i,-3.6619e-05+0.00012044i,3.8954e-05-0.00024377i,-0.00054041-0.00085235i,-0.00076846-0.0010304i,-0.00072628-0.00080858i,2.9919e-05-6.3745e-05i,0.00096221-0.00048677i,0.00043314-0.0011386i,-0.00014484-0.00061803i,0.00040379-0.000428i,0.00080097-0.00032847i,0.00061303+0.00020159i,0.0005905-3.4448e-05i,0.00074088-0.00026849i,0.00053448+8.9004e-05i,-0.00031706-8.3421e-05i,-0.00035033+0.00013352i,0.0003556+0.00037039i,0.00075035+0.0004501i,0.0010199+0.00057117i
