-0.0028514-0.0012952i,-0.0016985-0.0020478i,-0.0019276-0.00031754i,-0.002207+0.0012293i,-0.00097492+0.0018395i,0.00057942+0.0010333i,0.00057836+0.00017502i,-0.00027334+0.00012973i,-0.00017188+2.8682e-05i,0.001051-0.00010033i,0.0017204-0.00017755i,0.0014514-0.00017668i,0.00083093+0.00062802i,0.00039422+0.00054549i,0.00092299-0.00068088i,0.0011928-0.0008569i,0.00034436+6.4533e-05i,0.00058727+0.00052227i,0.00062532-0.00046344i,-0.000312-0.00066016i,-0.00098841+8.1354e-05i,-0.00082222+0.00026351i,0.00028454+1.0478e-05i
-0.0012928+0.0010541i,-0.0015683+0.00010684i,1.5666e-05-0.00017961i,0.00029036-0.00049516i,-0.0010558-0.0013156i,-0.0018766-0.002072i,-0.00090458-0.0022768i,-0.00034572-0.0010034i,-0.00019446+0.00045548i,0.00013032+0.00083656i,9.6979e-05-2.7894e-05i,-0.00025631-0.00036648i,-0.0007079+0.00033667i,-0.0010439+0.00031548i,-0.0011484-7.0987e-05i,-0.00078688-0.00011984i,-0.00016097+0.0008306i,-7.3699e-05+0.001174i,-0.00036688+0.00024048i,-0.00060165+0.00015604i,-0.00017152-9.2885e-05i,0.00038938+4.3931e-05i,-2.103e-05-0.000466i
0.0003466-0.0016045i,-0.00045238-0.00094254i,-0.00038107-0.00062866i,-9.836e-05-0.0012112i,-4.159e-05-0.0014948i,-0.00026559-0.0016281i,-0.00064256-0.0013488i,-0.00057814-0.00066243i,-0.00035663+0.00010079i,-0.00014611+0.00083357i,0.00036156+0.00083227i,0.00066507+0.00022633i,2.6668e-05+0.0002198i,-1.7442e-05+0.0011948i,0.00052123+0.0015515i,0.000324+0.00085173i,0.00019751+0.00030648i,0.00013543+0.00024922i,0.00034867+7.357e-05i,0.00042131-0.00038752i,-0.00046809-0.00099014i,-0.0010624-0.000649i,-0.0008787+6.7964e-05i
-0.0014149+0.00036734i,-0.00062052+0.00031164i,-0.0011087-0.00053103i,-0.0014928-0.00091044i,-0.00068446-0.00038302i,2.4955e-05-0.0007301i,0.00010889-0.0014483i,0.00032007-0.0012514i,0.00091117-0.00065305i,0.00096277-0.00016621i,0.00056543+0.00033364i,0.00020623+0.0011622i,-0.00094868+0.00062448i,-0.0016235+0.00048106i,-0.0015259+0.0010106i,-0.00044866-0.0001185i,0.00045807-0.00039487i,-0.00017389-2.9167e-05i,-0.0002563+0.00011106i,0.00053681+0.00039767i,0.00063079-2.3829e-06i,-0.00027905+1.8658e-05i,-9.0293e-05+0.00074058i
-0.00069711-0.0013677i,-2.5274e-05+4.9137e-05i,-0.00016352+0.001576i,-0.00020504+0.0015309i,0.00034573+0.00056598i,0.00022092-0.00048474i,-0.00013868-0.0014124i,-0.00031494-0.0014653i,-0.00045172-0.00069322i,-5.829e-05+0.00012844i,0.000969+0.00087184i,0.0011277+0.0015614i,-5.311e-05+0.0010654i,-0.00050966-0.00012198i,-0.00053212+0.00040365i,-6.0343e-05+0.0010805i,0.00026432+0.00071561i,-0.00010747+0.0007641i,0.00023597+0.00061738i,0.0005646+0.00026782i,0.00070403+0.00049256i,0.0007056+0.00058262i,0.00027726-0.00011707i
-0.0010739-0.0012902i,-0.0017782-0.0005553i,-0.0011208+0.00015319i,-0.00012858+0.0002581i,6.8141e-06+0.00034877i,0.00016026-0.00053731i,0.00023367-0.0010629i,0.00041746-0.00025963i,0.00082734+0.00052647i,0.00045697-9.8339e-05i,-0.00023491-0.00045711i,-9.2411e-06+0.00015168i,-0.00035359+0.00093083i,-0.0012248+0.0010236i,-0.001004+0.00058608i,-0.00018841+0.00079193i,-0.00030242+0.00086895i,-0.00048909-0.00021254i,-5.1471e-05-0.00038756i,0.00031074-0.00034186i,0.0001694-3.5637e-05i,0.00026477+0.00054754i,0.00026084+0.00047282i
-0.0019567-0.0001195i,-0.0013765+0.00017303i,-0.00017498+0.00016784i,0.00068851-0.00030157i,0.00042028-0.0013249i,2.6406e-05-0.0022031i,-0.00013524-0.001886i,-0.00065999-0.00077961i,-0.00075492+5.8417e-05i,-0.00022956+0.0004601i,0.00011139+0.0003291i,0.00025379+9.172e-05i,0.00034006+0.00025236i,9.559e-05+0.00047443i,0.00045644+0.00034394i,0.00067023+0.00026915i,-0.00010508-0.00018086i,-0.00021581-0.00066811i,0.00062012-0.00064799i,0.00063893-0.00012961i,2.643e-05+0.00010849i,-0.00022276+0.00020658i,0.00024405+0.00083361i
-0.00081406-0.0024599i,-0.0010072-0.0014115i,-0.001821-0.00010107i,-0.001534+0.00080239i,-0.00065672+0.00093592i,0.00011905+0.00019011i,0.00037472-0.00014482i,0.00012087-0.00030888i,0.0003851-0.00020877i,4.625e-05+0.00076299i,-0.00077788+0.00090957i,-0.00031027+0.00029756i,-0.00035366+0.00057436i,-0.00045479+0.00055848i,0.00068577+0.00060323i,0.00053288+0.00062306i,-0.00011279+9.276e-05i,0.00071873-0.00058406i,0.0011363-0.00089308i,0.00025246-0.0002926i,-0.00079547+0.00050387i,-0.0010707+0.00045479i,0.00029295+9.0352e-05i
0.00056657+0.00065085i,-0.00023306+0.00040757i,0.00035743+0.00069635i,0.00099065+0.00083881i,0.00019241-0.0011706i,-0.00047852-0.0029751i,-0.0014014-0.0026566i,-0.0018006-0.001514i,-0.00068044-0.00039517i,-0.00011756+1.1797e-05i,-0.00013098+0.00031301i,0.00044524+0.00052347i,0.00074294+0.00033656i,-8.8144e-05+0.00080103i,-0.00054485+0.00083102i,-0.00022716+0.00026281i,0.00011838+0.00015365i,0.00013753+9.1544e-05i,-0.0002982+0.00025036i,-5.7024e-05+0.00011498i,0.00073037+0.00022504i,0.00025924+0.00061731i,-5.8092e-05+0.0011172i
9.2004e-05+0.00039385i,-0.00029681-0.00093536i,-0.00058247-0.0018484i,-0.00077507-0.0011405i,-0.0012895+0.00027141i,-0.0019109+0.0011467i,-0.0015034+0.00071129i,-0.0010507+0.00087818i,-0.00089045+0.00075415i,-0.00060451+6.0895e-05i,-0.00056797-5.2075e-05i,-0.00077905+0.00012699i,-0.00058815+0.0005071i,-0.00036509+0.00098397i,-0.00063767+0.00042581i,-0.00094736-8.8921e-05i,-0.00049256+0.00024053i,0.00093727+0.00072655i,0.0013085+0.00091151i,0.00066293+0.00046172i,0.0004149-5.0978e-05i,-0.00028438-0.00016029i,-0.00099327-4.9679e-05i
-0.00040914-0.00042821i,-0.001142-0.00038253i,-0.00037618-0.00010365i,0.00052474-0.00064226i,0.00010823-0.0015979i,-0.00041445-0.0013664i,-0.00072666-0.00023954i,-0.00025263+0.00029947i,0.00045429+9.5135e-05i,-0.00052919+2.9384e-05i,-0.0010675+0.00028532i,-0.00080509-1.7016e-05i,-0.00049819-0.00012361i,-0.00033647+0.00070821i,-2.9347e-05+0.0014402i,-0.00025201+0.0015067i,-0.00015638+0.00062688i,0.00028168-0.00026967i,5.3234e-06-0.00096411i,0.00036038-0.00078173i,0.00080986+8.665e-05i,0.00034622-0.00035998i,0.00033568-0.00086699i
