-0.0028514-0.0012952i,-0.0016985-0.0020478i,-0.0019276-0.00031754i,-0.002207+0.0012293i,-0.00097492+0.0018395i,0.00057942+0.0010333i,0.00057836+0.00017502i,-0.00027334+0.00012973i,-0.00017188+2.8682e-05i,0.001051-0.00010033i,0.0017204-0.00017755i,0.0014514-0.00017668i,0.00083093+0.00062802i,0.00039422+0.00054549i,0.00092299-0.00068088i,0.0011928-0.0008569i,0.00034436+6.4533e-05i,0.00058727+0.00052227i,0.00062532-0.00046344i,-0.000312-0.00066016i,-0.00098841+8.1354e-05i,-0.00082222+0.00026351i,0.00028454+1.0478e-05i
0.00062668+0.0014488i,-0.00035862+0.0011248i,-0.00017544+0.00033027i,0.00074473-0.00044499i,0.00073084-0.001275i,-0.00022947-0.0023494i,-0.00083421-0.002565i,-0.00087475-0.0014236i,-0.00068089-0.00078259i,8.208e-05-0.00028033i,-0.00030499-0.00030017i,-0.00093865-0.00075059i,-0.00089065-8.1952e-05i,-0.0013512+0.00061232i,-0.0010066-0.00012222i,-0.00050505-0.00012355i,-0.00071149+8.2709e-05i,-4.4237e-05+0.00010553i,0.00084072+0.00020959i,0.0004845-0.00045803i,-0.00024413-0.0012214i,0.00054425-0.00093748i,0.0011399+9.79e-05i
-0.0015597+0.00063435i,-0.0015103+0.0014248i,-0.0015571+0.00158i,-1.3599e-05+0.00089856i,0.0014488+0.00062159i,0.00035576-0.00051712i,-0.0010496-0.0016309i,-0.0010493-0.0014451i,-0.00051222-0.00064786i,9.9933e-05-0.00022894i,0.00037747+0.0003796i,0.00047847+0.00083146i,0.00043252+1.1711e-05i,0.00050692-0.00095021i,0.00053089-0.00090683i,0.0007531+5.4422e-05i,0.00019585+0.00040288i,-0.0007807+0.00022582i,-0.0011867+0.00038484i,-0.0010287+0.00046362i,-0.00047704+0.00050599i,-0.00054556+0.00022231i,-0.00061036-0.0003416i
0.00084052-0.0015158i,0.00045094-0.00078751i,-0.00099333-0.00053634i,-0.0012263-0.00063074i,-0.00044009+0.00019797i,-0.00024147+0.00070172i,-0.00061081-5.3747e-06i,-0.00084823+0.00011243i,-0.0012425+0.00049894i,-0.0013331-0.00015549i,-0.00072835+2.1826e-05i,0.00019214+0.00033545i,0.00088082-7.9681e-05i,0.00058904+9.2317e-05i,0.00037332+0.0003866i,0.0010108-7.808e-05i,0.00099938-0.00020974i,-5.9919e-05+0.00050171i,-0.00026142+0.00036728i,-0.00012044+0.00022388i,-5.2128e-05+0.00023781i,-0.00062349-0.00031657i,-0.0011194-0.0001083i
0.00071478+0.0001256i,0.00025029-1.0851e-06i,-0.00013596-0.00060471i,-0.00040883-0.00050878i,-0.00060134-0.00040576i,-0.00053456-0.00074198i,-0.00044215-0.00043318i,-0.00039093+8.8686e-05i,-0.00075439-0.00021128i,-0.00058066-0.00043555i,-0.00040519+0.00020081i,-0.00050075+0.0012489i,-0.00018604+0.0016094i,0.00036199+0.0014693i,0.00026222+0.00070693i,-0.00028621-0.00012884i,-0.00043241-0.00033651i,0.00025297+0.00013577i,-8.6194e-05-0.00011245i,-0.00034367-0.00032426i,-0.00025716+0.00032919i,-0.00037877+0.00075913i,-0.00029591+0.00021885i
-0.00084197+0.00088508i,-0.0013506+0.00089886i,-0.0012461+0.0011902i,-0.00022783+0.00070941i,8.3731e-05-0.00041386i,-0.0001066-0.0010952i,-0.0007564-0.0014815i,-0.0016127-0.001455i,-0.00092305-0.00062836i,3.3038e-05-0.00038592i,-0.00047699-0.00014786i,-0.00020359+0.00071216i,0.0010973+7.0395e-05i,0.0017841-0.00057538i,0.0017591-0.00040782i,0.0012573+9.4258e-05i,0.00027773+0.00088857i,-0.0010267+0.0005563i,-0.0014685-5.8039e-05i,-0.0010657-0.00047436i,-0.00033127-0.00091892i,-0.00010223-0.001171i,-2.6721e-06-0.0011742i
0.00074712-0.0013577i,0.0010556-0.0011603i,-4.8449e-05-0.0014565i,-0.0010488-0.00046177i,-0.0013651-9.5037e-05i,-0.0012832-0.00052377i,-0.0011467-0.00051658i,-0.00076432+0.00012859i,-0.00076776+0.00042144i,-0.00095324+0.0001045i,-0.0010942+0.00016355i,-0.00038535+0.00012163i,-0.00016444+0.00070371i,-0.00019512+0.00083894i,-4.1769e-05+0.00070319i,-0.00042388+0.00064859i,-0.00078539+0.00036688i,-0.00058088-0.00034288i,-7.0479e-05-0.00087021i,-6.7946e-05-0.00010355i,-2.6128e-05+0.00095953i,0.00041334+0.0010682i,0.00052146+0.00072154i
-0.00078226+0.0004108i,-0.0012157+0.00029004i,-0.0004354+0.00016584i,-0.00040596+0.00046313i,-0.00084797-0.00080785i,-0.00089495-0.0018213i,-0.00035223-0.0012845i,0.00025054-0.001078i,0.00025495-0.0011755i,0.00026323-0.0011673i,0.00080206-0.000498i,0.0007684+0.00038684i,0.00084638+0.00055121i,0.00070554+8.6167e-05i,-0.0002911+0.00012464i,-0.00074912+0.00013251i,-0.00036095-0.00023835i,0.00011882+6.218e-05i,0.00055468+0.000346i,0.00043254-0.00071439i,0.00035077-0.0015464i,0.00082187-0.0006664i,0.00063832+0.00013656i
-0.0021471-0.0020283i,-0.0020572-0.00028898i,-0.0023141+0.00078698i,-0.002098+0.00025328i,-0.00084352-0.00027106i,0.000449-0.00074808i,0.00067694-0.0010911i,-0.00027675-0.00092782i,-0.00043892-0.00070419i,0.0001467+2.5969e-05i,5.7303e-05+0.00046914i,0.00020683+0.00092317i,0.00041175+0.00084752i,-0.00042499+0.00041455i,-0.00026468+0.00077675i,-0.000242+0.0005527i,-0.00012726+0.00011008i,0.00049674+0.00025636i,0.00084284-4.946e-05i,0.00092847-0.00035494i,0.00083022-0.00015558i,0.000921+0.00043386i,0.00070493+0.00057086i
-0.00060217-0.00044805i,-0.00086399-0.00072206i,-0.0008797+0.00087713i,-0.00042746+0.00095586i,0.00094239-0.0011916i,0.00059449-0.0028077i,-0.00055922-0.0031685i,-0.00047674-0.0019641i,-0.00015168-0.00048335i,-0.00012091+0.00018047i,-0.00051522+0.00020894i,-0.00035589-6.0357e-05i,-0.00035353-0.00011868i,0.00043987+0.00028955i,0.00094746+0.00066576i,0.00066609+0.00045899i,0.00089709+0.00041918i,-7.1986e-05+0.00032608i,-0.00046823+0.00048068i,-0.00022893+0.0007118i,-0.0005481+0.00031963i,-0.00083845-9.3997e-06i,-0.00018888+3.9225e-05i
-0.0012063+0.0017244i,-0.00042137+0.0021904i,-0.00029106+0.0018385i,-0.00072535+0.00046748i,-0.00074586+0.00014115i,-0.00096532+0.00025826i,-0.0018012+0.00056624i,-0.0015525+0.00022031i,-0.00042646-0.00014345i,0.00059015-0.00010917i,0.00042456-0.00027292i,-5.2924e-05+0.00031529i,-0.00064151-1.8394e-06i,-0.000873-0.0010515i,-0.00055744-0.00049209i,0.00017988-3.7055e-05i,0.00065292+0.00042607i,0.00049751+0.00088258i,-1.6779e-05+0.00037899i,-0.0002961+8.6945e-05i,8.4506e-05+0.00016961i,0.00018856+0.00046833i,-0.0001036+0.00022066i
0.00046457-0.00030324i,-0.00031583-0.00060452i,-0.00066721-0.00060892i,0.00028741-0.00030596i,0.0003737-0.00039498i,0.00015004-0.0014537i,-0.00032837-0.0009715i,-0.00032205-0.00057791i,-0.00028722-0.00085238i,-0.0003045-0.00033739i,7.4668e-05+0.00015041i,0.00013758+8.1734e-05i,-0.00047509-0.0003977i,-0.00013056-0.00042976i,0.00055274+0.00019145i,0.0014331+0.00063316i,0.0011235+0.00087456i,0.00034673+0.00096639i,0.00040662+0.00031568i,0.0001687+0.00040826i,0.00019114+0.00090067i,-0.00030508+0.00028547i,-0.00073116-0.00052859i
-0.0011346+0.00049619i,-0.0017804+0.0014913i,-0.0013148+0.00071209i,-0.0011086+0.00048666i,-0.00032216+0.00054752i,0.0001204-0.00036504i,-0.00057252-0.001301i,-0.00056994-0.00093178i,-0.00026684+0.00037061i,-0.00048069+0.00055685i,-0.00050704+0.00027865i,-3.8967e-05-0.00013983i,0.00011019-0.0011885i,-1.5696e-05-0.0013465i,0.00024706+3.1789e-05i,6.1648e-05+0.00063386i,-0.00028889+0.00011554i,-0.00021395-0.00026689i,4.5202e-05-0.00030823i,-0.00025757-0.0007823i,-0.0010109-0.001139i,-0.0010824-0.00067423i,-0.00025319-9.752e-05i
0.00096758-0.0006655i,0.0013524-0.00044601i,0.0014363-5.8699e-05i,0.00084951-0.00018307i,0.00028277-0.00027786i,-0.00017015-0.0011835i,-0.00081662-0.0016715i,-0.0014969-0.00040772i,-0.0008568+0.00061225i,-7.0443e-05+0.00020706i,-6.7059e-05+0.00024531i,0.00035825-0.00034725i,0.0010555-0.0013082i,0.00029679-0.0013593i,-0.00029718-0.0016794i,5.1671e-05-0.0015732i,0.00057148-0.00081974i,0.0010043-0.00041829i,0.000799-0.00070284i,0.00069888-0.00071255i,0.00057264+0.00010042i,0.00023471+0.0002004i,0.00060682-0.00027028i
-0.0034271+0.0014699i,-0.0029887+0.0016336i,-0.0022308+0.0021477i,-0.00092149+0.0012367i,-0.00028532+0.00015327i,-0.00053472-0.00081319i,-0.00080365-0.00094543i,-0.00071392+8.1948e-05i,-0.00038796+0.00054853i,-5.5432e-05+0.00027251i,4.4833e-05+0.00012113i,-8.5135e-07-0.00027778i,-0.00024562-0.00054225i,-0.00042585-0.00016064i,-0.00014911+0.00027422i,-9.1882e-05+0.00043407i,-0.00023852-0.00017485i,-0.00063752-0.00041546i,-0.00078165-0.00035935i,7.964e-05-0.00037918i,0.0003867+0.00018188i,0.00053577+0.00085627i,0.00053308+0.0013411i
-0.00074892-0.00052176i,-0.00050048-0.00095611i,-0.00014434-0.00088226i,1.6841e-05+4.7488e-05i,6.8741e-05-0.00010029i,0.00050087-0.00095283i,3.7057e-05-0.0012494i,-0.00030098-0.00091054i,0.00018151-0.00084301i,-9.3043e-05-0.0012057i,-0.0010232-0.00060608i,-0.0012061+0.00035662i,0.00012903+0.0013657i,0.00070592+0.0019288i,0.00036913+0.0014178i,6.6301e-05+0.00086181i,2.891e-05-5.5365e-05i,0.00061922-0.00044776i,0.0010225-0.00025198i,0.00056637-0.00022023i,0.00072348+0.00028839i,0.00070187+0.0002384i,1.2695e-05+0.0001456i
-0.0001874+0.00027081i,-0.00025161+0.00019134i,-0.0003002+0.00072224i,-0.0007571+0.00019923i,-0.00014292-0.00071004i,0.00019592-0.0010046i,0.00027252-0.00094502i,-0.00010553-0.00031293i,-0.00033223-0.0002164i,4.77e-05-0.0009464i,0.00037869-0.00092479i,0.00092676-0.00010736i,0.00098803-0.00021254i,0.00023041-0.00038431i,-0.00018071-0.00025081i,-0.00030782-0.00049646i,-0.00045564-0.00052898i,-0.00047615-0.00040752i,-0.00033891+0.00043429i,-0.00047432+0.00090173i,-0.00030718+0.00098037i,9.8943e-05+0.00091152i,0.00015706+0.00054044i
0.00091274-0.00056629i,0.00013154+0.00047465i,0.00029077+0.00058266i,-0.00048573+0.00033458i,-0.0019557-0.00018595i,-0.0015994-0.00076401i,-0.0004602-0.0010571i,-0.00018958-0.00038473i,-0.00058766-0.00021374i,-0.0007403-0.00043429i,-0.00062089+0.00012475i,-0.00024088+0.00051089i,4.0634e-05+0.00054819i,-4.0829e-05+0.00068229i,-0.00060855+0.00073543i,-0.00099217+0.00052662i,-0.0006851+0.00028105i,6.5041e-05-3.9341e-05i,6.2768e-05-0.00015987i,-0.00068973-0.00042031i,-0.00052919-0.00063956i,-8.239e-05+0.00034259i,-0.00054696+0.0010865i
-0.00084202-0.00015345i,-0.00078764-0.00099123i,-0.00071255-0.00072224i,-0.00088827-0.001097i,-0.00012528-0.0011553i,0.0003414-0.0014669i,-0.00087565-0.0012023i,-0.0016986-0.00040196i,-0.00057999+0.00011221i,0.00060929+0.00057628i,0.00045622+0.00054475i,0.00068578+0.00059964i,0.0014156+0.0010299i,0.0013383+0.00036542i,0.00081745-3.2175e-05i,0.00032952+0.00017284i,0.00012782+0.00019228i,0.00041668-7.334e-05i,0.00078449-0.00078917i,0.00029703-0.0010092i,-0.00058331-0.00021946i,0.0001597+0.0010399i,0.00065205+0.0017127i
-0.00087333-0.00071946i,-0.00090116-0.0011984i,-0.00082447-0.001726i,-0.00022059-0.00057548i,0.00017131+2.5251e-05i,0.00051978-0.0013849i,8.2946e-05-0.0020397i,-0.00070622-0.0014776i,-0.00069013-0.00037846i,-0.00022064+0.00065336i,0.00016783+0.001069i,-0.00017096+0.0003766i,-0.00071112-0.00059456i,-0.00085367-0.00026837i,-0.00079699+0.00018679i,-0.00043663-0.00022327i,0.00034598-0.00038906i,0.00051363+2.6285e-05i,-0.00017304+0.00032403i,-0.00029242+0.00065348i,-0.00015873-0.00011022i,-0.00060611-0.00044385i,-0.0003341+0.00047759i
1.7395e-05+0.00053294i,0.0002652+0.0011678i,0.00083356+0.0014823i,0.0005276+2.5696e-05i,1.3667e-05-0.00058392i,0.00041563-0.00033997i,0.00061176-0.00051746i,0.00053889-0.00079695i,0.00057148-0.00063657i,0.00065567-0.00043325i,-0.00016221-0.00045421i,-0.0011021+0.00028994i,-0.0010339+0.00020998i,-0.00033544+9.544e-05i,0.00050425+0.00063175i,0.000839+0.00085352i,0.00021707+0.00096806i,-0.00043618+0.00035344i,-0.00069863+7.6756e-05i,-0.00085587+2.7491e-05i,-0.00080906-0.00025187i,-0.00024939-0.00064878i,-0.00032862-0.00016303i
-0.0017837+0.00036327i,-0.0011307+0.00077495i,-0.001183+0.0020443i,-0.0012194+0.0018059i,-0.00090425+0.00030154i,-0.00094725-0.0017887i,-0.00040764-0.0022156i,-6.3565e-05-0.00096988i,-0.00034278+3.9087e-05i,0.00048382+0.00010673i,0.0012427+0.00031526i,0.001251+0.00028192i,0.00045883+0.0005774i,0.00045661+0.0006967i,0.001311+0.00015571i,0.0010622-0.00025548i,0.00047446-7.6745e-05i,0.00039316-0.00014749i,0.00038063-0.00087549i,0.00050985-0.00097359i,-0.00018072-0.00054532i,-0.00090287-0.00018083i,-0.00075536+4.1741e-07i
-0.00060151-6.8766e-05i,-0.0003586+0.00038892i,0.00030696-0.00075729i,-5.622e-05-0.0016865i,-0.00044534-0.0015082i,-0.000761-0.001307i,-0.0011518-0.0010203i,-0.0006452-0.0016817i,0.00027369-0.0011214i,0.00057964+9.3699e-05i,-0.00024237+0.00022474i,-0.0012466+0.00033613i,-0.0011297-0.00010425i,-0.0004799-0.00067552i,0.00018394-0.00080145i,0.00019129-0.00020899i,0.00036589-0.00033129i,0.00058054-0.0007785i,1.5269e-05-0.00043846i,-9.5703e-05+0.00019157i,0.00066398+1.962e-05i,0.00088948-0.00037405i,0.00014795+7.7466e-05i
0.0010974-0.00042302i,0.0010424+0.00014814i,0.00055446+0.001383i,0.00042729+0.00074557i,0.0011089-0.00030715i,0.0011072-0.0013053i,0.00046144-0.0014264i,-0.00027962-0.00098146i,-0.00011726-0.00097741i,0.00025337-0.0010006i,0.00082025-0.00041496i,0.00097212+0.00051383i,-7.9989e-05+0.0005393i,-0.00019527+2.9747e-05i,0.00077836+1.0839e-07i,0.00085478+0.00044356i,0.00059529+0.00040961i,0.0011471-0.00010348i,0.00075018-0.00062722i,-0.00031085-0.00056424i,-0.00034517+2.7884e-05i,-0.00013225+0.00032336i,-0.0007809+0.00062225i
-0.0019675-0.00051837i,-0.0021257-0.0011092i,-0.00086839-0.00078093i,5.9954e-05+4.4278e-05i,-0.0001431-0.00064516i,-0.00041904-0.0020274i,-0.00032282-0.0019528i,-0.0002433-0.00069504i,-5.4508e-05-0.00041405i,-0.0004028-3.022e-05i,-0.0012298+0.000848i,-0.0011883+0.00097231i,-0.00038025+0.00086181i,0.00047106+0.00063934i,0.00015465-7.5823e-05i,-0.00030749-0.00068505i,0.0006311+0.00035232i,0.00043944+0.0012894i,-0.00071584+0.00096908i,-0.00075952+0.00064275i,-0.00038563+0.00036314i,-0.00011357+8.7859e-05i,-8.0317e-05+0.00026756i
-0.00039345-0.0016936i,-0.0010187+0.00025724i,-0.0015843+0.0009552i,-0.001011-3.5729e-05i,0.00025114-0.00011338i,0.00058221-0.0013304i,0.00050204-0.0021372i,-0.0001702-0.001034i,-0.00084736+0.00045851i,-0.00097766+0.0007007i,-0.00039228-0.00039724i,-0.00019054-3.4589e-05i,-0.00014172+0.00085694i,0.00016511+0.00054205i,0.00050072+0.00019698i,0.00083355+0.00076633i,0.00094763+0.0012891i,0.0012882+0.00079434i,0.00065473+8.7232e-05i,-0.00036652+0.00032897i,-0.00064426+1.4919e-05i,-0.00012622-0.0006462i,0.00054317-0.00043216i
-0.0029048-0.00052752i,-0.0026772-0.00070505i,-0.0019629-0.00041151i,-0.0012948-0.00048102i,-0.00014831-0.00059165i,-1.669e-05-0.00083676i,5.3163e-05-0.001024i,0.00019228-0.00033059i,-1.3886e-05-0.00013341i,0.00047569-6.7427e-05i,0.00047048+0.0002737i,-0.00061697-5.8297e-05i,-0.00033394+0.00010129i,0.00051898+0.00047341i,0.00047391+0.00038819i,4.7027e-05+0.00082578i,-0.00084268+0.00023866i,-0.00094262-0.00083422i,-0.00013397-0.00071684i,8.8912e-05+2.5542e-05i,-0.00026078+4.5244e-05i,-0.00016234-0.00017491i,2.7123e-05+6.099e-05i
-0.0020021+0.00087389i,-0.00096702+0.002064i,0.00091502+0.0023983i,0.0016602+0.0013326i,0.0010935+0.00031168i,0.00068438-0.00063202i,0.00074621-0.0014226i,0.00032306-0.0012985i,0.00021746-0.0008499i,0.00086094-0.00077222i,0.00094317-0.00085125i,0.00041883-0.00059986i,0.00014234-0.000814i,4.7429e-05-0.00029373i,3.5658e-06-0.00014242i,0.00031485-0.00028051i,0.00040211+0.00045203i,2.8341e-05+0.0011598i,-0.00012883+0.00073538i,-0.00022905-0.0002336i,-0.00066923+0.00012098i,-0.00034878+0.0006515i,0.00066671+9.5906e-05i
0.00024075+0.00069965i,-0.00038173-5.5249e-05i,-0.00014826-0.00049669i,0.00077433-0.00023095i,0.00062612-0.00027712i,-5.736e-05-0.00086626i,-0.00092975-0.0008045i,-0.0006518-0.00021585i,-0.00029681+8.4935e-05i,-0.00051125+0.00017527i,-0.00066147+1.3844e-05i,-0.0002669+0.00011125i,3.0308e-05+0.00038705i,6.6378e-05+0.00038418i,0.00029131+0.00034926i,0.00078893+0.00039604i,0.0001201+0.00041137i,-0.00089803+0.00031768i,-0.00020658+0.00015377i,-0.00025515-0.00031775i,-0.0007642-0.00072516i,-0.00076255-0.00069801i,-0.0003153-0.00067135i
0.00048245-0.0005799i,0.00027907-0.00059495i,0.00059081-3.024e-05i,0.0010396-0.0004815i,0.0012858-0.0013394i,0.00087307-0.0017481i,0.00030238-0.0015545i,0.00037419-0.0012404i,0.00021659-0.0010905i,-0.00024491-0.00019006i,-0.00055802+0.00019588i,-0.00037222+0.00012756i,-0.00022705+2.8977e-05i,-0.00025349+9.4092e-05i,-6.6062e-05+0.00026815i,-9.8467e-05-0.00020374i,0.00010395-0.00081489i,0.00045699-0.00014976i,-3.8799e-05+0.00035984i,-0.00047195+0.00012392i,-0.0002472+0.00027133i,0.00013845-3.7956e-05i,0.0003296-0.00013691i
-0.00035779+0.00044841i,-0.0013311-0.0002269i,-0.0013528-0.001747i,-0.000394-0.0023811i,-0.00010926-0.0015271i,-0.0011197-0.00091186i,-0.0013939-0.00061321i,-0.00050267-0.00043496i,-0.00019948-8.0692e-06i,-0.00068137+0.00010019i,-8.1641e-05-0.00028696i,0.00062023-0.00010436i,-0.00038355-0.000423i,-0.0014978-0.00034007i,-0.0012957+0.00066433i,-7.6713e-05+0.00034922i,0.00035134-0.00055866i,-0.00023999-0.00055537i,-0.00012207-0.00048972i,0.00055998-8.4786e-05i,9.296e-05-0.00018242i,-0.0004287-0.00069209i,-0.0001332-1.2815e-05i
0.00067456-0.00093272i,0.00035334-5.7719e-05i,-0.0009228+0.0008251i,-0.0014365+8.7322e-05i,3.0166e-05-0.0011369i,0.00089748-0.0014085i,0.0001281-0.0013981i,-0.00058568-0.0010026i,-0.00095075-0.00088695i,-0.00042976-0.00076344i,-1.4778e-05-0.0002385i,-0.00027982+0.00018698i,-0.00040253+0.00067195i,-2.9587e-05+0.00094852i,0.00076234+0.0012876i,0.00096486+0.0013082i,0.00029252+0.00093027i,-0.00037084+0.000304i,-0.00051669-4.6496e-06i,-0.00050127+0.00062372i,-0.00037206+0.00018799i,-0.00025601-0.00070257i,0.00020632-0.00021139i
