0.0013368+5.1005e-05i,0.0025055-0.0019643i,0.0019819-0.0034385i,4.844e-05-0.0028223i,-0.0020376-0.00063539i,-0.0022483+0.0014353i,-0.00068538+0.0021568i,0.00063422+0.0018604i,0.0012188+0.0010294i,0.00046534-0.00044638i,-0.00050332-0.0013996i,-0.00077454-0.0015006i,-0.00095789+5.743e-05i,-0.0012801+0.0011179i,-0.0012765+0.0010348i,-0.00047302+0.00056719i,-0.00010851+0.00012274i,-7.087e-06+0.00018462i,0.00032633+5.3296e-05i,0.0001762+3.9374e-05i,0.0003756-1.0066e-05i,0.00036309-0.00064006i,-0.00067127-7.8521e-05i
-0.0011309+0.00038478i,-0.00020755+0.0011229i,-5.1217e-05+0.00095474i,0.00019376-0.00010148i,0.00047432+0.00082525i,0.0012142+0.0016073i,0.001778+0.00037208i,0.00084732-0.0004629i,0.00021928-0.00030771i,0.00036571-1.7002e-05i,-0.00026643-0.00025045i,-8.9745e-05+0.0004646i,6.2682e-06+0.001i,-5.7053e-05+0.00051615i,0.00064238+0.00015865i,0.00052395+2.2598e-05i,-0.00033328-0.00053893i,4.5934e-05-0.00096239i,0.00035913-0.00048298i,-0.00016739+6.0087e-05i,-0.00045348+0.00012149i,-9.7205e-05+0.0006158i,0.0003442+0.00058504i
-0.00045368+0.00029047i,-0.00056709+0.00081815i,-0.001136+0.0010255i,-0.0011804+0.00090072i,-0.00039958+0.00097654i,0.00034477+0.00093817i,0.0013296-2.1486e-05i,0.0010593-0.0004106i,0.00021848-0.00055492i,0.00035454-0.00054578i,0.00041385-0.00068473i,0.00030341-0.00046524i,0.00058412+0.00032349i,0.00047867+0.0014011i,0.00054425+0.0018568i,0.00098116+0.0014133i,0.00046389+0.00097316i,-0.00011987-0.00011529i,2.5758e-05-0.00095183i,0.00042211-0.00053523i,0.00086625-0.00030468i,0.00047905+0.00018i,0.00036589+0.0013605i
0.00085546-0.00046112i,0.00025272-0.001603i,0.0015252-0.0017666i,0.0014734-0.0013494i,0.00051191-0.00069695i,0.00070939+7.3322e-05i,0.00061702-0.00061477i,-0.00069611-0.00085571i,-0.0010101-6.6843e-05i,-0.00088087+0.00036531i,-0.00018425+0.0006173i,0.0002483+0.00026447i,-0.00023215+0.00021155i,0.00051091+0.00069359i,0.00075577+0.00061134i,0.00025436+0.00040694i,-0.00025391-9.3853e-05i,-0.0004158-0.00038291i,0.0001339+0.00033452i,0.00056862-0.00013086i,0.00038285-0.00079499i,0.00053288-0.00026661i,0.0013078+0.00028894i
-1.1943e-05+0.00070521i,0.0006992+0.00066822i,0.00023147+0.00029829i,-3.9752e-05+0.00070147i,-0.00039712+0.00053222i,-3.9757e-05-0.00050131i,0.00075306+0.00016783i,0.00067477-0.00013925i,0.0007415-0.0011143i,0.00088167-0.00062393i,0.0002633+0.000106i,0.00038339+0.00037923i,0.00017836-0.0001878i,0.00073012-0.00084651i,0.0013979-0.00062757i,0.00080222+7.0234e-05i,0.00040211+0.0010996i,0.00038708+0.00065284i,0.00016476-0.00033526i,1.0156e-05-0.00061999i,0.00033965-0.00053314i,0.0002006-0.00019955i,-5.5687e-05+0.00034347i
0.00011925+0.00072396i,0.0017463+0.0011922i,0.0019107+0.0017342i,0.001299+0.0012488i,0.0012279+0.00082271i,0.0019328+0.0012757i,0.0012126+0.00035831i,-0.00017315-7.6842e-05i,-2.9249e-05+0.00045908i,0.00015586-0.0004825i,-0.00041891-0.0015576i,0.00014021-0.00087233i,0.0006974-9.464e-05i,0.0003978-3.1569e-06i,0.0008007-0.00087136i,0.0011749-0.0010497i,0.000983+0.00035228i,0.00047328+0.0011654i,5.4871e-05+0.00056418i,-0.00036202-0.00046477i,-0.00072714-0.00013328i,-0.00068252-0.00025196i,-0.00043227-0.00067306i
-0.00075583+0.00056835i,-0.0011598+0.0010069i,-0.00027061+0.00070653i,0.00048648-0.00056769i,0.0008044-0.0013638i,0.00062281-0.00093677i,0.00086751-0.0006826i,0.00053898-0.0004855i,-0.00012392+3.2481e-05i,-0.0001893+0.00042529i,-0.00020229+0.00038166i,-0.00011864+0.00050734i,-0.00017702-3.8171e-05i,-9.8427e-05-0.0003254i,-5.6722e-05-0.00056071i,-0.00033653-0.00079165i,-0.00059898-0.00027411i,-0.00015212+0.00034165i,6.3488e-05+3.9238e-06i,1.889e-05-0.0001831i,-0.0001267+0.00016607i,-0.00026594+6.8392e-05i,-0.00021424-0.00036594i
0.0017501-0.00094619i,0.0021002-0.00070369i,0.001922-0.00023394i,0.00054522+0.00058991i,-0.00032069+0.00069423i,0.00074908+0.0011484i,0.0014266+0.001253i,0.0005578+0.00011067i,-0.00017381-0.00054666i,-0.00011347-0.00072393i,0.00051532-0.00063785i,0.00033459+8.4877e-05i,-0.00020721+0.00038015i,-0.00054678+0.00066892i,-0.00066098+0.00087216i,-2.5644e-05+0.001058i,0.00069949+0.001125i,0.0011418+0.00055117i,0.00097615-0.00024347i,-3.2127e-05-8.1377e-05i,-0.0004936-0.0002765i,-0.00042342-0.00092229i,-0.0010794-0.00043598i
-0.00082645-0.00020577i,-0.001387-2.4378e-06i,-0.00088794-7.1846e-05i,-6.4587e-06-0.00025113i,7.7909e-05-0.00013265i,4.2468e-05-0.00021486i,0.00021791-0.0010129i,-0.0010911-0.0011438i,-0.0014068-0.00035983i,-0.00053201-1.9467e-06i,0.00027295-0.00024041i,0.00077239-0.00087737i,0.00083897-0.00071528i,0.00084274+0.00037755i,-3.517e-05+0.00088448i,-0.00057919+0.00083486i,-0.00083698+0.00045276i,-0.0012291-3.4908e-05i,-0.0008699+0.00017845i,-0.0010855+0.00032423i,-0.00094415-0.00025435i,-0.00022331-0.00021366i,-0.00088263-7.5781e-05i
-0.0014208+0.00071904i,-0.0014097+0.00073885i,-0.0010463+0.00064558i,-2.2517e-05+0.00094512i,0.00078451+0.0018445i,0.00070617+0.00095603i,0.0013535-0.00068271i,0.00043724-0.0005013i,-0.0014862-0.0002084i,-0.0015946+9.4894e-05i,-0.0008819+0.00034313i,-0.00049193+7.3421e-05i,-0.00050678-0.000234i,-2.7554e-05-0.00097715i,0.0009008-0.001345i,0.0010528-0.0002744i,0.00050572+0.00021601i,-0.00036703-0.00012102i,-0.00070068-0.00017407i,-0.0005689+0.00032574i,-0.00052106+0.00083233i,-0.00074577+0.00075655i,-0.00027011+0.00065909i
-0.0013263-0.0015999i,-0.0013189-0.0013531i,-0.00046815-0.00087552i,-0.00074494-0.00036475i,-0.00069672+0.00079031i,0.00048106+0.0011396i,0.0011711+8.8959e-05i,0.00024917-0.00032076i,-0.00031449+0.00024438i,-0.00045133+0.00038179i,-0.00044773-0.00039749i,-0.00010049-0.00087531i,-0.00015659-0.00088344i,-1.3151e-05-0.0009586i,0.00044453-0.00063202i,0.00063026-0.00014998i,-8.3176e-05+3.5333e-05i,-0.00015564+1.1658e-05i,0.0001387-0.00026805i,-0.00049156-0.00066122i,-0.00057094-0.00071306i,0.00017448-0.00041255i,0.00057846-0.00011975i
