-0.0010435+0.0026417i,-0.00064946+0.0012521i,-0.0021907+0.0019144i,-0.002122+0.0016073i,-0.00014919+0.0015293i,0.0012056+0.00075438i,0.00084671+4.7575e-05i,0.0002209-2.2938e-05i,-8.4916e-05-0.0005559i,-0.0002287-0.0011842i,0.00037439-0.0016103i,0.00039368-0.0013556i,5.8947e-05-0.00050619i,0.0007325-0.00024758i,0.0011601+6.7524e-05i,0.0001657+0.00073761i,-0.00044511+0.0010972i,-0.00014525+0.00091184i,0.00010655+0.00022604i,-0.00015942+3.2021e-05i,-0.00086034+0.0010822i,-0.00068643+0.0012642i,2.7951e-05+0.00013115i
0.0016266+0.00011269i,0.0016309-0.0015092i,0.0028552-0.0013554i,0.0019159-0.0013478i,0.00082102-0.0012161i,0.00048832-0.0005055i,-0.00037634+0.00026334i,-0.00062252+0.00017564i,-8.934e-05+0.00012282i,0.00034072+0.00019032i,0.00089168-0.00017219i,0.00050462+6.3285e-05i,-0.00030293+1.9835e-05i,-0.0014794-5.3537e-05i,-0.0022584-0.00040693i,-0.0016928-0.0005319i,-0.0011353-0.00056729i,-0.00066326-0.00072148i,0.0005673-4.7574e-06i,0.0014081+0.00057302i,0.00075876+0.00086543i,-3.0854e-05+0.00030879i,-0.00043279-0.00034687i
0.0019163-0.00064736i,0.0020285-0.0010751i,0.00096545-0.0010937i,0.00036602+0.00023841i,0.00023565+0.00048059i,0.00024499-0.00094789i,0.00051603-0.0012999i,0.00049882-0.00021871i,-0.00038461+0.00010127i,-0.0012051+0.00036158i,-0.0012597+0.00074154i,-0.00045457+0.00038326i,4.1437e-05+0.00043013i,-0.0002493+0.00063042i,-9.9459e-05+0.0006866i,0.00081219+0.00086536i,0.00081164+0.00099865i,-8.6372e-05+0.0008525i,-0.00046229+0.0004548i,-0.00053139-5.347e-05i,-0.00010826-0.00042616i,0.00069146+0.00011314i,0.00056308+0.00044313i
0.0028148-0.0013568i,0.0016902-0.0017476i,0.00042899-0.0022693i,0.00018807-0.0026883i,0.00063698-0.0023572i,0.000849-0.0021142i,0.0009364-0.0017709i,0.00093697-0.000576i,0.00032652-1.9694e-06i,-0.00078457-0.00038149i,-0.00090343-0.00090708i,-0.00033559-0.00072303i,6.1406e-05-6.356e-05i,-0.00030413+0.00027544i,-0.0015075+3.6422e-06i,-0.0011245-0.00034682i,0.00074086-0.00022558i,0.0011318+0.00038244i,0.0009649+0.0002126i,0.00078332+0.0010349i,0.00027364+0.0018283i,-0.00045954+0.0011622i,-0.00062645+3.2232e-05i
0.00077108-0.00089402i,0.0017146-0.00067264i,0.00077042-0.0010193i,-0.00030224-0.00073863i,-0.0002215+0.00057581i,0.00039831+0.00049265i,0.0011533-0.00030614i,0.00072999-0.00039788i,-0.00068354-5.3531e-05i,-0.001121+0.0005157i,-0.0005186+0.00059811i,-0.00028288+0.00065902i,9.991e-05+0.00090762i,0.00063055+0.00088955i,0.00056715+0.0009525i,0.00038612+0.00080675i,1.2379e-05+0.00015003i,-0.00055928-0.00070203i,-0.00086822-0.0012578i,5.257e-05-0.001179i,0.00096654-0.00068171i,0.00055292-0.00027181i,8.2421e-05+0.00018651i
0.0012694+0.0013457i,0.0017285-0.00080041i,0.0016262-0.0015668i,0.0010699-0.0014742i,0.0013081-0.0019468i,0.0011643-0.0028301i,0.00073669-0.0020464i,6.4564e-05-0.00037788i,-1.0922e-05+0.0003116i,0.00039484+3.4897e-05i,-3.9607e-05-8.008e-05i,-0.00068106+0.00021113i,-0.00084256-7.9191e-05i,-0.0011621-0.00016749i,-0.00063713-0.00026195i,0.0007263+0.00065357i,0.0010524+0.00084336i,0.00086077+0.00026498i,0.00045722+0.00029895i,0.00023219+0.0001403i,0.00058909+0.0001347i,0.0008412-0.0003123i,0.00037094-0.00050814i
0.0010074-0.00069623i,0.0011825-3.7257e-05i,0.0014408+0.0018516i,0.0014829+0.0018803i,0.0010899+0.00057198i,0.00085743-0.00059884i,0.00059371-0.0016171i,0.00068818-0.0017082i,0.00069426-0.0011879i,0.00018166-0.00059247i,0.00046056-0.00061807i,0.00048162-0.00037624i,1.0391e-05-0.00036103i,-0.00013866-0.00076384i,-2.823e-05-0.0011011i,0.00015615-0.00092898i,0.00028716-0.00024009i,9.0665e-05+0.00020088i,-0.00018603+0.00019431i,0.00017219+0.00092495i,0.00057758+0.00060073i,0.0005781-0.00010059i,-0.00026273+1.018e-05i
0.0025426-0.00066537i,0.0030422-0.0015749i,0.0021046-0.0032475i,0.00065953-0.0029732i,0.00085126-0.0013792i,0.0015519-0.0015596i,0.0015829-0.0014066i,0.0010231-0.00027396i,0.0011679-0.00038227i,0.0005192-0.00073819i,-0.00050752-0.00071924i,-0.00053765-0.00013903i,-0.0010047+0.00066625i,-0.0009031+0.0015839i,-0.00019978+0.0017539i,-1.0074e-05+0.00068627i,-0.00024079-0.00030753i,-0.00037366-0.00068074i,0.00041934-0.00052489i,0.00032568-0.0010246i,0.00016308-0.00093827i,0.00038838-6.6151e-05i,0.00027191+0.00043023i
0.0011527-0.0001373i,0.0013528+2.1427e-05i,9.4048e-05-0.00099579i,-0.00032422-0.0013663i,0.00055144-0.001438i,0.00081017-0.001627i,0.00079574-0.0011462i,0.00054056-0.00045162i,0.00048992-0.00053987i,-8.0888e-05-0.0010713i,-0.00027549-0.00098561i,0.00038236-0.00071596i,0.00029217-0.00077971i,-0.00013851-0.00021193i,0.00027033+0.00048437i,0.00038817+0.00062303i,0.00012402+0.00067823i,-0.0003494+0.00067277i,-0.00053015-9.8841e-05i,-0.00067484-8.297e-05i,8.5038e-05+0.00057909i,0.0012239+0.00091359i,0.00024409+0.0012271i
0.0025372+0.00078117i,0.0030976-0.00022842i,0.0029681-0.00025611i,0.0021027-0.00059971i,0.0015586-0.00099595i,0.0011414-0.00079622i,0.00055222-0.00077633i,0.00036174-0.00075397i,0.00023782-0.00093696i,0.00018939-0.00092293i,0.00021633-0.00078771i,-0.0002933-0.00077613i,-0.00050789-0.00044365i,0.0003045-0.00082072i,0.00010519+1.9745e-05i,-0.00016727+0.0015594i,-8.8866e-05+0.0010821i,-0.00052943+0.0001219i,-0.00089441-0.00057353i,-0.00080477-0.0011024i,-0.00041847-0.00091536i,-0.00036079-7.2087e-06i,-0.00037657-0.00020813i
-0.00088316+0.00051889i,-0.00055433+0.00032272i,0.00039046+1.2654e-05i,0.00067457-1.0732e-05i,0.00099982-0.00084205i,0.0016027-0.0011105i,0.00044982-0.00080096i,-0.00073702-0.0011711i,-0.00021967-0.00089393i,0.0004483-0.00032369i,0.00025003-0.00022286i,0.00016815-0.00015945i,-2.8005e-05-0.0006813i,-0.00026188-0.00096128i,0.00078031-0.00051759i,0.001+0.00035263i,0.00027824+0.00069789i,-0.00020763-6.6854e-05i,-8.7787e-05+9.2455e-05i,0.0002869+0.00026903i,0.00014569+0.0001246i,0.00029854+0.00013177i,0.00042759+0.00042135i
0.001574+0.0012466i,0.0025078+0.00023342i,0.0033502-0.00034761i,0.0025315-0.00059399i,0.0023131-0.00040496i,0.0024246+0.00020171i,0.0020365+0.00025877i,0.0011007+0.00014778i,0.00042098+4.4499e-05i,-0.00023674-6.8879e-05i,-0.00067877+8.8615e-05i,-0.00013757+0.00049203i,0.00025707+0.00039861i,-0.00044656-0.00020897i,-0.00089857-9.3802e-05i,0.00013682+0.00016183i,0.00027391-0.00016742i,-0.00069425-6.8924e-05i,-0.00062978-5.1023e-05i,-0.00032515+0.0003896i,-0.00045134+0.00044877i,-0.00053394+4.5996e-05i,-0.0010612+0.00037811i
0.0015953+0.00059091i,0.00088148-7.6858e-05i,-0.00027779-0.001018i,-0.00043494-0.00057884i,4.6657e-05-0.00029699i,0.0007649-0.0010623i,0.00093712-0.0013737i,0.00085874-0.0011838i,0.00053914-0.0012956i,1.5926e-05-0.00060236i,-0.00069531+0.00032829i,-0.00054494+0.00032099i,7.3868e-05-0.0001088i,-0.00011899+0.0007867i,-0.0003384+0.0017992i,0.0001306+0.00098504i,0.00020185+0.00017675i,0.00030162+0.00015078i,0.00033706+0.00036336i,-4.4165e-05-5.2992e-05i,-0.00029843-1.4757e-05i,-5.0075e-06+0.00053202i,-0.0003632+0.00011471i
0.0011433+0.00046074i,0.001351+0.00038555i,0.0021766-0.001034i,0.002473-0.0010223i,0.001944-0.0008085i,0.0017746-0.00083825i,0.0020802-0.00034428i,0.001563+0.00019351i,0.00071608+0.00035635i,0.00079249-0.00051701i,0.00063293-0.0007279i,-0.00060336-0.0003144i,-0.0011189-0.00024068i,-0.0012007-4.6441e-05i,-0.00066885-0.00013065i,9.7015e-05-0.00010357i,0.00039069+0.00069159i,0.0005938+0.00075756i,0.00054118+0.00082985i,0.00012104+0.00046445i,-0.00019101-0.00079415i,-0.00063693-0.00059925i,-0.00075145-0.00013493i
0.00040463-0.0018883i,-2.6254e-05-0.0021671i,-0.00075867-0.0018979i,-0.0012672-0.0017506i,0.0001673-0.0020772i,0.0015179-0.0012597i,0.0014974-0.00059143i,0.00092375-0.00043183i,-0.00036146-0.00039236i,-0.0012815-0.00084783i,-0.00080705-0.0011533i,-0.00027247-0.00048224i,0.00027271+0.00021561i,-1.5131e-05+0.00069131i,-0.00056967+0.00079596i,-0.00025456+0.00075239i,5.0852e-06+0.00050127i,-0.00027479+0.00027938i,0.00024916+0.00044411i,0.00073991+8.1735e-05i,0.00021878-0.00061441i,5.5755e-05-0.00069786i,0.00081877-0.00053143i
0.0013794+0.0010478i,0.0026263+0.00090161i,0.0039921+0.0012367i,0.0028599+0.0010437i,0.0018574+0.00024829i,0.0012223+0.00031934i,-0.00012078-0.00027835i,-0.00042365-0.0011702i,-0.00029228-0.0012276i,-0.00016383-0.001027i,-0.0005669-0.00061618i,-0.0016996+0.00016344i,-0.0017408-9.7044e-05i,-0.00066995-0.0007131i,0.00043146-0.00078977i,0.0004359-0.0010565i,0.00019543-0.00039582i,-6.9978e-05-1.3408e-05i,-0.00029925-0.00056538i,0.00028233-8.3518e-05i,0.00057574+0.00022681i,0.00059469+3.2418e-06i,0.00059715+4.838e-06i
0.00020252+0.0014247i,0.00083747+0.00099797i,0.00155+0.00053045i,0.001931+1.4021e-05i,0.001294-0.00027713i,0.00033123-0.0010185i,-0.00050888-0.0014461i,-0.00058893-0.0006743i,-0.00018403-0.00057088i,-5.0201e-05-0.0010622i,-0.00036858-0.0011122i,-0.00036437-0.00085518i,0.00024833-0.00032981i,0.00014151-0.00034555i,-0.00090911-2.8952e-05i,-0.0010044+8.7774e-05i,0.00031457+0.00024481i,0.00075997+0.00095353i,-3.7017e-05+0.0005598i,-0.0002576+0.00033208i,0.00052494+0.00087974i,0.00051025+0.00050728i,-0.00097552-0.00020112i
-0.00024523+0.0003969i,0.00028244-0.00012956i,0.00063301-0.00026798i,0.0014659-0.00014531i,0.0017795+0.00015591i,0.001651-0.00061151i,0.0016399-0.0010241i,0.0014032-0.00050456i,0.00099754+0.00030156i,0.00016277-0.00027707i,-0.00057577-0.00078981i,-0.00062521+0.00037263i,-0.0004246+0.00091817i,-0.00032465+0.00080652i,-0.00059125+0.00044822i,-7.0653e-05+0.00048898i,0.00036332+0.0005244i,-0.00019501+0.00015625i,-0.00028689+1.8608e-05i,1.8989e-05+5.2188e-05i,0.00012489-0.00061698i,2.1181e-05-0.00078361i,-0.00025897-0.00034778i
0.0013064-0.00068399i,0.0014768-0.00064911i,0.0016991-0.00058458i,0.0011666-0.00055667i,0.0011646-0.00091476i,0.0014536-0.0010905i,0.00092446-0.00071069i,0.0012177-0.0006018i,0.0011467-0.00053291i,0.00064897-0.00038547i,-0.00027544-0.00024346i,-0.00023785-3.3525e-05i,0.00010698-0.00072196i,-0.00023332-0.0012882i,-2.6445e-05+8.6582e-05i,-0.00014948+0.001379i,7.8212e-05+0.0010184i,0.00046963+0.0011875i,-0.0002496+0.001121i,-0.00053967+0.00019022i,-0.00032231+1.8261e-05i,-4.7485e-05+0.00018201i,7.8052e-05-0.00029566i
0.0011756-0.0012218i,0.00052851-0.0011248i,-0.00021318-0.0004775i,1.0963e-05-6.5385e-05i,0.00024443-0.00083764i,0.00041649-0.0015804i,0.00034454-0.0015849i,9.6691e-05-0.0013476i,0.00025158-0.00099114i,-0.00015313-0.00048282i,-0.00034703+0.00051122i,-0.00074249+0.00041021i,-0.0002529-0.00030573i,0.00061559+0.00059468i,0.00046121+0.0012891i,0.00019009+0.00074805i,-7.1905e-05-0.00053775i,-0.00011424-0.00098949i,0.0004327+0.00012028i,0.00065896+0.00047359i,6.3232e-05+0.00014825i,6.1565e-05-0.0001125i,-0.00019896-1.2066e-05i
0.0009375+0.0011907i,0.0012334+0.0012214i,0.0013449+0.00078444i,0.00095943+0.0007639i,0.00034819+0.00024992i,0.00052938-0.00032738i,0.00085591+1.7375e-05i,0.00071647-0.0003187i,0.00054007-0.00021721i,0.00045826+0.00050823i,0.0004224+0.00086176i,0.00011342+0.00050162i,-1.8189e-05-1.2307e-05i,5.8973e-05-0.00080501i,0.00042075-0.001244i,0.00078636-0.00088887i,0.00044055-8.0316e-06i,0.00037308+0.00017874i,0.00040518+0.00025516i,0.00021438+0.00015411i,-6.3715e-05+0.00048625i,0.00040052+0.00061319i,0.0002474+0.00017308i
0.0012535+0.00030403i,0.00051032-0.0009713i,-0.00051879-0.00034066i,-0.00071043+0.00027581i,-0.00051236+0.00030153i,-3.9708e-05+1.023e-05i,0.00043497-0.00069871i,1.3463e-05-0.00053313i,-0.00012123+3.9342e-05i,0.00023848+0.00045402i,0.00048519+0.00052787i,0.00021593+0.00058377i,0.0003267+0.0010964i,-1.1393e-05+0.0013504i,-0.00095488+0.00089208i,-0.00032117+0.00036572i,0.00044081+6.262e-05i,0.00019584-0.00023642i,-0.00071217-4.0546e-08i,-0.0013442+0.00075119i,-0.0010154+0.0004252i,-0.00065195-0.0001i,-0.00063005-0.00033012i
