0.00015936-0.00026264i,-0.00076111-0.0010707i,-0.0009283-0.0012361i,-0.00051666-0.001226i,-0.0011741-0.0015986i,-0.0017383-0.0001995i,-0.0011278+0.0013459i,-0.00043049+0.0016879i,0.00065256+0.00055847i,0.0011872-0.000296i,0.00084252-0.00080762i,0.00019692-0.0011514i,-8.0943e-05-0.0011755i,-0.00045843-0.0007281i,-0.00077854+0.00021744i,-0.00091268+0.00077253i,-0.00077154+0.00042092i,-0.00048212+0.00025235i,-0.00084673+0.00015412i,-0.0011208+0.00013049i,-7.5663e-05-7.1859e-05i,0.00055777-4.4094e-05i,-0.00047529+0.00012518i
0.0011713+6.612e-05i,0.00027379+0.00060666i,1.6443e-05-0.00010025i,0.00040777+1.9005e-07i,0.00060423-0.00058252i,-7.3982e-05-0.0013237i,-0.00067372-0.00060104i,-0.00054473+0.00050332i,-0.00014347+0.00064639i,-0.0001764+0.00061202i,-0.00059555+0.00056285i,-6.8598e-05+0.00058221i,-9.5102e-05-5.9752e-05i,-0.00037675-0.00057199i,0.00014983-0.00069313i,0.00045431-0.00037177i,-6.8094e-05-0.00034516i,-0.00023694-0.00042973i,0.00026497-1.9034e-05i,0.00023833-8.924e-05i,0.00036979-7.0678e-05i,0.00017339+0.00050213i,-0.0007203+0.00039774i
0.000382+0.00087414i,0.0013471-0.00024722i,0.0011434-0.0015694i,0.00094624-0.0018938i,0.0008131-0.0014265i,-6.7433e-05-0.0010169i,-0.0002753+0.00045433i,-0.00033529+0.00067267i,0.00046617-0.00050105i,0.0010504-6.8015e-05i,0.00052281+7.2054e-05i,8.2404e-05-0.00016188i,-0.00094166+0.00042457i,-0.0015517-5.7311e-05i,-0.00087207-0.00068562i,0.00017127-0.00010468i,0.00053689+0.00074117i,0.00071073+0.00065086i,0.00047238-0.00028687i,0.00040844-0.00076747i,0.0006861-0.00079146i,0.00033878-0.00058502i,-0.00044695-9.3423e-05i
0.00086215+0.002691i,0.0014697+0.0023988i,0.002155+0.0010903i,0.0021797-0.00043747i,0.0012633-0.001121i,0.0009611-0.0014718i,0.0003065-0.0011246i,0.00023519-0.00082138i,0.0011561-0.00042688i,0.00072819-0.00022812i,0.00038863-0.00026319i,7.7704e-05-0.00032561i,-0.0011155-0.00057992i,-0.0011445-0.00035361i,-0.00023523-0.00019954i,3.4467e-05+2.7753e-05i,-0.00014031+0.00060084i,-0.00023827+0.00096256i,-0.00022678+0.00052808i,0.00015608-0.00033613i,0.00038367-0.00012154i,0.00048726+0.00010836i,9.9371e-06-0.00010914i
-0.00011665-0.00026842i,-0.00045105-0.0003467i,-0.00070476-2.032e-05i,-0.00072511-0.00021507i,-0.00011613-0.0011684i,0.0008002-0.0015838i,0.00074843-0.00076727i,0.00057048-0.00016795i,0.00053617-0.00026271i,-2.2199e-05-0.00034299i,-0.00013265-0.0002745i,-2.6528e-05-9.1803e-05i,0.00051726-0.000387i,0.00053781-0.00071097i,-4.5149e-05-0.00074941i,-1.8964e-05-0.00057166i,-1.7588e-05-0.0003644i,0.00015358-6.4643e-05i,0.00020941+0.0003865i,5.5393e-05+0.00052163i,0.00084874+7.4742e-05i,0.00093026+9.6862e-05i,0.0001328+0.00063002i
0.0027248+0.0014294i,0.0031678-0.00035371i,0.003317-0.0022063i,0.0018896-0.0031182i,0.001186-0.0026902i,0.00092244-0.0021665i,-0.00052186-0.0013118i,-0.001638+0.00084024i,-0.00093941+0.0014605i,0.00045067+0.00013356i,0.00077071-0.00093908i,-3.8369e-05-0.00036602i,-0.00064803+0.00049463i,-0.00037395+0.0010198i,-0.00029908+0.0011542i,-0.00013111+0.0010278i,0.00047419+0.00068073i,5.6977e-05+0.00052896i,-0.00030178+0.00063636i,-0.0001828+9.8206e-07i,-0.00043524-0.00081852i,-0.0010624-0.00066082i,-0.00065411-0.00046708i
0.00010874-0.00090853i,-0.00014591-0.00082822i,-0.0009259-0.0010271i,-3.533e-05-0.0016164i,0.0010492-0.0012215i,-0.00032156-0.00035293i,-0.0010044+3.5627e-05i,-0.00045255+0.00078419i,-0.00055224+0.00063274i,-0.00049949+0.00013438i,-0.00035759-0.00069152i,8.2967e-05-0.0011838i,0.00038822-0.00054043i,0.00050626+0.0001476i,0.00040689-7.9098e-05i,0.00015846-0.00048728i,0.00047097+7.0344e-05i,0.00030942+0.00055176i,-0.00050831+0.00049257i,-0.00039426+0.00035045i,-6.4379e-05-0.00031407i,2.7958e-05-0.00078978i,0.00024617-8.4366e-05i
-0.00068937+0.00051383i,8.5175e-05+0.00047024i,0.00050111+0.00051655i,0.00088177+0.00015298i,0.00082155-0.00068079i,6.0842e-05-0.00073591i,0.00014852-0.00054667i,0.00057237-0.00028744i,0.00056648-6.553e-05i,-0.00023153+0.00027426i,-0.0014588+0.00024822i,-0.0012871-0.00034093i,-0.00069165+2.4677e-05i,-0.00083462-4.5376e-05i,-0.00087697+0.00048912i,-0.00076909+0.00053935i,-0.00042955-0.00044803i,-0.0006741+0.00018343i,-0.0011258+0.0012156i,-0.00087458+0.00071849i,-0.0003112-0.00033062i,-3.2083e-05-0.00016783i,-0.00026874+0.00043975i
0.0002026+0.0012083i,0.00075715+0.0002991i,0.001056+0.00075622i,0.00095988+0.00059914i,0.00063991+0.00017672i,9.2677e-05+0.00010404i,-0.00028494+0.00012253i,-0.0010675+0.00090757i,-0.001175+0.0012068i,-6.1186e-05+0.00047279i,0.00016194-0.00022493i,-0.0003237+3.3432e-05i,-0.00029811+0.0002916i,-1.3065e-05+0.00072916i,0.00050095+0.00067625i,0.00028546+0.00040862i,-0.00039103+0.00036737i,-0.0006091-3.5728e-05i,-0.00040448-0.00039105i,0.00016901-0.0010797i,0.00030675-0.00020861i,-9.7372e-05+0.0013079i,7.8151e-05+0.00099067i
-0.0015819+0.00043519i,-0.002891+0.0019479i,-0.0028948+0.00053996i,-0.001293-0.00024412i,0.00049133+6.4195e-05i,0.0010288-0.00016034i,0.00091989+0.00053731i,0.00039815+0.00063449i,-0.00066405+0.00010459i,-0.00092187+0.00041762i,-0.0010305+8.4702e-05i,-0.00078906-0.0006049i,1.2514e-05-0.00045355i,0.00017415-0.00060594i,-0.00046453-0.0010714i,-0.00016577-0.00065808i,0.0003436-0.00026066i,0.00018361-0.00025566i,0.00051479-0.00015563i,0.0013293-0.0003473i,0.0010357-0.000427i,0.00071074-0.00044072i,0.00086597-2.1414e-05i
-0.00069161-0.0016792i,-0.001004-0.00048876i,-0.0012911-0.00039141i,-0.0011229-0.0011084i,-0.0010279-0.0013556i,-5.5372e-05-0.00068272i,0.00064639+0.00021681i,2.9544e-05+0.00052119i,-0.00021374+0.00060622i,0.00028024+0.00012212i,-8.7284e-05-0.00049183i,-0.00067119-0.00061188i,-0.0004095-0.0007849i,0.00050757-0.00085383i,0.00087548-0.00039865i,0.00024928+5.0307e-05i,-4.7546e-05-0.00029352i,-0.00010787-0.00037978i,-5.092e-05-0.0006088i,0.00037489-0.0010538i,0.00033033-0.0011053i,-3.6753e-06-0.00084509i,-0.00011327-0.00032835i
0.00010854+0.00097508i,-0.00048197+0.0015278i,9.8453e-05+0.0021351i,0.0012295+0.0017636i,0.0012925+0.00040994i,0.00056957-0.00097727i,-0.0003273-0.00087903i,-0.00081088+0.00023436i,-0.00051453+0.00018807i,0.00024977+0.00030809i,0.000237+0.00017236i,0.00014852-0.00065868i,0.00023599-3.7848e-05i,0.00017164+0.0012642i,0.00088331+0.001213i,0.00029564+0.00040513i,-0.00034349-4.6659e-05i,-0.00050273+0.00013109i,-0.00056382+0.00013704i,0.00017998-0.00033297i,0.00023466+8.5776e-06i,-3.3382e-05-0.00019033i,1.4371e-05-6.8783e-05i
-0.00029039-0.0021176i,-7.5821e-05-0.0021265i,-0.00047512-0.0025504i,-0.0013247-0.0015539i,-0.0015174-0.0010959i,-0.0014152-0.00041106i,-0.00090237+0.0010855i,-0.00051454+0.00063363i,-0.00054429-0.00018016i,-0.0011367-0.00038877i,-0.0013039-0.0006923i,-0.00039783-0.00080533i,0.00043989-0.00054778i,0.00057659+0.00044132i,4.199e-05+0.00046673i,1.4988e-05-0.0001221i,-0.00028363+0.00039513i,-0.00095715+0.00086646i,-0.00095329+0.00088895i,-0.00015824+0.00024598i,0.0010696-0.00024469i,0.0016049-0.00041912i,0.0006372+1.2971e-05i
5.0292e-05+0.0021306i,0.00032959+0.0013444i,0.0014832+0.00096873i,0.0017791-0.00084001i,0.0016721-0.0031406i,0.0014617-0.0028714i,0.00056284-0.00025765i,-0.0001989+0.00067825i,-7.4083e-07+0.00021345i,0.000387+0.00065646i,0.00017842+0.00060174i,-0.00014124+8.32e-05i,-0.00018595-0.00035096i,-0.00075021-0.00028997i,-0.00076606-0.00016894i,-0.00028578-0.00044625i,0.00027729+1.6226e-05i,0.00078895+0.00035768i,0.0003711+0.00039937i,0.00047327+0.0006278i,0.00033391+0.00076007i,-0.0004679+0.000396i,-0.00029694-3.2702e-05i
0.0011719+0.0016915i,0.0013299+0.00010572i,0.00067628+0.00015142i,1.428e-05+0.00059533i,0.00021974-0.00064677i,4.5022e-05-0.0017683i,0.00015456-0.00093044i,0.0005656+0.00082778i,6.7249e-05+0.0013515i,-0.00013669+0.00044539i,0.00056272-0.00055016i,0.00072884-0.0011064i,0.00097391-2.8096e-05i,0.0010563+0.0015285i,0.00047254+0.0014098i,8.5279e-05+0.0001699i,1.7202e-05-0.00063494i,0.00011839-0.00031587i,-0.00041804+0.00045731i,-0.00053632+0.00017907i,0.00029348-0.00014384i,0.00051407-0.0001809i,6.0588e-05-0.00020275i
-0.00060089+0.00012102i,-6.8433e-05+0.00097004i,-0.00059464+0.00051206i,-0.0005386+0.00023819i,0.00051211-0.00013343i,0.00023578-0.00079354i,8.7248e-05-0.00021429i,0.00051512+0.00039027i,0.00033466-0.00012962i,-9.6302e-05-0.00053358i,-0.00038469-0.00083784i,-0.00036607-0.00082543i,-0.00010044-0.00034396i,0.00017379-0.00015732i,-0.00010738-0.00034172i,-9.6148e-05-0.00021083i,-0.00018317+0.00061919i,-0.00087124+0.0011506i,0.00010098+0.0010928i,0.00076895+0.00077379i,0.00038628-1.3744e-05i,0.00051309-0.00032105i,0.00077667-0.00016466i
-0.00080523+0.00014227i,0.0002221-0.00054039i,0.00065675-0.00021129i,0.00064626+2.6519e-05i,0.00051923+0.00017594i,0.00048079-0.00040071i,0.00038195+9.8663e-05i,-0.00029277+0.0010493i,-0.00065273+0.00048754i,-0.0010398-0.0005033i,-0.0010401-0.00044332i,-0.00018628-2.244e-05i,0.00022753-0.00048114i,0.00034632-0.00030304i,0.00083396+0.00038582i,0.00085528+0.00039345i,0.0007427-0.00016747i,0.0009978-0.00076157i,0.001264-0.00066124i,0.00085551+0.00016276i,0.00031233+0.00062142i,-0.00028306-3.1534e-05i,-0.00079879+0.00012987i
0.001267+0.00026567i,0.00013888+0.00044366i,-0.00054333+0.00023635i,0.00010559+2.2533e-05i,0.00038309-0.00047501i,0.00050966-0.00076926i,0.00063849-0.0004224i,0.00040968+0.00042845i,0.00066305+0.00037594i,0.00066873+0.0001093i,-9.3352e-05+0.0004232i,-0.00060174+0.00010893i,-0.00049184-0.00028976i,-0.00015108-0.00023437i,0.00071874+0.00011653i,0.0014057+0.00055351i,0.00094661+0.00048689i,0.00053008-4.7892e-05i,0.00032551-0.00065796i,-9.7141e-05-0.00032041i,-7.419e-05+0.0003166i,0.0003598+0.00027307i,0.00049028+0.00085563i
0.0011049+0.00047626i,0.0019909-0.00055812i,0.0017727-0.0011828i,0.00030104-0.0011321i,-0.00077461-0.0015407i,-0.00068125-0.0014618i,-0.00042106-0.00020225i,-8.0073e-07+0.00078082i,-0.00031763+0.00076621i,-0.00038012-0.00050785i,-0.00020001-0.00050609i,-0.00091369+0.00043616i,-0.00072354+0.00038165i,0.00023819+8.004e-05i,-9.6365e-05+0.00029678i,-0.00056958+0.00088486i,-0.00080337+0.0005497i,-0.00076605+6.9977e-05i,-0.00093452+0.00035618i,-0.00079956+0.0002342i,-0.00037479+0.00012382i,2.0899e-05+0.00040935i,-0.00014679+0.00010961i
0.0016915+0.00079985i,0.00069501+0.00032268i,0.00034196-0.00014595i,0.00081314-0.0012782i,0.0011835-0.0030387i,0.00011712-0.0039122i,-0.00021657-0.0026512i,0.0009602-0.0010188i,0.00097892-0.00015608i,-5.0734e-05+9.3057e-06i,-0.00068904-0.00058713i,-0.00085486-0.00079259i,-0.00067776-0.00037373i,-0.00051111+0.00030987i,-1.9745e-05+0.00029103i,0.00044179-0.00032991i,0.00033297-0.00050583i,0.00020539-0.00056386i,-0.00032558-0.00064479i,-0.0003275-0.00018852i,-0.00013834+0.00055784i,-0.00021834+0.0004382i,-0.00022087+0.00015797i
0.0008002+0.0020562i,0.001988+0.0008886i,0.0025978-0.00012709i,0.0024903-0.001822i,0.0019316-0.0032897i,0.0007559-0.002995i,-0.00020338-0.0016129i,-0.00056898-6.5276e-05i,-0.00046531+0.00035652i,-0.00064921+0.0004223i,-0.0005446+0.00059525i,-0.00014081+1.3502e-05i,-0.00027266-0.00051853i,-0.00014656+8.7443e-07i,0.00040537+0.00050688i,0.00052066+0.00058564i,-7.1701e-06+0.00014943i,0.00027436-0.00043571i,0.00010475-0.00032365i,4.5967e-05+0.00042504i,7.5603e-05+0.00095234i,-0.00074999+0.00090635i,-0.00058615+0.00057113i
0.00088114+0.0011183i,0.0015896+9.4487e-05i,0.0020083-0.0004371i,0.0012133-0.0014886i,0.00067153-0.0027289i,0.00022516-0.0023972i,-0.00049984-0.0013797i,-0.00038238-7.0181e-06i,-0.00055002+0.00064957i,-0.00045818-0.00022324i,0.00045409+0.00012359i,0.00054115+0.00093298i,0.00022756+0.00040329i,-0.00024289-0.00057737i,-0.00076956-0.00090811i,-0.0003233-0.00033643i,0.00030976-0.00023408i,5.8326e-05-0.0005598i,-0.00021029-0.00075861i,-3.7012e-05-0.0005602i,0.00041028+0.00011052i,0.00067986-9.1578e-05i,0.0005211-0.0004964i
-0.00076743-0.00089193i,-0.0015646-0.00076829i,-0.0022232-0.00017262i,-0.0018498-6.3558e-05i,-0.00029736+0.00013613i,-0.00024271+0.00035841i,-0.00046541+0.00037489i,-0.00048192-9.4682e-05i,-0.00048683-0.00039658i,-0.00087041+7.4342e-05i,-0.00054673+0.00058025i,-6.382e-05+0.00028867i,-0.00025883-0.00041025i,-0.00043817-0.0003462i,-0.00010517+0.00016413i,0.00036708+0.00027211i,0.00019837+0.00091937i,1.5746e-05+0.00086606i,-0.00013999+0.00024754i,-0.00035156-3.589e-05i,-7.6554e-05-6.1595e-05i,0.00034043+0.00038349i,-0.00030616+0.00075998i
0.0012132+0.00033835i,0.0012438+0.00038288i,0.00077548+0.00012418i,5.0684e-05-0.0007411i,-0.00070555-0.0017866i,-0.0014485-0.0019513i,-0.0010399-0.00053144i,0.00034264+0.00092964i,0.00033009-9.5109e-07i,-0.00053328-0.0010066i,-0.00064085-0.0010298i,-2.936e-05-0.0010776i,-7.1236e-05-0.00046136i,-0.00044783+0.00012816i,-0.00058867-0.00062284i,-0.00035434-0.00073892i,-0.00018605+0.00032466i,-0.00023417+0.00070513i,4.4603e-05+0.00021885i,0.00028329+0.00018077i,-1.0733e-05+0.00077173i,0.00015302+0.00094052i,-0.00020107+0.00066264i
-0.00029201+0.0011066i,0.0007179+0.00010583i,0.0012029-0.00097359i,0.00077781-0.0017418i,0.00097996-0.0012343i,0.00075579-0.00070696i,0.00028231-0.00074622i,-0.00054974-0.00058656i,-0.0013613-0.00084686i,-0.0006474-0.00082692i,0.00013084-0.00016807i,0.00068832-0.00013224i,0.00098828-0.00015564i,0.00061489-9.0162e-05i,0.00025261-7.9124e-05i,-0.00015819-2.0848e-05i,-0.0005851-4.087e-05i,-0.0012314-0.00025682i,-0.00072982-0.00042894i,0.00028898+0.00013068i,0.00035393+0.0010829i,-0.00049858+0.00089502i,-0.00039691+0.00021327i
0.0021873-3.3443e-05i,0.0013124-0.00078724i,0.0005228-0.0028274i,8.9712e-05-0.0027843i,-0.00061574-0.0020525i,0.00023947-0.0010535i,0.00081057+0.00065283i,0.0012104+0.00065484i,0.0008899-0.00039515i,-0.00027399-0.00047324i,-0.00043339-0.00031149i,-0.00021853-0.00051604i,0.00036601-1.7353e-05i,0.00044339+0.00037341i,1.5714e-05+9.0165e-05i,-0.00019793+6.411e-05i,-0.00067011-0.0003222i,-0.00057533-0.00039774i,0.00022466-0.00021676i,-0.00016637+0.00013043i,-0.00051565+0.00036608i,-0.00024209+0.00038779i,0.00044697+0.0005473i
-0.00037103+0.0009071i,-0.00081796+0.00030333i,-0.0012181-0.00041338i,-0.00085968-0.00054319i,0.00064734-0.00085289i,0.0012681-0.0012407i,0.00057809-0.0011385i,0.00012928-0.00063228i,-0.00052-0.00013535i,-8.6371e-05+0.0001031i,0.00024361+7.5145e-05i,-0.00039701-0.00038706i,-0.00080649-0.00022427i,-0.00086958-0.00074175i,-0.00061782-0.0010211i,-0.00045039-0.00034388i,-0.00056706-0.00026027i,-0.00070899-0.00034634i,-0.00034155-0.00055464i,-0.00011177-0.00019385i,-0.00049203+0.00052001i,-0.0004372-5.3558e-06i,-0.0004794-0.0007315i
0.0011119-0.0010145i,0.00055854-0.00026702i,3.449e-05-0.00025081i,-0.00023681-0.00014219i,-0.00034286-0.00019419i,-0.00033325-0.00028834i,-0.00013498+7.2336e-05i,-0.00016928+0.00060177i,-0.00031926+0.00063461i,-0.0003404+0.00085812i,-0.0003903+0.00087993i,-0.00013094+0.00021767i,0.00016064-0.00080833i,-0.00022431-0.00099311i,-0.00017915-0.00079515i,-7.5041e-05-0.00060259i,-0.0011089-0.00041912i,-0.0010378-0.00021764i,-0.00058132+0.00029453i,-0.00047628+4.6942e-05i,0.00024454-0.00032078i,0.00042209-0.00027663i,0.00016566-0.00015425i
-0.00027601+0.0001531i,-0.00022717+0.00089775i,-0.00029566+0.0010945i,0.00025422+0.00030256i,0.00064027-0.0014495i,-0.00011773-0.0019601i,-1.2897e-05-0.00089745i,-9.9688e-05+4.3179e-05i,-0.00051331+7.6802e-05i,-0.00020361-0.00052014i,0.00023383-0.00045531i,-0.0002865+0.00017376i,-0.00068403+0.00051435i,-0.0008257+0.00022488i,-0.00065769+0.00050029i,-4.3092e-05+0.000587i,1.4109e-05-0.00025128i,-0.00089007-0.00054626i,-0.00065834-0.00080416i,0.00046255-0.00087858i,0.00099005-0.00014127i,0.00078751+0.00060482i,0.0001114+0.00055958i
-0.0010832-0.00066912i,-0.00054981-0.00094228i,-0.00066294+0.00030422i,-0.0011964+0.00081513i,-0.00091155-0.00024228i,9.0761e-05-0.0012268i,0.00077036-0.00031978i,0.0010676+0.0004831i,0.00066556+0.00066707i,0.0001731+0.000109i,0.0004309-0.0006986i,-2.4417e-05-0.00074211i,-0.00046411-1.2577e-05i,-0.00018869-0.0001434i,-0.00049751-0.0009402i,-0.00038919-0.00094424i,0.00011347-0.00028375i,-0.00023653-5.2496e-05i,-0.00051151-4.9897e-05i,-0.0002448-0.00027413i,0.00047163-0.00045969i,0.00066736-0.00023453i,0.00028879+3.4821e-05i
0.00089996+0.00049604i,0.00050424-0.00049211i,0.0011937-0.0013159i,0.0013739-0.00125i,0.00064161-0.0019518i,-0.00046092-0.0015001i,-0.0011888-0.00022396i,-0.001183+7.4221e-05i,-0.0008165+8.4477e-05i,-0.00047365+7.4395e-05i,-0.00049394+0.00072583i,-0.00058007+0.00073573i,-0.00081025-0.00043992i,-0.0007243-0.00077209i,-0.00027254-0.00045098i,-5.4666e-05-0.00022693i,0.00053629+0.00045687i,0.00049461+0.00088813i,-6.7751e-05-2.1677e-05i,0.00036803-0.00070959i,0.00049285-0.00066526i,-0.00027003-0.00077353i,-0.00084298-0.00031855i
-0.00070178-0.00036347i,0.00027049+0.00040705i,0.00068493+0.0011684i,0.00025011+0.00081937i,0.00017329+0.00025526i,-1.8939e-06+8.0333e-05i,0.00024845+0.00036551i,0.00030565+0.00056298i,-0.0003063+0.00046341i,-0.00043897+0.00060797i,-7.3305e-05+0.00025997i,-4.4366e-05-0.00041228i,-0.00030345-0.00018134i,-0.00026799+0.00042051i,-2.7246e-05+0.00020023i,-6.4768e-05-0.00029727i,-0.00055184-0.00023111i,-0.00075845-0.00026378i,-0.00077499-0.00062662i,-0.00070857-0.0005145i,0.00028605-0.00041761i,0.00083758-0.0012369i,0.00038039-0.00074519i
-0.00028035-0.0016634i,2.091e-05-0.0020237i,-0.0012997-0.0024159i,-0.0025187-0.0025704i,-0.0016032-0.001577i,-0.00089215+0.00053178i,-0.0010208-0.00017087i,-4.7825e-05-0.0010945i,0.00064903-0.00014423i,0.00024942+9.4569e-05i,-2.4556e-05+0.00021731i,-0.00026086+0.0002821i,-0.00012356-6.8851e-05i,0.00099419+9.1099e-06i,0.0014307+0.00018633i,0.00042005+0.00066486i,-0.00053041+0.000557i,-0.00083063-0.00032723i,-0.00066808-0.00089772i,-0.00046308-0.00034397i,-0.0003961+0.00045292i,-0.00068126+0.00050059i,-0.00036038+0.00016825i
0.00012029-0.00080891i,-0.00045546-0.00032725i,-0.00041549+0.00014473i,-0.0007733-2.9414e-06i,-0.0015923-4.2737e-05i,-0.0013522+0.00017097i,-0.0010662+0.0005048i,-0.0010873+0.00032435i,-0.00058006+0.00012181i,-0.00041382+0.00030278i,-0.00066993+0.00023078i,-0.00077863-0.00013718i,-0.00068194-2.2035e-05i,7.806e-06-0.0004619i,0.00014808-0.00085419i,-0.00026648-0.00047894i,-0.00021362+0.00016903i,-6.4771e-05+0.00020226i,0.0001083-0.00041554i,0.00035007-0.00055951i,1.077e-05-0.00075885i,0.00015769-0.0013014i,0.00035441-0.0016346i
-0.00045221-0.0023441i,-0.0012107-0.0023789i,-0.0021188-0.0016222i,-0.0026114-0.00049465i,-0.0020371+0.00041529i,-0.0014733+0.00028825i,-0.0009649+0.00062873i,-0.0001044+0.00062573i,-0.00018843+0.00019517i,-0.00089055+0.00010673i,-0.00041724+4.657e-05i,0.00042719+0.0001572i,0.00024734-2.5008e-05i,0.00024648-0.00076758i,0.00061876-0.00097556i,-2.7877e-05-0.00068634i,-0.00061468-0.00014117i,-0.00024652+0.00028799i,0.00017098-7.2895e-05i,-0.00042104+0.00028258i,-0.00057196+0.0007357i,3.0971e-05+0.00038209i,0.00054657-0.00061606i
0.00072275-4.5582e-05i,0.00011683+0.00025927i,0.000739+0.00094016i,0.0014422+0.00039839i,0.0016939-0.00099533i,0.0011548-0.00064743i,0.00012335+0.00063959i,0.00045355+0.00088229i,0.00082536+0.00029118i,0.00067672-0.0002338i,0.00044216-0.00061607i,-0.00037375-0.00036239i,-0.00062796+0.00026712i,1.957e-05-6.6476e-05i,0.00075442-0.0008408i,0.00082697-0.00027347i,-4.9487e-06+0.0007958i,-0.00043162+0.00021684i,-0.00043185-0.00010364i,-0.00061823-7.443e-05i,-0.00025985+0.00030334i,-0.00020706+0.00065016i,-0.00051296+0.00037494i
-4.1336e-05-0.00031753i,-0.00033495-0.0012519i,-0.0014135-0.0013957i,-0.0013071-0.00053851i,2.7698e-06-3.3488e-05i,0.00091491-7.9101e-05i,0.00046849+0.00018412i,-0.00054752+0.00046435i,-0.0012714+0.00064754i,-0.0011339+0.00037529i,-0.00028302-0.00026216i,-0.00015467-0.00063589i,-0.00090831-0.0009886i,-0.0013117-0.0007133i,-0.0013253-0.00048645i,-0.0010189-7.6693e-05i,-0.0011974+0.00041762i,-0.00097814+0.00025906i,-0.00032841+0.00056144i,-0.00012595+0.00065003i,-5.6337e-05+0.00015954i,0.00030213-0.00030544i,0.0003002-0.00028818i
-0.0002627-0.00089078i,-0.00078994+0.0004116i,-0.0010369+2.7962e-05i,-0.00077705-0.00035639i,-0.00055959-0.00024995i,-0.0002916-0.00011126i,0.00035+0.00025018i,0.00063765+0.00060003i,-2.6668e-05+0.00059586i,-0.0002203+5.0996e-05i,-0.00033071-0.00013763i,-0.00053079+0.0003081i,0.00044821+0.00046295i,0.00067401+0.00043955i,-0.00013904+0.00033473i,-0.00021362+4.9584e-05i,0.00029771-0.00040998i,-7.7455e-05-0.0010387i,-0.0010244-0.0011751i,-0.0014407-0.00086497i,-0.001386-0.00070546i,-0.00067018-0.00034603i,-0.00032885-0.00023308i
0.0002433+0.001335i,0.00036964+0.00079729i,0.00040986-0.00010206i,0.0013902-0.00070727i,0.0015721-0.0015052i,0.00089575-0.0026773i,0.00064065-0.0015863i,0.00026856+0.00030987i,-0.00034976+0.00061505i,-0.00058601+0.00011307i,-0.00061049-0.00065914i,-0.0006676-0.0009928i,0.000134-0.00012375i,0.00082674+0.0003816i,0.00048101+0.00035124i,-9.4798e-05+0.00078197i,-4.784e-05+0.00078117i,9.5335e-05+0.00067773i,0.00013064+0.00057238i,0.0007104+0.00022006i,0.00082463+4.015e-05i,0.00049034+0.00010096i,0.00053768-0.00024406i
0.00083925+0.0010502i,0.001274-0.00076439i,0.00030109-0.00061697i,-0.0007632-0.00049026i,-0.00019783-0.001202i,0.00064247-0.0013071i,-0.00012064-0.00011709i,-0.00028964+0.00042764i,0.00037115+0.00085729i,-0.00037625+0.00069763i,-0.0011591-4.6163e-05i,-0.0010113-4.7761e-05i,-0.00058323+0.00026087i,-0.00013141-0.00017744i,0.00029213-0.00027912i,0.00040583+0.00023406i,-3.0209e-05+0.000355i,-0.00020268+0.00015752i,0.00026378-5.5044e-05i,0.00070456-5.8165e-05i,-9.0262e-05-0.00033395i,-0.00068703+0.00069312i,-0.00031862+0.0010325i
0.0012648-0.00080145i,0.00064068-0.00098502i,-0.00016684-0.0012857i,-0.00032139-0.0012782i,0.00026009-0.001367i,-0.00021444-0.00099355i,-0.00075463-0.00036416i,-0.00055104-0.00043752i,-0.00083512-0.0010408i,-0.00087862-0.0012245i,-0.00029257-0.00065677i,-6.4176e-05+0.00023489i,-0.00020275-0.00010344i,-0.00019489-0.00029536i,-7.2897e-05-0.00047402i,-1.3263e-05-0.0011353i,-0.00018598-0.00099103i,-0.00016977-0.00016701i,-0.00012316+0.00025688i,-0.00033799-0.00036306i,-2.663e-05-0.00063149i,-0.00013718-0.00034113i,-0.00093272+0.00014152i
-0.0012026+0.0016045i,-0.0018949+0.0015412i,-0.002231+0.0018795i,-0.0012811+0.0013605i,-0.00020228-5.5813e-05i,2.8432e-05-0.0010006i,-0.00077812-0.00012578i,-0.0014547+0.0006657i,-0.00090816+0.00070482i,0.00011783+0.0004848i,0.00064672+9.1208e-05i,-0.00024741+0.00015227i,-0.0015713+0.00031899i,-0.0012228-0.00059942i,-0.00027062-0.00029207i,0.00012289+0.001169i,0.00033549+0.0012896i,1.4788e-05+0.00054843i,-0.00091888+0.00048723i,-0.00089127+0.00017217i,-0.00014463-0.00079058i,0.00018821-0.00059726i,0.00049878+0.00012893i
3.3137e-05-0.00018159i,0.00059138+0.0001192i,0.00079065-0.00068947i,0.0012273-0.0009592i,0.0016333-0.00076909i,0.00095979-0.0004135i,-0.00072897-0.00034439i,-0.0014596-0.00037741i,-0.00034748-8.2857e-05i,-2.672e-05-5.1653e-05i,-0.00029564-0.00018575i,-6.1731e-05-0.00020116i,-0.00025973-0.00022252i,-0.00022555-0.00082268i,-0.00049777-0.00038089i,-0.00015303-0.00010864i,0.0004184-0.00026934i,0.00018745+0.00064783i,2.0943e-05+0.00054996i,0.00031037-0.00016354i,0.00018215-2.4266e-05i,-0.00025445+0.00036333i,-0.0002168-0.00016685i
