0.00015936-0.00026264i,-0.00076111-0.0010707i,-0.0009283-0.0012361i,-0.00051666-0.001226i,-0.0011741-0.0015986i,-0.0017383-0.0001995i,-0.0011278+0.0013459i,-0.00043049+0.0016879i,0.00065256+0.00055847i,0.0011872-0.000296i,0.00084252-0.00080762i,0.00019692-0.0011514i,-8.0943e-05-0.0011755i,-0.00045843-0.0007281i,-0.00077854+0.00021744i,-0.00091268+0.00077253i,-0.00077154+0.00042092i,-0.00048212+0.00025235i,-0.00084673+0.00015412i,-0.0011208+0.00013049i,-7.5663e-05-7.1859e-05i,0.00055777-4.4094e-05i,-0.00047529+0.00012518i
-0.34615-0.042019i,-0.90253-0.022507i,-1.3949+0.24439i,-1.2344+0.64516i,-0.51333+0.7073i,0.1068+0.39425i,0.28991+0.12433i,0.20963+0.055168i,0.087431+0.049899i,0.0091693+0.0063905i,-0.041596-0.049834i,-0.065886-0.040613i,-0.02873-0.0040952i,0.009417-0.010209i,0.0028986-0.038317i,-0.030176-0.058192i,-0.073661-0.042864i,-0.08468+0.011813i,-0.043853+0.053569i,0.0037519+0.046282i,0.023517+0.018479i,0.025879+0.0044533i,0.02886+0.0022263i
0.32622+0.055821i,0.84187+0.17154i,1.2993+0.29919i,1.228+0.30725i,0.67386+0.15064i,0.11402-0.055593i,-0.12287-0.15887i,-0.11771-0.12826i,-0.062237-0.044823i,-0.061689+0.022187i,-0.097176+0.060652i,-0.092869+0.064232i,-0.058095+0.040159i,-0.033115+0.027065i,-0.015531+0.030184i,0.0040697+0.040102i,0.036425+0.054463i,0.069657+0.042763i,0.06935+0.0037801i,0.036649-0.02333i,-0.00038444-0.032525i,-0.028157-0.032443i,-0.038295-0.02094i
-0.24999-0.0026776i,-0.48748-0.05618i,-0.47392-0.23322i,-0.095951-0.4427i,0.1946-0.38419i,0.17446-0.064074i,0.090046+0.16477i,0.079622+0.14904i,0.08991+0.065697i,0.10607+0.053013i,0.12447+0.081317i,0.12699+0.089506i,0.10574+0.062232i,0.079071+0.028329i,0.057971+0.0040268i,0.038558-0.016875i,0.017415-0.044118i,-0.015489-0.062961i,-0.046163-0.054395i,-0.04816-0.031884i,-0.028012-0.013052i,-0.0044712-0.0037622i,0.0076323-0.0031698i
0.17579-0.071245i,0.2917-0.24661i,0.06671-0.47396i,-0.48332-0.5467i,-0.67341-0.43495i,-0.30316-0.34835i,0.016539-0.32699i,0.040316-0.19804i,0.017537-0.051615i,0.022712-0.032623i,0.02092-0.063166i,0.020134-0.076311i,0.010931-0.074106i,-0.011415-0.054247i,-0.02547-0.02158i,-0.022277+0.0040158i,-0.01789+0.016778i,-0.011338+0.034822i,0.0026509+0.055523i,0.015196+0.058119i,0.018207+0.03873i,0.011144+0.016219i,0.010807+0.0080577i
-0.18717+0.095542i,-0.45266+0.36134i,-0.56616+0.81812i,-0.27338+1.1112i,0.065804+0.85075i,0.017988+0.32628i,-0.13701+0.06213i,-0.097987-0.020461i,-0.031778-0.078406i,-0.033173-0.066777i,-0.04315-0.037965i,-0.049548-0.020313i,-0.037386-0.0073283i,-0.0093882-0.019604i,0.0072595-0.041907i,0.0018976-0.045989i,-0.01084-0.021812i,-0.0034347+0.0071185i,0.020308+0.01076i,0.027662-0.0031869i,0.0089653-0.010764i,-0.013099-0.00679i,-0.017834-0.0058152i
0.22728-0.027184i,0.62847-0.11432i,1.0521-0.31072i,1.0011-0.50119i,0.4448-0.4141i,-0.0049563-0.079292i,-0.073746+0.15438i,-0.017367+0.16717i,0.0018383+0.09842i,0.0034409+0.057773i,0.0066856+0.043817i,0.0064343+0.024403i,-0.0081314+0.015427i,-0.025708+0.029387i,-0.027452+0.043801i,-0.011128+0.054721i,0.020568+0.05669i,0.038776+0.03353i,0.027534+0.00075288i,0.0088756-0.018431i,-0.0070885-0.020488i,-0.017581-0.0075704i,-0.025386+0.001663i
-0.20449-0.050724i,-0.55733-0.15313i,-0.87826-0.25407i,-0.7754-0.26986i,-0.31882-0.18844i,0.045667-0.052112i,0.15766+0.026938i,0.11373+0.013045i,0.032121-0.0084906i,-0.00072886-0.0175i,0.00042591-0.017442i,-0.00063002-0.0065523i,0.00045926-0.0033962i,0.0087701-0.010414i,0.014414-0.019969i,0.017531-0.028223i,0.015141-0.038629i,0.0009851-0.04021i,-0.013581-0.031137i,-0.024343-0.024056i,-0.020287-0.008214i,0.009277+0.0086369i,0.034601+0.011668i
0.1764+0.05542i,0.42068+0.12636i,0.52251+0.11813i,0.22362+0.0081854i,-0.15449-0.11611i,-0.21582-0.23109i,-0.12573-0.276i,-0.10486-0.18646i,-0.11858-0.075488i,-0.12384-0.018802i,-0.094977+0.00057461i,-0.052493-0.004214i,-0.036554-0.0099076i,-0.044973-0.010029i,-0.060253+0.001803i,-0.058502+0.02291i,-0.03782+0.031802i,-0.014798+0.025662i,-0.0049939+0.019372i,-0.0090367+0.023257i,-0.0099006+0.021109i,-0.011449-0.0030804i,-0.020379-0.022773i
-0.14385-0.053074i,-0.41398-0.064488i,-0.62572+0.063314i,-0.5272+0.31887i,-0.28118+0.46726i,-0.15687+0.41008i,-0.097761+0.27659i,-0.0030888+0.15679i,0.06397+0.10608i,0.096493+0.10005i,0.096026+0.055355i,0.04962+0.014223i,0.018598+0.023928i,0.030636+0.042778i,0.058585+0.040118i,0.074816+0.01287i,0.06227-0.012921i,0.031828-0.017992i,0.0071354-0.0078277i,-0.00016414+0.0088639i,0.0005282+0.020508i,-0.0059649+0.029901i,-0.013443+0.038177i
0.13776+0.047332i,0.36937+0.12308i,0.59663+0.19096i,0.6259+0.16969i,0.47661+0.058259i,0.28488-0.027839i,0.13194-0.016295i,0.047052+0.045093i,0.038044+0.055763i,0.036754-0.0019211i,-0.0037441-0.039178i,-0.031257-0.022818i,-0.020985-0.0038803i,-0.0079187-0.0031975i,-0.0079238-0.013893i,-0.021931-0.023259i,-0.037157-0.020814i,-0.041378-0.0070464i,-0.032361+0.012871i,-0.010017+0.021895i,0.011882+0.0086665i,0.019776-0.0075223i,0.021596-0.0052842i
-0.077488-0.062437i,-0.17566-0.15228i,-0.16842-0.28645i,-0.031188-0.37059i,0.010415-0.28396i,-0.076954-0.090272i,-0.091757+0.019457i,-0.038691-0.018103i,-0.03149-0.067333i,-0.057572-0.042605i,-0.066531+0.015639i,-0.043796+0.054543i,-0.0085743+0.044391i,0.0089959+0.0072083i,0.0013934-0.0049253i,-0.0081013+0.01575i,-0.0084086+0.036952i,-0.0020993+0.042493i,0.012079+0.032351i,0.019343+0.0062366i,0.0092608-0.016441i,-0.0006425-0.018095i,0.0032824-0.019207i
0.043383+0.029861i,0.08753+0.0064415i,0.024957-0.083503i,-0.15088-0.17769i,-0.16695-0.15019i,0.039499-0.037392i,0.1616+0.0070322i,0.1033+0.015676i,0.03503+0.030996i,0.020059+0.031736i,0.03655+0.025273i,0.053087+0.0055992i,0.031942-0.0082628i,-0.00047927-0.0043396i,-0.006234-0.0020814i,0.0086744-0.0030527i,0.024887+0.0026078i,0.033003+0.01403i,0.030895+0.01671i,0.018156+0.011613i,0.0051622+0.010197i,0.0018945+0.0054629i,-0.0030838-0.0024668i
-0.039609-0.0061404i,-0.16729+0.052143i,-0.32532+0.23248i,-0.31944+0.41926i,-0.13228+0.34569i,-0.0033441+0.071271i,0.02958-0.055706i,0.088436-0.013555i,0.11993+0.022682i,0.093931+0.0209i,0.059033+0.00019393i,0.022791-0.010821i,0.0076034+0.0016247i,0.010843+0.015426i,0.010706+0.017851i,0.010514+0.010079i,0.017875+0.00089641i,0.030487-0.00495i,0.0365-0.00983i,0.028508-0.013777i,0.0099834-0.012129i,-0.0069323-0.0043956i,-0.010651+0.0056741i
0.04013+0.039354i,0.20001+0.080734i,0.47774+0.057982i,0.60771-0.087204i,0.39716-0.22831i,0.11124-0.2366i,-0.043037-0.18081i,-0.11651-0.14465i,-0.11785-0.10972i,-0.073205-0.076491i,-0.043812-0.055559i,-0.02771-0.040346i,-0.018459-0.037598i,-0.019214-0.036045i,-0.0228-0.0243i,-0.019576-0.012515i,-0.0089067-0.014116i,0.0015507-0.030744i,-0.005942-0.046399i,-0.028618-0.04158i,-0.034526-0.019828i,-0.021784-0.0024386i,-0.012495+0.0010312i
-0.009294-0.065028i,-0.08835-0.19725i,-0.25543-0.31606i,-0.37173-0.2906i,-0.3516-0.15825i,-0.28815-0.038878i,-0.17375+0.028887i,-0.038741+0.025281i,-0.0038285-0.012544i,-0.027808-0.0029041i,-0.028934+0.022591i,-0.020325+0.029185i,-0.0075119+0.038828i,0.013684+0.044718i,0.032224+0.036342i,0.03445+0.016222i,0.014961-0.0063181i,-0.013162-0.015889i,-0.026174-0.0052045i,-0.015831+0.012779i,0.0019825+0.017542i,0.011376+0.01075i,0.013388+0.0051645i
-0.01342+0.081193i,0.025393+0.21503i,0.12314+0.29846i,0.1592+0.21189i,0.085937+0.099867i,0.042148+0.10195i,0.051789+0.10282i,0.015407+0.064875i,-0.018092+0.055366i,-0.0064215+0.036929i,-0.0016091+0.013975i,0.0016982+0.0093638i,0.0064394-0.0050499i,-7.9757e-05-0.02275i,-0.0075396-0.026168i,-0.012451-0.013671i,-0.011374+0.0082122i,-0.0092307+0.021362i,-0.010624+0.02216i,-0.0078481+0.019554i,-0.0036562+0.014663i,-0.0033557+0.0073348i,-0.0028912+0.0019064i
0.025763-0.074602i,-0.026501-0.23579i,-0.20052-0.37468i,-0.39008-0.29001i,-0.39179-0.069012i,-0.24573+0.022057i,-0.1513+0.021214i,-0.10337+0.063484i,-0.058337+0.089085i,-0.031687+0.073839i,-0.0042034+0.041612i,0.0053968+0.00013234i,-0.0064543-0.013271i,-0.010857-0.00062029i,-0.0050977+0.0097172i,0.0072867+0.0076493i,0.014449-0.0032872i,0.0070334-0.0042477i,-0.0014912+0.010642i,0.00023504+0.020019i,0.0061387+0.012269i,0.0061624+0.0054135i,0.0024495+0.0072571i
-0.040243+0.064526i,-0.06068+0.24411i,0.011089+0.52075i,0.19334+0.65556i,0.32162+0.51623i,0.29078+0.30073i,0.21286+0.13167i,0.14082+0.0024402i,0.081222-0.031282i,0.064447-0.019105i,0.039662-0.035521i,-0.0019745-0.035054i,-0.0084525-0.022036i,0.0056064-0.034461i,0.0025492-0.055911i,-0.020961-0.0605i,-0.04028-0.03832i,-0.029246-0.0042482i,0.0042859+0.0090213i,0.025741-0.0063176i,0.021531-0.020831i,0.013109-0.019321i,0.010703-0.018312i
0.073939-0.023501i,0.19684-0.12229i,0.32012-0.32016i,0.32027-0.46857i,0.22397-0.43525i,0.13663-0.33422i,0.072677-0.20829i,0.060957-0.050752i,0.079886+0.016159i,0.034791+0.0045024i,-0.025061+0.030334i,-0.03167+0.065004i,-0.033368+0.063875i,-0.050386+0.059959i,-0.055949+0.073282i,-0.036462+0.096503i,-0.00032789+0.099771i,0.024384+0.067426i,0.023566+0.024526i,0.006768-0.00077147i,-0.0089785-0.0053201i,-0.012206-0.0023072i,-0.009345+0.00022191i
-0.081217-0.030271i,-0.23067-0.023279i,-0.37352+0.029506i,-0.36684+0.062648i,-0.26904+0.024991i,-0.21924+0.019893i,-0.18294+0.053389i,-0.1165+0.018284i,-0.072562-0.030409i,-0.031869-0.014797i,0.021056+0.0023128i,0.043493-0.0033132i,0.043157+0.0065119i,0.048447+0.021472i,0.062465+0.018267i,0.080151-0.0038095i,0.083682-0.02757i,0.061962-0.03498i,0.023113-0.026655i,-0.010278-0.0077321i,-0.019854+0.0087068i,-0.016605+0.0091834i,-0.016322+0.0051434i
0.05947+0.035811i,0.17501+0.066451i,0.27895+0.050425i,0.24106-0.016739i,0.10196-0.062131i,0.0291-0.027682i,0.043547+0.022558i,0.041576+0.040107i,0.024054+0.031386i,0.020716-0.00066045i,0.012233-0.027455i,0.0017248-0.032167i,0.0042432-0.030207i,0.0069837-0.036884i,-0.007427-0.05175i,-0.029693-0.064742i,-0.045083-0.068939i,-0.046089-0.056315i,-0.028898-0.028753i,-0.0046483-0.0088488i,0.0073927-0.0060812i,0.0048007-0.0062469i,0.0019953-0.0020298i
-0.025745-0.058699i,-0.097044-0.11683i,-0.19521-0.15225i,-0.24617-0.086012i,-0.19522+0.049619i,-0.072578+0.1016i,0.050974+0.037036i,0.10839-0.059275i,0.070834-0.097017i,0.013401-0.067853i,0.0026977-0.04353i,0.011121-0.034495i,0.013406-0.024091i,0.0081627-0.010623i,0.0029429+0.0125i,-0.0027773+0.029372i,-0.017266+0.034128i,-0.027002+0.034651i,-0.017714+0.025845i,-0.0042388+0.0126i,-0.00033802+0.0094912i,0.001071+0.013975i,0.0066121+0.011601i
-0.0096006+0.039771i,-0.027485+0.11242i,-0.015838+0.19099i,0.043856+0.19206i,0.11316+0.090371i,0.14544-0.041914i,0.067123-0.10077i,-0.070175-0.041136i,-0.11768+0.037803i,-0.1001+0.042841i,-0.10637+0.026667i,-0.10883+0.031716i,-0.081801+0.032201i,-0.045232+0.021096i,-0.016737+0.0068316i,-0.0060454+0.006152i,0.001785+0.027343i,0.012404+0.042391i,0.011471+0.036108i,0.0038472+0.023861i,0.0016465+0.012504i,0.002615+0.0063621i,0.0010532+0.0066478i
0.036596-0.030063i,0.10177-0.074848i,0.16176-0.11811i,0.14615-0.14534i,0.011443-0.16578i,-0.18129-0.13819i,-0.2364-0.05916i,-0.12427-0.0074971i,-0.024687+0.00046182i,0.0040344+0.029656i,0.03432+0.070632i,0.069564+0.070949i,0.071023+0.042408i,0.043005+0.019918i,0.010384+0.015584i,0.0013482+0.021842i,0.019606+0.020568i,0.035193+0.010021i,0.031432-0.0018938i,0.015395-0.012755i,0.00041569-0.01679i,-0.0027198-0.014612i,0.00050265-0.011547i
-0.035056+0.00043862i,-0.099784-0.0146i,-0.17558-0.063358i,-0.20922-0.070788i,-0.14076+0.046453i,-0.0084734+0.19189i,0.063834+0.21989i,0.041818+0.15114i,0.02147+0.091769i,0.044742+0.045305i,0.056479-0.01832i,0.032937-0.066878i,0.002596-0.070632i,0.00067778-0.045631i,0.029191-0.025787i,0.055067-0.029781i,0.055015-0.047701i,0.033702-0.053823i,0.0089504-0.033614i,-0.0014114-0.0033103i,0.004721+0.012695i,0.010641+0.0078249i,0.0055713-0.0043208i
0.021449+0.0255i,0.037842+0.097565i,0.04486+0.21476i,0.050157+0.24749i,0.060163+0.096959i,0.081194-0.082918i,0.11072-0.10364i,0.13641-0.028897i,0.11853-0.007887i,0.054102-0.02332i,-0.0027489-0.010129i,-0.028202+0.019601i,-0.027342+0.032929i,-0.021523+0.014424i,-0.035485-0.018367i,-0.058731-0.035259i,-0.066954-0.034194i,-0.049406-0.023427i,-0.012635-0.010711i,0.016867-0.0076586i,0.021089-0.013905i,0.0068225-0.01382i,-0.0024827-0.0015888i
