-0.001694+0.00029363i,-0.00073178+0.00028818i,-0.00077567+0.00059845i,-0.00066959+0.0011157i,-0.00031463+0.0016045i,2.4417e-05+0.00092574i,-0.00061136+0.0011377i,-0.00065347+0.001158i,0.00036996+0.00023411i,0.00092803-0.00045336i,0.0010878-0.00074725i,0.0010735-0.0012497i,0.00067935-0.0021144i,-1.1144e-05-0.0019608i,-0.00033249-0.00071373i,-0.00014718+0.00029661i,0.00016869+0.00096578i,0.00044742+0.0011883i,0.00021975+0.00073337i,-0.00042826+0.00034633i,-0.00045501+0.00053281i,-0.00023269+0.00040488i,0.00030579+8.6167e-05i
1.6877e-05-0.00029695i,0.00023879+0.00072195i,0.00075283+0.0014563i,0.00092275+0.00082319i,0.00045855-0.00043914i,0.00045304-0.00074548i,0.00026616-0.00019718i,0.00039817+0.00053715i,0.00032364+0.00041683i,-0.00023234-0.00034422i,-0.0009307-0.00025723i,-0.0011937+0.00018944i,-0.00017742+6.643e-05i,0.00062477-0.00032307i,-6.6855e-05+5.9975e-05i,-0.00058531-0.00031541i,0.0001145-0.00069841i,0.00026157-0.00015317i,-0.00020977-0.0002618i,4.7447e-05-0.00035754i,-0.00014133-0.00031999i,-0.0003702-0.00053466i,-6.2344e-05-0.00030597i
-0.0014163+0.0022719i,-0.00016559+0.0027233i,0.0010873+0.0035171i,0.0015765+0.0036223i,0.0010656+0.0019209i,0.00037408+9.124e-05i,0.00034592+0.00039696i,0.00087195+0.0012675i,0.00076616+1.6294e-05i,-0.00021555-0.00092765i,-0.00094697-0.00056191i,-0.00058236-0.00021065i,-0.0005068-0.00015906i,-0.00025168-0.0010987i,0.00024556-0.001457i,-0.00046186-0.00049316i,-0.00087496-0.00032618i,-0.00035344-0.00057923i,-3.7188e-05-0.00071014i,-0.0001093-0.0009198i,-0.00049998-0.00019513i,-0.00038302+8.3574e-05i,1.5375e-05-0.0011186i
-9.2364e-05+6.4796e-05i,0.00046789-2.0857e-05i,0.0011506+0.00030942i,0.0017885+0.0012549i,0.0020683+0.0013041i,0.0014476+0.00087165i,0.00044956+0.00091034i,0.0001015+0.00032313i,0.00012788-0.00061999i,-0.0001268-0.0011338i,1.983e-05-0.0012246i,0.00030239-0.00038007i,0.00095798+0.00016965i,0.00096877-0.00025925i,0.00040149-0.00045265i,0.00012352+9.9493e-05i,0.00027359+0.00047267i,-5.384e-06+0.00059837i,-0.00045848-0.00036754i,0.0001026-0.0011568i,0.00088741-0.0010153i,0.001384-0.0010606i,0.0012094-0.0011472i
-0.0021831+0.00097166i,-0.001156+0.0011052i,9.6763e-05+0.002425i,0.00083689+0.0033343i,0.001486+0.0025916i,0.0014646+0.0017658i,0.0011276+0.001336i,0.00033347+0.00037001i,-0.00035685-0.00059805i,-0.0004465-0.00058547i,-0.00087408-0.00081786i,-0.0013123-0.0012195i,-0.0010164-0.0013145i,-0.00045103-0.00093224i,-0.00027543-0.00049926i,-0.00018625-0.0002645i,-0.00022805-0.00019943i,0.00047568-0.00011783i,0.00015818-0.00028269i,-0.00031986-0.00044552i,0.00013798-0.00076927i,0.00045617-0.00064133i,0.00031275-0.00017536i
0.0018049+0.00021939i,0.0019979+0.0012439i,0.0028504+0.001527i,0.0021542+0.0012442i,0.00091939+0.00048479i,-1.1146e-05+6.3803e-05i,-9.1201e-05-0.00023848i,0.0004173-0.0003795i,0.00066279-0.00091181i,0.00012876-0.0012276i,-0.00071285-0.00062107i,-8.9119e-05+4.0884e-05i,0.00058843+0.00020629i,0.00048212+0.0002734i,-0.00026776+0.00029758i,-0.00048838+4.5334e-05i,-0.0001252+0.0001292i,9.4776e-05+0.00027386i,0.00072615+0.00035848i,0.0006352+0.00025651i,0.00021819+0.00051654i,-0.00034559+0.00044532i,-0.0004342-0.00011341i
-0.00058863+5.6014e-05i,-0.00063479-0.00012306i,0.00023139+0.00061603i,0.0009052+0.0013498i,0.00089136+0.00034491i,0.0011099-0.00021848i,0.00092459+0.0003405i,0.00046108+0.00023514i,0.0003946-4.8984e-05i,6.0417e-05-0.00090845i,-0.0006528-0.0014097i,-0.0013352-0.00079734i,-0.001466-0.00024181i,-0.00082019+0.00014343i,-0.00055294+0.00049639i,-0.0011745+0.00059485i,-0.0014046+0.00094794i,-0.0009658+0.0010516i,-0.00040355+0.00088281i,0.00023515-7.5021e-05i,-0.00037016-0.00068906i,-0.00030422+0.00030099i,0.00049859+0.00031502i
0.00086653+4.5162e-05i,0.0014672+0.00022471i,0.0012595-1.7151e-05i,0.0012591+0.00019784i,0.0017637+0.00022188i,0.0016292+0.00016918i,0.0010612-0.00023106i,0.00074558-0.00063567i,0.0001432-0.00098615i,-0.00097015-0.0015079i,-0.00088697-0.0016289i,-0.00012622-0.0011638i,0.00027971+0.00023191i,0.00012054+0.00013064i,-0.00013342-0.00066251i,-0.00091474+0.00014795i,-0.0017647+4.4546e-06i,-0.0016379-0.00062245i,-0.0012988-0.00063047i,-0.0010985-0.00036926i,-0.00072427-4.1595e-05i,-0.00051349-0.00047339i,-0.00037862-0.00087716i
0.00038213+0.0010886i,0.00030469+0.0015665i,0.0012782+0.002187i,0.0024632+0.0022443i,0.0017747+0.00098457i,-9.3116e-05-3.5126e-05i,-0.00028037+0.0004695i,-0.00011973+0.00056597i,4.2822e-05+0.0002309i,-0.00021354+2.5998e-05i,-0.00067317-7.3096e-05i,-0.00026925+0.00029609i,0.00064661-0.00021592i,0.00078317-0.00019338i,0.00033872+0.0001433i,-0.00028119+0.00013769i,-0.00049015+0.00061713i,-0.00025778+0.00062777i,-0.00018742+0.00030611i,0.00039477+0.00057162i,0.00019412+0.00077201i,0.00050174+0.0005752i,0.00087389+0.00062568i
0.0017167+0.00033165i,0.0013796+6.925e-06i,0.0024307+7.6434e-05i,0.0027016+1.9639e-05i,0.0020406+1.1778e-05i,0.00062197+2.3812e-05i,0.00029672+2.5956e-06i,0.00092814+0.0002344i,0.00046651-0.0001948i,-0.00075591-0.00062167i,-0.00045166-0.00024536i,0.00015771+0.00059295i,0.00011346+0.0011357i,-0.00033883+0.0010786i,-0.0004153+0.00092672i,9.3917e-05+0.00037964i,0.00034824+0.00034209i,0.0009488+0.00011365i,0.0012758-0.00057087i,0.00093566-0.00036394i,0.00027602-0.00025677i,-0.00013399-0.00042807i,8.8669e-05-7.2893e-05i
-0.00015772+0.00068771i,3.4834e-05+0.0016838i,0.0012911+0.0020387i,0.0020524+0.0013668i,0.0015282-0.00017156i,0.00049423-0.0011007i,0.00038836-0.00048165i,0.00051814+6.5796e-05i,0.00032551-0.00042463i,-8.5969e-05-0.00087452i,5.813e-05-0.00028487i,0.0001904+0.0004937i,0.00021115+0.00066289i,-0.00038757+0.0002956i,-0.00027895-0.00021775i,0.00017487+9.4815e-05i,0.00053949+0.0006408i,0.0010577+0.00026915i,0.00064768-5.9518e-05i,-0.00025315-0.00011976i,-0.00047068-0.00050032i,-0.00024273+0.00025409i,0.00025219+0.00065103i
0.00050917+0.0016252i,0.00017881+0.0014916i,0.00072871+0.00098224i,0.00066101+0.00042332i,5.8461e-05+0.0003082i,-0.00021483-4.1668e-06i,0.00012677+4.5853e-05i,0.0010656+0.0001839i,0.0012143-0.00020607i,0.00041547-0.00016534i,-0.00038277-0.00045154i,-0.00026756-0.00044462i,4.2278e-05+8.9679e-05i,-0.00017218-6.0664e-05i,0.00015484+0.00048649i,0.00014316+0.00040776i,0.00020658-0.00055024i,0.00048184-0.00052664i,2.7041e-05-0.00065984i,-0.00010599-0.00075503i,-0.00027887-0.00050478i,-9.1304e-06-0.00045i,0.00073281-0.00026272i
0.00088561+0.00069299i,0.0026851-3.2511e-05i,0.0028958-0.00053685i,0.0026455-0.00018934i,0.0020221-0.00014218i,0.00051448+0.00014677i,0.00021999+0.00099273i,0.00093937+0.00077927i,0.0011998-0.00031698i,0.0003919-0.0004062i,-3.3238e-07-0.00035806i,-0.00016048-0.00063342i,-0.00069861-0.00046131i,-0.00063334+4.3545e-05i,-7.4158e-05+0.00056222i,9.0513e-05+0.0006511i,-0.00032375+0.000548i,-0.0011199+0.0010948i,-0.0010877+0.0001912i,-0.00070614-0.00051259i,-0.00046439+0.00022351i,-0.00017916+0.0002641i,-0.0003551-0.00010312i
0.0010451+0.0014369i,0.0010033+0.0033492i,0.0021+0.0042812i,0.003486+0.0028517i,0.0019022+0.00090952i,0.00061757+0.00049006i,0.00070404+0.00034431i,0.00070004-0.0003589i,0.0010016-0.00063361i,0.00058416-2.4841e-05i,0.00017577+9.3225e-05i,-0.00012827-0.00046051i,-0.00069368-0.00066698i,-0.00047712-0.0006416i,-0.00028486+0.00019476i,-0.00028158+0.0011508i,-0.00053653+0.00091766i,-0.00077128+0.00027061i,-1.2015e-06-0.00029167i,-3.019e-05-0.00019697i,-0.00063684-0.00032538i,-0.00085903-0.00048559i,-0.00056012-2.9102e-05i
-0.0015329-0.0019623i,-0.0022076-0.0010815i,-0.0015439+0.00029382i,-0.00053673+0.00096327i,0.00050265-0.00015661i,0.00032761-0.00037963i,-0.00029436+0.00026433i,-0.00045988+0.00012222i,-0.0005383-0.00039142i,-0.00050352-0.00054329i,-0.00019618-0.00038214i,-4.5306e-05+0.00050871i,-6.2243e-05+0.00057747i,-9.6453e-05-0.00052538i,-0.00015803-0.00074909i,-0.00046509-0.00030766i,-0.00061473+0.00043288i,-0.00044952+0.00069687i,0.00023534-0.00010609i,0.00074778-0.00030181i,0.00037217-8.959e-07i,0.00019558+3.6547e-05i,-0.00077515-0.00057027i
1.6343e-05-0.00053731i,-0.00093924-0.00040167i,-0.00022225+0.00021559i,0.00061484+0.00091544i,0.00018041+0.0012755i,-0.00043368+0.0011975i,-0.00059297+0.00097934i,-0.00073478+6.9091e-05i,-0.00049675-0.00013907i,-0.00039269+7.241e-05i,-0.00081174-0.00061855i,7.4421e-05-0.0011642i,0.00057692-0.0012893i,-7.0861e-05-0.00077194i,3.6362e-05-5.8202e-05i,0.00078887-0.00018664i,0.00033616-0.00042415i,2.4416e-05+7.773e-07i,0.00078831+0.00022437i,0.0010952-6.9073e-05i,0.00072335-0.00038651i,0.0002313-6.4271e-05i,4.0621e-05-0.00028738i
0.00073199-0.00026339i,0.00045828-0.002442i,0.00068613-0.0019145i,0.00093138-0.00042996i,0.00055383-0.00028036i,0.00010449-0.00098641i,0.0003211-0.0010732i,0.00072633-0.00051498i,0.00063008-6.1405e-05i,-0.00016994+0.00011475i,-0.00042316+6.6575e-05i,-0.00086067+0.0004774i,-0.0014502+0.00044205i,-0.0010942-0.00018921i,-0.00056407-0.00037909i,-0.00038218-8.2247e-05i,-0.00071559+4.2348e-05i,-0.00052409-0.00040914i,0.00012741-0.00058975i,-4.2997e-05+0.00046489i,-0.0003186+0.0012367i,-0.00010573+0.00095508i,0.00010166+0.00017919i
-0.00053667-0.0016372i,-0.00074591+0.00065085i,-0.00083626+0.0017826i,-0.0004795+0.0019993i,-0.00087289+0.0021191i,-0.00081801+0.0018139i,-0.00060228+0.0010727i,-0.00023081+0.0004101i,0.00012224-0.00025409i,-0.0001574-0.00017224i,-0.00013665+0.00034425i,0.00012115+7.3564e-05i,9.2813e-05-0.00065766i,-0.00033147-0.00070374i,-0.00012327+0.00029456i,0.00043402+0.00024191i,-0.00017271-0.00033572i,-0.00044678-0.00038301i,-0.00040753-0.00072147i,-0.00028461-0.00074005i,-1.3261e-05-0.00088402i,-0.00042993-0.0008536i,-0.00035003-0.00033693i
3.9063e-06-0.00087963i,-0.0012264+0.00070156i,-0.0017524+0.00094429i,-0.00071246+0.00085668i,-0.00073617+0.00065583i,-0.00092833+0.00030442i,0.00031619-9.484e-05i,0.00069212-0.0010931i,0.00024551-0.0015647i,-9.6476e-05-0.0014484i,-0.0005415-0.00086243i,-0.00016739-0.00038936i,0.001141-0.00068274i,0.0016522+6.2331e-06i,0.0012928+0.00010827i,0.0010652-0.00035453i,0.00017935+0.00012442i,-0.00018422+0.0004182i,0.0001209+0.00041822i,4.6283e-05+0.00070839i,-0.00053326+9.2264e-05i,-0.00053128-9.3922e-05i,0.00037402-0.00011467i
0.0013237+0.0020841i,0.0012235+0.002356i,0.002126+0.0020126i,0.0029961+0.0016646i,0.0026317+0.0011714i,0.0010411+0.00049555i,5.1891e-05+0.00061905i,0.00019351+0.0011504i,0.00021459+0.00066779i,-0.0003541+5.114e-05i,-0.00044986-0.0004505i,-0.00084311-0.0004629i,-0.0011664-0.00032093i,-0.00097413-0.00072087i,-0.00044714-0.00062126i,-0.00049385-0.00012061i,-0.00077778+0.00060464i,-0.00059064+0.00086884i,-0.00068068+0.00082211i,-0.00057685+0.000987i,-6.6313e-05-0.00020327i,-0.00038808-0.00074767i,-0.00053679-0.00027538i
0.0019607+0.00033866i,0.0021867-0.00024275i,0.0035075+9.8518e-05i,0.0035624+0.00053443i,0.0016603-8.0157e-05i,-0.00089946-0.00024216i,-0.0012963+0.00025341i,-3.3612e-05+0.00044813i,-8.6007e-05+0.00024162i,-0.00089754-0.00057781i,-0.00098291-0.00031513i,-0.00075089+0.00049265i,-0.00070719+0.00013548i,-0.00039043+6.2479e-05i,9.5249e-05+0.00087007i,0.00022316+0.00089177i,0.00071288+0.00079092i,0.0010291+0.00092917i,0.0010555+0.00077155i,-0.00014218+0.000343i,-0.0010602-4.8147e-05i,-0.00030496-0.00042353i,-0.00013383-0.00077063i
-0.0012869+0.0007244i,-0.00061589+0.00097723i,0.00045834+0.0024702i,0.0005871+0.0016724i,0.00028046+7.1647e-05i,-0.00017713+7.9715e-05i,0.000165-0.00017245i,0.00043354-0.00055196i,-0.0002147-0.0002627i,-0.00068894+6.5419e-05i,-0.00031946-0.0005066i,0.00045873-0.0015291i,0.00065124-0.0012963i,-2.3453e-05-0.0001961i,-0.00098952+0.00033276i,-0.0013729+0.00067601i,-0.00094562+0.00078439i,0.0001941-5.7463e-05i,0.0011304-0.00030638i,0.0010998+5.8569e-05i,0.00029272-0.00079404i,-0.00035479-0.00152i,-0.00082336-0.0014089i
0.0020138-0.0011974i,0.0019602-0.00013687i,0.00064114-0.0012821i,-0.00016032-0.0019207i,-0.00054271-0.00027447i,-0.00048765+0.00089396i,3.2205e-05+0.00065707i,0.00071916-5.5328e-05i,0.0013419-0.00086557i,0.0010232-0.001363i,0.00020197-0.0016226i,-0.00060262-0.00025945i,-0.00026325+0.0010931i,0.0010371+0.00056709i,0.0011915-0.00061421i,0.00050679-0.00097295i,-0.00046134-0.00053563i,-0.00099363+0.00011023i,-0.00078528-0.00010286i,-0.00091704-0.00075092i,-0.00083584-0.00085039i,-0.00055144-0.00036303i,-0.00055545-0.00018576i
0.0011542+0.0010411i,0.00087453+0.00046097i,0.0017215+0.00034556i,0.0021518+0.00066186i,0.00064478+0.0011353i,-0.00075861+0.0012542i,-0.00040634+0.00065775i,0.0004892-0.00031632i,0.001289-0.00066184i,0.00097358-0.00060056i,-0.00023722-0.0012785i,-0.00034239-0.0012307i,-0.00014694-0.0008547i,-0.00022273-0.00062213i,-0.00051821-0.00034124i,-0.0009871-0.00050338i,-0.00076382-0.00020282i,-0.00087446+0.00020547i,-0.0014457-0.00013568i,-0.00099271-0.0011121i,0.00021973-0.0010786i,0.00088973-0.00035988i,0.00043977-0.00051309i
0.00078345-0.00039727i,0.001053+0.00010771i,0.0010796+0.0012091i,0.00049683+0.0017105i,0.00067171+0.0010744i,5.33e-05+0.00076488i,-0.0007995+0.00010288i,-0.00087133-0.00016159i,-0.00027288-0.00074195i,0.00016841-0.0013326i,0.0002781-0.0011471i,-0.00032836-0.00095047i,-0.0010318-0.00050528i,-0.00096333+0.0001627i,-0.00016363-4.4352e-05i,0.00047385-0.00047561i,9.5067e-05-0.00021817i,-0.00022714+0.00010358i,-0.0004157-0.0002232i,-0.00045877-0.0003853i,8.0433e-05-0.00068205i,0.00036415-0.00062907i,-0.0001043-0.00034187i
-0.0016705-0.0016195i,-0.0020512+0.00044686i,-0.0021494+0.0020899i,-0.00061739+0.0030564i,0.00061184+0.0026294i,0.00045779+0.002187i,0.00038728+0.0017887i,-8.118e-06+3.1642e-05i,-0.00056203-0.00097904i,-0.00038471-0.00077809i,-0.00031615-0.00090023i,-0.00027158-0.00082839i,0.00025749-0.00073119i,0.00073212-0.0005205i,0.00077187-0.00044317i,0.0003393-0.00059046i,0.00038109-0.00064749i,0.00022546-4.6151e-06i,-0.0007736+0.0008766i,-0.00060209+0.0013221i,-0.0001031+0.00051041i,0.00010981-0.00040575i,2.2792e-05-0.00091739i
0.00050067-0.0014463i,-0.00040268-0.00034694i,-0.0011402+0.00014621i,-0.00029482-8.9772e-05i,0.00031058-0.00022696i,0.00011133+0.00050806i,0.00074791+0.0011048i,0.00078699+0.0015908i,0.00059609+0.00093382i,-0.00026163-0.00054593i,-0.0010884-0.0011412i,-0.00070837-1.3162e-05i,4.6385e-05+0.00090205i,0.0006628+0.00032597i,0.0004429-0.00042606i,-0.00042676-0.00056317i,-0.00022971-0.00010514i,0.00048102+0.00038224i,0.00029099-0.00014311i,-0.00039874-0.00061068i,-0.00047971-0.00028266i,-0.00064323+6.3306e-05i,-0.00052575+4.4023e-05i
0.00027467-0.0015232i,-2.1965e-05-0.0004121i,-0.00029709+0.00071193i,-0.00056708+0.00042352i,-0.00080448-0.00015927i,-0.00061733+7.2588e-05i,-0.00041557+0.00062244i,1.4827e-05+0.00062157i,3.3082e-05+0.00042583i,-0.00027592+0.00036723i,-0.0003007+0.00059241i,0.00046562+0.00013666i,0.0012807-0.0007452i,0.00084775-0.00093635i,-0.00070088-0.00012715i,-0.00083943+0.00029182i,0.00066599+0.00060212i,0.00042467+0.00039816i,0.00033915-0.00042429i,0.00059578-0.00090657i,0.00018335-0.00047544i,-1.8353e-05+0.00036885i,4.1783e-05+0.0001388i
-7.016e-05-0.0005944i,0.0010901+0.00017975i,0.0018913+0.0016898i,0.0016601+0.0026624i,0.00097257+0.0024541i,0.00078584+0.00074943i,0.00073261-0.00043732i,0.0001037-0.00032224i,-0.0003674-0.0010293i,0.00010174-0.0012661i,0.00048833-0.00089921i,0.00099059-0.00099315i,0.0013789-0.00084752i,0.0010943-0.00019808i,1.6449e-05-0.00017494i,-0.00043865+8.4201e-05i,-0.00010786+0.00072542i,5.1621e-05+7.5739e-05i,-6.6671e-05-0.00042149i,4.1243e-05-0.00011711i,0.00028286-2.7197e-05i,0.00054281-0.00022528i,-0.0009153+3.9981e-05i
-3.9494e-06-0.0008526i,-0.00096596+0.0011362i,-0.0012695+0.003186i,-0.00022143+0.0034089i,-0.0002045+0.0015268i,-0.00016974+0.00082601i,0.00096624+0.00088924i,0.0013483-0.00075771i,0.00060549-0.002035i,-0.00030832-0.001443i,-0.00075041-0.0011267i,-0.00011659-0.0010652i,0.00070765-0.00027606i,0.00062697+0.00024596i,0.00058454+0.00016717i,0.00098772-0.0001873i,0.0011724-0.00010211i,0.00032084+0.00081986i,8.4873e-05+0.0010436i,0.00012014+0.00072579i,-0.00024991+0.00039582i,-7.8339e-05+0.00048703i,0.00010355-9.238e-05i
0.00068553-0.0028846i,0.00013682-0.0034963i,0.00015525-0.0024233i,0.00086462-0.0013929i,0.00047104-0.0015269i,4.5207e-05-0.0010273i,0.00040842-0.00031712i,0.00042711-9.8435e-05i,0.00023882-0.0013084i,-0.000123-0.0024278i,-0.00067858-0.0019444i,-0.00078377-0.00084444i,-9.0721e-05-0.00052098i,0.00059416-0.00069721i,0.0010126+6.8046e-05i,0.00045877+0.00094955i,-9.2449e-05+0.0011397i,-6.7782e-05+0.0010345i,0.00012249+0.00081901i,0.00051358+0.00044778i,0.00090045+0.00048844i,0.00059659+0.0006161i,7.2946e-05+0.00051362i
0.00032637+0.0011853i,-0.00015042+0.0012814i,0.00058789+0.00092897i,0.0019745+0.000364i,0.0013347+0.00045237i,-0.00022567+0.00067521i,-0.000759+0.0010741i,-0.00020078+0.0011886i,0.00017698+0.00025182i,-0.00029504-0.00048418i,-0.0007194-1.8104e-05i,-0.00024638+0.00034004i,0.00020127+0.0004431i,-0.00043628+0.00012496i,-0.00029904-4.7675e-05i,-9.2102e-05+4.6325e-05i,-0.00023875-0.0009413i,0.0005694-0.0012749i,0.0011839-0.00051911i,0.00065421+0.0001133i,8.9472e-05+0.00047935i,-0.00053659+0.00038038i,-0.00027501-0.00012055i
0.00059481+0.00084794i,0.00035488+0.0013776i,0.00058461+0.0016882i,0.0005205+0.0020078i,-0.00061226+0.001395i,-0.00095062+0.00031168i,-0.00023696-0.0003157i,0.00050221-0.0015001i,0.0010628-0.001477i,0.00098837-0.00065998i,-0.00049643-0.00035092i,-0.00054313-0.00014576i,0.00069092+3.6192e-05i,0.00077294+0.00036085i,-0.00017945+0.00055542i,-0.001383-0.00040058i,-0.0016948-0.001487i,-0.0015714-0.0015697i,-0.0014205-0.0014812i,-0.00078366-0.00161i,-4.9649e-05-0.00095668i,0.00016249+0.00016973i,2.9075e-05+0.00065125i
-0.0004909+0.0010057i,0.00077739+0.0028019i,0.0024894+0.0043385i,0.0034296+0.0038227i,0.0033871+0.0020553i,0.002221+0.00027517i,0.00061419+0.0003971i,7.5606e-06+0.00086028i,0.0005168+0.00015114i,0.0007898-0.00095321i,0.00037812-0.0012037i,0.00031011-0.0007203i,1.932e-05-0.00027261i,-0.00088501-0.0003553i,-0.0013446-0.00028896i,-0.0018226+7.1129e-05i,-0.0019191-0.00032861i,-0.0011054-0.00067108i,0.00043007-0.00081992i,0.00036766-0.00012405i,-7.4552e-05+0.00063636i,-0.00017002+0.00051261i,-0.00091082+0.00014584i
-0.00092617-0.00031381i,-0.00068961+0.00071818i,-0.00027757+0.0012726i,0.00074893+0.0015849i,0.0012963+0.0016292i,0.0013332+0.001362i,0.0014449+0.0011439i,0.0012011+1.4627e-05i,0.00025904-0.0010813i,7.8815e-05-0.00091724i,0.00036354-0.00042042i,0.00012393+0.000291i,0.00055274+7.9635e-05i,0.0011819-0.00032412i,0.00074794-0.00035329i,-0.00012281-0.00053322i,-0.00031709-0.00020077i,-0.00040325+0.00011094i,-0.00075373+0.0004768i,-0.001067+0.00012001i,-0.00068668-0.00044253i,-0.00023495-0.00031297i,-0.00048473-6.6302e-05i
-0.0015713+0.0045037i,-0.00032138+0.0047705i,0.00078322+0.0056884i,0.002733+0.0046361i,0.0039184+0.0014406i,0.0033703-0.0014275i,0.0024165-0.0007217i,0.00095495-6.3887e-05i,-0.00013056-0.00036978i,-0.00051958-0.00071962i,-0.00041459-0.0011792i,8.3876e-05-0.0010073i,-0.00025345-0.0011748i,-0.00064409-0.0014279i,-0.00049177-0.00068508i,-0.00014774-9.175e-05i,0.00072952+0.00028814i,0.00089176+0.00069839i,0.00040349+0.00063053i,0.00011121-0.00046471i,7.2656e-05-8.8594e-05i,0.00023395+0.00028419i,2.411e-05-0.00068308i
-0.0019021+0.0015663i,-0.0011176+0.0016836i,0.00013419+0.0022158i,0.0016515+0.0027097i,0.0021749+0.0019276i,0.0014221+0.0011386i,0.00071318+0.0010541i,0.00042413+0.00034509i,0.00044547-0.00058515i,0.00026573-0.00042026i,0.00034947+0.00017043i,0.00033813+0.00040259i,0.00016505+0.0002264i,0.00011678-0.00098726i,0.00039389-0.0016614i,0.00087965-0.00067903i,0.0010576-0.0005648i,0.0015186-0.0010421i,0.00091479-0.00093965i,0.00072791-0.00042187i,0.00076759-0.00022893i,9.8893e-05-0.00062226i,-0.00035945-0.0005832i
-0.00010223-0.00032508i,0.0011534-3.5996e-05i,0.0023617+0.00029778i,0.0020668+0.0011196i,0.00069778+0.00084607i,9.4704e-05+0.00018536i,6.6491e-05+0.00013666i,-0.00020293-0.00038804i,-0.00044558-0.0011302i,-0.00083899-0.0015312i,-0.00081769-0.0010329i,-0.00042246-0.00071118i,-0.00028149-0.00091522i,0.00044935-0.00043066i,0.00097639+0.00047777i,0.00032501-0.00041862i,-0.00047065-0.001558i,-0.00012892-0.0011085i,0.00062366-0.00044485i,-4.1593e-06-0.0002096i,-0.00047381-0.00067779i,0.00027643-0.0010871i,0.00082029-0.0009159i
-0.0034656-0.00021998i,-0.0038154+0.0014366i,-0.0026628+0.0033093i,-0.00058548+0.0029193i,8.2441e-05+0.00091586i,0.00095909-0.00038923i,0.0017939+0.00035129i,0.0012716+0.00046363i,0.00066582-0.00075168i,-0.00017701-0.00099362i,1.1551e-05-0.00010356i,0.00078154+0.00039875i,0.00081642-0.00037183i,0.00021195-0.0010355i,-0.00064711-0.00078657i,-0.00044092-0.00060816i,-0.00036131-0.00094006i,-0.00071179-0.00055367i,-0.00076424+0.00036398i,-0.0006406+0.00023062i,-9.742e-05-0.00040071i,-5.6337e-05-0.000167i,-0.00053054-0.0005154i
0.00066763+0.0017718i,0.00089037+0.0010644i,0.0016407+0.0011383i,0.0023977+0.001586i,0.0025354+0.0013744i,0.00071379+0.0008017i,-8.7554e-05+0.00053388i,0.00096037+0.00013083i,0.0014193-0.00035304i,0.00074091-0.00084571i,-0.0002518-0.0012487i,-0.00031636-0.00091569i,-6.1171e-05-0.00062937i,0.00022774-0.00033393i,4.1658e-05+0.00017102i,-0.0006083+0.00068906i,-0.00047085+0.0012158i,-0.00018333+0.0016196i,-0.00033472+0.0011738i,-0.00039139+0.00061129i,-0.00021227+0.00021385i,0.00022682+0.00034744i,0.00063555+0.00089464i
0.00063442+0.0011055i,0.0016923+0.001872i,0.00324+0.0018775i,0.0044289+0.001983i,0.0031562+0.0012678i,0.00098314+0.00022623i,0.00017429-0.00035462i,0.0003945-0.00028365i,-0.00010544-0.00037926i,-0.00082148-0.00022729i,-0.00123-5.5758e-05i,-0.0010847+0.00045071i,-0.00024296+0.00030287i,8.2372e-05-0.00087671i,5.8162e-05-0.00021507i,8.7637e-06+0.0011625i,0.00036887+0.0016415i,0.0007724+0.001424i,0.00038017+0.00074611i,-0.00010755-0.00012805i,2.8182e-06-0.00065468i,0.00015289-0.0010554i,0.00036485-0.0010172i
-0.00013304+0.003757i,0.00034021+0.0033404i,0.00085035+0.0035608i,0.0024565+0.0020651i,0.0036782-0.00028463i,0.0027058-0.0012361i,0.0014903-0.0012184i,0.001054-0.0008977i,0.0014935-0.0004326i,0.0010188-0.00042831i,-1.3362e-05-0.00043214i,3.2072e-05-0.00013097i,-6.1358e-05-0.0001671i,-0.00014301-0.00067072i,-9.2761e-05-0.0010812i,0.00010405-0.00096143i,9.0334e-05-0.000598i,-0.00055253-0.0003493i,-0.00031643+0.00022626i,-2.6694e-05+0.00046899i,-0.00022697+0.00025491i,-0.00014916+0.00013294i,0.00010911-0.00010407i
0.0002876+0.0012939i,-0.00017409+0.0010408i,0.001545+0.00070231i,0.0035492+0.00018874i,0.0032429-0.00075522i,0.0020379-0.00097556i,0.00092225+6.3721e-05i,0.00058384+0.00044843i,0.0007278-0.00036135i,0.0010759-1.7717e-05i,0.00052114-0.00015948i,0.0001705-0.00067001i,-0.00011284-0.00026992i,-0.00059332-6.9377e-05i,-0.00045576-0.00060999i,-0.00016771-0.0011824i,0.00030332-0.0014143i,0.00044455-0.0016731i,-0.00016438-0.0015769i,-0.0012119-0.00045586i,-0.0017887+0.00068403i,-0.00056718+0.00059914i,0.00043028-0.00016179i
0.0033508+0.0026225i,0.0038489+0.0018097i,0.0046963+0.00088167i,0.0044775-3.4165e-05i,0.0030245-0.0011718i,5.1001e-05-0.0021135i,-0.00016034-0.00096159i,0.0018729-0.00018245i,0.002212-0.0008558i,0.0016261-0.0011141i,0.0008597-0.0011711i,0.00056522-0.00095629i,-0.00032756-0.00032793i,-0.00094844-0.00058936i,-0.00015056-0.00078806i,-7.0644e-05+1.7625e-05i,-0.00059083+0.00019692i,-0.00047905-0.00040172i,9.7101e-05-0.00051316i,-8.6363e-05-0.00018509i,-0.00070968+8.3155e-05i,-0.0012565-0.00029321i,-0.0010636-0.00057487i
