-0.0022109-0.00042748i,-0.0016309-0.0012709i,-0.0023246-0.0010195i,-0.0039999+0.00014577i,-0.0045547+0.00097845i,-0.0025182+0.0013084i,-1.1808e-05+0.0012143i,0.00083115+0.0014786i,0.0010295+0.0012677i,0.0016144+0.000788i,0.0011935+0.00053079i,0.00017079+0.00027307i,-0.00034595+7.9185e-05i,-0.0010079-0.00061638i,-0.0006544-0.0013252i,3.1503e-05-0.00085941i,8.9212e-05-0.00030058i,-0.00032323-0.0002334i,-0.0017428+0.00012131i,-0.0016519+0.00022813i,-0.00013335-4.6942e-06i,0.00065306-0.00020628i,0.00037928-0.00043868i
0.00093399-0.001155i,-0.00014416-0.0012756i,-0.00056847-0.0025749i,-0.0014227-0.0026371i,-0.002764-0.0014659i,-0.0022179-0.00056148i,-0.0005715-0.00055247i,-1.2903e-05-0.00040064i,-0.00020592+7.8871e-05i,-0.00035728+0.00063507i,-0.00011729+0.00035927i,0.00040429+0.00029583i,-0.00020628+0.00048391i,-0.00052474-0.00036113i,5.0088e-05-0.0009i,5.9045e-06-0.00061447i,-0.00017495+6.7805e-05i,0.00083489-0.00039009i,0.0012242-0.00086368i,0.00030591-2.4078e-05i,-0.00020774+0.0005489i,-7.1437e-05+0.00033045i,0.00018753+0.0002328i
0.0022597-0.0021495i,0.001788-0.0031788i,0.0012454-0.0040387i,-7.1938e-05-0.0033979i,-0.0019822-0.0016791i,-0.0021569-0.00079638i,-0.00039535-0.00044487i,0.00060221+0.00024112i,0.00024975+0.00074165i,-0.0011662+0.00032135i,-0.0018765-0.00019291i,-0.0019928+0.00018917i,-0.001298+0.00065534i,-0.00087408+0.00037975i,-0.00081374+0.00030559i,-0.0011542+0.00032248i,-0.0011486-0.00022371i,7.1553e-05-2.7982e-05i,0.00048998+0.00016486i,0.00018184-0.00029563i,-0.000455-0.00042886i,-0.00045954-0.0002751i,0.00033844+0.00010354i
0.0015536-0.00059999i,0.001674-0.00071047i,0.00022836-0.0011432i,-0.0011646-0.001539i,-0.0012221-0.00066779i,-0.00046296-0.00044933i,0.00029632-0.00059086i,0.00097754-0.00015853i,0.0014939+0.00010942i,0.0010614+0.00024197i,0.00030958+0.00028791i,0.00020656+0.00076868i,-1.474e-06+0.00052107i,-6.1667e-05+0.00074856i,0.0001089+0.0018239i,0.00040973+0.0014714i,0.00035525+0.00024904i,-0.00010547+0.00039231i,-0.00023565+0.0011323i,-0.00029339+0.00083776i,-0.00015127+0.00011156i,-2.4033e-05-0.00039246i,-0.00017136-0.00028403i
0.00062581+0.00072413i,0.00071952+0.0012436i,0.00024653+0.0012655i,0.00025494+0.0002192i,0.0006095+2.2333e-05i,0.00082097+0.00050087i,0.00043941-5.115e-05i,0.00079651-0.00065934i,0.0014113-0.0012985i,8.5233e-05-0.00172i,-0.00086609-0.00080564i,-6.986e-05+7.6407e-05i,0.0010301+0.00088391i,0.0011921+0.00062582i,0.00050763-0.00088455i,0.00010212-0.00082236i,0.00013461-0.00046744i,-0.00028514-0.00065637i,-0.00060053+1.7538e-05i,-0.00064443+0.00044631i,0.00024243+0.00039888i,5.7114e-05+0.00030919i,-0.00025494+0.00042998i
-0.0020108+0.00097117i,-0.0019688+0.0017592i,-0.0022876+0.0024153i,-0.0025774+0.0024341i,-0.0018592+0.0013786i,-0.00043803+0.00070597i,0.00038082+6.6573e-05i,0.0012406-0.00063841i,0.0017765-0.00080421i,0.0013621-0.00015394i,0.0012076+6.3471e-05i,0.0012741-0.00060552i,0.00058831-0.00078259i,5.0479e-05-0.00025511i,-5.3612e-06-8.8857e-07i,-8.6079e-05-0.00032763i,9.9231e-05-0.00036434i,-0.00025246-0.0001007i,-0.00083106-0.00012349i,0.00023414+0.00027243i,0.00099985+0.00059439i,0.0009165+0.00032726i,0.001098-4.2837e-05i
-0.00048893-0.00040461i,0.0010568-0.00056815i,0.00055584+0.00022455i,-8.7354e-05+0.000297i,0.00072463+8.3536e-05i,0.0014451-7.1082e-05i,0.0014397+7.0669e-05i,0.0010613+0.00048824i,0.0008621+0.00071771i,0.00069661+0.00025979i,0.00038045-0.00022896i,-6.5949e-05-0.00026883i,-0.00087096+0.00014338i,-0.0011807+0.00064287i,-0.00045954+0.00022276i,-0.00037981-0.00065027i,-0.00045159-0.00085568i,-0.00030543+0.00024161i,0.00016418+0.00055221i,0.0008058+2.8407e-05i,0.0011042-0.00087311i,0.0016868-0.0012636i,0.0013613-0.00039059i
0.0012763+0.0006978i,0.00053061+0.00080452i,-1.3091e-05-0.00047804i,-0.00093662-0.00079057i,-0.0011332-0.00056595i,0.00024069-0.0002129i,0.00082568-0.00019096i,0.00055853-0.00043572i,0.00046054-0.00039157i,0.00047712-0.0011415i,0.0010589-0.001438i,0.00095141-0.0011313i,0.0003747-0.0011429i,-0.00021118-0.00064578i,-0.00053764-0.0002555i,9.0784e-05-7.4854e-05i,0.00054998-0.00015229i,0.00029136-0.00044284i,-0.00017574-0.00066495i,-0.0003052-0.00039622i,-0.00027753-0.00048568i,1.2342e-05-0.00046355i,0.0005986-0.00056301i
-2.1073e-05+0.00026958i,-0.00017965-3.9713e-05i,-0.00030132+0.00027876i,-0.00035054-0.00014515i,-0.0002372+0.00033998i,-0.00078699+0.00094343i,-0.00042787+7.593e-07i,0.00050326-0.00040034i,0.00057829-0.00012375i,0.00037125-0.00017055i,0.00041945+0.00028427i,0.00019036+0.00024791i,-0.00016398+0.00030366i,-5.0373e-05-3.6929e-05i,4.305e-05-0.00072302i,-1.7813e-05-0.00039741i,-0.00031416-0.00076631i,-0.00054899-0.00039137i,-0.00085841+0.00082234i,-0.00083035+0.00077489i,-0.00014355+3.8531e-05i,0.00036232-0.00033037i,0.00045891+1.4484e-06i
-6.902e-05+0.00030343i,-0.00046676+0.00071608i,-0.0005586+0.0014691i,-0.00015594+0.0013466i,0.0011393+0.00038468i,0.00090363-0.00077425i,-2.0576e-05-0.00046483i,3.2315e-05+0.00076171i,0.0002555+0.00088859i,0.00049887+0.0002901i,0.0004229-0.00037224i,-2.6075e-05-0.0010566i,0.00011715-0.00077471i,-0.00010749-0.00040648i,-0.00032341-0.00032491i,9.813e-05+0.0001554i,9.8482e-05+0.0004088i,-0.00060419+2.7845e-05i,-0.001187-9.8613e-05i,-0.00084522+0.0002753i,4.1383e-05+0.00037331i,-2.4377e-05+0.00025163i,-0.00031987-4.1239e-05i
0.0011584+0.00031526i,0.0012096-0.00015033i,0.00035223-0.00042287i,-0.00064717-0.001163i,-0.0015317-0.00079869i,-0.0019773-0.00037771i,-0.0013122-0.0002318i,-0.00051837+0.00025728i,-8.0252e-05+0.00075362i,3.9362e-05+0.00044182i,0.0001736-0.00031621i,0.00022727-0.0002565i,-0.00025544+4.5038e-05i,-0.00052128+0.00034083i,-6.4771e-05+0.00035979i,8.9619e-05-8.7389e-05i,-0.00034117+0.00040443i,-0.00086807+0.00092393i,-0.0010846+0.00079665i,-0.00080973+0.00020614i,-0.0007594-0.00040706i,-0.00010021-0.00029541i,0.000252-5.1436e-05i
