-0.0037329+0.00014124i,-0.0025951-3.0902e-05i,-0.003018+0.00064528i,-0.002763+0.0012532i,-0.0014229+0.0025366i,-0.00030908+0.0030649i,0.0003123+0.002401i,8.6407e-05+0.0019914i,8.586e-05+0.0019178i,0.00050848+0.0017059i,0.00046379+0.00076491i,0.00065507-0.00063442i,0.00094529-0.0010173i,3.4946e-05-0.00058862i,-0.00059826-0.0006678i,0.00041495-0.00030689i,0.00090893-0.00054793i,0.00086298-0.00081722i,0.0010905-0.00045807i,0.00066313-0.00014812i,0.00019531+0.00057092i,-0.00010605+0.001278i,-1.5053e-05+0.0012155i
0.00032524+0.00075973i,0.0007041+0.0013539i,0.00042063+0.0012186i,0.00088059-0.00056672i,0.00074318-0.001506i,-2.5684e-05-0.0012155i,0.00029837-0.00084748i,0.00025174-0.00064937i,-0.00040056-0.00071153i,-0.00077613-0.00070092i,-0.00090465-0.00011412i,-0.00017803+0.00045773i,-0.0004151+0.00059544i,-0.0004813+0.00052724i,-5.9432e-05+0.00064431i,0.0002754+0.00099245i,0.00073178+0.00093886i,0.00022841+0.00048841i,-0.0006989-0.00048247i,-0.0011124-0.001119i,-0.00044602-0.00032466i,0.0003749+0.00020507i,0.00012626-9.349e-05i
-0.0018956-0.0011664i,-0.0025086-0.00019321i,-0.0033161+0.00077742i,-0.0029585+0.0011295i,-0.0020917+0.0012487i,-0.0017129+0.0015567i,-0.0014456+0.00043718i,-0.00017926-0.00033872i,-0.00041683+0.00048653i,-0.00051026+0.00095781i,0.00027187+0.00081027i,0.0001344+0.000792i,-0.00055126+0.00032305i,-0.00080911+2.6596e-05i,-0.00033966+0.00030782i,-0.00023441+0.00085006i,0.00010405+0.00087197i,3.2706e-05+0.00020782i,-0.00054783+0.00023995i,-0.0004098+7.602e-05i,0.00024669-0.00029755i,-0.00050533+0.00029417i,-0.0011409-0.00051828i
0.0012237+0.00065235i,0.00083226+0.00059559i,0.0012105+0.00099558i,0.00057825+0.00082795i,-3.8584e-05+0.00020158i,3.2521e-05+0.00036153i,-0.00023682+0.0004182i,5.6324e-05+5.7349e-05i,1.2079e-05-0.00011152i,0.00027006-0.00033896i,0.00042669-0.00096878i,-0.00027204-0.0013264i,-0.00060042-0.00089815i,-0.00050543-0.00053718i,-0.00013075+0.00039845i,-0.00040743+0.00078244i,-0.00056677+0.00022551i,-0.00085912-0.00029969i,-0.0013873-0.00043637i,-0.00099713+2.0091e-05i,-0.0004109-0.0001712i,-0.00019749-0.00020412i,-0.00034991-0.00055514i
-0.00069426+0.0014135i,-2.48e-05+0.0018113i,0.00061744+0.0018487i,-6.7231e-06+0.0010572i,0.00011806-0.00016867i,0.00079846-0.00051339i,0.0014004-7.1753e-05i,0.0016615-0.00015988i,0.00096197-0.000872i,0.0002173-0.00082521i,0.00036419-0.00060237i,0.0001993-0.00030871i,-0.00053415-0.00010142i,-0.00057902+0.00027837i,-0.00031758+0.00026623i,0.00023172+0.00070925i,0.0002821+0.0014565i,0.00023827+0.00062041i,-7.7372e-05-0.00049291i,0.00023019-0.00040539i,0.00043469-0.00031925i,0.00048099-0.00059562i,-0.00026387-0.00056856i
-0.0015785-0.00058288i,-0.0012357-0.00098201i,-0.0011302-0.0010862i,-0.00090869-5.8931e-05i,-0.0012357+0.00067222i,-0.0016797+0.00078732i,-0.0013127+0.00067045i,-0.0006307+2.1185e-05i,-0.0006529-0.0004532i,-0.00093388-0.00022211i,-0.0011617+0.00013088i,-0.0015094+5.2906e-05i,-0.0015902-0.00020307i,-0.0012161-6.1587e-05i,-0.00040734-1.689e-05i,2.4508e-05-0.00048446i,-2.6171e-05-0.00088858i,-0.00027668-0.00016859i,-0.0009715+0.00054047i,-0.0015218+0.00031999i,-0.00071036+3.4576e-05i,-0.0002251+0.00023461i,-0.0002335+0.00067808i
0.0023775+0.00062506i,0.0013725-0.00049765i,0.0010953-0.00041756i,0.00083129-0.00089127i,0.0002459-0.0012236i,-0.00017465-0.0012379i,-0.0005645-0.00088926i,-0.00018783-5.6136e-05i,0.00028107-0.00023437i,0.00084081-0.0005657i,0.00030597+3.5098e-05i,-0.00056303+9.2966e-05i,-0.00010546+0.00018436i,0.00055529+0.00023535i,0.0004266+0.00057221i,-0.00015437+0.00087248i,-0.00013922+0.00024632i,-0.00019372-2.6801e-05i,-0.00014473+0.00016326i,-0.00041493+9.9447e-05i,-0.0006717+1.8851e-05i,-0.00078977-0.00046099i,-0.00055109-0.00086866i
0.0004918-0.0020699i,0.00026111-0.0018354i,0.0012414-0.0021607i,0.0010502-0.0025939i,-0.00074608-0.0012283i,-0.0016078+0.00049428i,-0.0014165+0.00088167i,-0.00066839+0.0009352i,2.5218e-05+0.0006399i,6.8255e-05+0.0004673i,-0.0001856+0.00056081i,0.00011255+0.00029254i,-0.00050526+0.00027376i,-0.00051287+0.00024484i,0.00026997+0.00025252i,-0.00010192+0.00028963i,-0.00013535+0.00022622i,0.00042029+0.00046905i,2.3582e-05+0.00056541i,-0.00047777+0.00028589i,0.00040171-0.00033944i,9.6466e-05-0.00021172i,-0.00066662-0.00022259i
0.0032408+0.0004453i,0.002234+0.00032018i,0.0016733-0.00054408i,0.00093676-0.0013952i,0.00022416-0.0014897i,-0.00015681-0.00076157i,0.00013013-4.1601e-05i,0.00080487+0.00021432i,0.0013542+0.00017129i,0.0010983+0.00022626i,-0.00021662+8.6136e-05i,-0.00084496+6.8964e-05i,-0.00042002+0.00047008i,-0.00059127+0.00049763i,-0.00062767+0.00020474i,-0.00017452-0.00044235i,0.00013664-0.00083543i,0.0008403-0.00018892i,0.0016197+8.485e-05i,0.00099299-0.00020606i,-0.00064929+6.1406e-05i,-0.0012039-7.1153e-05i,-0.00048428-0.00068706i
-9.9809e-05-0.0014816i,4.8279e-08-0.0012509i,5.3602e-05-0.0020932i,2.7378e-06-0.0025325i,-0.00065472-0.0020166i,-0.00081116-0.00096935i,0.00015876-0.00018484i,0.00050546-0.00031596i,0.00074432-0.00022021i,0.00036857+8.0714e-05i,-0.00066218+0.00018594i,-0.0013367+0.00099447i,-0.00089168+0.0011732i,-8.5265e-05+0.00072786i,-0.00022387-5.3626e-05i,-0.00021888-0.00049657i,6.9712e-05-2.0145e-05i,0.00028136+3.0908e-05i,0.00054348+5.6966e-05i,0.00013147-0.00012159i,-0.00056591-0.00014743i,-0.00067761+0.00040876i,-0.0007429+0.00038054i
0.00067175-0.00039091i,0.00050264-0.0012352i,-0.00066149-0.0022087i,-0.0016955-0.0018746i,-0.0021685-0.00024801i,-0.0017779+0.00010053i,-9.5486e-05-0.00036449i,0.00088213-0.00022515i,0.00023997-0.00013944i,-0.00091674+6.2222e-05i,-0.0010439+0.00032776i,-0.00016984+0.00045236i,7.8332e-05-9.5664e-05i,0.00017329-0.00023964i,0.00023187+0.00030918i,0.00017401+0.0013015i,0.00014444+0.0014717i,0.00058778+3.7714e-05i,0.00073029-0.0010551i,0.00046747-0.0008352i,0.00035668+0.00015409i,-0.00019273+0.0005599i,-0.00030943-3.2429e-05i
