-0.0009081+0.00037143i,-0.0010293+0.00015889i,-0.0021813+0.00071698i,-0.0018784+0.0012943i,-0.00065191+0.0013827i,0.00012727+0.00072876i,-0.00070436+5.4571e-05i,-0.0022982-7.9544e-05i,-0.0024266-0.00062205i,-0.001394-0.00067687i,7.1873e-05-0.00012606i,0.00057195-0.00060393i,0.00011381-0.001317i,-0.000144-0.000643i,0.00021227-7.3668e-05i,0.00060112+9.1514e-05i,5.9053e-05-0.00059217i,-6.4466e-05-0.0010249i,0.00035976-0.00026515i,-7.8601e-05+0.00031018i,-0.00044627+0.00035029i,8.4479e-05+0.00033194i,0.0013236+0.00019273i
-0.00084783-8.2525e-05i,-0.0012952-0.00054963i,-0.00084617-0.00063747i,0.00057387+0.00029586i,0.0018781+0.00090852i,0.0019364-5.3931e-05i,0.00080684-0.0010529i,-0.00083887-0.0010999i,-0.0018446-0.0010913i,-0.0016096-0.00034558i,-0.0013257+0.00059123i,-0.0014073+0.00016531i,-0.00060711-0.00018366i,0.00021169+0.00060291i,1.7618e-06+0.00091581i,-0.00055102+0.00082772i,-0.00039489+0.00073582i,-0.00012155+0.00049293i,4.0905e-05-6.8101e-05i,0.00042428+0.0002862i,0.00056741+0.00086518i,0.00063515+0.0012526i,0.00097445+0.00102i
-0.00041963+0.001135i,7.5282e-05+0.0013372i,0.0011489+0.0015953i,0.0020502+0.0015144i,0.0020847+0.001088i,0.0019018+0.00074956i,0.00074005-0.00027109i,-0.0014352-0.0017076i,-0.0022357-0.0012406i,-0.0017211-0.00021965i,-0.0015376-0.00041521i,-0.0013643-0.00034359i,-0.00048198-2.2087e-05i,0.00063262+0.00050542i,0.00070543+0.00041089i,0.00064489-0.00025233i,0.00074536-0.00058025i,0.00035124-0.00018301i,2.0021e-05+0.0006378i,0.00020224+0.0003045i,-4.8838e-05+0.00024921i,0.00011242+0.00035592i,0.00046355+0.00011141i
-0.00055184-0.00011291i,-0.00086175-0.00057909i,-0.0017694-0.00043018i,-0.0012145+0.00087969i,0.00050079+0.0019559i,0.0011581+0.00050068i,0.00021154-0.0015434i,-0.0015863-0.0019356i,-0.0027466-0.0019229i,-0.0024096-0.00081079i,-0.0010096+0.00068106i,-0.00026173+0.0008465i,0.00065912+0.00054551i,0.0010834+0.00076198i,0.0011222+0.00047513i,0.0012703-0.00037724i,0.0011763-0.0001753i,0.00027297+4.2855e-07i,-0.00029159+0.00069486i,0.00049348+0.00079038i,0.00069317+7.669e-05i,-6.1329e-05+0.00033128i,-0.00051931+0.00083869i
0.0016251+0.00037367i,0.0004525+0.00037953i,7.7197e-05+0.00039422i,-0.00056168+0.00054702i,-0.00043691+0.00027035i,-0.0001605-0.00092488i,-0.00077337-0.001492i,-0.0011992-0.001122i,-0.0014549-0.00082356i,-0.0013658+0.00029926i,-0.00063723+0.0006934i,-0.00051257+0.00050877i,-0.00053999+0.00039288i,-0.00044427+0.00017393i,-7.8699e-05-5.5065e-05i,2.3519e-05+0.00048471i,0.00011618+0.00075367i,0.00037554+0.00038507i,7.279e-05+0.00016825i,-0.0004856+0.00069094i,-0.00025502+0.00060396i,-0.00028205+0.00031634i,-0.00050589+0.00037173i
0.00055821-0.0012619i,0.0020209-0.00025068i,0.001169+0.00033562i,0.00074988+0.0009509i,0.00053821+0.0015138i,5.688e-05+0.0014136i,-5.3723e-06+0.00059525i,-0.0011012+0.00023014i,-0.0020676+0.00049848i,-0.0015049+0.00076671i,-0.00033144+0.00050327i,7.4127e-05+0.00024602i,-0.00062687+0.00054704i,-0.00059638+0.00071676i,-0.00027813+0.00091792i,-0.00011905+0.00075312i,0.00036241+0.00038934i,0.0004187+4.2718e-05i,0.00020779-0.00037436i,0.00034947-0.00027821i,0.00017878+0.00022754i,0.00035846+1.9149e-06i,0.00040724+0.00017108i
-0.00063944+0.00048044i,-0.00095547+0.00077972i,-0.0012406+0.00077632i,-0.0011967+0.00080973i,-0.00038616+0.0011258i,0.00088409+0.00076571i,0.0006661-0.00055423i,-0.00067019-0.0007998i,-0.00097515-0.00035852i,0.00040386+0.00062838i,0.0010011+0.0012322i,0.00045192+0.00062765i,0.00053161+0.00048822i,0.00096704+0.00078164i,0.0014166+0.00049429i,0.0015869+0.00047572i,0.0011746+0.0005479i,0.00011251+0.00028054i,4.8086e-05+0.00077111i,0.00071238+0.0014061i,0.00021754+0.001725i,-0.00037028+0.0010512i,4.3272e-05+0.00035021i
0.00191+0.0010234i,0.0005227+0.0012135i,-0.00017565+0.0012144i,-0.00049764+0.0022189i,-6.789e-05+0.0020143i,-2.9475e-05+0.00072813i,-0.00097707-4.0719e-05i,-0.0020781-0.00034767i,-0.001862-0.00029119i,-0.0013383+0.00015719i,-0.0010569+0.00034396i,-0.00062003+0.00059679i,-0.00049518+0.00068673i,-2.1412e-05+0.00076427i,0.00014083+0.00069073i,0.0002778-6.0133e-05i,0.00036386-7.2599e-05i,-0.00048342-0.00017724i,-0.00045333-0.00061263i,-0.0004154-0.00074166i,-0.00068316-0.00018525i,-0.00034632+0.00022787i,-0.00012984+0.00036436i
-0.0014605+9.4349e-05i,-0.0011734-0.00059019i,0.00090726-0.00016095i,0.0025946+0.00061935i,0.0028373+0.0003599i,0.0024602-0.00049011i,0.00077815-0.0012471i,-0.0013187-0.0015398i,-0.0021653-0.0004301i,-0.0018317+0.0003321i,-0.00020442+0.00098249i,0.00016494+0.0013433i,-0.00025043+0.001158i,-0.00030894+0.00088491i,-0.00010506+0.00035768i,0.00072124+7.3614e-05i,0.00064282-3.7091e-05i,5.1331e-05+0.00021486i,-0.00026814+0.00024309i,-0.00029243+0.00039689i,-0.00032152+5.1841e-06i,0.00014078-0.00046992i,0.0011643-0.00052895i
-0.00044727-0.0019624i,-0.00072618-0.001386i,-0.001797+0.00014574i,-0.0019917+0.0018463i,-0.00019197+0.0024422i,0.0020177+0.0015688i,0.0012478+0.00012065i,-0.0013142-0.00045815i,-0.0023422-0.0001294i,-0.0013016+0.00089418i,-0.00019448+0.00095341i,0.00018101+0.00030175i,0.00017814+4.7846e-05i,0.00023009+0.00073168i,0.00040457+0.00011991i,0.00025452-0.00028338i,-0.00035212+0.00046172i,-0.00090342-0.00015384i,-0.00052225-0.00064593i,0.00042561+1.4231e-05i,-0.0001607+0.00028253i,-1.585e-06-0.00021805i,0.00011329-0.00068866i
0.00062219-0.0002321i,-6.1591e-05-0.00040029i,-0.00085741-0.0004243i,-0.00067291+0.00098285i,0.00043193+0.0015742i,0.00079624+0.00084739i,-0.000337-0.00035249i,-0.0015095-0.00065698i,-0.0013512-0.00011558i,-0.00079177+0.00014857i,-0.00071775-0.00021914i,-0.00043049-0.00036853i,0.00033624+8.6597e-05i,0.00075153+0.00043447i,0.00045974+0.00095863i,0.00054352+0.00047837i,0.00054093-0.00089016i,0.00010178-0.0005668i,-0.00010955+0.00088205i,0.00012414+0.0015502i,0.00062332+0.0010913i,0.000658+0.00058398i,-6.7606e-05-0.00012109i
