-0.00079493+0.0018565i,-0.00030407+0.0007104i,-0.0014532-0.00025028i,-0.0027184-0.00098602i,-0.0023788-4.0294e-05i,-0.0020264+0.0010068i,-0.0016081+0.0010444i,-0.00036055+0.001478i,0.00014732+0.00066567i,0.00021752-0.0007023i,0.0002672-0.00083351i,-0.00022083-0.00078066i,-0.00045828-6.2657e-05i,-0.00031061+0.00019925i,0.00036918-1.4148e-05i,0.0010218-0.00019912i,0.00067712-0.00042443i,-0.00038068+9.259e-05i,-0.00012827-0.00024651i,0.00022163-0.000326i,-0.00057498+0.00044586i,-0.00099962+2.222e-05i,-0.000142-0.00043088i
-0.00049633-0.004091i,-0.0018606-0.0020399i,-0.0030896-0.00072007i,-0.0033082-4.7733e-05i,-0.0029511+0.0014816i,-0.0025253+0.002381i,-0.00152+0.0013246i,-0.0008939+0.00088098i,-0.00046159-5.2646e-06i,-0.00030568-0.00051493i,-0.0001696+0.00099706i,-0.00020342+0.0014521i,7.1608e-05+0.00044295i,0.00046401+8.1855e-05i,0.00028266-0.00035357i,-0.00018111-0.00031597i,-0.00052852+0.00010355i,-6.1537e-05+0.00042764i,0.00045688+0.00078525i,0.000213+0.00033007i,-0.00043737+0.00026769i,-0.00069852+0.00025541i,-4.4286e-05+1.2426e-05i
-0.0012633-0.0023098i,-0.0024576-0.0022437i,-0.0028913-0.0016716i,-0.0037447-0.00056743i,-0.0033103+0.00026929i,-0.0016241+0.00053801i,-0.0012897+0.00015805i,-0.0013103-0.00044615i,-0.00074633-0.00046389i,-0.00054345-0.00051493i,-0.0007414-0.00031677i,-0.0010102+0.00021259i,-0.00075275+1.0026e-05i,-0.00022775-0.00025161i,0.00010107-0.00054281i,0.00044795-0.0012852i,0.00076827-0.0012342i,0.00049462-0.00045186i,-0.00038964-1.395e-05i,-0.0003162-0.0001968i,0.00015432-0.00031994i,0.00071727+0.00037424i,0.00051074+0.00098828i
-0.00027498-0.0010573i,0.00032473-0.00074953i,0.00027343+0.0013271i,-0.0002627+0.0023748i,-0.00060572+0.002667i,-0.00054086+0.0013764i,6.8722e-05+0.00065406i,0.00056082+0.00061025i,0.00031945+0.00050678i,-0.00015987+0.00039133i,-0.00044141+9.0624e-05i,-0.00065572-4.4514e-06i,-0.0012507-0.00021213i,-0.00061838-0.00041969i,0.00056459-0.00069173i,0.0013293-0.0007477i,0.00098305-0.00053805i,0.00040419-7.4916e-06i,0.00032316-1.5547e-06i,-0.0002144-0.00071234i,-0.00019325-0.00096692i,-0.00015853-0.00014954i,-0.00016954+0.00021528i
0.001768+0.0018667i,0.0018435+0.0016868i,0.0002565+0.00028201i,-0.0011319+0.00016173i,-0.0015007+0.00084712i,-0.001419+0.00052748i,-0.00054945-9.6449e-05i,-0.00015988+3.0924e-05i,-0.00013616+0.00016085i,-0.0002023+0.00030494i,-0.00046276+0.00019959i,-0.00073826-0.00050049i,-0.00076627-0.00097763i,-0.00065046-0.00056076i,-0.00056619-0.00046019i,-6.6035e-05-0.00069028i,-5.6596e-05-0.00024896i,-0.00010222+0.00054938i,0.00049905+0.00045668i,0.00050335-0.00026736i,0.0011291-0.00064718i,0.00097298+0.00019092i,-6.6886e-05+0.00026416i
-0.00068931+0.0017091i,-0.00083039+0.0015159i,-0.0012507+0.00062202i,-0.0015717+0.0015273i,-0.00051746+0.0019072i,0.00034881+5.7335e-05i,-0.0003688-0.0006514i,-0.00041565+0.00037469i,0.00028276+0.00093254i,0.00018828+0.00041527i,-0.00054785-0.0001805i,-0.00051709-0.00015723i,8.3108e-05-0.00055214i,0.00092784-0.000989i,0.0003916-0.00081025i,-0.00047322-0.0010953i,-0.00067824-0.00079412i,-0.0011573-0.00035033i,-0.0012355-0.00081279i,-0.0013508-0.00066551i,-0.0011485-0.00017847i,-0.00025186-7.6321e-05i,0.00029741+0.00020107i
0.00052613+0.00067794i,8.2485e-05-0.00020214i,-0.00034511-0.00031191i,-0.00054872+0.0010028i,-0.00089928+0.0012769i,-0.001163+0.00059756i,-0.00058947+0.00019253i,0.00034651+0.00077495i,0.0009113+0.00061011i,0.00089378-0.00088944i,0.00094194-0.0014197i,0.0006443-0.00078062i,-2.479e-05-0.00058024i,3.7933e-05-0.00063366i,0.00033394+0.00035143i,0.00022241+0.00069658i,0.00011363-6.1428e-05i,0.00027836-0.00029395i,-3.2284e-05-0.00025787i,-0.00087113+0.00033987i,-0.00059284+0.00015666i,0.00038189-0.00055823i,0.00079239-0.00065328i
0.0004516-0.0018025i,0.00075883-0.0016617i,-7.42e-05-0.0014761i,-0.0013063-0.00047769i,-0.0015542+0.00081468i,-0.0019583+0.0011425i,-0.0013045+0.00034102i,0.00023728-3.6237e-05i,0.00085373+0.00031398i,0.00026636+3.7665e-05i,-0.00050989-0.00044942i,-0.00047396-0.00057688i,0.00034356-0.0010341i,0.00081517-0.0010733i,0.00021951-0.00043168i,-0.00020152-0.00031682i,0.00059795-0.00030522i,0.00062247-0.00033176i,-0.00046466-0.00066828i,-0.00072788+0.00029518i,-0.00058325+0.00071379i,0.00010941+0.00024584i,0.00036108+0.00025541i
-0.0016897+0.00034181i,-0.00075105+0.00021535i,-0.00094978+0.00061055i,-0.0011096+0.0008543i,-0.00035654+0.00093139i,0.00021447+0.00053033i,-0.0005331+0.00015115i,-0.00046287+0.00055648i,3.9037e-05+0.001308i,2.6734e-05+0.00073391i,0.00023013-0.00025743i,0.00014949-0.00040016i,-1.2481e-05-0.00027046i,-0.00012338-0.00015506i,-0.00049245-0.00032058i,-0.00061585-0.0001295i,-0.0002986+0.00033795i,5.439e-05-0.0003058i,-5.3526e-05-0.00054938i,5.5562e-05-0.00014715i,0.00035783-0.00055867i,0.0013106-0.00081379i,0.0012455-5.0418e-05i
0.001574-0.001323i,0.00086357-0.0015733i,-0.00027342-0.0012597i,-0.00097101-0.00077177i,-0.0018418-0.00013864i,-0.0015701+0.00029061i,-0.00068458+3.8642e-05i,0.00016212-0.00037457i,0.00026771-0.00029562i,-0.00090901-0.00045078i,-0.00083375-0.00089689i,-6.4108e-05-0.0010213i,-7.6499e-06-0.00062401i,-0.00019538-0.00010214i,1.2161e-05-0.00024504i,0.00081049-0.00085714i,0.0010831-0.001009i,0.00036356-0.0006742i,0.00037903+2.3998e-05i,0.00030719+0.0008002i,-8.6852e-05+0.00030658i,0.0003033-0.00011735i,7.7034e-05-0.00029835i
-0.0013191+0.00053484i,-0.00095475+0.0010888i,-0.0016245+0.0011698i,-0.0023785+0.0010071i,-0.0009465+0.00099013i,0.00015848+0.00016888i,-0.00018894+0.00029977i,-0.0002556+0.0011588i,0.00069239+0.00066246i,0.001023-0.00058237i,0.00071277-0.0006918i,0.00071575-0.00075371i,0.00050638-0.001045i,-0.00013903-0.00097089i,-0.00061528-0.00065306i,-0.00022097-0.00066189i,0.00027923-0.00040653i,-0.00018817-5.7809e-05i,-0.0007776-0.00041718i,-0.00090036-0.0010382i,-0.00064986-0.00083597i,0.00023898-0.00054213i,0.00116-0.00091932i
-0.001855-6.1813e-05i,-0.0025149+0.00060432i,-0.0024801+0.0016016i,-0.0022944+0.0014284i,-0.0014767+0.00078868i,0.00018799+0.000456i,0.00083208+0.00048024i,-0.00023082+0.00034896i,-0.00078248+0.00027617i,-0.00052867+0.00049074i,-0.00077012+0.00019246i,-0.00095287+0.00053843i,-0.00054382+0.00085177i,-0.00014788+4.9464e-05i,0.00077412-0.00036569i,0.0012673-0.00041178i,-0.00012657+7.6152e-05i,-0.00061598+0.00073165i,4.1955e-05+0.00076024i,0.0004135+0.00035858i,0.00034419+0.00042367i,0.00041933+0.00032158i,0.00035983+3.0673e-05i
1.9901e-05+0.0016109i,0.00016102+0.0008821i,0.0007748+0.00029451i,0.0011472+0.00087573i,0.0010001+0.001162i,0.00050417-0.00032461i,-9.3578e-05-0.00028858i,-0.00080782+0.00037044i,-0.00040036+3.6322e-05i,-3.1904e-05-0.00029644i,0.00040208-0.0010324i,0.00057576-0.0014173i,0.00033892-0.00095306i,0.00012572-0.00081852i,-0.00067319-0.00075093i,-0.00078553-0.0010306i,2.8108e-05-0.0010536i,0.00070615-0.00070981i,0.00082329-0.00068328i,0.00075736-0.00083219i,0.00059436-0.00097101i,0.00075125-0.0004288i,0.0009445-0.00018459i
0.0021344+0.0022967i,0.001513+0.0019315i,0.00032625+0.00067378i,-0.00091531+0.00033385i,-0.0011251+0.00055475i,-0.00068653+6.5613e-05i,-0.00080112-0.00037723i,-0.0013472+2.7063e-05i,-0.00062394+0.00017547i,0.00026373-0.00055903i,-0.00024053-0.00095407i,-0.0010229-0.00035836i,-0.0017661+0.00029742i,-0.0011584+0.00071181i,-0.00020136+0.00019554i,-3.4642e-05+0.00026632i,-0.00029022+0.00041129i,-0.00039011+0.00028796i,-0.00066649-1.006e-05i,-0.00058475-0.00026328i,-5.4508e-05-0.00030884i,-0.0002703-0.00040703i,-0.00015793-0.00012398i
-0.0019883-0.0010261i,-0.0020845+0.00022902i,-0.0019054+3.1213e-05i,-0.0024064+0.00025273i,-0.0025138+0.0016668i,-0.0013425+0.0015263i,-0.00050266+0.00096008i,0.00030681+0.0012252i,0.00087445+0.0012711i,-0.00013786+0.00061754i,-0.00016278+0.00015294i,0.0006118-0.00024243i,-9.8418e-06-0.00079193i,-1.0832e-06-0.00096764i,0.00011512-0.00091819i,0.00042399-0.00063067i,0.00072994-0.00010627i,6.596e-06-0.0001902i,0.00084784-0.00080749i,0.0016247-0.0008939i,0.00091523-0.00025638i,0.0011615+0.00046479i,0.00081421+0.00055903i
-3.3159e-05-0.0011868i,-0.00074894-0.0010667i,-0.0020181-0.0014044i,-0.0024676-0.00060882i,-0.0025149-1.7169e-05i,-0.0018138+0.00036248i,-0.00037959+0.0013497i,-0.00059727+0.0010611i,-0.00083922+4.6974e-06i,-0.00046256-0.0008965i,-0.00012101-0.00092738i,-0.00010171-7.8079e-05i,-0.00070247-0.00033762i,-0.0011568+0.00024844i,-0.00078706+0.00071105i,2.7953e-05+8.3823e-05i,0.00064756-0.00039549i,0.00087599-0.00041459i,0.00059742+0.00051716i,0.0003521+0.00089684i,-0.00051931+0.00045406i,-0.00051033+0.00027629i,0.00062763+0.00041202i
-0.00071228+0.00024962i,-0.00075395-0.00038772i,-0.0010722+6.3897e-05i,-0.0010346+0.001268i,-0.00010226+0.0021635i,0.00087844+0.0013363i,0.00058419+0.00028218i,-0.00077445+0.00046172i,-0.00047443+0.00091749i,-4.2046e-05+3.8408e-05i,0.00024428-0.00041357i,0.00062977+0.00071335i,0.00055266+0.00048501i,0.00042829-0.00082094i,0.00016788-0.0012153i,-0.00015262-0.00044345i,0.00055257-0.00022693i,0.00033393-0.00028265i,-0.00050523-0.00053069i,-0.0003172-0.0011498i,0.00013724-0.0013831i,0.00080825-0.0012199i,0.00038853-0.00053337i
-0.00012539+0.0015181i,0.0010916+0.0012183i,0.001914+0.00029516i,0.00046573+0.00057611i,-0.00068093+0.00077675i,-0.00042135+2.1655e-05i,-4.464e-05-0.00040235i,0.00046062+0.00022551i,0.00054491-0.00021592i,0.00016591-0.00043078i,0.00016972-0.00021933i,0.00022448-0.00030406i,0.00029325-0.00053651i,0.00017695-0.00054523i,0.00038308-0.00020176i,0.00039267+0.00012457i,0.00030531+9.1288e-05i,-0.00015409-0.00034085i,-0.00048795-0.00072357i,-0.00049451-0.0011964i,-0.00048626-0.0014109i,-0.0004814-0.001069i,-0.0001431-0.0010543i
