0.0030261+0.0010682i,0.0054778-0.001272i,0.0048496-0.0039023i,0.0010543-0.0039911i,-0.0023038-0.0020138i,-0.0024692+0.0015763i,-0.00055918+0.0036297i,-2.569e-05+0.0026824i,0.00065671+3.3642e-05i,0.0014623-0.0014021i,0.0012396-0.0014935i,0.00072605-0.0012337i,-9.277e-08-0.0005027i,-0.00035335-0.00060808i,0.00025454-0.00054343i,0.00087872-0.0002013i,0.00092409-0.00039024i,2.8177e-05+3.9188e-05i,-0.00044131+0.00036977i,-0.00045949-6.783e-05i,-0.00059489-0.000602i,-3.2845e-06-0.00030027i,0.000287-6.561e-05i
-0.0021471+0.0025132i,-0.0010948+0.00135i,0.00065129-0.00051915i,0.0028539-0.0012771i,0.0043557-0.00058133i,0.003854+0.00011328i,0.0034882+0.00023956i,0.0032319+0.00027085i,0.0016476+0.00078795i,0.00090738+0.00017498i,0.0010314-0.00035592i,0.00085156-8.2434e-05i,-0.00012433-0.000143i,-0.0008712-0.00050584i,-0.00057429-0.00078614i,0.00028989-0.00076263i,-0.00024825+9.4204e-05i,-0.00040269+0.00092968i,-5.4497e-05+0.0008238i,-0.00015259+0.00032913i,0.00043181+0.0001898i,0.001134+0.00053123i,0.00094046+0.0011181i
-0.0016646-0.0020281i,-0.0010037-0.0023962i,-0.000741-0.00068846i,-0.00044958+0.00034475i,0.00083211+0.00049262i,0.0024624+8.217e-05i,0.002483-9.2273e-05i,0.00089188+0.00013264i,-0.0002083+0.00084727i,-0.00046206+0.0012518i,-0.00035833+0.00054809i,0.00015681-0.00010737i,-0.00027287+7.673e-05i,-0.0010433-0.00024749i,-0.0004922-0.00099131i,0.00019821-0.00064599i,0.00023707-0.00017431i,0.00095347+0.00019266i,0.0012018+0.00074831i,0.00022599+0.00098209i,0.00051756+0.00050239i,0.00073542-0.00048986i,0.00011731-0.0004263i
0.0003331+0.00042042i,-0.00037389+0.00029118i,-0.0013713-0.00010014i,-0.0011697-0.00045099i,-0.0004664+4.045e-05i,0.00084048+0.00029759i,0.0011904+8.3732e-05i,0.00045934+0.00078628i,7.0762e-05+0.001135i,-0.00021377+0.0011248i,-0.00051698+0.0011424i,-0.00084525+0.00132i,-0.00059701+0.0014847i,-0.00048371+0.00073547i,4.8672e-05+0.00034889i,0.00062161+0.00054401i,0.0012757+4.3001e-05i,0.0010775+0.00061688i,-0.00045408+0.00098678i,-0.00070413+0.00032136i,9.4546e-05+0.000721i,0.00020417+0.001199i,0.00039665+0.0013074i
-0.00092546-0.00070561i,-0.0010159-0.00091502i,-0.0010738-0.0015176i,-0.00039806-0.00092485i,0.0007168+0.00025867i,0.0017754+0.00047547i,0.0016424+2.6175e-05i,0.0014169-0.00057079i,0.0011348-0.00015706i,0.00028023-0.00027731i,8.8611e-05-0.00054296i,0.00037871-0.00025566i,0.00060539-1.2287e-05i,0.00083392+0.00018359i,0.00097543+0.00047806i,0.00070739+0.00024084i,4.5139e-05+8.8548e-05i,0.0004386+0.00077399i,0.00070954+0.0010754i,0.00017175+0.00066142i,0.00015644-8.9845e-05i,0.0007399-0.00034813i,0.00083355+0.00012244i
0.001162+0.0004109i,0.00092339-0.0001839i,0.0020379-0.00056722i,0.0022462-0.00091988i,0.0015244-0.00044781i,0.0014659+0.00077497i,0.0018603+0.00053684i,0.00098491-0.00043603i,0.00012648-0.00054813i,3.1824e-05-0.00049507i,7.0568e-05-0.00032748i,0.00028203-0.0004885i,0.00045459-0.00051474i,0.00022887-0.00017236i,0.00057136-0.00071479i,0.0011098-0.0011506i,0.00074346-0.00044009i,0.00018185+0.00082546i,-0.00051748+0.00074685i,-0.00078962-7.2861e-05i,-0.00060166-0.00045121i,-0.00010665+0.00016202i,0.00051124+0.00050463i
-0.00068295+0.0014902i,0.00023123+0.001667i,0.00075124+0.0010609i,0.00060127-0.00022773i,0.0013377-0.00074404i,0.0017176-0.00015871i,0.001131+0.00011671i,0.00096418+7.8542e-05i,0.000379+0.00055825i,0.00027578+0.00021241i,0.00095016+4.0499e-05i,0.00046986-0.00033635i,3.1686e-05-0.00060437i,0.00045522-0.0001175i,0.00042055-4.3257e-05i,0.00036371-0.00056447i,0.00016366-0.00022329i,2.6839e-05+0.00018113i,-8.1797e-05-0.00026172i,-0.00025552-4.5751e-05i,-6.3275e-05+0.00042059i,6.206e-05-0.00031133i,0.00051638-0.0008962i
1.4518e-05-0.0014308i,-0.00031527-0.0010512i,0.00018723-0.001504i,0.00047388-0.0021995i,0.00098313-0.0016866i,0.001901-0.00039957i,0.0016405+8.5533e-05i,0.0010561-0.00032068i,0.00079487-0.00023709i,0.00022904-0.00030346i,-6.582e-05-0.00038607i,-0.00039888-0.0002094i,-0.00074804+0.00014075i,0.00012588+0.00090872i,0.00091471+0.00059616i,0.00045436+0.00028378i,-7.8774e-05+0.00065931i,-0.00037335+0.00056217i,-0.00074057-0.00028399i,-0.00036215-0.0010631i,0.00012875-0.0006563i,-9.3303e-05-0.00092052i,0.00021154-0.0006339i
-0.0002757+0.00030125i,1.4229e-05+0.00071676i,3.5713e-05+0.0006516i,1.41e-05+0.00012879i,0.00097632+0.00052927i,0.0020337+0.00061494i,0.0016221+0.00014517i,0.00051032+0.00025568i,0.00046791-0.00033121i,8.3655e-05-0.0004405i,-0.0009503+9.319e-05i,-0.00092107+0.00043123i,-0.00031233+0.00029881i,0.00041119-0.00070268i,0.00088529-0.0010989i,0.00066406-0.00069235i,0.0004854-0.00055765i,0.00011827-0.00074634i,0.000134-0.00084047i,0.00046216-0.00064648i,0.00032205-0.0002925i,-9.1507e-05+5.9212e-05i,-0.00027923-0.00029524i
-0.0016774-0.00098181i,-0.00077832-0.0010014i,-0.00080088-0.0003899i,-0.001387+0.00045356i,-0.00015611+0.00029226i,0.0015718-0.00050779i,0.0016726-0.00026227i,0.00073878-5.7011e-05i,0.00024167+1.4979e-05i,0.00024155+0.00027823i,0.0007415+0.00039127i,0.0010178+0.00076009i,0.0014024+0.00034574i,0.0014067-1.4654e-05i,0.00045233+4.8851e-05i,0.00028938-0.0002254i,0.0005763-0.00039209i,-5.466e-05-0.0004604i,-7.1511e-05-0.00054345i,0.00037694-0.00029048i,0.00034654+0.00034343i,0.00024549+0.00058549i,0.00080338+0.00093962i
-0.0009145+0.00018311i,0.0011022-0.00049415i,0.0032305+0.00067004i,0.0027835+0.00078921i,0.0014912+0.0010188i,0.0017394+0.0012866i,0.0018145+0.00098442i,0.0018478+0.00094565i,0.0011885+0.00080368i,0.00035769+0.00046056i,0.00012182-0.00022869i,1.7934e-05-0.00045904i,0.00011346-0.00036518i,0.00089597-0.00011077i,0.0012138+7.6223e-05i,0.00076404-0.00038753i,0.00036172-0.00072905i,4.293e-05-4.9897e-05i,-0.0005536+0.00070387i,-0.0006954+0.00071945i,-1.5226e-05-5.6609e-05i,0.00062317-0.00081639i,5.2958e-05-0.0013489i
