-0.0014521+0.0016945i,-0.0021766+0.0019562i,-0.0026755+0.0022569i,-0.0018445+0.0018508i,-0.0016772+0.0020262i,-0.0014439+0.0017169i,-0.00029442+0.0013429i,0.00090941+0.0015984i,0.001545+0.00058647i,0.0020451-0.00066982i,0.0013489-0.00061539i,0.00044215-0.00076814i,0.00038387-0.00087332i,0.0007433-0.00096372i,0.0004302-0.00083214i,-0.00013175-0.00071616i,-0.00010877-0.0011699i,-5.0464e-05-0.00086921i,0.00019555-0.00065742i,0.00022778-0.0013438i,5.6328e-05-0.0011101i,7.2285e-05+0.00018374i,-0.00030294+0.00035025i
0.0017543+0.00076332i,0.0024168+0.00050695i,0.0034908-0.00087544i,0.0027073-0.0024369i,0.0013366-0.0015027i,0.0012152-5.4468e-05i,0.0011294-0.00010698i,0.00084946+0.00019082i,0.00074279+0.00022574i,0.00056091-3.9114e-05i,0.00022186-0.00013755i,4.2772e-05+0.00044248i,-0.00043192+0.00013739i,-0.00084342+0.00016216i,-0.00082198+0.00068045i,-0.00050079+0.00050154i,-0.00031879+0.00046573i,-0.00080115+0.0003407i,-0.00040381+0.00010192i,0.00050865-6.9167e-05i,0.00032318+2.8666e-06i,-7.6767e-05-0.00030104i,-0.00017812-0.00089258i
0.00025915+0.0019757i,0.0007566+0.0026598i,0.0023587+0.0041551i,0.0020979+0.0032108i,0.00090332+0.00076443i,0.0007295-0.00026211i,-0.00024637-0.00076607i,-0.0006566-0.00049667i,-0.00019344-9.18e-05i,0.000383-0.00014349i,0.00037689-0.00041901i,-3.6773e-05-0.00053639i,-0.00045535-0.00062561i,-0.00061924-0.00061575i,-0.00037131-0.00048279i,-6.9601e-05-0.00041589i,0.00053507-4.5851e-06i,0.00039365+0.00052636i,-0.00012154-7.6416e-05i,-0.00025771-0.00078758i,6.6406e-05-0.00092982i,0.00066331-0.00022899i,0.00023523+0.00092022i
0.0009248-0.00058369i,0.00024871-0.00023946i,-0.00035322-0.00035358i,-0.0010779-0.00046739i,-0.00096988-4.2323e-07i,-0.000357+0.00074683i,-0.00033244+0.00095221i,-0.00051623-0.00026095i,-0.00061652-0.00083365i,-0.00066631+8.6691e-06i,-0.00040773+0.00072664i,-0.00069952+0.00091692i,-0.0010615+0.00062358i,-0.00032137-5.2736e-05i,3.1629e-05-1.9446e-05i,0.00016636+2.1969e-05i,0.00061731+6.4807e-05i,0.00038669+0.00013458i,1.6241e-05+6.0175e-05i,0.00029571+2.8519e-05i,0.00068203+5.5624e-05i,0.00041705+0.00065302i,0.0002843-3.098e-05i
-8.1717e-05+0.0009649i,0.00040109+0.00068433i,0.00044277+0.00037517i,0.00021485+0.00089301i,-9.5674e-05+0.0011694i,0.00031359+0.00024465i,0.0001225-0.00053584i,-0.00051608-0.00035383i,-0.00016921+0.00017945i,0.0012175-0.00043769i,0.0016737-0.00086255i,0.0010522-0.00076556i,0.00029261-0.00080207i,-0.00017328-0.0014654i,-0.0001484-0.0016523i,-0.00018211-0.00055273i,-0.000776-0.00012902i,-0.00080463+4.4575e-05i,-0.00048731-4.7731e-05i,-0.0004038-0.00051882i,0.0005019-0.00035843i,0.00076373+0.00035821i,-0.00049562+0.00042298i
0.00054401-0.000395i,0.00068211-0.0014888i,0.0003692-0.0017215i,-0.00013212-0.00061157i,0.00039303-0.00050617i,0.00051832-0.00064275i,0.0001243-0.00068161i,0.00010278-0.00015268i,-2.8104e-05+0.00036735i,0.00052101+0.00017727i,0.00096768-0.0001008i,0.00039786+4.6708e-05i,0.00089847+0.00064795i,0.0013065+0.00091892i,0.0001493-0.00035313i,-9.5348e-05-0.0011565i,-3.5819e-05-0.00096378i,-0.00031218-0.00077665i,-0.00048577-0.00040121i,-0.00038566-0.00093881i,-0.00014668-0.0017096i,5.8386e-05-0.0016303i,0.00018134-0.00086717i
0.0021649-7.7472e-05i,0.00058836-0.00054545i,-0.00043943-0.0013641i,-0.00096187-0.0022434i,-0.00057214-0.0021826i,-0.00041169-0.00068768i,-0.00019667-0.00027202i,0.0003829-0.0015289i,0.00060164-0.0012323i,0.00065425-0.00061736i,0.00052892-0.00013776i,-2.0925e-05+0.00051608i,-0.00010854+0.00041313i,-0.00010617+0.00084298i,-0.00022871+0.00027645i,0.00011174-0.00099573i,0.00017661-0.0008564i,-0.00055577+0.00015222i,-0.00055355+0.00060106i,-3.3806e-06+0.00045744i,0.0004226+0.00025689i,0.00053248-0.00060354i,0.0010313-0.0012295i
-0.00089205+0.0016236i,-0.00097179+0.002465i,-0.0003196+0.0032521i,0.00038319+0.0028643i,-3.7813e-06+0.0022313i,-7.0926e-05+0.0012418i,0.00025393+0.00066008i,1.8221e-05+0.00066719i,-0.00012994+9.6161e-05i,0.00024811-0.00013599i,0.0012434+0.00027614i,0.001719+0.00021466i,0.00094122-0.00038047i,0.00026658-0.00054105i,0.00023542-0.00045182i,1.6115e-05-0.00084202i,-0.00028518-0.00064627i,-0.00031842-0.00015239i,-4.7907e-06+2.5636e-05i,0.00053913+0.00010116i,0.0008511-1.4969e-05i,4.187e-05-0.00036075i,-0.0011622-0.00026983i
0.00096338-0.00035626i,0.00069618-0.0011183i,0.00074401-0.0014591i,-0.0001721-0.0013468i,-0.00038633-0.0010547i,0.00040916-0.00017749i,-0.00016988+3.7156e-05i,-0.0011414-0.00035213i,-0.00049693-0.00049241i,-0.00014245+5.5592e-05i,-0.00039805+0.00078105i,-5.8463e-05+0.0010131i,-1.735e-05+0.00022635i,-6.2002e-05-0.00014599i,-2.9814e-05-0.00017184i,0.0004515-0.00042607i,0.00093305-0.00013102i,0.00021989+8.8961e-05i,-0.00046435-0.00060058i,-0.00012359-0.0016354i,-0.00020874-0.0011046i,-0.00038133-0.00013517i,-0.00022965+0.00029316i
0.0023225+0.0011164i,0.0019898+9.426e-05i,0.0027495-0.0015746i,0.0023157-0.0028696i,0.00098199-0.0029154i,-0.00027413-0.0016211i,1.6523e-05-0.00058269i,0.000893-0.00092267i,0.00042612-0.0001206i,-0.0002072+3.0957e-06i,-2.4684e-05-0.00052894i,0.00012896-0.00040991i,0.00023466+0.00045424i,0.00021552+0.00060598i,5.6904e-05+0.00040376i,0.00011742+0.00082392i,0.00025034+0.00073043i,-0.00023986+0.00083785i,-0.00076042+0.00017295i,-0.00060644-0.00058673i,0.00015813-0.00054972i,0.00041436-0.0004988i,0.00059929-0.00022992i
-0.00040384-0.00036116i,-0.00038184+0.00085788i,-0.0010563+0.0021529i,-0.00035975+0.0020692i,0.00065898+0.0017382i,0.00076767+0.00080072i,0.00050128-0.00025974i,0.00079882-0.00030322i,0.0011-0.00040243i,0.0010274-0.00068779i,0.00051379-0.00066918i,-0.00017366-0.00038874i,-0.00044707-0.00036684i,-0.00050831-0.0010097i,-0.00048114-0.00078692i,-0.00025212-0.00043658i,8.4268e-05-0.0012071i,6.3444e-05-0.0010882i,0.00034366-8.7526e-05i,0.00047307-0.00035294i,-6.7729e-05-0.0007553i,-0.00023292-0.00049649i,0.00017246-0.00013517i
-0.001687-0.00012218i,-0.0012438+0.00024708i,-0.00019741+0.0008652i,0.00018513+0.001351i,-0.00030514+0.0012807i,-0.0008208+0.00034928i,-0.0010808-0.00057569i,8.8729e-06-0.00067433i,0.00086949-0.00046115i,0.0012643-0.00037657i,0.0016054-0.00041808i,0.0013021-0.00066549i,0.00078418-0.00030158i,0.00078608+0.00032382i,0.00075006-0.00032737i,0.00020079-0.00071054i,-0.00011839-0.00074035i,2.9056e-05-0.00056408i,0.00021507+0.00032546i,0.00016414+0.00047404i,0.00028297+0.000146i,0.00051264+0.00050536i,-0.00020729+0.00093283i
0.00087301-0.00095235i,0.00076618-0.0011176i,0.00027619-0.0011632i,-0.0004186-0.0016088i,-0.0012672-0.0015315i,-0.0011156-0.00086102i,-0.00010127-0.0002783i,0.00026111+0.00013769i,0.00017205+0.00042335i,0.00032363-8.2883e-05i,-9.5243e-05-0.00088785i,-0.00047403-0.00057672i,-2.3594e-05+1.8214e-05i,0.00040655+0.00048208i,0.00029166+0.00010377i,-0.00055471-0.00045494i,-0.00066321-0.00042304i,-0.00020134-0.00039176i,-0.00049737-0.00042977i,-0.00060504-0.00068679i,0.0002636-0.00057242i,0.00067751+0.00024795i,0.0003592-1.6052e-05i
-0.00046301+0.00088886i,0.00023059+0.00017655i,0.0006633+0.00097526i,0.0010397+0.0025629i,0.00088796+0.0023993i,0.0012246+0.00051454i,0.00045976-0.00031648i,-0.00078567-0.00066246i,-0.00080352-0.00091207i,-0.00010105-0.00037517i,-6.757e-05-0.00073781i,-0.00030345-0.001259i,-0.0002604-0.00078998i,-8.1172e-05-0.00021722i,0.00013833-7.0565e-05i,-0.00040889-0.00031917i,-0.0010066-0.00048878i,-0.00097802-0.00037475i,-0.0006148-0.0004729i,0.00022061-0.00011823i,0.00035172+1.3454e-05i,-0.00022407-0.00048165i,-0.00048142-0.00059299i
-0.00057306-8.9587e-05i,3.3637e-05+0.00078868i,-0.0004669+0.00243i,-0.00011649+0.0021948i,0.00093897+0.00097236i,0.00089477+0.0010992i,0.00050048+0.00051737i,3.7196e-05-0.00041113i,-8.6413e-05-0.00050812i,0.00045182-0.00011309i,0.00045107+0.00035216i,0.00055967-9.4329e-05i,-1.2627e-05-0.00066011i,-7.3073e-05-0.00010205i,0.00087805-0.00018881i,0.00086415-0.0009571i,0.00081276-0.00055671i,0.0010405-0.00013951i,0.00045443-1.0926e-05i,0.00043923-0.00040951i,0.0003789-0.00063222i,0.00022619-0.00033298i,-0.00017353+0.00077424i
0.00013447-0.0010719i,0.0001316-0.0020055i,-0.00033311-0.0018455i,-0.0011753-0.00090378i,-0.0015611-0.00023926i,-0.00092182+0.00044995i,-0.00067539+0.00023496i,-0.00044641-0.00048057i,0.00023229-0.00044355i,4.0741e-05-4.6851e-05i,-0.00064481+6.5516e-05i,-0.00085824-0.00013764i,0.00027426-0.00054163i,0.00091172-0.00045187i,0.00020642+4.5612e-05i,0.00015624-9.8342e-05i,0.00064738-0.00053019i,0.00045847-0.00040942i,0.00060839-0.00013839i,0.00094017-0.00013359i,0.00019697+0.00012183i,-0.00032547-8.6547e-05i,-1.7716e-05-0.00041737i
0.00072794-0.0025863i,-6.1055e-05-0.0028153i,-0.0009772-0.0032175i,-0.0027287-0.002486i,-0.0028713-0.0007932i,-0.0017252+0.00043346i,-0.00099999-0.00010254i,-0.0002008-0.00043687i,0.00060076-0.00033659i,0.00051799-7.813e-05i,0.00032229+0.00034783i,0.00071846+0.00090646i,0.0010234+0.0016843i,0.00092293+0.0016263i,0.00044295+0.0014916i,0.00045458+0.0006785i,0.00034007-0.00018459i,0.00016517-0.00042644i,5.7082e-05+0.00011336i,-2.4981e-05+0.00040043i,6.3889e-05+0.00014933i,0.00024696+0.00051008i,0.00016713+0.00071418i
0.0015738+0.0025632i,0.0016969+0.0035755i,0.0032577+0.004048i,0.0037037+0.0028681i,0.0026578+0.00063452i,0.0020444-0.00062433i,0.0018298-0.00026061i,0.00088677-0.0001219i,0.00075238-0.00090192i,0.0014842-0.00085835i,0.00075207-0.0003555i,-0.00018389-0.00045059i,-0.00042619-0.00036614i,-0.00055027+2.5898e-06i,0.00029304-8.0467e-05i,0.00051708-0.0004084i,0.00032649-0.0004622i,0.00051382+0.00018901i,0.00057671+4.5683e-06i,0.00056581-0.00028652i,-6.3838e-05-3.4828e-05i,6.9746e-08-0.00029966i,0.00055085-0.00024921i
-0.00039975+0.00088109i,-0.00073053+0.00053467i,-0.00065272+0.00054158i,-3.9678e-05+0.00025401i,0.0013034-0.00010322i,0.001944-0.00028345i,0.001365+0.0002368i,-0.00028747+0.00063877i,-0.00073814+0.00040106i,-6.4691e-05+0.00020328i,-7.6214e-05-0.00023956i,-0.00038557-0.00061344i,-0.000371-0.00065739i,-0.00031612-0.00041306i,-0.00068062+0.00049379i,-0.00060323+0.00067644i,-0.00063298-0.00019081i,-0.00091718-0.0004344i,-0.00062596+0.0006385i,-8.4573e-06+0.0007714i,0.00025379-0.00012025i,0.00013277-0.00016129i,0.00034978-0.00030641i
