-0.0024373-0.00017136i,-0.0019525-0.0010025i,-0.0024867+0.00078649i,-0.0020772+0.0023691i,-0.0011026+0.0018085i,-0.00037489+0.0014376i,-0.0011112+0.0014768i,-0.00088606+0.0012137i,0.00065715+0.00064954i,0.0011495+5.2431e-05i,0.00065284-0.00074773i,0.00043376-0.0014392i,0.00010465-0.0011748i,0.00018779-0.00078376i,0.00049084-0.0003406i,-1.0717e-05-5.517e-05i,0.00015303+8.594e-05i,0.00041543-0.00042935i,0.00035497-0.0005157i,-0.00018023+0.0002845i,0.00010182+0.00058721i,0.00043481+0.00093254i,3.8988e-05+0.00075866i
0.0017437-0.0014102i,0.00072893-0.0025127i,-0.0012122-0.0032752i,-0.0016708-0.0022101i,-0.0016242-0.0011098i,-0.00066514-0.00047488i,-3.4822e-05-0.00025003i,-0.00043751-0.00065469i,-0.0010574-0.00088997i,-0.002055-0.00044269i,-0.0012574+0.00067495i,0.0002671+0.00086023i,0.00041165-0.00012653i,-5.045e-05-1.1931e-05i,-0.00017048+0.00056291i,0.00042962+7.0424e-05i,0.00021637-0.00035541i,-0.00031544-0.00036441i,0.00049306+0.00011529i,3.3459e-05+9.7006e-05i,-0.00072976-0.00036747i,-0.00036096+0.00027144i,0.00012639+0.00059862i
-0.00037886-0.00013969i,-0.00058145+0.00052712i,-0.00077723+0.00070569i,-0.0010879+0.00084465i,-0.0012427+0.00064181i,-0.0011903+0.00026795i,-0.00091116-2.3225e-05i,-0.00049524-0.00080203i,-0.00037933-0.0013961i,-0.00025222-0.00076411i,-6.4182e-05-0.00011685i,0.00013723-0.00081158i,0.000204-0.0013752i,0.00034695-0.00095351i,0.00051997+0.00031812i,-1.5884e-05+0.0014428i,0.00017486+0.00037928i,0.00083732-0.00072591i,0.00050375-0.00054492i,-0.00043482-0.00010475i,-0.00046915-0.00013434i,-0.00034085-0.00023632i,-0.00069193-5.2221e-05i
0.00053067+0.00076608i,0.0012482+0.00028664i,0.0014052-6.103e-05i,0.00056759+0.0003169i,-0.00044379+0.00064416i,-6.8103e-05+0.00010644i,0.00041247-0.00074796i,-0.00012201-0.00164i,-0.00078941-0.0014311i,-0.00073438-0.00046663i,-0.00054448-0.00064508i,-0.00065756-0.00082969i,5.5308e-05-5.7863e-05i,0.00011635+0.00032989i,8.0532e-06+0.00081464i,3.1538e-05+0.00082473i,-0.00019952-0.00010725i,0.00042075-0.00044408i,0.00043729-0.00034502i,-0.00063433-0.00038911i,-0.00041499+2.2695e-06i,0.00045516+0.00024979i,0.00048281-7.3842e-06i
0.0005128-1.7375e-05i,-0.00053745-6.5208e-05i,-0.0024352-0.00076755i,-0.0032265-0.00017816i,-0.0027199-4.2445e-05i,-0.0013211-0.00054423i,-0.00051494-0.00026462i,-0.00047271+0.00059952i,-0.0010242+7.4677e-05i,-0.0011935-1.4114e-05i,-0.00023881-0.00030162i,0.00056668-0.00063771i,0.0012906-0.00038229i,0.0014977+0.00015387i,0.0013412+0.00027529i,0.0010773+0.00010742i,0.00081423+0.000249i,0.0011923+0.00017612i,0.00067541-0.00054394i,0.0004046-0.00074425i,2.1144e-05-0.00028783i,-0.00067937+0.00019808i,-0.0003363+0.00047144i
0.0012805-0.00084349i,-2.5225e-05-0.0015861i,-0.0010616-0.0018211i,-0.0013318-0.00094689i,-0.00077658-7.6997e-05i,-0.00059148+0.00030587i,-0.0011504+4.49e-05i,-0.0012376-0.0006199i,-0.00087187-0.00062225i,-0.0012189-8.0098e-05i,-0.0012333+0.00030899i,-0.00074107+0.00057843i,-0.00015479-0.00011124i,-0.0001315-0.00047219i,-6.4648e-05-0.00035024i,0.00017045-0.00016282i,0.00042457-7.7039e-06i,0.00044366-0.00018703i,0.00018209-0.00017205i,9.9349e-05+9.5412e-05i,-0.00074414+0.00024106i,-0.0013352+0.00028084i,-0.00028381+0.00056354i
-0.00072654+0.00083283i,9.9631e-06+0.0015963i,6.8794e-05+0.0016339i,-0.0011046+0.002463i,-0.0014439+0.0026692i,-0.0011781+0.00078797i,-0.00082851-0.00022898i,-0.0010065-2.6893e-05i,-0.00128+5.2273e-05i,-0.0012914+0.00088382i,-0.00090736+0.0010244i,-0.00038872+0.0013102i,-0.0002811+0.0015395i,-0.00029881+0.00058671i,-0.00026071+0.00017207i,-0.00043699-0.0001462i,0.00022961-0.00069455i,0.00045533-0.0010129i,-0.00039386-0.0012403i,-0.00018646-0.0014847i,0.00031191-0.00095673i,-0.00053743-0.00064499i,-0.00081931-0.000792i
0.0006982+0.0010151i,0.00069415+0.00078249i,0.00078061-7.2146e-05i,0.00010588-0.0017743i,-0.00041902-0.0034947i,-0.00023457-0.0029646i,-0.00081577-0.0013803i,-0.00074821-0.00036892i,-0.00047123+0.00014394i,-0.0012055-0.00013771i,-0.0015224-0.00038387i,-0.00052043-0.00039402i,-0.00046779+7.184e-05i,-0.0010144-2.9009e-05i,-0.00035493-0.00012846i,0.00039743+0.00030644i,0.0003395-0.00015743i,0.00055276-0.0005715i,0.00051969+0.00026496i,0.00070819+0.00088541i,0.0011981+0.00032947i,0.00010142-0.00028541i,-0.00072524-0.00018958i
-0.00048717-0.0015529i,-0.00042749-0.0025106i,-0.0011959-0.0020118i,-0.0016936-0.0010709i,-0.0013896+2.2082e-05i,-0.0012557+5.8916e-07i,-0.00063617-0.00019082i,-0.00033364-0.00071296i,-0.00071713-0.00074281i,-0.0010583+0.00012816i,-0.00036191+0.00071587i,0.00053796+0.00064018i,0.0003528+0.00046444i,3.1163e-05+0.00035653i,0.000187+0.00027817i,0.0005197-0.00011908i,0.00076652-0.00063634i,0.00049044-0.00070993i,0.00052119-0.00065947i,0.00044362-7.8198e-05i,-0.0004039+0.00046561i,-0.00070913+0.0003843i,-0.00030398+0.00016122i
8.1736e-05-0.0011117i,0.00085034-0.00048597i,0.00054218-0.00024509i,0.00030953+7.4019e-05i,0.00046832+0.00042771i,0.00036647+0.00038692i,-0.00010602+0.00016305i,-0.00086939-0.00060986i,-0.001549-0.0011683i,-0.0015486-0.001015i,-0.0010104-0.0005252i,-0.00073876+0.00013701i,-0.00065134+0.0005231i,-3.6399e-05+0.001013i,6.8455e-05+0.00060251i,-0.00032085-0.00051019i,-3.2731e-05-0.00045984i,0.00072366+0.00032468i,0.00022101+0.00059881i,-0.00076575+0.00092416i,-0.0006081+0.0011732i,0.00024262+0.00060628i,0.00039696-5.0502e-05i
0.00045258-0.0016765i,0.00017542-0.00036976i,-0.00038408-7.3045e-05i,-0.0017829-0.00022563i,-0.002821+7.7349e-05i,-0.0020302+0.0010219i,-0.00011175+0.00093402i,-0.00013504-9.7793e-05i,-0.00072386-0.00052246i,-0.00074301-0.00043989i,-0.00089253+2.7724e-05i,-0.00031079-0.00020768i,0.00049646-0.00029297i,0.00083744-0.0001305i,0.0002926-0.00012016i,0.00024781-4.8761e-05i,0.00078707-0.00018982i,0.00059344-0.00022906i,-1.624e-05-0.00018002i,-0.00033643-0.00060906i,-0.00039523-0.00012701i,-0.00077342+0.00032062i,-0.00059513-0.00010178i
