0.00027501+0.00092674i,-0.00010798-0.00030019i,0.00024923-0.00051644i,0.00030549-0.0003097i,5.4601e-05+0.00048678i,-0.00026262+0.0010729i,0.00047479+0.00085066i,0.0011655+0.00042332i,0.00056204+8.208e-05i,-0.00045262-9.2365e-05i,-0.00055009-0.00036708i,-0.00014375-0.00068041i,-0.00010194-0.00076019i,-0.00016572+4.8897e-05i,-0.00025379+0.00064657i,-0.00031663+0.00051223i,-0.00013639+0.0005814i,0.00037478+0.00090515i,0.00020718+0.00080268i,0.00016763+0.00030699i,-8.1769e-05-0.00053467i,-0.00014739-0.00041744i,0.0002635+6.2346e-05i
-0.00096566+0.00031193i,-0.00053533+4.3418e-05i,0.00019202+0.00017362i,0.0012452-0.00013765i,0.001226+0.00064224i,-0.00021967+0.0018978i,-0.00045433+0.0021928i,0.00039816+0.0018109i,0.00066385+0.00054138i,0.00026811-0.00031159i,-0.00033363+0.00023075i,-0.00059434+0.00019144i,-0.001135-0.00097539i,-0.0012236-0.00083009i,-0.00054013+0.00058002i,-0.00014427+0.0015119i,0.00023767+0.00083042i,0.0006793+0.00051333i,0.0001955+0.00056902i,0.00010729+1.3572e-05i,0.00070202-0.00023153i,0.00071682+0.00032706i,0.00031327+0.00051807i
-8.2619e-05-0.00093522i,0.00090608-0.00075773i,0.0015552-0.0017264i,0.0015543-0.0012204i,0.00070578+0.00036109i,0.00044912+0.0010922i,0.00081878+0.001744i,0.0013592+0.0010899i,0.00069763+5.8527e-05i,-0.00086646-0.00049807i,-0.00090664+2.0079e-05i,0.00026726+0.00053067i,0.00037698-2.7875e-05i,-0.00033482+0.00036413i,-0.00056155+0.00097118i,-0.00054102+0.00088044i,-0.00059443+0.00099755i,-0.00024197+0.00075481i,-0.00034422+0.00024292i,-0.00028387-7.5185e-05i,-0.00010509-0.00015014i,-0.00049845-0.00014793i,-0.0004647-5.4123e-06i
-0.00053776-0.0002257i,0.00025656+0.00019568i,0.00062822-0.0003673i,0.00071789-0.00055568i,0.00016184-0.00029196i,0.00016419+0.00044474i,0.0011384+0.00083851i,0.0013425+0.00032857i,0.000657-1.3288e-05i,1.8633e-05-0.00092984i,0.00023317-0.0016094i,0.00046267-0.00072803i,-0.00023247-2.0927e-05i,-2.1666e-05+7.8677e-05i,0.00077363+0.00024012i,0.00056347+0.00056292i,0.00013421+0.00053004i,5.1045e-05+0.00058475i,-9.8144e-05+7.3546e-05i,0.00041794+1.5215e-05i,0.00075308+1.7276e-05i,-9.1744e-05-0.000352i,-0.00043703-0.00083643i
0.0010682-0.00038045i,0.00037629+2.5993e-05i,-0.00065941-0.00023665i,-0.0012011-0.00078568i,-0.00083662-0.00046241i,-0.00077985+0.0011564i,0.00061891+0.0021078i,0.0018795+0.0007883i,0.0011979-0.00096474i,0.00022367-0.0020325i,-0.00025261-0.001908i,-0.00018154-0.0011348i,5.2489e-05-0.00019165i,0.00029209-0.00030117i,0.00028815-0.00046031i,0.00051687+0.00013241i,0.0007323+0.00082692i,0.00075644+0.0011223i,0.00037845+0.00062814i,5.6253e-05+0.00017753i,0.00013464+0.000451i,0.00024411+0.00050271i,-0.00012243+7.7001e-05i
0.0011484+0.00023265i,0.00092309-0.00024122i,0.00020712-0.0012997i,-0.00080801-0.0015032i,-0.00038355-0.00018231i,0.0003452+0.0013789i,-9.1149e-07+0.002387i,0.00042933+0.0014845i,0.00022613-0.00020124i,-0.00055406-0.001136i,-0.00045788-0.0014927i,-0.00053328-0.0016181i,-0.00023527-0.00084486i,-5.8144e-05+0.00021981i,-0.00069999+0.00024348i,-0.00079899+4.1621e-05i,-0.00027452+7.6638e-05i,-0.00045903+0.0003497i,-0.0008164+0.0004629i,-0.00052062+0.00046388i,0.00011312+0.00085257i,0.00056018+0.00092957i,0.0006854+0.00014984i
-0.0010443-0.00046413i,-0.00076574-4.5852e-05i,-0.00082581+6.4096e-07i,-0.00038747-0.00076814i,-0.00031302+0.0001609i,-0.0001915+0.0014563i,0.00078704+0.0010303i,0.00083075-0.00014304i,0.00037082-0.0011441i,4.0561e-05-0.0013383i,-8.6676e-05-0.00067691i,-0.00024108-0.00029877i,0.00031237-0.00053422i,0.00084453-9.8908e-05i,0.00065386-1.8728e-05i,0.00070788-0.00034933i,0.00092736+0.0001445i,0.0013741+0.00050116i,0.0017624+0.00017246i,0.0017053+0.00050637i,0.0013547+0.001035i,0.0011639+0.0011111i,0.0010403+0.00069191i
-0.00027448+0.00097324i,0.00056741-0.00014127i,0.0016131-0.0011409i,0.0018642-0.0012077i,0.0012378-0.00020314i,-4.9327e-05+0.00096456i,0.00012678+0.0016209i,0.00068013+0.00095554i,0.00065863-0.00036514i,0.0003528-0.0010192i,0.00043139-0.001526i,0.00096145-0.0012476i,0.00027382-0.00060765i,-0.0005694-0.00052701i,-0.00054925-0.000218i,-0.00016729-7.915e-05i,-0.00023982-0.00057476i,-0.00031442-0.00039341i,9.9099e-05+0.00032567i,0.00019518+0.00027385i,-0.00018582+0.00054872i,0.00014308+0.00032886i,0.00032768+0.00028924i
0.00071036+0.0012438i,0.00058216+0.0011681i,0.0011357+0.00050959i,0.0017175-0.0014793i,0.0012534-0.0025211i,0.00032375-0.0013467i,0.0008371-0.00045797i,0.0006727-0.0003602i,9.1255e-05-0.00070099i,-7.2495e-05-0.00059108i,-0.00049816-0.00033309i,-0.00029721-0.00076625i,-0.00028627-0.00067925i,-0.00027182-0.00026774i,0.000313+0.00021231i,0.00038386+6.281e-05i,0.00051574-2.5869e-05i,0.00075303-2.9911e-05i,0.00068895-0.00082228i,0.0007472-0.00088669i,0.00052133-0.00039825i,-0.00012572-0.00024674i,-0.00076255-0.00058116i
-0.0005575-0.00075588i,-0.001286-0.001053i,-0.00083629-0.00077386i,-0.0011268-0.00044814i,-0.0019078+0.00089698i,-0.00089331+0.0022965i,0.00017054+0.0018146i,0.00052503+0.00069751i,0.00077276-0.00044784i,0.00054329-0.00090136i,0.00023333-0.00072949i,-0.00013735-0.0011778i,-0.00035335-0.0012922i,-0.00099281-0.0012101i,-0.00081215-0.0012917i,0.00042477-0.0013504i,0.00065115-0.00085884i,0.00045456-0.00059857i,0.000125+9.4632e-05i,-0.00036038+0.00015791i,0.00033824-0.00040808i,0.00079306-0.00038069i,0.0005965-0.0001323i
