-0.0034288-0.00090407i,-0.0040236-0.00051716i,-0.0034809+0.00099677i,-0.0011299+0.0018879i,-0.00046268+0.0015059i,-0.00072928+0.0010847i,-0.00094042+0.0011642i,-0.00056579+0.00088115i,-0.00035068+0.00051469i,-0.00013579+0.0006364i,0.00061721+0.00029258i,0.00086009-0.00087924i,0.00090699-0.0017315i,0.0014564-0.0021508i,0.002245-0.0010975i,0.0013204-7.8825e-05i,0.00059425-0.00038437i,0.00040247-0.0011575i,-3.678e-05-0.0016872i,-0.00072249-0.001549i,-0.00066962-0.0011737i,0.00021635-0.00071591i,0.00071418-0.0002683i
0.00014608+0.001171i,0.00088339+0.0005127i,0.0013463-0.00023064i,0.00055552-0.00067524i,-0.00046246-0.0017683i,-0.001618-0.0022148i,-0.002587-0.00048177i,-0.0019051+0.00037315i,-0.00040909-0.00035212i,0.00057502-0.00053428i,0.00053403+0.00013294i,0.00011219+0.00013433i,0.0001004+0.0003185i,-0.00066914+0.00016326i,-0.0010409-0.0004497i,-7.4219e-05+0.00014314i,0.00066739+0.00086107i,0.00102+0.00062514i,0.00051872-9.6061e-05i,-2.1418e-06+0.00018235i,0.00054516+0.00061325i,0.0010389+0.00020477i,0.00060302-0.00041082i
-0.0017544+0.0014689i,-0.0014593+0.001724i,-0.00080077+0.0016491i,-0.00055287+0.0014312i,-0.00057851+0.00077253i,-0.00073936+9.5919e-06i,-0.0011385-0.00037851i,-0.00070302-0.00030433i,0.00031393+0.00037792i,0.00074646+0.00097836i,0.00098721+0.0013813i,0.00070558+0.0013542i,0.00020657+0.0005982i,0.0001113-0.000135i,0.00076077+0.00055759i,0.00058973+0.00058474i,-0.00040853+9.992e-05i,-0.00070168-8.1849e-05i,-0.00080522+0.00022095i,-0.0008265+0.00072233i,0.00019263-0.00080182i,0.00048693-0.0014506i,-2.9131e-05-0.0007567i
-0.00040775+0.00020292i,7.2749e-05+0.001573i,0.00035366+0.0023553i,0.00061873+0.0023771i,-0.00042592+0.0022296i,-0.0014489+0.00089539i,-0.0015466+0.00018699i,-0.0010087+0.00033736i,-0.00057746+0.00038324i,-3.4422e-05+0.00075406i,0.00056775+0.0012773i,0.00059016+0.00085004i,0.00098673-0.00048916i,0.00091631-0.0014394i,0.0005121-0.001021i,0.00029044-0.00043576i,0.00027083+0.00041971i,-0.00017068+0.00059717i,-0.00038278-0.0002867i,-0.00046001-0.00075073i,-0.00051944-0.00041493i,0.0004415+0.00056831i,0.00043626+0.00142i
-0.00022542+0.0034614i,-4.7102e-05+0.0036738i,0.0012784+0.0020441i,0.0021098-0.00057339i,0.0010075-0.0016317i,-0.00044037-0.0013046i,-0.00059716-3.4551e-05i,-0.00069417+0.0010795i,-0.00033853+0.00074187i,0.00078218-0.00022779i,0.0011437-0.00068513i,0.00036312-0.00051678i,-0.00026855-0.00063537i,-0.00058722-0.00095398i,-0.0010328-0.00084435i,-0.0011026-0.00054136i,-0.00040754-0.00051595i,-0.00074777-0.00053702i,-0.00074484-0.00012756i,-9.8656e-05+0.00042468i,-0.00027197+0.00070511i,-0.00011666+0.00041298i,0.00033267+1.0274e-06i
-0.00020051-0.00078918i,-0.00016194-0.0020512i,0.00045604-0.0012369i,-0.00020364-0.00018948i,-0.0012385-0.00029843i,-0.0027756-7.3864e-05i,-0.0036188+0.00041926i,-0.0019122+0.00022962i,-5.7541e-05-0.00015339i,0.00067004+3.8972e-06i,0.00059266+0.00078971i,0.00034382+0.000697i,0.00013104+1.8376e-05i,0.00031366+0.00036995i,0.00032588+0.00023585i,-8.5864e-05+8.3157e-05i,0.00028908+0.00031396i,0.0010904-0.00018967i,0.00060202-0.00012979i,-0.00035866-0.00032368i,-0.00062191-0.0012512i,-0.00052913-0.0010673i,-0.00040736-0.00026768i
0.00058466+0.0026222i,0.0011696+0.00242i,0.00098675+0.00098341i,0.00028901-6.1395e-05i,-0.0006204-0.0006633i,-0.0018034-0.00073685i,-0.0019984+0.0007361i,-0.00093966+0.0014262i,-6.271e-05+0.00049247i,0.00013433-0.00023287i,3.3071e-05+0.00019379i,-0.00045812+0.00035635i,-0.00026806+0.00018528i,-0.00043272+5.427e-05i,6.5968e-05-0.00022096i,0.0013295+0.00029576i,0.00091516-1.9312e-05i,-0.0003896-0.00068959i,-0.0010639-0.0011899i,-0.00012388-0.0010492i,0.00073174-0.00043749i,0.00057007-0.00089162i,0.00017803-0.0006498i
-1.0019e-05+0.00090795i,0.00037496+0.0018096i,0.00029356+0.0010585i,-0.00039748-0.00032942i,-0.00084358-0.0013167i,-0.0013895-0.0011803i,-0.0017968-0.00032789i,-0.0015059+0.0005093i,-0.00088557+0.0014727i,-0.00077048+0.0011587i,-0.00040696+0.00050796i,-0.00012284-0.00019245i,0.0002879-0.00073841i,0.00027232-0.00084639i,-6.7513e-05-0.00090269i,0.00018451-0.00057829i,-0.00031111+0.00017188i,-0.00038478+0.00042044i,0.0001783+0.00025347i,0.00042292-0.00054452i,0.00064542-0.00024966i,0.00067043+0.00041815i,0.00063561+0.00018804i
0.0010815-4.8308e-05i,0.0014657-0.0014532i,0.0010788-0.0013858i,-0.0002726-0.00049388i,-0.0010423-0.00026936i,-0.001937-0.00045079i,-0.0019624+3.6583e-05i,-0.00088958+0.00035525i,-0.00030119+0.00019221i,-6.4812e-05+5.5954e-05i,-0.00019295+2.8885e-05i,0.00015648-0.00015091i,0.00069786-0.00019796i,0.00032029+0.00034933i,-0.00091154+0.00082416i,-0.00095648+0.00015088i,-0.000507-0.00061286i,-0.00021824-0.0006829i,0.00032387-0.0010364i,-0.00011073-0.0010108i,-0.0002375-0.00054784i,4.9898e-05-0.00088964i,-0.00026622-0.000634i
-9.1883e-05+0.00010718i,-0.00030411+0.00074983i,-0.00015086+0.00047051i,1.9253e-05-0.00061814i,-2.418e-06-0.0012615i,-7.3624e-05-0.0010092i,-0.00044202+1.207e-05i,-0.00020577+0.00060898i,0.00015182+0.00039079i,-0.00041502-0.00039684i,-0.00086147+8.2041e-05i,-0.00014651+0.00044982i,0.00032768+0.0004991i,3.9884e-05+0.00083054i,0.00024992+0.00033192i,7.9483e-05-0.00020921i,0.00019782-0.00056859i,0.00061563-0.00014214i,0.00029328-0.0001887i,-0.00035363-4.6793e-05i,-0.00029141+0.00098938i,-0.00029261+0.0010242i,-0.00019126-0.0004183i
0.00049692-0.0018345i,-0.000325-0.0022966i,-0.00053783-0.0018674i,-0.00028571-0.00049201i,-0.0008964+0.00068275i,-0.0015432+0.0006453i,-0.00090881+0.00045058i,0.00047845+0.00075187i,0.00090166+0.00093258i,0.0005917+0.00058877i,0.0004384+0.00055863i,0.00040441+0.00050496i,0.00091192-1.8856e-05i,0.0015576-0.00044006i,0.001166-0.0003856i,0.00088793-0.00038629i,0.00048402-0.00052522i,0.00044708-0.00061277i,0.00042753-0.00037012i,0.00040422-2.8627e-05i,0.00027934+0.00032115i,0.00025412+0.0010513i,-0.00028979+0.0010528i
