1.5516e-05+0.00015135i,0.00017157-0.0014105i,0.00016987-0.0029039i,-0.00016188-0.0025202i,-0.00089011-0.0010464i,-0.0016084+0.00023433i,-0.0014372+0.00082202i,0.00022735+0.00075567i,0.0013918+0.00015725i,0.0012139+8.9239e-05i,0.00057535+0.00032278i,-0.0004006-0.00020056i,-0.00090828-0.00026219i,-0.0008261+0.00012873i,-0.00035483+0.00044975i,-0.00024947+0.00014066i,-0.00030296-0.00050868i,0.00033024-0.00085528i,0.00024753-0.00097136i,-0.00076943-0.0011498i,-0.0006012-0.0010034i,0.00023098-0.00062489i,0.0003219-0.00013571i
0.0012467+0.00061611i,0.00093917+0.00022729i,0.0015282+6.3364e-05i,0.0010776-0.0007749i,-0.00097213-0.0022981i,-0.0021381-0.0026023i,-0.0011907-0.00088418i,-0.00045166-8.4263e-05i,-0.00035133-0.00023892i,-0.00051129-0.00070767i,-0.00082243-0.0011178i,-0.0017093-0.0014456i,-0.0018808-0.0015057i,-0.0011077-0.000614i,-0.00031263-2.0723e-05i,0.00014872-0.0001886i,0.00038915-0.00034777i,0.00020277+0.00060739i,0.00031295+0.0010742i,0.00042427+0.00032327i,0.0011235+2.1989e-05i,0.0016749+0.00065301i,0.0011502+0.00068376i
-0.00046109-0.0010972i,-0.0015179-0.00030197i,-0.0001829-0.00068486i,0.00068326-0.0018744i,-9.0396e-05-0.0015547i,-0.00067016-0.00032388i,-0.00049316+0.00075493i,-0.001061+0.00071561i,-0.0017238-9.6473e-05i,-0.0015493+3.7634e-05i,-0.0012772+0.00027232i,-0.00080221+0.00044863i,-0.00030263+0.0013364i,-0.00048294+0.0014288i,-0.00079481+0.0005121i,-0.00021599+0.00012509i,0.00041988+0.00024763i,0.0008959+0.0001415i,0.00021789-0.00038135i,-0.00062429-0.00075987i,-0.0003691-0.00056407i,0.00030046-0.00024556i,0.00053084-9.8232e-05i
0.00042287-6.4261e-05i,0.00060403-0.00051998i,0.0010963-0.00083526i,0.0014382-0.0011778i,0.00054183-0.00074771i,-0.0017127-0.00030852i,-0.0016192-0.00020511i,-0.0002259+9.6097e-05i,-0.00053513+0.00043823i,-0.0010138-0.0002029i,-0.00049017-0.00068731i,2.7294e-05-0.00018339i,-0.00028054+0.00028079i,-0.0009025-0.00024997i,-0.00088717-0.00084277i,-0.00026443-0.001034i,0.0002296-0.00050022i,0.00028156+0.00064096i,-7.9337e-05+0.0007461i,-0.00018586+0.00034931i,2.8933e-05+0.00043941i,-0.00012552+0.00042004i,-0.00073922+0.00038216i
-0.00035277+0.00022003i,-0.00044937-0.00027303i,-0.0001056-0.0003147i,0.00070251-0.00042696i,-0.0002723-0.0011189i,-0.0014547-0.00078997i,-0.0017217+0.00037188i,-0.0010468+0.00072694i,-0.00044585+0.00080238i,-0.00028368+0.00043779i,-0.00026792+0.00019274i,-2.1379e-05+0.00048447i,0.00028307+0.000775i,0.00053076+0.00097254i,0.00021287+0.00082361i,-0.00054694+0.00066292i,-0.00070358+0.00058677i,-0.000848+0.00075321i,-0.00057571+0.00058073i,0.00040042+2.8947e-05i,0.00043666+6.2858e-06i,4.3854e-05+0.00017814i,0.00045801-0.0004436i
0.0011659-4.6598e-06i,0.0006161-0.00098769i,0.00028403-0.002353i,0.00057012-0.0029307i,-0.00084943-0.0019798i,-0.0027-0.00070058i,-0.0030162+0.00011665i,-0.0019066+0.00020949i,-0.0009987+3.638e-05i,-0.001137-0.00054847i,-0.00068434-0.00021404i,-0.00010954+0.00021626i,0.0003285-0.00029783i,0.00088988-2.7408e-05i,0.00071066+0.00073996i,0.00057757+0.00018819i,0.00054422-0.00044033i,0.00054086+8.2539e-05i,0.00048933-0.00012732i,0.00087574-0.00043782i,0.0010094-0.00014072i,0.0005476+1.4137e-05i,0.00030262+0.00071998i
-0.00023103-0.0012703i,-0.0011355-0.00092754i,-0.0024981-0.00083417i,-0.0021378-0.00075276i,-0.0010093-0.00083217i,-0.00076087-0.00069731i,-0.0015891-0.00022593i,-0.0014637+2.518e-05i,-0.00054862-6.4975e-05i,-0.00091892+4.8419e-05i,-0.0011104+0.00043473i,-0.00082372+0.0004603i,-0.00034988+8.8412e-05i,-0.000146-0.00056155i,-3.3133e-05-0.00087706i,4.1285e-05-0.0007177i,-0.00010988-0.00065102i,0.00026953+1.0114e-05i,0.00054603+0.00090163i,8.5808e-05+0.00034273i,-0.00011998-0.00013961i,9.1012e-05-0.00055648i,0.00028073-0.00039199i
0.00083879+0.0013046i,0.0016839+0.0003885i,0.0014743-0.00077249i,7.8263e-05-0.00043623i,-0.00083368-0.00025504i,-0.00063237-9.1955e-05i,-0.00040222+0.00035532i,-0.0010575+0.00040117i,-0.0013363-0.00051041i,-0.00051164-0.001082i,-7.0103e-05-0.00076604i,5.482e-05-0.00067809i,0.00012156-0.00026714i,0.00031611-1.7173e-05i,0.00023799-0.00048582i,0.0004523-0.00068046i,0.00069636-0.00015885i,-1.7247e-05+0.00033816i,-0.00049849+0.00021539i,-0.0004868-3.4845e-05i,-8.0111e-05+0.00026198i,0.00021099+0.00017291i,0.00038409+0.00048169i
0.00013382+0.00027527i,0.00019859-0.00041041i,-0.00025948-0.00019559i,0.00033512-0.00027329i,0.0012226-0.0011084i,0.00041218-0.00070368i,-0.0010262+0.00020011i,-0.0012194-0.00040945i,-0.00060841-0.0013194i,4.9831e-05-0.0014832i,0.0006975-0.00099037i,-0.0003345+8.2637e-05i,-0.0011859+0.00020777i,-0.00018328-2.3678e-05i,0.00074979-8.8163e-05i,0.0001421+0.00015033i,-0.00036823+0.00077068i,-0.00018991+0.00049802i,-0.00058556-0.00038131i,-0.00049999-0.0013781i,0.00023522-0.0012494i,-0.00022256-0.00013335i,-0.00046771-9.3981e-05i
0.00070193+7.2804e-06i,0.001053-0.00094889i,0.0013406-0.0021546i,0.0021434-0.001928i,0.0014391-0.0017573i,-0.00061265-0.0013385i,-0.0014616-0.00037522i,-0.0010823-0.00017334i,-0.0007814-0.00041311i,-0.0010421-0.00080447i,-0.0012826-0.00041797i,-0.00096583+9.7092e-05i,9.6409e-05-0.0001734i,0.00019461-0.00024776i,-8.1725e-06+0.0002587i,-0.00015793+0.00032517i,-2.4113e-05-0.00074491i,0.0003584-0.0010059i,-6.2897e-05-0.00036949i,-0.00074583-0.00031226i,-0.00058025+0.00019063i,-0.00044308+0.00075659i,-0.00072423+0.00035452i
0.0012654-0.00013804i,0.0010586+0.00061737i,0.00089772-0.00013403i,0.00016247-0.0015302i,-0.00063954-0.0018447i,-0.00020289-0.00090409i,-0.00033361-3.3663e-05i,-0.0010195+0.00059874i,-0.00073732+0.0014268i,-0.00088359+0.0011587i,-0.0021307-2.0278e-05i,-0.0023085-0.00020886i,-0.0010683+0.00014023i,-0.00020179+8.9391e-05i,-0.0001202+4.0781e-05i,0.0003486-0.00023505i,0.00062093+9.4773e-05i,-2.0105e-05+0.00024552i,-0.00067759-0.00015823i,-0.00064731-0.00063397i,-0.00067735-0.00038149i,-0.0008805-0.00015547i,-9.0157e-05-0.00048523i
0.0017275-0.0040735i,0.00011514-0.0041179i,-0.0022522-0.0041085i,-0.0032458-0.0033987i,-0.0033395-0.0019073i,-0.0032243-0.00030381i,-0.0021918+0.00024906i,-0.0005904-0.00059687i,-0.00014985-0.0014478i,-0.0008018-0.0013774i,-0.00076413-0.00058663i,-0.00059137+0.00073885i,-0.00062113+0.00097171i,-0.00065474+0.00072045i,-1.046e-05+0.00056359i,0.00035627+0.00014226i,0.0004812+0.00038137i,0.00069621+0.00051444i,7.6472e-05+6.2803e-05i,-0.00084467-0.00024989i,-0.00099115-0.00059777i,-0.00088222-0.00032273i,-0.00067467-0.000522i
0.0011799-0.0013103i,0.001309-0.00064729i,0.0002377-0.0010402i,-0.0004854-0.0017848i,-0.00055039-0.0015312i,-0.0013764-0.00027279i,-0.0020056+0.00024972i,-0.0013371-0.00024714i,-0.00067663+0.00029106i,-0.00027838+0.00040155i,-0.00027013-0.00019076i,-0.00064819-0.00018983i,-0.00028632+0.00013525i,-0.0007497+0.00030507i,-0.0011457+5.732e-05i,-0.00049168-2.6175e-05i,0.00057542+0.00024989i,0.0003352+0.00050905i,-0.00021046+0.00063129i,0.00028607+0.00025442i,0.00042826-0.00011482i,-7.895e-05-5.8506e-05i,-0.00042711+0.00019198i
0.0001904+0.00062017i,-0.00029737+0.00033396i,-0.00046266+1.9508e-05i,1.8022e-05-0.0015131i,-3.3333e-06-0.0018514i,-0.00052911-0.00034211i,-0.001011+0.00017504i,-0.00080017-0.00051167i,-0.00049351-0.00016622i,-0.00078953+0.0005797i,-0.00085649+0.00071307i,-0.00068655+0.00047819i,-0.00027539+0.0002308i,1.6767e-05-0.00024276i,-0.00013948-0.00045755i,-0.00010857+0.00038913i,0.00031127+0.0010852i,0.00037414+0.00068528i,0.00023234+0.000263i,5.997e-05+9.2012e-05i,0.00032072-0.00036968i,0.00040219-0.00016345i,-0.00057898+3.6011e-05i
0.0015228-0.0017339i,0.0010065-0.0014248i,-0.00040024-0.0012033i,-0.0010379-0.00096984i,-0.00054956-0.00036451i,3.2226e-05-0.00024865i,0.00016748+0.00010481i,0.00022542+0.00029752i,-0.00052014-9.3471e-05i,-0.0016821+0.00040521i,-0.0020819+0.00027787i,-0.0016816-0.0004632i,-0.0010303+0.00029012i,-0.00031043+0.00060635i,-5.6856e-05-9.4025e-05i,4.9521e-06+0.00011798i,-0.00022318+0.00060791i,-0.00047885+0.00058315i,7.5783e-05+5.6319e-05i,0.00053764+0.00019856i,0.00015069+0.00052528i,-0.00014902+5.7073e-05i,0.00040285-5.5021e-05i
-8.5013e-05-3.2512e-05i,-0.00040496+0.00023712i,-0.00063407-0.00011377i,-0.00054144-9.0436e-05i,-0.00085417+0.00034497i,-0.0011591+0.00062155i,-0.0016423+0.00057368i,-0.0012115+0.00027065i,-0.00012592-0.00032594i,-0.0006805-0.000624i,-0.001292-0.00024447i,-0.00078387-5.0128e-05i,-0.00036995-0.00033882i,8.5874e-05-0.00052507i,0.00030432-0.00038476i,0.0003356-0.00024868i,-4.6113e-05-0.00034122i,5.1601e-05-0.00041447i,0.00014445-9.9734e-05i,-0.0005001+3.0132e-05i,-0.00071271+6.6429e-05i,-0.00049045+0.00097034i,0.00027275+0.00095351i
0.001503-0.00051054i,0.00090487-0.00051513i,0.00059132-0.00063636i,0.00079159-0.0005127i,0.001136-0.00084873i,0.0011569-0.0012812i,-4.33e-05-0.0010727i,-0.0010977-0.00019325i,-0.0018517+0.00097101i,-0.0022818+0.0014723i,-0.0012454+0.0008654i,-0.00016766-0.00015499i,-0.00076258-1.867e-05i,-0.0010396+2.1453e-05i,-0.00051345-2.6851e-05i,-3.9998e-05+0.00035071i,0.00023143+0.00072009i,0.00037042+0.00056198i,0.00067603-0.00028955i,0.00035629-0.00025406i,0.00014118+0.00022228i,0.00026083+9.5941e-05i,0.00034345+0.00024778i
