-0.003502+0.00050929i,-0.003594+0.001369i,-0.0040181+0.0017092i,-0.0032293+0.001252i,-0.0023483+0.0012833i,-0.0014629+0.0019381i,-0.0012176+0.0016018i,-0.00084285+0.0020807i,0.00025381+0.0022399i,0.0012557+0.0010478i,0.0014798-0.00027507i,0.0010046-0.00080496i,0.00027701-0.00099195i,-0.00079804-0.00034742i,-0.00061703+0.00023821i,0.00010642+0.0001983i,4.222e-05+0.00031406i,-0.00026789+0.00051546i,7.2165e-05+0.00025129i,9.1766e-05-0.00078499i,8.3216e-05-0.0012759i,0.00032167-0.00097429i,0.00055748-0.00060322i
-0.0002931-0.00088997i,5.9023e-05-0.0008086i,-0.00031276+0.00019406i,-0.0004282+0.00018664i,-0.0005282+0.00012131i,-0.0010632+0.00012666i,-0.00049573-0.00060421i,4.0034e-05-0.0012604i,0.00067534-0.0015463i,0.0013158-0.0010543i,0.00090192+0.00022328i,2.5659e-05-0.00029496i,-0.00040334-0.0010778i,-0.00049491-0.00040464i,-2.9381e-05-0.00027019i,0.0001633-0.0011881i,0.00021837-0.00093672i,0.00047545+0.0005729i,-6.4473e-05+0.0010383i,-0.00022785+0.00030272i,0.00013055-0.00045209i,0.00022234-0.00017541i,-4.6882e-06+0.00072719i
0.00097427-0.00056454i,0.001654-0.00054921i,0.0018606-0.0011762i,0.0013631-0.00095963i,0.00066493-0.00025333i,0.00053438-0.00018134i,0.00095097-0.00023627i,0.0010295-5.6111e-06i,0.00084412+4.9444e-05i,0.00075886+0.00024551i,0.00020866+0.00048526i,-4.3833e-06+0.00084411i,0.00093309+0.00071065i,0.0013607+6.1819e-06i,0.00031846-0.000583i,-0.0007275-0.00028682i,-0.0010093+0.00094212i,0.00011811+0.0011977i,0.0011953+0.00051546i,0.0010217+9.9878e-05i,0.00053229-7.8144e-05i,0.00062255-8.2255e-05i,0.00040656+8.3999e-05i
0.00011791-0.0010249i,0.00012725-0.001008i,-0.00038883-0.00089085i,-0.0011077-9.1905e-06i,-0.0012947-6.8134e-06i,-0.00067393-0.00029101i,0.00017579-0.0001188i,0.00041238-7.4495e-05i,-6.9166e-05-0.00043947i,-0.00054289-0.0007674i,-0.00046909-0.00042745i,-0.00063298-3.9166e-05i,-0.00085276-6.4878e-06i,-0.0002151+0.00038515i,0.00030906+0.00054616i,0.00049774+0.00037426i,1.4477e-05+2.6086e-05i,-0.00024963+0.00025134i,9.0701e-05+0.00048664i,-0.00019193+0.00056358i,-0.00060741+0.00062846i,-0.00020754-2.3979e-05i,0.0004471-0.00071833i
-0.0012423-0.00077927i,-0.001514-0.00038826i,-0.0015469+0.00011756i,-0.0017033-8.9761e-05i,-0.0013402-2.125e-05i,-0.00079533+0.00030447i,-0.00019047-0.00021435i,0.00061818+6.7962e-08i,0.00075144+0.00029305i,0.00084832-0.00011748i,0.0002968+9.2183e-05i,2.4152e-06+0.00059329i,0.00041078+0.00041529i,3.0568e-05+0.0002541i,-0.00067177+0.00057978i,-0.00073923+0.00068487i,0.00021553+0.00022285i,0.00030763-7.6876e-05i,-0.00041113-4.8815e-05i,-0.00077745+0.00033752i,-0.00094037+0.00054082i,-0.00074822+0.00038365i,-0.00015629+5.6937e-05i
-0.00089124-0.00065462i,-0.0008598+0.00018182i,-0.00075345+0.00032197i,-0.00059438+0.00038955i,-0.00067483+0.0010879i,-0.00014552+0.00078087i,0.00044205-0.00012623i,8.4854e-05-0.00045884i,-0.00026531-0.00020466i,0.00033828+0.00030475i,0.00065755+0.00040776i,0.00038235+5.3609e-05i,-0.00035335-0.00078581i,-0.00044685-0.0012703i,-0.00075922-0.00027178i,-0.00099236+0.00020817i,-0.00049629+0.00038212i,-0.0002743+0.00082807i,-0.0006548+0.000547i,0.00011217+0.00018389i,0.00095871+1.6685e-05i,-2.7081e-06-0.00044474i,-0.00093844-0.00023448i
0.0006961+0.00077267i,0.0016172+0.00059098i,0.0013536+0.00029872i,0.00036113+4.6805e-05i,-9.5181e-05+0.00026483i,-0.00016345-0.00017225i,-0.00055734-0.001041i,-0.00048533-0.00082309i,0.0005683-0.00017189i,0.00093817+0.00052798i,0.00044813+0.00070605i,0.00012895+0.0003957i,0.00019457-0.00039238i,-0.00015852-0.00084824i,0.00011556-0.00024651i,0.00025362+0.00041527i,-0.00066747+0.00073041i,-0.0011643+0.00076395i,5.6598e-05+0.00073171i,0.0005846+0.00046885i,0.00025711-0.00017424i,0.0006334-0.00038502i,0.0007514+8.7278e-05i
-0.00040874+0.00074781i,-0.00033382+0.0012148i,0.0005641+0.001701i,0.0016609+0.0013042i,0.0026315+0.0004748i,0.0017167-0.00014388i,-0.00021167-0.00015103i,-0.0010036-8.9435e-05i,-0.00078547+7.8592e-05i,0.00013099+0.00057255i,0.0007243+0.00020292i,-0.00022333+1.1498e-05i,-0.00096943+0.00062624i,-0.00064415+0.00040685i,-0.00024584-0.00038653i,5.4111e-05+0.00013266i,-2.9717e-05+0.0010357i,-0.00036996+0.0013276i,0.00048456+0.00095065i,0.00032672+0.00055336i,-0.0002136+0.00035216i,-7.0453e-06+0.00032535i,-0.00035602+7.763e-05i
-0.00023002-0.002115i,0.00018588-0.0010303i,0.00032142-0.00019863i,-0.00054375-0.00059623i,-0.0016467-0.00066277i,-0.0012071+8.5244e-05i,2.346e-05+0.00031362i,0.00035706+0.00012657i,0.00046652+0.00031455i,0.0010521+0.00010233i,0.0010696-0.0002288i,0.0010444-0.00041656i,0.0011467-8.0638e-05i,0.00096371+8.0173e-05i,0.0010198+2.9614e-05i,0.00094088-0.00046317i,0.00030538-0.0010127i,0.0002068-0.00087147i,0.00017576-0.00050178i,0.00028689-0.00020017i,0.00070547+0.0002218i,0.00091939+0.00061556i,0.00075568+0.00069526i
-0.00078168+8.1906e-05i,-0.001594-0.00064478i,-0.0017261-0.00061004i,-0.0018443-2.9511e-05i,-0.0014195+0.00017257i,-0.00074392+6.7859e-05i,-0.0002524-0.00074323i,0.00097064-0.0010368i,0.0018064+0.0001601i,0.0012868+0.00094178i,0.00056211+0.00065122i,0.00062119+0.00062689i,0.0011235+0.00054221i,0.00113+0.00029235i,0.00084772-0.00018518i,0.00074564+2.1934e-05i,0.00041184+0.00052245i,0.00034981+0.00033903i,0.0004366-0.00010488i,0.00068212-3.8208e-05i,0.0010654+0.00056154i,0.00050199-9.778e-05i,0.00013856-0.0001885i
0.00030933-0.00041313i,4.3841e-05-0.0005549i,0.00044711-0.00048711i,0.00060707-3.6058e-05i,0.00030258-0.0004413i,-0.00028671-0.00040401i,-0.00015875+0.00062957i,-0.00034269+0.00047254i,-0.00073906-0.00025621i,0.00033515+0.00028847i,0.00021901+0.0016085i,-0.0004668+0.0010037i,0.00018519-0.00048766i,0.00098743-0.00054661i,0.001105-0.00021004i,-1.3585e-05+0.00050306i,-0.00066662+0.00070987i,-0.00013465+0.00040761i,0.00019468-8.4902e-05i,0.000106-0.00048891i,0.00045539-0.00014044i,0.00016111-0.00012753i,-0.00090443-0.00012444i
-9.7415e-05-0.00064206i,0.00027831-0.00041132i,-0.00027828-0.00017092i,-0.00078962-0.00041788i,-0.00020637-0.00042777i,0.00014972+0.00055574i,0.00038082+0.00070418i,0.0011393-0.00018893i,0.001491+5.8214e-05i,0.00091866+0.00067143i,0.00041404+0.00033815i,0.00036003-0.0002159i,0.00075118-0.00075576i,0.0012915-0.00091183i,0.00085158-0.00014554i,0.00012214+0.00017434i,-0.00021316+0.00016852i,-0.00059834+0.00062381i,-0.0010497+0.0005561i,-0.00057817-0.00013531i,0.0005012-0.00052341i,0.001053-0.00033123i,0.00059545-0.00080382i
0.00052978+0.00047161i,-0.00041888+0.00072951i,-0.0009722-8.8525e-05i,-0.00040364+0.00027757i,-9.4034e-05-7.8494e-05i,-0.00094098-0.0017669i,-0.00078236-0.0020291i,-2.8948e-05-0.00053693i,0.00043229+0.00040478i,0.00050781+3.979e-05i,0.00055195-0.0003185i,-0.00050253-0.00046597i,-0.001215-0.00021213i,-0.0013557+0.00044435i,-0.0012757+0.00023697i,-0.00084111-0.00027245i,-5.9215e-06-4.6689e-05i,0.00076376+5.5619e-05i,0.0004906-0.00018727i,6.3396e-05+0.00055851i,0.00065978+0.00083929i,0.00084857+0.00043245i,0.00049316-0.00028581i
-0.0016428+0.00049007i,-0.0013597+0.0017921i,-0.0016375+0.0021046i,-0.00078902+0.0013814i,0.00047726+0.0006199i,0.0009045-0.00019301i,0.00047855-8.6828e-06i,-0.00030929+0.00011998i,-3.3846e-05-0.00064083i,0.00059385-0.00085542i,0.0014097-0.00016966i,0.0010278+0.00047359i,-0.00012346+0.00012406i,-0.0001425-2.48e-05i,0.00020106+0.00020513i,0.00035315+0.00035147i,3.1252e-05+0.00040259i,-0.0006148+0.00059701i,-9.1046e-05+0.00037777i,0.00082125-0.00036722i,0.00062105-0.00042699i,0.00016967-0.0001784i,0.00013951-0.00013366i
