-2.2174e-05-0.00036777i,0.00028452-0.00074554i,0.00050786-0.00050906i,0.00041668+0.00065727i,0.00087511+0.0016325i,0.0017193+0.0014872i,0.0024426+0.0003747i,0.0028616-0.00047924i,0.0028687-0.00073824i,0.0025751-0.0009867i,0.0016229-0.00095606i,0.00035994-0.0010241i,-0.00062318-0.0012114i,-0.00083157-0.00089246i,-0.00057295-0.0010346i,-0.00039386-0.00095416i,-9.039e-05-0.00026152i,0.00016673-0.00044227i,-8.9959e-05-0.00042233i,-0.00018151-0.00014061i,0.00012972-0.00011971i,0.00016988+0.0002272i,0.00024665+0.0002652i
0.0025817-0.00079488i,0.0014856-0.0012189i,0.00072342-0.0024685i,-0.00051288-0.0028704i,-0.0003118-0.0022725i,0.00091001-0.0019178i,0.0018099-0.0025023i,0.0027494-0.0023441i,0.0024448-0.0017451i,0.0015504-0.0014049i,0.0008212-0.00097109i,0.00059645-0.0012447i,0.00014362-0.00083995i,-0.00079213+0.00028963i,-0.00089722+0.00093016i,-0.0007467+0.00066619i,-0.0006269+0.00027072i,0.0001293+0.00025065i,0.0004083+0.00060415i,0.00035097+0.00085142i,0.00073257+0.00050533i,0.0012577-0.00057792i,0.00103-0.00095404i
-0.00026717-0.00060699i,-0.00017543-0.00036315i,0.00035322-0.00048301i,-0.00013781-0.00055686i,-0.00073863+0.00089231i,-0.00078739+0.00069377i,-0.00053587-0.00094804i,0.00034282-0.002069i,0.00041137-0.0022105i,0.00013409-0.0021451i,3.4965e-05-0.0020701i,4.5668e-05-0.001064i,-0.00017088+0.00030535i,-0.00060283+0.00094944i,-0.00068769+0.00091294i,-0.00031143+0.00067127i,-9.6819e-06+0.00052157i,0.00037887-0.00012518i,0.00046495-0.00065759i,-0.00013701-0.00042876i,-0.00042801-0.00020785i,7.1974e-05-0.0012588i,-6.5088e-05-0.001342i
0.00017781-0.000143i,0.00027234-0.00078598i,-5.6142e-05-0.0021572i,-0.0011341-0.0020752i,-0.00057573-0.00040002i,-0.0002168-0.000261i,-0.0013538-0.0011119i,-0.0019615-0.00082623i,-0.0020595+0.00063019i,-0.0014046+0.0014531i,0.00011913+0.00081149i,0.00054913+6.2869e-05i,0.00035038+0.00021645i,-4.1481e-05+0.00035765i,-0.0001407+0.00021647i,0.00036761-0.00029335i,0.00034084-0.00093072i,-9.8798e-05-0.00090369i,-0.00024061-0.00072134i,2.6805e-05+8.5742e-05i,-7.3236e-05+0.00045435i,-1.3753e-05-0.00036712i,0.00033252-0.00028892i
-0.00013352-0.00053365i,-0.00022553-0.0012858i,-0.00069943-0.0017972i,-0.0018063-0.00055979i,-0.0028797+0.00097465i,-0.0016915+0.0017726i,-0.0010747+0.0016185i,-0.00087266+0.0015066i,-0.00036054+0.0017997i,5.2934e-05+0.0015572i,-0.00017872+0.00071453i,-0.00023962-8.1436e-05i,0.00026997-0.00025436i,0.00042024-8.6996e-06i,0.00068408+0.00015491i,0.00098239+8.8094e-05i,0.00065071-0.0006646i,0.00029973-0.00069798i,-0.00012302-1.6593e-05i,-0.00054176+2.4571e-05i,-0.00012283+0.00016219i,-0.00019974+0.00039566i,-0.00046623-0.00020108i
0.0001288-0.00047276i,2.943e-05+0.00067181i,-0.00076679+6.9955e-05i,-0.00032927+0.00024463i,0.00064298+0.00081667i,0.0012636+0.0012654i,0.00091481+0.0012721i,0.0013137+0.00097647i,0.0018829+0.00096876i,0.0015047+0.00018046i,0.00096863-0.00067174i,0.00018431-0.0016942i,0.00017277-0.0018288i,9.5099e-05-0.00079834i,-0.00015204-9.5694e-05i,-0.0005978-0.00037746i,-0.00055755-0.00070049i,-0.00023486-0.00056569i,-0.00062349-0.00079757i,-0.00053446-0.0010334i,3.2652e-05-0.00050541i,0.00059326+9.0667e-05i,0.00053784+0.00050517i
0.00096627+0.00033638i,0.00041097-0.00095292i,-5.2526e-05-0.0014429i,-0.0004156-0.001357i,3.1022e-05-0.00035091i,0.00092791+0.00065445i,0.0021174-0.00052295i,0.0025155-0.0013355i,0.0020138-0.0012578i,0.0014536-0.0014918i,0.00076795-0.0011739i,-0.00028697+1.8558e-05i,-0.00052891+0.00048754i,-0.00055274-3.4815e-05i,-0.00030692-0.00039629i,0.00054273+0.00014383i,0.00059004+0.00059268i,0.00061959+0.00049878i,0.00038073+0.00076277i,9.9918e-05+0.0010074i,-0.00021976+0.00052369i,-0.00064266-0.00017824i,-0.00075591-0.00020734i
0.00061184+0.00020799i,1.2028e-05-0.00068719i,-0.00040877-0.0015787i,7.3279e-05-0.0015503i,0.00048502-0.00075477i,0.00098629-0.0010695i,0.00091215-0.0024642i,0.0006738-0.0030693i,0.00071895-0.0027075i,0.00049113-0.0016975i,0.00013736-0.0012534i,-0.00019842-0.0010154i,-0.00013558-0.00021052i,0.00046447-5.9411e-05i,0.0010638-0.00026206i,0.00052254-0.0001669i,-0.00032762-0.00056598i,7.7697e-05-0.0010413i,5.2705e-05-0.0013578i,-6.9268e-05-0.0010523i,0.00041687-0.00038691i,0.0010076-4.8468e-05i,0.0012386+0.00047441i
-0.0017112-0.00060188i,-0.0021368-8.7352e-05i,-0.001921+0.00084282i,-0.0017715+0.0015416i,-0.0019722+0.0012458i,-0.0014459-0.00045351i,-0.00073208-0.0014623i,-0.0009907-0.001622i,-0.0019742-0.0010421i,-0.0015425-1.8198e-05i,-0.00029977-4.5366e-05i,0.00052338-0.00037401i,0.00072765-0.00064565i,0.00049091-0.00083827i,0.00057355-0.00013866i,0.00033999+0.00017685i,-6.59e-06-0.00012156i,-0.00027499-0.00043064i,9.461e-06-0.00071504i,0.00057021+0.00047311i,0.00067301+0.0011411i,0.00036661+0.00068053i,-0.0006031+0.00042702i
-0.00056683-0.00010214i,-0.00035854-0.00075978i,-0.00045704-0.0011739i,-0.00071041-2.1632e-05i,-0.00048875+0.00096142i,-0.00072506+0.00012976i,-0.0021547-0.00080427i,-0.0024918-2.088e-05i,-0.001056+0.0012229i,0.0001566+0.0011785i,0.00034524+0.00016216i,-0.00075122-0.00072181i,-0.0012787-0.00077118i,-0.00044846-0.00035321i,0.00012732-0.00041717i,0.00035125-0.00055365i,-0.000395-0.00076709i,-0.00069943-0.0014676i,-0.00037303-0.00099466i,3.0732e-05-0.00028791i,0.00034255+0.00037735i,0.00081071+0.00016509i,0.00016609-0.00025156i
