0.00085101+0.0012259i,0.00089219+0.00054351i,0.000592-0.00038102i,0.00098854-0.0011696i,0.0011106-0.0013213i,0.00077355-0.00081765i,0.0002583-0.00061087i,-0.00076192-0.0012036i,-0.0011707-0.001211i,-0.00097081-0.0009108i,-0.0012258-0.00027636i,-0.00077467+9.1974e-06i,9.3089e-05+7.0436e-05i,0.00071177+7.455e-05i,0.0011476-0.00039054i,0.00059035-0.00084377i,-9.7034e-05-0.00051615i,-0.00082234+0.00044379i,-0.00066746+0.00079548i,-0.00071071+0.00013691i,-0.00090851-0.00079448i,-0.00020186-0.00067595i,0.00048758-0.00016848i
-0.0016659-0.00010179i,-0.0012212-0.00031465i,-0.0011244+0.00039162i,-0.00071454+0.00047531i,-9.9031e-05+0.00055981i,0.00042089+0.0011506i,0.00060912+2.5997e-05i,-1.4169e-05-0.0011349i,-0.0004868-0.0016326i,0.00045659-0.0013739i,0.00025455-0.00060463i,-0.0001132-0.00082783i,-0.00018256-0.0012131i,-3.3866e-06-0.00018567i,0.00053827+0.00020386i,0.00076445+0.0001942i,0.00061438+0.00044603i,9.4208e-05+0.00041965i,0.00050377+0.00040658i,0.00085532+0.00041861i,3.8996e-05-0.00016545i,-8.9289e-05-0.0007754i,0.0002272-0.0012701i
-0.001322+0.00071641i,0.0002763-0.00016273i,0.00038163+0.00014878i,0.00053065+0.00019248i,0.0020004+0.00066164i,0.0024046-0.00073967i,0.0017745-0.0017979i,0.00037938-0.0016796i,-0.00057443-0.0010576i,-2.529e-05-0.0002354i,4.1271e-05-0.00012883i,-0.00050238+3.5129e-07i,0.00012384-0.00058472i,0.00041422-0.0010717i,-0.00037884-0.00055795i,-0.00039405+0.00017272i,0.0002252+0.00052843i,-1.7689e-05+0.00039814i,-0.00055684+0.00020921i,-0.00034674+0.00044263i,-0.00035873+0.00010864i,-0.00049058-0.00037467i,0.00016397-6.3381e-05i
0.00077627+0.0012896i,0.00069134+0.0011595i,0.00050496+0.0015588i,0.00096495+0.0020375i,0.0010514+0.0012376i,0.0013973+0.00095825i,0.0012688+8.6145e-05i,0.00048149-0.00072963i,0.00036366-0.00026627i,0.00025914-0.00020698i,-0.00076105-0.00075363i,-0.00097601-0.00045194i,-0.00022021+0.00014988i,-0.00072823-8.2291e-05i,-0.0012554+0.0001869i,-0.001093+0.00051351i,-0.001328-5.389e-05i,-0.0010038-0.00067043i,-0.00070704+4.3442e-05i,-0.00093014+0.00058088i,-0.0011129+0.00042092i,-0.00065742+0.00080102i,-0.00046989+0.00081915i
-0.000346+0.00074277i,-0.00073107-0.00019131i,-0.00058357-0.00035606i,-2.816e-05-4.8223e-05i,0.0010147+0.00027148i,0.0015665+0.00047319i,0.00040677-0.00015932i,-0.00044362-0.0010557i,-0.00010654-0.00075069i,-0.00031252-0.00028737i,-0.000256-0.00051007i,0.00045703-0.00023335i,0.00069123-0.00016874i,0.00021691-0.00053532i,-0.00025468-0.0012101i,0.00082538-0.0011638i,0.00073095-0.00043153i,-0.00039394-5.7032e-05i,-0.00022088+1.6008e-05i,0.00070333+6.3728e-05i,0.00065064+0.00041796i,0.00040952+0.00033138i,0.00037884-0.00010169i
0.00030707+0.00052417i,0.00032795-0.00047428i,0.00032411-0.00098511i,0.0004117-0.001043i,0.0010063+0.00013068i,0.0020625+0.00024902i,0.0016984-0.0004752i,-0.00033252-0.00049933i,-0.0013092-0.0001929i,-0.00091798-7.3137e-05i,-8.3634e-05-0.00089147i,-0.00024565-0.001043i,-0.00070297-0.00070528i,-0.00035967-0.00049019i,-7.2454e-05+4.2307e-05i,-1.0685e-05+5.2905e-05i,-0.00033508-0.00026709i,-0.00099381+0.00017716i,-0.001323+0.00050508i,-0.001439+1.0513e-05i,-0.001148+0.0002651i,-0.00045219-0.00023672i,-0.00032743-0.00091917i
0.0012198-0.0018385i,0.0010153-0.00015567i,0.00096686+0.00056633i,0.00020699+0.00056103i,-0.00027901+4.794e-05i,-0.00012549-0.00043829i,-0.000496-0.00092366i,-0.001173-0.001386i,-0.00091222-0.0013266i,-0.00052956-0.0013669i,-0.0004555-0.0013129i,4.8802e-05-0.00086341i,0.00046373-8.769e-05i,0.0014979-0.00028431i,0.0018054-0.00073741i,0.0012066-0.00034969i,0.00069553-0.00013976i,0.00078244-0.00044988i,0.00050741-4.0174e-05i,-0.00028068+0.00083055i,0.00076695+0.0012045i,0.0010278+0.0011293i,-0.00016269+0.0011719i
-0.0001393+0.00016593i,-0.00034113+0.00019699i,-0.00088447+0.0003981i,-0.0017809+0.00043657i,-0.0017336+0.00028259i,-0.0010877+0.00041983i,-0.0010018+0.00086945i,-0.0005751+0.00047795i,-0.00036072-0.00059481i,-0.00090994-0.0007556i,-0.00035865-0.0001658i,0.00059236-8.0641e-05i,0.0013125-3.1174e-05i,0.0015525+0.00026303i,0.0012161+0.00025025i,0.00032347+0.00013417i,-0.00012672-0.00051939i,-0.00015618-0.00036749i,-0.00027401+0.00019999i,-0.0005065+0.00058679i,-7.3314e-05+0.00036755i,0.00016634-0.00014288i,0.00057046+0.00020024i
0.00012016-0.00123i,-0.0005834-0.0019756i,-0.00048673-0.0020744i,-0.00020385+9.4987e-06i,8.5715e-05+0.0013083i,-9.1277e-05+0.0011524i,-0.0006524+0.00098289i,-0.00088648+0.00044407i,-0.00081625-0.00055466i,-0.00078502-0.0013026i,-0.0005461-0.0010323i,-4.7322e-05-0.00062832i,0.00039366-0.00068174i,0.00042748-0.00060411i,0.00052427-0.00020571i,0.00043585+0.00032895i,-0.00037821+0.00031831i,-0.000874-0.00017843i,-0.00090995-0.00018763i,-0.00070671+0.0001885i,1.7278e-05+0.00037477i,-9.9708e-05+0.0004819i,-0.00024349+0.00039866i
0.0018583-0.0011799i,0.0015332+0.00027574i,0.0010664+0.00058776i,0.00095027+0.00044489i,0.00032792-3.7045e-05i,-0.00024406-0.00032974i,-0.00066442-0.00063707i,-0.0007092-0.0010465i,-0.00035133-0.001106i,-0.00071564-0.00091263i,-0.0010441-0.00069246i,-0.00028251-0.00055348i,8.42e-05-0.0003352i,0.00019873-0.00010424i,-4.6278e-05+0.00011713i,-0.00027148+9.844e-05i,0.00037204+7.8928e-05i,0.00070194-8.6705e-05i,0.00032409-2.6653e-05i,0.00048535+0.00051167i,0.0011372+0.00095419i,0.0011967+0.0011698i,0.0007906+0.00091268i
