-0.001926+0.00018019i,-0.0011477-0.00026582i,-0.0018516+0.00064085i,-0.0019465+0.0014999i,-0.0019454+0.0020808i,-0.0016022+0.002289i,-0.0010262+0.0019605i,-0.00057014+0.0020216i,0.00040283+0.001386i,0.00094472+0.00014561i,0.0005396-0.00021091i,0.00013683-0.0013368i,-1.1316e-05-0.0021696i,-0.0004593-0.0016264i,-0.00052773-0.0007206i,2.3124e-05+0.00042598i,0.00016858+0.00083235i,0.00025669-0.000123i,0.00028128-0.0010881i,0.00010195-0.00037386i,-0.00010114+0.00023369i,-0.00029895-0.00019429i,-0.0007806-2.4428e-05i
-0.00033431-0.00096238i,-0.0012212-0.00097953i,-0.0010353+7.7519e-05i,-0.00050831+0.00078448i,-0.00051134+0.00052811i,-0.00061496-0.00028151i,-0.00064375-0.00063777i,-0.00058745-0.00021573i,-0.00056433-6.9001e-05i,-9.8977e-05+0.00015876i,0.00012894+0.0001432i,0.00024711-0.00022527i,0.00039416+1.4467e-05i,0.00024434+0.00023812i,3.0783e-05-0.00029706i,-0.00019621+0.00013878i,-0.0002693+0.00041716i,0.00012413-0.00052829i,0.00046519-0.00069218i,-0.00017056+8.0981e-06i,-0.00084176+0.00041165i,-0.00065024+0.00049655i,-0.00039032+0.00039106i
0.00013775+0.0003733i,-1.4817e-05+0.0001707i,1.9551e-05+2.7325e-05i,-3.5246e-05+0.00051975i,0.0003751+0.0011225i,0.0014531+0.0003707i,0.0012611-0.001072i,-0.00014439-0.0012152i,-0.00041793-0.00045062i,0.00013598-0.00035772i,0.00085456-0.00057166i,0.00076329-0.00087112i,0.00047345-0.00037788i,9.3185e-05+0.00084945i,-0.00027305+0.00075777i,-0.00015167-0.00062851i,0.00059425-0.00080941i,0.0007906-0.00020571i,0.00027528+0.00044084i,0.00039924+0.00019069i,0.0013115-0.00032786i,0.0012583-0.00027916i,0.00088137-2.4136e-05i
-0.00081543+0.00022244i,-0.00082071+0.00017218i,-0.00040078-0.00025013i,-0.00090931-7.0005e-05i,-0.00025878+0.00079602i,0.000281+0.0015035i,0.00074818+0.0010003i,0.0013493-0.0004991i,0.00080806-0.00067222i,0.00017488+0.00020883i,6.3773e-05+0.00027374i,0.00014666+0.0002273i,0.00020381+0.00042798i,0.00013002-7.2826e-05i,1.2265e-05-0.00018809i,0.0002198+0.00052228i,1.53e-05+0.0004601i,-0.00052042-0.00027106i,-0.00016766-0.00053476i,0.00040695-0.00051628i,0.00010407-0.00043266i,-8.86e-05-0.0006624i,0.0004451-0.00051281i
0.00075089-0.00065548i,0.00077867-0.0019841i,2.481e-05-0.0026492i,-0.00088492-0.0011179i,-0.00035787-0.00032074i,0.00044005-0.0008477i,0.00084989-0.00040288i,0.0005065+0.00071723i,0.00033608+0.0007787i,0.00062755+0.00025215i,9.4591e-05+0.00027201i,-0.0013175+0.00020939i,-0.001757-0.00076253i,-0.00041941-0.00049555i,0.00039925-0.00024429i,-0.00026548-0.00058133i,-0.00039614-0.00017584i,-2.1765e-05+0.00012014i,0.00021242-0.00023057i,-1.5015e-05-0.00048664i,3.1092e-06-0.00026946i,-8.3943e-05-8.1069e-05i,-0.0001383-0.00037321i
-0.0016319+0.00091982i,-0.0015899+0.0014508i,-0.0017814+0.0024538i,-0.0012719+0.0025227i,-0.00051342+0.0016358i,0.00031303+0.00076742i,0.00069006-9.1181e-05i,-3.6638e-05-0.00022371i,-0.0002349-0.00010279i,0.00041439+0.00033423i,0.00062964+0.00036462i,0.00088797+0.00025026i,0.001095-0.00022285i,0.001487-0.0013353i,0.0010932-0.00086356i,0.00033842-3.1906e-05i,0.0003991-1.0027e-05i,0.00038451+0.0004566i,-0.00015506+0.00030302i,-9.7013e-05+1.3979e-05i,-0.0004098-0.00017961i,-0.00027528-0.00031344i,0.0003785+1.1592e-05i
0.00097372-0.00026773i,0.0018776-0.00094025i,0.0016054-0.0013878i,0.00044679-0.00104i,0.00021188-0.0010113i,0.00045933-0.00079873i,0.0006174+0.0001671i,0.0008474+0.00066426i,0.0008254-0.00034662i,-8.926e-05-0.000942i,-5.157e-05-0.00088198i,0.00057788-0.00080651i,0.00050034-0.00032277i,0.0006536+1.7469e-05i,0.00071831+0.00081072i,3.173e-05+0.0013229i,0.00049625+0.00062437i,0.00098175+0.00014532i,0.00018144+5.7663e-05i,-0.00034481-0.00044128i,0.00025866-0.00029409i,0.00031996-0.00026802i,-0.00017189-0.00096289i
0.0009178+0.0008395i,0.0014506+0.0012266i,0.0016687+0.0019136i,0.0007981+0.0011076i,-4.4995e-05-4.1837e-05i,0.00021977-0.00019725i,0.00060335+0.00036608i,0.00067283+0.00072694i,-0.00011266+0.00050316i,-6.4022e-05+0.00077291i,0.00047841+0.00026188i,0.00035033-0.00068151i,0.00079709-0.00058362i,0.00070344-0.00024186i,6.4107e-05-0.00014685i,-7.1496e-05-0.00017619i,-0.00047797-0.00022841i,-0.00045883-0.00015667i,0.00022884+0.00022098i,6.9529e-05+0.00084342i,-0.00037462+0.00045098i,0.00026381+4.8727e-05i,0.00049244+0.0002005i
-0.0019531-0.00046748i,-0.0012788+6.4707e-05i,-0.0011872+0.00039745i,-0.00082862+0.0010125i,-0.00072908+0.0019195i,-0.00025653+0.0014219i,0.00055541+0.00055082i,0.00070542+0.00039971i,7.9864e-05-0.00020943i,-0.0002729-0.00045724i,-2.3725e-05-0.00024417i,0.00015181-0.00064578i,-0.00015026-0.00099511i,-0.00066218-0.00044101i,-0.00049413-0.00022756i,-0.00035265-0.00030986i,6.334e-05+0.00011166i,2.4071e-05-0.00015344i,-0.00051613-0.00059385i,-0.00026059-0.00042034i,0.00024624-0.00052905i,0.00061014-0.0010801i,0.00035656-0.0011238i
0.00014121-0.00034676i,0.00035121-0.001276i,0.0014012-0.0013813i,0.0013909-0.00064765i,0.00061962+0.00010714i,4.3668e-05+0.00098118i,5.9633e-05+0.0012614i,-7.0515e-05+0.0001606i,-5.6742e-05-0.00085787i,6.1537e-05-0.00074598i,-0.00012994-0.00050187i,-0.00034939-0.00022299i,-8.4911e-05+0.00024651i,0.00011937+0.00045451i,-9.3289e-05+0.00032028i,-0.0001936-0.00015466i,-4.2736e-05-3.1526e-05i,-9.1501e-05+0.00026181i,-0.00028658+0.0001435i,-0.00045871+0.00030217i,-0.00048505+0.0002299i,-0.000101+0.00024827i,3.2888e-05+0.00027456i
0.00086939-0.0014551i,0.00022336-0.0019676i,-0.00092275-0.0031333i,-0.0015195-0.0028416i,-0.0016151-0.0008746i,-0.00044938+0.00075465i,0.00079166+0.0015499i,0.00093027+0.00085668i,0.00056156+5.0165e-05i,-0.00014782+1.0827e-05i,-0.00022013+0.00043797i,-0.00016723+0.00048355i,0.00049977+0.00037216i,0.0010186-0.00037188i,0.00053614-0.001414i,-2.7406e-05-0.00092768i,-0.00028995-6.9173e-05i,-0.00040491-0.00014482i,-0.00073038-0.00077433i,-0.0011036-0.00078473i,-0.00089771-0.00070637i,-0.00033864-0.0009737i,0.00037594-0.00039499i
