-0.001926+0.00018019i,-0.0011477-0.00026582i,-0.0018516+0.00064085i,-0.0019465+0.0014999i,-0.0019454+0.0020808i,-0.0016022+0.002289i,-0.0010262+0.0019605i,-0.00057014+0.0020216i,0.00040283+0.001386i,0.00094472+0.00014561i,0.0005396-0.00021091i,0.00013683-0.0013368i,-1.1316e-05-0.0021696i,-0.0004593-0.0016264i,-0.00052773-0.0007206i,2.3124e-05+0.00042598i,0.00016858+0.00083235i,0.00025669-0.000123i,0.00028128-0.0010881i,0.00010195-0.00037386i,-0.00010114+0.00023369i,-0.00029895-0.00019429i,-0.0007806-2.4428e-05i
-0.00089463-0.0014528i,-0.0003562-0.0015971i,2.8622e-06-0.00038752i,-0.00046423+0.00086138i,-0.00023846+0.001286i,0.00054889+0.00063998i,0.0011135+0.00026838i,0.00080785+0.00084329i,0.00047368+0.00067936i,0.0006192-0.0008073i,0.0008063-0.00072748i,0.00055138-0.000577i,-8.4863e-05-0.00065566i,-0.00018361-0.00043597i,0.00059135-0.00058368i,4.9194e-05-0.00074283i,-0.001419-0.0011407i,-0.00088625-0.00083453i,9.1637e-05+0.00029982i,-0.0001817+0.00061401i,-0.00062659+0.00078836i,4.6441e-05+0.00049679i,-0.00011001-7.5355e-06i
-0.0011635-0.00025936i,4.7208e-05-0.00068615i,0.0022462+0.00047851i,0.0025404+0.0011677i,0.0012778+0.00086645i,0.00084906+0.00014095i,0.00029463-0.00091157i,-0.00051652-0.00036027i,-0.00033039-0.00021214i,0.00020959-0.00089146i,-0.0001039-0.0008185i,0.00016666-0.00041768i,0.00028846-0.00012515i,-0.00014837+0.00096731i,0.00025861+0.0012257i,0.00038506+0.00069088i,-0.00057761+0.00070937i,-0.0014019+0.0006405i,-0.00055147+0.00052601i,0.00043789+0.00090782i,0.00042364+0.001384i,0.00060868+0.00086957i,-0.0010092+0.00040773i
0.00028162+0.00042956i,0.00020126+0.00045499i,1.2639e-05+0.00089559i,-0.00024177+0.0012466i,-0.00027135+0.0014277i,-0.00040923+0.0014964i,0.00012336+0.00086157i,-2.9222e-06+0.00033601i,-0.0005165-9.0986e-05i,-0.00014753-0.00049604i,0.00027415-0.0007815i,0.00041003-0.00085655i,0.00027724-0.00082037i,-0.00012686+5.3081e-05i,-0.0008151+0.0009771i,-0.0011401+0.00084864i,-0.00051915+6.6769e-05i,0.00044925-0.00082987i,0.00077511-0.00083203i,0.00061049-0.00014326i,0.0004751+7.5676e-05i,0.00015651+4.3205e-05i,5.7577e-05+0.00010008i
-1.3498e-05+0.00038272i,-0.0002949-0.00022242i,0.00073042+0.00062974i,0.001386+0.00064764i,0.0013814+0.00035732i,0.00083215-0.00072461i,-0.00012982-0.0012106i,0.00017395-0.00036579i,0.00068568-9.5911e-05i,-0.00019893+0.00036905i,-0.00051892+0.00096515i,-0.00041592+0.00074225i,-0.00045348+0.00046335i,1.082e-05+8.378e-05i,-6.31e-05+0.00057245i,-0.00069514+0.0013581i,-0.00068631+0.0011249i,-0.00023817+0.0011053i,0.00024957+0.0010143i,0.00085781+0.00080609i,0.00089077+0.00017066i,0.00041342-0.00053671i,0.00041368-0.00074428i
0.0015032-0.00085898i,0.00097091-0.001682i,-0.00026779-0.0018187i,-0.00065595-0.00053468i,-0.0018441+0.00032506i,-0.0018243+0.00087263i,9.1872e-05+0.0015242i,0.00073494+0.0010851i,0.00081948+0.00023694i,0.00097334+8.914e-05i,0.0012128-0.00015567i,0.0012618+0.00022344i,0.00032763+0.00097668i,-2.2858e-05+0.001119i,0.00071339+0.00076303i,0.00048174+0.0002633i,-0.00025984-0.00033215i,-0.00064597-0.00066i,-0.0014527+0.00016768i,-0.0020242+0.0011159i,-0.0011549+0.0011602i,-0.00011104+0.00080666i,-0.0002582+0.00095668i
-0.0012987-0.0020679i,-0.0011984-0.00080935i,-0.002242-0.00053899i,-0.0013075+0.00022102i,0.00069207+0.0026451i,0.0008147+0.0021049i,0.0005643+0.00050706i,0.00024155+9.5484e-05i,0.00013861-0.00015738i,0.00071799-3.4417e-05i,0.00071593-0.00069825i,0.00011704-0.00103i,-0.00027045-0.00096724i,-0.00032309-0.00041103i,-0.00050775-4.9037e-05i,-0.00056833-0.00026001i,-0.00029663+0.00020883i,-3.6542e-05+4.0385e-05i,0.00020026-0.0012165i,-6.2487e-05-0.0011548i,-0.00014848+0.00013293i,-0.00038624+0.00024683i,-0.00088897-0.0001814i
0.00016617+0.001109i,-0.00037621+0.00059643i,-0.00084024+0.00046073i,6.6582e-05-0.00035818i,0.0012277-0.00043455i,0.0011986+0.00049494i,0.00075375+0.00020405i,0.000322-4.5066e-05i,0.00019426+6.0864e-05i,0.00043719+1.9033e-05i,2.3628e-05-0.00035505i,-0.00093023-0.00049969i,-0.00029081-0.00026449i,0.00069412+0.00046823i,0.00016425+0.001099i,-0.00078317+0.0017306i,-0.000606+0.0015855i,0.00041186+0.0003971i,0.00013799-0.00039628i,-0.0004436-2.0821e-05i,8.8795e-05+0.00092573i,0.00033969+0.00093238i,0.00026369-9.1073e-05i
-0.0018491+0.00011781i,-0.00091598+0.0011466i,-0.0020825+0.0018869i,-0.0016713+0.0017882i,-0.00052359+0.0023347i,0.00084582+0.0020207i,0.0014764+0.0008671i,0.00055642+0.00019661i,-1.3535e-05-0.00013512i,-0.00016872-0.00012393i,0.00015693-0.00020384i,0.00073425+0.00038389i,0.00087634-1.0379e-06i,0.00060324-0.00064191i,0.00034175-0.00071757i,0.0001385+9.8284e-05i,-0.00030396+0.00047477i,-0.00063763+4.7199e-05i,-0.00062164-0.00051739i,8.671e-06-0.00072057i,-2.7888e-05-0.00014578i,-0.00024915+2.131e-05i,-2.2355e-05-0.00012607i
0.0023853-0.00073486i,0.0017057-0.0009022i,0.0010402-0.0014448i,-7.6983e-05-0.0027861i,-0.00084859-0.0028405i,-0.0013264-0.0004698i,-0.0010839+0.0011138i,-0.00059741+0.0009517i,-0.00036138+0.00036014i,0.00040911+0.00083495i,0.0010804+0.00043167i,0.0010067-0.00046221i,0.00051834-3.8776e-05i,0.00061235-0.00054327i,0.0013385-0.0012788i,0.0011004-0.00080923i,0.00030045-0.0002489i,-4.9289e-05+0.00035363i,0.00017555+0.00048009i,0.00015996+0.00056693i,-0.00069667+0.00044018i,-0.00096194+0.00013044i,-0.00027588+0.00032987i
-0.00093067-0.00019869i,-0.0016591-0.0004774i,-0.0020335+0.00018117i,-0.0013774+0.0012842i,-0.00054315+0.0022014i,-9.8652e-05+0.0019198i,0.00019951+0.00077324i,0.00022602-0.00014501i,1.9011e-05-0.00061985i,5.4395e-05-0.00050698i,0.00013832-0.0005236i,0.00026822-0.00068099i,0.00069085-0.00046067i,0.00022554+0.00010637i,-0.00050981-0.00050468i,-0.00066731-0.0012667i,-0.00041572-0.00095015i,-2.1927e-05-0.00062414i,-0.00025439-0.00023974i,-0.00012292+0.00011595i,0.00037998+0.00051552i,0.00042251+0.00027414i,0.00011764+0.00011107i
7.0453e-05-4.6936e-05i,-0.00016293-0.00026804i,-0.00017643-0.00037133i,-0.00079901-5.0582e-05i,-0.0013503-0.00021634i,-0.00026872-0.00033294i,0.00068866-0.00070106i,0.00058818-0.00073i,0.00040019-0.000848i,6.1779e-05-0.0013318i,0.0003859-0.0013563i,0.00099179-0.0003582i,0.00084375+0.00020365i,0.00037974+0.00016578i,0.00016683+0.0006866i,-0.00026028+0.00048932i,-0.00077238-0.00046976i,-0.001018-0.00037276i,-0.00058174+0.00019284i,0.00017158+0.00010401i,-5.7247e-05+5.7272e-05i,0.00073107-0.00064457i,0.00094003-0.00084776i
0.0020484-0.00047524i,0.0017409-0.0010527i,0.0016391-0.0019387i,0.00084892-0.0015179i,-0.00052682-0.00035052i,-0.00014421+0.00031485i,0.0011366+0.00062936i,0.0012469+0.00042998i,0.00020562-0.00038457i,-0.00065312-0.00083885i,-0.00082686-0.0010301i,-0.00022643-0.0005347i,0.00054852-5.9047e-06i,0.00056621-0.00030746i,-0.00031181-0.00035007i,-0.00075955-0.00019182i,-0.00068158-4.5648e-05i,-0.0006072-0.00030445i,-0.00031133-0.00059093i,0.00012865+1.9527e-05i,0.00036119+0.00040236i,0.00033158+0.00042772i,0.00060759+0.00072391i
0.00022018+0.0013445i,0.00050263+0.00043097i,0.00094395-0.00041712i,0.0012076+8.2294e-05i,0.0007704+0.0010983i,0.00026267+0.00048103i,0.00037586+0.00045166i,0.00043717+0.000437i,0.0010657-3.4132e-05i,0.0018809-0.00040036i,0.0017762-0.0012871i,0.0010551-0.0015841i,0.00030351-0.0010621i,-4.4185e-05-0.00072306i,-0.00010935-0.00059701i,-0.00079399-0.00048842i,-0.0011803-0.0005619i,-0.0011373+0.00019157i,-0.00065387+0.00095573i,4.0352e-05+0.0011202i,4.5387e-05+0.001023i,0.00020498+0.00080055i,-9.6716e-06+0.0011606i
0.00021637-0.00043314i,-0.00021999-0.0003011i,0.00014575-0.00045243i,0.00034339+0.00038298i,-0.00015123+0.00081356i,-0.00068985+0.00066308i,-5.3754e-05+0.00065095i,0.00067702+0.00028151i,0.0011521+0.00011049i,0.0010711+2.8395e-05i,0.00049161-0.00048097i,-0.00012563-0.00070884i,0.00015604-2.1966e-05i,0.00054937+0.00060208i,0.00086705+0.00068199i,0.0011552-7.4642e-05i,0.00084096-0.0004136i,0.00020209+0.00014514i,8.3592e-05+0.00035013i,-2.1355e-05-0.00015066i,-0.00060006-0.00078095i,-0.00061238-0.00099132i,4.2151e-05-0.00091783i
0.00050869+0.0016834i,0.00065865+0.00046114i,0.0014819+0.00014045i,0.0029756-0.00031906i,0.0034593-0.00031629i,0.0023426-0.00027965i,0.0013085-3.1718e-05i,0.001096+0.00077312i,0.0012529-2.0038e-05i,0.0013372-0.0013989i,0.001142-0.0014709i,0.00016216-0.00099248i,-0.00057588-0.00025527i,-0.0005313-0.00012006i,-0.00025017+0.00021284i,-0.00037912+0.00044508i,-0.00016549+7.2385e-05i,0.00028724+0.00034324i,-7.9699e-05+0.00076986i,-0.00061016+0.00035162i,-0.00031323+5.8625e-05i,0.00040174+8.5938e-05i,0.00035387-0.00029615i
0.00086988+0.00065472i,0.0018137+0.00076034i,0.0027994+0.00066773i,0.0019948+0.00072794i,0.0013852+0.00067655i,0.0011247+0.00030775i,0.0013648+0.0020398i,0.0024687+0.0029102i,0.0035709+0.00074854i,0.0036349-0.0017757i,0.0020544-0.0029342i,0.00027427-0.0018516i,-0.00030533-0.00055287i,0.00032743-1.5993e-05i,0.00056697+0.00029209i,0.00046046+0.00025636i,0.00016677-0.0010113i,-0.00032376-0.0014797i,8.2205e-06-0.0010825i,0.0003394-0.00067734i,-8.9859e-05-0.00024556i,-0.00043176-0.00020999i,-0.00015579-0.00020245i
0.00016172-0.00046018i,0.00018017+0.00048987i,-0.0012222-8.7357e-05i,-0.0017837-0.00032394i,-0.0013286+0.00029709i,-0.0007047+0.0004387i,-0.00095413-0.00067625i,-0.0019245-0.00086496i,-0.0033666+0.00020139i,-0.0039148+0.00094371i,-0.0017942+0.001436i,0.000618+0.0020796i,0.00099149+0.0013256i,0.00044767+0.00033124i,0.00033142+0.00036736i,0.00060867+5.8214e-05i,0.00037153-0.00049014i,0.00041409-0.00039328i,0.00071372-0.0001158i,0.00023709+0.0002131i,1.7857e-05+0.0010095i,0.00070185+0.0014722i,0.00049511+0.00098486i
0.00047717-0.00079309i,0.00098703-0.0009531i,0.0010836-0.0017365i,0.00041489-0.0012747i,8.8039e-05-4.7032e-05i,0.00073476+0.00042018i,0.00067014-0.00012668i,0.00013366-0.00011323i,-0.00018441+0.000185i,0.00042143-3.7912e-05i,0.00093549-0.00012752i,0.00038459-0.00063229i,0.00064816-0.00034305i,0.00033957+4.9624e-06i,-9.6379e-05-0.00015344i,0.00052333-0.00014285i,0.00034894+3.1321e-05i,0.00025918-0.00012341i,0.00039321-9.4337e-05i,0.0001211+0.00023321i,-3.8325e-05+0.00053871i,-1.3452e-05+0.00020288i,0.00011096-0.00050688i
0.00094288-0.0016318i,-0.00034083-0.0014115i,-0.0023471-0.0014885i,-0.0035091-0.00027178i,-0.0032504+0.00035024i,-0.0012948+1.4033e-05i,0.00062403+0.00027986i,0.00050518+0.00023511i,0.00037509-0.00047456i,0.00026449-0.00026719i,0.00015748+0.00061853i,-0.00013071+0.0010154i,-0.00035622+0.0003734i,0.00018712-0.00068222i,0.0005289-0.0010155i,0.00069253-0.00032001i,0.00024655+0.00053986i,6.3091e-05+0.0005068i,-0.0004235-0.0002827i,-0.00092727-0.00093228i,-0.00033395-0.00074111i,0.00040836-5.5278e-05i,1.7004e-05-0.00030637i
0.0019333-0.00077124i,0.0017771-0.00063385i,0.0018142-0.0010692i,0.00084505-0.00091088i,-0.00058682-0.00058796i,-0.00088176+0.00026368i,-0.00073449+2.534e-05i,-0.00036829-0.0007261i,-0.00037421-0.00054221i,-0.00029403-0.00047925i,-8.99e-05-0.00026366i,-0.00050622+0.00034106i,-0.00062412+8.0479e-05i,0.00021956-0.00017371i,-0.00052606-0.00029782i,-0.00093987-0.00073593i,0.0003689-0.00068931i,0.00051348-0.00089219i,0.00014188-0.0011808i,0.00013356-0.00117i,0.00017434-0.00083036i,0.00044661-0.0002609i,-4.4328e-05+0.00020519i
-0.001419-0.00092288i,-0.0021385+0.00010322i,-0.0026743-0.00045734i,-0.0020484-0.00067505i,-0.0011423+0.00079287i,-0.00049072+0.001096i,-0.00052486+0.00042504i,-0.00024612+0.00012704i,0.00028254-0.00012202i,-0.00052253-0.00054736i,-0.00098813+0.00016185i,-0.0005936+0.00069108i,7.2267e-05-4.4619e-06i,0.00027984-0.00054333i,-0.00056354-0.00026263i,-0.00072617-0.00027119i,6.0589e-05+0.00022781i,2.1253e-05+0.0007998i,0.00017212+0.00056639i,2.8941e-05-7.6381e-05i,-0.00036137-0.0005215i,-2.8139e-05-0.0003275i,-3.4031e-05-0.00042561i
-0.00048923-8.5005e-05i,-0.00034405-0.00012021i,-0.00082765+0.00037745i,-0.00047477+0.0008353i,0.00094492+0.00059022i,0.00084589+0.000436i,-0.00024762+0.00066509i,-0.00067973+0.00049575i,-0.00031622-0.00026714i,0.00061381-0.0005721i,0.00063751-0.0010413i,-2.5941e-05-0.00074254i,-0.00026887+0.00028424i,-0.00088842+0.00037441i,-0.00079171-0.00053325i,-0.00026742-0.00062011i,-0.0004314+3.79e-05i,-0.00044984+0.00022391i,-0.00025702-0.00023285i,-9.692e-05-0.00049937i,5.5513e-05-0.00051524i,-0.00030273+0.00012406i,-0.00050651+0.00061191i
0.00048846-0.00016552i,0.00077064+0.00068029i,4.749e-05+0.00042313i,-0.00058805+0.00067068i,0.00011757+0.00064327i,0.00052748+1.8371e-05i,-0.00013958-0.0002148i,2.3763e-05-0.00012152i,-4.4396e-05-0.00020503i,-0.00072581+2.8219e-05i,-0.00031221+0.00030219i,-0.00017993+0.00018892i,-0.00044086-0.00022583i,-0.00060839-0.00039248i,-0.0015339-0.00040855i,-0.0020621-0.00066004i,-0.0015055-0.00064824i,-0.00055672-8.3744e-05i,-1.3881e-05+0.00031579i,-1.1147e-05-0.00020023i,2.0881e-05-0.00047044i,-0.00027183-0.00043693i,-0.00045316-0.0001887i
0.0020363+0.00054501i,0.002318-0.0002673i,0.0024432-0.0011852i,0.0014874-0.0013707i,0.00041418-0.0017818i,-0.00043561-0.0012598i,-0.0011494-4.1341e-05i,-0.00076074+0.00047972i,-0.00039821+0.00078137i,-0.00046149-4.4693e-05i,-0.00055393-0.00090185i,-0.00067134-0.0014067i,-0.00057028-0.00093175i,-0.00017624+0.00090938i,0.00020238+0.0012937i,0.00012597+0.00019017i,0.00022741-0.0004905i,1.2216e-05-0.00064891i,-7.2222e-06-0.00035063i,0.00036033+0.00069141i,7.8009e-05+0.00045998i,0.00045197-0.00013147i,0.00099152+6.5642e-05i
1.7098e-07-0.0007147i,-0.00044679-0.00048465i,-0.001389-0.0012388i,-0.0012315-0.0012515i,-0.0002586-0.00038117i,0.00035316-4.5542e-05i,0.00037885-4.9856e-05i,-0.00010266-2.4965e-05i,-4.2554e-05-0.00049041i,-0.00028424-0.00054366i,-0.00079094-0.00067876i,-0.0006958-0.0014839i,-0.00098387-0.0016447i,-0.001128-0.00080754i,-0.00062001-0.00027546i,-0.00076091-0.00017364i,-0.0012874+0.00012823i,-0.0012615+0.00048882i,-0.00071665-3.5044e-05i,0.00019221-0.00023388i,-7.7921e-05-0.00017647i,-0.00077202+0.00013823i,-0.00064073+0.0003968i
0.0006308-0.0012317i,-0.00030098-6.1411e-05i,-0.001332+5.4076e-05i,-0.0014463-0.00038294i,-0.00073268+0.00044524i,-0.0005801+0.0016851i,-0.00030417+0.00082705i,0.00036239-0.00012134i,0.0005455+0.00054104i,0.00096972+0.00054886i,0.00099402+0.00071193i,0.00071093+0.0017722i,0.00042549+0.0012682i,0.00019195+0.00021518i,-0.00014814-9.9326e-05i,-0.00024663-0.000637i,0.00026511-0.00048932i,0.00010772+0.00015563i,-0.00020828+0.00023283i,0.0001455-0.00012502i,0.00054022-0.00057366i,0.00059991-0.00078675i,0.00030971-0.00065964i
0.00055962+6.6546e-05i,0.0023737+0.00042013i,0.0023943+0.00023248i,0.0012884+0.00014432i,0.00057723+0.00016194i,0.00033264+0.00055154i,-9.886e-05+0.00062955i,-0.00014391+0.0001344i,5.7557e-05+0.0002464i,0.00054691+0.00093048i,0.00033457+0.00061491i,0.00043387+0.00056786i,0.0011562+0.00082549i,0.00052933+0.00060655i,-9.464e-05-0.00016841i,-0.00044693-0.00075667i,-0.00011413-0.00079204i,0.00079179-0.00050271i,0.00056805-0.00016335i,-0.00031492-0.00071429i,-0.0010193-0.0010545i,-0.0010141-3.5323e-05i,-0.00053679+0.00015953i
-0.00015372+0.00010474i,-0.0004947+0.0002353i,-0.00072237-0.00033169i,-0.00033759-0.00016385i,-0.0003348+4.7591e-05i,0.00017825-6.317e-05i,0.00068156+7.0505e-06i,0.00032921+0.00013294i,-0.00022493+0.00016868i,-0.00035699-4.8499e-05i,-0.00037124-0.00056103i,-6.6458e-05+0.00023452i,-0.0002252+0.0006417i,-0.000655+0.0004622i,-0.00097085+0.00033611i,-0.00088119+9.7369e-05i,-0.0003749+0.00013188i,-0.00056838+0.0003182i,-0.00023533+0.00087695i,6.1552e-05+0.0008279i,-4.1304e-05+0.0001865i,-0.00038898-4.7986e-06i,-0.00056372+0.00029295i
-0.00039551-0.00062216i,0.00040244-0.00035378i,0.00046917-0.00059915i,0.00058701-0.00015535i,0.00024101+0.00093234i,-0.0011036+0.00097069i,-0.0013581+0.00018283i,-0.00022466+0.00022305i,0.00065182+0.0010083i,0.00066575+0.0011535i,3.5312e-05+0.0010431i,-0.00021873+0.00022934i,1.7064e-05-0.00030506i,-0.00041561+0.0006319i,-0.00041951+0.00094834i,-0.00028546+0.00066485i,-0.00026809+0.00075725i,8.2087e-05+0.00068277i,0.00024999+0.00059745i,9.3756e-05+0.00030088i,-0.00016042-0.00013867i,0.00026122-5.5145e-05i,0.00095409+1.6534e-05i
-0.00013648-0.00021294i,-0.00037046+0.00036391i,-1.0937e-05+0.00015651i,0.00023514-2.2406e-05i,0.00030898+0.00044105i,0.00084507+0.0012111i,5.3807e-05+0.001258i,-0.00086351+0.00034871i,-0.0009157+0.00012413i,-0.00076112+0.00028799i,-9.2665e-06+0.00027079i,0.00011666+0.000345i,-6.5095e-05+0.00014654i,-0.00024808+0.00013593i,-0.00029372+0.00052433i,-0.00041474+0.00028119i,-0.00012862-0.00012468i,0.00028445-2.3771e-05i,-4.9948e-05-0.00045574i,-0.00032514-0.00075574i,-0.00047009-0.00058853i,-0.00037082-0.00059322i,0.00052864-0.0010097i
0.00057911+0.0011514i,-0.00017516+0.00082554i,-0.0005698+0.00024121i,-3.0243e-05+0.00010679i,0.00029298+6.0795e-05i,0.0002243-0.00034779i,0.00020018-0.00027815i,-0.00038756+0.0001962i,-0.00080261-1.8022e-06i,-0.00035465+1.6948e-05i,8.382e-05+0.00017094i,-0.00010868-0.00042779i,-0.00018073-0.00093789i,-0.0002365-0.00089301i,-0.00061561-0.00067452i,-0.00013879-0.00058318i,-0.00032308+0.00031946i,-0.00044413+0.0012786i,-0.00011536+0.00080189i,-4.3279e-05+0.00068062i,-0.00060699+0.00087877i,-0.0012712-0.00038653i,-0.00085546-0.00032602i
-0.0010545-0.0022897i,-0.00078676-0.001776i,-0.0014764-0.00096358i,-0.0020551+0.00014808i,-0.0015035+0.001289i,-0.00034063+0.0020514i,0.00092628+0.0019261i,0.00058913+0.00083798i,-0.00014646+0.00014989i,9.7865e-05-6.8884e-05i,0.00035539-0.00011135i,0.00056001+0.00016848i,0.00091284-9.7808e-06i,0.00039484-0.00023481i,-0.00073422-0.00088065i,-0.0015465-0.0011145i,-0.0012927-0.00039903i,-0.00017405+0.00034018i,0.00025678+0.00047093i,5.3144e-05+0.00063028i,-0.00055131+0.00036675i,-0.0005588+6.1833e-05i,-0.00033044-0.00027423i
0.0017864+0.0027257i,0.0016842+0.0010461i,0.00075892+0.00015308i,0.00011593-0.00046278i,0.00065815-0.0014057i,0.0012781-0.0012009i,0.00032408-0.00037738i,-0.0010418-0.00046171i,-0.0011812-0.00039206i,-0.00036318+7.3008e-05i,-0.0005733-2.5519e-05i,-0.00094262-8.4024e-05i,-0.00025138-0.00041879i,-0.00013548-0.00065149i,-0.00017032-0.00027513i,-0.00040726+0.00035269i,-0.00062295-0.0001133i,-0.00017874-0.0003063i,-1.1989e-06+0.00014427i,-0.00049279-0.00022832i,-0.00024319-0.00047708i,0.00034289+0.00023722i,-8.0359e-05+0.00092473i
0.00045404+0.00018692i,-2.5636e-05-0.00042907i,-0.00034717-0.0010154i,-0.00030684-0.00076588i,0.00020455+8.4996e-05i,0.00039179+0.00076453i,0.00059441+0.00044394i,0.00046882+6.2624e-05i,-0.00034561-0.00043385i,-0.00016947-0.0010608i,0.00039405-0.0005796i,0.00051465-0.00037941i,-0.00012772-0.00053998i,0.0002419+2.4986e-05i,0.0005783+0.00041182i,-0.00025034-5.5903e-06i,-0.00041112-0.00063554i,0.00028048-0.00012852i,0.00017692+0.00011448i,0.00020171+0.00045629i,0.00019089+0.00080265i,0.0001473+0.00072737i,2.7089e-05+0.00048238i
0.0010622+0.00060218i,0.002026+0.00057014i,0.0022304-0.0002569i,0.0010955-0.00063896i,0.00056728+5.9025e-05i,-7.8847e-06-0.00018666i,-0.00044392-3.5363e-05i,8.1097e-05+0.00068755i,0.00020119+0.00053383i,0.00081909+0.00032994i,0.0012752+0.00032405i,0.00069245-0.00018135i,-5.4109e-05-0.0010304i,-0.00046012-0.0012402i,-0.00024103-0.0011236i,0.00029812-0.00099149i,3.7226e-05-0.0011789i,-0.00047373-0.0009576i,-0.00023437-0.00013331i,2.6075e-05+0.00030632i,0.00019505+0.00032439i,0.00078649-0.00046867i,0.0014286-0.0012696i
-0.0002815+0.0013007i,0.00033939+0.00057683i,-0.00016019+0.0004226i,-0.00026545+1.2299e-05i,0.00062246-0.00059434i,0.00026369+0.00023337i,-0.00049295+0.00081083i,-0.00066917+0.00014709i,-0.0002173+9.7554e-05i,0.00010062+0.000514i,-0.00015491+0.0008884i,-0.00070978+0.0006396i,0.00018027+6.9299e-05i,0.00099196+8.9721e-05i,0.00044654+0.00055501i,-0.0002445+0.00064307i,-0.00074366-0.00015513i,-0.00072901-0.00075661i,-0.00042376-0.00032411i,-8.9979e-05-6.7818e-05i,0.00043921+0.00066922i,0.00057631+0.0011954i,0.00018738+0.0007435i
0.00072885-0.0001378i,0.0011407-0.0014345i,0.0023264-0.0011697i,0.0025715-0.00045967i,0.0017205-0.00042623i,0.0014742+0.00017748i,0.00090788+0.00055541i,2.5009e-07-0.00011971i,-0.00025887-0.0003767i,-0.00020776-0.00080629i,-0.00062175-0.0012508i,-0.00073971-0.00034752i,-0.00079157+0.00015548i,-0.00044293-0.00024629i,0.00030158+3.6978e-05i,0.00064008+0.00065798i,0.00052848+0.0014776i,-8.4417e-05+0.0011917i,0.00010102-1.6097e-06i,-6.012e-05-0.00059866i,0.00014117-0.00050804i,0.00061308-0.00057958i,0.0003207-0.00066157i
-0.00050046-0.00082294i,-0.0015666+0.00019187i,-0.001193-0.00024669i,-0.0015741-0.00074278i,-0.0010978-0.00092053i,0.00086715+0.00029365i,0.0016262+0.0012688i,0.0013274+0.00019227i,0.00038507-0.00096834i,-0.00062987-0.0010294i,-0.00104-0.00061233i,-0.0010153+0.00043239i,-0.00070254+0.00063273i,-0.00034375-0.000273i,0.00062462-0.00083644i,0.00074092-0.00061075i,0.00016403-0.00025209i,2.4786e-05-0.00019282i,0.00017726-0.00033343i,0.0010267-0.00016397i,0.0013485+0.00033621i,0.00033852+0.00067446i,1.7798e-05+0.0003905i
0.0014902-0.0013174i,0.0011791-0.0019091i,0.00062402-0.0024223i,-0.0007905-0.0016247i,-0.0015833+6.0024e-05i,-0.0012579+0.0012823i,-0.00099282+0.00045991i,-0.0013204-0.00045612i,-0.00070978-0.00010265i,-0.00019629+0.0006306i,-0.00012852+0.0011897i,-0.00010302+0.00098642i,0.00034478+0.00038765i,0.00042828+0.00031301i,0.00061743+0.00027972i,0.00019195-0.0003636i,-0.00062531-0.00041274i,-0.00097379+1.0097e-05i,-0.00086246-0.00031857i,-0.0003764-0.00053216i,-0.00040989-0.00020613i,-0.00028287-5.8354e-05i,0.00038495-5.1309e-05i
-0.0006127+0.00066893i,-0.00056251-0.00013263i,-7.1551e-05-1.0537e-05i,0.00017111-9.892e-05i,0.00023297-0.00021178i,-0.00010335+0.00061862i,0.0002888+0.00094651i,0.00083578+0.00069964i,0.00039568+0.00065721i,0.00039355+0.00081622i,0.00021366+0.00092227i,-0.00018221+0.00030226i,-0.00050337-8.1453e-05i,-0.0011759+0.00049869i,-0.00099692+0.00088557i,-0.00080871+0.00048702i,-0.0004183+2.9544e-05i,0.00027488+0.00031414i,-0.0001179+0.00045017i,-0.00041568+0.00040819i,-0.00025446+0.00059168i,-5.9015e-05+0.00057045i,9.4181e-05+0.00011424i
-0.00027009+0.0021698i,-0.00031289+0.0021039i,5.6434e-05+0.0018021i,0.0013092+0.0015737i,0.0015509+0.0016939i,0.00087389+0.00081445i,0.00010245-0.00043958i,-0.00048832-0.00081059i,-0.00026216-0.0005793i,2.1367e-05-0.000348i,-7.4491e-05-0.00045163i,1.4282e-05-0.00044027i,1.1573e-06-0.00030088i,-0.0004955+0.00017032i,-0.00079636+0.0004104i,-0.00078635-0.00022023i,-0.0005797-0.00064617i,0.00033452+0.00016988i,-0.0003535+0.00094274i,-0.00098732+0.0007767i,-0.00091554+0.00039563i,-0.00074269-0.00040669i,-0.00028706+0.00016465i
0.0002416+0.00042949i,0.00077427+0.00089128i,0.0018104+0.00068711i,0.0017601-4.1231e-05i,0.0012188-0.00080462i,0.00026695-0.001085i,-0.00042468-0.00095549i,-0.00019056-0.00095307i,0.00045853-0.00099899i,0.00020315-0.00057522i,-0.00061031-0.00087707i,-0.00042998-0.0010387i,7.4925e-06-0.00050186i,0.00022128+9.1595e-05i,0.00036269-5.7395e-05i,0.00011409+0.00016475i,-9.4012e-05+0.00024703i,8.7129e-06-0.00082087i,0.00014305-0.0014812i,-5.5368e-05-0.0011098i,-9.707e-05-0.00042684i,-4.2404e-05+0.00013245i,1.7743e-05-0.00048167i
