-0.0010395-0.001144i,-0.0010252-0.0015487i,-0.0015468-0.0009942i,-0.0020106-0.00012265i,-0.0019616+0.00018398i,-0.0017637+0.0011896i,-0.00084784+0.0024494i,-0.00047118+0.0024067i,-0.00040182+0.0013357i,-0.00029995+0.00087321i,-0.00055877+0.00037254i,-0.0011186+0.00010855i,-0.0011784+0.00074014i,-0.00063683+0.00089653i,-0.00082097+0.00028696i,-0.00054926-0.00025873i,-0.00023056-0.00049868i,-0.0001423-0.00093521i,0.00014918-0.0010318i,0.00069835-0.00058602i,0.00065094+0.00010061i,0.00040886+0.00023692i,0.00026187+5.5942e-05i
-0.00074349-0.00019896i,-0.0013556-0.00084556i,-0.0022922+0.00037828i,-0.0020572+0.0011613i,-0.00090515+0.00067919i,6.212e-05+0.0010395i,0.00050623+0.0013473i,9.059e-05+0.001068i,-0.00046101+0.0010448i,-0.00054872+0.00014094i,-0.00013836-0.00057734i,0.00026771-6.3541e-05i,-0.00034344+0.00054275i,-0.00066739+0.00098573i,-0.00039758+0.0013452i,-0.00020454+0.0010162i,5.8803e-05-0.00016222i,1.4747e-05-0.00083377i,0.00048054-0.00053496i,0.00099322-0.0004026i,0.00048978+0.00027564i,-0.00037389+0.00085896i,-0.00044171+0.00037347i
0.0014966+0.0006882i,0.001202-0.00059411i,0.0011361-0.0015484i,0.00038887-0.0019257i,-0.00027163-0.0017654i,-0.00029814-0.00086037i,0.00042526+0.00030543i,0.00076041+0.0006449i,0.00063507-5.9968e-05i,0.00073844-0.00060527i,-6.4012e-05-0.00044199i,-0.00045356-0.00034192i,-0.00043675-0.00028584i,-0.00063464+0.00018921i,-0.00041992+0.0011543i,-0.00019328+0.0011367i,-0.00027258+0.00078877i,-0.00032259+0.00026198i,-0.00052078+0.00015919i,-0.00026254+0.00027554i,-0.00024233+0.00030993i,-0.00051175+0.00045859i,-0.00039669-0.00026984i
-0.00024125-0.00033387i,0.00037305+0.00022797i,-0.0004883-0.00023929i,-0.00076017-0.00093697i,6.3653e-05-3.4688e-05i,0.00022768+0.0015693i,0.00023924+0.0012594i,0.00054419+0.00024591i,0.00024187-0.00014996i,5.0409e-05-0.00050962i,-0.00025781-0.00017031i,-0.00018676+0.00036578i,-0.00054566+4.4526e-05i,-0.00077717+0.00024233i,-0.00062113+0.00028907i,-0.0008802+0.00011195i,-0.00021446-6.4955e-05i,-0.00020468-0.00039354i,-0.00087908-0.00021658i,-0.0012001-0.00041644i,-0.00083291-0.0009414i,-0.00035043-0.00016873i,-0.00017603-0.0002109i
0.00058537-0.00018546i,0.00029471-0.00029399i,2.692e-05-0.0016576i,-0.00058005-0.0026654i,-0.0017524-0.0012135i,-0.0020216+0.00088125i,-0.00057633+0.0015529i,0.00072133+0.00072211i,0.00055089-0.00037419i,7.422e-05-0.00086293i,-0.0005288+0.00028358i,-0.00088496+0.00099143i,-0.00050681+8.137e-05i,-4.9393e-06-0.00030134i,-0.00045002-0.00023133i,-0.00036676-0.000459i,-0.00046124-4.8668e-06i,-0.00076118+0.0012256i,-0.00013289+0.0013612i,-0.0002338+0.0004103i,-0.00047322-0.00035583i,7.5106e-05-4.2763e-05i,0.00029943-6.439e-06i
0.00078313+0.00080571i,0.00049501-0.0014192i,0.0011719-0.0015933i,0.0017261-0.00098009i,0.00060655-0.0014852i,-0.0010844-0.0013232i,-6.5988e-05-0.00018222i,0.0012096+0.00065238i,0.0007253+0.00084242i,0.00048002+0.00014973i,-0.00016129+0.00056795i,-0.0011806+0.001003i,-0.001276+0.0007214i,-0.00080074+0.00083897i,-0.00030953+0.00089281i,-0.00010441+0.00099748i,-0.00029654+0.00055489i,-0.00065764+0.00024098i,-0.00037301-6.8208e-05i,0.00032839-0.00032301i,0.00019918-0.00011899i,0.00015391+0.0002578i,-0.00038455+0.00068089i
0.0011379-0.0019155i,0.00018246-0.0023303i,-0.0010999-0.0022197i,-0.0013662-0.0020221i,-0.001703-0.0010312i,-0.001263+0.00083577i,7.8393e-05+0.001468i,0.00080593+0.0010094i,0.00099443-0.00031461i,0.00030652-0.00083005i,-0.0010016+0.00011485i,-0.0008001+7.6184e-05i,0.00040252-0.00040453i,0.00071175-0.00020827i,0.00054571-9.7452e-05i,-2.2952e-05+0.00043421i,-0.00025502+0.00048676i,0.00025681+0.00065932i,0.00070751+0.00070761i,0.00071514+0.00026581i,0.00050479+0.00040604i,0.00036156+4.3199e-05i,-0.0001071-0.00063831i
-0.0017445+0.00026546i,-0.0014894+0.0016146i,-0.0011391+0.0020046i,-0.001066+0.00060466i,-0.0012268+0.00027221i,-0.00047011+0.0011892i,0.000889+0.00064874i,0.00066318+0.00023266i,-0.0002971+0.00028682i,-0.00054477+0.00022027i,-0.00051409+0.00081262i,-0.0008722+0.0010753i,-0.001234+0.00069214i,-0.00093999+0.00058157i,-0.0010736+0.00065202i,-0.0012222+0.00077834i,-0.00084081+0.0007659i,-0.00043373+0.00083374i,0.00027275+0.00052533i,0.00051845+4.0359e-06i,-0.00029226+0.00017274i,-0.00047224+8.9577e-05i,0.00088802-0.0001672i
-0.00019459-0.00085585i,-0.0005095-0.0012974i,0.00037003-0.0017628i,0.0001524-0.00093112i,-0.00030277+8.1688e-06i,-0.00097675+0.00070001i,-0.00066779+0.0012562i,-7.8752e-05+0.0011568i,-0.00025541+0.0001296i,-0.00046473-0.00056907i,-0.0001204-0.00076173i,6.4234e-05-0.00074058i,-0.0003396-0.00040279i,-0.00031345-0.00011095i,-0.00093349+6.4518e-06i,-0.00111+5.7342e-05i,-0.00061223+0.00045456i,-4.9143e-06+1.2907e-05i,0.00046107-0.00063067i,0.0006789+5.9213e-05i,0.00040428+0.00050323i,-0.00054985-0.00019174i,-0.00090014-0.00067553i
-0.00028974+0.00077139i,-0.00068095+0.00078633i,-0.00030611-0.00067309i,-6.7635e-05-0.0010631i,-0.00034747-0.0005682i,7.5734e-05+5.2113e-05i,0.00070772+0.00060094i,0.00038751+0.00063583i,-0.0004393-9.9023e-05i,-0.00092368+0.00041035i,-0.00030775+0.00027536i,8.7565e-05-0.00052602i,-0.00027468-0.00021577i,-0.00038979-0.00012067i,-0.00016544-0.00048069i,-0.00042368-9.0419e-05i,-0.0010717+5.7728e-06i,-0.00069424+0.00034692i,7.4427e-05+0.00049173i,-0.00024633-0.00015368i,-0.00049265-0.00062208i,-0.00033335-0.00064075i,-0.00051156+7.0378e-05i
-0.00023138+0.00081622i,0.00027922+0.00051918i,-0.00020125-6.0983e-05i,-0.0015017-0.00059282i,-0.0017522-0.00094361i,-0.001979+2.419e-05i,-0.0010742+0.00073951i,-0.00040639+0.0007279i,-0.00048214+0.00019592i,-0.00076592-0.00016538i,-0.00043876+0.00044466i,0.00022364+0.00098828i,-2.4858e-05-0.00028254i,-0.00043049-0.0009861i,-0.00023317-6.1148e-05i,-0.00018385+0.0002693i,-0.00036295+0.00043401i,-0.00035833+0.00037413i,-0.00064148+9.0345e-05i,-0.0002038+0.00031281i,-6.3174e-05+0.00064114i,-0.00046346+5.688e-05i,-0.00027689-0.0005806i
-0.00016981-0.00042545i,-0.00032829-0.00045663i,0.00013848-0.00088614i,-4.1568e-06-0.0009695i,-0.00071984-0.00079199i,-0.00021962-0.00013733i,-0.00026377+0.0010359i,-0.00054694+0.0013705i,-0.00074277+0.00042256i,-0.00064044-0.00070285i,-0.00045825-0.00048098i,-0.0013104-0.00034931i,-0.0010635-0.00033428i,0.00046588+2.2409e-05i,0.00068076-0.00015836i,-3.4362e-05-0.0001499i,-0.0007248+5.8381e-05i,-0.00017303+0.00047082i,0.00040026+0.00066106i,-3.0127e-06+0.00038995i,0.00035454+5.3926e-05i,0.0005458+2.058e-05i,3.8624e-05-0.00010745i
0.0010501+0.0015568i,0.0012693+7.3736e-05i,0.0016886-0.0013341i,0.00078788-0.0018757i,-0.0014039-0.001223i,-0.0021147+0.00030344i,-0.0013264+0.0012178i,-0.00046723+0.00098652i,-6.2673e-05+0.00020329i,-0.00052802-0.00017465i,-0.00058826+0.00046441i,-0.00057043+0.00083861i,-0.0007493+0.00077644i,-0.00084628+0.00048756i,-0.00074348+0.00056533i,-0.00013654+0.00060245i,-6.3845e-05+0.00036434i,-0.00083039+0.00021645i,-0.00083434-0.00028239i,-0.00038608-0.00061637i,0.00012171-0.00064316i,0.00047805+0.00014805i,-2.5972e-05+0.00065274i
