0.001318-0.00041522i,0.00058052-0.0012128i,0.00041689-0.0026561i,-0.00025694-0.0021645i,-0.0025293+7.3377e-05i,-0.0044631+0.0013291i,-0.0041511+0.001852i,-0.0019847+0.0022106i,-0.00020853+0.0016241i,-4.597e-05+0.0010152i,4.6208e-05+0.00086964i,-1.0425e-05+0.00056983i,-0.00059094-0.00034297i,-0.0009559-0.00025765i,-0.00053464+0.00058983i,0.00026962+0.00071208i,0.00010284+0.00038852i,-0.0004299+0.00011236i,-0.00035821+0.00016667i,-0.00056652+0.00026107i,-0.0010313+4.9413e-05i,-8.1393e-05+5.6833e-05i,0.00022233-0.00026474i
0.00022789-0.0001943i,-0.00098323+0.0003046i,-0.0013893+0.00029529i,-0.00091073+0.00055704i,-0.00036276+0.0005003i,0.00010649+0.00063105i,0.000194+0.0009716i,-4.4893e-05+0.00041153i,5.5898e-05-8.4274e-05i,0.00017312-0.00014982i,0.00017458+0.00057227i,0.00055209+0.00057611i,0.0010986+0.00045954i,0.0010589+0.00085357i,0.00090481+0.000191i,0.00054698-0.00029668i,0.00048465+0.00046718i,0.00052245+0.00059664i,-0.00030905+0.00013338i,-0.00057299+6.6685e-05i,8.8618e-05+1.6271e-05i,0.00035301+0.000322i,4.1563e-06+0.00050405i
-0.00057433+0.00029963i,-0.0008918+0.00028013i,-0.00033234-0.00035054i,-0.00060063-0.00038424i,-0.0016075+0.00049728i,-0.0015256+0.00084038i,-0.0011881+0.00050175i,-0.0011165+0.00010073i,-0.00043474-6.6469e-05i,0.00016291+0.00027758i,0.00045873+0.00099104i,0.00071573+0.00059206i,0.00019894+7.0899e-05i,0.00015904+0.00026204i,0.00029929-0.0001445i,0.00060704-0.00037631i,0.00014898-0.00042535i,-0.00032396-0.00076891i,0.00037336-4.9096e-05i,0.0003645+0.00044623i,-0.0011755+0.00041652i,-0.0011093+0.00050088i,-0.00043087+0.00013431i
0.00010409-0.00035574i,3.4969e-05+1.1295e-05i,0.00044679+0.00075674i,-0.00099452+0.00078437i,-0.0015734+0.00068708i,-0.0012603+0.0017936i,-0.00065925+0.0018142i,8.1263e-05+0.00068653i,0.00062799+0.0003383i,0.0013064+0.00078615i,0.0010195+0.0011962i,0.00077211+0.00062856i,0.00043264+0.00016592i,0.00021171+0.00016328i,0.00025448-0.00037065i,0.00018258-0.00059152i,-0.0005467-0.00062802i,-0.00054977-0.00021114i,-0.00024722+0.00073772i,-0.00062742+0.00092572i,-4.0504e-05+0.00059613i,0.00021847+0.00066184i,-0.000132-0.00034611i
0.00081206-0.00056471i,0.00063304-0.0011152i,0.0002392-0.0018921i,-0.00093302-0.0012307i,-0.0020008-0.00036969i,-0.0012569+0.00058993i,-0.000471+0.00072751i,-0.00024381-0.00044239i,-2.5737e-06-0.00063253i,-8.3262e-05-0.00039472i,0.00020949-0.0003341i,0.00077678+0.00039507i,0.00092109+0.00048616i,0.0012113-0.00018998i,0.0011986-0.00033335i,0.00098578-0.00024193i,3.4002e-05-0.00049974i,-0.00039348-0.00044449i,-9.9538e-05-0.00021743i,-0.00011822-0.00017183i,0.00014166-5.4864e-05i,0.00056848-0.0001489i,0.00051458+0.00021829i
-0.0017854+0.00043389i,-0.0014346+0.0020631i,-0.00073271+0.0023779i,-0.00019276+0.0028813i,0.00027048+0.0027063i,0.000552+0.0019094i,-0.00015955+0.0014342i,-0.00036667+0.0010688i,0.00013609+0.0011594i,5.3606e-06+0.00068007i,-0.00042147-7.8505e-05i,0.00010399-0.00044573i,0.00072416-0.00064494i,3.7239e-05-0.00054808i,-0.00010731-0.00032061i,-0.00014942-0.00032586i,-0.00077456-0.00033046i,-0.0009777-0.00028499i,-0.00053642-0.00037673i,-0.00029376-0.00062893i,3.98e-05-0.00036386i,0.0010316+0.00037869i,0.00073132+0.00073586i
-0.00051104-0.0009858i,-0.00060939-0.00053278i,-0.00047692+6.815e-05i,-0.00053461+0.0012465i,-0.00074535+0.0016512i,-0.0011905+0.0014147i,-0.00083652+0.0005959i,-0.00034066+0.00070413i,-0.00074637+0.00073515i,-0.00066746+0.00045516i,-0.00014315+0.0010865i,-0.00015596+0.0012225i,0.00028758+0.00063366i,0.00060972+0.00031749i,7.192e-05+0.00041036i,0.00031897+0.00025604i,0.00084871-0.00025404i,0.0010303+0.00032142i,0.00049228+0.0013097i,-7.1292e-05+0.00080903i,0.00038702-0.00040145i,0.0006847-0.00056196i,0.00031978-0.00068411i
-0.0011831-0.00077725i,-0.0017235-0.00058605i,-0.0018788-0.0011625i,-0.0019323-8.6975e-05i,-0.0019987+0.0013351i,-0.0004629+0.0019227i,0.00071855+0.001487i,0.00048993+0.00020162i,-0.00019476+0.0005162i,-0.00023756+0.00058015i,8.797e-05+0.00022282i,4.3941e-05+0.0005563i,5.752e-05+0.0002063i,0.00021615-0.00023936i,1.4457e-06-0.00017164i,-0.0001677+0.00070561i,-0.00045598+0.00078325i,-0.000632+0.0001708i,-0.00011548+0.00026211i,6.9262e-05+0.00033634i,-9.9344e-05+0.00014363i,5.631e-05+0.00050272i,0.00023173+0.00048779i
0.0012099+0.00050614i,0.0010596+0.00078414i,0.001499+0.0017073i,0.0013435+0.001422i,-1.9646e-05+0.00029538i,-0.0013198-5.2603e-05i,-0.00077649-1.2824e-05i,0.00040837+0.00023287i,0.0005312+0.00057883i,0.00047381+0.00019439i,0.00051-0.00041276i,0.000471+0.00055306i,0.00049006+0.0009442i,0.00077611+9.8951e-05i,0.00047049-0.00065565i,0.00010044-0.00042362i,8.5285e-05+8.0642e-05i,0.00012147-0.00010594i,0.00045269-4.0209e-05i,0.00011287+0.00049287i,-0.00025366+0.0010096i,-0.00012182+0.00093922i,-0.00013524+0.00061537i
0.00012752-0.0015818i,-9.1527e-06-0.0016743i,-0.0011272-0.0016208i,-0.0016748-0.0016209i,-0.0014347-0.00083935i,-0.00095365+0.00086635i,-0.00018694+0.00086875i,0.00044863+0.00015956i,0.00034679+0.00086963i,0.00022314+0.00097639i,0.00027677+0.001142i,0.00025965+0.0016692i,0.00080975+0.00071795i,0.00096333-0.00016922i,0.00041022+0.00025212i,-0.00013896+0.00065287i,-0.00012542+0.00044218i,-7.2883e-05+0.00014511i,-4.2339e-05+0.00013629i,-0.00041269+8.4932e-05i,-5.613e-05+0.0001165i,6.0108e-05+2.7172e-05i,-0.00056887-2.417e-05i
-0.00028142+0.00093323i,-0.00027407-0.0012805i,-1.659e-05-0.0026251i,-0.00074829-0.0012951i,-0.0017373+0.00051329i,-0.0025318+0.00080784i,-0.0018173+0.00022348i,-0.00089916+0.00019328i,-0.0010368+0.00034964i,-0.00034873+7.3053e-05i,0.0010366+0.00025069i,0.0015139+0.00020004i,0.0015871-0.00022167i,0.00047927-0.0002112i,-7.3776e-05-0.00022452i,9.0081e-05+1.0242e-05i,8.4177e-06-2.4387e-05i,0.00093422-0.00050078i,0.00051652+0.00039596i,-0.00029296+0.00090555i,-0.00053914+0.00013532i,-0.00055354-0.00041623i,-0.00050543+6.164e-06i
