0.0010376-0.0020428i,0.0012003-0.0042998i,-0.0005611-0.0053313i,-0.0021821-0.0038997i,-0.0020438-0.0011897i,-0.0013344+0.001035i,6.3455e-05+0.0014025i,0.00068069+7.468e-05i,0.0010099-0.00066365i,0.0009262-0.00089262i,0.00054364-0.00025264i,0.00067607+0.00048053i,0.00074753+0.00060737i,7.0556e-05+0.0012122i,-0.00021861+0.0013115i,-0.00024046+0.00070942i,-5.3083e-05-1.7752e-05i,0.0006139-0.0004555i,-0.00025491-0.00063445i,-0.0012696-0.00067538i,-0.00065957-0.0002222i,-0.00032182+0.000305i,0.00012877+0.00044411i
-0.002067-0.00086794i,-0.0028295+0.0004635i,-0.0025102+0.0023721i,-0.0017216+0.0028703i,-0.0007624+0.0021135i,-0.00025855+0.0010393i,0.00017687-0.00033406i,3.8695e-05-0.0010408i,-0.00082059-0.00060307i,-0.0014674-0.00046584i,-0.0011862-0.0007987i,0.0003767-0.00052247i,0.00099009-0.00056281i,0.0003491-0.0004711i,0.00067835-3.595e-05i,0.00086759+0.00022943i,-0.00027425+0.00027068i,-0.0010494-0.00018336i,-0.00074869+5.6421e-05i,-0.00031626-0.00012965i,0.00045421-0.0013727i,0.00070535-0.0013088i,9.4323e-05-0.00028047i
-0.0013696-0.00065521i,-0.0016521-1.5422e-05i,-0.0016361+0.00099063i,-0.00016896+0.0012465i,0.0010579+0.00053935i,0.00082762-0.00023033i,0.00013773-0.00053982i,-0.00061662-0.00073805i,-0.00017655-0.00072192i,0.0004954-0.00068362i,0.0009123-0.00048952i,0.00109-1.2252e-05i,0.00066974+1.4225e-05i,0.00087281-0.00012895i,0.0014081+0.00074577i,0.0007948+0.0014533i,-9.1071e-05+0.0014564i,-0.00029369+0.0014524i,-0.00065989+0.0012352i,-0.0009714+0.00064155i,-0.00032456-0.00017919i,0.00022731-0.00017193i,0.00039774-2.7506e-05i
-0.0022033+0.00070146i,-0.0020731+0.0018019i,-0.0026936+0.0012719i,-0.0021608+0.00094493i,-0.00098896+0.00065509i,-0.00051666-0.00029921i,-0.00092571-0.00071488i,-0.0010933-0.00041293i,-0.00019001+1.5735e-05i,0.00060609-0.00012913i,0.00019174+0.00024759i,-0.00023062+0.00063658i,0.00023483+0.00070186i,0.000246+0.00033377i,0.0005873-0.00049839i,0.0014759-0.00072004i,0.0012139-2.8417e-05i,8.0416e-05-0.00031463i,-0.00060007-0.00086166i,-0.00047039-0.00080744i,-5.289e-05-0.00099088i,-0.00041938-0.00084219i,-0.00021425-0.00033231i
0.00043868-0.00062975i,-0.00049618-0.00033143i,0.00030813+8.7126e-06i,0.0012821-8.7966e-05i,0.00095581-0.00039557i,0.00017043-0.00063689i,-0.00012171+6.579e-05i,0.00017894+9.2656e-05i,0.00055186+1.936e-05i,0.00042827-0.00011204i,0.00029461-0.00064185i,-6.3029e-06-0.00052197i,-0.0001822+5.4732e-05i,-0.00031591-9.5103e-05i,-0.00069129-0.00034254i,-0.0010502-0.00042558i,-0.0010471-0.00026148i,-0.00072144+8.3137e-05i,-0.00095957+0.00020345i,-0.00056813+0.00051819i,6.2242e-05+0.00053508i,-0.00026387-4.0091e-05i,-0.00066514-0.00042779i
0.00080671-0.00029026i,0.00059921+0.00011103i,0.00031633+0.00020221i,-0.00012314-0.00051244i,-0.00023793-0.0012613i,0.00057951-0.0013788i,0.0014198-0.00067052i,0.00028346+4.103e-05i,-0.0011688-0.00031731i,-0.0011879-0.00060306i,-0.0004369-0.00022483i,-0.00014115+7.104e-05i,-5.4373e-05+0.00053205i,0.00045178+0.00071861i,0.0006447+0.000891i,0.00049017+0.00055655i,0.0008056-0.0001877i,0.00021539-0.00056391i,-0.00053994-0.00020355i,-0.00041058+0.00056882i,-0.00042591+0.00070954i,-1.6307e-05+0.00048701i,0.00012364+0.00033998i
0.0014435-0.0012907i,0.00096776-0.002086i,-0.00043294-0.0019941i,-0.0015556-0.00064792i,-0.0021153+0.00034092i,-0.0015649+0.00045423i,-0.00017443+0.00048183i,0.00045665+0.00082045i,0.00024909+0.00045688i,-0.00042123-0.00024525i,-0.00048928-0.00027806i,-0.00041975+0.00012386i,-0.00026078+0.00048172i,-5.6524e-05+0.001299i,-0.00016604+0.0021052i,-0.0004797+0.0013743i,-4.017e-05+0.00041429i,0.00076831-0.0001398i,0.00051781-0.00047034i,0.00019613-0.00049057i,0.00043833-0.00014632i,0.00041911+1.6034e-05i,0.00034934-1.6594e-05i
2.5249e-05-0.00016934i,0.00037338-0.00033235i,-0.00022445+8.9392e-05i,-0.00052024+0.0002069i,-0.00037082+0.00036077i,0.00011199-0.00012572i,0.0007894-0.00023049i,-0.00013543+2.2344e-05i,-0.00028826-0.00057091i,0.00040226-0.00063446i,0.00015252-0.00052636i,0.0001495-0.00018767i,-0.00044143+0.00015712i,-0.00043325+0.00016344i,0.00013393+0.00015349i,-0.00027416+0.00032401i,-0.00030312+0.00033532i,-0.00029417+1.845e-05i,-0.00018964+7.4009e-05i,0.00043261+0.00026784i,0.00073437-0.00015316i,0.00062453-0.00082885i,0.00075876-0.00052111i
0.00075512-0.00044643i,0.000195-0.00060186i,0.00037815-0.000165i,2.6967e-05-2.1285e-05i,-0.0002505-0.00036552i,0.00014347-6.3423e-05i,-1.1422e-06-4.9935e-06i,-0.00015131-0.00080019i,-0.00019805-0.00070173i,-0.00036831+0.00013913i,-0.00018243+0.00033614i,-0.00010592-0.00031748i,4.3789e-05-0.00067733i,-0.00052684-0.0011245i,-0.00098594-0.0013805i,-0.00040787-0.00056889i,0.00048127+0.00037272i,0.00053321+0.00067935i,-0.00036219+0.00059025i,-0.00036214+0.00015489i,5.2966e-05-3.9892e-05i,0.00032451+9.1508e-08i,0.000347-8.411e-05i
-0.0013279+0.0023081i,-0.0016029+0.0011667i,-0.00098683-0.00012171i,0.00054073-3.5964e-05i,0.0011435+0.00014402i,0.0004976-0.00091995i,0.00016433-0.0010496i,0.00017037-0.00040989i,0.00053931-0.00022355i,0.00057705-0.00058304i,0.00030699-0.0003498i,-0.00014275+0.00052856i,0.00021362+0.00020427i,0.0012464-0.00011227i,0.0012692+0.00012396i,0.00029512+0.00077372i,-0.00047403+0.00093458i,-0.00042954-2.9526e-06i,-0.00021719-0.00047207i,0.00085429-0.00018558i,0.0010594+7.0027e-05i,0.00058448+0.00016403i,-1.6214e-05+9.5516e-05i
-0.0021149-0.0010876i,-0.0023534+0.00019034i,-0.0021684+0.00095893i,-0.0011026+0.00043728i,-0.00033405-0.00037251i,0.00022568-5.4099e-05i,-0.00013543+0.00059088i,-0.0005891+0.00084697i,-0.00055946+0.00051769i,-0.00041813+0.00017332i,-0.00010556+0.00045755i,0.00027666+0.000259i,-0.0004087-0.00017257i,-0.00048764-2.0745e-05i,-0.00047036+0.00048401i,-0.00076695-0.00011471i,-0.0003912-0.00046125i,0.00017817-9.859e-05i,0.00051646+0.00040205i,-3.8495e-05+0.00040825i,0.00019288+0.00023297i,0.0005048+0.00037946i,8.3849e-05+0.00047129i
