-0.0053319+0.0014333i,-0.0037188+0.0016154i,-0.0036229+0.0033886i,-0.001893+0.0029083i,-0.00053659+0.0028162i,-0.0012433+0.003001i,-0.0012604+0.0024373i,0.00076432+0.0013523i,0.0015181+0.0010026i,0.0016963+0.0012902i,0.0016905+0.0012399i,0.00050813+0.00034836i,0.0007692-0.0004316i,0.0015188+0.00035862i,0.00079363+0.00086167i,-2.4906e-05+0.0005238i,-0.00055771+0.00055964i,-0.00089712+2.8191e-05i,-0.00067712-0.00017967i,-8.4652e-05+0.00034504i,0.00030325+0.00030226i,0.00093738-0.00024417i,0.00089502-0.00032817i
0.00071563-0.003302i,0.00025963-0.0023441i,0.00024775-0.00045931i,0.00023752+3.1046e-05i,-0.00031965-9.0488e-05i,-0.000832+0.00070898i,-0.0005132+0.00065584i,5.3884e-05-5.3799e-05i,0.00023163-0.00058446i,0.00034451-0.0006614i,0.00021931-0.00013729i,-0.0004243+0.0002613i,-0.00045536+0.00038431i,-1.4365e-05+0.0003442i,-1.3383e-05+0.00025594i,-0.00027013+4.9225e-05i,-0.00011167-0.00028325i,3.5467e-05-0.00023126i,0.00011593+0.00021454i,-3.3167e-05-0.00047051i,0.00031716-0.00045279i,0.00010855+0.00057207i,-0.00065009+0.00080751i
0.00061581-0.0012117i,0.00030974-0.00089964i,-0.00075577-0.00062205i,-0.0013508-0.000618i,-0.0008781-0.00036331i,-0.00021201+3.5881e-05i,0.00061936+0.00032359i,0.001075+7.4206e-05i,0.00065248-0.0002087i,-0.00027146+0.00057144i,-0.00040556+0.00086997i,-0.00028092+0.00085121i,-0.00047875+0.00078897i,-0.00016226+0.00058279i,-0.00039058+0.00030199i,-0.00045751+0.00038143i,0.00027647+0.0011411i,0.00062413+0.0011921i,0.00053653+0.00040564i,0.00010596+0.00031202i,-0.00052148+8.4364e-05i,-8.7228e-05-0.0001518i,0.00027339+0.0001362i
-0.0012067+0.0011238i,-0.0026443+0.001121i,-0.0022844+0.001381i,2.5562e-05+0.0009467i,0.00073076+0.00029136i,0.00020156+0.00044623i,0.00074558+0.00047883i,0.0013132+1.9365e-05i,0.00098904+0.00017677i,0.0011572+0.0008904i,0.0016519+0.00057762i,0.0015866+0.00011732i,0.0013117+8.0747e-05i,0.00085135+0.00014178i,0.00032145-4.1895e-05i,-0.00058969-0.0004145i,-0.00095918-0.00057032i,0.00024301-0.00031054i,0.00069837+0.00010352i,-1.1927e-05+6.6725e-05i,-0.00034981-0.00042427i,7.8584e-05-0.00085132i,0.00044841-0.00078758i
0.0019912+0.001265i,0.0022539+0.0004774i,0.0027741+0.00061422i,0.0023634-0.00073658i,0.0016724-0.0015571i,0.00085976-0.00078732i,0.00060423-0.00052704i,0.00078633-0.0005441i,0.0015847-7.3828e-05i,0.0016581-0.0002714i,0.00052928-0.00055186i,-0.00075629-0.00052998i,-0.00035305-0.00087193i,0.00048449-0.00081649i,-0.00058361-4.6425e-05i,-0.00091391+0.00052282i,-0.00015523-8.6834e-05i,0.00035212-0.00073495i,0.00010388-0.00025208i,-0.00051396+0.00033659i,-0.00022327+0.00017312i,-0.00047773+0.00065981i,-0.0010388+0.00097863i
-0.00020208-0.00058225i,-0.00049715+3.1291e-05i,0.00047846+0.00029254i,0.0014653-0.00044053i,0.0016487-0.00088462i,0.00072428-0.00035843i,0.00033621-3.3843e-05i,0.00081296-0.00020582i,0.00091646+0.0002577i,0.00088497+0.00093687i,0.00070627+0.0008185i,0.0010917+0.00057806i,0.00099204+0.00063252i,0.0003181+0.00039815i,3.3274e-05+0.00056007i,-0.00021242+0.0001129i,5.046e-05-0.00076844i,0.00021275-0.00045078i,0.00027721+0.00011982i,0.00016502+0.0004484i,0.00023159+0.0007578i,0.00060496+0.00095703i,0.00078201+0.00099914i
0.0008588-2.8239e-05i,0.0010662-0.00066919i,0.00044965-0.00091332i,0.0004529-0.0013599i,-7.8941e-05-0.0014103i,-0.00013908-0.00095934i,0.00042116-0.00030436i,-0.00010629-0.00023208i,-0.00018362-0.00035989i,0.0010812+0.00025004i,0.0012311+0.0001059i,-0.00028132-0.00066189i,-0.00090458-0.00077184i,-0.00065711-0.00058808i,4.4604e-06-0.00028436i,0.00079249+0.00011792i,0.00070358+4.8436e-05i,4.4382e-05+0.0003618i,-0.0004292+0.00065509i,-0.00034021+0.00067712i,-0.00022719+0.00013066i,-0.00012872-0.00023411i,-9.3506e-05+0.0002169i
-0.0012452+0.0027164i,-0.00032273+0.0021107i,3.5645e-05+0.0021915i,0.0012885+0.0014192i,0.001321+0.00035883i,0.00065268+0.00050305i,0.00085161+0.0012656i,0.00082172+0.00075376i,0.00056503-4.1243e-05i,0.00046384-0.00031691i,0.0011081-0.00077785i,0.0006694-0.0010363i,-0.00024512-0.00035576i,-0.00024643+0.00034543i,0.00013093+0.0005517i,0.00017611+0.00053662i,-0.00017337+0.00035159i,-0.00024608+0.00044119i,-0.00082807+0.00065027i,-0.0011779-0.00021918i,-0.00059488-0.00039844i,-0.0005774-0.00041131i,-0.00069545-0.0010464i
-0.0022016-0.00038176i,-0.0014359+0.00026964i,-0.0010553-0.00018271i,-0.00031154-0.00087061i,-7.8695e-05+0.00014273i,-4.4927e-05+0.0010985i,0.00023265+0.00013731i,-0.00029072-0.00075459i,-0.00069097-0.0011553i,-0.00045678-0.00063469i,5.1702e-05-0.00071849i,0.0004444-0.0010299i,0.00045191-0.00063319i,-3.7292e-05+0.00022251i,0.00025135+0.0014098i,0.00014401+0.0011463i,-0.00071141+0.0005869i,-0.00085476+0.00058325i,-0.00049106+0.00022459i,-0.00049095-0.0004856i,0.00013807+6.3522e-05i,0.00093314+0.00080471i,0.00097623+0.0008028i
0.00097723-0.0012309i,0.00074381-0.00072674i,1.3178e-05-0.00067317i,8.7365e-05-0.0016608i,-2.8257e-05-0.0013852i,-0.00094973-0.00079673i,8.8355e-05-0.00016107i,0.0009991-0.00065178i,-2.788e-05-0.00057982i,-0.00061709+0.00014896i,-6.1202e-05-2.8568e-05i,0.00050989-0.00013076i,0.0004038-0.00010982i,0.00013655-0.00085562i,-9.5796e-05-0.0010813i,-0.00012318-0.00079334i,-0.00052049-0.0011127i,-0.00029937-0.00095976i,0.00046169+0.00017834i,-0.00016374+0.00025167i,-0.00052083-0.00015856i,-0.00069357+0.00022465i,-0.00058959-3.8599e-05i
0.0004386-0.00011268i,0.00088307+0.00072297i,0.00073417+0.00063703i,0.00023037+0.00043489i,-0.00063068+0.00028933i,-0.00047636+0.00027491i,0.001005+0.00057543i,0.0019154+0.00045674i,0.0011047+0.00039446i,-6.9916e-07+0.00023073i,2.3757e-05+3.5969e-05i,0.00056875+4.4481e-05i,0.00031536-7.1113e-05i,0.0001074+0.00022871i,5.5633e-05+0.00069577i,-0.00048311+0.00088123i,-0.00073682+0.0012108i,-0.00016444+0.0010014i,0.00030974+7.3333e-05i,9.6662e-05-0.00051024i,0.0003134-0.00023458i,0.00033003+0.00029969i,-0.00014023+0.00052413i
