-0.00060246+0.00039299i,0.00011104-0.0005721i,-0.00086197-0.00029731i,-0.0010896+0.00049031i,-0.00065182+0.00068708i,-0.00033463+0.00078579i,-0.00083063+0.0016145i,-0.00029871+0.0015577i,0.0012201+0.00087421i,0.0017547+0.00074309i,0.0016669+0.00056942i,0.00089168-0.00045183i,1.1447e-05-0.00096752i,-0.00045608-0.00029931i,-0.00024655-0.00012339i,-0.00026141-9.36e-05i,-0.0010279+0.00012328i,-0.0010892+0.00069135i,-0.00036226+0.00090426i,-0.00032589+0.00048087i,-0.00017224-0.00015542i,-0.00017356-0.00016522i,-0.00049319+1.9933e-05i
-8.1468e-05+0.00093226i,0.00041497+0.0012205i,0.0023147+0.0016726i,0.0030202+0.0020985i,0.0023175+0.001746i,0.0017607+0.00037352i,0.0014597+8.3431e-05i,0.00029842+0.00040218i,-0.00076993+0.0003336i,-0.00078674-0.0002235i,-9.5134e-05-0.00058675i,0.00047679-0.0005314i,0.00020693-0.00050714i,0.00012579-0.00030756i,0.00028201-0.00010419i,0.00041797+0.00079163i,0.00020123+0.0011518i,-0.0002031-0.00050992i,0.00032658-0.00098157i,0.00061542-0.00065366i,-7.0477e-05-0.00053332i,-0.00061584+0.00013247i,-0.00091308+8.5557e-05i
-0.00074062-0.00037735i,-0.0014027-0.0007185i,-0.0018949-3.3105e-05i,-0.00092501+0.00040468i,-0.00048073-3.1733e-05i,-0.0003409-0.0010513i,5.877e-05-0.0016495i,-9.2018e-05-0.0012521i,-0.00011381-0.00052368i,0.00023363+4.4373e-05i,0.00035714+0.00022501i,0.0002298+0.00069287i,0.00026619+0.00032238i,0.00026712-0.00056178i,0.00071986-0.00088005i,0.00053593-0.00090352i,-0.00036744-0.00075173i,-0.0011348-0.00057482i,-0.00096897-0.00020892i,-0.00076627-6.4499e-05i,-0.00056269-0.00025454i,-0.00027161+5.1046e-05i,-0.00071868+0.00036529i
0.0013137-0.00099452i,0.0012566-0.0016083i,0.00022398-0.0030014i,0.00018416-0.0028171i,0.00033448-0.0022072i,0.00037555-0.0011819i,0.00053289+0.00010826i,0.00073789+0.00078041i,0.00083529+0.00063477i,0.00086963-5.2835e-05i,-8.6933e-06-0.00066633i,-0.0011977-0.00060588i,-0.00083021-4.5727e-05i,0.00043607+0.00026871i,0.00070134+0.00062221i,-0.00036807+0.00041201i,-0.00059676-0.00074358i,-0.00061253-0.0012272i,-0.00016045-0.00040072i,5.6718e-05+0.00042295i,-0.00017684-4.6478e-05i,-0.00015309-0.00063941i,-0.00037256-0.00059739i
-0.0013098-0.0003537i,-0.0014943-0.00013127i,-0.0011522+0.00040856i,-0.0012232+0.00072921i,-0.0012362+0.0013809i,-0.00018127+0.0010148i,0.00045457-1.7311e-05i,0.00025896+0.0002699i,4.371e-05+0.0006691i,0.00019558+0.00042161i,0.00069046-9.1096e-05i,0.00024427+0.00012033i,-0.00011753+0.00088937i,0.00077969+0.00044847i,0.00059284-0.00027629i,-0.00062966-0.0004016i,-0.00080495-8.001e-05i,-0.00078215-0.00010712i,-0.00049647-8.9602e-06i,-0.00050764+0.00048832i,-0.00035502+0.00079342i,0.00014857+0.00039519i,0.00066435+0.00023906i
0.00058467+0.0013124i,0.0010619+0.00039288i,0.0010227+0.00051758i,0.0010747+0.00058578i,0.0014051-0.00082835i,0.00058103-0.0011547i,-7.4284e-05-0.00012177i,-0.00038751+0.00046728i,0.00012773+0.00059785i,0.00038556+0.00077597i,0.0003216+0.00083249i,0.00056218+0.00081025i,3.4273e-05+0.00037664i,0.00015336-0.00054002i,0.0009761-0.00062588i,0.00010713+0.00021315i,-0.0009773+0.00074888i,-0.00090288+0.0004506i,-0.00064685+0.00044i,-0.0004837-0.0001345i,-4.281e-05-8.4656e-05i,0.00023976+0.0011369i,0.00039377+0.0014838i
0.00086795+0.00029592i,0.0013372+0.0004527i,0.00061467-0.00028074i,9.8942e-05-0.00064765i,0.00046175-0.00031648i,0.0008612+0.00010634i,0.00061616-8.9308e-05i,-0.00064156-0.00034325i,-0.0014872-0.00038354i,-0.00086905+8.7783e-05i,-0.00013352+0.00042316i,0.00023122-0.00026202i,-0.00023918-0.00043818i,-0.00078276-4.4069e-06i,-0.0004728+0.00039353i,0.00015425+0.00086749i,0.00021028+0.00074427i,7.9418e-05+0.00077189i,-0.00022702+0.00048826i,-0.0008998-0.00042773i,-0.0013216-0.00054073i,-0.00032228+8.2476e-05i,8.1744e-05+0.00052756i
-0.00058437+0.0010957i,-0.00054851+0.00041512i,0.00032241+0.00097749i,0.00040327+0.00044438i,0.00035369-0.00020926i,-3.379e-05+5.6527e-06i,-0.00030604-0.00021303i,-0.0001066+8.4136e-06i,0.00021502+0.00098322i,0.00038113+0.0011872i,-0.00063535+0.0010138i,-0.0008981+0.00067159i,-0.00030635+0.00023036i,-0.00062597-0.00037596i,-0.00052512-0.0012874i,-0.00025422-0.00066183i,-0.00086733+0.00017118i,-0.00098763-0.00024516i,-0.00016161-0.00027729i,0.00059404+0.00058867i,-1.3119e-05+0.0010706i,-0.00041277+0.00037057i,0.00034911-0.00042928i
-0.001926-0.0010619i,-0.0016597-0.00030421i,-0.0022562+0.00014802i,-0.0018664+0.0003815i,5.3945e-05+0.00048068i,0.00094007+0.00023312i,0.00056536-0.0001515i,-6.5837e-05+0.00046719i,-0.00039035+0.0011206i,-0.00092129+0.0014093i,-0.0016631+0.0010468i,-0.00088438+8.6946e-05i,0.00092602-0.0002317i,0.0011658-0.00016218i,-0.00024444+0.00020265i,-0.00081182+0.00062484i,-8.9752e-05+0.00066921i,-0.00026543+0.00044319i,-1.0198e-05+6.3623e-05i,0.00064142+0.0001926i,0.00028919+0.0001417i,0.0001231-0.00014177i,0.00015017-0.0006416i
-0.00094341-0.0011242i,-0.00097614-0.00096792i,-0.00057713-0.00080619i,-2.2501e-05-0.00029144i,-0.00041295+3.3724e-05i,-0.00029742+2.8972e-05i,0.0003669+2.688e-05i,-0.00028558+0.00042605i,-0.00085841+0.0010768i,-0.00048777+0.00099068i,-0.00017805+0.00048659i,-5.4385e-05+0.00013379i,-0.00043569-0.00036992i,-0.00031417-0.00054896i,0.00060124-0.00050136i,0.00059513-0.00037718i,-0.00023696+3.9987e-05i,-0.00070062-0.00020456i,-0.00046911-0.00051044i,-0.00053128-0.00048205i,-0.0008554-0.0002382i,-0.00089842+1.5425e-05i,-0.00049802-0.00030901i
0.0013314+0.00037937i,0.00014225+0.00069015i,0.00029416-0.0002488i,0.0012064-0.0017501i,0.0013962-0.0022634i,9.2274e-05-0.0015621i,-0.00080195-0.00046801i,-0.00034803+0.00011103i,-0.00028317+0.0008216i,-0.00021324+0.0009664i,0.00051851+0.00065897i,0.00043947+0.00027726i,1.8924e-05-0.00056728i,-0.0001154-0.00027088i,-0.00036136+0.00020714i,-0.00061798-9.1107e-05i,-9.3754e-06+0.00012445i,0.00018319+0.00043258i,-0.00010147+0.00060351i,0.00021221+0.00056117i,0.00027301+0.00039499i,-4.0674e-05-0.00021416i,-0.00012903-0.00094955i
-0.00028843-0.00048559i,0.00089669-0.00047694i,0.0013789-0.0011736i,0.00040177-0.00089746i,-0.00035118+0.00021382i,0.00017668+0.0011928i,0.00025004+0.00074765i,0.00022152+0.0003444i,0.00021051+0.00011327i,7.1849e-05-0.00027854i,2.4501e-06-0.00050259i,0.00060585-0.00068867i,0.0012298-0.00066135i,0.00083082-0.00013627i,-0.00035486+0.00010681i,-0.00034546-0.00010882i,0.0004242+0.00067561i,0.0006544+0.00082499i,-7.0976e-05+0.00028129i,-0.0011522+0.00029112i,-0.0009941+0.00068463i,-9.9633e-05+0.00017148i,0.00078948+2.306e-05i
-0.00046121+0.0020437i,0.0004275+0.0016162i,0.0022667+0.0022556i,0.0032925+0.0013855i,0.0035399-0.00038824i,0.002936-0.0017989i,0.0013704-0.0016689i,0.00010873-0.00011649i,0.00022674+0.00033052i,0.00052294+0.00042457i,-0.00040828+0.00028535i,-0.00095419-0.00039551i,-0.00057707-0.00063955i,-0.00074877-0.0011918i,-0.0010506-0.0010719i,-0.0010888-0.00067007i,-0.00077868-0.00042263i,-0.00012945-0.00010416i,8.8564e-05+0.00017114i,-8.9141e-05-9.7383e-05i,0.00022367-0.00056154i,0.00013237-0.00027447i,-0.00024638-0.00030437i
