-0.00060246+0.00039299i,0.00011104-0.0005721i,-0.00086197-0.00029731i,-0.0010896+0.00049031i,-0.00065182+0.00068708i,-0.00033463+0.00078579i,-0.00083063+0.0016145i,-0.00029871+0.0015577i,0.0012201+0.00087421i,0.0017547+0.00074309i,0.0016669+0.00056942i,0.00089168-0.00045183i,1.1447e-05-0.00096752i,-0.00045608-0.00029931i,-0.00024655-0.00012339i,-0.00026141-9.36e-05i,-0.0010279+0.00012328i,-0.0010892+0.00069135i,-0.00036226+0.00090426i,-0.00032589+0.00048087i,-0.00017224-0.00015542i,-0.00017356-0.00016522i,-0.00049319+1.9933e-05i
0.0024593+0.00037662i,0.0028398-0.0005242i,0.0024407-0.00093652i,0.0014972-0.0021223i,0.0010065-0.0017729i,2.6771e-05-0.00039805i,-0.0010666-0.00035106i,-0.0014823-0.00096492i,-0.0014538-0.0012211i,-0.0009473-0.0011816i,-0.0002709-0.0013566i,-0.00058419-0.00062316i,-0.001243-6.845e-05i,-0.00092437-0.00037883i,-0.00034006-0.00064723i,0.00075867+0.00055868i,0.0019144+0.0010025i,0.0014326+0.0007315i,9.8996e-05+0.0014186i,1.4458e-06+0.0008187i,0.00043823-0.00068149i,-0.00025738-0.0011989i,-0.00069984-0.00077219i
0.0014471-0.0008182i,0.0011782-0.00059384i,0.00063964+7.9884e-05i,0.00031961+0.00084339i,0.00032473+0.00068447i,0.00059535+0.0011114i,0.00053124+0.0013227i,-0.00024455+0.0010208i,-0.00089412+0.0009416i,-0.00067907+0.000836i,-1.9812e-05+0.0012156i,5.0999e-05+0.0021335i,-0.00017008+0.001898i,-0.00057143+0.0012974i,0.00018091+0.0012316i,0.00091495-0.00026284i,0.00056983-0.0016406i,0.00058795-0.0013356i,0.0012101-0.00052676i,0.00074078-0.00057924i,0.00060224-0.00091122i,0.00046889-0.00016257i,-0.0003307+0.00059045i
-0.0016042-0.000208i,3.0882e-07+0.0019808i,0.00083879+0.0038441i,0.0018398+0.0039068i,0.0029327+0.0021432i,0.0033293+1.8757e-05i,0.0024661-0.00091881i,0.0013957-0.00039813i,1.1856e-05+0.00064964i,-0.00090777+0.0013784i,0.00043434+0.001324i,0.0018846+0.0010439i,0.0014582+0.00083554i,0.00084845+0.00027431i,0.0007666-5.1591e-05i,0.00022904-0.00047226i,-0.00060255-0.001021i,-0.0010606-0.00028828i,-0.001129+0.00060622i,-0.001027+0.0006059i,-0.0011943+0.00042885i,-0.0011701+0.00041067i,-0.00052933+0.00025952i
0.0023495-0.0021031i,0.0014034-0.0014099i,0.0013056-0.0018571i,0.000438-0.0022592i,-0.0003577-0.0014525i,-9.4401e-05-0.00023331i,-0.0008853-0.00016964i,-0.0011692-0.00098487i,0.0002549-0.0002485i,0.00086939+0.0014581i,0.00082136+0.00080422i,0.0012649-5.0981e-05i,0.0016168+0.00062362i,0.0012056+0.00062866i,0.00046756+0.00014666i,-0.00036048-0.00011425i,-0.0007245-0.00013567i,-0.00021671+0.00024159i,-0.00019256-3.7046e-05i,-0.00018456-0.00026363i,0.00015363+7.6607e-05i,-2.932e-05-0.00052426i,0.00020943-0.00098291i
0.0019969+0.00095235i,0.0013604+0.00019216i,0.00076466-0.0003142i,0.00069008+0.00030241i,0.00064201+0.00044475i,3.0433e-05+0.00060178i,-0.00029472+0.00029226i,-0.00040083-0.00088706i,-7.2571e-05-0.0012074i,4.5573e-05-0.00071617i,-0.00069719-0.0009011i,-0.0012731-0.0018178i,-0.00071493-0.0015598i,-0.00064734-0.00094232i,-0.001064-0.00065237i,-0.00024835-0.00027359i,0.00057367-0.00034809i,0.0001647-0.00053642i,-0.00022953-0.00052746i,-0.00071939-0.00085816i,-0.0007634-0.00035308i,-0.00054707+0.00035374i,-3.7754e-05+2.3508e-05i
-0.0003301+0.00055196i,-0.00042064+0.0023441i,-0.00066221+0.0031606i,0.00076738+0.0024762i,0.0025782+0.0013585i,0.0025174+0.00037112i,0.0011998+0.00011607i,-0.00057636+0.00095921i,-0.0011964+0.00068217i,-0.0013556-0.00016859i,-0.00070807+0.00047787i,-0.0003894+0.0014541i,-0.0010876+0.00098333i,-0.0011242+0.00064034i,-0.00051822+0.00047442i,0.00024509-0.00044283i,0.00080564-0.001809i,0.00057068-0.0017136i,-0.00037142-0.00037392i,-0.00037388+4.2332e-06i,-0.00010155-0.00014026i,-0.00091891+0.00035496i,-0.00072902+0.00034723i
0.00074457-0.0011081i,0.00044652-0.00086622i,0.0008429-0.00097716i,0.001325-4.5907e-05i,0.0013361-0.00020061i,0.0014639-0.0006189i,0.0014814+0.001047i,0.0013222+0.0016641i,0.00052437+0.0012508i,-0.00040068+0.0014857i,-0.00027895+0.0015022i,0.0002858+0.0015821i,0.0004527+0.0015143i,0.00076099+0.002118i,0.0013914+0.0024582i,0.0010394+0.00072289i,0.00014054-0.00026274i,0.00011328-0.00037111i,-0.00013427-0.00076094i,-0.00075679-0.00078391i,-0.0009129+6.8298e-05i,-0.00088653+0.00047042i,-0.00080012-0.00013699i
-0.001092-0.00059959i,-0.0018262-0.00044508i,-0.0024765+0.00057231i,-0.0022467+0.0011618i,-0.00069168+0.00048843i,3.2705e-05-0.00016919i,0.0003325-0.00099808i,0.0011252-0.0016605i,0.00055427-0.0011275i,0.00031328-0.00042078i,0.0011727-0.00036064i,0.00156-0.00062507i,0.0012798-0.0010017i,0.0012806-0.0010797i,0.0015644-0.00087437i,0.00080826-0.00056029i,-0.00058503-0.00037331i,-0.00093243-0.00057447i,-0.0010131-0.00038199i,-0.00065326-0.00033595i,0.00035774-0.0005845i,4.7116e-05-0.0002042i,-0.0010564+0.00011733i
-0.00086851-0.00029363i,9.6063e-05+0.0010128i,0.00088763+0.0031124i,0.0011449+0.0033386i,0.0013335+0.0015788i,0.0016928+0.00047372i,-9.6562e-05-0.00032224i,-0.0027135-0.001551i,-0.002629-0.00027608i,-0.001583+0.0010175i,-0.0010678+0.00030431i,-0.00075787-0.00037728i,-0.00059306-0.00085536i,-0.00085532-0.0016708i,-0.00075217-0.0020201i,-0.00079304-0.0012553i,-0.0014521-0.00052191i,-0.0013405-0.00027436i,-0.00038127-0.00010293i,-5.5441e-05+0.00037391i,-0.00013631+0.00018371i,-0.00028998+0.00029956i,-0.00073946+0.00043896i
0.00054718+0.00093904i,0.00062067+7.2676e-05i,0.0019827+0.00027895i,0.0021543+0.00075161i,0.0011233+0.00037896i,-3.6971e-05+0.00029473i,-0.001467+0.0013802i,-0.0017206+0.002344i,-0.0014207+0.002083i,-0.0011289+0.00089128i,-0.0010011+0.00033427i,-0.0009647+0.00086279i,-0.0010787+0.00052037i,-0.0014202+0.00014141i,-0.0020091+0.00047131i,-0.001032+0.00092797i,-0.00076725+0.00085666i,-0.0012555+0.00037934i,-0.00083377+8.1967e-06i,-0.00099874-0.00054627i,-0.0010848+0.00013473i,-0.00094436+0.00075823i,-0.00044099+0.0010222i
-0.0014529-0.00097223i,-0.0028165-0.00042591i,-0.0034395-0.00018706i,-0.0024987+0.00017026i,0.00030567+0.00053762i,0.0021931+0.0011501i,0.0026069+0.0019551i,0.0024608+0.0019023i,0.0018375+0.001706i,0.00022693+0.0012088i,-0.0001175+0.0010422i,0.0011911+0.0016626i,0.0016014+0.0016603i,0.00095435+0.0017407i,0.00045029+0.001957i,0.00016668+0.0015879i,-0.00051195+0.00066562i,-0.00077808-5.9729e-05i,-0.0008141-0.00024067i,-0.0010084+0.00050771i,-0.0011676+0.0011619i,-0.00027644+0.001031i,-9.8893e-05+0.0011571i
0.00016322+0.0017789i,0.00093771+0.0013975i,0.0023202+0.00057998i,0.0035393+0.00023974i,0.0032237-0.00072256i,0.0016415-0.001485i,0.00082168-0.0018464i,0.00072141-0.0024502i,0.0010556-0.0026762i,0.00070626-0.0018356i,0.00036737-0.00098348i,0.00094177-0.00044549i,0.00061695-0.00016794i,0.00025783-5.1404e-06i,0.00024085+5.8343e-05i,-0.00027816+0.00020631i,-0.00021183+0.00022788i,0.000208+0.0004764i,-0.00031256+0.00056913i,-0.00015907+0.00043389i,0.00040956+9.0542e-05i,0.00038503-0.00051125i,0.00030684-0.00050084i
-0.0007419-0.0016646i,-0.00099512-0.0015431i,-0.001547-0.00089784i,-0.003019+0.00058797i,-0.0025702+0.0013501i,-0.0017+0.0001028i,-0.002303-0.0016715i,-0.0030137-0.0029915i,-0.0027937-0.0024793i,-0.0015726-0.00076381i,-0.00063003+4.6658e-05i,-9.91e-05+0.00049299i,0.0003288+0.00024227i,0.00070858-0.0003066i,-0.00012641-0.00045812i,-0.00054784-0.00034939i,0.00020057-0.00025572i,-0.00039896-0.00039343i,-0.0013264-0.00056545i,-0.0014235-0.00093311i,-0.000915-0.0014164i,-0.00066497-0.00054811i,-0.00106+0.00019704i
-0.00044295+0.00074364i,-0.00074767+0.0011639i,-8.7302e-06+0.0018165i,0.0018817+0.0016438i,0.0031023+0.0013527i,0.0021152+0.0014601i,-0.00043551+0.0023331i,-0.0024816+0.0026964i,-0.0030536+0.0020617i,-0.0019209+0.0016135i,-0.00051456+0.0012116i,-0.00010408+0.00022376i,-0.00015287+0.00021108i,-0.00040288-7.5783e-07i,-0.00076556-0.00029025i,-0.00081574-5.4272e-05i,-0.00030502-0.0003741i,-0.00092487-0.00041748i,-0.0012338-7.6131e-06i,-0.00052652-0.0008478i,-0.0006952-0.0012971i,-0.00059132-0.00037355i,-0.00016982+0.00028325i
-0.00074129-0.0024103i,-0.00042326-0.0021279i,-0.00053931-0.001389i,0.00068935-0.00062146i,0.0018731+0.00026714i,0.0020355+0.0015496i,0.0025005+0.0029409i,0.0025436+0.0039558i,0.002011+0.0025255i,0.00079644+0.0018981i,0.00056336+0.0018925i,0.000606+0.0012745i,-3.3774e-05+0.00029578i,-0.00034536-0.00060066i,-0.00014816-0.00037589i,5.2183e-05-0.00033131i,-0.0003318-0.00073771i,-0.000375-0.00025852i,-0.00041742+0.00012148i,-0.00018739+0.00037703i,-0.00032214+0.001047i,-0.00080072+0.00030605i,-0.00020289-0.0008262i
-0.0011007-0.00030195i,-0.0013799+0.0010997i,-0.00088745+0.0015195i,-0.0003477+0.00077064i,0.0011263-2.5211e-05i,0.0021222+2.7536e-05i,0.0025847-0.00092947i,0.0027342-0.002103i,0.0018844-0.0024129i,0.0011456-0.0021405i,0.0008699-0.0013747i,0.00058937-0.00092955i,0.00033667-0.00069044i,-0.00015106-0.0007396i,-0.00043989-3.0817e-05i,3.5049e-06+0.00074241i,0.00037659+0.0014462i,0.00027428+0.0014054i,0.00034354-0.00012345i,0.00025968-0.0006551i,0.00023252-0.0006834i,0.00036372-0.00057077i,0.00047113-0.00058825i
0.00018822-0.0014314i,-0.0015159-0.0013299i,-0.0020369-0.00065524i,-0.0021859-0.00011225i,-0.0022578-0.00018003i,-0.0017295+9.4217e-06i,-0.0022909-0.00082329i,-0.0032028-0.0025262i,-0.0032872-0.0025847i,-0.0030854-0.0016719i,-0.0026021-0.00068232i,-0.001897-0.00027414i,-0.0010499+0.00023786i,-0.000337+0.0006739i,-0.00010454+0.00022679i,0.0005235-3.0624e-05i,0.0013148-0.00072647i,0.0013113-0.00035101i,8.0937e-05+0.00023675i,-0.0010899-0.00022404i,-0.00049649-0.0009612i,0.00044949-0.00026043i,-8.2892e-05+0.00022174i
-0.0023812-0.0014612i,-0.0020317-0.001167i,-0.0030828-0.0011154i,-0.0024181+0.00091188i,-0.0020951+0.0035711i,-0.0028621+0.0027089i,-0.003576+0.001391i,-0.0045636+0.0027044i,-0.003869+0.0034682i,-0.0019831+0.0035965i,-0.00098668+0.0030957i,-0.00053186+0.0013365i,0.00017009+0.00061573i,0.00035007+0.0008141i,0.00021179+0.00066038i,0.0004264+8.1258e-05i,-6.0549e-05-0.00014351i,-0.0012712+2.5578e-05i,-0.0011752-0.00017319i,-0.0006375+0.00021272i,-0.00078756+0.00043598i,-0.00075827-0.00016315i,-0.00082176-0.00017604i
-0.0007984+0.001557i,0.0004201+0.0022468i,0.0029574+0.002428i,0.0050959+0.0022613i,0.0047251+0.0016548i,0.0032375-0.00036072i,0.0022773+0.00027737i,0.0018501+0.0034988i,0.0021248+0.0040787i,0.0026466+0.0018577i,0.0010432-0.00026048i,9.0113e-05-0.00071882i,0.0014064-0.00051039i,0.0017893-0.00034987i,0.0011515-0.00023445i,-0.00024194+0.00011961i,-0.0012021+0.00036433i,-0.0007341+0.00052887i,3.5746e-06+0.00050004i,5.1974e-05+0.00027598i,-0.00020658-3.1957e-05i,5.9529e-05-0.0003934i,0.00015816-0.00026051i
-0.00041672-0.00067863i,-0.0012942-0.00030953i,-0.0011761-0.00019752i,-0.00087693-0.00075056i,0.00047446-0.0017087i,0.0029481-0.0015127i,0.0041753-0.0017721i,0.0043679-0.0025991i,0.0033221-0.0028476i,0.0014139-0.0023173i,0.0002323-0.00101i,-0.00043654-0.00076796i,-0.00010049-0.0015321i,-7.6573e-05-0.0009528i,-0.00074995-0.0004462i,-0.0010365-1.552e-05i,-0.00014433+0.00034622i,0.00049776-0.00044327i,0.00051161-0.0011471i,0.0013093-0.0016313i,0.0015142-0.001211i,0.0011377-0.0012324i,-0.00020237-0.0011824i
0.0010285-0.00068937i,-0.00086982-0.00039269i,-0.0011658-0.00023153i,-0.0012459+0.0012742i,-0.0013838+0.0029273i,-0.00080624+0.0025603i,-0.0011486+5.3954e-05i,-0.0020661-0.0035519i,-0.003463-0.0046326i,-0.0043621-0.0021359i,-0.0029178-0.00049144i,-0.0011511+0.00041898i,-0.0015243+0.0012815i,-0.0020289+0.0012751i,-0.00085517+0.00059613i,0.00021857+0.00015384i,0.00057482-0.00010114i,0.00064796-0.0005656i,9.9392e-05-0.0003524i,-0.00020334-0.00025953i,0.00019694-0.00030499i,-3.3884e-05-0.00038942i,2.2895e-05-0.00068448i
-0.00092566-0.0015657i,0.00061731+0.0003453i,0.00098477+0.0029573i,0.00059026+0.0048878i,0.0006485+0.0049446i,-0.00038409+0.0027474i,-0.0020404+0.00089873i,-0.0041981+0.0013524i,-0.0057331+0.0031621i,-0.0045384+0.0039792i,-0.0022019+0.0038137i,-0.0011266+0.0028575i,-0.00058767+0.0021906i,-0.00010654+0.0016754i,0.00016844+0.0012128i,3.8264e-05+0.00043446i,5.0166e-06-0.00086715i,0.00042063-0.00029872i,0.00027643+0.00012902i,6.934e-05+0.00054829i,0.00012317+0.00034286i,0.00024355-0.00062718i,-0.00047751-0.00032321i
-0.0010644+0.0026782i,-0.001196+0.0036997i,-0.0004397+0.0045235i,0.0016054+0.0031675i,0.0047714+0.00017955i,0.0048737+6.6903e-05i,0.0026751+0.0027199i,0.0023058+0.0050309i,0.0038868+0.0057158i,0.0043459+0.0045849i,0.0029154+0.0028724i,0.0017489+0.0016648i,0.0013624+0.00015042i,0.0010862-0.00099275i,0.00086173-0.0011665i,0.00037368-0.0012i,-2.0575e-05-0.00097304i,0.00020385-0.00029039i,0.00014622+0.00044095i,-5.855e-05+0.00036285i,0.00021066+0.00027246i,0.0008809+0.00049836i,0.00069401+0.00034609i
0.0017275-0.0027474i,-0.0001464-0.004944i,-0.0021166-0.0063512i,-0.002523-0.0053746i,-0.0016891-0.00362i,0.00029894-0.0021702i,0.0022007-0.00095843i,0.0039274-0.00090241i,0.0042282-0.0026443i,0.0030405-0.0038764i,0.0017272-0.0026964i,0.0010453-0.0021197i,0.0011784-0.0024562i,0.0010304-0.0015567i,0.00030931-0.00085139i,-0.00044456-0.0011434i,7.7408e-05-0.0010897i,0.00098773-0.0007432i,0.00029194-0.00050885i,-0.00038161-9.1647e-05i,-0.00017591+4.4917e-05i,8.6693e-05-0.0001944i,-0.00012147-0.00085889i
0.00046263+0.0012554i,0.002265+0.0028185i,0.0032946+0.0039901i,0.0029424+0.0042988i,0.00085109+0.002781i,-0.0015632-0.00033152i,-0.002219-0.0032203i,-0.0020061-0.0048447i,-0.0036701-0.005131i,-0.005095-0.0034319i,-0.0038839-0.0014891i,-0.0020721-0.00050195i,-0.0017073-8.278e-05i,-0.0018276+1.1986e-05i,-0.0011874+0.00027086i,-0.00042623+0.0007673i,-0.00010213+0.00091767i,0.00037083-2.4756e-05i,0.0007137-0.00034648i,0.0001092+7.7818e-07i,-0.00010259-0.00051707i,1.0143e-05-0.00058629i,-0.00044661+0.00045823i
0.0024428+0.00024146i,0.002743+0.00014427i,0.0030355+0.00021323i,0.003876+4.1728e-05i,0.0039371-0.00039126i,0.0020213-0.0001391i,-0.00025198+0.0006202i,-0.00435+0.0010956i,-0.0070614+0.0014014i,-0.0057568+0.0023039i,-0.0035799+0.0022487i,-0.0023236+0.00081853i,-0.0019517+5.4504e-05i,-0.0014842+0.0006385i,-0.00039525+0.0018696i,0.00017261+0.0015713i,0.00050459+0.00077207i,0.00066686-8.9837e-05i,0.00090996-0.00044645i,0.00049723-0.00068585i,-0.00057579-0.00091677i,-0.00055154-0.00032462i,-5.8801e-05+0.00074295i
-0.0037594-0.0028675i,-0.0051551-0.0022138i,-0.0061112-0.00026751i,-0.0048109+0.0016662i,-0.0012956+0.0032394i,0.0005603+0.0040719i,-0.0011451+0.004048i,-0.0024429+0.0055369i,-0.00069897+0.0065635i,0.0020236+0.0055731i,0.0026655+0.0038007i,0.0027092+0.0020787i,0.0035513+0.00095324i,0.0032124+0.00020041i,0.0020478-0.00012313i,0.0012413-0.00058641i,0.00031025-0.00080171i,-0.00033516-0.00061606i,0.00033176-6.5489e-05i,0.00020709+0.00033736i,-0.00072638-3.98e-05i,-0.00038005-5.9483e-06i,0.00012989+5.8921e-05i
0.0010013+0.002058i,0.0031021+0.00070185i,0.0052717-0.0002959i,0.0042767-0.0019979i,0.0024988-0.0038407i,0.0015916-0.0035069i,0.0023864-0.0012418i,0.0049707+0.00036607i,0.0064449-0.00074861i,0.0058057-0.0022683i,0.0043099-0.0023164i,0.0028606-0.0013244i,0.0019559-0.0014091i,0.0015764-0.0018964i,0.00083935-0.0016823i,-0.00033134-0.00076796i,-0.00058997-0.00025228i,-0.0005397-0.00024724i,-0.00099549-0.00022941i,-0.00109-0.00032965i,-0.00063899-0.00042086i,-0.00059011-0.00098651i,-0.00055785-0.00030599i
0.0017454+0.00064754i,0.00057786+0.0014136i,-0.00073885+0.0021874i,-0.0021486+0.0018879i,-0.0027028+0.00023815i,-0.0015907-0.0014568i,0.0010374-0.0038694i,0.0013951-0.0060999i,-0.00060121-0.007075i,-0.0021504-0.0069274i,-0.0027044-0.0051353i,-0.0017579-0.0034667i,-0.00086752-0.0031809i,-0.0015084-0.0024795i,-0.0020845-0.0014494i,-0.0011104-0.00045261i,0.0002442+0.00050189i,1.8289e-05+0.00020675i,-0.00036185-0.00064161i,0.0004993-0.0010677i,0.0012316-0.00073648i,0.00088966-0.00062046i,0.00018251-0.00074193i
0.0014445-0.0021099i,-0.000585-0.0014096i,-0.00090157-0.00012664i,0.0019308+0.0030802i,0.0026481+0.005853i,0.0018983+0.005453i,-0.00086308+0.002936i,-0.0056449+0.00094449i,-0.0085811+0.001206i,-0.0085986+0.0034264i,-0.0062024+0.0038634i,-0.0035104+0.0019002i,-0.002692+0.001131i,-0.0023094+0.0019072i,-0.0014474+0.001948i,-0.00064766+0.0010305i,-0.00011019-0.00061262i,-1.5142e-05-0.0012918i,8.9932e-05-8.3169e-05i,0.00018943+0.0010642i,0.00054548+0.001058i,-5.608e-05+6.6947e-05i,-0.00094011-0.0011673i
0.0025238-0.0021395i,0.0018754-0.0035701i,0.0011971-0.0054007i,0.00044072-0.0057457i,-0.00010488-0.0041206i,-0.00079873-0.00078071i,-0.0012216+0.0019268i,-0.0016186+0.0038609i,-0.00098718+0.0057523i,-7.299e-05+0.0066168i,0.00028563+0.0054625i,0.00046813+0.0045794i,0.00078072+0.0044138i,0.0014102+0.0034663i,0.002141+0.0020932i,0.0025682+0.0007822i,0.0021189-0.00066434i,0.0018619-0.00079459i,0.0012478+0.00025292i,0.0001976+0.00080793i,-0.00067072+0.0010944i,-0.00060607+0.0011578i,-0.00040584+0.00078498i
-0.0024677-0.0017189i,-0.0026455+0.00053683i,-0.0030837+0.0013985i,-0.0026822+0.0011222i,-0.0013669-0.00046131i,6.339e-05-0.00093067i,0.0020128+0.0011797i,0.0037807+0.0026789i,0.0051736+0.0019149i,0.0056151+0.00076343i,0.0049587+0.0002756i,0.0038804+0.00031716i,0.0038307+4.0677e-05i,0.0051722-0.00079965i,0.004361-0.0014583i,0.0025857-0.0012888i,0.0014561-0.00041008i,0.00097143+0.00059859i,0.00043434+0.0002714i,-0.00022808-0.00087302i,-2.968e-05-0.0012885i,0.0012971-0.0010604i,0.0017574-0.0003615i
0.00060116+0.00069977i,0.00046525+0.0010637i,-0.00026819+0.00049212i,-0.00064952+0.001847i,-0.0010629+0.0029438i,-8.1716e-05+0.0018204i,0.0013774-0.00093647i,0.0016185-0.0044513i,0.00048159-0.0060031i,-0.0019232-0.0061693i,-0.0028727-0.0055218i,-0.0024163-0.0044098i,-0.0015566-0.0038958i,-0.0011432-0.0038144i,-0.0013178-0.0030754i,-0.0006979-0.001629i,0.00035638-0.00064558i,0.0011161-0.00057822i,-1.0191e-05-0.0006558i,-0.00098713-0.00046451i,-0.00076247+5.3869e-06i,-7.826e-05+3.3402e-05i,0.00069827-2.8738e-05i
0.0014027-0.0011665i,0.0012874-0.001552i,0.0010315-0.0024301i,0.00088097-0.001093i,0.00029772+0.0021846i,-0.001132+0.0022804i,-0.0025957-0.00061587i,-0.0046719-0.0026195i,-0.0074487-0.0020944i,-0.0087059-0.00044273i,-0.0075241+0.0011952i,-0.0047414+0.0020694i,-0.0032316+0.00183i,-0.0025911+0.0010318i,-0.0019532+0.0009688i,-0.0011691+0.00084467i,-0.00069138+0.00043936i,-0.00089547+0.0001252i,-0.0015801-0.00012656i,-0.0021692+0.00024856i,-0.0018891+0.00014486i,-0.00083765+0.00034037i,0.0001985+0.00061079i
-0.00068678+0.00024729i,-0.0017077+0.001685i,-0.00029657+0.0023355i,0.0049217+0.0022446i,0.0077035+0.00079755i,0.0054025-0.00021047i,0.00096445+0.00010813i,-0.002448+0.0018355i,-0.0019618+0.0042396i,0.00028023+0.0057069i,0.00075764+0.0050529i,0.00082983+0.0033363i,0.00075428+0.0028298i,0.00015441+0.0024421i,0.0004486+0.0019283i,0.00052429+0.0010528i,-0.00042743+0.00032339i,-0.0014667+7.8657e-05i,-0.0014827-0.00017922i,-0.0011859+0.00048991i,-0.0015332+0.00065286i,-0.0013528-0.00014533i,-0.00076333+3.0559e-05i
0.00034068-0.0015645i,-0.00049844-0.0023138i,-0.0034888-0.0033028i,-0.0042832-0.0043664i,-0.0026338-0.0054045i,-0.00082978-0.0041264i,0.00080063-0.00049948i,0.0028005+0.0018674i,0.0048028+0.0016206i,0.0053613+0.00073959i,0.0047907+0.00056842i,0.0041061+0.0003237i,0.0034941+0.00015671i,0.0034904+0.00054138i,0.0042932+0.00015556i,0.0039051-0.00077606i,0.0023729-0.0012225i,0.00044845-0.0010945i,-0.00013691-0.00013271i,0.00011611-8.9223e-05i,-0.00011052-0.0010555i,-0.0003807-0.00028973i,-0.00033561+0.00059098i
-0.00035331-0.0025414i,-0.0010145-0.0019207i,-0.0036848-0.0015499i,-0.0075577-0.0006465i,-0.0084729+0.0015248i,-0.0046746+0.0019021i,0.00073351-0.00045203i,0.0030205-0.0033737i,0.0021788-0.006055i,0.0008113-0.0073182i,0.00011044-0.0065337i,0.00024825-0.0042832i,0.00079359-0.0035857i,0.0016488-0.0044276i,0.0016607-0.0046829i,0.0013857-0.0030732i,0.0010518-0.00064535i,0.00061551+0.00023729i,0.00090939-0.00017032i,0.00062587-0.00066303i,0.00050254-0.00035334i,0.00061615-0.0004753i,0.00018474-0.00056526i
-0.0017976-0.0023804i,-0.00019209-0.0004363i,0.001869+0.0024029i,0.0051901+0.0054173i,0.0066746+0.007017i,0.0048235+0.0050318i,0.0012878+0.00046047i,-0.0026035-0.0032562i,-0.0067779-0.0022662i,-0.0084006+0.0001624i,-0.0067705+0.00067194i,-0.0045185+0.0004113i,-0.0030343-5.5505e-05i,-0.0021091-0.00015563i,-0.0013936-0.00026242i,-0.00030468-0.0004045i,0.00027224-0.00020601i,0.0010942-0.0004086i,0.00079424-0.00060296i,-0.00071093-0.0006833i,-0.0011427-0.0012308i,-0.0011701-0.0017825i,-0.00094452-0.0016444i
-0.0015351-0.00053337i,-0.00086342+0.002401i,0.0013024+0.0030885i,0.0056272+0.00096562i,0.0090647-0.0014907i,0.0061205-0.00062327i,0.00021276+0.0021665i,-0.0031583+0.0047678i,-0.0029662+0.0064763i,-0.0014935+0.0075728i,-0.0012583+0.0074563i,-0.0010596+0.0054929i,-0.00072508+0.0032956i,-0.001269+0.0022402i,-0.0013311+0.0018873i,-0.0011127+0.0014677i,-0.0018442+0.00061398i,-0.0021451+0.00033099i,-0.001701+0.0012441i,-0.0013534+0.0011233i,-0.0015407+0.00038344i,-0.0014605+0.0002085i,-0.00086957-0.00013148i
-0.0013045-0.0019671i,-0.0028243-0.0022191i,-0.0060867-0.0031085i,-0.0069812-0.0048592i,-0.0046374-0.0063088i,-0.0017101-0.0063432i,-0.00026585-0.0027492i,0.0013705+0.0021284i,0.0037351+0.0034643i,0.0049014+0.0029208i,0.0050695+0.0028647i,0.0044751+0.0016331i,0.0035447+0.00030276i,0.0034744+0.0006619i,0.0037687+0.0014132i,0.0038002+0.00098162i,0.0033512+0.00048135i,0.0018065+0.0012309i,0.00026616+0.0017613i,0.00044084+0.00093461i,0.0013281+0.00055447i,0.001165+0.00073345i,0.0009601+0.00056985i
-0.0026208-0.00012241i,-0.0019629+0.0019694i,-0.0018737+0.0059144i,-0.0031433+0.0087004i,-0.0038064+0.0091245i,-0.0028125+0.0068628i,0.00061347+0.0024911i,0.0034759-0.0010693i,0.0032523-0.0038253i,0.0012177-0.0058701i,0.00026047-0.0057476i,0.0013039-0.0043901i,0.0019156-0.0028299i,0.0018219-0.0020892i,0.0018408-0.0028459i,0.0011689-0.0024313i,0.00048641-0.0015382i,0.00042047-0.00081534i,-0.00023362-0.001001i,-0.00027534-0.0012412i,0.0011985-0.00076634i,0.0018767-0.00050591i,0.0015421-0.00074116i
-0.00082717-0.0018203i,-0.0025953-0.00020473i,-0.0031898+0.0012302i,-4.3e-05+0.0035659i,0.0019992+0.0054457i,0.0014411+0.0041583i,0.0010092-0.0010536i,-0.0011759-0.0056458i,-0.005892-0.0059622i,-0.0092197-0.0044176i,-0.0080793-0.0027682i,-0.0054099-0.0015358i,-0.0033178-0.00088288i,-0.0023722-0.0010681i,-0.0017808-0.0015629i,-0.0013583-0.00091116i,-0.0006113-0.00043955i,0.00029187-0.00047679i,-0.00065796-0.00067005i,-0.0018908-0.00014976i,-0.0014359+0.00043595i,-0.00078138+6.8215e-05i,-0.001192-0.0012147i
-0.0034909-0.0097536i,-0.006942-0.0095241i,-0.011363-0.0091234i,-0.0079417-0.0060987i,-0.0014593-0.001746i,0.0020356+0.0015048i,-0.00055932+0.00064196i,-0.0059416-0.00025584i,-0.0077985+0.0017639i,-0.0074514+0.0051198i,-0.0058873+0.0063161i,-0.0032976+0.0049659i,-0.0011724+0.0037195i,-0.00024377+0.003569i,-0.00035551+0.0031673i,-0.00041547+0.0018005i,-9.549e-05+0.00054437i,-0.00029896+2.5272e-05i,-0.00062477-6.308e-05i,-0.00050231+0.00012888i,-0.00063649+0.00019011i,-0.001204+0.0004042i,-0.0010284+0.001039i
